"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"
"17"	"5"	"528"	"215"	"127"	"4"	"2"	"1"	"2"	"53"	"4"	"0"	"36"	"4"	"5"	"5"	"9"	"16"	"24"	"4"	"12"	"3"	"3"	"1057"	"0"	"0"	"1057"	"0"
"18"	"6"	"190"	"375"	"60"	"0"	"3"	"0"	"3"	"47"	"1"	"24"	"7"	"2"	"0"	"2"	"2"	"3"	"1"	"5"	"7"	"1"	"1"	"734"	"0"	"0"	"734"	"0"
"19"	"7"	"642"	"19"	"10"	"3"	"2"	"1"	"0"	"6"	"1"	"3"	"21"	"1"	"1"	"1"	"5"	"21"	"7"	"0"	"5"	"1"	"0"	"750"	"0"	"2"	"752"	"0"
"20"	"8"	"608"	"132"	"92"	"1"	"1"	"4"	"2"	"49"	"8"	"1"	"11"	"1"	"1"	"8"	"9"	"19"	"16"	"2"	"3"	"0"	"1"	"969"	"0"	"1"	"970"	"0"
"21"	"9"	"365"	"134"	"16"	"0"	"1"	"0"	"3"	"4"	"2"	"0"	"4"	"0"	"1"	"1"	"12"	"16"	"8"	"0"	"5"	"0"	"1"	"573"	"0"	"1"	"574"	"0"
"22"	"10"	"34"	"274"	"28"	"0"	"0"	"0"	"0"	"9"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"352"	"0"	"5"	"357"	"0"
"23"	"11"	"157"	"711"	"94"	"2"	"2"	"2"	"8"	"33"	"3"	"6"	"12"	"5"	"5"	"13"	"17"	"29"	"7"	"9"	"8"	"2"	"0"	"1125"	"0"	"3"	"1128"	"0"
"24"	"12"	"955"	"89"	"23"	"3"	"0"	"0"	"0"	"3"	"1"	"3"	"1"	"0"	"0"	"0"	"3"	"7"	"4"	"0"	"2"	"0"	"0"	"1094"	"0"	"9"	"1103"	"0"
"25"	"13"	"574"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"2"	"2"	"18"	"1"	"1"	"2"	"0"	"604"	"0"	"0"	"604"	"0"
"26"	"14"	"495"	"360"	"45"	"2"	"5"	"0"	"2"	"12"	"3"	"1"	"5"	"2"	"3"	"2"	"8"	"10"	"27"	"6"	"21"	"3"	"5"	"1017"	"0"	"16"	"1033"	"0"
"27"	"15"	"239"	"302"	"19"	"1"	"3"	"0"	"0"	"7"	"0"	"1"	"4"	"1"	"1"	"1"	"6"	"16"	"6"	"4"	"2"	"0"	"0"	"613"	"0"	"0"	"613"	"0"
"28"	"16"	"124"	"159"	"48"	"0"	"0"	"1"	"1"	"12"	"0"	"0"	"3"	"2"	"0"	"0"	"3"	"7"	"3"	"7"	"4"	"0"	"1"	"375"	"0"	"0"	"375"	"0"
"29"	"17"	"52"	"374"	"103"	"6"	"3"	"1"	"3"	"23"	"3"	"0"	"0"	"1"	"1"	"2"	"2"	"7"	"7"	"4"	"3"	"2"	"1"	"598"	"0"	"4"	"602"	"0"
"30"	"18"	"363"	"29"	"18"	"5"	"4"	"0"	"3"	"6"	"2"	"3"	"147"	"3"	"4"	"1"	"15"	"21"	"16"	"4"	"5"	"4"	"1"	"654"	"0"	"1"	"655"	"0"
"31"	"19"	"26"	"373"	"136"	"2"	"1"	"3"	"4"	"45"	"1"	"2"	"1"	"1"	"1"	"0"	"0"	"10"	"0"	"1"	"3"	"1"	"1"	"612"	"0"	"1"	"613"	"0"
"32"	"20"	"40"	"806"	"57"	"4"	"2"	"1"	"14"	"30"	"6"	"9"	"6"	"0"	"14"	"5"	"9"	"21"	"3"	"5"	"4"	"2"	"1"	"1039"	"0"	"2"	"1041"	"0"
"33"	"21"	"183"	"300"	"134"	"3"	"1"	"1"	"5"	"37"	"3"	"1"	"1"	"0"	"1"	"2"	"5"	"5"	"1"	"2"	"6"	"2"	"1"	"694"	"0"	"1"	"695"	"0"
"34"	"22"	"15"	"248"	"87"	"1"	"1"	"1"	"0"	"26"	"0"	"10"	"0"	"1"	"1"	"0"	"3"	"0"	"1"	"0"	"3"	"4"	"2"	"404"	"0"	"0"	"404"	"0"
"35"	"23"	"8"	"117"	"75"	"1"	"0"	"0"	"0"	"26"	"0"	"8"	"1"	"0"	"1"	"1"	"1"	"3"	"0"	"0"	"1"	"1"	"0"	"244"	"0"	"0"	"244"	"0"
"36"	"24"	"156"	"241"	"183"	"2"	"2"	"0"	"4"	"46"	"11"	"1"	"6"	"3"	"4"	"5"	"6"	"8"	"3"	"2"	"6"	"2"	"1"	"692"	"0"	"2"	"694"	"0"
"37"	"25"	"218"	"165"	"29"	"1"	"0"	"1"	"3"	"7"	"1"	"1"	"3"	"0"	"1"	"5"	"4"	"7"	"3"	"1"	"2"	"1"	"0"	"453"	"0"	"1"	"454"	"0"
"38"	"26"	"138"	"278"	"59"	"0"	"1"	"0"	"5"	"26"	"4"	"21"	"7"	"4"	"3"	"3"	"8"	"15"	"8"	"6"	"8"	"1"	"1"	"596"	"0"	"4"	"600"	"0"
"39"	"27"	"463"	"50"	"19"	"0"	"0"	"1"	"0"	"5"	"0"	"1"	"4"	"0"	"1"	"0"	"3"	"11"	"14"	"5"	"2"	"1"	"0"	"580"	"0"	"0"	"580"	"0"
"40"	"28"	"561"	"235"	"146"	"5"	"3"	"4"	"4"	"22"	"1"	"5"	"39"	"2"	"3"	"3"	"6"	"7"	"2"	"2"	"3"	"0"	"0"	"1053"	"0"	"1"	"1054"	"0"
"41"	"29"	"179"	"101"	"158"	"2"	"6"	"3"	"3"	"63"	"7"	"4"	"133"	"4"	"1"	"6"	"0"	"2"	"2"	"1"	"0"	"1"	"0"	"676"	"0"	"0"	"676"	"0"
"42"	"30"	"307"	"169"	"225"	"3"	"0"	"1"	"4"	"116"	"6"	"3"	"4"	"4"	"3"	"5"	"16"	"20"	"6"	"2"	"4"	"6"	"3"	"907"	"0"	"1"	"908"	"0"
"43"	"31"	"80"	"352"	"333"	"1"	"4"	"0"	"1"	"118"	"4"	"13"	"3"	"3"	"3"	"6"	"12"	"17"	"3"	"7"	"14"	"6"	"6"	"986"	"0"	"8"	"994"	"0"
"44"	"32"	"78"	"727"	"36"	"5"	"3"	"2"	"9"	"11"	"11"	"2"	"12"	"2"	"5"	"5"	"9"	"29"	"4"	"8"	"7"	"1"	"1"	"967"	"0"	"4"	"971"	"0"
"45"	"33"	"384"	"375"	"15"	"0"	"2"	"0"	"0"	"6"	"2"	"0"	"2"	"0"	"0"	"0"	"1"	"3"	"7"	"3"	"4"	"2"	"0"	"806"	"0"	"2"	"808"	"0"
"46"	"34"	"511"	"5"	"4"	"1"	"15"	"0"	"1"	"0"	"2"	"0"	"11"	"0"	"0"	"0"	"4"	"6"	"5"	"1"	"0"	"1"	"0"	"567"	"0"	"1"	"568"	"0"
"47"	"35"	"190"	"378"	"49"	"2"	"1"	"1"	"2"	"11"	"3"	"2"	"5"	"0"	"0"	"2"	"6"	"12"	"5"	"8"	"0"	"1"	"0"	"678"	"0"	"1"	"679"	"0"
"48"	"36"	"68"	"442"	"35"	"0"	"2"	"0"	"2"	"4"	"3"	"0"	"3"	"0"	"0"	"1"	"3"	"3"	"4"	"4"	"6"	"1"	"1"	"582"	"0"	"0"	"582"	"0"
"49"	"37"	"596"	"173"	"6"	"0"	"14"	"0"	"3"	"4"	"2"	"0"	"7"	"4"	"0"	"4"	"6"	"15"	"13"	"2"	"2"	"2"	"0"	"853"	"0"	"1"	"854"	"0"
"50"	"38"	"529"	"235"	"30"	"2"	"1"	"1"	"3"	"6"	"0"	"1"	"22"	"1"	"0"	"0"	"1"	"0"	"3"	"1"	"5"	"1"	"1"	"843"	"0"	"1"	"844"	"0"
"51"	"38A"	"625"	"124"	"24"	"1"	"0"	"2"	"3"	"7"	"2"	"1"	"11"	"0"	"1"	"2"	"4"	"2"	"7"	"1"	"2"	"0"	"0"	"819"	"0"	"1"	"820"	"0"
"52"	"39"	"303"	"398"	"29"	"6"	"1"	"1"	"2"	"8"	"33"	"0"	"4"	"2"	"2"	"4"	"3"	"3"	"7"	"5"	"15"	"4"	"3"	"833"	"0"	"1"	"834"	"0"
"53"	"40"	"679"	"138"	"13"	"19"	"3"	"0"	"3"	"5"	"6"	"3"	"32"	"1"	"3"	"4"	"10"	"17"	"24"	"6"	"13"	"1"	"3"	"983"	"0"	"3"	"986"	"0"
"54"	"41"	"262"	"40"	"69"	"6"	"5"	"7"	"4"	"27"	"5"	"4"	"324"	"3"	"3"	"5"	"10"	"5"	"10"	"5"	"9"	"4"	"0"	"807"	"0"	"4"	"811"	"0"
"55"	"42"	"217"	"177"	"23"	"0"	"0"	"0"	"1"	"8"	"0"	"0"	"3"	"0"	"0"	"1"	"6"	"3"	"10"	"7"	"33"	"1"	"0"	"490"	"0"	"1"	"491"	"0"
"56"	"43"	"178"	"219"	"74"	"0"	"0"	"2"	"9"	"47"	"5"	"2"	"18"	"5"	"3"	"6"	"12"	"8"	"6"	"1"	"10"	"3"	"0"	"608"	"0"	"4"	"612"	"0"
"57"	"44"	"119"	"192"	"44"	"2"	"0"	"0"	"1"	"14"	"7"	"1"	"3"	"0"	"1"	"0"	"3"	"1"	"3"	"2"	"14"	"3"	"3"	"413"	"0"	"5"	"418"	"0"
"58"	"45"	"126"	"291"	"27"	"1"	"1"	"4"	"3"	"6"	"9"	"4"	"54"	"2"	"0"	"8"	"4"	"5"	"3"	"4"	"6"	"1"	"2"	"561"	"0"	"1"	"562"	"0"
"59"	"45A"	"54"	"308"	"20"	"1"	"2"	"0"	"4"	"5"	"5"	"1"	"19"	"1"	"2"	"0"	"3"	"0"	"0"	"1"	"2"	"2"	"0"	"430"	"0"	"2"	"432"	"0"
"60"	"46"	"194"	"237"	"24"	"0"	"2"	"1"	"1"	"9"	"10"	"1"	"12"	"2"	"1"	"1"	"8"	"7"	"4"	"0"	"5"	"0"	"0"	"519"	"0"	"2"	"521"	"0"
"61"	"47"	"568"	"45"	"10"	"1"	"1"	"0"	"1"	"7"	"3"	"3"	"82"	"3"	"4"	"0"	"5"	"9"	"3"	"2"	"10"	"0"	"0"	"757"	"0"	"3"	"760"	"0"
"62"	"48"	"25"	"349"	"38"	"1"	"3"	"0"	"7"	"19"	"18"	"3"	"34"	"3"	"4"	"9"	"2"	"10"	"1"	"7"	"9"	"0"	"3"	"545"	"0"	"2"	"547"	"0"
"63"	"49"	"45"	"239"	"18"	"2"	"2"	"0"	"6"	"4"	"13"	"1"	"20"	"1"	"3"	"1"	"4"	"6"	"2"	"2"	"13"	"3"	"0"	"385"	"0"	"4"	"389"	"0"
"64"	"50"	"11"	"205"	"29"	"1"	"1"	"2"	"1"	"12"	"56"	"0"	"8"	"0"	"1"	"3"	"2"	"3"	"1"	"3"	"3"	"0"	"1"	"343"	"0"	"1"	"344"	"0"
"65"	"51"	"91"	"793"	"78"	"2"	"1"	"1"	"5"	"9"	"10"	"2"	"6"	"1"	"3"	"1"	"1"	"1"	"4"	"3"	"20"	"2"	"1"	"1035"	"0"	"1"	"1036"	"0"
"66"	"52"	"416"	"251"	"123"	"1"	"2"	"1"	"8"	"49"	"2"	"4"	"8"	"5"	"0"	"3"	"3"	"8"	"6"	"2"	"5"	"3"	"2"	"902"	"0"	"3"	"905"	"0"
"67"	"53"	"288"	"327"	"29"	"2"	"1"	"3"	"3"	"2"	"6"	"2"	"7"	"1"	"5"	"6"	"4"	"21"	"14"	"26"	"11"	"1"	"1"	"760"	"0"	"4"	"764"	"0"
"68"	"54"	"133"	"304"	"45"	"1"	"1"	"1"	"4"	"25"	"9"	"1"	"24"	"4"	"2"	"2"	"9"	"3"	"2"	"0"	"2"	"1"	"0"	"573"	"0"	"0"	"573"	"0"
"69"	"55"	"566"	"162"	"77"	"1"	"0"	"0"	"4"	"17"	"13"	"1"	"3"	"0"	"4"	"4"	"2"	"3"	"14"	"4"	"15"	"5"	"4"	"899"	"0"	"4"	"903"	"0"
"70"	"56"	"293"	"455"	"16"	"2"	"3"	"2"	"1"	"5"	"47"	"2"	"17"	"4"	"8"	"4"	"12"	"21"	"7"	"8"	"5"	"2"	"4"	"918"	"0"	"2"	"920"	"0"
"71"	"57"	"888"	"146"	"21"	"5"	"4"	"1"	"3"	"1"	"2"	"0"	"12"	"1"	"0"	"1"	"2"	"0"	"1"	"0"	"1"	"0"	"0"	"1089"	"0"	"1"	"1090"	"0"
"72"	"58"	"253"	"284"	"25"	"1"	"1"	"1"	"3"	"11"	"0"	"1"	"16"	"2"	"1"	"1"	"1"	"3"	"7"	"3"	"7"	"2"	"2"	"625"	"0"	"0"	"625"	"0"
"73"	"59"	"253"	"582"	"37"	"2"	"1"	"3"	"2"	"9"	"3"	"0"	"39"	"3"	"1"	"6"	"4"	"10"	"1"	"2"	"3"	"1"	"1"	"963"	"0"	"1"	"964"	"0"
"74"	"60"	"16"	"257"	"93"	"3"	"2"	"5"	"6"	"34"	"3"	"2"	"6"	"2"	"0"	"1"	"1"	"1"	"2"	"1"	"7"	"3"	"1"	"446"	"0"	"2"	"448"	"0"
"75"	"61"	"499"	"215"	"62"	"3"	"4"	"2"	"2"	"33"	"3"	"1"	"15"	"2"	"1"	"0"	"7"	"1"	"22"	"8"	"20"	"4"	"6"	"910"	"0"	"2"	"912"	"0"
"76"	"62"	"756"	"96"	"21"	"1"	"0"	"3"	"3"	"2"	"4"	"5"	"136"	"4"	"3"	"6"	"27"	"27"	"22"	"2"	"15"	"3"	"0"	"1136"	"0"	"5"	"1141"	"0"
"77"	"63"	"112"	"546"	"154"	"2"	"1"	"3"	"9"	"72"	"6"	"4"	"19"	"5"	"5"	"17"	"12"	"17"	"3"	"0"	"7"	"3"	"1"	"998"	"0"	"2"	"1000"	"0"
"78"	"64"	"485"	"149"	"94"	"3"	"2"	"2"	"6"	"37"	"15"	"5"	"4"	"2"	"2"	"0"	"6"	"2"	"13"	"2"	"18"	"4"	"4"	"855"	"0"	"0"	"855"	"0"
"79"	"65"	"117"	"272"	"87"	"3"	"1"	"2"	"0"	"13"	"2"	"2"	"17"	"0"	"1"	"0"	"2"	"4"	"6"	"5"	"16"	"7"	"2"	"559"	"0"	"5"	"564"	"0"
"80"	"66"	"25"	"237"	"63"	"1"	"1"	"1"	"6"	"72"	"3"	"2"	"2"	"1"	"3"	"5"	"2"	"1"	"3"	"1"	"4"	"2"	"0"	"435"	"0"	"2"	"437"	"0"
"81"	"67"	"39"	"328"	"52"	"3"	"1"	"1"	"7"	"27"	"10"	"2"	"5"	"0"	"2"	"3"	"6"	"5"	"1"	"1"	"6"	"1"	"1"	"501"	"0"	"0"	"501"	"0"
"82"	"68"	"816"	"31"	"4"	"2"	"4"	"1"	"0"	"3"	"2"	"3"	"124"	"1"	"0"	"1"	"19"	"31"	"14"	"4"	"8"	"3"	"0"	"1071"	"0"	"3"	"1074"	"0"
"83"	"69"	"505"	"159"	"39"	"0"	"1"	"3"	"2"	"34"	"2"	"1"	"6"	"1"	"1"	"1"	"2"	"2"	"7"	"0"	"3"	"0"	"1"	"770"	"0"	"0"	"770"	"0"
"84"	"69A"	"229"	"150"	"38"	"2"	"3"	"0"	"7"	"76"	"2"	"2"	"2"	"0"	"1"	"2"	"3"	"0"	"1"	"1"	"3"	"1"	"1"	"524"	"0"	"0"	"524"	"0"
"85"	"70"	"32"	"895"	"31"	"0"	"2"	"1"	"10"	"32"	"4"	"8"	"20"	"3"	"3"	"9"	"6"	"10"	"0"	"3"	"7"	"1"	"3"	"1080"	"0"	"4"	"1084"	"0"
"86"	"71"	"449"	"280"	"27"	"4"	"1"	"1"	"22"	"21"	"1"	"1"	"13"	"1"	"4"	"6"	"25"	"37"	"18"	"13"	"0"	"1"	"1"	"926"	"0"	"3"	"929"	"0"
"87"	"72"	"195"	"385"	"71"	"1"	"1"	"2"	"2"	"16"	"1"	"0"	"4"	"0"	"4"	"1"	"3"	"2"	"10"	"1"	"14"	"7"	"0"	"720"	"0"	"2"	"722"	"0"
"88"	"73"	"695"	"143"	"39"	"1"	"0"	"0"	"2"	"17"	"1"	"1"	"8"	"3"	"1"	"2"	"8"	"14"	"11"	"1"	"0"	"0"	"0"	"947"	"0"	"0"	"947"	"0"
"89"	"74"	"254"	"76"	"81"	"3"	"1"	"0"	"4"	"46"	"4"	"1"	"3"	"1"	"2"	"0"	"6"	"8"	"16"	"1"	"9"	"0"	"1"	"517"	"0"	"1"	"518"	"0"
"90"	"75"	"679"	"97"	"5"	"0"	"1"	"1"	"3"	"5"	"0"	"0"	"5"	"1"	"1"	"4"	"2"	"13"	"5"	"1"	"1"	"1"	"0"	"825"	"0"	"1"	"826"	"0"
"91"	"76"	"426"	"291"	"132"	"2"	"5"	"1"	"7"	"39"	"5"	"6"	"11"	"4"	"1"	"5"	"14"	"15"	"22"	"6"	"14"	"3"	"4"	"1013"	"0"	"9"	"1022"	"0"
"92"	"77"	"130"	"365"	"56"	"2"	"1"	"0"	"3"	"16"	"1"	"1"	"0"	"0"	"0"	"1"	"5"	"3"	"8"	"12"	"35"	"2"	"5"	"646"	"0"	"5"	"651"	"0"
"93"	"77A"	"135"	"205"	"23"	"2"	"2"	"0"	"0"	"10"	"0"	"0"	"3"	"0"	"4"	"1"	"5"	"5"	"2"	"0"	"1"	"0"	"0"	"398"	"0"	"1"	"399"	"0"
"94"	"78"	"27"	"453"	"24"	"0"	"1"	"1"	"5"	"12"	"3"	"2"	"10"	"2"	"1"	"2"	"4"	"6"	"2"	"12"	"7"	"3"	"1"	"578"	"0"	"2"	"580"	"0"
"95"	"79"	"246"	"346"	"51"	"2"	"0"	"0"	"6"	"21"	"0"	"1"	"0"	"0"	"0"	"1"	"4"	"2"	"1"	"1"	"6"	"1"	"0"	"689"	"0"	"1"	"690"	"0"
"96"	"80"	"158"	"423"	"83"	"3"	"4"	"2"	"10"	"80"	"7"	"4"	"18"	"4"	"6"	"5"	"8"	"15"	"5"	"23"	"9"	"1"	"0"	"868"	"0"	"4"	"872"	"0"
"97"	"81"	"34"	"287"	"35"	"3"	"3"	"1"	"61"	"244"	"7"	"3"	"6"	"2"	"2"	"2"	"4"	"11"	"3"	"8"	"9"	"1"	"1"	"727"	"0"	"9"	"736"	"0"
"98"	"82"	"354"	"233"	"5"	"0"	"0"	"0"	"2"	"1"	"2"	"0"	"5"	"0"	"0"	"0"	"2"	"2"	"5"	"1"	"11"	"0"	"0"	"623"	"0"	"0"	"623"	"0"
"99"	"83"	"98"	"128"	"4"	"0"	"0"	"1"	"0"	"22"	"0"	"1"	"2"	"0"	"0"	"2"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"262"	"0"	"0"	"262"	"0"
"100"	"84"	"59"	"224"	"8"	"2"	"1"	"0"	"1"	"38"	"1"	"0"	"2"	"0"	"5"	"3"	"3"	"3"	"2"	"3"	"2"	"0"	"0"	"357"	"0"	"2"	"359"	"0"
"101"	"85"	"894"	"24"	"3"	"3"	"0"	"1"	"0"	"6"	"0"	"1"	"3"	"0"	"1"	"0"	"6"	"11"	"14"	"3"	"2"	"0"	"0"	"972"	"0"	"2"	"974"	"0"
"102"	"86"	"246"	"369"	"48"	"4"	"5"	"0"	"3"	"17"	"0"	"1"	"43"	"0"	"2"	"0"	"4"	"0"	"8"	"6"	"8"	"0"	"1"	"765"	"0"	"0"	"765"	"0"
"103"	"87"	"17"	"375"	"240"	"1"	"2"	"3"	"19"	"148"	"6"	"5"	"13"	"6"	"8"	"7"	"8"	"26"	"0"	"3"	"7"	"2"	"0"	"896"	"0"	"1"	"897"	"0"
"104"	"88"	"28"	"456"	"56"	"2"	"0"	"2"	"6"	"23"	"3"	"1"	"5"	"0"	"1"	"0"	"2"	"1"	"4"	"6"	"29"	"5"	"4"	"634"	"0"	"5"	"639"	"0"
"105"	"89"	"14"	"677"	"12"	"0"	"0"	"1"	"3"	"3"	"1"	"0"	"3"	"1"	"1"	"3"	"5"	"6"	"0"	"2"	"0"	"0"	"0"	"732"	"0"	"0"	"732"	"0"
"106"	"90"	"54"	"260"	"103"	"2"	"1"	"0"	"2"	"51"	"5"	"1"	"6"	"0"	"0"	"4"	"5"	"6"	"0"	"0"	"4"	"0"	"0"	"504"	"0"	"1"	"505"	"0"
"107"	"91"	"106"	"328"	"392"	"5"	"4"	"11"	"16"	"141"	"11"	"4"	"13"	"8"	"3"	"17"	"18"	"33"	"6"	"7"	"11"	"4"	"3"	"1141"	"0"	"7"	"1148"	"0"
"108"	"92"	"123"	"219"	"464"	"3"	"3"	"3"	"3"	"133"	"7"	"4"	"3"	"3"	"2"	"5"	"12"	"2"	"17"	"10"	"24"	"8"	"9"	"1057"	"0"	"3"	"1060"	"0"
"109"	"93"	"52"	"135"	"166"	"3"	"0"	"2"	"9"	"249"	"11"	"4"	"7"	"4"	"3"	"7"	"0"	"12"	"1"	"0"	"4"	"1"	"2"	"672"	"0"	"4"	"676"	"0"
"110"	"94"	"464"	"297"	"38"	"2"	"1"	"0"	"1"	"7"	"0"	"2"	"12"	"0"	"2"	"1"	"11"	"10"	"21"	"6"	"9"	"0"	"1"	"885"	"0"	"1"	"886"	"0"
"111"	"95"	"448"	"97"	"68"	"3"	"1"	"1"	"4"	"12"	"4"	"3"	"6"	"4"	"4"	"6"	"13"	"18"	"8"	"1"	"1"	"1"	"0"	"703"	"0"	"1"	"704"	"0"
"112"	"96"	"47"	"357"	"58"	"1"	"0"	"0"	"3"	"25"	"2"	"1"	"9"	"1"	"0"	"5"	"4"	"4"	"4"	"10"	"9"	"0"	"1"	"541"	"0"	"3"	"544"	"0"
"113"	"97"	"159"	"171"	"132"	"3"	"0"	"1"	"5"	"53"	"4"	"1"	"13"	"5"	"4"	"4"	"11"	"20"	"11"	"2"	"11"	"6"	"9"	"625"	"0"	"11"	"636"	"0"
"114"	"98"	"516"	"17"	"15"	"1"	"0"	"0"	"2"	"4"	"1"	"1"	"2"	"0"	"1"	"1"	"3"	"17"	"7"	"0"	"6"	"3"	"0"	"597"	"0"	"1"	"598"	"0"
"115"	"99"	"724"	"8"	"3"	"0"	"0"	"1"	"0"	"2"	"0"	"1"	"1"	"1"	"0"	"1"	"23"	"21"	"9"	"1"	"7"	"1"	"1"	"805"	"0"	"1"	"806"	"0"
"116"	"100"	"362"	"52"	"58"	"1"	"3"	"4"	"1"	"4"	"0"	"1"	"134"	"2"	"0"	"3"	"3"	"2"	"2"	"1"	"3"	"0"	"0"	"636"	"0"	"0"	"636"	"0"
"117"	"101"	"9"	"149"	"29"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"189"	"0"	"0"	"189"	"0"
"118"	"102"	"186"	"309"	"121"	"4"	"2"	"1"	"2"	"27"	"5"	"1"	"43"	"1"	"4"	"2"	"4"	"1"	"6"	"1"	"9"	"10"	"3"	"742"	"0"	"5"	"747"	"0"
"119"	"103"	"170"	"492"	"149"	"7"	"4"	"3"	"3"	"55"	"6"	"4"	"10"	"1"	"8"	"11"	"9"	"12"	"2"	"10"	"11"	"4"	"5"	"976"	"0"	"6"	"982"	"0"
"120"	"104"	"26"	"229"	"139"	"1"	"1"	"3"	"3"	"65"	"6"	"2"	"4"	"4"	"2"	"3"	"7"	"9"	"0"	"1"	"0"	"1"	"2"	"508"	"0"	"0"	"508"	"0"
"121"	"105"	"30"	"345"	"116"	"3"	"1"	"1"	"0"	"46"	"2"	"1"	"12"	"2"	"1"	"4"	"10"	"6"	"3"	"5"	"5"	"1"	"1"	"595"	"0"	"1"	"596"	"0"
"122"	"106"	"150"	"197"	"133"	"3"	"3"	"3"	"2"	"40"	"6"	"0"	"4"	"0"	"1"	"3"	"4"	"10"	"3"	"3"	"2"	"2"	"3"	"572"	"0"	"2"	"574"	"0"
