"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"
"17"	"5"	"429"	"95"	"187"	"5"	"5"	"1"	"3"	"60"	"11"	"3"	"0"	"1"	"4"	"6"	"30"	"48"	"3"	"5"	"4"	"4"	"3"	"907"	"0"	"9"	"916"	"0"
"18"	"6"	"436"	"79"	"60"	"0"	"1"	"0"	"1"	"26"	"1"	"0"	"3"	"0"	"0"	"3"	"7"	"14"	"9"	"2"	"2"	"0"	"1"	"645"	"0"	"0"	"645"	"0"
"19"	"7"	"113"	"347"	"135"	"2"	"5"	"0"	"3"	"45"	"3"	"2"	"7"	"0"	"3"	"5"	"2"	"17"	"2"	"4"	"5"	"1"	"1"	"702"	"0"	"1"	"703"	"0"
"20"	"8"	"229"	"222"	"253"	"3"	"4"	"3"	"4"	"90"	"2"	"4"	"4"	"2"	"1"	"11"	"7"	"21"	"8"	"7"	"8"	"1"	"3"	"887"	"0"	"5"	"892"	"0"
"21"	"9"	"46"	"151"	"251"	"4"	"4"	"2"	"0"	"74"	"7"	"3"	"3"	"0"	"2"	"3"	"7"	"10"	"5"	"2"	"6"	"4"	"5"	"589"	"0"	"1"	"590"	"0"
"22"	"10"	"183"	"98"	"212"	"4"	"1"	"3"	"2"	"81"	"6"	"1"	"2"	"1"	"1"	"1"	"7"	"9"	"7"	"0"	"1"	"0"	"3"	"623"	"0"	"0"	"623"	"0"
"23"	"11"	"118"	"106"	"305"	"3"	"3"	"4"	"6"	"109"	"5"	"0"	"2"	"0"	"2"	"13"	"10"	"23"	"15"	"8"	"7"	"4"	"2"	"745"	"0"	"5"	"750"	"0"
"24"	"12"	"208"	"166"	"342"	"12"	"7"	"3"	"12"	"169"	"17"	"31"	"8"	"5"	"7"	"17"	"17"	"28"	"17"	"10"	"7"	"6"	"7"	"1096"	"0"	"19"	"1115"	"0"
"25"	"13"	"237"	"228"	"359"	"4"	"5"	"2"	"4"	"28"	"4"	"1"	"4"	"3"	"3"	"6"	"13"	"10"	"18"	"7"	"13"	"1"	"2"	"952"	"0"	"3"	"955"	"0"
"26"	"14"	"99"	"238"	"124"	"2"	"2"	"0"	"1"	"43"	"2"	"1"	"3"	"4"	"3"	"7"	"11"	"12"	"1"	"4"	"6"	"1"	"0"	"564"	"0"	"3"	"567"	"0"
"27"	"15"	"25"	"50"	"242"	"2"	"2"	"0"	"0"	"45"	"2"	"1"	"0"	"0"	"1"	"2"	"5"	"1"	"0"	"1"	"3"	"4"	"0"	"386"	"0"	"2"	"388"	"0"
"28"	"16"	"63"	"161"	"493"	"6"	"4"	"2"	"8"	"122"	"12"	"4"	"12"	"3"	"4"	"9"	"13"	"20"	"3"	"2"	"11"	"5"	"2"	"959"	"0"	"3"	"962"	"0"
"29"	"17"	"380"	"204"	"411"	"6"	"3"	"9"	"3"	"72"	"6"	"6"	"4"	"4"	"4"	"4"	"7"	"26"	"6"	"6"	"5"	"5"	"3"	"1174"	"0"	"10"	"1184"	"0"
"30"	"18"	"80"	"116"	"381"	"1"	"7"	"2"	"2"	"142"	"4"	"2"	"2"	"2"	"1"	"2"	"11"	"0"	"1"	"1"	"6"	"3"	"3"	"769"	"0"	"1"	"770"	"0"
"31"	"19"	"67"	"204"	"141"	"3"	"1"	"2"	"0"	"90"	"2"	"1"	"2"	"2"	"3"	"4"	"10"	"19"	"4"	"4"	"7"	"4"	"3"	"573"	"0"	"5"	"578"	"0"
"32"	"20"	"328"	"44"	"80"	"5"	"0"	"2"	"1"	"54"	"6"	"3"	"1"	"2"	"3"	"4"	"15"	"14"	"17"	"3"	"16"	"2"	"2"	"602"	"0"	"2"	"604"	"0"
"33"	"21"	"96"	"141"	"278"	"8"	"2"	"0"	"2"	"65"	"8"	"0"	"2"	"0"	"1"	"5"	"3"	"7"	"10"	"3"	"5"	"7"	"9"	"652"	"0"	"14"	"666"	"0"
"34"	"22"	"169"	"183"	"138"	"2"	"2"	"1"	"5"	"50"	"5"	"3"	"3"	"2"	"3"	"3"	"9"	"15"	"13"	"3"	"4"	"1"	"2"	"616"	"0"	"6"	"622"	"0"
"35"	"23"	"65"	"310"	"150"	"3"	"2"	"2"	"8"	"63"	"10"	"3"	"16"	"5"	"1"	"7"	"6"	"4"	"2"	"9"	"12"	"4"	"2"	"684"	"0"	"7"	"691"	"0"
"36"	"24"	"27"	"226"	"388"	"4"	"5"	"6"	"7"	"180"	"13"	"9"	"7"	"2"	"6"	"8"	"18"	"23"	"1"	"12"	"23"	"3"	"5"	"973"	"0"	"5"	"978"	"0"
"37"	"25"	"148"	"283"	"307"	"2"	"1"	"1"	"3"	"105"	"10"	"4"	"3"	"6"	"8"	"6"	"17"	"19"	"5"	"1"	"8"	"3"	"6"	"946"	"0"	"5"	"951"	"0"
"38"	"26"	"85"	"83"	"478"	"3"	"0"	"5"	"1"	"107"	"6"	"1"	"4"	"0"	"4"	"8"	"9"	"11"	"2"	"1"	"7"	"4"	"2"	"821"	"0"	"2"	"823"	"0"
"39"	"27"	"21"	"131"	"407"	"10"	"1"	"5"	"5"	"118"	"10"	"3"	"5"	"2"	"6"	"9"	"10"	"14"	"3"	"5"	"22"	"2"	"2"	"791"	"0"	"8"	"799"	"0"
"40"	"28"	"62"	"296"	"137"	"3"	"1"	"0"	"1"	"44"	"9"	"4"	"2"	"3"	"2"	"4"	"5"	"13"	"1"	"0"	"0"	"0"	"1"	"588"	"0"	"0"	"588"	"0"
"41"	"29"	"46"	"378"	"190"	"2"	"2"	"0"	"1"	"51"	"6"	"1"	"1"	"0"	"1"	"1"	"8"	"2"	"0"	"1"	"5"	"4"	"1"	"701"	"0"	"0"	"701"	"0"
"42"	"30"	"149"	"252"	"376"	"1"	"3"	"8"	"5"	"114"	"6"	"4"	"7"	"9"	"7"	"9"	"19"	"23"	"6"	"6"	"10"	"4"	"4"	"1022"	"0"	"4"	"1026"	"0"
"43"	"31"	"224"	"121"	"385"	"11"	"3"	"0"	"7"	"140"	"10"	"10"	"10"	"2"	"7"	"9"	"12"	"37"	"9"	"3"	"14"	"1"	"4"	"1019"	"0"	"15"	"1034"	"0"
"44"	"32"	"49"	"122"	"316"	"10"	"7"	"7"	"0"	"115"	"10"	"3"	"6"	"4"	"7"	"16"	"0"	"41"	"4"	"0"	"0"	"3"	"1"	"721"	"0"	"5"	"726"	"0"
"45"	"33"	"157"	"291"	"251"	"5"	"2"	"3"	"5"	"115"	"11"	"2"	"8"	"5"	"4"	"8"	"18"	"40"	"7"	"5"	"10"	"2"	"1"	"950"	"0"	"10"	"960"	"0"
"46"	"34"	"319"	"153"	"210"	"2"	"1"	"2"	"2"	"63"	"6"	"1"	"5"	"0"	"3"	"5"	"11"	"21"	"40"	"9"	"32"	"15"	"4"	"904"	"0"	"12"	"916"	"0"
"47"	"35"	"37"	"124"	"600"	"1"	"2"	"1"	"2"	"51"	"4"	"1"	"1"	"0"	"6"	"3"	"5"	"7"	"1"	"3"	"2"	"0"	"0"	"851"	"0"	"0"	"851"	"0"
"48"	"36"	"29"	"146"	"280"	"3"	"1"	"2"	"1"	"87"	"6"	"2"	"6"	"2"	"1"	"0"	"13"	"0"	"4"	"2"	"5"	"1"	"3"	"594"	"0"	"2"	"596"	"0"
"49"	"37"	"65"	"117"	"133"	"2"	"4"	"0"	"1"	"55"	"2"	"2"	"5"	"0"	"4"	"0"	"9"	"22"	"1"	"4"	"5"	"3"	"3"	"437"	"0"	"0"	"437"	"0"
"50"	"38"	"22"	"430"	"234"	"0"	"5"	"2"	"1"	"93"	"2"	"2"	"7"	"1"	"2"	"5"	"18"	"14"	"2"	"1"	"5"	"1"	"1"	"848"	"0"	"1"	"849"	"0"
"51"	"39"	"37"	"153"	"310"	"3"	"1"	"1"	"2"	"104"	"7"	"0"	"4"	"1"	"1"	"3"	"5"	"15"	"2"	"0"	"4"	"0"	"1"	"654"	"0"	"2"	"656"	"0"
"52"	"40"	"254"	"487"	"144"	"5"	"3"	"4"	"5"	"86"	"8"	"2"	"10"	"4"	"3"	"6"	"12"	"16"	"6"	"8"	"4"	"0"	"0"	"1067"	"0"	"1"	"1068"	"0"
"53"	"41"	"169"	"138"	"327"	"4"	"1"	"2"	"1"	"103"	"11"	"2"	"2"	"3"	"1"	"0"	"2"	"0"	"3"	"0"	"1"	"2"	"0"	"772"	"0"	"0"	"772"	"0"
"54"	"42"	"301"	"175"	"370"	"3"	"1"	"6"	"5"	"89"	"11"	"0"	"1"	"3"	"2"	"8"	"8"	"20"	"6"	"1"	"4"	"2"	"2"	"1018"	"0"	"6"	"1024"	"0"
"55"	"43"	"161"	"87"	"313"	"4"	"6"	"6"	"1"	"100"	"11"	"20"	"1"	"2"	"2"	"1"	"4"	"9"	"4"	"2"	"5"	"2"	"1"	"742"	"0"	"3"	"745"	"0"
"56"	"44"	"62"	"113"	"289"	"3"	"0"	"1"	"2"	"37"	"3"	"8"	"5"	"2"	"6"	"7"	"3"	"8"	"2"	"7"	"7"	"2"	"0"	"567"	"0"	"5"	"572"	"0"
"57"	"45"	"110"	"309"	"116"	"0"	"2"	"1"	"2"	"26"	"5"	"17"	"5"	"0"	"0"	"2"	"5"	"7"	"3"	"2"	"2"	"0"	"0"	"614"	"0"	"0"	"614"	"0"
"58"	"46"	"123"	"132"	"333"	"6"	"5"	"5"	"1"	"105"	"10"	"1"	"3"	"0"	"5"	"13"	"12"	"18"	"3"	"3"	"12"	"6"	"5"	"801"	"0"	"3"	"804"	"0"
"59"	"47"	"249"	"254"	"247"	"1"	"4"	"1"	"1"	"48"	"11"	"6"	"3"	"2"	"3"	"6"	"2"	"14"	"2"	"1"	"2"	"1"	"3"	"861"	"0"	"1"	"862"	"0"
"60"	"48"	"94"	"69"	"221"	"7"	"3"	"2"	"4"	"81"	"9"	"4"	"1"	"2"	"0"	"7"	"14"	"15"	"7"	"1"	"5"	"1"	"0"	"547"	"0"	"6"	"553"	"0"
"61"	"49"	"110"	"142"	"375"	"1"	"6"	"4"	"2"	"94"	"7"	"7"	"7"	"7"	"5"	"12"	"16"	"25"	"1"	"1"	"6"	"1"	"1"	"830"	"0"	"4"	"834"	"0"
"62"	"50"	"153"	"279"	"235"	"1"	"1"	"2"	"1"	"60"	"3"	"1"	"2"	"0"	"1"	"3"	"4"	"2"	"2"	"4"	"3"	"2"	"0"	"759"	"0"	"3"	"762"	"0"
"63"	"51"	"100"	"303"	"99"	"1"	"0"	"0"	"1"	"17"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"2"	"527"	"0"	"1"	"528"	"0"
"64"	"52"	"72"	"261"	"340"	"4"	"3"	"6"	"6"	"153"	"10"	"4"	"3"	"4"	"3"	"6"	"6"	"26"	"6"	"2"	"8"	"5"	"1"	"929"	"0"	"1"	"930"	"0"
"65"	"53"	"106"	"46"	"296"	"5"	"2"	"3"	"3"	"96"	"8"	"2"	"0"	"1"	"1"	"5"	"10"	"5"	"9"	"1"	"3"	"2"	"5"	"609"	"0"	"4"	"613"	"0"
"66"	"54"	"504"	"126"	"90"	"4"	"0"	"0"	"2"	"27"	"2"	"1"	"5"	"1"	"1"	"6"	"11"	"22"	"7"	"2"	"1"	"2"	"1"	"815"	"0"	"4"	"819"	"0"
"67"	"55"	"442"	"72"	"348"	"6"	"4"	"0"	"1"	"98"	"4"	"9"	"1"	"2"	"3"	"6"	"9"	"31"	"10"	"5"	"9"	"0"	"1"	"1061"	"0"	"0"	"1061"	"0"
"68"	"56"	"47"	"247"	"112"	"0"	"0"	"1"	"1"	"19"	"1"	"1"	"0"	"0"	"0"	"1"	"3"	"1"	"7"	"26"	"45"	"5"	"3"	"520"	"0"	"4"	"524"	"0"
"69"	"57"	"32"	"258"	"177"	"1"	"2"	"1"	"3"	"84"	"4"	"0"	"3"	"1"	"2"	"1"	"6"	"0"	"5"	"2"	"11"	"2"	"1"	"596"	"0"	"0"	"596"	"0"
"70"	"58"	"63"	"152"	"226"	"3"	"4"	"3"	"6"	"64"	"4"	"2"	"5"	"3"	"0"	"4"	"8"	"5"	"1"	"5"	"7"	"8"	"2"	"575"	"0"	"6"	"581"	"0"
"71"	"59"	"574"	"78"	"41"	"0"	"0"	"0"	"0"	"21"	"0"	"1"	"1"	"1"	"1"	"0"	"6"	"4"	"3"	"1"	"2"	"0"	"0"	"734"	"0"	"1"	"735"	"0"
"72"	"60"	"86"	"161"	"315"	"2"	"3"	"1"	"6"	"114"	"7"	"3"	"4"	"4"	"11"	"8"	"9"	"12"	"2"	"4"	"2"	"2"	"3"	"759"	"0"	"7"	"766"	"0"
"73"	"61"	"36"	"68"	"275"	"0"	"5"	"0"	"0"	"95"	"2"	"0"	"2"	"0"	"1"	"0"	"3"	"1"	"0"	"2"	"0"	"3"	"1"	"494"	"0"	"0"	"494"	"0"
"74"	"62"	"57"	"351"	"12"	"1"	"0"	"0"	"1"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"1"	"1"	"3"	"1"	"0"	"435"	"0"	"0"	"435"	"0"
"75"	"63"	"338"	"535"	"80"	"5"	"2"	"0"	"5"	"16"	"5"	"1"	"4"	"0"	"0"	"2"	"2"	"6"	"1"	"4"	"4"	"0"	"0"	"1010"	"0"	"1"	"1011"	"0"
"76"	"64"	"135"	"180"	"127"	"2"	"3"	"2"	"3"	"69"	"4"	"1"	"7"	"1"	"2"	"4"	"14"	"20"	"3"	"17"	"8"	"3"	"4"	"609"	"0"	"2"	"611"	"0"
"77"	"65"	"109"	"127"	"269"	"4"	"1"	"4"	"4"	"101"	"6"	"7"	"6"	"5"	"2"	"6"	"13"	"16"	"1"	"4"	"2"	"1"	"2"	"690"	"0"	"2"	"692"	"0"
"78"	"66"	"107"	"21"	"337"	"5"	"11"	"5"	"11"	"156"	"15"	"5"	"5"	"1"	"7"	"9"	"20"	"27"	"5"	"3"	"11"	"15"	"3"	"779"	"0"	"9"	"788"	"0"
"79"	"67"	"371"	"159"	"86"	"0"	"3"	"1"	"2"	"24"	"1"	"1"	"4"	"2"	"2"	"1"	"0"	"1"	"0"	"1"	"4"	"0"	"0"	"663"	"0"	"0"	"663"	"0"
"80"	"68"	"352"	"108"	"75"	"1"	"4"	"0"	"2"	"33"	"0"	"0"	"2"	"2"	"0"	"4"	"14"	"13"	"11"	"4"	"2"	"3"	"0"	"630"	"0"	"2"	"632"	"0"
"81"	"69"	"62"	"409"	"145"	"8"	"1"	"3"	"6"	"43"	"6"	"1"	"8"	"5"	"2"	"5"	"12"	"20"	"2"	"4"	"9"	"1"	"0"	"752"	"0"	"1"	"753"	"0"
"82"	"70"	"31"	"366"	"131"	"0"	"5"	"1"	"0"	"41"	"2"	"0"	"1"	"1"	"1"	"1"	"4"	"4"	"8"	"10"	"21"	"6"	"6"	"640"	"0"	"11"	"651"	"0"
"83"	"71"	"348"	"321"	"104"	"3"	"2"	"3"	"5"	"58"	"5"	"3"	"7"	"4"	"4"	"18"	"23"	"29"	"11"	"2"	"9"	"2"	"2"	"963"	"0"	"7"	"970"	"0"
"84"	"72"	"31"	"201"	"3"	"0"	"1"	"0"	"1"	"3"	"9"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"251"	"0"	"0"	"251"	"0"
"85"	"73"	"171"	"214"	"56"	"1"	"1"	"0"	"3"	"6"	"0"	"1"	"0"	"2"	"1"	"1"	"3"	"3"	"7"	"5"	"6"	"3"	"1"	"485"	"0"	"1"	"486"	"0"
"86"	"74"	"72"	"296"	"400"	"4"	"7"	"0"	"8"	"121"	"22"	"5"	"8"	"2"	"4"	"10"	"12"	"20"	"1"	"2"	"2"	"4"	"2"	"1002"	"0"	"1"	"1003"	"0"
"87"	"75"	"589"	"135"	"35"	"1"	"4"	"1"	"1"	"10"	"1"	"0"	"0"	"0"	"1"	"3"	"2"	"2"	"3"	"2"	"7"	"2"	"1"	"800"	"0"	"0"	"800"	"0"
"88"	"76"	"235"	"167"	"68"	"5"	"3"	"2"	"2"	"40"	"2"	"3"	"6"	"2"	"3"	"2"	"7"	"18"	"1"	"1"	"6"	"0"	"0"	"573"	"0"	"4"	"577"	"0"
"89"	"77"	"308"	"81"	"29"	"2"	"1"	"0"	"1"	"35"	"1"	"1"	"4"	"1"	"0"	"1"	"0"	"2"	"8"	"4"	"8"	"6"	"4"	"497"	"0"	"0"	"497"	"0"
"90"	"78"	"482"	"32"	"27"	"1"	"1"	"0"	"0"	"10"	"0"	"2"	"0"	"0"	"0"	"1"	"2"	"1"	"1"	"1"	"1"	"0"	"0"	"562"	"0"	"2"	"564"	"0"
"91"	"79"	"52"	"335"	"188"	"6"	"3"	"5"	"5"	"73"	"6"	"4"	"7"	"2"	"2"	"7"	"5"	"12"	"2"	"0"	"3"	"0"	"1"	"718"	"0"	"1"	"719"	"0"
"92"	"80"	"104"	"306"	"204"	"1"	"0"	"1"	"1"	"61"	"5"	"0"	"2"	"0"	"5"	"0"	"4"	"2"	"5"	"0"	"11"	"8"	"4"	"724"	"0"	"2"	"726"	"0"
"93"	"81"	"92"	"273"	"150"	"4"	"1"	"2"	"1"	"50"	"5"	"1"	"3"	"2"	"1"	"2"	"1"	"1"	"2"	"1"	"5"	"0"	"1"	"598"	"0"	"0"	"598"	"0"
"94"	"82"	"115"	"584"	"150"	"2"	"3"	"2"	"1"	"35"	"5"	"4"	"6"	"1"	"1"	"9"	"10"	"12"	"2"	"2"	"5"	"1"	"0"	"950"	"0"	"1"	"951"	"0"
"95"	"83"	"204"	"448"	"148"	"1"	"5"	"2"	"1"	"32"	"5"	"2"	"6"	"3"	"1"	"2"	"6"	"5"	"15"	"11"	"10"	"5"	"1"	"913"	"0"	"4"	"917"	"0"
"96"	"84"	"166"	"337"	"167"	"1"	"1"	"0"	"5"	"78"	"11"	"3"	"5"	"4"	"5"	"5"	"19"	"31"	"3"	"1"	"3"	"0"	"1"	"846"	"0"	"4"	"850"	"0"
"97"	"85"	"1132"	"8"	"2"	"1"	"2"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"4"	"2"	"17"	"1"	"6"	"0"	"0"	"1178"	"0"	"0"	"1178"	"0"
"98"	"86"	"1016"	"6"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"4"	"11"	"8"	"2"	"3"	"1"	"0"	"1056"	"0"	"0"	"1056"	"0"
"99"	"87"	"862"	"16"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"4"	"19"	"7"	"1"	"2"	"0"	"0"	"915"	"0"	"0"	"915"	"0"
"100"	"88"	"277"	"478"	"28"	"10"	"0"	"1"	"9"	"6"	"1"	"5"	"8"	"2"	"2"	"3"	"9"	"18"	"18"	"12"	"14"	"3"	"4"	"908"	"0"	"9"	"917"	"0"
"101"	"89"	"782"	"4"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"6"	"14"	"1"	"4"	"0"	"0"	"821"	"0"	"0"	"821"	"0"
"102"	"90"	"545"	"271"	"79"	"7"	"5"	"4"	"5"	"24"	"2"	"5"	"2"	"1"	"1"	"1"	"6"	"11"	"14"	"2"	"5"	"0"	"2"	"992"	"0"	"3"	"995"	"0"
"103"	"91"	"454"	"3"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"2"	"4"	"16"	"1"	"5"	"1"	"1"	"494"	"0"	"0"	"494"	"0"
"104"	"92"	"754"	"60"	"3"	"0"	"2"	"1"	"2"	"1"	"1"	"0"	"8"	"1"	"0"	"0"	"0"	"5"	"28"	"1"	"3"	"1"	"0"	"871"	"0"	"1"	"872"	"0"
"105"	"93"	"85"	"361"	"107"	"2"	"2"	"1"	"3"	"15"	"3"	"0"	"3"	"1"	"2"	"2"	"2"	"5"	"3"	"4"	"19"	"6"	"4"	"630"	"0"	"12"	"642"	"0"
"106"	"94"	"274"	"272"	"283"	"5"	"1"	"0"	"2"	"77"	"4"	"6"	"3"	"5"	"4"	"6"	"12"	"21"	"6"	"6"	"8"	"6"	"6"	"1007"	"0"	"5"	"1012"	"0"
"107"	"95"	"67"	"340"	"123"	"1"	"4"	"1"	"1"	"26"	"6"	"0"	"1"	"0"	"1"	"0"	"1"	"2"	"0"	"8"	"2"	"0"	"1"	"585"	"0"	"0"	"585"	"0"
"108"	"96"	"691"	"195"	"49"	"1"	"0"	"4"	"1"	"9"	"0"	"0"	"3"	"0"	"0"	"2"	"4"	"4"	"10"	"1"	"2"	"1"	"0"	"977"	"0"	"6"	"983"	"0"
"109"	"97"	"145"	"316"	"199"	"12"	"1"	"1"	"2"	"41"	"11"	"1"	"0"	"0"	"2"	"2"	"5"	"0"	"4"	"0"	"3"	"1"	"2"	"748"	"0"	"2"	"750"	"0"
"110"	"98"	"66"	"276"	"261"	"4"	"4"	"4"	"10"	"139"	"5"	"1"	"4"	"5"	"8"	"10"	"17"	"25"	"2"	"0"	"8"	"3"	"3"	"855"	"0"	"6"	"861"	"0"
"111"	"99"	"196"	"494"	"122"	"1"	"1"	"2"	"2"	"29"	"6"	"4"	"4"	"2"	"2"	"2"	"4"	"3"	"7"	"4"	"14"	"3"	"1"	"903"	"0"	"3"	"906"	"0"
"112"	"100"	"211"	"399"	"129"	"4"	"3"	"2"	"5"	"43"	"5"	"4"	"3"	"0"	"1"	"3"	"2"	"7"	"8"	"11"	"18"	"13"	"3"	"874"	"0"	"8"	"882"	"0"
"113"	"101"	"63"	"463"	"109"	"2"	"1"	"1"	"1"	"19"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"3"	"1"	"0"	"666"	"0"	"0"	"666"	"0"
"114"	"102"	"66"	"371"	"129"	"1"	"0"	"0"	"2"	"27"	"5"	"0"	"3"	"0"	"2"	"1"	"2"	"2"	"0"	"1"	"3"	"1"	"0"	"616"	"0"	"6"	"622"	"0"
"115"	"103"	"54"	"515"	"174"	"1"	"3"	"0"	"2"	"120"	"5"	"0"	"2"	"3"	"2"	"2"	"5"	"2"	"10"	"16"	"11"	"12"	"2"	"941"	"0"	"1"	"942"	"0"
"116"	"104"	"34"	"506"	"64"	"4"	"0"	"2"	"2"	"12"	"2"	"0"	"0"	"0"	"4"	"0"	"1"	"1"	"0"	"11"	"19"	"4"	"2"	"668"	"0"	"3"	"671"	"0"
"117"	"105"	"170"	"369"	"79"	"1"	"1"	"0"	"1"	"19"	"4"	"2"	"1"	"0"	"0"	"0"	"4"	"3"	"5"	"4"	"14"	"2"	"1"	"680"	"0"	"1"	"681"	"0"
"118"	"106"	"236"	"450"	"42"	"1"	"3"	"0"	"0"	"6"	"3"	"1"	"0"	"0"	"2"	"0"	"1"	"1"	"0"	"1"	"3"	"1"	"0"	"751"	"0"	"0"	"751"	"0"
"119"	"107"	"599"	"269"	"54"	"2"	"0"	"1"	"4"	"18"	"6"	"1"	"3"	"4"	"3"	"11"	"14"	"31"	"39"	"3"	"14"	"2"	"2"	"1080"	"0"	"4"	"1084"	"0"
"120"	"108"	"339"	"55"	"88"	"0"	"1"	"0"	"1"	"39"	"2"	"0"	"0"	"0"	"1"	"1"	"0"	"3"	"0"	"0"	"0"	"0"	"1"	"531"	"0"	"0"	"531"	"0"
"121"	"109"	"244"	"116"	"75"	"1"	"0"	"0"	"3"	"120"	"1"	"3"	"3"	"0"	"4"	"2"	"14"	"21"	"8"	"0"	"2"	"0"	"0"	"617"	"0"	"3"	"620"	"0"
"122"	"110"	"38"	"333"	"45"	"2"	"0"	"0"	"2"	"13"	"5"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"4"	"3"	"4"	"5"	"1"	"457"	"0"	"0"	"457"	"0"
