"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"
"17"	"5"	"286"	"93"	"9"	"0"	"1"	"2"	"2"	"3"	"2"	"1"	"3"	"5"	"80"	"2"	"9"	"16"	"4"	"5"	"0"	"1"	"1"	"2"	"527"	"0"	"6"	"533"	"0"
"18"	"6"	"241"	"232"	"46"	"8"	"4"	"4"	"3"	"5"	"1"	"3"	"7"	"9"	"91"	"13"	"31"	"41"	"10"	"9"	"3"	"1"	"1"	"3"	"766"	"0"	"10"	"776"	"0"
"19"	"7"	"70"	"184"	"14"	"1"	"0"	"0"	"0"	"2"	"3"	"0"	"3"	"1"	"4"	"5"	"13"	"15"	"4"	"6"	"1"	"0"	"0"	"0"	"326"	"0"	"1"	"327"	"0"
"20"	"8"	"115"	"87"	"119"	"2"	"1"	"1"	"2"	"6"	"4"	"10"	"2"	"4"	"54"	"3"	"7"	"6"	"1"	"5"	"1"	"1"	"0"	"0"	"431"	"0"	"0"	"431"	"0"
"21"	"9"	"61"	"135"	"24"	"3"	"0"	"0"	"2"	"0"	"4"	"0"	"3"	"7"	"6"	"1"	"1"	"3"	"2"	"3"	"6"	"0"	"1"	"1"	"263"	"0"	"1"	"264"	"0"
"22"	"10"	"159"	"94"	"7"	"1"	"1"	"1"	"1"	"0"	"2"	"1"	"1"	"3"	"11"	"3"	"5"	"11"	"6"	"10"	"3"	"1"	"0"	"1"	"322"	"0"	"7"	"329"	"0"
"23"	"11"	"89"	"351"	"107"	"42"	"1"	"1"	"1"	"3"	"4"	"5"	"4"	"6"	"26"	"24"	"40"	"44"	"10"	"19"	"13"	"3"	"5"	"6"	"804"	"0"	"7"	"811"	"0"
"24"	"12"	"145"	"194"	"125"	"12"	"3"	"2"	"5"	"7"	"83"	"3"	"16"	"15"	"35"	"10"	"9"	"25"	"2"	"6"	"4"	"4"	"1"	"2"	"708"	"0"	"5"	"713"	"0"
"25"	"13"	"155"	"178"	"359"	"31"	"3"	"3"	"2"	"2"	"4"	"6"	"4"	"10"	"32"	"16"	"7"	"19"	"4"	"2"	"5"	"4"	"1"	"2"	"849"	"0"	"9"	"858"	"0"
"26"	"14"	"74"	"156"	"270"	"5"	"1"	"3"	"5"	"2"	"1"	"7"	"1"	"9"	"42"	"13"	"14"	"12"	"2"	"12"	"3"	"3"	"2"	"4"	"641"	"0"	"6"	"647"	"0"
"27"	"15"	"111"	"200"	"9"	"2"	"2"	"2"	"3"	"3"	"1"	"4"	"2"	"9"	"84"	"6"	"9"	"12"	"10"	"8"	"2"	"2"	"0"	"3"	"484"	"0"	"5"	"489"	"0"
"28"	"16"	"13"	"139"	"18"	"15"	"0"	"0"	"1"	"2"	"5"	"2"	"3"	"6"	"49"	"6"	"9"	"11"	"2"	"6"	"5"	"2"	"0"	"2"	"296"	"0"	"4"	"300"	"0"
"29"	"17"	"116"	"149"	"19"	"6"	"2"	"4"	"2"	"3"	"0"	"2"	"3"	"6"	"294"	"8"	"15"	"11"	"4"	"5"	"3"	"4"	"4"	"0"	"660"	"0"	"5"	"665"	"0"
"30"	"18"	"108"	"225"	"39"	"6"	"0"	"3"	"2"	"2"	"6"	"5"	"5"	"9"	"53"	"10"	"27"	"16"	"13"	"3"	"1"	"1"	"3"	"3"	"540"	"0"	"2"	"542"	"0"
"31"	"19"	"82"	"140"	"3"	"2"	"0"	"0"	"4"	"1"	"1"	"2"	"3"	"4"	"48"	"8"	"8"	"22"	"14"	"8"	"3"	"0"	"1"	"0"	"354"	"0"	"2"	"356"	"0"
"32"	"20"	"191"	"295"	"7"	"4"	"4"	"1"	"1"	"4"	"2"	"2"	"3"	"10"	"56"	"3"	"34"	"41"	"3"	"5"	"1"	"1"	"0"	"1"	"669"	"0"	"3"	"672"	"0"
"33"	"21"	"16"	"198"	"10"	"1"	"1"	"0"	"1"	"0"	"3"	"3"	"3"	"9"	"27"	"10"	"17"	"9"	"3"	"2"	"3"	"1"	"0"	"0"	"317"	"0"	"1"	"318"	"0"
"34"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"35"	"23"	"95"	"283"	"40"	"8"	"1"	"4"	"1"	"2"	"10"	"4"	"7"	"10"	"88"	"6"	"17"	"17"	"5"	"17"	"0"	"1"	"1"	"0"	"617"	"0"	"3"	"620"	"0"
"36"	"24"	"119"	"94"	"171"	"25"	"3"	"6"	"7"	"7"	"7"	"4"	"5"	"8"	"80"	"10"	"7"	"21"	"27"	"13"	"16"	"24"	"11"	"11"	"676"	"0"	"21"	"697"	"0"
"37"	"25"	"131"	"493"	"49"	"28"	"2"	"6"	"2"	"4"	"6"	"2"	"5"	"7"	"33"	"15"	"35"	"21"	"12"	"48"	"15"	"9"	"1"	"10"	"934"	"0"	"16"	"950"	"0"
"38"	"26"	"252"	"71"	"28"	"9"	"4"	"1"	"3"	"2"	"0"	"1"	"2"	"3"	"39"	"5"	"8"	"16"	"26"	"14"	"4"	"5"	"3"	"1"	"497"	"0"	"1"	"498"	"0"
"39"	"27"	"58"	"124"	"62"	"164"	"8"	"2"	"4"	"2"	"6"	"7"	"10"	"15"	"334"	"14"	"12"	"11"	"5"	"11"	"5"	"5"	"5"	"4"	"868"	"0"	"2"	"870"	"0"
"40"	"28"	"44"	"242"	"19"	"21"	"5"	"3"	"3"	"3"	"8"	"1"	"7"	"12"	"59"	"9"	"18"	"34"	"7"	"57"	"13"	"3"	"2"	"5"	"575"	"0"	"7"	"582"	"0"
"41"	"29"	"284"	"330"	"30"	"15"	"0"	"4"	"1"	"3"	"3"	"8"	"5"	"8"	"20"	"12"	"26"	"38"	"33"	"18"	"8"	"4"	"4"	"7"	"861"	"0"	"15"	"876"	"0"
"42"	"30"	"174"	"255"	"31"	"10"	"0"	"4"	"3"	"3"	"10"	"2"	"5"	"17"	"25"	"19"	"24"	"0"	"7"	"17"	"5"	"2"	"3"	"6"	"622"	"0"	"11"	"633"	"0"
"43"	"31"	"36"	"162"	"146"	"67"	"3"	"3"	"0"	"2"	"3"	"3"	"4"	"7"	"68"	"13"	"11"	"6"	"0"	"5"	"2"	"3"	"0"	"1"	"545"	"0"	"1"	"546"	"0"
"44"	"32"	"197"	"114"	"13"	"15"	"0"	"2"	"1"	"1"	"2"	"5"	"6"	"10"	"10"	"9"	"32"	"41"	"2"	"53"	"2"	"1"	"2"	"2"	"520"	"0"	"9"	"529"	"0"
"45"	"33"	"126"	"217"	"161"	"15"	"3"	"4"	"2"	"9"	"6"	"7"	"1"	"12"	"13"	"16"	"12"	"15"	"13"	"26"	"9"	"6"	"1"	"6"	"680"	"0"	"11"	"691"	"0"
"46"	"34"	"397"	"103"	"19"	"5"	"0"	"1"	"2"	"0"	"1"	"2"	"2"	"3"	"95"	"2"	"2"	"10"	"14"	"8"	"4"	"1"	"2"	"5"	"678"	"0"	"6"	"684"	"0"
"47"	"35"	"323"	"307"	"33"	"13"	"5"	"2"	"3"	"1"	"3"	"1"	"7"	"8"	"48"	"5"	"15"	"13"	"15"	"30"	"15"	"6"	"6"	"13"	"872"	"0"	"19"	"891"	"0"
"48"	"36"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"49"	"37"	"128"	"247"	"23"	"4"	"1"	"0"	"1"	"2"	"5"	"1"	"2"	"4"	"83"	"3"	"15"	"16"	"9"	"12"	"4"	"2"	"2"	"6"	"570"	"0"	"8"	"578"	"0"
"50"	"38"	"121"	"96"	"24"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"15"	"0"	"1"	"6"	"3"	"7"	"1"	"3"	"0"	"0"	"288"	"0"	"2"	"290"	"0"
"51"	"39"	"14"	"79"	"94"	"2"	"1"	"3"	"1"	"1"	"7"	"3"	"3"	"5"	"178"	"13"	"1"	"14"	"0"	"5"	"3"	"4"	"0"	"3"	"434"	"0"	"0"	"434"	"0"
"52"	"40"	"190"	"167"	"14"	"85"	"2"	"2"	"0"	"0"	"0"	"0"	"1"	"0"	"8"	"1"	"3"	"1"	"4"	"2"	"1"	"0"	"0"	"0"	"481"	"0"	"3"	"484"	"0"
"53"	"41"	"65"	"91"	"37"	"90"	"6"	"1"	"4"	"1"	"0"	"3"	"3"	"0"	"21"	"2"	"2"	"11"	"1"	"4"	"4"	"5"	"0"	"2"	"353"	"0"	"4"	"357"	"0"
"54"	"42"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"55"	"43"	"129"	"70"	"53"	"16"	"1"	"0"	"1"	"0"	"0"	"1"	"2"	"3"	"25"	"7"	"14"	"16"	"2"	"2"	"1"	"1"	"0"	"0"	"344"	"0"	"1"	"345"	"0"
"56"	"44"	"193"	"233"	"109"	"6"	"1"	"3"	"1"	"0"	"1"	"1"	"3"	"3"	"18"	"6"	"3"	"11"	"2"	"4"	"2"	"0"	"0"	"1"	"601"	"0"	"5"	"606"	"0"
"57"	"45"	"246"	"285"	"26"	"2"	"2"	"3"	"1"	"0"	"2"	"1"	"4"	"6"	"19"	"8"	"26"	"41"	"15"	"20"	"2"	"3"	"2"	"2"	"716"	"0"	"7"	"723"	"0"
"58"	"46"	"229"	"246"	"84"	"35"	"4"	"2"	"4"	"6"	"10"	"4"	"4"	"8"	"87"	"8"	"4"	"8"	"16"	"16"	"20"	"12"	"7"	"14"	"828"	"0"	"9"	"837"	"0"
"59"	"47"	"374"	"127"	"23"	"23"	"1"	"0"	"4"	"3"	"6"	"2"	"5"	"5"	"22"	"3"	"10"	"37"	"9"	"1"	"1"	"1"	"0"	"0"	"657"	"0"	"5"	"662"	"0"
"60"	"48"	"272"	"95"	"43"	"28"	"2"	"4"	"3"	"0"	"6"	"4"	"7"	"15"	"204"	"12"	"14"	"32"	"18"	"9"	"3"	"4"	"0"	"1"	"776"	"0"	"3"	"779"	"0"
"61"	"49"	"90"	"265"	"39"	"16"	"4"	"4"	"3"	"2"	"5"	"6"	"4"	"8"	"64"	"13"	"15"	"30"	"8"	"16"	"10"	"7"	"5"	"3"	"617"	"0"	"10"	"627"	"0"
"62"	"50"	"92"	"199"	"86"	"58"	"1"	"3"	"2"	"4"	"2"	"5"	"1"	"2"	"28"	"1"	"2"	"3"	"1"	"2"	"2"	"3"	"2"	"1"	"500"	"0"	"2"	"502"	"0"
"63"	"51"	"80"	"540"	"43"	"4"	"0"	"2"	"3"	"6"	"10"	"5"	"8"	"14"	"16"	"18"	"47"	"48"	"2"	"11"	"3"	"0"	"2"	"4"	"866"	"0"	"4"	"870"	"0"
"64"	"52"	"179"	"31"	"86"	"10"	"0"	"4"	"3"	"0"	"2"	"5"	"0"	"5"	"69"	"2"	"0"	"2"	"6"	"7"	"5"	"9"	"3"	"3"	"431"	"0"	"3"	"434"	"0"
"65"	"53"	"15"	"155"	"100"	"11"	"7"	"3"	"2"	"0"	"4"	"6"	"2"	"4"	"159"	"12"	"3"	"11"	"1"	"2"	"0"	"4"	"0"	"2"	"503"	"0"	"2"	"505"	"0"
"66"	"54"	"63"	"156"	"42"	"81"	"6"	"1"	"4"	"0"	"5"	"7"	"1"	"6"	"80"	"2"	"5"	"2"	"3"	"7"	"7"	"3"	"0"	"1"	"482"	"0"	"3"	"485"	"0"
"67"	"55"	"55"	"194"	"61"	"241"	"11"	"3"	"4"	"2"	"4"	"2"	"3"	"13"	"34"	"10"	"22"	"19"	"12"	"34"	"17"	"25"	"11"	"13"	"790"	"0"	"17"	"807"	"0"
"68"	"56"	"22"	"107"	"85"	"7"	"0"	"0"	"1"	"2"	"0"	"5"	"2"	"6"	"59"	"6"	"6"	"7"	"1"	"3"	"2"	"0"	"0"	"0"	"321"	"0"	"1"	"322"	"0"
"69"	"57"	"7"	"95"	"43"	"84"	"1"	"2"	"0"	"1"	"4"	"6"	"4"	"11"	"168"	"4"	"12"	"7"	"4"	"5"	"6"	"5"	"1"	"3"	"473"	"0"	"8"	"481"	"0"
"70"	"58"	"86"	"189"	"145"	"62"	"2"	"4"	"1"	"5"	"7"	"24"	"3"	"7"	"102"	"7"	"4"	"22"	"2"	"1"	"5"	"4"	"2"	"2"	"686"	"0"	"3"	"689"	"0"
"71"	"59"	"9"	"85"	"6"	"96"	"2"	"1"	"2"	"2"	"7"	"2"	"5"	"15"	"228"	"7"	"9"	"8"	"0"	"5"	"2"	"4"	"2"	"2"	"499"	"0"	"3"	"502"	"0"
"72"	"60"	"14"	"42"	"39"	"2"	"1"	"0"	"1"	"2"	"3"	"4"	"0"	"3"	"85"	"4"	"9"	"7"	"0"	"2"	"0"	"2"	"0"	"1"	"221"	"0"	"2"	"223"	"0"
"73"	"61"	"36"	"432"	"87"	"10"	"0"	"3"	"2"	"2"	"3"	"6"	"5"	"9"	"163"	"16"	"29"	"14"	"2"	"44"	"10"	"4"	"1"	"1"	"879"	"0"	"2"	"881"	"0"
"74"	"62"	"277"	"466"	"37"	"6"	"0"	"6"	"3"	"4"	"2"	"1"	"4"	"3"	"27"	"6"	"4"	"12"	"1"	"12"	"2"	"2"	"0"	"2"	"877"	"0"	"4"	"881"	"0"
"75"	"63"	"174"	"357"	"71"	"2"	"4"	"1"	"0"	"2"	"0"	"4"	"2"	"4"	"13"	"2"	"5"	"2"	"6"	"24"	"6"	"3"	"7"	"8"	"697"	"0"	"4"	"701"	"0"
"76"	"64"	"2"	"26"	"172"	"7"	"1"	"1"	"1"	"2"	"1"	"4"	"2"	"4"	"165"	"26"	"9"	"12"	"2"	"0"	"5"	"1"	"2"	"0"	"445"	"0"	"2"	"447"	"0"
"77"	"65"	"28"	"99"	"158"	"13"	"0"	"1"	"1"	"0"	"2"	"4"	"1"	"1"	"19"	"12"	"4"	"16"	"4"	"3"	"3"	"4"	"5"	"2"	"380"	"0"	"5"	"385"	"0"
"78"	"66"	"68"	"65"	"173"	"4"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"2"	"12"	"7"	"3"	"3"	"0"	"2"	"1"	"5"	"0"	"1"	"348"	"0"	"0"	"348"	"0"
"79"	"67"	"60"	"289"	"351"	"52"	"4"	"2"	"2"	"2"	"2"	"1"	"4"	"1"	"18"	"10"	"6"	"9"	"4"	"7"	"4"	"4"	"0"	"0"	"832"	"0"	"1"	"833"	"0"
"80"	"68"	"87"	"209"	"161"	"4"	"3"	"4"	"2"	"3"	"2"	"6"	"4"	"4"	"43"	"9"	"11"	"13"	"6"	"11"	"9"	"6"	"4"	"1"	"602"	"0"	"1"	"603"	"0"
"81"	"69"	"248"	"74"	"215"	"10"	"4"	"3"	"3"	"2"	"2"	"6"	"4"	"7"	"37"	"32"	"8"	"27"	"5"	"2"	"11"	"0"	"2"	"0"	"702"	"0"	"4"	"706"	"0"
"82"	"70"	"161"	"113"	"40"	"28"	"6"	"1"	"4"	"4"	"8"	"3"	"5"	"14"	"259"	"6"	"12"	"22"	"1"	"3"	"3"	"0"	"1"	"1"	"695"	"0"	"2"	"697"	"0"
"83"	"71"	"93"	"219"	"27"	"4"	"5"	"0"	"2"	"4"	"7"	"1"	"2"	"7"	"47"	"6"	"7"	"10"	"9"	"6"	"5"	"0"	"1"	"1"	"463"	"0"	"3"	"466"	"0"
"84"	"72"	"111"	"63"	"11"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"27"	"0"	"1"	"0"	"1"	"2"	"1"	"1"	"0"	"0"	"221"	"0"	"1"	"222"	"0"
"85"	"73"	"50"	"133"	"40"	"212"	"3"	"2"	"1"	"4"	"3"	"3"	"6"	"7"	"72"	"9"	"5"	"10"	"2"	"8"	"5"	"5"	"3"	"3"	"586"	"0"	"8"	"594"	"0"
"86"	"74"	"156"	"115"	"128"	"36"	"0"	"2"	"1"	"3"	"2"	"0"	"0"	"2"	"14"	"1"	"1"	"3"	"9"	"5"	"5"	"5"	"2"	"4"	"494"	"0"	"4"	"498"	"0"
"87"	"75"	"47"	"49"	"223"	"24"	"0"	"2"	"1"	"0"	"0"	"0"	"2"	"2"	"48"	"6"	"4"	"8"	"1"	"8"	"5"	"1"	"0"	"0"	"431"	"0"	"2"	"433"	"0"
"88"	"76"	"91"	"189"	"361"	"7"	"3"	"5"	"4"	"1"	"2"	"14"	"9"	"16"	"68"	"23"	"7"	"7"	"5"	"18"	"8"	"10"	"4"	"4"	"856"	"0"	"8"	"864"	"0"
"89"	"77"	"23"	"168"	"411"	"9"	"1"	"2"	"1"	"2"	"3"	"7"	"3"	"5"	"141"	"20"	"9"	"5"	"3"	"11"	"12"	"6"	"5"	"5"	"852"	"0"	"12"	"864"	"0"
"90"	"78"	"200"	"62"	"33"	"5"	"1"	"0"	"5"	"3"	"4"	"6"	"1"	"4"	"102"	"6"	"7"	"10"	"0"	"5"	"0"	"2"	"0"	"2"	"458"	"0"	"1"	"459"	"0"
"91"	"79"	"177"	"157"	"35"	"5"	"0"	"0"	"1"	"1"	"0"	"1"	"6"	"4"	"72"	"13"	"13"	"21"	"6"	"17"	"6"	"1"	"2"	"3"	"541"	"0"	"11"	"552"	"0"
"92"	"80"	"110"	"164"	"43"	"104"	"6"	"3"	"4"	"1"	"1"	"3"	"7"	"13"	"25"	"6"	"13"	"16"	"3"	"10"	"2"	"4"	"6"	"3"	"547"	"0"	"4"	"551"	"0"
"93"	"81"	"241"	"102"	"85"	"6"	"2"	"0"	"2"	"0"	"3"	"0"	"5"	"7"	"40"	"1"	"11"	"14"	"14"	"4"	"1"	"3"	"0"	"2"	"543"	"0"	"5"	"548"	"0"
"94"	"82"	"73"	"110"	"29"	"3"	"0"	"0"	"1"	"1"	"4"	"4"	"2"	"0"	"147"	"4"	"2"	"4"	"1"	"3"	"1"	"0"	"0"	"0"	"389"	"0"	"1"	"390"	"0"
"95"	"83"	"201"	"194"	"93"	"2"	"3"	"5"	"4"	"5"	"7"	"7"	"7"	"13"	"39"	"11"	"30"	"39"	"3"	"12"	"5"	"1"	"2"	"0"	"683"	"0"	"2"	"685"	"0"
"96"	"84"	"49"	"197"	"113"	"4"	"0"	"0"	"1"	"4"	"1"	"8"	"1"	"3"	"28"	"2"	"3"	"0"	"4"	"18"	"7"	"12"	"2"	"2"	"459"	"0"	"1"	"460"	"0"
"97"	"85"	"282"	"176"	"243"	"3"	"1"	"3"	"2"	"1"	"1"	"1"	"2"	"3"	"49"	"1"	"0"	"3"	"2"	"13"	"0"	"1"	"1"	"2"	"790"	"0"	"0"	"790"	"0"
"98"	"86"	"116"	"537"	"102"	"41"	"3"	"3"	"1"	"5"	"8"	"8"	"7"	"16"	"47"	"21"	"35"	"42"	"3"	"6"	"3"	"8"	"1"	"3"	"1016"	"0"	"2"	"1018"	"0"
"99"	"87"	"80"	"138"	"179"	"32"	"2"	"3"	"1"	"4"	"3"	"3"	"7"	"9"	"89"	"5"	"3"	"0"	"3"	"8"	"3"	"3"	"3"	"0"	"578"	"0"	"3"	"581"	"0"
"100"	"88"	"59"	"209"	"132"	"14"	"2"	"1"	"0"	"0"	"2"	"6"	"5"	"2"	"27"	"10"	"21"	"6"	"7"	"6"	"4"	"1"	"1"	"2"	"517"	"0"	"0"	"517"	"0"
"101"	"88A"	"100"	"70"	"187"	"2"	"1"	"0"	"1"	"0"	"2"	"6"	"1"	"2"	"21"	"8"	"3"	"11"	"4"	"3"	"2"	"2"	"0"	"0"	"426"	"0"	"1"	"427"	"0"
"102"	"89"	"97"	"524"	"53"	"140"	"5"	"1"	"2"	"3"	"6"	"5"	"13"	"24"	"174"	"22"	"36"	"27"	"5"	"15"	"4"	"0"	"1"	"0"	"1157"	"0"	"5"	"1162"	"0"
"103"	"90"	"228"	"194"	"183"	"9"	"1"	"3"	"1"	"3"	"5"	"2"	"6"	"8"	"70"	"13"	"9"	"27"	"9"	"24"	"12"	"5"	"3"	"5"	"820"	"0"	"12"	"832"	"0"
"104"	"91"	"20"	"111"	"79"	"7"	"2"	"9"	"3"	"7"	"7"	"4"	"12"	"20"	"63"	"18"	"16"	"41"	"7"	"540"	"15"	"8"	"11"	"10"	"1010"	"0"	"17"	"1027"	"0"
"105"	"92"	"170"	"175"	"41"	"7"	"2"	"2"	"11"	"3"	"8"	"8"	"12"	"16"	"245"	"13"	"17"	"30"	"9"	"86"	"10"	"3"	"7"	"3"	"878"	"0"	"15"	"893"	"0"
"106"	"93"	"40"	"132"	"52"	"11"	"1"	"1"	"4"	"3"	"7"	"5"	"12"	"15"	"174"	"8"	"5"	"15"	"6"	"31"	"6"	"3"	"2"	"2"	"535"	"0"	"9"	"544"	"0"
"107"	"94"	"227"	"314"	"72"	"8"	"2"	"2"	"3"	"6"	"6"	"5"	"8"	"8"	"10"	"3"	"7"	"11"	"9"	"30"	"3"	"2"	"5"	"2"	"743"	"0"	"3"	"746"	"0"
"108"	"95"	"206"	"141"	"25"	"3"	"3"	"1"	"2"	"1"	"3"	"0"	"4"	"6"	"15"	"7"	"9"	"17"	"1"	"29"	"1"	"0"	"0"	"0"	"474"	"0"	"5"	"479"	"0"
"109"	"96"	"188"	"195"	"217"	"9"	"1"	"1"	"4"	"2"	"5"	"13"	"5"	"4"	"24"	"8"	"3"	"10"	"11"	"26"	"14"	"21"	"6"	"5"	"772"	"0"	"16"	"788"	"0"
"110"	"97"	"151"	"359"	"47"	"7"	"0"	"0"	"2"	"4"	"8"	"5"	"7"	"15"	"25"	"19"	"24"	"29"	"3"	"109"	"4"	"0"	"3"	"0"	"821"	"0"	"2"	"823"	"0"
"111"	"98"	"100"	"120"	"101"	"4"	"6"	"3"	"5"	"7"	"8"	"7"	"9"	"25"	"33"	"14"	"10"	"38"	"4"	"226"	"4"	"3"	"7"	"0"	"734"	"0"	"5"	"739"	"0"
"112"	"99"	"285"	"69"	"90"	"3"	"6"	"4"	"3"	"3"	"8"	"5"	"4"	"8"	"105"	"14"	"10"	"36"	"10"	"49"	"4"	"4"	"5"	"4"	"729"	"0"	"4"	"733"	"0"
"113"	"100"	"81"	"115"	"96"	"146"	"5"	"1"	"1"	"3"	"0"	"10"	"5"	"6"	"37"	"8"	"9"	"9"	"13"	"23"	"14"	"14"	"2"	"1"	"599"	"0"	"11"	"610"	"0"
"114"	"101"	"63"	"179"	"290"	"15"	"2"	"4"	"2"	"3"	"3"	"12"	"7"	"11"	"34"	"22"	"12"	"23"	"6"	"9"	"11"	"7"	"3"	"3"	"721"	"0"	"2"	"723"	"0"
"115"	"102"	"162"	"247"	"121"	"10"	"4"	"4"	"3"	"3"	"4"	"7"	"8"	"6"	"21"	"8"	"6"	"25"	"9"	"11"	"7"	"6"	"4"	"4"	"680"	"0"	"11"	"691"	"0"
"116"	"103"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"117"	"104"	"128"	"324"	"80"	"5"	"0"	"1"	"7"	"2"	"3"	"5"	"5"	"11"	"38"	"4"	"4"	"6"	"17"	"26"	"18"	"10"	"5"	"4"	"703"	"0"	"3"	"706"	"0"
"118"	"105"	"109"	"237"	"279"	"11"	"3"	"4"	"3"	"2"	"0"	"11"	"4"	"7"	"32"	"12"	"6"	"7"	"5"	"14"	"3"	"2"	"0"	"2"	"753"	"0"	"2"	"755"	"0"
