"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"
"17"	"5"	"96"	"102"	"2"	"59"	"0"	"3"	"2"	"9"	"2"	"0"	"3"	"1"	"2"	"3"	"3"	"5"	"4"	"2"	"1"	"0"	"0"	"1"	"300"	"0"	"1"	"301"	"0"
"18"	"6"	"6"	"249"	"2"	"24"	"1"	"2"	"1"	"5"	"2"	"1"	"0"	"1"	"0"	"3"	"11"	"6"	"0"	"2"	"2"	"2"	"0"	"0"	"320"	"0"	"5"	"325"	"0"
"19"	"7"	"15"	"174"	"68"	"71"	"7"	"1"	"5"	"5"	"2"	"2"	"4"	"2"	"7"	"1"	"6"	"10"	"3"	"3"	"0"	"0"	"3"	"0"	"389"	"0"	"2"	"391"	"0"
"20"	"8"	"76"	"146"	"2"	"20"	"3"	"3"	"3"	"33"	"1"	"1"	"0"	"0"	"3"	"2"	"6"	"5"	"4"	"3"	"1"	"0"	"1"	"1"	"314"	"0"	"2"	"316"	"0"
"21"	"9"	"31"	"75"	"4"	"95"	"5"	"1"	"1"	"2"	"0"	"2"	"1"	"1"	"1"	"2"	"3"	"6"	"1"	"3"	"1"	"3"	"0"	"1"	"239"	"0"	"6"	"245"	"0"
"22"	"10"	"13"	"131"	"3"	"143"	"5"	"3"	"1"	"2"	"3"	"0"	"1"	"0"	"6"	"3"	"5"	"6"	"3"	"5"	"2"	"2"	"2"	"0"	"339"	"0"	"0"	"339"	"0"
"23"	"11"	"10"	"215"	"4"	"57"	"6"	"1"	"0"	"1"	"0"	"0"	"2"	"0"	"0"	"5"	"4"	"5"	"5"	"1"	"2"	"2"	"0"	"0"	"320"	"0"	"1"	"321"	"0"
"24"	"12"	"159"	"43"	"6"	"16"	"3"	"7"	"1"	"0"	"2"	"4"	"3"	"2"	"5"	"1"	"11"	"9"	"7"	"0"	"1"	"0"	"0"	"1"	"281"	"0"	"2"	"283"	"0"
"25"	"13"	"9"	"130"	"6"	"188"	"10"	"3"	"2"	"10"	"3"	"0"	"3"	"6"	"14"	"2"	"4"	"15"	"0"	"6"	"1"	"4"	"2"	"0"	"418"	"0"	"2"	"420"	"0"
"26"	"14"	"12"	"56"	"65"	"191"	"5"	"1"	"1"	"31"	"0"	"0"	"0"	"3"	"5"	"1"	"0"	"1"	"0"	"1"	"0"	"3"	"0"	"0"	"376"	"0"	"2"	"378"	"0"
"27"	"15"	"72"	"254"	"23"	"146"	"18"	"4"	"1"	"83"	"4"	"3"	"11"	"5"	"18"	"14"	"19"	"27"	"6"	"3"	"62"	"6"	"2"	"3"	"784"	"0"	"6"	"790"	"0"
"28"	"16"	"18"	"114"	"1"	"114"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"1"	"3"	"0"	"1"	"3"	"1"	"0"	"0"	"259"	"0"	"0"	"259"	"0"
"29"	"17"	"206"	"53"	"4"	"68"	"2"	"5"	"2"	"7"	"0"	"0"	"0"	"5"	"5"	"7"	"8"	"23"	"4"	"1"	"2"	"3"	"3"	"0"	"408"	"0"	"4"	"412"	"0"
"30"	"18"	"28"	"84"	"27"	"237"	"3"	"4"	"2"	"1"	"2"	"0"	"1"	"0"	"9"	"0"	"0"	"3"	"6"	"8"	"2"	"5"	"4"	"2"	"428"	"0"	"3"	"431"	"0"
"31"	"19"	"58"	"219"	"7"	"126"	"3"	"7"	"1"	"25"	"3"	"1"	"5"	"5"	"15"	"4"	"19"	"18"	"8"	"8"	"2"	"3"	"0"	"0"	"537"	"0"	"5"	"542"	"0"
"32"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"33"	"21"	"22"	"265"	"6"	"45"	"5"	"0"	"2"	"4"	"1"	"1"	"0"	"0"	"0"	"2"	"2"	"6"	"12"	"4"	"1"	"3"	"1"	"0"	"382"	"0"	"3"	"385"	"0"
"34"	"22"	"19"	"285"	"12"	"299"	"6"	"2"	"0"	"6"	"3"	"3"	"4"	"3"	"8"	"4"	"7"	"11"	"5"	"7"	"3"	"5"	"2"	"1"	"695"	"0"	"4"	"699"	"0"
"35"	"23"	"15"	"267"	"42"	"182"	"6"	"3"	"2"	"6"	"2"	"2"	"3"	"1"	"11"	"4"	"14"	"19"	"12"	"49"	"9"	"27"	"3"	"10"	"689"	"0"	"27"	"716"	"0"
"36"	"24"	"7"	"479"	"5"	"127"	"4"	"6"	"0"	"4"	"0"	"1"	"1"	"1"	"4"	"0"	"3"	"6"	"3"	"3"	"1"	"0"	"0"	"0"	"655"	"0"	"0"	"655"	"0"
"37"	"25"	"11"	"272"	"6"	"134"	"11"	"0"	"0"	"0"	"2"	"2"	"2"	"4"	"6"	"3"	"10"	"11"	"3"	"4"	"0"	"5"	"1"	"3"	"490"	"0"	"0"	"490"	"0"
"38"	"26"	"3"	"250"	"5"	"168"	"5"	"1"	"1"	"4"	"2"	"1"	"2"	"3"	"12"	"3"	"2"	"4"	"6"	"5"	"1"	"3"	"3"	"2"	"486"	"0"	"6"	"492"	"0"
"39"	"27"	"5"	"185"	"2"	"52"	"0"	"1"	"0"	"10"	"0"	"0"	"0"	"1"	"5"	"1"	"0"	"1"	"0"	"3"	"28"	"5"	"2"	"1"	"302"	"0"	"0"	"302"	"0"
"40"	"28"	"40"	"226"	"6"	"18"	"4"	"0"	"2"	"40"	"2"	"1"	"4"	"0"	"4"	"2"	"15"	"15"	"4"	"2"	"2"	"0"	"0"	"1"	"388"	"0"	"3"	"391"	"0"
"41"	"29"	"6"	"323"	"4"	"137"	"13"	"3"	"4"	"6"	"2"	"5"	"1"	"2"	"13"	"7"	"20"	"10"	"4"	"5"	"2"	"6"	"2"	"1"	"576"	"0"	"7"	"583"	"0"
"42"	"30"	"37"	"346"	"17"	"116"	"9"	"5"	"3"	"8"	"1"	"7"	"5"	"3"	"11"	"17"	"21"	"19"	"3"	"5"	"1"	"1"	"0"	"0"	"635"	"0"	"6"	"641"	"0"
"43"	"31"	"16"	"216"	"2"	"51"	"0"	"0"	"1"	"5"	"0"	"1"	"3"	"1"	"3"	"3"	"9"	"4"	"4"	"15"	"2"	"4"	"0"	"2"	"342"	"0"	"4"	"346"	"0"
"44"	"32"	"12"	"220"	"13"	"106"	"12"	"3"	"0"	"9"	"4"	"1"	"5"	"7"	"11"	"14"	"26"	"16"	"3"	"8"	"0"	"4"	"3"	"1"	"478"	"0"	"3"	"481"	"0"
"45"	"33"	"50"	"64"	"98"	"148"	"11"	"3"	"7"	"2"	"1"	"3"	"4"	"6"	"27"	"14"	"8"	"12"	"12"	"10"	"4"	"9"	"3"	"4"	"500"	"0"	"7"	"507"	"0"
"46"	"34"	"7"	"375"	"2"	"81"	"3"	"4"	"1"	"5"	"0"	"0"	"1"	"1"	"5"	"2"	"1"	"3"	"1"	"3"	"6"	"3"	"1"	"0"	"505"	"0"	"1"	"506"	"0"
"47"	"35"	"19"	"158"	"2"	"16"	"4"	"1"	"2"	"1"	"1"	"1"	"2"	"2"	"2"	"3"	"6"	"4"	"4"	"5"	"0"	"4"	"2"	"2"	"241"	"0"	"2"	"243"	"0"
"48"	"36"	"0"	"1"	"0"	"25"	"0"	"1"	"0"	"0"	"2"	"0"	"1"	"0"	"4"	"0"	"0"	"2"	"1"	"0"	"0"	"1"	"1"	"0"	"39"	"0"	"0"	"39"	"0"
"49"	"37"	"8"	"275"	"54"	"67"	"2"	"0"	"0"	"0"	"2"	"0"	"3"	"1"	"2"	"3"	"6"	"0"	"2"	"5"	"1"	"4"	"0"	"0"	"435"	"0"	"1"	"436"	"0"
"50"	"38"	"46"	"218"	"4"	"202"	"5"	"3"	"1"	"6"	"3"	"1"	"5"	"9"	"24"	"7"	"5"	"16"	"7"	"4"	"0"	"8"	"1"	"0"	"575"	"0"	"4"	"579"	"0"
"51"	"39"	"8"	"153"	"3"	"120"	"10"	"2"	"0"	"3"	"3"	"1"	"3"	"3"	"8"	"4"	"16"	"16"	"4"	"2"	"1"	"1"	"0"	"2"	"363"	"0"	"0"	"363"	"0"
"52"	"40"	"9"	"96"	"0"	"188"	"4"	"1"	"0"	"1"	"0"	"1"	"1"	"3"	"8"	"1"	"2"	"19"	"1"	"2"	"0"	"0"	"4"	"0"	"341"	"0"	"0"	"341"	"0"
"53"	"41"	"6"	"275"	"4"	"96"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"1"	"2"	"2"	"9"	"1"	"1"	"2"	"1"	"0"	"0"	"403"	"0"	"4"	"407"	"0"
"54"	"42"	"4"	"189"	"124"	"19"	"0"	"1"	"1"	"4"	"0"	"0"	"1"	"1"	"1"	"2"	"1"	"1"	"3"	"1"	"4"	"0"	"0"	"0"	"357"	"0"	"4"	"361"	"0"
"55"	"43"	"137"	"115"	"8"	"148"	"4"	"1"	"0"	"2"	"2"	"1"	"1"	"2"	"7"	"8"	"19"	"26"	"0"	"6"	"0"	"3"	"3"	"2"	"495"	"0"	"0"	"495"	"0"
"56"	"44"	"62"	"116"	"8"	"188"	"8"	"3"	"0"	"8"	"1"	"0"	"8"	"6"	"11"	"4"	"8"	"14"	"9"	"9"	"2"	"5"	"1"	"4"	"475"	"0"	"8"	"483"	"0"
"57"	"45"	"33"	"206"	"24"	"83"	"3"	"1"	"0"	"8"	"1"	"1"	"2"	"1"	"5"	"3"	"6"	"5"	"2"	"5"	"1"	"4"	"0"	"1"	"395"	"0"	"1"	"396"	"0"
"58"	"46"	"22"	"273"	"12"	"53"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"3"	"1"	"1"	"0"	"0"	"0"	"0"	"370"	"0"	"0"	"370"	"0"
"59"	"47"	"40"	"127"	"2"	"39"	"1"	"1"	"0"	"4"	"2"	"1"	"1"	"2"	"1"	"1"	"11"	"6"	"3"	"3"	"1"	"0"	"0"	"0"	"246"	"0"	"3"	"249"	"0"
"60"	"48"	"6"	"344"	"3"	"77"	"2"	"1"	"2"	"11"	"4"	"0"	"0"	"2"	"6"	"1"	"4"	"7"	"4"	"10"	"2"	"2"	"0"	"1"	"489"	"0"	"2"	"491"	"0"
"61"	"49"	"83"	"264"	"0"	"123"	"3"	"1"	"0"	"11"	"1"	"2"	"4"	"3"	"6"	"5"	"7"	"8"	"3"	"3"	"1"	"3"	"0"	"1"	"532"	"0"	"2"	"534"	"0"
"62"	"50"	"26"	"377"	"11"	"140"	"2"	"0"	"1"	"7"	"3"	"1"	"3"	"1"	"11"	"0"	"10"	"7"	"4"	"9"	"1"	"1"	"1"	"1"	"617"	"0"	"1"	"618"	"0"
"63"	"51"	"56"	"134"	"2"	"210"	"4"	"0"	"0"	"1"	"1"	"1"	"1"	"5"	"7"	"4"	"2"	"4"	"1"	"2"	"0"	"4"	"3"	"3"	"445"	"0"	"4"	"449"	"0"
"64"	"52"	"6"	"216"	"3"	"18"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"3"	"2"	"7"	"5"	"0"	"2"	"0"	"0"	"0"	"0"	"263"	"0"	"0"	"263"	"0"
"65"	"53"	"60"	"179"	"4"	"212"	"2"	"4"	"2"	"2"	"1"	"0"	"2"	"4"	"10"	"10"	"12"	"15"	"5"	"5"	"2"	"4"	"1"	"3"	"539"	"0"	"5"	"544"	"0"
"66"	"54"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"67"	"55"	"42"	"58"	"3"	"41"	"1"	"2"	"0"	"0"	"1"	"1"	"1"	"0"	"3"	"1"	"0"	"4"	"1"	"1"	"0"	"1"	"0"	"1"	"162"	"0"	"0"	"162"	"0"
"68"	"56"	"36"	"72"	"3"	"94"	"6"	"3"	"1"	"0"	"1"	"1"	"2"	"2"	"6"	"1"	"1"	"6"	"2"	"3"	"2"	"5"	"0"	"0"	"247"	"0"	"3"	"250"	"0"
"69"	"57"	"6"	"182"	"4"	"97"	"0"	"0"	"0"	"1"	"1"	"1"	"2"	"0"	"4"	"4"	"8"	"7"	"3"	"11"	"2"	"5"	"1"	"5"	"344"	"0"	"3"	"347"	"0"
"70"	"58"	"12"	"111"	"5"	"274"	"3"	"2"	"0"	"3"	"1"	"1"	"0"	"4"	"11"	"9"	"3"	"1"	"0"	"1"	"8"	"1"	"0"	"0"	"450"	"0"	"2"	"452"	"0"
"71"	"59"	"19"	"42"	"2"	"139"	"3"	"2"	"1"	"0"	"2"	"0"	"0"	"0"	"5"	"0"	"0"	"6"	"2"	"1"	"0"	"0"	"0"	"0"	"224"	"0"	"0"	"224"	"0"
"72"	"60"	"52"	"180"	"7"	"72"	"7"	"4"	"0"	"2"	"1"	"1"	"1"	"3"	"8"	"4"	"2"	"112"	"4"	"8"	"2"	"6"	"1"	"1"	"478"	"0"	"1"	"479"	"0"
"73"	"61"	"3"	"276"	"1"	"22"	"0"	"1"	"1"	"7"	"4"	"2"	"1"	"0"	"0"	"2"	"4"	"23"	"2"	"0"	"1"	"0"	"0"	"0"	"350"	"0"	"0"	"350"	"0"
"74"	"62"	"39"	"371"	"5"	"12"	"0"	"1"	"3"	"9"	"0"	"1"	"0"	"0"	"1"	"0"	"3"	"2"	"2"	"10"	"0"	"0"	"0"	"1"	"460"	"0"	"1"	"461"	"0"
"75"	"63"	"55"	"225"	"4"	"44"	"6"	"2"	"0"	"7"	"3"	"0"	"3"	"2"	"1"	"2"	"11"	"3"	"6"	"0"	"1"	"1"	"0"	"0"	"376"	"0"	"1"	"377"	"0"
"76"	"64"	"9"	"43"	"20"	"77"	"3"	"1"	"0"	"3"	"1"	"0"	"1"	"4"	"4"	"1"	"2"	"3"	"5"	"2"	"0"	"1"	"1"	"1"	"182"	"0"	"0"	"182"	"0"
"77"	"65"	"10"	"186"	"7"	"215"	"11"	"4"	"2"	"2"	"2"	"3"	"2"	"3"	"12"	"2"	"17"	"8"	"1"	"4"	"5"	"7"	"1"	"2"	"506"	"0"	"4"	"510"	"0"
"78"	"66"	"143"	"93"	"3"	"38"	"2"	"7"	"3"	"2"	"0"	"0"	"1"	"1"	"1"	"2"	"11"	"12"	"5"	"3"	"2"	"0"	"2"	"6"	"337"	"0"	"2"	"339"	"0"
"79"	"67"	"90"	"127"	"7"	"286"	"4"	"2"	"2"	"2"	"0"	"1"	"1"	"4"	"11"	"4"	"6"	"9"	"14"	"12"	"4"	"12"	"2"	"3"	"603"	"0"	"9"	"612"	"0"
"80"	"68"	"69"	"156"	"11"	"144"	"3"	"4"	"0"	"1"	"2"	"0"	"2"	"1"	"5"	"1"	"3"	"8"	"5"	"3"	"0"	"2"	"0"	"0"	"420"	"0"	"2"	"422"	"0"
"81"	"69"	"15"	"466"	"3"	"123"	"6"	"2"	"1"	"5"	"1"	"0"	"3"	"1"	"7"	"0"	"8"	"5"	"3"	"0"	"6"	"2"	"0"	"2"	"659"	"0"	"1"	"660"	"0"
"82"	"70"	"12"	"474"	"4"	"77"	"2"	"3"	"0"	"6"	"2"	"0"	"1"	"1"	"6"	"2"	"11"	"18"	"2"	"11"	"15"	"3"	"1"	"0"	"651"	"0"	"4"	"655"	"0"
"83"	"71"	"4"	"158"	"8"	"51"	"2"	"0"	"0"	"2"	"2"	"0"	"0"	"0"	"6"	"3"	"9"	"3"	"1"	"3"	"0"	"2"	"0"	"0"	"254"	"0"	"0"	"254"	"0"
"84"	"72"	"9"	"740"	"1"	"6"	"2"	"1"	"0"	"2"	"0"	"1"	"0"	"0"	"1"	"2"	"1"	"4"	"0"	"0"	"0"	"0"	"1"	"2"	"773"	"0"	"1"	"774"	"0"
"85"	"73"	"11"	"134"	"2"	"212"	"3"	"2"	"1"	"2"	"0"	"2"	"4"	"0"	"8"	"6"	"5"	"7"	"6"	"17"	"4"	"11"	"1"	"2"	"440"	"0"	"14"	"454"	"0"
"86"	"74"	"5"	"272"	"2"	"70"	"1"	"1"	"1"	"3"	"0"	"0"	"2"	"1"	"3"	"1"	"5"	"6"	"2"	"12"	"0"	"1"	"0"	"1"	"389"	"0"	"2"	"391"	"0"
"87"	"75"	"23"	"207"	"7"	"101"	"4"	"1"	"5"	"6"	"6"	"3"	"2"	"5"	"7"	"2"	"8"	"14"	"0"	"2"	"6"	"1"	"0"	"0"	"410"	"0"	"2"	"412"	"0"
"88"	"76"	"220"	"131"	"14"	"72"	"4"	"2"	"3"	"1"	"3"	"2"	"6"	"1"	"6"	"7"	"9"	"12"	"9"	"2"	"1"	"1"	"1"	"0"	"507"	"0"	"4"	"511"	"0"
"89"	"77"	"294"	"18"	"0"	"74"	"2"	"0"	"0"	"0"	"2"	"0"	"3"	"1"	"2"	"1"	"0"	"5"	"2"	"3"	"0"	"0"	"0"	"0"	"407"	"0"	"0"	"407"	"0"
"90"	"78"	"5"	"10"	"1"	"106"	"1"	"0"	"1"	"1"	"0"	"0"	"1"	"0"	"2"	"0"	"1"	"2"	"1"	"0"	"0"	"1"	"0"	"1"	"134"	"0"	"0"	"134"	"0"
"91"	"79"	"31"	"125"	"6"	"168"	"5"	"2"	"4"	"9"	"1"	"1"	"3"	"3"	"13"	"6"	"15"	"19"	"5"	"3"	"6"	"1"	"0"	"0"	"426"	"0"	"2"	"428"	"0"
"92"	"80"	"34"	"102"	"5"	"127"	"5"	"6"	"4"	"1"	"4"	"2"	"3"	"3"	"9"	"7"	"8"	"14"	"1"	"4"	"1"	"0"	"2"	"4"	"346"	"0"	"5"	"351"	"0"
"93"	"81"	"22"	"111"	"26"	"167"	"7"	"3"	"3"	"3"	"0"	"1"	"3"	"3"	"10"	"2"	"7"	"7"	"5"	"9"	"1"	"9"	"3"	"1"	"403"	"0"	"3"	"406"	"0"
"94"	"82"	"9"	"176"	"5"	"116"	"6"	"4"	"1"	"5"	"1"	"1"	"2"	"5"	"6"	"3"	"4"	"12"	"2"	"3"	"2"	"6"	"3"	"0"	"372"	"0"	"3"	"375"	"0"
"95"	"83"	"10"	"216"	"5"	"76"	"3"	"2"	"2"	"2"	"1"	"3"	"1"	"1"	"4"	"2"	"7"	"3"	"3"	"1"	"0"	"3"	"0"	"2"	"347"	"0"	"0"	"347"	"0"
"96"	"84"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"97"	"85"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"98"	"86"	"16"	"140"	"3"	"28"	"5"	"0"	"3"	"3"	"1"	"1"	"1"	"1"	"0"	"0"	"8"	"6"	"2"	"4"	"1"	"0"	"0"	"1"	"224"	"0"	"0"	"224"	"0"
"99"	"87"	"12"	"61"	"65"	"354"	"4"	"4"	"0"	"2"	"0"	"0"	"3"	"1"	"17"	"5"	"4"	"7"	"0"	"0"	"3"	"4"	"1"	"0"	"547"	"0"	"1"	"548"	"0"
"100"	"88"	"162"	"311"	"4"	"198"	"2"	"3"	"0"	"8"	"0"	"3"	"4"	"0"	"10"	"5"	"5"	"13"	"2"	"5"	"1"	"2"	"1"	"1"	"740"	"0"	"1"	"741"	"0"
"101"	"89"	"19"	"289"	"7"	"194"	"2"	"3"	"0"	"1"	"1"	"0"	"4"	"3"	"6"	"1"	"4"	"9"	"1"	"8"	"2"	"9"	"1"	"0"	"564"	"0"	"1"	"565"	"0"
"102"	"90"	"69"	"252"	"8"	"264"	"6"	"11"	"3"	"5"	"6"	"2"	"9"	"8"	"19"	"17"	"17"	"29"	"4"	"7"	"3"	"6"	"1"	"4"	"750"	"0"	"5"	"755"	"0"
"103"	"91"	"18"	"115"	"9"	"145"	"3"	"2"	"1"	"4"	"0"	"5"	"6"	"2"	"4"	"5"	"10"	"9"	"1"	"0"	"1"	"1"	"0"	"0"	"341"	"0"	"2"	"343"	"0"
"104"	"92"	"28"	"183"	"5"	"232"	"6"	"5"	"4"	"6"	"2"	"2"	"1"	"6"	"12"	"5"	"22"	"17"	"8"	"4"	"2"	"1"	"0"	"3"	"554"	"0"	"2"	"556"	"0"
"105"	"93"	"36"	"154"	"5"	"308"	"6"	"8"	"4"	"8"	"7"	"0"	"5"	"5"	"21"	"9"	"4"	"22"	"5"	"2"	"0"	"3"	"1"	"1"	"614"	"0"	"3"	"617"	"0"
"106"	"94"	"21"	"239"	"6"	"166"	"14"	"9"	"3"	"1"	"4"	"5"	"7"	"6"	"12"	"9"	"18"	"18"	"8"	"9"	"5"	"7"	"3"	"0"	"570"	"0"	"4"	"574"	"0"
"107"	"95"	"36"	"90"	"2"	"526"	"8"	"0"	"0"	"4"	"1"	"2"	"3"	"1"	"3"	"1"	"2"	"3"	"2"	"7"	"1"	"7"	"5"	"2"	"706"	"0"	"1"	"707"	"0"
"108"	"96"	"132"	"94"	"2"	"74"	"6"	"1"	"2"	"5"	"1"	"2"	"4"	"1"	"9"	"3"	"8"	"8"	"6"	"6"	"2"	"1"	"0"	"0"	"367"	"0"	"6"	"373"	"0"
"109"	"97"	"15"	"160"	"5"	"125"	"7"	"3"	"5"	"10"	"2"	"2"	"2"	"8"	"14"	"1"	"5"	"6"	"5"	"5"	"2"	"8"	"2"	"2"	"394"	"0"	"7"	"401"	"0"
"110"	"98"	"76"	"112"	"3"	"50"	"10"	"6"	"0"	"4"	"3"	"2"	"3"	"2"	"6"	"4"	"6"	"14"	"2"	"1"	"1"	"0"	"0"	"1"	"306"	"0"	"4"	"310"	"0"
"111"	"99"	"39"	"36"	"5"	"641"	"12"	"1"	"0"	"0"	"0"	"1"	"3"	"1"	"13"	"2"	"1"	"6"	"0"	"2"	"0"	"1"	"1"	"0"	"765"	"0"	"1"	"766"	"0"
"112"	"100"	"28"	"126"	"67"	"55"	"5"	"2"	"3"	"5"	"1"	"0"	"3"	"2"	"5"	"9"	"10"	"5"	"2"	"4"	"4"	"6"	"2"	"3"	"347"	"0"	"1"	"348"	"0"
"113"	"101"	"28"	"463"	"2"	"72"	"1"	"0"	"1"	"1"	"1"	"1"	"4"	"1"	"4"	"2"	"6"	"1"	"8"	"10"	"10"	"5"	"0"	"2"	"623"	"0"	"5"	"628"	"0"
"114"	"102"	"25"	"94"	"5"	"271"	"5"	"1"	"0"	"3"	"2"	"1"	"1"	"3"	"19"	"5"	"6"	"8"	"3"	"6"	"3"	"5"	"0"	"0"	"466"	"0"	"0"	"466"	"0"
"115"	"103"	"10"	"192"	"0"	"96"	"6"	"0"	"2"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"2"	"2"	"1"	"1"	"4"	"0"	"0"	"320"	"0"	"5"	"325"	"0"
"116"	"104"	"58"	"113"	"2"	"80"	"2"	"3"	"1"	"2"	"0"	"0"	"1"	"1"	"6"	"2"	"6"	"11"	"11"	"1"	"4"	"7"	"2"	"0"	"313"	"0"	"3"	"316"	"0"
"117"	"105"	"15"	"73"	"4"	"260"	"4"	"4"	"0"	"0"	"0"	"0"	"1"	"1"	"8"	"3"	"3"	"5"	"1"	"2"	"0"	"0"	"2"	"0"	"386"	"0"	"2"	"388"	"0"
"118"	"106"	"26"	"203"	"3"	"119"	"3"	"2"	"1"	"3"	"0"	"1"	"3"	"2"	"4"	"5"	"2"	"10"	"0"	"5"	"1"	"0"	"2"	"0"	"395"	"0"	"0"	"395"	"0"
