"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 15-Muzaffarpur PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  263073"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Aurai(89)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendere d votes"
"11"	""	"Akhilesh Pd. Singh"	"Ajay Nishad"	"Rajeev Ranjan"	"Vijendra Choudh ary"	"Akshay Verma"	"Ashok Kumar Jha"	"Ashok Kumar Singh"	"Kunal Priyadar shi"	"Devendr a Rakesh"	"Naval Kishore Jha"	"Nilu Singh"	"Pankaj Kumar Srivasta va"	"Prabhat Suman"	"Madhur Sheel"	"Mahesh Rai"	"Raghve ndra Pratap Singh"	"Rajesh Kumar"	"Shatrud han Sahani"	"Ajitansh Gaur"	"Kamlesh Choudh ary"	"Deepak Kumar"	"Nagesh war Prasad Singh"	"Mahesh Paswan"	"Moham mad Anwarul Haque"	"Mohmm ad Taiyab"	"Ravi Shankar Paswan"	"Rupesh Kumar Kuar"	"Shravan Kumar Jha"	"Suresh Kumar"	""	""	""	""	""
"23"	"11"	"112"	"174"	"4"	"26"	"2"	"13"	"1"	"1"	"0"	"2"	"3"	"2"	"1"	"2"	"5"	"8"	"3"	"2"	"0"	"2"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"368"	"0"	"1"	"369"	"0"
"24"	"12"	"320"	"106"	"3"	"7"	"12"	"3"	"7"	"1"	"0"	"0"	"2"	"0"	"4"	"2"	"3"	"9"	"2"	"1"	"0"	"0"	"0"	"2"	"1"	"1"	"1"	"0"	"0"	"2"	"2"	"491"	"0"	"0"	"491"	"0"
"25"	"13"	"383"	"92"	"3"	"13"	"5"	"2"	"1"	"1"	"1"	"1"	"1"	"1"	"2"	"1"	"2"	"6"	"16"	"2"	"2"	"2"	"2"	"5"	"0"	"1"	"0"	"2"	"2"	"2"	"0"	"551"	"0"	"9"	"560"	"0"
"26"	"14"	"111"	"459"	"11"	"205"	"4"	"69"	"4"	"6"	"5"	"7"	"6"	"6"	"17"	"14"	"13"	"26"	"5"	"5"	"1"	"6"	"2"	"10"	"2"	"2"	"0"	"3"	"2"	"3"	"4"	"100
8"	"0"	"7"	"101
5"	"0"
"27"	"15"	"167"	"463"	"9"	"125"	"10"	"29"	"7"	"3"	"5"	"3"	"1"	"9"	"8"	"3"	"3"	"16"	"3"	"3"	"1"	"3"	"0"	"6"	"0"	"1"	"0"	"3"	"0"	"4"	"2"	"887"	"0"	"4"	"891"	"0"
"28"	"16"	"352"	"411"	"15"	"54"	"11"	"11"	"2"	"2"	"1"	"1"	"1"	"3"	"2"	"0"	"0"	"5"	"4"	"2"	"4"	"7"	"2"	"10"	"2"	"4"	"3"	"0"	"2"	"4"	"1"	"916"	"0"	"3"	"919"	"0"
"29"	"17"	"47"	"210"	"4"	"5"	"4"	"1"	"2"	"0"	"0"	"1"	"1"	"1"	"3"	"0"	"2"	"9"	"1"	"5"	"1"	"2"	"1"	"5"	"0"	"1"	"1"	"0"	"1"	"2"	"5"	"315"	"0"	"5"	"320"	"0"
"30"	"18"	"200"	"252"	"7"	"34"	"6"	"7"	"4"	"3"	"2"	"0"	"3"	"1"	"3"	"5"	"6"	"16"	"3"	"1"	"0"	"3"	"2"	"9"	"3"	"2"	"2"	"5"	"0"	"2"	"4"	"585"	"0"	"7"	"592"	"0"
"31"	"19"	"225"	"107"	"4"	"11"	"6"	"5"	"3"	"0"	"1"	"1"	"2"	"0"	"1"	"0"	"3"	"4"	"9"	"1"	"3"	"0"	"0"	"8"	"0"	"2"	"3"	"1"	"2"	"2"	"0"	"404"	"0"	"5"	"409"	"0"
"32"	"20"	"111"	"213"	"7"	"180"	"14"	"17"	"3"	"3"	"4"	"7"	"1"	"4"	"9"	"1"	"4"	"9"	"7"	"5"	"5"	"9"	"7"	"21"	"5"	"8"	"8"	"5"	"8"	"3"	"7"	"685"	"0"	"11"	"696"	"0"
"33"	"21"	"94"	"529"	"9"	"113"	"6"	"24"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"3"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"786"	"0"	"2"	"788"	"0"
"34"	"22"	"97"	"512"	"7"	"104"	"6"	"14"	"4"	"3"	"1"	"2"	"2"	"4"	"4"	"2"	"2"	"4"	"7"	"1"	"2"	"0"	"2"	"8"	"1"	"1"	"0"	"0"	"5"	"5"	"3"	"803"	"0"	"5"	"808"	"0"
"35"	"23"	"12"	"309"	"4"	"54"	"6"	"12"	"2"	"1"	"1"	"0"	"0"	"4"	"1"	"0"	"3"	"3"	"1"	"0"	"0"	"1"	"0"	"7"	"1"	"1"	"1"	"0"	"0"	"0"	"1"	"425"	"0"	"5"	"430"	"0"
"36"	"24"	"315"	"170"	"4"	"81"	"9"	"34"	"3"	"1"	"2"	"0"	"0"	"4"	"7"	"3"	"3"	"9"	"14"	"6"	"3"	"3"	"2"	"10"	"0"	"1"	"2"	"3"	"7"	"3"	"3"	"702"	"0"	"9"	"711"	"0"
"37"	"25"	"232"	"382"	"8"	"42"	"21"	"9"	"4"	"1"	"1"	"2"	"0"	"5"	"8"	"3"	"10"	"21"	"5"	"6"	"3"	"1"	"3"	"7"	"4"	"3"	"2"	"0"	"1"	"1"	"4"	"789"	"0"	"11"	"800"	"0"
"38"	"26"	"194"	"302"	"6"	"12"	"3"	"7"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"3"	"2"	"0"	"1"	"0"	"1"	"3"	"0"	"1"	"0"	"0"	"1"	"2"	"2"	"541"	"0"	"9"	"550"	"0"
"39"	"27"	"160"	"228"	"4"	"14"	"1"	"8"	"2"	"2"	"0"	"0"	"0"	"1"	"1"	"1"	"3"	"4"	"0"	"11"	"4"	"6"	"0"	"16"	"0"	"2"	"0"	"3"	"6"	"8"	"4"	"489"	"0"	"11"	"500"	"0"
"40"	"28"	"127"	"395"	"11"	"46"	"6"	"22"	"9"	"2"	"6"	"5"	"6"	"7"	"7"	"6"	"24"	"29"	"2"	"8"	"1"	"4"	"1"	"6"	"0"	"0"	"0"	"1"	"2"	"4"	"9"	"746"	"0"	"17"	"763"	"0"
"41"	"29"	"218"	"321"	"13"	"13"	"0"	"5"	"1"	"5"	"4"	"1"	"1"	"0"	"3"	"1"	"6"	"4"	"4"	"10"	"3"	"2"	"2"	"11"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"634"	"0"	"3"	"637"	"0"
"42"	"30"	"362"	"130"	"3"	"7"	"1"	"4"	"2"	"2"	"2"	"2"	"2"	"1"	"6"	"2"	"5"	"9"	"8"	"8"	"5"	"1"	"3"	"14"	"1"	"1"	"6"	"4"	"2"	"9"	"8"	"610"	"0"	"27"	"637"	"0"
"43"	"31"	"233"	"211"	"3"	"12"	"4"	"4"	"1"	"1"	"0"	"0"	"2"	"1"	"1"	"0"	"1"	"11"	"4"	"4"	"2"	"1"	"0"	"3"	"0"	"0"	"1"	"1"	"0"	"1"	"1"	"503"	"0"	"4"	"507"	"0"
"44"	"32"	"454"	"223"	"9"	"127"	"3"	"19"	"5"	"4"	"6"	"4"	"8"	"8"	"9"	"9"	"17"	"35"	"11"	"6"	"3"	"4"	"1"	"8"	"3"	"6"	"6"	"0"	"2"	"11"	"12"	"101
3"	"0"	"10"	"102
3"	"0"
"45"	"33"	"706"	"89"	"5"	"28"	"2"	"8"	"3"	"3"	"2"	"3"	"2"	"4"	"5"	"0"	"4"	"20"	"9"	"1"	"4"	"2"	"0"	"1"	"4"	"4"	"5"	"4"	"5"	"2"	"0"	"925"	"0"	"10"	"935"	"0"
"46"	"34"	"205"	"184"	"6"	"10"	"2"	"3"	"1"	"3"	"2"	"0"	"3"	"5"	"2"	"1"	"6"	"18"	"5"	"8"	"1"	"2"	"0"	"9"	"0"	"1"	"1"	"1"	"2"	"3"	"3"	"487"	"0"	"6"	"493"	"0"
"47"	"35"	"290"	"58"	"3"	"2"	"1"	"5"	"1"	"0"	"1"	"2"	"0"	"0"	"3"	"3"	"5"	"16"	"3"	"2"	"3"	"3"	"1"	"4"	"1"	"5"	"1"	"0"	"3"	"7"	"3"	"426"	"0"	"6"	"432"	"0"
"48"	"36"	"137"	"89"	"5"	"236"	"7"	"24"	"2"	"1"	"0"	"1"	"0"	"0"	"1"	"1"	"1"	"5"	"5"	"2"	"1"	"9"	"0"	"3"	"2"	"2"	"3"	"1"	"1"	"1"	"1"	"541"	"0"	"4"	"545"	"0"
"49"	"37"	"55"	"292"	"10"	"155"	"8"	"33"	"5"	"2"	"3"	"4"	"0"	"9"	"14"	"13"	"5"	"13"	"3"	"7"	"8"	"7"	"6"	"11"	"4"	"4"	"3"	"4"	"11"	"9"	"6"	"704"	"0"	"12"	"716"	"0"
"50"	"38"	"191"	"148"	"2"	"27"	"2"	"5"	"3"	"1"	"0"	"2"	"3"	"2"	"0"	"1"	"2"	"9"	"1"	"1"	"0"	"1"	"0"	"2"	"1"	"0"	"1"	"0"	"2"	"1"	"1"	"409"	"0"	"4"	"413"	"0"
"51"	"39"	"246"	"410"	"12"	"77"	"7"	"15"	"0"	"6"	"0"	"1"	"1"	"3"	"7"	"1"	"1"	"12"	"9"	"9"	"5"	"1"	"2"	"10"	"3"	"3"	"2"	"5"	"2"	"4"	"7"	"861"	"0"	"17"	"878"	"0"
"52"	"40"	"292"	"254"	"7"	"215"	"6"	"27"	"8"	"3"	"3"	"3"	"3"	"4"	"4"	"6"	"5"	"16"	"4"	"2"	"0"	"1"	"0"	"2"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"871"	"0"	"3"	"874"	"0"
"53"	"41"	"386"	"196"	"4"	"50"	"1"	"6"	"2"	"2"	"1"	"1"	"0"	"0"	"3"	"3"	"3"	"3"	"2"	"2"	"2"	"1"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"675"	"0"	"1"	"676"	"0"
"54"	"42"	"108"	"272"	"10"	"19"	"3"	"0"	"1"	"1"	"0"	"2"	"2"	"1"	"2"	"0"	"2"	"2"	"0"	"2"	"1"	"0"	"0"	"1"	"0"	"0"	"2"	"0"	"0"	"0"	"1"	"432"	"0"	"1"	"433"	"0"
"55"	"43"	"362"	"197"	"5"	"55"	"3"	"11"	"1"	"2"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"1"	"2"	"0"	"1"	"0"	"1"	"6"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"651"	"0"	"1"	"652"	"0"
"56"	"44"	"154"	"152"	"4"	"63"	"4"	"17"	"2"	"1"	"2"	"1"	"0"	"0"	"5"	"3"	"3"	"1"	"7"	"3"	"6"	"6"	"0"	"10"	"2"	"2"	"2"	"2"	"1"	"5"	"3"	"461"	"0"	"5"	"466"	"0"
"57"	"45"	"150"	"350"	"4"	"28"	"3"	"12"	"3"	"6"	"2"	"1"	"1"	"1"	"4"	"0"	"1"	"1"	"6"	"7"	"1"	"2"	"1"	"6"	"1"	"2"	"2"	"1"	"0"	"3"	"4"	"603"	"0"	"5"	"608"	"0"
"58"	"46"	"205"	"56"	"2"	"24"	"8"	"1"	"0"	"2"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"301"	"0"	"0"	"301"	"0"
"59"	"47"	"18"	"382"	"3"	"5"	"6"	"2"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"423"	"0"	"0"	"423"	"0"
"60"	"48"	"29"	"259"	"1"	"8"	"1"	"2"	"1"	"0"	"2"	"1"	"0"	"3"	"1"	"4"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"319"	"0"	"4"	"323"	"0"
"61"	"49"	"46"	"261"	"5"	"33"	"3"	"11"	"5"	"1"	"6"	"6"	"7"	"3"	"3"	"9"	"12"	"18"	"3"	"3"	"3"	"1"	"3"	"34"	"5"	"6"	"8"	"2"	"6"	"8"	"17"	"528"	"0"	"25"	"553"	"0"
"62"	"50"	"39"	"332"	"8"	"20"	"11"	"6"	"2"	"1"	"0"	"0"	"1"	"4"	"3"	"4"	"5"	"8"	"1"	"6"	"1"	"1"	"1"	"7"	"0"	"2"	"3"	"0"	"0"	"4"	"4"	"474"	"0"	"7"	"481"	"0"
"63"	"51"	"83"	"224"	"8"	"60"	"8"	"31"	"0"	"0"	"1"	"3"	"1"	"3"	"7"	"7"	"2"	"8"	"3"	"3"	"2"	"3"	"1"	"17"	"0"	"2"	"2"	"2"	"1"	"2"	"4"	"488"	"0"	"9"	"497"	"0"
"64"	"52"	"36"	"218"	"4"	"220"	"9"	"46"	"4"	"1"	"2"	"2"	"7"	"11"	"16"	"5"	"4"	"23"	"0"	"2"	"0"	"9"	"2"	"9"	"0"	"1"	"4"	"2"	"3"	"7"	"3"	"650"	"0"	"0"	"650"	"0"
"65"	"53"	"42"	"200"	"2"	"198"	"28"	"59"	"8"	"2"	"2"	"6"	"2"	"6"	"17"	"6"	"11"	"30"	"0"	"2"	"4"	"5"	"3"	"7"	"2"	"2"	"1"	"8"	"7"	"11"	"5"	"676"	"0"	"27"	"703"	"0"
"66"	"54"	"105"	"211"	"4"	"37"	"6"	"23"	"5"	"2"	"3"	"1"	"3"	"2"	"8"	"5"	"2"	"13"	"4"	"1"	"0"	"0"	"1"	"3"	"0"	"2"	"1"	"3"	"0"	"1"	"2"	"448"	"0"	"8"	"456"	"0"
"67"	"55"	"27"	"227"	"4"	"122"	"5"	"13"	"1"	"2"	"0"	"3"	"1"	"0"	"5"	"1"	"3"	"3"	"0"	"1"	"0"	"2"	"0"	"2"	"0"	"0"	"1"	"3"	"1"	"0"	"0"	"427"	"0"	"0"	"427"	"0"
"68"	"56"	"186"	"357"	"13"	"45"	"7"	"15"	"2"	"8"	"8"	"6"	"7"	"9"	"9"	"6"	"13"	"26"	"6"	"3"	"3"	"1"	"0"	"10"	"4"	"1"	"2"	"0"	"4"	"4"	"4"	"759"	"0"	"10"	"769"	"0"
"69"	"57"	"451"	"252"	"4"	"11"	"0"	"3"	"6"	"6"	"2"	"2"	"2"	"4"	"11"	"4"	"2"	"16"	"13"	"6"	"3"	"2"	"3"	"6"	"0"	"3"	"4"	"2"	"1"	"4"	"3"	"826"	"0"	"7"	"833"	"0"
"70"	"58"	"93"	"199"	"5"	"95"	"4"	"29"	"5"	"3"	"3"	"5"	"1"	"3"	"6"	"3"	"3"	"14"	"0"	"1"	"0"	"2"	"3"	"5"	"1"	"2"	"2"	"2"	"2"	"3"	"2"	"496"	"0"	"6"	"502"	"0"
"71"	"59"	"143"	"309"	"5"	"53"	"2"	"10"	"0"	"0"	"0"	"2"	"2"	"1"	"3"	"3"	"1"	"6"	"2"	"2"	"0"	"2"	"0"	"5"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"556"	"0"	"12"	"568"	"0"
"72"	"60"	"43"	"537"	"17"	"20"	"13"	"10"	"1"	"3"	"4"	"3"	"3"	"4"	"5"	"4"	"6"	"14"	"5"	"10"	"4"	"0"	"4"	"10"	"3"	"6"	"4"	"2"	"3"	"4"	"6"	"748"	"0"	"12"	"760"	"0"
"73"	"61"	"325"	"158"	"5"	"37"	"4"	"24"	"2"	"2"	"2"	"4"	"3"	"4"	"5"	"3"	"3"	"15"	"5"	"3"	"2"	"3"	"2"	"12"	"5"	"1"	"5"	"3"	"0"	"1"	"3"	"641"	"0"	"8"	"649"	"0"
"74"	"62"	"222"	"198"	"5"	"36"	"3"	"12"	"2"	"1"	"0"	"1"	"0"	"2"	"3"	"1"	"3"	"11"	"2"	"1"	"0"	"1"	"0"	"2"	"2"	"0"	"0"	"2"	"2"	"2"	"2"	"516"	"0"	"11"	"527"	"0"
"75"	"63"	"77"	"504"	"7"	"18"	"4"	"9"	"0"	"1"	"2"	"0"	"1"	"2"	"1"	"0"	"3"	"5"	"3"	"2"	"4"	"2"	"1"	"16"	"2"	"2"	"1"	"0"	"1"	"6"	"4"	"678"	"0"	"4"	"682"	"0"
"76"	"64"	"200"	"304"	"3"	"13"	"0"	"6"	"0"	"2"	"3"	"1"	"2"	"1"	"3"	"2"	"5"	"7"	"3"	"3"	"2"	"2"	"1"	"10"	"1"	"3"	"1"	"0"	"0"	"4"	"3"	"585"	"0"	"2"	"587"	"0"
"77"	"65"	"38"	"144"	"6"	"168"	"1"	"33"	"2"	"3"	"0"	"1"	"2"	"2"	"4"	"1"	"0"	"3"	"3"	"0"	"3"	"9"	"0"	"3"	"1"	"2"	"0"	"0"	"0"	"1"	"1"	"431"	"0"	"0"	"431"	"0"
"78"	"66"	"114"	"457"	"3"	"34"	"3"	"12"	"0"	"3"	"2"	"0"	"2"	"1"	"2"	"3"	"4"	"3"	"0"	"3"	"2"	"2"	"0"	"6"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"660"	"0"	"3"	"663"	"0"
"79"	"67"	"10"	"830"	"3"	"4"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"2"	"0"	"3"	"5"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"2"	"2"	"1"	"870"	"0"	"2"	"872"	"0"
"80"	"68"	"209"	"221"	"5"	"26"	"2"	"23"	"2"	"0"	"2"	"2"	"1"	"9"	"1"	"4"	"3"	"11"	"2"	"4"	"0"	"4"	"2"	"7"	"0"	"1"	"3"	"3"	"3"	"1"	"4"	"555"	"0"	"12"	"567"	"0"
"81"	"69"	"114"	"188"	"3"	"33"	"2"	"26"	"3"	"4"	"1"	"1"	"0"	"5"	"3"	"3"	"10"	"6"	"2"	"2"	"2"	"4"	"2"	"16"	"2"	"1"	"4"	"3"	"2"	"2"	"3"	"447"	"0"	"6"	"453"	"0"
"82"	"70"	"371"	"70"	"5"	"88"	"3"	"39"	"6"	"2"	"2"	"2"	"3"	"7"	"8"	"6"	"5"	"26"	"10"	"6"	"1"	"2"	"1"	"10"	"2"	"2"	"5"	"8"	"1"	"3"	"2"	"696"	"0"	"18"	"714"	"0"
"83"	"71"	"495"	"26"	"0"	"2"	"5"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"0"	"537"	"0"	"0"	"537"	"0"
"84"	"72"	"303"	"127"	"6"	"50"	"5"	"20"	"6"	"2"	"4"	"0"	"1"	"5"	"5"	"4"	"5"	"14"	"4"	"1"	"3"	"3"	"2"	"6"	"0"	"3"	"4"	"1"	"4"	"4"	"4"	"596"	"0"	"7"	"603"	"0"
"85"	"73"	"177"	"212"	"6"	"27"	"1"	"10"	"1"	"3"	"2"	"3"	"1"	"1"	"4"	"0"	"0"	"0"	"2"	"0"	"1"	"0"	"1"	"3"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"458"	"0"	"3"	"461"	"0"
