"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"
"20"	"7"	"259"	"152"	"5"	"289"	"7"	"0"	"7"	"3"	"1"	"25"	"1"	"3"	"12"	"9"	"7"	"13"	"10"	"803"	"0"	"13"	"816"	"0"
"21"	"8"	"139"	"297"	"9"	"99"	"3"	"3"	"4"	"5"	"2"	"22"	"5"	"7"	"7"	"13"	"16"	"29"	"16"	"676"	"0"	"26"	"702"	"0"
"22"	"9"	"620"	"23"	"6"	"91"	"2"	"0"	"0"	"1"	"2"	"9"	"0"	"0"	"8"	"5"	"7"	"39"	"34"	"847"	"0"	"13"	"860"	"0"
"23"	"10"	"247"	"291"	"11"	"141"	"4"	"2"	"1"	"4"	"4"	"24"	"8"	"3"	"11"	"5"	"10"	"14"	"18"	"798"	"0"	"16"	"814"	"0"
"24"	"11"	"36"	"255"	"5"	"92"	"1"	"5"	"7"	"3"	"4"	"19"	"3"	"4"	"14"	"11"	"24"	"22"	"4"	"509"	"0"	"5"	"514"	"0"
"25"	"11A"	"41"	"292"	"15"	"52"	"2"	"1"	"1"	"0"	"7"	"14"	"2"	"7"	"5"	"9"	"23"	"21"	"6"	"498"	"0"	"17"	"515"	"0"
"26"	"12"	"152"	"191"	"8"	"106"	"4"	"4"	"2"	"0"	"1"	"17"	"4"	"5"	"11"	"9"	"21"	"19"	"20"	"574"	"0"	"22"	"596"	"0"
"27"	"12A"	"168"	"185"	"6"	"81"	"1"	"1"	"0"	"2"	"0"	"16"	"0"	"0"	"2"	"2"	"3"	"4"	"3"	"474"	"0"	"6"	"480"	"0"
"28"	"13"	"308"	"53"	"6"	"25"	"2"	"0"	"0"	"1"	"3"	"2"	"2"	"3"	"3"	"3"	"10"	"19"	"20"	"460"	"0"	"6"	"466"	"0"
"29"	"14"	"431"	"79"	"5"	"52"	"1"	"2"	"1"	"1"	"1"	"10"	"2"	"1"	"1"	"4"	"2"	"7"	"23"	"623"	"0"	"3"	"626"	"0"
"30"	"15"	"71"	"293"	"6"	"85"	"2"	"3"	"1"	"1"	"0"	"19"	"2"	"1"	"13"	"15"	"33"	"28"	"2"	"575"	"0"	"3"	"578"	"0"
"31"	"16"	"56"	"161"	"14"	"161"	"2"	"4"	"4"	"1"	"5"	"62"	"9"	"9"	"18"	"4"	"8"	"22"	"8"	"548"	"0"	"13"	"561"	"0"
"32"	"17"	"133"	"379"	"10"	"142"	"6"	"3"	"6"	"3"	"4"	"33"	"8"	"8"	"10"	"12"	"13"	"25"	"6"	"801"	"0"	"20"	"821"	"0"
"33"	"18"	"135"	"331"	"14"	"221"	"8"	"6"	"6"	"8"	"11"	"64"	"9"	"3"	"24"	"14"	"28"	"56"	"30"	"968"	"0"	"33"	"1001"	"0"
"34"	"19"	"105"	"306"	"6"	"62"	"2"	"3"	"3"	"0"	"2"	"11"	"0"	"1"	"4"	"2"	"5"	"6"	"4"	"522"	"0"	"6"	"528"	"0"
"35"	"20"	"154"	"158"	"5"	"91"	"0"	"1"	"2"	"4"	"3"	"18"	"2"	"3"	"8"	"2"	"12"	"24"	"39"	"526"	"0"	"32"	"558"	"0"
"36"	"21"	"33"	"245"	"8"	"312"	"7"	"6"	"2"	"4"	"5"	"38"	"8"	"10"	"12"	"9"	"11"	"41"	"11"	"762"	"0"	"14"	"776"	"0"
"37"	"22"	"443"	"93"	"11"	"133"	"3"	"0"	"5"	"19"	"1"	"38"	"5"	"6"	"5"	"4"	"6"	"13"	"28"	"813"	"0"	"20"	"833"	"0"
"38"	"23"	"295"	"80"	"5"	"74"	"6"	"0"	"1"	"1"	"1"	"15"	"2"	"2"	"9"	"7"	"5"	"22"	"13"	"538"	"0"	"6"	"544"	"0"
"39"	"24"	"72"	"279"	"7"	"308"	"2"	"3"	"3"	"7"	"0"	"31"	"6"	"11"	"12"	"1"	"3"	"13"	"15"	"773"	"0"	"9"	"782"	"0"
"40"	"25"	"88"	"126"	"15"	"334"	"7"	"4"	"6"	"25"	"2"	"62"	"6"	"9"	"17"	"14"	"12"	"29"	"10"	"766"	"0"	"7"	"773"	"0"
"41"	"26"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"42"	"27"	"64"	"167"	"5"	"130"	"8"	"3"	"1"	"0"	"0"	"10"	"2"	"3"	"3"	"3"	"7"	"7"	"15"	"428"	"0"	"21"	"449"	"0"
"43"	"28"	"123"	"231"	"6"	"159"	"1"	"0"	"2"	"2"	"1"	"27"	"3"	"6"	"8"	"2"	"9"	"12"	"4"	"596"	"0"	"5"	"601"	"0"
"44"	"29"	"435"	"81"	"10"	"149"	"6"	"2"	"3"	"2"	"3"	"12"	"4"	"8"	"9"	"9"	"18"	"30"	"41"	"822"	"0"	"11"	"833"	"0"
"45"	"30"	"60"	"263"	"4"	"267"	"8"	"0"	"5"	"3"	"5"	"46"	"7"	"4"	"17"	"6"	"5"	"25"	"5"	"730"	"0"	"19"	"749"	"0"
"46"	"31"	"36"	"146"	"11"	"258"	"5"	"3"	"6"	"2"	"5"	"83"	"9"	"9"	"27"	"9"	"12"	"30"	"3"	"654"	"0"	"5"	"659"	"0"
"47"	"32"	"49"	"75"	"11"	"237"	"4"	"2"	"3"	"1"	"0"	"36"	"3"	"6"	"8"	"4"	"3"	"8"	"22"	"472"	"0"	"35"	"507"	"0"
"48"	"33"	"59"	"142"	"6"	"384"	"8"	"1"	"3"	"0"	"4"	"48"	"6"	"7"	"36"	"6"	"9"	"20"	"11"	"750"	"0"	"12"	"762"	"0"
"49"	"34"	"32"	"341"	"11"	"299"	"3"	"4"	"3"	"4"	"1"	"54"	"6"	"4"	"19"	"4"	"3"	"14"	"5"	"807"	"0"	"18"	"825"	"0"
"50"	"35"	"75"	"136"	"11"	"184"	"7"	"4"	"3"	"1"	"6"	"56"	"3"	"6"	"16"	"9"	"7"	"22"	"4"	"550"	"0"	"12"	"562"	"0"
"51"	"36"	"61"	"122"	"4"	"244"	"5"	"2"	"1"	"0"	"3"	"35"	"3"	"3"	"19"	"4"	"5"	"6"	"16"	"533"	"0"	"2"	"535"	"0"
"52"	"37"	"35"	"143"	"3"	"131"	"4"	"1"	"0"	"1"	"0"	"15"	"1"	"0"	"2"	"2"	"6"	"17"	"3"	"364"	"0"	"6"	"370"	"0"
"53"	"38"	"135"	"354"	"14"	"228"	"4"	"2"	"1"	"5"	"2"	"54"	"5"	"9"	"21"	"8"	"16"	"38"	"5"	"901"	"0"	"9"	"910"	"0"
"54"	"39"	"207"	"283"	"10"	"223"	"7"	"29"	"6"	"3"	"2"	"33"	"5"	"6"	"13"	"5"	"13"	"43"	"12"	"900"	"0"	"14"	"914"	"0"
"55"	"40"	"783"	"37"	"3"	"64"	"1"	"1"	"0"	"0"	"1"	"5"	"0"	"3"	"3"	"4"	"5"	"36"	"54"	"1000"	"0"	"6"	"1006"	"0"
"56"	"41"	"85"	"237"	"11"	"104"	"3"	"3"	"1"	"0"	"2"	"27"	"2"	"3"	"6"	"3"	"2"	"22"	"19"	"530"	"0"	"28"	"558"	"0"
"57"	"42"	"30"	"265"	"6"	"140"	"3"	"1"	"2"	"3"	"4"	"32"	"3"	"9"	"27"	"11"	"23"	"29"	"6"	"594"	"0"	"7"	"601"	"0"
"58"	"43"	"87"	"356"	"8"	"247"	"1"	"1"	"2"	"1"	"2"	"36"	"5"	"3"	"4"	"5"	"7"	"8"	"28"	"801"	"0"	"12"	"813"	"0"
"59"	"44"	"97"	"88"	"6"	"257"	"4"	"5"	"1"	"0"	"1"	"15"	"3"	"2"	"2"	"2"	"1"	"1"	"6"	"491"	"0"	"4"	"495"	"0"
"60"	"45"	"27"	"189"	"7"	"167"	"6"	"1"	"1"	"2"	"2"	"32"	"3"	"2"	"13"	"4"	"8"	"19"	"3"	"486"	"0"	"2"	"488"	"0"
"61"	"45A"	"55"	"302"	"3"	"204"	"1"	"3"	"1"	"0"	"1"	"12"	"1"	"0"	"3"	"0"	"4"	"3"	"4"	"597"	"0"	"6"	"603"	"0"
"62"	"46"	"167"	"220"	"8"	"255"	"6"	"3"	"3"	"2"	"1"	"38"	"5"	"6"	"17"	"9"	"8"	"17"	"14"	"779"	"0"	"17"	"796"	"0"
"63"	"47"	"55"	"335"	"3"	"312"	"2"	"1"	"2"	"2"	"2"	"13"	"1"	"0"	"6"	"2"	"3"	"7"	"12"	"758"	"0"	"4"	"762"	"0"
"64"	"48"	"209"	"72"	"8"	"376"	"21"	"5"	"7"	"15"	"8"	"34"	"6"	"14"	"19"	"13"	"17"	"16"	"30"	"870"	"0"	"40"	"910"	"0"
"65"	"49"	"180"	"95"	"3"	"104"	"3"	"3"	"5"	"0"	"1"	"24"	"6"	"4"	"5"	"7"	"6"	"9"	"17"	"472"	"0"	"9"	"481"	"0"
"66"	"50"	"71"	"218"	"10"	"120"	"69"	"39"	"5"	"15"	"4"	"36"	"12"	"7"	"16"	"10"	"29"	"23"	"4"	"688"	"0"	"15"	"703"	"0"
"67"	"50A"	"23"	"73"	"1"	"45"	"128"	"12"	"0"	"1"	"1"	"16"	"3"	"10"	"2"	"3"	"3"	"6"	"0"	"327"	"0"	"3"	"330"	"0"
"68"	"51"	"29"	"406"	"13"	"162"	"5"	"22"	"4"	"20"	"3"	"27"	"6"	"3"	"10"	"13"	"39"	"28"	"3"	"793"	"0"	"1"	"794"	"0"
"69"	"52"	"58"	"270"	"2"	"160"	"2"	"0"	"0"	"1"	"2"	"3"	"0"	"0"	"4"	"1"	"4"	"6"	"5"	"518"	"0"	"9"	"527"	"0"
"70"	"53"	"326"	"65"	"1"	"221"	"3"	"2"	"2"	"2"	"1"	"33"	"7"	"7"	"13"	"5"	"11"	"26"	"19"	"744"	"0"	"4"	"748"	"0"
"71"	"54"	"60"	"288"	"13"	"54"	"26"	"2"	"3"	"5"	"1"	"9"	"3"	"7"	"7"	"9"	"24"	"23"	"23"	"557"	"0"	"72"	"629"	"0"
"72"	"54A"	"86"	"170"	"7"	"57"	"42"	"0"	"1"	"0"	"4"	"1"	"2"	"2"	"5"	"2"	"8"	"20"	"3"	"410"	"0"	"1"	"411"	"0"
"73"	"55"	"35"	"233"	"10"	"211"	"305"	"4"	"2"	"1"	"1"	"21"	"8"	"14"	"12"	"5"	"14"	"14"	"11"	"901"	"0"	"34"	"935"	"0"
"74"	"56"	"23"	"101"	"5"	"317"	"151"	"2"	"3"	"1"	"2"	"18"	"7"	"21"	"30"	"9"	"11"	"23"	"11"	"735"	"0"	"13"	"748"	"0"
"75"	"57"	"54"	"199"	"5"	"281"	"5"	"4"	"6"	"0"	"3"	"37"	"10"	"3"	"17"	"11"	"10"	"18"	"3"	"666"	"0"	"10"	"676"	"0"
"76"	"58"	"34"	"205"	"5"	"220"	"4"	"1"	"0"	"0"	"1"	"24"	"1"	"5"	"17"	"3"	"5"	"8"	"4"	"537"	"0"	"2"	"539"	"0"
"77"	"59"	"71"	"320"	"9"	"66"	"0"	"1"	"3"	"1"	"2"	"8"	"1"	"0"	"6"	"1"	"6"	"4"	"2"	"501"	"0"	"8"	"509"	"0"
"78"	"60"	"101"	"328"	"15"	"93"	"1"	"9"	"2"	"3"	"1"	"17"	"4"	"3"	"2"	"2"	"8"	"14"	"2"	"605"	"0"	"7"	"612"	"0"
"79"	"61"	"85"	"488"	"9"	"154"	"6"	"2"	"1"	"1"	"2"	"24"	"0"	"3"	"11"	"3"	"9"	"8"	"2"	"808"	"0"	"2"	"810"	"0"
"80"	"62"	"93"	"135"	"4"	"140"	"6"	"3"	"2"	"3"	"4"	"29"	"2"	"7"	"7"	"6"	"9"	"14"	"17"	"481"	"0"	"9"	"490"	"0"
"81"	"63"	"423"	"160"	"9"	"57"	"2"	"13"	"8"	"2"	"5"	"12"	"2"	"7"	"7"	"9"	"14"	"40"	"14"	"784"	"0"	"7"	"791"	"0"
"82"	"64"	"78"	"62"	"2"	"63"	"0"	"1"	"1"	"1"	"0"	"4"	"0"	"0"	"2"	"1"	"0"	"6"	"2"	"223"	"0"	"1"	"224"	"0"
"83"	"65"	"291"	"245"	"26"	"224"	"11"	"3"	"2"	"3"	"0"	"34"	"2"	"3"	"6"	"5"	"11"	"13"	"16"	"895"	"0"	"8"	"903"	"0"
"84"	"66"	"339"	"71"	"1"	"55"	"3"	"2"	"2"	"0"	"1"	"4"	"0"	"0"	"2"	"0"	"2"	"10"	"8"	"500"	"0"	"7"	"507"	"0"
"85"	"67"	"48"	"413"	"15"	"321"	"1"	"6"	"7"	"1"	"3"	"41"	"7"	"6"	"8"	"10"	"15"	"34"	"3"	"939"	"0"	"15"	"954"	"0"
"86"	"68"	"215"	"112"	"11"	"257"	"4"	"5"	"1"	"2"	"2"	"37"	"4"	"5"	"11"	"5"	"4"	"19"	"6"	"700"	"0"	"5"	"705"	"0"
"87"	"69"	"135"	"201"	"7"	"208"	"2"	"2"	"3"	"3"	"2"	"10"	"1"	"5"	"10"	"3"	"3"	"8"	"2"	"605"	"0"	"4"	"609"	"0"
"88"	"70"	"19"	"295"	"10"	"216"	"2"	"157"	"22"	"7"	"2"	"29"	"3"	"1"	"9"	"1"	"5"	"2"	"14"	"794"	"0"	"11"	"805"	"0"
"89"	"71"	"14"	"47"	"4"	"287"	"9"	"26"	"6"	"0"	"2"	"30"	"2"	"0"	"10"	"2"	"5"	"3"	"3"	"450"	"0"	"2"	"452"	"0"
"90"	"72"	"107"	"196"	"3"	"242"	"3"	"25"	"4"	"2"	"1"	"31"	"3"	"4"	"8"	"3"	"6"	"17"	"5"	"660"	"0"	"5"	"665"	"0"
"91"	"73"	"614"	"56"	"9"	"124"	"5"	"3"	"5"	"4"	"2"	"10"	"3"	"3"	"4"	"5"	"5"	"21"	"17"	"890"	"0"	"4"	"894"	"0"
"92"	"74"	"276"	"397"	"19"	"209"	"6"	"1"	"5"	"8"	"2"	"21"	"6"	"6"	"7"	"14"	"19"	"28"	"12"	"1036"	"0"	"14"	"1050"	"0"
"93"	"75"	"92"	"294"	"18"	"171"	"9"	"3"	"3"	"4"	"2"	"27"	"1"	"2"	"2"	"3"	"4"	"2"	"4"	"641"	"0"	"4"	"645"	"0"
"94"	"76"	"88"	"81"	"6"	"95"	"2"	"22"	"3"	"2"	"1"	"18"	"4"	"1"	"2"	"3"	"5"	"10"	"7"	"350"	"0"	"5"	"355"	"0"
"95"	"77"	"106"	"106"	"4"	"236"	"2"	"12"	"4"	"1"	"6"	"48"	"4"	"0"	"13"	"7"	"5"	"17"	"5"	"576"	"0"	"1"	"577"	"0"
"96"	"78"	"31"	"69"	"16"	"384"	"8"	"111"	"11"	"9"	"1"	"43"	"9"	"5"	"7"	"6"	"8"	"15"	"5"	"738"	"0"	"5"	"743"	"0"
"97"	"79"	"64"	"188"	"5"	"249"	"3"	"4"	"3"	"2"	"1"	"21"	"2"	"4"	"10"	"6"	"5"	"6"	"14"	"587"	"0"	"13"	"600"	"0"
"98"	"80"	"135"	"369"	"10"	"265"	"8"	"13"	"4"	"2"	"1"	"30"	"1"	"3"	"3"	"4"	"2"	"7"	"4"	"861"	"0"	"1"	"862"	"0"
"99"	"81"	"196"	"275"	"10"	"165"	"7"	"92"	"23"	"14"	"2"	"51"	"3"	"1"	"9"	"8"	"14"	"27"	"11"	"908"	"0"	"8"	"916"	"0"
"100"	"82"	"57"	"343"	"13"	"71"	"3"	"10"	"2"	"4"	"3"	"23"	"5"	"6"	"8"	"6"	"6"	"9"	"3"	"572"	"0"	"15"	"587"	"0"
"101"	"83"	"44"	"122"	"10"	"387"	"10"	"1"	"1"	"3"	"3"	"60"	"2"	"2"	"24"	"5"	"4"	"14"	"13"	"705"	"0"	"11"	"716"	"0"
"102"	"84"	"79"	"87"	"52"	"561"	"7"	"33"	"4"	"5"	"5"	"52"	"6"	"2"	"20"	"8"	"4"	"7"	"23"	"955"	"0"	"31"	"986"	"0"
"103"	"85"	"99"	"215"	"2"	"84"	"2"	"10"	"1"	"1"	"1"	"24"	"3"	"1"	"7"	"3"	"9"	"10"	"6"	"478"	"0"	"8"	"486"	"0"
"104"	"86"	"136"	"141"	"11"	"63"	"2"	"95"	"10"	"1"	"2"	"20"	"4"	"4"	"5"	"3"	"8"	"24"	"6"	"535"	"0"	"3"	"538"	"0"
"105"	"87"	"210"	"245"	"19"	"156"	"1"	"4"	"0"	"15"	"0"	"37"	"1"	"4"	"6"	"5"	"7"	"24"	"23"	"757"	"0"	"29"	"786"	"0"
"106"	"88"	"86"	"116"	"9"	"316"	"6"	"3"	"3"	"16"	"1"	"66"	"1"	"2"	"12"	"4"	"3"	"15"	"8"	"667"	"0"	"8"	"675"	"0"
"107"	"89"	"80"	"146"	"5"	"159"	"3"	"3"	"2"	"6"	"2"	"48"	"3"	"4"	"2"	"2"	"4"	"9"	"2"	"480"	"0"	"1"	"481"	"0"
"108"	"90"	"37"	"445"	"7"	"89"	"2"	"2"	"5"	"7"	"2"	"35"	"0"	"1"	"6"	"2"	"9"	"8"	"7"	"664"	"0"	"2"	"666"	"0"
"109"	"91"	"77"	"373"	"8"	"172"	"1"	"11"	"5"	"3"	"1"	"24"	"1"	"2"	"3"	"2"	"4"	"12"	"9"	"708"	"0"	"4"	"712"	"0"
"110"	"92"	"575"	"33"	"15"	"68"	"2"	"1"	"1"	"4"	"4"	"20"	"5"	"2"	"3"	"2"	"0"	"21"	"34"	"790"	"0"	"7"	"797"	"0"
"111"	"93"	"16"	"277"	"2"	"183"	"2"	"6"	"1"	"3"	"4"	"35"	"2"	"1"	"4"	"1"	"3"	"4"	"12"	"556"	"0"	"10"	"566"	"0"
"112"	"94"	"8"	"198"	"6"	"242"	"2"	"2"	"2"	"2"	"1"	"23"	"0"	"3"	"6"	"2"	"4"	"1"	"16"	"518"	"0"	"7"	"525"	"0"
"113"	"95"	"32"	"194"	"9"	"219"	"5"	"3"	"8"	"4"	"6"	"48"	"4"	"9"	"12"	"4"	"5"	"14"	"9"	"585"	"0"	"17"	"602"	"0"
"114"	"95A"	"19"	"62"	"1"	"279"	"3"	"2"	"5"	"2"	"2"	"14"	"1"	"0"	"8"	"0"	"1"	"0"	"2"	"401"	"0"	"1"	"402"	"0"
"115"	"96"	"38"	"51"	"6"	"793"	"20"	"6"	"3"	"3"	"1"	"66"	"5"	"2"	"13"	"3"	"2"	"7"	"7"	"1026"	"0"	"0"	"1026"	"0"
"116"	"97"	"16"	"216"	"6"	"370"	"6"	"3"	"4"	"4"	"1"	"36"	"0"	"7"	"5"	"1"	"3"	"3"	"2"	"683"	"0"	"1"	"684"	"0"
"117"	"98"	"19"	"102"	"13"	"235"	"4"	"25"	"7"	"3"	"3"	"38"	"11"	"8"	"21"	"4"	"3"	"30"	"4"	"530"	"0"	"8"	"538"	"0"
"118"	"99"	"10"	"26"	"1"	"446"	"3"	"2"	"0"	"1"	"1"	"21"	"1"	"2"	"18"	"2"	"0"	"5"	"8"	"547"	"0"	"2"	"549"	"0"
"119"	"99A"	"12"	"33"	"2"	"288"	"5"	"2"	"1"	"0"	"0"	"26"	"0"	"9"	"9"	"2"	"5"	"13"	"3"	"410"	"0"	"5"	"415"	"0"
"120"	"100"	"51"	"61"	"5"	"386"	"3"	"1"	"1"	"1"	"2"	"34"	"2"	"4"	"11"	"1"	"2"	"3"	"3"	"571"	"0"	"4"	"575"	"0"
"121"	"101"	"35"	"185"	"6"	"222"	"3"	"6"	"5"	"7"	"5"	"66"	"6"	"7"	"11"	"5"	"3"	"15"	"4"	"591"	"0"	"18"	"609"	"0"
"122"	"102"	"545"	"15"	"1"	"12"	"1"	"1"	"0"	"1"	"1"	"3"	"1"	"0"	"0"	"3"	"1"	"5"	"23"	"613"	"0"	"8"	"621"	"0"
"123"	"103"	"161"	"227"	"6"	"96"	"5"	"29"	"5"	"1"	"0"	"27"	"5"	"0"	"7"	"5"	"3"	"7"	"6"	"590"	"0"	"9"	"599"	"0"
"124"	"104"	"194"	"103"	"7"	"129"	"3"	"2"	"1"	"2"	"3"	"34"	"4"	"2"	"4"	"4"	"3"	"19"	"11"	"525"	"0"	"10"	"535"	"0"
"125"	"105"	"30"	"51"	"6"	"282"	"7"	"286"	"19"	"6"	"4"	"34"	"7"	"5"	"3"	"4"	"2"	"8"	"15"	"769"	"0"	"7"	"776"	"0"
"126"	"106"	"19"	"481"	"18"	"97"	"2"	"1"	"1"	"2"	"2"	"17"	"3"	"2"	"7"	"6"	"14"	"15"	"4"	"691"	"0"	"31"	"722"	"0"
"127"	"107"	"101"	"307"	"9"	"363"	"6"	"11"	"5"	"41"	"8"	"79"	"8"	"14"	"30"	"8"	"10"	"21"	"4"	"1025"	"0"	"1"	"1026"	"0"
"128"	"108"	"9"	"148"	"11"	"297"	"12"	"3"	"6"	"1"	"2"	"54"	"3"	"9"	"20"	"4"	"6"	"9"	"2"	"596"	"0"	"6"	"602"	"0"
"129"	"109"	"220"	"82"	"7"	"126"	"5"	"3"	"1"	"1"	"3"	"24"	"3"	"5"	"11"	"5"	"5"	"16"	"10"	"527"	"0"	"4"	"531"	"0"
"130"	"109A"	"69"	"40"	"6"	"189"	"6"	"2"	"2"	"4"	"2"	"27"	"2"	"1"	"1"	"2"	"0"	"3"	"13"	"369"	"0"	"19"	"388"	"0"
"131"	"110"	"9"	"741"	"7"	"20"	"0"	"0"	"1"	"0"	"1"	"6"	"0"	"0"	"0"	"0"	"1"	"0"	"3"	"789"	"0"	"1"	"790"	"0"
"132"	"111"	"28"	"678"	"6"	"31"	"3"	"1"	"2"	"0"	"0"	"7"	"0"	"1"	"1"	"4"	"13"	"10"	"0"	"785"	"0"	"3"	"788"	"0"
"133"	"112"	"197"	"139"	"5"	"109"	"1"	"15"	"3"	"1"	"1"	"12"	"2"	"1"	"10"	"4"	"3"	"12"	"2"	"517"	"0"	"3"	"520"	"0"
"134"	"112A"	"162"	"227"	"6"	"110"	"1"	"28"	"3"	"0"	"1"	"21"	"1"	"2"	"8"	"4"	"9"	"11"	"3"	"597"	"0"	"1"	"598"	"0"
"135"	"113"	"21"	"317"	"12"	"62"	"3"	"39"	"8"	"6"	"4"	"14"	"5"	"4"	"7"	"3"	"26"	"22"	"5"	"558"	"0"	"15"	"573"	"0"
"136"	"114"	"72"	"141"	"3"	"174"	"3"	"11"	"3"	"3"	"1"	"38"	"2"	"1"	"6"	"5"	"4"	"11"	"0"	"478"	"0"	"1"	"479"	"0"
"137"	"115"	"23"	"254"	"5"	"125"	"4"	"4"	"3"	"6"	"2"	"29"	"3"	"3"	"8"	"1"	"5"	"9"	"7"	"491"	"0"	"8"	"499"	"0"
"138"	"115A"	"40"	"176"	"5"	"124"	"4"	"4"	"4"	"2"	"3"	"24"	"3"	"10"	"7"	"5"	"9"	"19"	"12"	"451"	"0"	"17"	"468"	"0"
"139"	"116"	"64"	"401"	"7"	"254"	"4"	"5"	"1"	"2"	"1"	"27"	"4"	"6"	"7"	"2"	"10"	"10"	"2"	"807"	"0"	"7"	"814"	"0"
"140"	"117"	"270"	"156"	"8"	"74"	"5"	"0"	"1"	"1"	"1"	"13"	"2"	"2"	"0"	"2"	"1"	"8"	"7"	"551"	"0"	"9"	"560"	"0"
"141"	"118"	"121"	"188"	"7"	"83"	"1"	"0"	"0"	"0"	"0"	"19"	"2"	"3"	"3"	"5"	"13"	"22"	"28"	"495"	"0"	"29"	"524"	"0"
"142"	"119"	"314"	"198"	"4"	"88"	"4"	"2"	"1"	"1"	"0"	"22"	"2"	"3"	"5"	"3"	"6"	"10"	"26"	"689"	"0"	"13"	"702"	"0"
"143"	"120"	"147"	"111"	"8"	"217"	"16"	"6"	"3"	"4"	"10"	"63"	"13"	"8"	"13"	"5"	"16"	"25"	"10"	"675"	"0"	"11"	"686"	"0"
