"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"
"17"	"4"	"95"	"152"	"294"	"5"	"3"	"2"	"15"	"124"	"9"	"29"	"4"	"1"	"6"	"3"	"8"	"5"	"1"	"1"	"1"	"1"	"1"	"760"	"0"	"0"	"760"	"0"
"18"	"5"	"31"	"60"	"164"	"5"	"0"	"1"	"0"	"35"	"1"	"1"	"1"	"1"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"302"	"0"	"1"	"303"	"0"
"19"	"6"	"200"	"43"	"129"	"1"	"3"	"2"	"3"	"31"	"5"	"3"	"0"	"0"	"2"	"2"	"4"	"10"	"2"	"1"	"2"	"5"	"1"	"449"	"0"	"2"	"451"	"0"
"20"	"7"	"40"	"114"	"351"	"4"	"7"	"5"	"8"	"81"	"15"	"36"	"6"	"3"	"3"	"11"	"10"	"20"	"8"	"12"	"30"	"6"	"1"	"771"	"0"	"4"	"775"	"0"
"21"	"8"	"271"	"225"	"255"	"5"	"1"	"1"	"5"	"117"	"8"	"2"	"9"	"2"	"2"	"2"	"9"	"28"	"5"	"2"	"2"	"1"	"2"	"954"	"0"	"2"	"956"	"0"
"22"	"9"	"443"	"68"	"66"	"1"	"2"	"0"	"0"	"27"	"2"	"0"	"3"	"0"	"0"	"1"	"2"	"5"	"11"	"0"	"4"	"4"	"0"	"639"	"0"	"5"	"644"	"0"
"23"	"10"	"151"	"248"	"169"	"5"	"2"	"3"	"1"	"30"	"1"	"2"	"1"	"3"	"4"	"7"	"1"	"19"	"1"	"4"	"6"	"1"	"4"	"663"	"0"	"1"	"664"	"0"
"24"	"11"	"17"	"154"	"298"	"4"	"4"	"3"	"2"	"118"	"8"	"3"	"4"	"2"	"5"	"7"	"5"	"16"	"0"	"0"	"4"	"3"	"1"	"658"	"0"	"2"	"660"	"0"
"25"	"12"	"36"	"322"	"316"	"6"	"3"	"0"	"1"	"68"	"5"	"0"	"1"	"1"	"0"	"3"	"6"	"11"	"4"	"7"	"4"	"2"	"5"	"801"	"0"	"8"	"809"	"0"
"26"	"13"	"45"	"291"	"344"	"5"	"3"	"1"	"3"	"43"	"3"	"7"	"2"	"3"	"5"	"11"	"4"	"10"	"4"	"0"	"0"	"2"	"5"	"791"	"0"	"1"	"792"	"0"
"27"	"14"	"203"	"367"	"167"	"3"	"2"	"4"	"2"	"41"	"5"	"1"	"6"	"2"	"0"	"1"	"7"	"2"	"3"	"2"	"5"	"3"	"1"	"827"	"0"	"0"	"827"	"0"
"28"	"15"	"166"	"278"	"226"	"2"	"2"	"1"	"2"	"43"	"5"	"1"	"2"	"1"	"1"	"1"	"3"	"7"	"5"	"1"	"8"	"2"	"1"	"758"	"0"	"5"	"763"	"0"
"29"	"16"	"19"	"187"	"598"	"12"	"5"	"4"	"3"	"133"	"13"	"18"	"4"	"7"	"14"	"11"	"8"	"8"	"4"	"10"	"4"	"7"	"4"	"1073"	"0"	"2"	"1075"	"0"
"30"	"17"	"256"	"172"	"256"	"3"	"4"	"2"	"2"	"80"	"6"	"3"	"4"	"5"	"6"	"13"	"7"	"30"	"6"	"0"	"2"	"2"	"2"	"861"	"0"	"4"	"865"	"0"
"31"	"18"	"24"	"171"	"327"	"7"	"1"	"8"	"2"	"82"	"6"	"19"	"10"	"1"	"7"	"4"	"9"	"22"	"3"	"2"	"2"	"4"	"3"	"714"	"0"	"4"	"718"	"0"
"32"	"19"	"38"	"372"	"237"	"6"	"3"	"2"	"8"	"107"	"6"	"24"	"6"	"2"	"6"	"12"	"10"	"22"	"1"	"1"	"9"	"2"	"3"	"877"	"0"	"1"	"878"	"0"
"33"	"20"	"37"	"253"	"158"	"1"	"4"	"1"	"0"	"115"	"4"	"32"	"1"	"2"	"1"	"2"	"4"	"5"	"6"	"3"	"5"	"4"	"2"	"640"	"0"	"4"	"644"	"0"
"34"	"21"	"79"	"405"	"405"	"0"	"3"	"0"	"7"	"92"	"5"	"14"	"5"	"3"	"3"	"6"	"9"	"14"	"0"	"2"	"2"	"0"	"2"	"1056"	"0"	"1"	"1057"	"0"
"35"	"22"	"368"	"269"	"196"	"2"	"1"	"2"	"1"	"27"	"3"	"2"	"2"	"1"	"3"	"3"	"5"	"15"	"8"	"6"	"2"	"0"	"0"	"916"	"0"	"0"	"916"	"0"
"36"	"23"	"24"	"45"	"387"	"2"	"5"	"1"	"0"	"45"	"6"	"7"	"2"	"2"	"2"	"2"	"2"	"3"	"0"	"0"	"1"	"2"	"0"	"538"	"0"	"1"	"539"	"0"
"37"	"24"	"331"	"33"	"36"	"2"	"9"	"0"	"2"	"11"	"1"	"164"	"5"	"0"	"2"	"4"	"9"	"11"	"2"	"0"	"2"	"2"	"0"	"626"	"0"	"2"	"628"	"0"
"38"	"25"	"131"	"173"	"168"	"2"	"7"	"0"	"3"	"73"	"3"	"62"	"6"	"0"	"1"	"2"	"4"	"4"	"7"	"1"	"4"	"2"	"1"	"654"	"0"	"1"	"655"	"0"
"39"	"26"	"85"	"287"	"132"	"4"	"6"	"2"	"5"	"57"	"2"	"23"	"6"	"2"	"0"	"1"	"5"	"2"	"10"	"1"	"2"	"1"	"0"	"633"	"0"	"1"	"634"	"0"
"40"	"27"	"282"	"313"	"174"	"3"	"7"	"4"	"2"	"50"	"1"	"40"	"8"	"2"	"3"	"2"	"3"	"5"	"7"	"3"	"5"	"1"	"3"	"918"	"0"	"4"	"922"	"0"
"41"	"28"	"130"	"241"	"291"	"9"	"6"	"3"	"9"	"117"	"7"	"45"	"9"	"8"	"11"	"15"	"15"	"45"	"3"	"7"	"3"	"6"	"3"	"983"	"0"	"4"	"987"	"0"
"42"	"29"	"21"	"227"	"85"	"0"	"5"	"2"	"0"	"33"	"6"	"71"	"4"	"1"	"1"	"7"	"9"	"11"	"3"	"0"	"1"	"4"	"1"	"492"	"0"	"1"	"493"	"0"
"43"	"30"	"34"	"110"	"261"	"2"	"4"	"0"	"3"	"53"	"2"	"1"	"0"	"0"	"0"	"1"	"1"	"3"	"3"	"1"	"1"	"1"	"1"	"482"	"0"	"0"	"482"	"0"
"44"	"31"	"32"	"44"	"380"	"3"	"3"	"3"	"1"	"106"	"6"	"2"	"0"	"1"	"6"	"4"	"3"	"5"	"4"	"3"	"8"	"0"	"2"	"616"	"0"	"4"	"620"	"0"
"45"	"32"	"45"	"79"	"502"	"2"	"5"	"4"	"8"	"124"	"3"	"30"	"5"	"2"	"3"	"7"	"4"	"18"	"5"	"3"	"7"	"15"	"3"	"874"	"0"	"13"	"887"	"0"
"46"	"33"	"227"	"198"	"323"	"4"	"5"	"2"	"5"	"128"	"6"	"4"	"7"	"3"	"10"	"5"	"8"	"9"	"7"	"1"	"0"	"3"	"2"	"957"	"0"	"6"	"963"	"0"
"47"	"34"	"65"	"263"	"212"	"5"	"3"	"2"	"3"	"88"	"2"	"1"	"1"	"1"	"2"	"0"	"2"	"6"	"1"	"0"	"2"	"2"	"2"	"663"	"0"	"2"	"665"	"0"
"48"	"35"	"74"	"248"	"464"	"1"	"12"	"2"	"1"	"83"	"4"	"41"	"2"	"0"	"4"	"3"	"4"	"2"	"6"	"1"	"3"	"6"	"5"	"966"	"0"	"5"	"971"	"0"
"49"	"36"	"11"	"77"	"178"	"5"	"1"	"0"	"0"	"39"	"3"	"0"	"1"	"0"	"2"	"2"	"1"	"3"	"1"	"3"	"0"	"1"	"1"	"329"	"0"	"2"	"331"	"0"
"50"	"37"	"271"	"225"	"111"	"4"	"0"	"2"	"1"	"21"	"2"	"0"	"3"	"0"	"0"	"0"	"4"	"4"	"3"	"1"	"3"	"2"	"5"	"662"	"0"	"0"	"662"	"0"
"51"	"38"	"445"	"13"	"49"	"1"	"1"	"2"	"0"	"25"	"1"	"2"	"0"	"1"	"1"	"6"	"13"	"29"	"14"	"5"	"9"	"6"	"3"	"626"	"0"	"10"	"636"	"0"
"52"	"39"	"366"	"11"	"7"	"1"	"1"	"0"	"0"	"2"	"0"	"0"	"0"	"1"	"1"	"4"	"5"	"14"	"12"	"2"	"12"	"2"	"0"	"441"	"0"	"2"	"443"	"0"
"53"	"40"	"272"	"79"	"123"	"2"	"2"	"0"	"1"	"34"	"4"	"0"	"0"	"1"	"2"	"3"	"1"	"10"	"13"	"4"	"16"	"3"	"2"	"572"	"0"	"2"	"574"	"0"
"54"	"41"	"765"	"70"	"93"	"1"	"1"	"2"	"2"	"24"	"4"	"3"	"0"	"1"	"1"	"14"	"11"	"35"	"21"	"3"	"0"	"1"	"1"	"1053"	"0"	"3"	"1056"	"0"
"55"	"42"	"456"	"37"	"20"	"2"	"3"	"0"	"1"	"11"	"0"	"0"	"5"	"4"	"2"	"51"	"9"	"25"	"56"	"14"	"7"	"1"	"2"	"706"	"0"	"5"	"711"	"0"
"56"	"43"	"259"	"70"	"46"	"0"	"1"	"3"	"1"	"11"	"1"	"2"	"2"	"1"	"2"	"7"	"8"	"22"	"23"	"2"	"5"	"2"	"0"	"468"	"0"	"0"	"468"	"0"
"57"	"44"	"546"	"241"	"32"	"2"	"1"	"3"	"4"	"6"	"1"	"1"	"1"	"2"	"0"	"4"	"10"	"13"	"19"	"7"	"3"	"5"	"0"	"901"	"0"	"4"	"905"	"0"
"58"	"45"	"242"	"97"	"103"	"2"	"1"	"2"	"4"	"54"	"8"	"2"	"5"	"4"	"4"	"10"	"18"	"25"	"24"	"9"	"9"	"2"	"2"	"627"	"0"	"4"	"631"	"0"
"59"	"46"	"780"	"47"	"14"	"2"	"2"	"2"	"1"	"3"	"2"	"0"	"2"	"2"	"2"	"1"	"21"	"32"	"10"	"0"	"8"	"0"	"0"	"931"	"0"	"4"	"935"	"0"
"60"	"47"	"384"	"326"	"18"	"3"	"0"	"3"	"2"	"11"	"4"	"4"	"10"	"4"	"1"	"4"	"15"	"16"	"7"	"5"	"9"	"2"	"3"	"831"	"0"	"5"	"836"	"0"
"61"	"48"	"100"	"224"	"8"	"1"	"1"	"1"	"1"	"4"	"0"	"1"	"5"	"0"	"0"	"3"	"2"	"7"	"3"	"2"	"3"	"0"	"0"	"366"	"0"	"1"	"367"	"0"
"62"	"49"	"211"	"138"	"21"	"0"	"0"	"0"	"4"	"7"	"1"	"1"	"5"	"1"	"1"	"2"	"6"	"5"	"4"	"2"	"4"	"0"	"0"	"413"	"0"	"1"	"414"	"0"
"63"	"50"	"561"	"129"	"14"	"4"	"2"	"3"	"2"	"2"	"4"	"3"	"6"	"2"	"1"	"5"	"10"	"6"	"17"	"4"	"8"	"0"	"0"	"783"	"0"	"3"	"786"	"0"
"64"	"51"	"468"	"239"	"23"	"1"	"4"	"0"	"2"	"2"	"1"	"2"	"5"	"1"	"1"	"6"	"2"	"2"	"27"	"9"	"15"	"2"	"4"	"816"	"0"	"5"	"821"	"0"
"65"	"52"	"797"	"76"	"8"	"0"	"5"	"1"	"4"	"6"	"1"	"3"	"4"	"3"	"3"	"4"	"19"	"17"	"11"	"0"	"10"	"1"	"0"	"973"	"0"	"2"	"975"	"0"
"66"	"53"	"288"	"337"	"5"	"0"	"2"	"2"	"4"	"3"	"2"	"2"	"11"	"0"	"1"	"2"	"1"	"4"	"4"	"3"	"4"	"2"	"0"	"677"	"0"	"1"	"678"	"0"
"67"	"54"	"508"	"137"	"13"	"2"	"3"	"0"	"6"	"4"	"1"	"1"	"2"	"0"	"1"	"4"	"5"	"20"	"13"	"5"	"5"	"1"	"1"	"732"	"0"	"1"	"733"	"0"
"68"	"55"	"554"	"299"	"24"	"3"	"2"	"2"	"5"	"3"	"1"	"3"	"11"	"2"	"2"	"5"	"14"	"24"	"3"	"2"	"1"	"2"	"1"	"963"	"0"	"0"	"963"	"0"
"69"	"56"	"175"	"272"	"10"	"2"	"1"	"1"	"0"	"1"	"0"	"1"	"2"	"0"	"3"	"0"	"7"	"13"	"5"	"1"	"1"	"0"	"0"	"495"	"0"	"0"	"495"	"0"
"70"	"57"	"513"	"117"	"38"	"1"	"5"	"0"	"0"	"3"	"2"	"1"	"1"	"1"	"0"	"0"	"8"	"1"	"21"	"3"	"23"	"1"	"2"	"741"	"0"	"2"	"743"	"0"
"71"	"57A"	"381"	"48"	"11"	"1"	"2"	"0"	"1"	"1"	"1"	"0"	"1"	"1"	"0"	"1"	"7"	"1"	"8"	"2"	"5"	"3"	"1"	"476"	"0"	"1"	"477"	"0"
"72"	"58"	"148"	"320"	"45"	"1"	"1"	"2"	"4"	"22"	"2"	"2"	"6"	"5"	"0"	"6"	"9"	"17"	"7"	"5"	"4"	"1"	"0"	"607"	"0"	"1"	"608"	"0"
"73"	"59"	"213"	"276"	"26"	"0"	"2"	"1"	"4"	"12"	"4"	"1"	"4"	"0"	"3"	"0"	"14"	"19"	"7"	"11"	"9"	"0"	"1"	"607"	"0"	"6"	"613"	"0"
"74"	"60"	"87"	"468"	"114"	"1"	"0"	"1"	"2"	"6"	"2"	"0"	"2"	"0"	"0"	"5"	"2"	"2"	"2"	"5"	"4"	"1"	"1"	"705"	"0"	"0"	"705"	"0"
"75"	"61"	"200"	"404"	"132"	"3"	"4"	"0"	"4"	"40"	"0"	"4"	"0"	"0"	"1"	"1"	"3"	"3"	"8"	"4"	"7"	"4"	"1"	"823"	"0"	"3"	"826"	"0"
"76"	"62"	"328"	"187"	"45"	"3"	"0"	"1"	"6"	"58"	"3"	"0"	"1"	"3"	"3"	"4"	"11"	"28"	"5"	"3"	"2"	"2"	"0"	"693"	"0"	"0"	"693"	"0"
"77"	"62A"	"212"	"225"	"39"	"1"	"1"	"0"	"0"	"17"	"4"	"0"	"2"	"0"	"0"	"1"	"0"	"3"	"1"	"1"	"2"	"2"	"0"	"511"	"0"	"0"	"511"	"0"
"78"	"63"	"586"	"38"	"182"	"2"	"1"	"2"	"1"	"59"	"3"	"2"	"1"	"1"	"1"	"2"	"6"	"7"	"17"	"0"	"2"	"5"	"2"	"920"	"0"	"6"	"926"	"0"
"79"	"64"	"722"	"227"	"51"	"0"	"2"	"1"	"0"	"19"	"1"	"2"	"11"	"0"	"2"	"1"	"4"	"4"	"9"	"1"	"3"	"2"	"2"	"1064"	"0"	"2"	"1066"	"0"
"80"	"65"	"396"	"349"	"141"	"3"	"3"	"0"	"1"	"50"	"2"	"0"	"1"	"1"	"2"	"5"	"6"	"4"	"10"	"7"	"17"	"5"	"5"	"1008"	"0"	"9"	"1017"	"0"
"81"	"66"	"191"	"334"	"156"	"0"	"3"	"3"	"8"	"83"	"8"	"26"	"13"	"4"	"11"	"11"	"17"	"17"	"4"	"5"	"9"	"2"	"0"	"905"	"0"	"5"	"910"	"0"
"82"	"67"	"626"	"193"	"107"	"2"	"0"	"2"	"3"	"83"	"4"	"3"	"6"	"0"	"4"	"4"	"13"	"24"	"11"	"0"	"0"	"3"	"1"	"1089"	"0"	"0"	"1089"	"0"
"83"	"68"	"69"	"400"	"77"	"5"	"0"	"1"	"1"	"27"	"1"	"2"	"3"	"1"	"0"	"4"	"2"	"2"	"8"	"8"	"4"	"0"	"1"	"616"	"0"	"4"	"620"	"0"
"84"	"69"	"75"	"356"	"87"	"3"	"1"	"0"	"2"	"67"	"5"	"1"	"2"	"1"	"3"	"1"	"6"	"2"	"3"	"0"	"3"	"0"	"0"	"618"	"0"	"0"	"618"	"0"
"85"	"70"	"151"	"188"	"219"	"2"	"1"	"2"	"9"	"121"	"8"	"3"	"8"	"3"	"11"	"11"	"18"	"43"	"7"	"4"	"9"	"2"	"1"	"821"	"0"	"7"	"828"	"0"
"86"	"71"	"165"	"455"	"260"	"4"	"3"	"4"	"1"	"95"	"6"	"1"	"2"	"1"	"4"	"5"	"7"	"10"	"2"	"3"	"3"	"1"	"2"	"1034"	"0"	"0"	"1034"	"0"
"87"	"72"	"66"	"228"	"258"	"10"	"2"	"1"	"3"	"71"	"4"	"5"	"2"	"4"	"3"	"10"	"7"	"24"	"13"	"4"	"4"	"1"	"2"	"722"	"0"	"11"	"733"	"0"
"88"	"73"	"361"	"213"	"257"	"1"	"0"	"0"	"9"	"38"	"4"	"0"	"0"	"1"	"1"	"0"	"4"	"7"	"10"	"2"	"16"	"4"	"4"	"932"	"0"	"0"	"932"	"0"
"89"	"74"	"617"	"51"	"186"	"2"	"1"	"2"	"2"	"45"	"3"	"8"	"4"	"2"	"7"	"5"	"10"	"27"	"48"	"8"	"18"	"15"	"5"	"1066"	"0"	"15"	"1081"	"0"
"90"	"75"	"107"	"87"	"113"	"4"	"1"	"2"	"1"	"64"	"3"	"1"	"2"	"1"	"4"	"6"	"3"	"11"	"4"	"3"	"5"	"0"	"0"	"422"	"0"	"2"	"424"	"0"
"91"	"76"	"133"	"427"	"177"	"6"	"3"	"1"	"14"	"99"	"13"	"2"	"8"	"4"	"4"	"9"	"15"	"15"	"5"	"26"	"9"	"5"	"5"	"980"	"0"	"23"	"1003"	"0"
"92"	"77"	"46"	"330"	"145"	"3"	"1"	"2"	"3"	"77"	"6"	"0"	"7"	"5"	"3"	"6"	"8"	"23"	"4"	"3"	"4"	"3"	"3"	"682"	"0"	"6"	"688"	"0"
"93"	"77A"	"37"	"304"	"98"	"3"	"2"	"2"	"0"	"32"	"3"	"1"	"7"	"1"	"3"	"1"	"3"	"11"	"1"	"1"	"2"	"0"	"0"	"512"	"0"	"1"	"513"	"0"
"94"	"78"	"124"	"147"	"236"	"4"	"2"	"1"	"3"	"90"	"6"	"2"	"1"	"2"	"1"	"5"	"12"	"9"	"2"	"2"	"2"	"3"	"1"	"655"	"0"	"2"	"657"	"0"
"95"	"78A"	"73"	"162"	"139"	"4"	"2"	"3"	"4"	"73"	"1"	"2"	"3"	"1"	"2"	"5"	"4"	"6"	"0"	"3"	"3"	"1"	"2"	"493"	"0"	"3"	"496"	"0"
"96"	"79"	"226"	"328"	"152"	"2"	"3"	"4"	"1"	"64"	"3"	"1"	"4"	"0"	"0"	"0"	"3"	"3"	"2"	"0"	"2"	"1"	"0"	"799"	"0"	"2"	"801"	"0"
"97"	"80"	"134"	"260"	"321"	"5"	"3"	"1"	"7"	"114"	"10"	"6"	"2"	"2"	"7"	"3"	"14"	"24"	"3"	"3"	"15"	"3"	"1"	"938"	"0"	"8"	"946"	"0"
"98"	"81"	"631"	"140"	"149"	"1"	"5"	"1"	"2"	"61"	"2"	"2"	"5"	"1"	"2"	"3"	"6"	"17"	"5"	"1"	"8"	"0"	"2"	"1044"	"0"	"3"	"1047"	"0"
"99"	"82"	"71"	"389"	"220"	"5"	"0"	"0"	"3"	"66"	"10"	"2"	"5"	"3"	"1"	"2"	"9"	"12"	"2"	"6"	"6"	"0"	"1"	"813"	"0"	"1"	"814"	"0"
"100"	"83"	"45"	"407"	"172"	"3"	"1"	"1"	"5"	"54"	"7"	"2"	"8"	"0"	"2"	"8"	"5"	"16"	"3"	"6"	"2"	"5"	"4"	"756"	"0"	"6"	"762"	"0"
"101"	"84"	"248"	"115"	"324"	"1"	"2"	"3"	"3"	"95"	"5"	"1"	"4"	"2"	"2"	"1"	"4"	"5"	"4"	"0"	"0"	"7"	"3"	"829"	"0"	"2"	"831"	"0"
"102"	"85"	"27"	"191"	"260"	"8"	"4"	"0"	"0"	"69"	"4"	"5"	"3"	"0"	"4"	"4"	"3"	"5"	"3"	"2"	"8"	"2"	"0"	"602"	"0"	"0"	"602"	"0"
"103"	"86"	"379"	"106"	"371"	"1"	"3"	"2"	"3"	"67"	"6"	"1"	"3"	"3"	"4"	"5"	"15"	"24"	"8"	"2"	"5"	"6"	"5"	"1019"	"0"	"3"	"1022"	"0"
"104"	"87"	"103"	"157"	"576"	"3"	"2"	"0"	"0"	"69"	"12"	"1"	"2"	"0"	"1"	"1"	"3"	"1"	"5"	"2"	"8"	"7"	"3"	"956"	"0"	"2"	"958"	"0"
"105"	"88"	"314"	"195"	"19"	"0"	"1"	"0"	"1"	"9"	"2"	"0"	"4"	"1"	"0"	"3"	"10"	"8"	"14"	"4"	"7"	"1"	"1"	"594"	"0"	"0"	"594"	"0"
"106"	"89"	"248"	"150"	"10"	"1"	"0"	"1"	"1"	"5"	"0"	"1"	"3"	"2"	"2"	"0"	"1"	"1"	"2"	"1"	"0"	"0"	"0"	"429"	"0"	"0"	"429"	"0"
"107"	"90"	"311"	"73"	"11"	"0"	"0"	"1"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"6"	"5"	"2"	"0"	"2"	"0"	"417"	"0"	"2"	"419"	"0"
"108"	"91"	"318"	"147"	"37"	"0"	"2"	"1"	"2"	"7"	"2"	"3"	"1"	"0"	"1"	"0"	"7"	"6"	"4"	"2"	"3"	"4"	"0"	"547"	"0"	"1"	"548"	"0"
"109"	"92"	"56"	"574"	"154"	"1"	"3"	"3"	"4"	"78"	"6"	"4"	"4"	"2"	"3"	"4"	"15"	"10"	"4"	"5"	"9"	"3"	"5"	"947"	"0"	"8"	"955"	"0"
"110"	"93"	"93"	"170"	"276"	"6"	"2"	"6"	"4"	"146"	"16"	"2"	"3"	"2"	"10"	"11"	"15"	"46"	"2"	"4"	"7"	"5"	"4"	"830"	"0"	"1"	"831"	"0"
"111"	"94"	"605"	"2"	"6"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"5"	"9"	"4"	"1"	"1"	"0"	"0"	"634"	"0"	"1"	"635"	"0"
"112"	"95"	"246"	"153"	"110"	"1"	"4"	"1"	"4"	"40"	"2"	"2"	"3"	"1"	"3"	"6"	"6"	"5"	"11"	"4"	"21"	"10"	"10"	"643"	"0"	"3"	"646"	"0"
"113"	"96"	"262"	"5"	"91"	"2"	"0"	"1"	"0"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"5"	"0"	"1"	"1"	"1"	"383"	"0"	"2"	"385"	"0"
"114"	"97"	"505"	"48"	"33"	"3"	"1"	"1"	"1"	"4"	"2"	"0"	"1"	"2"	"1"	"4"	"13"	"25"	"17"	"5"	"11"	"0"	"0"	"677"	"0"	"2"	"679"	"0"
"115"	"98"	"371"	"256"	"28"	"2"	"1"	"1"	"4"	"3"	"3"	"1"	"3"	"2"	"3"	"2"	"4"	"9"	"4"	"3"	"4"	"2"	"0"	"706"	"0"	"2"	"708"	"0"
"116"	"99"	"296"	"217"	"20"	"1"	"0"	"0"	"0"	"5"	"0"	"0"	"1"	"1"	"1"	"0"	"1"	"2"	"1"	"1"	"3"	"1"	"0"	"551"	"0"	"0"	"551"	"0"
"117"	"100"	"603"	"16"	"31"	"1"	"0"	"0"	"0"	"19"	"1"	"0"	"1"	"0"	"1"	"0"	"5"	"7"	"5"	"0"	"5"	"0"	"0"	"695"	"0"	"0"	"695"	"0"
"118"	"101"	"706"	"3"	"12"	"2"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"2"	"0"	"0"	"3"	"3"	"6"	"0"	"1"	"1"	"0"	"741"	"0"	"0"	"741"	"0"
"119"	"102"	"407"	"38"	"5"	"1"	"0"	"1"	"0"	"3"	"0"	"0"	"1"	"0"	"0"	"3"	"3"	"7"	"5"	"0"	"4"	"2"	"1"	"481"	"0"	"1"	"482"	"0"
"120"	"103"	"281"	"80"	"30"	"2"	"1"	"0"	"1"	"6"	"0"	"0"	"4"	"0"	"1"	"5"	"5"	"6"	"15"	"1"	"2"	"1"	"0"	"441"	"0"	"2"	"443"	"0"
"121"	"104"	"818"	"13"	"7"	"2"	"0"	"1"	"1"	"1"	"1"	"1"	"3"	"2"	"2"	"5"	"8"	"29"	"24"	"6"	"18"	"0"	"2"	"944"	"0"	"4"	"948"	"0"
"122"	"105"	"574"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"10"	"10"	"15"	"1"	"8"	"0"	"0"	"632"	"0"	"0"	"632"	"0"
