"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"
"18"	"5"	"32"	"17"	"16"	"273"	"15"	"19"	"6"	"3"	"3"	"4"	"104"	"20"	"9"	"3"	"1"	"8"	"3"	"0"	"1"	"2"	"539"	"0"	"4"	"543"	"0"
"19"	"6"	"74"	"36"	"3"	"100"	"5"	"6"	"1"	"0"	"1"	"2"	"176"	"2"	"0"	"1"	"1"	"9"	"2"	"2"	"0"	"1"	"422"	"0"	"2"	"424"	"0"
"20"	"7"	"137"	"6"	"1"	"136"	"3"	"1"	"3"	"1"	"0"	"1"	"55"	"4"	"3"	"3"	"2"	"11"	"8"	"0"	"3"	"3"	"381"	"0"	"2"	"383"	"0"
"21"	"8"	"27"	"38"	"3"	"574"	"4"	"4"	"2"	"2"	"2"	"0"	"80"	"4"	"3"	"12"	"1"	"2"	"3"	"1"	"0"	"12"	"774"	"0"	"1"	"775"	"0"
"22"	"9"	"18"	"15"	"2"	"307"	"4"	"7"	"2"	"4"	"4"	"6"	"124"	"9"	"10"	"8"	"6"	"13"	"0"	"0"	"0"	"2"	"541"	"0"	"4"	"545"	"0"
"23"	"10"	"42"	"41"	"2"	"328"	"3"	"1"	"0"	"0"	"1"	"1"	"5"	"5"	"7"	"9"	"3"	"4"	"1"	"0"	"0"	"1"	"454"	"0"	"3"	"457"	"0"
"24"	"11"	"482"	"11"	"3"	"17"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"11"	"5"	"0"	"0"	"0"	"531"	"0"	"0"	"531"	"0"
"25"	"12"	"111"	"10"	"3"	"189"	"4"	"2"	"0"	"0"	"0"	"4"	"3"	"6"	"3"	"0"	"0"	"8"	"7"	"2"	"1"	"14"	"367"	"0"	"4"	"371"	"0"
"26"	"13"	"358"	"52"	"16"	"31"	"0"	"1"	"0"	"1"	"0"	"2"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"465"	"0"	"1"	"466"	"0"
"27"	"14"	"99"	"13"	"12"	"463"	"16"	"0"	"3"	"2"	"3"	"5"	"10"	"11"	"6"	"6"	"1"	"5"	"3"	"1"	"1"	"1"	"661"	"0"	"2"	"663"	"0"
"28"	"15"	"125"	"77"	"10"	"453"	"10"	"3"	"2"	"2"	"4"	"2"	"4"	"15"	"8"	"5"	"8"	"23"	"8"	"1"	"1"	"7"	"768"	"0"	"28"	"796"	"0"
"29"	"16"	"127"	"51"	"124"	"247"	"6"	"6"	"5"	"3"	"6"	"6"	"12"	"10"	"16"	"11"	"5"	"27"	"4"	"2"	"2"	"2"	"672"	"0"	"6"	"678"	"0"
"30"	"17"	"49"	"14"	"9"	"240"	"6"	"7"	"1"	"1"	"2"	"5"	"60"	"4"	"3"	"36"	"1"	"4"	"3"	"0"	"0"	"0"	"445"	"0"	"3"	"448"	"0"
"31"	"18"	"324"	"29"	"7"	"62"	"1"	"0"	"0"	"0"	"0"	"6"	"0"	"0"	"0"	"1"	"0"	"2"	"10"	"2"	"0"	"0"	"444"	"0"	"1"	"445"	"0"
"32"	"19"	"291"	"101"	"10"	"225"	"2"	"5"	"1"	"3"	"1"	"2"	"18"	"1"	"4"	"2"	"5"	"7"	"1"	"2"	"0"	"1"	"682"	"0"	"5"	"687"	"0"
"33"	"20"	"234"	"22"	"4"	"354"	"6"	"1"	"1"	"1"	"0"	"1"	"12"	"2"	"7"	"5"	"0"	"4"	"2"	"0"	"0"	"2"	"658"	"0"	"0"	"658"	"0"
"34"	"21"	"328"	"27"	"3"	"54"	"5"	"0"	"1"	"1"	"2"	"3"	"67"	"4"	"1"	"1"	"0"	"13"	"2"	"0"	"1"	"1"	"514"	"0"	"2"	"516"	"0"
"35"	"22"	"108"	"22"	"11"	"112"	"2"	"1"	"4"	"0"	"2"	"5"	"55"	"3"	"0"	"1"	"1"	"7"	"3"	"0"	"2"	"1"	"340"	"0"	"2"	"342"	"0"
"36"	"23"	"138"	"7"	"0"	"205"	"1"	"1"	"0"	"0"	"1"	"4"	"69"	"5"	"2"	"2"	"2"	"8"	"1"	"2"	"0"	"0"	"448"	"0"	"2"	"450"	"0"
"37"	"24"	"488"	"9"	"1"	"28"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"2"	"0"	"3"	"8"	"3"	"0"	"0"	"3"	"549"	"0"	"1"	"550"	"0"
"38"	"25"	"57"	"44"	"5"	"211"	"3"	"2"	"2"	"0"	"7"	"2"	"27"	"3"	"0"	"14"	"1"	"3"	"5"	"2"	"0"	"1"	"389"	"0"	"0"	"389"	"0"
"39"	"26"	"121"	"38"	"33"	"132"	"5"	"6"	"1"	"4"	"6"	"9"	"268"	"8"	"1"	"5"	"5"	"11"	"8"	"1"	"3"	"2"	"667"	"0"	"4"	"671"	"0"
"40"	"27"	"171"	"80"	"1"	"51"	"1"	"0"	"2"	"0"	"0"	"1"	"40"	"3"	"4"	"3"	"4"	"9"	"3"	"2"	"1"	"0"	"376"	"0"	"3"	"379"	"0"
"41"	"28"	"232"	"116"	"3"	"123"	"4"	"5"	"1"	"4"	"5"	"1"	"35"	"3"	"5"	"2"	"6"	"12"	"4"	"2"	"1"	"0"	"564"	"0"	"0"	"564"	"0"
"42"	"29"	"417"	"5"	"1"	"39"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"1"	"0"	"6"	"7"	"0"	"0"	"0"	"478"	"0"	"0"	"478"	"0"
"43"	"30"	"83"	"14"	"0"	"187"	"3"	"5"	"2"	"1"	"2"	"0"	"57"	"5"	"1"	"6"	"2"	"3"	"3"	"0"	"0"	"0"	"374"	"0"	"1"	"375"	"0"
"44"	"31"	"81"	"124"	"5"	"152"	"0"	"9"	"3"	"1"	"4"	"5"	"137"	"6"	"6"	"2"	"0"	"3"	"4"	"1"	"0"	"1"	"544"	"0"	"7"	"551"	"0"
"45"	"32"	"192"	"50"	"9"	"447"	"8"	"8"	"3"	"1"	"2"	"4"	"121"	"22"	"18"	"3"	"5"	"11"	"4"	"2"	"1"	"5"	"916"	"0"	"4"	"920"	"0"
"46"	"33"	"313"	"45"	"3"	"62"	"2"	"3"	"0"	"8"	"2"	"0"	"10"	"4"	"3"	"2"	"2"	"11"	"12"	"0"	"0"	"0"	"482"	"0"	"2"	"484"	"0"
"47"	"34"	"419"	"19"	"3"	"38"	"0"	"3"	"1"	"1"	"0"	"1"	"16"	"2"	"0"	"1"	"2"	"6"	"1"	"0"	"0"	"1"	"514"	"0"	"0"	"514"	"0"
"48"	"35"	"157"	"30"	"7"	"537"	"6"	"1"	"0"	"2"	"4"	"3"	"64"	"7"	"4"	"3"	"3"	"6"	"2"	"0"	"1"	"5"	"842"	"0"	"0"	"842"	"0"
"49"	"36"	"278"	"26"	"4"	"208"	"5"	"3"	"0"	"2"	"0"	"0"	"4"	"6"	"5"	"1"	"2"	"18"	"2"	"1"	"1"	"1"	"567"	"0"	"1"	"568"	"0"
"50"	"37"	"482"	"5"	"1"	"53"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"3"	"0"	"0"	"2"	"549"	"0"	"1"	"550"	"0"
"51"	"38"	"164"	"56"	"3"	"384"	"7"	"8"	"3"	"7"	"1"	"4"	"32"	"10"	"13"	"4"	"4"	"23"	"8"	"2"	"2"	"6"	"741"	"0"	"3"	"744"	"0"
"52"	"39"	"295"	"70"	"25"	"90"	"2"	"14"	"0"	"2"	"5"	"8"	"149"	"7"	"11"	"11"	"10"	"32"	"5"	"4"	"1"	"7"	"748"	"0"	"10"	"758"	"0"
"53"	"40"	"125"	"23"	"0"	"157"	"1"	"0"	"0"	"0"	"0"	"0"	"29"	"1"	"0"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"341"	"0"	"0"	"341"	"0"
"54"	"41"	"184"	"36"	"2"	"61"	"0"	"1"	"0"	"0"	"2"	"1"	"1"	"2"	"2"	"2"	"4"	"11"	"5"	"0"	"2"	"2"	"318"	"0"	"0"	"318"	"0"
"55"	"42"	"96"	"8"	"2"	"241"	"1"	"2"	"1"	"0"	"2"	"1"	"18"	"3"	"3"	"2"	"0"	"2"	"1"	"0"	"1"	"0"	"384"	"0"	"0"	"384"	"0"
"56"	"43"	"156"	"106"	"4"	"51"	"2"	"5"	"1"	"2"	"1"	"1"	"188"	"4"	"1"	"4"	"10"	"20"	"5"	"1"	"2"	"1"	"565"	"0"	"6"	"571"	"0"
"57"	"44"	"425"	"23"	"11"	"145"	"3"	"3"	"2"	"5"	"4"	"4"	"184"	"13"	"4"	"1"	"4"	"17"	"15"	"3"	"1"	"5"	"872"	"0"	"2"	"874"	"0"
"58"	"45"	"237"	"15"	"4"	"86"	"1"	"1"	"0"	"2"	"1"	"0"	"40"	"4"	"1"	"1"	"1"	"5"	"7"	"1"	"1"	"2"	"410"	"0"	"1"	"411"	"0"
"59"	"45A"	"180"	"35"	"2"	"121"	"0"	"2"	"0"	"0"	"1"	"0"	"21"	"3"	"4"	"0"	"1"	"9"	"1"	"0"	"0"	"1"	"381"	"0"	"1"	"382"	"0"
"60"	"46"	"545"	"24"	"4"	"216"	"7"	"4"	"0"	"2"	"4"	"4"	"33"	"11"	"3"	"2"	"3"	"32"	"4"	"1"	"1"	"0"	"900"	"0"	"2"	"902"	"0"
"61"	"47"	"412"	"3"	"1"	"95"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"1"	"0"	"1"	"1"	"4"	"0"	"0"	"0"	"520"	"0"	"2"	"522"	"0"
"62"	"48"	"68"	"41"	"3"	"112"	"2"	"2"	"2"	"80"	"2"	"4"	"78"	"3"	"3"	"3"	"2"	"6"	"2"	"2"	"3"	"1"	"419"	"0"	"2"	"421"	"0"
"63"	"49"	"67"	"28"	"1"	"74"	"3"	"6"	"0"	"10"	"2"	"2"	"114"	"2"	"0"	"0"	"0"	"5"	"4"	"1"	"0"	"8"	"327"	"0"	"4"	"331"	"0"
"64"	"50"	"142"	"9"	"7"	"134"	"1"	"0"	"0"	"1"	"0"	"0"	"7"	"1"	"1"	"8"	"2"	"5"	"0"	"1"	"0"	"0"	"319"	"0"	"1"	"320"	"0"
"65"	"51"	"186"	"91"	"8"	"78"	"6"	"4"	"4"	"2"	"4"	"4"	"186"	"9"	"3"	"6"	"8"	"16"	"4"	"0"	"2"	"1"	"622"	"0"	"6"	"628"	"0"
"66"	"52"	"226"	"29"	"1"	"54"	"3"	"3"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"2"	"0"	"2"	"2"	"1"	"0"	"2"	"328"	"0"	"1"	"329"	"0"
"67"	"53"	"49"	"95"	"3"	"190"	"5"	"7"	"2"	"1"	"5"	"2"	"97"	"8"	"4"	"4"	"5"	"5"	"1"	"0"	"1"	"2"	"486"	"0"	"5"	"491"	"0"
"68"	"54"	"15"	"50"	"6"	"92"	"3"	"6"	"2"	"2"	"4"	"2"	"149"	"7"	"4"	"2"	"2"	"8"	"10"	"1"	"1"	"3"	"369"	"0"	"8"	"377"	"0"
"69"	"55"	"208"	"10"	"17"	"120"	"2"	"4"	"0"	"10"	"2"	"3"	"112"	"6"	"3"	"1"	"3"	"19"	"8"	"2"	"0"	"2"	"532"	"0"	"2"	"534"	"0"
"70"	"56"	"390"	"15"	"5"	"17"	"3"	"5"	"4"	"9"	"2"	"5"	"219"	"3"	"1"	"4"	"10"	"21"	"16"	"2"	"1"	"1"	"733"	"0"	"5"	"738"	"0"
"71"	"57"	"106"	"13"	"1"	"149"	"0"	"5"	"4"	"1"	"2"	"1"	"162"	"11"	"6"	"5"	"0"	"12"	"8"	"0"	"1"	"1"	"488"	"0"	"4"	"492"	"0"
"72"	"58"	"11"	"2"	"1"	"7"	"1"	"3"	"3"	"0"	"1"	"7"	"185"	"2"	"1"	"2"	"1"	"6"	"3"	"1"	"1"	"0"	"238"	"0"	"3"	"241"	"0"
"73"	"59"	"70"	"27"	"1"	"161"	"3"	"9"	"3"	"3"	"4"	"11"	"207"	"9"	"7"	"6"	"9"	"13"	"5"	"1"	"2"	"2"	"553"	"0"	"8"	"561"	"0"
"74"	"60"	"147"	"75"	"3"	"209"	"7"	"3"	"3"	"3"	"1"	"1"	"83"	"4"	"3"	"3"	"3"	"22"	"3"	"0"	"0"	"3"	"576"	"0"	"0"	"576"	"0"
"75"	"61"	"27"	"11"	"7"	"222"	"5"	"3"	"2"	"0"	"3"	"2"	"280"	"14"	"4"	"4"	"3"	"14"	"4"	"6"	"1"	"22"	"634"	"0"	"10"	"644"	"0"
"76"	"62"	"409"	"45"	"4"	"110"	"3"	"7"	"4"	"0"	"1"	"4"	"97"	"6"	"3"	"2"	"7"	"17"	"10"	"0"	"1"	"2"	"732"	"0"	"0"	"732"	"0"
"77"	"63"	"172"	"57"	"1"	"44"	"2"	"7"	"2"	"5"	"3"	"4"	"260"	"2"	"2"	"3"	"6"	"11"	"13"	"2"	"2"	"2"	"600"	"0"	"5"	"605"	"0"
"78"	"64"	"64"	"7"	"3"	"118"	"2"	"2"	"0"	"0"	"1"	"1"	"13"	"1"	"2"	"2"	"0"	"4"	"1"	"1"	"1"	"2"	"225"	"0"	"0"	"225"	"0"
"79"	"65"	"42"	"66"	"12"	"95"	"4"	"2"	"1"	"4"	"2"	"3"	"206"	"2"	"4"	"4"	"10"	"13"	"1"	"7"	"0"	"0"	"478"	"0"	"0"	"478"	"0"
"80"	"66"	"4"	"0"	"0"	"89"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"99"	"0"	"0"	"99"	"0"
"81"	"67"	"433"	"33"	"1"	"65"	"1"	"0"	"0"	"1"	"1"	"0"	"1"	"1"	"2"	"0"	"1"	"8"	"8"	"1"	"0"	"0"	"557"	"0"	"1"	"558"	"0"
"82"	"68"	"248"	"54"	"4"	"176"	"3"	"10"	"2"	"2"	"4"	"2"	"121"	"11"	"15"	"3"	"8"	"17"	"5"	"1"	"1"	"3"	"690"	"0"	"2"	"692"	"0"
"83"	"69"	"82"	"17"	"4"	"255"	"2"	"3"	"1"	"4"	"0"	"2"	"88"	"4"	"5"	"4"	"4"	"2"	"1"	"0"	"0"	"1"	"479"	"0"	"0"	"479"	"0"
"84"	"70"	"101"	"14"	"6"	"92"	"2"	"3"	"2"	"9"	"4"	"3"	"263"	"5"	"4"	"4"	"8"	"8"	"2"	"0"	"1"	"1"	"532"	"0"	"5"	"537"	"0"
"85"	"71"	"109"	"25"	"1"	"90"	"3"	"0"	"1"	"2"	"0"	"3"	"74"	"4"	"2"	"4"	"2"	"8"	"2"	"0"	"0"	"1"	"331"	"0"	"0"	"331"	"0"
"86"	"72"	"75"	"105"	"3"	"317"	"1"	"0"	"0"	"4"	"1"	"0"	"190"	"3"	"2"	"2"	"0"	"0"	"0"	"0"	"1"	"0"	"704"	"0"	"2"	"706"	"0"
"87"	"73"	"216"	"40"	"1"	"121"	"0"	"0"	"0"	"0"	"1"	"2"	"1"	"4"	"1"	"1"	"3"	"4"	"4"	"1"	"2"	"1"	"403"	"0"	"2"	"405"	"0"
"88"	"74"	"7"	"30"	"1"	"118"	"1"	"0"	"0"	"5"	"0"	"1"	"71"	"2"	"4"	"5"	"6"	"5"	"1"	"0"	"0"	"1"	"258"	"0"	"2"	"260"	"0"
"89"	"75"	"33"	"13"	"23"	"201"	"5"	"3"	"5"	"2"	"3"	"7"	"197"	"13"	"15"	"14"	"4"	"12"	"2"	"2"	"0"	"2"	"556"	"0"	"1"	"557"	"0"
"90"	"76"	"90"	"94"	"10"	"219"	"2"	"2"	"2"	"9"	"2"	"5"	"167"	"6"	"7"	"3"	"7"	"17"	"7"	"2"	"0"	"2"	"653"	"0"	"4"	"657"	"0"
"91"	"77"	"116"	"107"	"0"	"263"	"7"	"1"	"0"	"6"	"2"	"2"	"17"	"2"	"2"	"0"	"6"	"8"	"8"	"8"	"0"	"6"	"561"	"0"	"1"	"562"	"0"
"92"	"78"	"236"	"62"	"6"	"161"	"4"	"3"	"4"	"1"	"2"	"7"	"117"	"2"	"3"	"2"	"0"	"20"	"3"	"1"	"1"	"2"	"637"	"0"	"7"	"644"	"0"
"93"	"79"	"170"	"31"	"8"	"239"	"3"	"10"	"3"	"6"	"5"	"11"	"210"	"10"	"8"	"3"	"12"	"23"	"10"	"2"	"8"	"2"	"774"	"0"	"5"	"779"	"0"
"94"	"80"	"44"	"36"	"2"	"24"	"8"	"4"	"3"	"5"	"3"	"7"	"329"	"6"	"1"	"4"	"2"	"5"	"1"	"2"	"3"	"1"	"490"	"0"	"1"	"491"	"0"
"95"	"81"	"40"	"24"	"6"	"109"	"2"	"3"	"4"	"3"	"6"	"5"	"104"	"8"	"7"	"4"	"3"	"11"	"4"	"0"	"1"	"2"	"346"	"0"	"3"	"349"	"0"
"96"	"82"	"401"	"11"	"5"	"38"	"5"	"3"	"1"	"1"	"2"	"2"	"85"	"7"	"4"	"2"	"5"	"16"	"23"	"2"	"5"	"2"	"620"	"0"	"2"	"622"	"0"
"97"	"83"	"140"	"6"	"3"	"194"	"3"	"2"	"1"	"0"	"1"	"0"	"8"	"0"	"0"	"2"	"0"	"7"	"3"	"1"	"0"	"5"	"376"	"0"	"1"	"377"	"0"
"98"	"84"	"432"	"9"	"1"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"23"	"1"	"1"	"1"	"0"	"2"	"4"	"1"	"0"	"0"	"487"	"0"	"1"	"488"	"0"
"99"	"85"	"334"	"15"	"1"	"15"	"1"	"1"	"2"	"4"	"1"	"3"	"73"	"3"	"3"	"1"	"1"	"11"	"3"	"0"	"0"	"0"	"472"	"0"	"0"	"472"	"0"
"100"	"86"	"58"	"15"	"1"	"365"	"3"	"3"	"3"	"0"	"2"	"0"	"0"	"3"	"5"	"52"	"1"	"1"	"5"	"2"	"2"	"5"	"526"	"0"	"3"	"529"	"0"
"101"	"87"	"33"	"46"	"4"	"414"	"4"	"0"	"1"	"0"	"1"	"1"	"4"	"2"	"0"	"4"	"2"	"2"	"1"	"0"	"0"	"0"	"519"	"0"	"0"	"519"	"0"
"102"	"88"	"25"	"12"	"1"	"247"	"3"	"2"	"0"	"2"	"3"	"0"	"0"	"3"	"2"	"2"	"1"	"4"	"0"	"1"	"1"	"3"	"312"	"0"	"1"	"313"	"0"
"103"	"89"	"124"	"18"	"2"	"122"	"5"	"1"	"0"	"1"	"3"	"1"	"2"	"3"	"1"	"0"	"1"	"3"	"4"	"0"	"1"	"4"	"296"	"0"	"3"	"299"	"0"
"104"	"90"	"152"	"50"	"8"	"285"	"7"	"6"	"2"	"4"	"4"	"5"	"11"	"21"	"16"	"8"	"5"	"27"	"9"	"1"	"1"	"1"	"623"	"0"	"7"	"630"	"0"
"105"	"91"	"190"	"215"	"58"	"79"	"3"	"1"	"3"	"2"	"1"	"0"	"4"	"3"	"3"	"10"	"11"	"21"	"4"	"5"	"2"	"2"	"617"	"0"	"2"	"619"	"0"
"106"	"92"	"199"	"8"	"0"	"51"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"261"	"0"	"2"	"263"	"0"
"107"	"93"	"112"	"122"	"61"	"321"	"1"	"1"	"1"	"1"	"3"	"2"	"14"	"7"	"2"	"17"	"3"	"19"	"6"	"5"	"4"	"2"	"704"	"0"	"5"	"709"	"0"
"108"	"94"	"93"	"28"	"3"	"536"	"7"	"1"	"2"	"0"	"2"	"2"	"65"	"8"	"2"	"9"	"3"	"1"	"2"	"1"	"1"	"3"	"769"	"0"	"3"	"772"	"0"
"109"	"95"	"82"	"16"	"1"	"233"	"2"	"0"	"1"	"2"	"0"	"3"	"101"	"4"	"5"	"81"	"1"	"2"	"0"	"0"	"0"	"0"	"534"	"0"	"0"	"534"	"0"
"110"	"96"	"100"	"30"	"12"	"45"	"2"	"6"	"4"	"1"	"4"	"7"	"426"	"4"	"2"	"18"	"7"	"6"	"7"	"2"	"2"	"1"	"686"	"0"	"5"	"691"	"0"
"111"	"97"	"17"	"18"	"4"	"152"	"46"	"4"	"3"	"1"	"1"	"4"	"148"	"7"	"2"	"1"	"3"	"10"	"8"	"2"	"2"	"5"	"438"	"0"	"5"	"443"	"0"
"112"	"98"	"326"	"118"	"5"	"160"	"3"	"5"	"4"	"14"	"2"	"1"	"2"	"0"	"1"	"1"	"2"	"11"	"12"	"1"	"0"	"2"	"670"	"0"	"4"	"674"	"0"
"113"	"99"	"130"	"65"	"3"	"354"	"4"	"3"	"0"	"1"	"0"	"3"	"2"	"3"	"5"	"2"	"2"	"4"	"4"	"0"	"0"	"1"	"586"	"0"	"1"	"587"	"0"
"114"	"100"	"231"	"21"	"0"	"151"	"4"	"0"	"0"	"0"	"0"	"1"	"1"	"2"	"2"	"2"	"2"	"6"	"3"	"1"	"3"	"2"	"432"	"0"	"2"	"434"	"0"
"115"	"101"	"24"	"22"	"2"	"361"	"5"	"1"	"0"	"0"	"1"	"0"	"26"	"3"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"454"	"0"	"0"	"454"	"0"
"116"	"102"	"5"	"1"	"0"	"149"	"0"	"0"	"0"	"0"	"0"	"0"	"48"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"204"	"0"	"1"	"205"	"0"
"117"	"103"	"315"	"23"	"100"	"117"	"7"	"9"	"2"	"1"	"0"	"3"	"142"	"9"	"1"	"4"	"3"	"24"	"4"	"2"	"2"	"1"	"769"	"0"	"2"	"771"	"0"
"118"	"104"	"99"	"172"	"5"	"81"	"1"	"5"	"0"	"1"	"3"	"0"	"5"	"1"	"0"	"2"	"3"	"2"	"2"	"2"	"0"	"1"	"385"	"0"	"2"	"387"	"0"
"119"	"105"	"208"	"103"	"16"	"174"	"5"	"2"	"0"	"1"	"3"	"1"	"4"	"5"	"2"	"0"	"2"	"5"	"1"	"3"	"1"	"1"	"537"	"0"	"2"	"539"	"0"
"120"	"106"	"137"	"197"	"21"	"126"	"3"	"5"	"0"	"2"	"2"	"1"	"38"	"4"	"0"	"1"	"2"	"5"	"1"	"0"	"1"	"0"	"546"	"0"	"1"	"547"	"0"
"121"	"107"	"254"	"65"	"1"	"16"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"4"	"6"	"2"	"0"	"0"	"0"	"352"	"0"	"1"	"353"	"0"
"122"	"108"	"208"	"307"	"3"	"174"	"3"	"1"	"1"	"1"	"2"	"0"	"9"	"5"	"2"	"1"	"4"	"3"	"0"	"0"	"2"	"0"	"726"	"0"	"0"	"726"	"0"
"123"	"109"	"124"	"43"	"3"	"146"	"4"	"0"	"0"	"2"	"2"	"4"	"30"	"3"	"3"	"0"	"0"	"6"	"11"	"0"	"1"	"1"	"383"	"0"	"1"	"384"	"0"
"124"	"110"	"163"	"45"	"2"	"57"	"0"	"2"	"1"	"0"	"4"	"0"	"92"	"2"	"3"	"1"	"3"	"7"	"1"	"1"	"0"	"2"	"386"	"0"	"1"	"387"	"0"
"125"	"111"	"347"	"45"	"6"	"232"	"8"	"1"	"2"	"3"	"0"	"5"	"41"	"4"	"3"	"1"	"6"	"6"	"4"	"0"	"0"	"2"	"716"	"0"	"0"	"716"	"0"
"126"	"112"	"428"	"23"	"1"	"73"	"1"	"4"	"1"	"0"	"1"	"2"	"19"	"4"	"1"	"4"	"3"	"9"	"23"	"1"	"1"	"15"	"614"	"0"	"3"	"617"	"0"
"127"	"113"	"47"	"1"	"0"	"79"	"1"	"0"	"3"	"0"	"1"	"2"	"58"	"2"	"2"	"0"	"3"	"4"	"1"	"0"	"0"	"0"	"204"	"0"	"0"	"204"	"0"
