"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"
"17"	"5"	"535"	"45"	"3"	"2"	"1"	"1"	"3"	"2"	"4"	"0"	"4"	"1"	"3"	"6"	"9"	"19"	"34"	"6"	"6"	"3"	"1"	"688"	"0"	"9"	"697"	"0"
"18"	"6"	"540"	"20"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"2"	"1"	"1"	"0"	"0"	"567"	"0"	"0"	"567"	"0"
"19"	"7"	"160"	"515"	"11"	"4"	"1"	"2"	"3"	"5"	"1"	"5"	"19"	"5"	"3"	"10"	"7"	"19"	"2"	"1"	"6"	"2"	"1"	"782"	"0"	"9"	"791"	"0"
"20"	"8"	"720"	"85"	"3"	"2"	"0"	"1"	"0"	"3"	"1"	"2"	"4"	"6"	"2"	"9"	"20"	"42"	"30"	"7"	"6"	"4"	"2"	"949"	"0"	"5"	"954"	"0"
"21"	"9"	"628"	"143"	"7"	"1"	"3"	"0"	"1"	"1"	"3"	"0"	"6"	"1"	"1"	"5"	"22"	"43"	"23"	"4"	"11"	"1"	"2"	"906"	"0"	"1"	"907"	"0"
"22"	"10"	"100"	"618"	"12"	"2"	"0"	"0"	"4"	"0"	"2"	"3"	"7"	"7"	"3"	"7"	"7"	"8"	"1"	"17"	"9"	"0"	"1"	"808"	"0"	"3"	"811"	"0"
"23"	"11"	"508"	"125"	"14"	"7"	"2"	"0"	"2"	"8"	"1"	"3"	"9"	"4"	"0"	"7"	"15"	"22"	"8"	"0"	"8"	"0"	"0"	"743"	"0"	"1"	"744"	"0"
"24"	"12"	"188"	"290"	"20"	"5"	"1"	"1"	"1"	"8"	"3"	"2"	"0"	"1"	"3"	"4"	"6"	"21"	"2"	"2"	"7"	"1"	"0"	"566"	"0"	"4"	"570"	"0"
"25"	"13"	"364"	"142"	"6"	"2"	"0"	"0"	"0"	"0"	"2"	"1"	"5"	"3"	"1"	"3"	"13"	"18"	"9"	"2"	"4"	"3"	"0"	"578"	"0"	"1"	"579"	"0"
"26"	"14"	"516"	"361"	"15"	"1"	"5"	"3"	"0"	"3"	"5"	"4"	"12"	"1"	"1"	"1"	"10"	"5"	"22"	"4"	"14"	"3"	"0"	"986"	"0"	"2"	"988"	"0"
"27"	"15"	"637"	"300"	"15"	"0"	"2"	"0"	"5"	"5"	"0"	"1"	"8"	"2"	"5"	"8"	"24"	"37"	"20"	"6"	"11"	"3"	"1"	"1090"	"0"	"5"	"1095"	"0"
"28"	"16"	"565"	"413"	"25"	"4"	"2"	"0"	"0"	"2"	"0"	"0"	"2"	"1"	"2"	"1"	"10"	"6"	"5"	"1"	"10"	"2"	"5"	"1056"	"0"	"2"	"1058"	"0"
"29"	"17"	"534"	"368"	"10"	"1"	"3"	"1"	"3"	"4"	"4"	"2"	"5"	"2"	"0"	"2"	"6"	"6"	"12"	"3"	"9"	"1"	"0"	"976"	"0"	"1"	"977"	"0"
"30"	"18"	"369"	"112"	"12"	"1"	"0"	"1"	"1"	"3"	"2"	"2"	"0"	"1"	"0"	"0"	"2"	"12"	"5"	"1"	"2"	"0"	"1"	"527"	"0"	"3"	"530"	"0"
"31"	"19"	"498"	"79"	"4"	"3"	"1"	"0"	"2"	"2"	"4"	"0"	"2"	"1"	"3"	"2"	"6"	"17"	"28"	"2"	"8"	"2"	"0"	"664"	"0"	"3"	"667"	"0"
"32"	"20"	"559"	"112"	"3"	"2"	"1"	"0"	"3"	"0"	"3"	"1"	"9"	"2"	"0"	"2"	"2"	"4"	"10"	"2"	"8"	"1"	"1"	"725"	"0"	"1"	"726"	"0"
"33"	"20A"	"346"	"69"	"8"	"2"	"1"	"0"	"0"	"4"	"1"	"0"	"4"	"1"	"0"	"1"	"2"	"10"	"10"	"1"	"4"	"2"	"0"	"466"	"0"	"0"	"466"	"0"
"34"	"21"	"585"	"251"	"12"	"3"	"3"	"0"	"5"	"12"	"6"	"2"	"22"	"1"	"6"	"7"	"16"	"21"	"14"	"3"	"7"	"0"	"1"	"977"	"0"	"2"	"979"	"0"
"35"	"22"	"435"	"507"	"15"	"0"	"3"	"0"	"7"	"15"	"2"	"3"	"9"	"2"	"9"	"7"	"19"	"34"	"39"	"13"	"12"	"2"	"2"	"1135"	"0"	"4"	"1139"	"0"
"36"	"23"	"726"	"143"	"13"	"3"	"0"	"0"	"3"	"10"	"2"	"5"	"15"	"2"	"1"	"3"	"9"	"12"	"11"	"2"	"10"	"0"	"0"	"970"	"0"	"3"	"973"	"0"
"37"	"24"	"446"	"490"	"32"	"8"	"4"	"2"	"8"	"12"	"3"	"7"	"25"	"4"	"1"	"3"	"11"	"15"	"12"	"3"	"7"	"0"	"0"	"1093"	"0"	"2"	"1095"	"0"
"38"	"25"	"335"	"41"	"11"	"3"	"0"	"2"	"1"	"10"	"1"	"3"	"4"	"1"	"0"	"2"	"2"	"24"	"30"	"8"	"11"	"1"	"2"	"492"	"0"	"7"	"499"	"0"
"39"	"26"	"468"	"91"	"7"	"0"	"0"	"2"	"0"	"7"	"0"	"2"	"0"	"1"	"1"	"3"	"11"	"20"	"11"	"1"	"5"	"1"	"0"	"631"	"0"	"4"	"635"	"0"
"40"	"27"	"368"	"289"	"8"	"0"	"2"	"2"	"2"	"3"	"2"	"1"	"9"	"3"	"0"	"3"	"7"	"4"	"4"	"0"	"4"	"1"	"0"	"712"	"0"	"2"	"714"	"0"
"41"	"28"	"16"	"435"	"9"	"2"	"1"	"1"	"2"	"1"	"1"	"0"	"6"	"1"	"0"	"4"	"5"	"5"	"0"	"0"	"3"	"0"	"1"	"493"	"0"	"0"	"493"	"0"
"42"	"29"	"482"	"261"	"5"	"2"	"2"	"1"	"2"	"2"	"0"	"1"	"4"	"0"	"0"	"0"	"3"	"1"	"1"	"0"	"2"	"1"	"1"	"771"	"0"	"2"	"773"	"0"
"43"	"30"	"133"	"359"	"24"	"1"	"2"	"0"	"1"	"4"	"3"	"1"	"4"	"3"	"2"	"4"	"8"	"8"	"8"	"11"	"8"	"0"	"0"	"584"	"0"	"2"	"586"	"0"
"44"	"31"	"36"	"468"	"14"	"1"	"2"	"0"	"3"	"3"	"2"	"0"	"2"	"1"	"1"	"1"	"6"	"7"	"2"	"7"	"5"	"0"	"0"	"561"	"0"	"1"	"562"	"0"
"45"	"32"	"48"	"236"	"6"	"2"	"0"	"0"	"1"	"1"	"0"	"1"	"4"	"0"	"2"	"2"	"2"	"8"	"0"	"7"	"4"	"0"	"0"	"324"	"0"	"0"	"324"	"0"
"46"	"33"	"425"	"102"	"5"	"1"	"4"	"2"	"0"	"0"	"0"	"0"	"5"	"0"	"0"	"1"	"1"	"0"	"6"	"0"	"1"	"0"	"0"	"553"	"0"	"0"	"553"	"0"
"47"	"34"	"478"	"13"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"2"	"2"	"4"	"2"	"8"	"1"	"6"	"0"	"0"	"519"	"0"	"2"	"521"	"0"
"48"	"35"	"662"	"52"	"7"	"0"	"2"	"2"	"0"	"1"	"2"	"3"	"5"	"2"	"1"	"6"	"13"	"47"	"30"	"4"	"11"	"0"	"0"	"850"	"0"	"4"	"854"	"0"
"49"	"36"	"426"	"13"	"0"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"4"	"0"	"0"	"0"	"0"	"448"	"0"	"1"	"449"	"0"
"50"	"37"	"477"	"177"	"4"	"4"	"1"	"0"	"2"	"0"	"0"	"1"	"3"	"0"	"2"	"2"	"16"	"26"	"16"	"2"	"2"	"1"	"2"	"738"	"0"	"0"	"738"	"0"
"51"	"38"	"323"	"602"	"13"	"4"	"0"	"3"	"2"	"1"	"1"	"1"	"6"	"0"	"6"	"3"	"11"	"25"	"4"	"3"	"3"	"0"	"2"	"1013"	"0"	"1"	"1014"	"0"
"52"	"39"	"958"	"11"	"5"	"0"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"7"	"6"	"2"	"0"	"0"	"0"	"994"	"0"	"1"	"995"	"0"
"53"	"40"	"113"	"428"	"13"	"1"	"1"	"0"	"6"	"5"	"1"	"0"	"11"	"3"	"2"	"7"	"7"	"15"	"4"	"5"	"4"	"1"	"0"	"627"	"0"	"2"	"629"	"0"
"54"	"41"	"593"	"122"	"7"	"0"	"0"	"3"	"0"	"4"	"6"	"0"	"2"	"0"	"1"	"4"	"11"	"5"	"6"	"3"	"2"	"3"	"0"	"772"	"0"	"3"	"775"	"0"
"55"	"42"	"461"	"90"	"7"	"1"	"1"	"0"	"0"	"4"	"0"	"0"	"1"	"1"	"0"	"4"	"6"	"10"	"8"	"1"	"6"	"0"	"1"	"602"	"0"	"2"	"604"	"0"
"56"	"43"	"105"	"533"	"22"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"5"	"3"	"4"	"2"	"8"	"19"	"1"	"7"	"4"	"1"	"0"	"717"	"0"	"3"	"720"	"0"
"57"	"44"	"138"	"500"	"14"	"4"	"2"	"3"	"2"	"9"	"2"	"0"	"11"	"2"	"3"	"5"	"7"	"12"	"2"	"1"	"4"	"1"	"0"	"722"	"0"	"1"	"723"	"0"
"58"	"45"	"44"	"651"	"33"	"4"	"1"	"2"	"12"	"11"	"2"	"3"	"25"	"5"	"7"	"9"	"6"	"18"	"2"	"9"	"4"	"0"	"2"	"850"	"0"	"2"	"852"	"0"
"59"	"46"	"38"	"416"	"39"	"3"	"0"	"2"	"5"	"9"	"4"	"1"	"5"	"6"	"1"	"4"	"4"	"3"	"0"	"3"	"3"	"3"	"0"	"549"	"0"	"0"	"549"	"0"
"60"	"47"	"55"	"822"	"60"	"3"	"0"	"4"	"10"	"18"	"12"	"4"	"28"	"10"	"12"	"14"	"14"	"25"	"8"	"10"	"7"	"3"	"3"	"1122"	"0"	"6"	"1128"	"0"
"61"	"48"	"31"	"660"	"51"	"2"	"0"	"0"	"1"	"4"	"1"	"1"	"5"	"0"	"2"	"2"	"1"	"3"	"1"	"6"	"3"	"0"	"2"	"776"	"0"	"2"	"778"	"0"
"62"	"49"	"43"	"967"	"27"	"1"	"1"	"0"	"8"	"8"	"1"	"0"	"10"	"4"	"1"	"10"	"6"	"10"	"7"	"27"	"9"	"1"	"0"	"1141"	"0"	"0"	"1141"	"0"
"63"	"50"	"280"	"243"	"9"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"1"	"1"	"0"	"3"	"9"	"10"	"6"	"3"	"5"	"0"	"0"	"574"	"0"	"1"	"575"	"0"
"64"	"51"	"498"	"57"	"11"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"2"	"8"	"21"	"7"	"4"	"8"	"0"	"0"	"619"	"0"	"0"	"619"	"0"
"65"	"52"	"386"	"369"	"26"	"1"	"0"	"2"	"4"	"5"	"2"	"3"	"13"	"1"	"5"	"7"	"9"	"27"	"9"	"9"	"12"	"3"	"0"	"893"	"0"	"2"	"895"	"0"
"66"	"53"	"317"	"184"	"7"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"7"	"0"	"8"	"3"	"4"	"0"	"0"	"532"	"0"	"2"	"534"	"0"
"67"	"54"	"37"	"568"	"26"	"1"	"1"	"0"	"3"	"3"	"0"	"7"	"9"	"1"	"0"	"7"	"12"	"15"	"1"	"2"	"2"	"1"	"1"	"697"	"0"	"4"	"701"	"0"
"68"	"55"	"35"	"585"	"71"	"2"	"3"	"2"	"9"	"8"	"2"	"4"	"16"	"3"	"2"	"3"	"7"	"19"	"4"	"17"	"9"	"1"	"1"	"803"	"0"	"3"	"806"	"0"
"69"	"56"	"39"	"312"	"13"	"2"	"0"	"1"	"4"	"4"	"3"	"2"	"7"	"1"	"0"	"1"	"11"	"12"	"1"	"3"	"4"	"0"	"0"	"420"	"0"	"2"	"422"	"0"
"70"	"57"	"136"	"400"	"34"	"1"	"0"	"0"	"1"	"7"	"0"	"0"	"3"	"0"	"0"	"0"	"6"	"7"	"0"	"0"	"4"	"0"	"0"	"599"	"0"	"0"	"599"	"0"
"71"	"58"	"305"	"240"	"24"	"1"	"1"	"0"	"1"	"15"	"3"	"0"	"16"	"1"	"5"	"4"	"13"	"9"	"7"	"5"	"14"	"2"	"2"	"668"	"0"	"1"	"669"	"0"
"72"	"59"	"245"	"335"	"47"	"1"	"1"	"2"	"5"	"8"	"2"	"1"	"6"	"2"	"1"	"2"	"5"	"5"	"14"	"8"	"13"	"1"	"0"	"704"	"0"	"0"	"704"	"0"
"73"	"60"	"114"	"645"	"22"	"1"	"2"	"0"	"6"	"8"	"2"	"0"	"7"	"1"	"5"	"3"	"9"	"11"	"0"	"7"	"4"	"1"	"2"	"850"	"0"	"2"	"852"	"0"
"74"	"61"	"443"	"144"	"18"	"1"	"1"	"1"	"4"	"3"	"2"	"4"	"5"	"1"	"1"	"5"	"5"	"13"	"4"	"2"	"1"	"1"	"1"	"660"	"0"	"0"	"660"	"0"
"75"	"62"	"355"	"354"	"72"	"5"	"2"	"1"	"2"	"28"	"4"	"2"	"9"	"5"	"3"	"9"	"11"	"19"	"8"	"2"	"9"	"2"	"3"	"905"	"0"	"6"	"911"	"0"
"76"	"63"	"399"	"480"	"18"	"1"	"0"	"1"	"2"	"5"	"5"	"3"	"8"	"1"	"2"	"7"	"9"	"16"	"6"	"3"	"7"	"1"	"0"	"974"	"0"	"1"	"975"	"0"
"77"	"64"	"412"	"388"	"21"	"4"	"4"	"0"	"2"	"10"	"7"	"2"	"4"	"3"	"2"	"14"	"15"	"28"	"13"	"7"	"7"	"4"	"2"	"949"	"0"	"1"	"950"	"0"
"78"	"65"	"223"	"360"	"10"	"4"	"0"	"0"	"1"	"9"	"0"	"1"	"12"	"3"	"1"	"5"	"11"	"11"	"7"	"5"	"4"	"3"	"1"	"671"	"0"	"0"	"671"	"0"
"79"	"66"	"172"	"155"	"33"	"0"	"0"	"0"	"10"	"16"	"0"	"3"	"0"	"0"	"0"	"0"	"2"	"1"	"4"	"2"	"8"	"1"	"3"	"410"	"0"	"1"	"411"	"0"
"80"	"67"	"357"	"283"	"9"	"0"	"1"	"0"	"3"	"1"	"0"	"6"	"4"	"1"	"0"	"1"	"5"	"9"	"10"	"1"	"5"	"0"	"0"	"696"	"0"	"0"	"696"	"0"
"81"	"68"	"282"	"48"	"133"	"4"	"2"	"1"	"2"	"31"	"4"	"2"	"0"	"3"	"4"	"4"	"10"	"30"	"12"	"0"	"2"	"1"	"2"	"577"	"0"	"1"	"578"	"0"
"82"	"69"	"219"	"415"	"12"	"1"	"1"	"0"	"3"	"3"	"0"	"4"	"8"	"2"	"1"	"2"	"7"	"7"	"4"	"2"	"6"	"0"	"0"	"697"	"0"	"0"	"697"	"0"
"83"	"70"	"67"	"515"	"18"	"5"	"2"	"0"	"2"	"6"	"0"	"0"	"1"	"1"	"1"	"0"	"3"	"7"	"2"	"4"	"1"	"0"	"0"	"635"	"0"	"0"	"635"	"0"
"84"	"71"	"363"	"666"	"7"	"4"	"0"	"0"	"4"	"3"	"0"	"1"	"9"	"4"	"0"	"0"	"5"	"14"	"10"	"11"	"5"	"0"	"0"	"1106"	"0"	"0"	"1106"	"0"
"85"	"72"	"252"	"774"	"28"	"4"	"3"	"3"	"13"	"34"	"0"	"5"	"9"	"3"	"2"	"2"	"6"	"6"	"2"	"1"	"4"	"0"	"0"	"1151"	"0"	"1"	"1152"	"0"
"86"	"73"	"315"	"511"	"13"	"3"	"4"	"4"	"2"	"3"	"0"	"5"	"19"	"2"	"4"	"4"	"6"	"8"	"14"	"3"	"21"	"0"	"2"	"943"	"0"	"3"	"946"	"0"
"87"	"74"	"387"	"157"	"5"	"0"	"1"	"1"	"2"	"4"	"1"	"0"	"5"	"0"	"1"	"0"	"1"	"2"	"2"	"0"	"4"	"2"	"0"	"575"	"0"	"0"	"575"	"0"
"88"	"75"	"631"	"157"	"10"	"0"	"1"	"1"	"4"	"3"	"1"	"0"	"12"	"0"	"4"	"1"	"11"	"2"	"11"	"0"	"6"	"0"	"0"	"855"	"0"	"0"	"855"	"0"
"89"	"76"	"607"	"280"	"33"	"5"	"3"	"1"	"0"	"7"	"3"	"3"	"26"	"4"	"4"	"3"	"6"	"10"	"0"	"4"	"4"	"2"	"4"	"1009"	"0"	"1"	"1010"	"0"
"90"	"77"	"325"	"210"	"64"	"2"	"2"	"5"	"0"	"51"	"3"	"7"	"4"	"4"	"1"	"3"	"19"	"18"	"8"	"1"	"6"	"1"	"1"	"735"	"0"	"3"	"738"	"0"
"91"	"78"	"377"	"165"	"9"	"1"	"4"	"1"	"3"	"3"	"0"	"4"	"8"	"1"	"2"	"3"	"10"	"6"	"2"	"1"	"1"	"0"	"1"	"602"	"0"	"0"	"602"	"0"
"92"	"79"	"49"	"781"	"36"	"1"	"0"	"2"	"6"	"6"	"2"	"4"	"17"	"2"	"5"	"2"	"9"	"21"	"1"	"7"	"8"	"2"	"0"	"961"	"0"	"5"	"966"	"0"
"93"	"80"	"84"	"511"	"35"	"6"	"1"	"1"	"6"	"14"	"2"	"14"	"6"	"3"	"1"	"5"	"4"	"19"	"3"	"11"	"28"	"2"	"4"	"760"	"0"	"2"	"762"	"0"
"94"	"81"	"56"	"457"	"10"	"4"	"7"	"0"	"1"	"1"	"3"	"64"	"19"	"6"	"5"	"3"	"11"	"21"	"3"	"5"	"3"	"0"	"0"	"679"	"0"	"5"	"684"	"0"
"95"	"81A"	"67"	"256"	"7"	"1"	"6"	"2"	"2"	"1"	"2"	"90"	"10"	"4"	"1"	"8"	"3"	"12"	"1"	"1"	"0"	"0"	"1"	"475"	"0"	"0"	"475"	"0"
"96"	"82"	"218"	"556"	"18"	"1"	"1"	"0"	"7"	"10"	"2"	"5"	"20"	"6"	"3"	"8"	"12"	"25"	"11"	"35"	"4"	"1"	"3"	"946"	"0"	"2"	"948"	"0"
"97"	"83"	"216"	"734"	"25"	"6"	"5"	"3"	"10"	"12"	"3"	"8"	"26"	"7"	"7"	"10"	"13"	"34"	"1"	"5"	"4"	"1"	"3"	"1133"	"0"	"4"	"1137"	"0"
"98"	"84"	"411"	"202"	"10"	"1"	"4"	"2"	"0"	"0"	"2"	"16"	"1"	"1"	"2"	"3"	"5"	"6"	"2"	"1"	"3"	"1"	"2"	"675"	"0"	"2"	"677"	"0"
"99"	"85"	"382"	"91"	"5"	"2"	"3"	"2"	"1"	"0"	"3"	"16"	"6"	"7"	"2"	"17"	"12"	"28"	"12"	"3"	"5"	"2"	"1"	"600"	"0"	"0"	"600"	"0"
"100"	"86"	"435"	"17"	"36"	"0"	"1"	"1"	"0"	"18"	"3"	"3"	"1"	"2"	"0"	"2"	"3"	"14"	"7"	"0"	"2"	"0"	"1"	"546"	"0"	"4"	"550"	"0"
"101"	"87"	"586"	"234"	"51"	"0"	"0"	"0"	"0"	"30"	"2"	"4"	"3"	"2"	"2"	"5"	"4"	"3"	"23"	"2"	"18"	"0"	"0"	"969"	"0"	"2"	"971"	"0"
"102"	"88"	"553"	"393"	"30"	"0"	"1"	"1"	"2"	"10"	"4"	"1"	"8"	"1"	"2"	"2"	"2"	"2"	"16"	"4"	"7"	"1"	"2"	"1042"	"0"	"0"	"1042"	"0"
"103"	"89"	"84"	"147"	"16"	"1"	"2"	"0"	"0"	"9"	"1"	"0"	"4"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"267"	"0"	"1"	"268"	"0"
"104"	"90"	"296"	"352"	"96"	"1"	"2"	"2"	"7"	"66"	"2"	"8"	"14"	"6"	"4"	"13"	"19"	"34"	"13"	"7"	"10"	"4"	"6"	"962"	"0"	"6"	"968"	"0"
"105"	"91"	"273"	"457"	"32"	"7"	"1"	"3"	"4"	"19"	"5"	"7"	"16"	"6"	"5"	"10"	"15"	"32"	"8"	"4"	"10"	"2"	"4"	"920"	"0"	"4"	"924"	"0"
"106"	"92"	"741"	"130"	"23"	"3"	"1"	"2"	"1"	"15"	"0"	"5"	"17"	"3"	"1"	"3"	"4"	"2"	"5"	"0"	"5"	"1"	"1"	"963"	"0"	"1"	"964"	"0"
"107"	"93"	"196"	"385"	"77"	"0"	"1"	"3"	"5"	"44"	"3"	"2"	"8"	"2"	"2"	"2"	"10"	"14"	"3"	"4"	"5"	"1"	"1"	"768"	"0"	"0"	"768"	"0"
"108"	"94"	"379"	"21"	"47"	"3"	"3"	"1"	"1"	"20"	"0"	"1"	"0"	"0"	"2"	"2"	"7"	"3"	"0"	"0"	"3"	"0"	"0"	"493"	"0"	"1"	"494"	"0"
"109"	"94A"	"348"	"27"	"15"	"1"	"1"	"0"	"0"	"2"	"1"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"2"	"1"	"6"	"0"	"1"	"409"	"0"	"1"	"410"	"0"
"110"	"95"	"314"	"122"	"116"	"3"	"2"	"1"	"1"	"65"	"0"	"2"	"1"	"2"	"1"	"2"	"8"	"2"	"1"	"5"	"2"	"6"	"1"	"657"	"0"	"0"	"657"	"0"
"111"	"96"	"761"	"79"	"67"	"1"	"2"	"6"	"6"	"28"	"6"	"5"	"4"	"1"	"5"	"8"	"19"	"33"	"7"	"4"	"10"	"3"	"0"	"1055"	"0"	"9"	"1064"	"0"
"112"	"97"	"428"	"523"	"21"	"4"	"0"	"2"	"4"	"6"	"4"	"3"	"13"	"5"	"3"	"11"	"8"	"15"	"10"	"9"	"7"	"0"	"2"	"1078"	"0"	"1"	"1079"	"0"
"113"	"98"	"547"	"69"	"31"	"2"	"1"	"0"	"3"	"17"	"2"	"2"	"4"	"0"	"1"	"3"	"9"	"16"	"14"	"1"	"3"	"0"	"0"	"725"	"0"	"2"	"727"	"0"
"114"	"99"	"266"	"4"	"3"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"4"	"4"	"0"	"6"	"0"	"0"	"290"	"0"	"0"	"290"	"0"
"115"	"100"	"364"	"218"	"40"	"1"	"2"	"1"	"3"	"21"	"3"	"4"	"8"	"4"	"5"	"5"	"14"	"17"	"19"	"2"	"21"	"0"	"1"	"753"	"0"	"6"	"759"	"0"
"116"	"101"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"117"	"102"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"118"	"103"	"69"	"475"	"20"	"5"	"0"	"1"	"3"	"10"	"1"	"1"	"11"	"2"	"5"	"9"	"10"	"7"	"4"	"6"	"6"	"3"	"0"	"648"	"0"	"2"	"650"	"0"
"119"	"104"	"412"	"266"	"39"	"1"	"3"	"1"	"6"	"24"	"1"	"1"	"10"	"3"	"6"	"7"	"12"	"23"	"11"	"6"	"6"	"1"	"0"	"839"	"0"	"4"	"843"	"0"
"120"	"105"	"300"	"266"	"40"	"2"	"1"	"2"	"2"	"28"	"3"	"3"	"8"	"3"	"2"	"3"	"8"	"14"	"7"	"0"	"4"	"0"	"2"	"698"	"0"	"0"	"698"	"0"
"121"	"105A"	"273"	"83"	"12"	"1"	"3"	"1"	"0"	"5"	"0"	"0"	"2"	"1"	"0"	"0"	"3"	"2"	"15"	"0"	"8"	"1"	"1"	"411"	"0"	"2"	"413"	"0"
"122"	"106"	"250"	"143"	"46"	"2"	"0"	"0"	"2"	"8"	"2"	"2"	"1"	"2"	"3"	"7"	"10"	"26"	"18"	"7"	"9"	"1"	"2"	"541"	"0"	"6"	"547"	"0"
