"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 15-Muzaffarpur PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  230764"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Sakra(92)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendere d votes"
"11"	""	"Akhilesh Pd. Singh"	"Ajay Nishad"	"Rajeev Ranjan"	"Vijendra Choudh ary"	"Akshay Verma"	"Ashok Kumar Jha"	"Ashok Kumar Singh"	"Kunal Priyadar shi"	"Devendr a Rakesh"	"Naval Kishore Jha"	"Nilu Singh"	"Pankaj Kumar Srivasta va"	"Prabhat Suman"	"Madhur Sheel"	"Mahesh Rai"	"Raghve ndra Pratap Singh"	"Rajesh Kumar"	"Shatrud han Sahani"	"Ajitansh Gaur"	"Kamlesh Choudh ary"	"Deepak Kumar"	"Nagesh war Prasad Singh"	"Mahesh Paswan"	"Moham mad Anwarul Haque"	"Mohmm ad Taiyab"	"Ravi Shankar Paswan"	"Rupesh Kumar Kuar"	"Shravan Kumar Jha"	"Suresh Kumar"	""	""	""	""	""
"23"	"11"	"111"	"348"	"7"	"94"	"4"	"25"	"8"	"5"	"3"	"2"	"1"	"4"	"2"	"1"	"3"	"1"	"9"	"2"	"1"	"4"	"1"	"13"	"1"	"0"	"0"	"1"	"0"	"1"	"0"	"652"	"0"	"4"	"656"	"0"
"24"	"12"	"94"	"136"	"3"	"31"	"1"	"3"	"1"	"0"	"2"	"1"	"1"	"0"	"1"	"2"	"1"	"1"	"3"	"2"	"0"	"0"	"1"	"4"	"0"	"0"	"0"	"0"	"4"	"4"	"3"	"299"	"0"	"3"	"302"	"0"
"25"	"13"	"102"	"225"	"6"	"85"	"5"	"18"	"26"	"1"	"4"	"2"	"3"	"6"	"7"	"3"	"5"	"9"	"6"	"9"	"3"	"7"	"2"	"3"	"2"	"2"	"1"	"4"	"0"	"5"	"0"	"551"	"0"	"8"	"559"	"0"
"26"	"14"	"85"	"307"	"2"	"46"	"3"	"5"	"5"	"0"	"2"	"0"	"2"	"1"	"5"	"1"	"0"	"1"	"9"	"1"	"2"	"0"	"2"	"16"	"2"	"0"	"2"	"4"	"0"	"3"	"0"	"506"	"0"	"3"	"509"	"0"
"27"	"15"	"136"	"363"	"3"	"67"	"4"	"11"	"3"	"1"	"0"	"2"	"2"	"0"	"5"	"3"	"3"	"2"	"9"	"7"	"5"	"2"	"1"	"11"	"3"	"3"	"8"	"7"	"7"	"7"	"11"	"686"	"0"	"15"	"701"	"0"
"28"	"16"	"158"	"464"	"15"	"135"	"10"	"32"	"1"	"4"	"5"	"5"	"0"	"3"	"19"	"9"	"10"	"13"	"4"	"8"	"1"	"10"	"2"	"10"	"4"	"3"	"4"	"8"	"3"	"2"	"6"	"948"	"0"	"13"	"961"	"0"
"29"	"17"	"96"	"484"	"16"	"196"	"15"	"29"	"11"	"2"	"7"	"3"	"3"	"2"	"13"	"7"	"4"	"10"	"27"	"9"	"10"	"7"	"3"	"24"	"3"	"2"	"1"	"6"	"1"	"4"	"2"	"997"	"0"	"8"	"100
5"	"0"
"30"	"18"	"74"	"421"	"6"	"175"	"3"	"20"	"2"	"0"	"1"	"0"	"0"	"1"	"2"	"0"	"1"	"2"	"2"	"1"	"1"	"1"	"2"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"718"	"0"	"2"	"720"	"0"
"31"	"19"	"141"	"571"	"14"	"71"	"8"	"18"	"16"	"4"	"3"	"4"	"2"	"5"	"6"	"7"	"15"	"12"	"3"	"5"	"1"	"0"	"1"	"7"	"2"	"1"	"3"	"1"	"1"	"4"	"1"	"927"	"0"	"3"	"930"	"0"
"32"	"20"	"112"	"370"	"15"	"107"	"14"	"30"	"3"	"0"	"2"	"0"	"2"	"3"	"9"	"2"	"6"	"2"	"12"	"6"	"7"	"17"	"8"	"24"	"2"	"7"	"4"	"14"	"5"	"12"	"15"	"810"	"0"	"12"	"822"	"0"
"33"	"21"	"218"	"247"	"6"	"66"	"18"	"22"	"3"	"5"	"2"	"5"	"2"	"9"	"16"	"5"	"10"	"24"	"10"	"23"	"13"	"11"	"8"	"19"	"8"	"4"	"9"	"7"	"8"	"8"	"14"	"800"	"0"	"18"	"818"	"0"
"34"	"22"	"95"	"250"	"5"	"80"	"7"	"12"	"0"	"3"	"1"	"1"	"3"	"1"	"2"	"1"	"1"	"8"	"1"	"1"	"1"	"0"	"1"	"2"	"2"	"0"	"1"	"0"	"2"	"0"	"0"	"481"	"0"	"2"	"483"	"0"
"35"	"23"	"340"	"323"	"6"	"37"	"6"	"13"	"3"	"4"	"3"	"7"	"5"	"2"	"15"	"6"	"9"	"26"	"4"	"2"	"3"	"3"	"2"	"4"	"1"	"0"	"0"	"1"	"2"	"0"	"1"	"828"	"0"	"3"	"831"	"0"
"36"	"24"	"172"	"522"	"6"	"45"	"25"	"9"	"1"	"3"	"1"	"0"	"4"	"2"	"1"	"1"	"0"	"0"	"5"	"4"	"5"	"3"	"1"	"4"	"0"	"1"	"1"	"1"	"0"	"2"	"1"	"820"	"0"	"2"	"822"	"0"
"37"	"25"	"170"	"368"	"9"	"97"	"6"	"26"	"2"	"0"	"3"	"1"	"3"	"4"	"26"	"3"	"10"	"15"	"8"	"10"	"2"	"6"	"1"	"23"	"4"	"9"	"7"	"10"	"6"	"6"	"11"	"846"	"0"	"43"	"889"	"0"
"38"	"26"	"165"	"274"	"8"	"160"	"6"	"29"	"2"	"2"	"1"	"0"	"0"	"0"	"3"	"1"	"1"	"3"	"3"	"0"	"3"	"5"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"3"	"2"	"673"	"0"	"2"	"675"	"0"
"39"	"27"	"45"	"498"	"10"	"38"	"4"	"19"	"5"	"2"	"3"	"1"	"2"	"4"	"3"	"7"	"9"	"12"	"1"	"7"	"3"	"2"	"0"	"16"	"3"	"2"	"0"	"0"	"2"	"8"	"1"	"707"	"0"	"14"	"721"	"0"
"40"	"28"	"494"	"134"	"5"	"39"	"5"	"4"	"2"	"2"	"3"	"1"	"0"	"2"	"4"	"3"	"7"	"11"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"721"	"0"	"7"	"728"	"0"
"41"	"29"	"224"	"231"	"6"	"84"	"2"	"10"	"1"	"1"	"1"	"1"	"0"	"2"	"5"	"1"	"4"	"6"	"1"	"2"	"1"	"2"	"2"	"5"	"1"	"0"	"0"	"2"	"3"	"0"	"1"	"599"	"0"	"5"	"604"	"0"
"42"	"30"	"106"	"295"	"10"	"127"	"3"	"26"	"2"	"2"	"1"	"0"	"2"	"1"	"9"	"1"	"2"	"0"	"6"	"5"	"5"	"8"	"2"	"6"	"1"	"3"	"2"	"2"	"2"	"2"	"2"	"633"	"0"	"4"	"637"	"0"
"43"	"31"	"97"	"375"	"9"	"126"	"3"	"35"	"6"	"4"	"2"	"7"	"3"	"4"	"8"	"7"	"8"	"14"	"14"	"21"	"6"	"19"	"5"	"28"	"1"	"4"	"2"	"11"	"10"	"6"	"12"	"847"	"0"	"13"	"860"	"0"
"44"	"32"	"124"	"329"	"13"	"270"	"6"	"36"	"9"	"5"	"6"	"5"	"3"	"11"	"4"	"9"	"13"	"16"	"5"	"7"	"4"	"6"	"2"	"6"	"2"	"4"	"3"	"7"	"1"	"4"	"4"	"914"	"0"	"9"	"923"	"0"
"45"	"33"	"140"	"181"	"5"	"75"	"1"	"16"	"3"	"2"	"2"	"1"	"5"	"0"	"5"	"2"	"1"	"5"	"17"	"8"	"0"	"6"	"3"	"13"	"2"	"7"	"3"	"4"	"2"	"6"	"5"	"520"	"0"	"13"	"533"	"0"
"46"	"34"	"77"	"190"	"2"	"27"	"6"	"6"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"2"	"1"	"2"	"0"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"2"	"1"	"0"	"324"	"0"	"0"	"324"	"0"
"47"	"35"	"103"	"509"	"9"	"164"	"6"	"43"	"4"	"4"	"6"	"6"	"4"	"6"	"9"	"3"	"9"	"13"	"1"	"1"	"1"	"4"	"1"	"16"	"2"	"2"	"5"	"2"	"5"	"4"	"5"	"947"	"0"	"6"	"953"	"0"
"48"	"36"	"88"	"256"	"6"	"122"	"2"	"24"	"2"	"3"	"2"	"0"	"0"	"1"	"1"	"4"	"1"	"2"	"3"	"4"	"0"	"2"	"0"	"4"	"0"	"0"	"0"	"2"	"1"	"2"	"2"	"534"	"0"	"1"	"535"	"0"
"49"	"36A"	"140"	"181"	"9"	"132"	"0"	"27"	"4"	"0"	"2"	"1"	"1"	"4"	"7"	"2"	"0"	"10"	"4"	"0"	"0"	"3"	"1"	"1"	"1"	"0"	"0"	"2"	"0"	"0"	"0"	"532"	"0"	"2"	"534"	"0"
"50"	"37"	"259"	"230"	"9"	"164"	"1"	"20"	"6"	"0"	"0"	"3"	"2"	"2"	"5"	"2"	"1"	"3"	"8"	"1"	"4"	"10"	"1"	"7"	"3"	"0"	"0"	"3"	"1"	"3"	"3"	"751"	"0"	"6"	"757"	"0"
"51"	"38"	"166"	"145"	"5"	"85"	"0"	"14"	"2"	"0"	"0"	"1"	"1"	"3"	"2"	"2"	"1"	"3"	"8"	"6"	"2"	"4"	"2"	"6"	"1"	"3"	"4"	"6"	"3"	"5"	"7"	"487"	"0"	"4"	"491"	"0"
"52"	"38A"	"61"	"226"	"3"	"124"	"6"	"31"	"5"	"1"	"1"	"3"	"2"	"3"	"3"	"3"	"9"	"4"	"2"	"2"	"1"	"3"	"0"	"1"	"0"	"0"	"1"	"2"	"0"	"2"	"0"	"499"	"0"	"0"	"499"	"0"
"53"	"39"	"261"	"339"	"6"	"110"	"5"	"22"	"2"	"6"	"2"	"4"	"1"	"5"	"12"	"10"	"13"	"31"	"6"	"8"	"3"	"4"	"4"	"9"	"2"	"1"	"2"	"4"	"3"	"8"	"9"	"892"	"0"	"11"	"903"	"0"
"54"	"40"	"46"	"353"	"2"	"84"	"0"	"11"	"0"	"0"	"0"	"2"	"1"	"2"	"3"	"3"	"11"	"8"	"2"	"4"	"3"	"1"	"1"	"8"	"0"	"3"	"1"	"2"	"3"	"4"	"5"	"563"	"0"	"4"	"567"	"0"
"55"	"41"	"50"	"242"	"4"	"207"	"3"	"32"	"1"	"0"	"2"	"0"	"1"	"3"	"5"	"3"	"5"	"5"	"1"	"1"	"1"	"2"	"0"	"2"	"0"	"3"	"1"	"3"	"1"	"1"	"1"	"580"	"0"	"3"	"583"	"0"
"56"	"42"	"65"	"352"	"11"	"140"	"4"	"10"	"2"	"0"	"0"	"0"	"0"	"1"	"2"	"1"	"1"	"2"	"2"	"1"	"0"	"1"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"601"	"0"	"1"	"602"	"0"
"57"	"43"	"227"	"272"	"9"	"138"	"0"	"16"	"3"	"3"	"0"	"4"	"0"	"2"	"3"	"2"	"2"	"6"	"9"	"2"	"0"	"8"	"1"	"17"	"1"	"3"	"2"	"0"	"1"	"2"	"3"	"736"	"0"	"2"	"738"	"0"
"58"	"44"	"196"	"469"	"9"	"115"	"4"	"19"	"2"	"1"	"3"	"1"	"3"	"3"	"9"	"5"	"13"	"13"	"5"	"16"	"1"	"1"	"2"	"11"	"0"	"4"	"2"	"3"	"5"	"6"	"13"	"934"	"0"	"16"	"950"	"0"
"59"	"45"	"159"	"257"	"5"	"224"	"2"	"38"	"4"	"4"	"0"	"3"	"1"	"6"	"13"	"5"	"7"	"16"	"2"	"3"	"1"	"2"	"1"	"5"	"0"	"3"	"2"	"3"	"2"	"2"	"3"	"773"	"0"	"10"	"783"	"0"
"60"	"46"	"109"	"348"	"4"	"106"	"2"	"21"	"3"	"1"	"0"	"0"	"1"	"2"	"11"	"5"	"6"	"19"	"11"	"3"	"2"	"8"	"1"	"10"	"2"	"0"	"4"	"2"	"2"	"4"	"11"	"698"	"0"	"9"	"707"	"0"
"61"	"47"	"102"	"372"	"4"	"104"	"2"	"17"	"2"	"0"	"0"	"1"	"1"	"2"	"0"	"1"	"0"	"3"	"1"	"10"	"0"	"0"	"0"	"3"	"0"	"1"	"0"	"1"	"2"	"1"	"0"	"630"	"0"	"2"	"632"	"0"
"62"	"48"	"176"	"471"	"10"	"116"	"9"	"23"	"4"	"3"	"0"	"0"	"4"	"4"	"7"	"4"	"12"	"11"	"2"	"11"	"1"	"2"	"0"	"2"	"1"	"1"	"1"	"1"	"1"	"1"	"3"	"881"	"0"	"3"	"884"	"0"
"63"	"49"	"223"	"302"	"10"	"201"	"6"	"40"	"10"	"4"	"3"	"4"	"8"	"5"	"23"	"11"	"11"	"30"	"7"	"32"	"5"	"5"	"3"	"15"	"3"	"3"	"5"	"10"	"6"	"9"	"4"	"998"	"0"	"13"	"101
1"	"0"
"64"	"50"	"35"	"330"	"2"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"4"	"4"	"0"	"0"	"1"	"5"	"0"	"4"	"1"	"0"	"2"	"1"	"7"	"402"	"0"	"2"	"404"	"0"
"65"	"51"	"158"	"301"	"3"	"1"	"0"	"2"	"0"	"0"	"2"	"0"	"0"	"3"	"3"	"1"	"4"	"9"	"3"	"8"	"2"	"1"	"1"	"5"	"1"	"0"	"0"	"0"	"1"	"1"	"3"	"513"	"0"	"3"	"516"	"0"
"66"	"52"	"106"	"349"	"5"	"9"	"4"	"3"	"8"	"1"	"3"	"0"	"1"	"0"	"6"	"3"	"13"	"15"	"3"	"10"	"1"	"3"	"1"	"8"	"3"	"1"	"3"	"3"	"2"	"4"	"6"	"574"	"0"	"15"	"589"	"0"
"67"	"53"	"181"	"180"	"2"	"2"	"0"	"1"	"1"	"0"	"0"	"2"	"0"	"0"	"1"	"0"	"5"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"383"	"0"	"3"	"386"	"0"
"68"	"54"	"154"	"166"	"6"	"8"	"1"	"6"	"1"	"2"	"3"	"2"	"2"	"2"	"6"	"5"	"10"	"11"	"6"	"4"	"2"	"3"	"1"	"6"	"0"	"2"	"1"	"5"	"5"	"4"	"2"	"426"	"0"	"7"	"433"	"0"
"69"	"55"	"142"	"348"	"12"	"79"	"2"	"28"	"1"	"4"	"4"	"4"	"5"	"5"	"6"	"6"	"4"	"18"	"7"	"14"	"2"	"7"	"1"	"21"	"5"	"6"	"3"	"5"	"6"	"3"	"5"	"753"	"0"	"11"	"764"	"0"
"70"	"56"	"277"	"305"	"5"	"6"	"5"	"2"	"0"	"0"	"2"	"0"	"0"	"1"	"3"	"2"	"9"	"7"	"7"	"7"	"0"	"1"	"0"	"3"	"0"	"1"	"0"	"1"	"0"	"2"	"1"	"647"	"0"	"3"	"650"	"0"
"71"	"57"	"50"	"189"	"2"	"20"	"0"	"8"	"0"	"1"	"0"	"1"	"1"	"0"	"1"	"2"	"2"	"8"	"1"	"9"	"3"	"0"	"1"	"4"	"1"	"0"	"1"	"4"	"0"	"2"	"6"	"317"	"0"	"4"	"321"	"0"
"72"	"58"	"136"	"304"	"6"	"31"	"1"	"20"	"4"	"1"	"2"	"0"	"1"	"2"	"7"	"5"	"9"	"14"	"3"	"4"	"1"	"3"	"2"	"6"	"1"	"1"	"0"	"5"	"0"	"3"	"7"	"579"	"0"	"4"	"583"	"0"
"73"	"59"	"162"	"340"	"2"	"35"	"3"	"10"	"0"	"0"	"2"	"0"	"0"	"2"	"1"	"4"	"1"	"3"	"0"	"1"	"0"	"1"	"1"	"3"	"0"	"2"	"1"	"0"	"0"	"2"	"1"	"577"	"0"	"2"	"579"	"0"
"74"	"60"	"80"	"350"	"7"	"45"	"2"	"10"	"3"	"5"	"2"	"2"	"1"	"2"	"1"	"6"	"9"	"14"	"2"	"5"	"7"	"2"	"4"	"11"	"4"	"3"	"2"	"1"	"3"	"8"	"6"	"597"	"0"	"14"	"611"	"0"
"75"	"61"	"249"	"178"	"1"	"22"	"3"	"10"	"2"	"3"	"1"	"0"	"0"	"2"	"2"	"0"	"14"	"13"	"2"	"6"	"1"	"1"	"2"	"5"	"2"	"0"	"3"	"1"	"3"	"3"	"4"	"533"	"0"	"11"	"544"	"0"
"76"	"62"	"32"	"593"	"5"	"28"	"7"	"4"	"0"	"0"	"0"	"0"	"1"	"2"	"3"	"1"	"1"	"2"	"2"	"1"	"0"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"4"	"691"	"0"	"1"	"692"	"0"
"77"	"63"	"133"	"516"	"3"	"24"	"0"	"8"	"1"	"1"	"4"	"0"	"2"	"2"	"3"	"0"	"6"	"15"	"4"	"4"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"2"	"1"	"732"	"0"	"4"	"736"	"0"
"78"	"64"	"63"	"324"	"7"	"8"	"1"	"6"	"0"	"2"	"1"	"0"	"2"	"2"	"1"	"1"	"6"	"10"	"1"	"6"	"4"	"2"	"4"	"6"	"1"	"0"	"3"	"2"	"2"	"4"	"12"	"481"	"0"	"11"	"492"	"0"
"79"	"65"	"342"	"121"	"2"	"18"	"2"	"1"	"4"	"0"	"2"	"0"	"1"	"2"	"3"	"2"	"6"	"9"	"9"	"9"	"1"	"0"	"1"	"7"	"0"	"0"	"3"	"2"	"1"	"3"	"3"	"554"	"0"	"11"	"565"	"0"
"80"	"66"	"26"	"274"	"3"	"24"	"1"	"5"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"4"	"3"	"3"	"7"	"3"	"3"	"0"	"3"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"364"	"0"	"1"	"365"	"0"
"81"	"67"	"268"	"420"	"7"	"55"	"5"	"18"	"5"	"5"	"5"	"1"	"7"	"5"	"8"	"4"	"12"	"26"	"8"	"14"	"0"	"1"	"0"	"2"	"1"	"0"	"1"	"1"	"1"	"1"	"2"	"883"	"0"	"1"	"884"	"0"
"82"	"68"	"187"	"444"	"13"	"28"	"0"	"14"	"3"	"0"	"3"	"0"	"1"	"4"	"5"	"0"	"11"	"16"	"5"	"4"	"1"	"1"	"3"	"6"	"1"	"3"	"4"	"2"	"2"	"3"	"9"	"773"	"0"	"20"	"793"	"0"
"83"	"69"	"176"	"323"	"7"	"38"	"1"	"13"	"2"	"1"	"2"	"2"	"3"	"7"	"4"	"5"	"8"	"18"	"8"	"13"	"4"	"3"	"1"	"4"	"2"	"2"	"1"	"1"	"4"	"5"	"7"	"665"	"0"	"6"	"671"	"0"
"84"	"70"	"201"	"336"	"5"	"36"	"4"	"7"	"2"	"4"	"5"	"1"	"2"	"5"	"5"	"10"	"11"	"26"	"9"	"3"	"1"	"1"	"1"	"5"	"0"	"2"	"0"	"0"	"1"	"2"	"5"	"690"	"0"	"6"	"696"	"0"
"85"	"71"	"152"	"239"	"4"	"51"	"3"	"18"	"2"	"0"	"1"	"1"	"3"	"3"	"8"	"3"	"5"	"14"	"12"	"2"	"0"	"1"	"0"	"3"	"0"	"3"	"1"	"4"	"3"	"2"	"5"	"543"	"0"	"13"	"556"	"0"
