"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"22"	"10"	"99"	"22"	"11"	"443"	"45"	"15"	"6"	"5"	"8"	"6"	"26"	"12"	"13"	"9"	"720"	"0"	"11"	"731"	"0"
"23"	"11"	"70"	"23"	"1"	"277"	"10"	"21"	"1"	"0"	"1"	"0"	"17"	"4"	"6"	"0"	"431"	"0"	"5"	"436"	"0"
"24"	"12"	"79"	"8"	"1"	"319"	"12"	"5"	"0"	"3"	"1"	"0"	"34"	"6"	"6"	"5"	"479"	"0"	"8"	"487"	"0"
"25"	"13"	"35"	"14"	"7"	"529"	"53"	"10"	"2"	"4"	"7"	"3"	"22"	"21"	"9"	"16"	"732"	"0"	"12"	"744"	"0"
"26"	"14"	"27"	"83"	"1"	"432"	"51"	"26"	"1"	"4"	"1"	"5"	"6"	"5"	"12"	"4"	"658"	"0"	"5"	"663"	"0"
"27"	"15"	"90"	"40"	"1"	"451"	"31"	"32"	"2"	"2"	"4"	"3"	"13"	"3"	"5"	"2"	"679"	"0"	"4"	"683"	"0"
"28"	"16"	"46"	"31"	"6"	"446"	"64"	"17"	"3"	"3"	"4"	"4"	"11"	"14"	"16"	"18"	"683"	"0"	"9"	"692"	"0"
"29"	"17"	"84"	"50"	"8"	"495"	"82"	"31"	"7"	"8"	"7"	"6"	"15"	"21"	"16"	"32"	"862"	"0"	"16"	"878"	"0"
"30"	"18"	"15"	"10"	"8"	"305"	"39"	"18"	"3"	"2"	"2"	"1"	"6"	"8"	"12"	"20"	"449"	"0"	"11"	"460"	"0"
"31"	"19"	"31"	"4"	"5"	"640"	"47"	"8"	"1"	"2"	"1"	"3"	"41"	"8"	"6"	"7"	"804"	"0"	"13"	"817"	"0"
"32"	"20"	"79"	"21"	"4"	"407"	"36"	"14"	"10"	"0"	"5"	"1"	"8"	"7"	"6"	"5"	"603"	"0"	"11"	"614"	"0"
"33"	"21"	"330"	"12"	"16"	"246"	"40"	"11"	"2"	"6"	"35"	"2"	"38"	"5"	"6"	"2"	"751"	"0"	"2"	"753"	"0"
"34"	"22"	"29"	"23"	"7"	"417"	"36"	"9"	"5"	"3"	"7"	"6"	"39"	"9"	"4"	"15"	"609"	"0"	"16"	"625"	"0"
"35"	"23"	"72"	"9"	"6"	"237"	"35"	"8"	"1"	"4"	"25"	"8"	"69"	"31"	"8"	"10"	"523"	"0"	"18"	"541"	"0"
"36"	"24"	"57"	"63"	"5"	"368"	"39"	"31"	"3"	"1"	"6"	"2"	"50"	"9"	"14"	"20"	"668"	"0"	"17"	"685"	"0"
"37"	"25"	"78"	"36"	"2"	"252"	"32"	"23"	"4"	"3"	"15"	"7"	"55"	"6"	"10"	"10"	"533"	"0"	"11"	"544"	"0"
"38"	"26"	"82"	"18"	"4"	"170"	"19"	"6"	"0"	"3"	"1"	"3"	"17"	"8"	"3"	"5"	"339"	"0"	"9"	"348"	"0"
"39"	"27"	"37"	"11"	"3"	"200"	"16"	"3"	"0"	"2"	"6"	"2"	"67"	"4"	"6"	"4"	"361"	"0"	"6"	"367"	"0"
"40"	"28"	"75"	"20"	"4"	"354"	"43"	"21"	"4"	"3"	"36"	"7"	"79"	"9"	"12"	"18"	"685"	"0"	"14"	"699"	"0"
"41"	"29"	"53"	"16"	"3"	"351"	"32"	"9"	"2"	"2"	"12"	"2"	"155"	"5"	"4"	"3"	"649"	"0"	"3"	"652"	"0"
"42"	"30"	"183"	"32"	"8"	"554"	"89"	"23"	"11"	"6"	"9"	"2"	"23"	"8"	"20"	"26"	"994"	"0"	"31"	"1025"	"0"
"43"	"31"	"160"	"25"	"4"	"358"	"87"	"14"	"19"	"7"	"5"	"9"	"12"	"5"	"14"	"23"	"742"	"0"	"18"	"760"	"0"
"44"	"32"	"79"	"32"	"8"	"226"	"28"	"19"	"14"	"4"	"2"	"2"	"5"	"2"	"4"	"3"	"428"	"0"	"1"	"429"	"0"
"45"	"33"	"78"	"35"	"8"	"434"	"68"	"28"	"6"	"2"	"10"	"4"	"57"	"17"	"14"	"14"	"775"	"0"	"12"	"787"	"0"
"46"	"34"	"59"	"66"	"5"	"276"	"24"	"22"	"0"	"1"	"4"	"0"	"15"	"5"	"4"	"5"	"486"	"0"	"1"	"487"	"0"
"47"	"35"	"69"	"39"	"4"	"621"	"90"	"27"	"4"	"8"	"5"	"2"	"15"	"13"	"3"	"18"	"918"	"0"	"8"	"926"	"0"
"48"	"36"	"92"	"3"	"5"	"244"	"16"	"10"	"2"	"0"	"44"	"4"	"19"	"6"	"8"	"21"	"474"	"0"	"13"	"487"	"0"
"49"	"37"	"71"	"24"	"4"	"351"	"37"	"17"	"1"	"1"	"4"	"1"	"12"	"9"	"5"	"16"	"553"	"0"	"6"	"559"	"0"
"50"	"38"	"25"	"18"	"1"	"191"	"39"	"16"	"1"	"0"	"2"	"3"	"4"	"3"	"9"	"10"	"322"	"0"	"6"	"328"	"0"
"51"	"39"	"31"	"28"	"5"	"361"	"45"	"22"	"4"	"6"	"8"	"3"	"53"	"15"	"16"	"17"	"614"	"0"	"18"	"632"	"0"
"52"	"40"	"67"	"39"	"9"	"371"	"40"	"20"	"2"	"2"	"14"	"3"	"21"	"4"	"3"	"6"	"601"	"0"	"1"	"602"	"0"
"53"	"41"	"26"	"79"	"2"	"211"	"18"	"22"	"1"	"0"	"11"	"1"	"7"	"4"	"4"	"10"	"396"	"0"	"10"	"406"	"0"
"54"	"42"	"28"	"31"	"3"	"370"	"43"	"30"	"4"	"4"	"9"	"3"	"38"	"6"	"10"	"13"	"592"	"0"	"7"	"599"	"0"
"55"	"43"	"129"	"33"	"11"	"366"	"38"	"8"	"3"	"3"	"14"	"1"	"7"	"1"	"0"	"2"	"616"	"0"	"3"	"619"	"0"
"56"	"44"	"57"	"143"	"7"	"411"	"23"	"17"	"4"	"5"	"1"	"1"	"8"	"9"	"11"	"11"	"708"	"0"	"9"	"717"	"0"
"57"	"45"	"182"	"31"	"6"	"394"	"25"	"9"	"0"	"1"	"8"	"3"	"10"	"3"	"3"	"4"	"679"	"0"	"10"	"689"	"0"
"58"	"46"	"39"	"119"	"13"	"489"	"37"	"35"	"3"	"3"	"4"	"4"	"20"	"5"	"9"	"11"	"791"	"0"	"7"	"798"	"0"
"59"	"47"	"89"	"163"	"9"	"565"	"64"	"48"	"5"	"6"	"6"	"6"	"16"	"5"	"19"	"21"	"1022"	"0"	"19"	"1041"	"0"
"60"	"48"	"58"	"160"	"10"	"407"	"52"	"58"	"4"	"3"	"6"	"1"	"19"	"2"	"14"	"15"	"809"	"0"	"5"	"814"	"0"
"61"	"49"	"51"	"65"	"4"	"383"	"58"	"50"	"17"	"6"	"8"	"7"	"14"	"15"	"15"	"18"	"711"	"0"	"23"	"734"	"0"
"62"	"50"	"264"	"85"	"14"	"488"	"58"	"32"	"4"	"1"	"3"	"7"	"27"	"18"	"24"	"19"	"1044"	"0"	"32"	"1076"	"0"
"63"	"51"	"11"	"33"	"4"	"514"	"62"	"25"	"2"	"1"	"12"	"3"	"57"	"4"	"5"	"10"	"743"	"0"	"8"	"751"	"0"
"64"	"52"	"18"	"47"	"6"	"414"	"53"	"35"	"2"	"6"	"3"	"2"	"6"	"2"	"12"	"13"	"619"	"0"	"12"	"631"	"0"
"65"	"53"	"83"	"50"	"11"	"418"	"69"	"21"	"3"	"3"	"2"	"3"	"8"	"3"	"5"	"8"	"687"	"0"	"10"	"697"	"0"
"66"	"54"	"87"	"41"	"13"	"583"	"81"	"21"	"2"	"3"	"6"	"3"	"11"	"11"	"10"	"17"	"889"	"0"	"14"	"903"	"0"
"67"	"55"	"96"	"89"	"11"	"424"	"58"	"33"	"3"	"4"	"4"	"3"	"7"	"1"	"7"	"6"	"746"	"0"	"4"	"750"	"0"
"68"	"56"	"81"	"28"	"10"	"424"	"73"	"35"	"6"	"13"	"7"	"8"	"18"	"11"	"18"	"18"	"750"	"0"	"33"	"783"	"0"
"69"	"57"	"249"	"21"	"11"	"242"	"63"	"11"	"1"	"2"	"6"	"6"	"5"	"4"	"2"	"12"	"635"	"0"	"20"	"655"	"0"
"70"	"58"	"298"	"24"	"7"	"168"	"30"	"5"	"0"	"2"	"5"	"2"	"7"	"3"	"5"	"6"	"562"	"0"	"10"	"572"	"0"
"71"	"59"	"262"	"21"	"7"	"199"	"30"	"7"	"4"	"14"	"3"	"4"	"5"	"11"	"7"	"5"	"579"	"0"	"3"	"582"	"0"
"72"	"60"	"117"	"79"	"1"	"244"	"52"	"46"	"7"	"7"	"2"	"1"	"6"	"3"	"16"	"14"	"595"	"0"	"13"	"608"	"0"
"73"	"61"	"101"	"38"	"12"	"246"	"48"	"34"	"5"	"2"	"5"	"2"	"7"	"10"	"12"	"15"	"537"	"0"	"10"	"547"	"0"
"74"	"62"	"174"	"24"	"16"	"265"	"48"	"29"	"3"	"3"	"8"	"1"	"5"	"2"	"7"	"13"	"598"	"0"	"20"	"618"	"0"
"75"	"63"	"107"	"60"	"12"	"541"	"61"	"14"	"6"	"5"	"4"	"5"	"15"	"8"	"16"	"12"	"866"	"0"	"13"	"879"	"0"
"76"	"64"	"76"	"82"	"4"	"537"	"91"	"90"	"7"	"9"	"12"	"10"	"18"	"11"	"24"	"34"	"1005"	"0"	"14"	"1019"	"0"
"77"	"65"	"46"	"15"	"15"	"632"	"60"	"20"	"2"	"4"	"7"	"6"	"23"	"16"	"6"	"7"	"859"	"0"	"3"	"862"	"0"
"78"	"66"	"45"	"32"	"7"	"388"	"41"	"37"	"9"	"3"	"19"	"7"	"340"	"9"	"9"	"18"	"964"	"0"	"14"	"978"	"0"
"79"	"67"	"132"	"28"	"4"	"316"	"37"	"37"	"1"	"3"	"3"	"2"	"16"	"6"	"10"	"14"	"609"	"0"	"17"	"626"	"0"
"80"	"67A"	"291"	"23"	"7"	"150"	"20"	"11"	"2"	"2"	"4"	"1"	"4"	"2"	"3"	"3"	"523"	"0"	"2"	"525"	"0"
"81"	"68"	"24"	"13"	"1"	"388"	"31"	"11"	"2"	"0"	"1"	"1"	"4"	"9"	"3"	"0"	"488"	"0"	"2"	"490"	"0"
"82"	"69"	"54"	"41"	"3"	"475"	"50"	"26"	"1"	"5"	"6"	"10"	"21"	"7"	"7"	"20"	"726"	"0"	"28"	"754"	"0"
"83"	"70"	"64"	"56"	"5"	"402"	"35"	"44"	"6"	"3"	"5"	"3"	"63"	"10"	"2"	"12"	"710"	"0"	"12"	"722"	"0"
"84"	"71"	"96"	"172"	"4"	"348"	"33"	"37"	"2"	"1"	"0"	"2"	"40"	"5"	"7"	"4"	"751"	"0"	"9"	"760"	"0"
"85"	"72"	"97"	"33"	"1"	"151"	"8"	"18"	"2"	"0"	"3"	"0"	"4"	"3"	"2"	"2"	"324"	"0"	"2"	"326"	"0"
"86"	"73"	"102"	"33"	"2"	"263"	"32"	"33"	"7"	"3"	"5"	"3"	"22"	"9"	"10"	"14"	"538"	"0"	"7"	"545"	"0"
"87"	"74"	"159"	"68"	"5"	"321"	"61"	"43"	"2"	"2"	"4"	"4"	"12"	"7"	"14"	"10"	"712"	"0"	"18"	"730"	"0"
"88"	"75"	"63"	"36"	"9"	"630"	"74"	"28"	"2"	"9"	"9"	"1"	"55"	"11"	"13"	"10"	"950"	"0"	"2"	"952"	"0"
"89"	"76"	"22"	"23"	"7"	"384"	"44"	"25"	"1"	"4"	"19"	"6"	"9"	"16"	"14"	"13"	"587"	"0"	"11"	"598"	"0"
"90"	"77"	"44"	"125"	"8"	"427"	"42"	"67"	"5"	"4"	"6"	"3"	"17"	"6"	"20"	"11"	"785"	"0"	"5"	"790"	"0"
"91"	"78"	"50"	"71"	"3"	"400"	"43"	"43"	"1"	"3"	"3"	"1"	"10"	"7"	"13"	"9"	"657"	"0"	"16"	"673"	"0"
"92"	"79"	"102"	"80"	"4"	"374"	"67"	"42"	"5"	"8"	"2"	"5"	"20"	"14"	"13"	"15"	"751"	"0"	"24"	"775"	"0"
"93"	"80"	"99"	"43"	"10"	"330"	"39"	"27"	"3"	"0"	"7"	"4"	"18"	"18"	"8"	"12"	"618"	"0"	"9"	"627"	"0"
"94"	"81"	"39"	"19"	"5"	"169"	"45"	"9"	"1"	"5"	"2"	"1"	"9"	"7"	"1"	"3"	"315"	"0"	"7"	"322"	"0"
"95"	"82"	"109"	"62"	"9"	"400"	"53"	"32"	"0"	"7"	"6"	"3"	"16"	"17"	"6"	"15"	"735"	"0"	"6"	"741"	"0"
"96"	"83"	"182"	"34"	"9"	"418"	"64"	"20"	"4"	"3"	"7"	"2"	"11"	"65"	"11"	"15"	"845"	"0"	"22"	"867"	"0"
"97"	"84"	"120"	"14"	"6"	"250"	"66"	"9"	"2"	"5"	"7"	"6"	"9"	"13"	"5"	"16"	"528"	"0"	"16"	"544"	"0"
"98"	"85"	"52"	"53"	"6"	"287"	"80"	"38"	"4"	"7"	"10"	"6"	"10"	"29"	"9"	"21"	"612"	"0"	"17"	"629"	"0"
"99"	"86"	"94"	"71"	"17"	"418"	"83"	"26"	"5"	"12"	"15"	"2"	"10"	"19"	"9"	"16"	"797"	"0"	"12"	"809"	"0"
"100"	"87"	"55"	"21"	"4"	"236"	"30"	"12"	"1"	"1"	"3"	"2"	"5"	"3"	"1"	"2"	"376"	"0"	"1"	"377"	"0"
"101"	"88"	"103"	"46"	"9"	"534"	"60"	"30"	"7"	"3"	"8"	"6"	"29"	"24"	"18"	"16"	"893"	"0"	"15"	"908"	"0"
"102"	"89"	"53"	"138"	"4"	"351"	"94"	"49"	"9"	"3"	"5"	"5"	"19"	"59"	"15"	"17"	"821"	"0"	"20"	"841"	"0"
"103"	"90"	"265"	"25"	"15"	"462"	"39"	"9"	"8"	"5"	"1"	"3"	"9"	"10"	"6"	"13"	"870"	"0"	"8"	"878"	"0"
"104"	"91"	"162"	"27"	"2"	"537"	"48"	"16"	"2"	"5"	"2"	"3"	"15"	"10"	"8"	"8"	"845"	"0"	"9"	"854"	"0"
"105"	"92"	"57"	"18"	"8"	"646"	"33"	"5"	"0"	"8"	"4"	"2"	"12"	"6"	"3"	"5"	"807"	"0"	"5"	"812"	"0"
"106"	"93"	"230"	"45"	"5"	"164"	"21"	"9"	"1"	"1"	"0"	"3"	"4"	"3"	"3"	"9"	"498"	"0"	"16"	"514"	"0"
"107"	"94"	"144"	"151"	"5"	"258"	"35"	"22"	"3"	"4"	"3"	"4"	"5"	"3"	"8"	"11"	"656"	"0"	"7"	"663"	"0"
"108"	"95"	"80"	"165"	"7"	"351"	"28"	"78"	"5"	"9"	"2"	"2"	"23"	"9"	"22"	"10"	"791"	"0"	"18"	"809"	"0"
"109"	"96"	"116"	"88"	"8"	"407"	"28"	"54"	"0"	"1"	"2"	"0"	"49"	"9"	"9"	"15"	"786"	"0"	"14"	"800"	"0"
"110"	"97"	"198"	"15"	"7"	"361"	"18"	"12"	"1"	"5"	"11"	"1"	"23"	"8"	"11"	"16"	"687"	"0"	"14"	"701"	"0"
"111"	"98"	"81"	"39"	"10"	"306"	"27"	"25"	"1"	"3"	"0"	"2"	"13"	"12"	"1"	"7"	"527"	"0"	"6"	"533"	"0"
"112"	"99"	"126"	"101"	"10"	"320"	"40"	"32"	"7"	"8"	"2"	"1"	"7"	"1"	"4"	"2"	"661"	"0"	"3"	"664"	"0"
"113"	"100"	"130"	"25"	"9"	"376"	"67"	"26"	"2"	"7"	"12"	"8"	"17"	"17"	"14"	"31"	"741"	"0"	"27"	"768"	"0"
"114"	"101"	"134"	"41"	"4"	"263"	"28"	"9"	"7"	"1"	"0"	"2"	"6"	"4"	"1"	"7"	"507"	"0"	"5"	"512"	"0"
"115"	"101A"	"297"	"50"	"2"	"152"	"10"	"6"	"2"	"4"	"3"	"4"	"6"	"3"	"5"	"7"	"551"	"0"	"6"	"557"	"0"
"116"	"102"	"228"	"41"	"14"	"265"	"19"	"13"	"2"	"2"	"5"	"0"	"17"	"4"	"3"	"5"	"618"	"0"	"12"	"630"	"0"
"117"	"103"	"224"	"71"	"11"	"346"	"38"	"45"	"6"	"7"	"2"	"5"	"12"	"8"	"17"	"17"	"809"	"0"	"13"	"822"	"0"
"118"	"104"	"279"	"16"	"37"	"427"	"53"	"18"	"7"	"9"	"4"	"3"	"9"	"5"	"6"	"14"	"887"	"0"	"15"	"902"	"0"
"119"	"105"	"267"	"34"	"12"	"353"	"59"	"36"	"5"	"5"	"3"	"5"	"6"	"14"	"20"	"40"	"859"	"0"	"42"	"901"	"0"
"120"	"106"	"11"	"33"	"2"	"212"	"21"	"10"	"1"	"1"	"0"	"1"	"4"	"2"	"3"	"3"	"304"	"0"	"2"	"306"	"0"
"121"	"107"	"244"	"102"	"11"	"474"	"20"	"40"	"7"	"0"	"7"	"4"	"22"	"5"	"17"	"15"	"968"	"0"	"26"	"994"	"0"
"122"	"108"	"239"	"16"	"4"	"229"	"41"	"11"	"5"	"5"	"7"	"4"	"13"	"7"	"9"	"13"	"603"	"0"	"24"	"627"	"0"
"123"	"109"	"143"	"22"	"18"	"496"	"116"	"17"	"11"	"3"	"14"	"6"	"25"	"17"	"15"	"42"	"945"	"0"	"32"	"977"	"0"
"124"	"110"	"243"	"36"	"28"	"353"	"49"	"11"	"20"	"6"	"2"	"1"	"5"	"1"	"3"	"5"	"763"	"0"	"5"	"768"	"0"
"125"	"111"	"115"	"9"	"4"	"146"	"21"	"7"	"5"	"5"	"1"	"1"	"4"	"1"	"5"	"11"	"335"	"0"	"14"	"349"	"0"
"126"	"112"	"154"	"100"	"5"	"389"	"61"	"41"	"5"	"5"	"9"	"2"	"15"	"11"	"12"	"16"	"825"	"0"	"16"	"841"	"0"
"127"	"113"	"289"	"15"	"28"	"184"	"37"	"8"	"10"	"6"	"2"	"5"	"10"	"1"	"4"	"10"	"609"	"0"	"15"	"624"	"0"
"128"	"114"	"123"	"39"	"7"	"360"	"70"	"26"	"23"	"11"	"7"	"9"	"14"	"4"	"10"	"29"	"732"	"0"	"28"	"760"	"0"
"129"	"115"	"132"	"22"	"5"	"525"	"73"	"13"	"5"	"2"	"2"	"1"	"7"	"1"	"4"	"13"	"805"	"0"	"5"	"810"	"0"
"130"	"116"	"102"	"17"	"4"	"316"	"39"	"16"	"6"	"5"	"5"	"4"	"8"	"4"	"8"	"9"	"543"	"0"	"8"	"551"	"0"
"131"	"117"	"518"	"52"	"14"	"257"	"53"	"23"	"13"	"6"	"2"	"3"	"3"	"6"	"14"	"12"	"976"	"0"	"17"	"993"	"0"
"132"	"118"	"205"	"50"	"7"	"392"	"55"	"19"	"3"	"4"	"4"	"5"	"10"	"13"	"9"	"26"	"802"	"0"	"26"	"828"	"0"
"133"	"119"	"244"	"55"	"9"	"422"	"37"	"12"	"7"	"7"	"4"	"6"	"5"	"7"	"5"	"6"	"826"	"0"	"7"	"833"	"0"
"134"	"120"	"219"	"15"	"8"	"469"	"42"	"4"	"1"	"1"	"1"	"0"	"7"	"0"	"0"	"2"	"769"	"0"	"1"	"770"	"0"
"135"	"121"	"96"	"12"	"6"	"401"	"32"	"11"	"16"	"4"	"7"	"2"	"1"	"0"	"1"	"6"	"595"	"0"	"1"	"596"	"0"
"136"	"122"	"410"	"58"	"12"	"284"	"59"	"45"	"7"	"12"	"4"	"4"	"9"	"13"	"15"	"21"	"953"	"0"	"34"	"987"	"0"
"137"	"123"	"236"	"37"	"8"	"231"	"53"	"30"	"11"	"7"	"3"	"3"	"11"	"4"	"8"	"12"	"654"	"0"	"10"	"664"	"0"
"138"	"124"	"128"	"49"	"9"	"347"	"27"	"20"	"1"	"3"	"0"	"2"	"3"	"5"	"4"	"10"	"608"	"0"	"7"	"615"	"0"
"139"	"125"	"136"	"22"	"4"	"407"	"23"	"20"	"4"	"3"	"4"	"6"	"6"	"9"	"13"	"7"	"664"	"0"	"26"	"690"	"0"
"140"	"126"	"213"	"48"	"5"	"204"	"24"	"15"	"2"	"1"	"3"	"1"	"7"	"2"	"3"	"6"	"534"	"0"	"8"	"542"	"0"
"141"	"127"	"136"	"40"	"5"	"330"	"28"	"25"	"3"	"1"	"4"	"6"	"6"	"10"	"5"	"3"	"602"	"0"	"10"	"612"	"0"
"142"	"128"	"123"	"16"	"5"	"155"	"27"	"10"	"11"	"1"	"1"	"1"	"1"	"2"	"1"	"1"	"355"	"0"	"8"	"363"	"0"
"143"	"129"	"23"	"11"	"7"	"221"	"29"	"8"	"0"	"2"	"9"	"5"	"18"	"0"	"6"	"6"	"345"	"0"	"10"	"355"	"0"
"144"	"130"	"147"	"28"	"18"	"290"	"59"	"12"	"8"	"8"	"19"	"1"	"101"	"5"	"10"	"13"	"719"	"0"	"10"	"729"	"0"
"145"	"131"	"48"	"145"	"10"	"345"	"30"	"38"	"4"	"13"	"12"	"9"	"70"	"21"	"12"	"22"	"779"	"0"	"19"	"798"	"0"
"146"	"132"	"95"	"143"	"2"	"314"	"36"	"26"	"3"	"5"	"10"	"4"	"33"	"10"	"12"	"13"	"706"	"0"	"14"	"720"	"0"
"147"	"133"	"48"	"59"	"1"	"396"	"49"	"29"	"0"	"5"	"2"	"2"	"8"	"9"	"9"	"11"	"628"	"0"	"14"	"642"	"0"
"148"	"134"	"26"	"30"	"67"	"173"	"32"	"12"	"2"	"3"	"7"	"3"	"21"	"3"	"10"	"8"	"397"	"0"	"10"	"407"	"0"
"149"	"135"	"86"	"5"	"23"	"222"	"28"	"3"	"1"	"1"	"1"	"1"	"4"	"2"	"1"	"4"	"382"	"0"	"3"	"385"	"0"
"150"	"136"	"23"	"8"	"13"	"364"	"63"	"14"	"3"	"4"	"8"	"3"	"10"	"14"	"9"	"24"	"560"	"0"	"24"	"584"	"0"
"151"	"137"	"16"	"5"	"2"	"94"	"24"	"4"	"3"	"2"	"1"	"3"	"0"	"1"	"0"	"1"	"156"	"0"	"1"	"157"	"0"
"152"	"138"	"212"	"17"	"17"	"171"	"11"	"8"	"1"	"3"	"8"	"3"	"52"	"4"	"14"	"9"	"530"	"0"	"17"	"547"	"0"
"153"	"139"	"91"	"21"	"51"	"103"	"9"	"2"	"0"	"2"	"2"	"1"	"9"	"1"	"2"	"3"	"297"	"0"	"0"	"297"	"0"
"154"	"140"	"120"	"36"	"28"	"120"	"11"	"8"	"2"	"0"	"3"	"1"	"3"	"2"	"3"	"5"	"342"	"0"	"9"	"351"	"0"
"155"	"141"	"71"	"41"	"10"	"331"	"59"	"17"	"5"	"2"	"0"	"1"	"10"	"4"	"6"	"6"	"563"	"0"	"13"	"576"	"0"
"156"	"142"	"8"	"21"	"2"	"121"	"18"	"6"	"1"	"1"	"1"	"0"	"3"	"0"	"3"	"0"	"185"	"0"	"0"	"185"	"0"
"157"	"143"	"144"	"98"	"8"	"93"	"17"	"19"	"0"	"3"	"2"	"0"	"6"	"1"	"4"	"1"	"396"	"0"	"4"	"400"	"0"
"158"	"144"	"177"	"21"	"3"	"64"	"14"	"22"	"0"	"3"	"2"	"0"	"3"	"3"	"2"	"13"	"327"	"0"	"13"	"340"	"0"
"159"	"145"	"171"	"25"	"5"	"143"	"18"	"17"	"2"	"1"	"7"	"3"	"5"	"1"	"3"	"4"	"405"	"0"	"5"	"410"	"0"
"160"	"146"	"173"	"198"	"42"	"210"	"31"	"36"	"8"	"6"	"4"	"3"	"12"	"7"	"17"	"14"	"761"	"0"	"14"	"775"	"0"
"161"	"147"	"226"	"14"	"5"	"145"	"10"	"3"	"3"	"1"	"0"	"0"	"1"	"2"	"0"	"2"	"412"	"0"	"8"	"420"	"0"
"162"	"148"	"128"	"72"	"82"	"438"	"49"	"21"	"5"	"3"	"6"	"2"	"4"	"2"	"6"	"8"	"826"	"0"	"3"	"829"	"0"
"163"	"149"	"163"	"149"	"89"	"269"	"29"	"30"	"3"	"7"	"6"	"4"	"5"	"8"	"6"	"18"	"786"	"0"	"9"	"795"	"0"
