"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"
"14"	"2"	"44"	"226"	"3"	"36"	"4"	"20"	"2"	"2"	"1"	"1"	"0"	"4"	"3"	"1"	"4"	"5"	"1"	"1"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"361"	"0"	"2"	"363"	"0"
"15"	"3"	"30"	"303"	"8"	"66"	"9"	"38"	"10"	"3"	"4"	"2"	"3"	"3"	"2"	"5"	"6"	"15"	"2"	"0"	"0"	"3"	"3"	"13"	"2"	"0"	"1"	"1"	"2"	"1"	"1"	"536"	"0"	"9"	"545"	"0"
"16"	"4"	"146"	"186"	"2"	"104"	"1"	"34"	"1"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"481"	"0"	"1"	"482"	"0"
"17"	"5"	"170"	"405"	"7"	"79"	"14"	"14"	"6"	"4"	"2"	"4"	"3"	"4"	"11"	"4"	"12"	"19"	"13"	"12"	"9"	"9"	"6"	"38"	"4"	"7"	"8"	"9"	"8"	"12"	"19"	"912"	"0"	"34"	"946"	"0"
"18"	"6"	"74"	"766"	"7"	"20"	"1"	"4"	"0"	"4"	"1"	"0"	"2"	"0"	"1"	"2"	"4"	"6"	"2"	"4"	"1"	"0"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"3"	"1"	"908"	"0"	"10"	"918"	"0"
"19"	"7"	"58"	"450"	"17"	"129"	"7"	"45"	"9"	"5"	"5"	"6"	"6"	"13"	"12"	"18"	"9"	"14"	"4"	"7"	"3"	"6"	"0"	"4"	"4"	"1"	"2"	"7"	"6"	"3"	"5"	"855"	"0"	"14"	"869"	"0"
"20"	"8"	"180"	"270"	"1"	"8"	"10"	"6"	"1"	"1"	"2"	"0"	"0"	"3"	"6"	"0"	"2"	"13"	"3"	"8"	"5"	"0"	"1"	"18"	"3"	"2"	"2"	"3"	"3"	"3"	"11"	"565"	"0"	"20"	"585"	"0"
"21"	"9"	"182"	"336"	"5"	"9"	"14"	"7"	"2"	"2"	"0"	"1"	"0"	"4"	"0"	"1"	"4"	"5"	"1"	"3"	"1"	"1"	"1"	"9"	"0"	"3"	"1"	"0"	"1"	"1"	"3"	"597"	"0"	"4"	"601"	"0"
"22"	"10"	"183"	"201"	"5"	"44"	"5"	"32"	"5"	"3"	"5"	"1"	"3"	"4"	"8"	"3"	"10"	"22"	"9"	"4"	"1"	"3"	"0"	"10"	"2"	"2"	"5"	"9"	"5"	"7"	"8"	"599"	"0"	"21"	"620"	"0"
"23"	"11"	"123"	"244"	"9"	"16"	"9"	"14"	"0"	"0"	"1"	"1"	"3"	"1"	"5"	"2"	"5"	"7"	"7"	"10"	"2"	"2"	"2"	"19"	"2"	"6"	"4"	"4"	"8"	"9"	"5"	"520"	"0"	"22"	"542"	"0"
"24"	"12"	"181"	"329"	"4"	"32"	"1"	"13"	"1"	"2"	"1"	"2"	"3"	"2"	"3"	"3"	"6"	"11"	"2"	"4"	"1"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"606"	"0"	"1"	"607"	"0"
"25"	"13"	"62"	"286"	"8"	"69"	"0"	"32"	"7"	"0"	"4"	"5"	"2"	"2"	"13"	"8"	"6"	"22"	"5"	"2"	"2"	"1"	"2"	"12"	"0"	"5"	"4"	"4"	"1"	"5"	"5"	"574"	"0"	"6"	"580"	"0"
"26"	"14"	"57"	"393"	"10"	"67"	"10"	"10"	"6"	"2"	"3"	"2"	"1"	"3"	"2"	"2"	"3"	"4"	"6"	"2"	"2"	"5"	"1"	"10"	"0"	"0"	"0"	"0"	"1"	"2"	"2"	"606"	"0"	"1"	"607"	"0"
"27"	"15"	"143"	"154"	"6"	"129"	"3"	"18"	"3"	"1"	"2"	"1"	"1"	"1"	"9"	"0"	"2"	"3"	"8"	"3"	"6"	"6"	"6"	"8"	"0"	"7"	"2"	"2"	"3"	"2"	"3"	"532"	"0"	"5"	"537"	"0"
"28"	"16"	"235"	"263"	"8"	"22"	"6"	"15"	"2"	"2"	"4"	"1"	"1"	"3"	"8"	"3"	"8"	"15"	"5"	"2"	"0"	"0"	"1"	"8"	"1"	"5"	"1"	"0"	"2"	"0"	"4"	"625"	"0"	"18"	"643"	"0"
"29"	"17"	"95"	"113"	"5"	"37"	"0"	"10"	"0"	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"1"	"4"	"7"	"4"	"11"	"5"	"14"	"2"	"8"	"5"	"9"	"3"	"5"	"5"	"347"	"0"	"4"	"351"	"0"
"30"	"18"	"164"	"307"	"10"	"126"	"7"	"39"	"3"	"3"	"2"	"2"	"0"	"4"	"8"	"11"	"6"	"19"	"4"	"2"	"0"	"3"	"0"	"4"	"1"	"1"	"3"	"1"	"4"	"2"	"4"	"740"	"0"	"15"	"755"	"0"
"31"	"19"	"186"	"29"	"2"	"85"	"7"	"13"	"3"	"3"	"1"	"2"	"2"	"4"	"9"	"1"	"1"	"16"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"371"	"0"	"3"	"374"	"0"
"32"	"20"	"247"	"159"	"13"	"31"	"1"	"11"	"2"	"3"	"0"	"0"	"1"	"2"	"3"	"0"	"1"	"3"	"3"	"1"	"6"	"1"	"1"	"5"	"0"	"0"	"0"	"2"	"1"	"2"	"1"	"500"	"0"	"1"	"501"	"0"
"33"	"20A"	"234"	"127"	"5"	"65"	"11"	"24"	"6"	"3"	"2"	"2"	"3"	"0"	"3"	"2"	"2"	"7"	"12"	"1"	"3"	"6"	"0"	"5"	"2"	"1"	"1"	"2"	"3"	"1"	"1"	"534"	"0"	"2"	"536"	"0"
"34"	"21"	"228"	"176"	"6"	"56"	"7"	"8"	"0"	"3"	"2"	"1"	"1"	"0"	"1"	"1"	"0"	"3"	"7"	"5"	"1"	"4"	"3"	"4"	"3"	"3"	"0"	"1"	"0"	"1"	"1"	"526"	"0"	"8"	"534"	"0"
"35"	"22"	"76"	"270"	"7"	"96"	"31"	"34"	"1"	"2"	"0"	"1"	"2"	"1"	"3"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"5"	"1"	"1"	"1"	"2"	"1"	"0"	"0"	"537"	"0"	"1"	"538"	"0"
"36"	"23"	"43"	"380"	"11"	"33"	"2"	"3"	"0"	"2"	"2"	"0"	"3"	"2"	"4"	"6"	"22"	"26"	"6"	"8"	"2"	"2"	"4"	"11"	"1"	"2"	"2"	"4"	"1"	"1"	"4"	"587"	"0"	"10"	"597"	"0"
"37"	"24"	"103"	"480"	"11"	"25"	"10"	"15"	"1"	"3"	"3"	"0"	"1"	"1"	"0"	"1"	"4"	"4"	"1"	"0"	"0"	"0"	"0"	"4"	"2"	"1"	"0"	"0"	"0"	"0"	"1"	"671"	"0"	"1"	"672"	"0"
"38"	"25"	"81"	"226"	"4"	"37"	"4"	"21"	"7"	"4"	"1"	"2"	"2"	"4"	"4"	"7"	"14"	"16"	"1"	"9"	"0"	"0"	"0"	"3"	"0"	"1"	"0"	"1"	"3"	"3"	"3"	"458"	"0"	"8"	"466"	"0"
"39"	"26"	"119"	"377"	"5"	"15"	"23"	"2"	"1"	"1"	"1"	"1"	"0"	"3"	"2"	"1"	"3"	"10"	"2"	"4"	"2"	"0"	"1"	"6"	"1"	"2"	"2"	"1"	"1"	"1"	"7"	"594"	"0"	"7"	"601"	"0"
"40"	"27"	"260"	"263"	"2"	"17"	"11"	"3"	"3"	"0"	"2"	"0"	"0"	"2"	"1"	"2"	"5"	"5"	"4"	"3"	"1"	"2"	"1"	"5"	"0"	"1"	"5"	"0"	"4"	"2"	"5"	"609"	"0"	"3"	"612"	"0"
"41"	"28"	"207"	"169"	"0"	"63"	"11"	"4"	"0"	"2"	"3"	"0"	"0"	"2"	"2"	"2"	"6"	"13"	"13"	"5"	"3"	"2"	"2"	"3"	"0"	"1"	"2"	"4"	"2"	"2"	"6"	"529"	"0"	"9"	"538"	"0"
"42"	"29"	"167"	"330"	"7"	"44"	"9"	"16"	"4"	"2"	"3"	"5"	"3"	"6"	"10"	"7"	"9"	"20"	"3"	"7"	"5"	"5"	"4"	"34"	"6"	"7"	"3"	"3"	"4"	"13"	"6"	"742"	"0"	"10"	"752"	"0"
"43"	"30"	"93"	"252"	"6"	"47"	"1"	"12"	"2"	"1"	"0"	"2"	"1"	"2"	"3"	"5"	"4"	"11"	"6"	"6"	"1"	"5"	"2"	"13"	"1"	"1"	"2"	"1"	"4"	"5"	"4"	"493"	"0"	"10"	"503"	"0"
"44"	"31"	"85"	"390"	"11"	"66"	"2"	"5"	"1"	"3"	"2"	"2"	"2"	"1"	"1"	"1"	"4"	"10"	"4"	"0"	"0"	"1"	"1"	"5"	"3"	"3"	"0"	"2"	"2"	"2"	"0"	"609"	"0"	"4"	"613"	"0"
"45"	"32"	"159"	"331"	"15"	"37"	"9"	"17"	"3"	"4"	"2"	"4"	"7"	"2"	"9"	"10"	"10"	"23"	"6"	"9"	"1"	"3"	"1"	"8"	"3"	"1"	"4"	"1"	"1"	"7"	"3"	"690"	"0"	"8"	"698"	"0"
"46"	"33"	"48"	"295"	"2"	"7"	"1"	"0"	"1"	"1"	"2"	"0"	"1"	"0"	"2"	"4"	"5"	"5"	"1"	"2"	"2"	"1"	"0"	"3"	"0"	"0"	"0"	"2"	"0"	"1"	"2"	"388"	"0"	"5"	"393"	"0"
"47"	"34"	"342"	"457"	"9"	"20"	"12"	"2"	"6"	"1"	"0"	"0"	"0"	"2"	"1"	"0"	"0"	"1"	"6"	"2"	"1"	"1"	"1"	"7"	"2"	"2"	"1"	"2"	"0"	"0"	"2"	"880"	"0"	"1"	"881"	"0"
"48"	"35"	"71"	"515"	"12"	"50"	"2"	"8"	"6"	"2"	"6"	"1"	"6"	"3"	"3"	"4"	"13"	"9"	"5"	"5"	"1"	"3"	"0"	"7"	"2"	"4"	"0"	"4"	"4"	"4"	"6"	"756"	"0"	"8"	"764"	"0"
"49"	"36"	"24"	"907"	"11"	"7"	"4"	"3"	"1"	"1"	"1"	"1"	"1"	"4"	"1"	"6"	"17"	"12"	"3"	"13"	"8"	"0"	"0"	"10"	"3"	"2"	"0"	"2"	"1"	"4"	"5"	"105
2"	"0"	"4"	"105
6"	"0"
"50"	"37"	"28"	"501"	"8"	"23"	"10"	"4"	"3"	"0"	"0"	"0"	"0"	"2"	"2"	"1"	"5"	"2"	"2"	"10"	"3"	"1"	"1"	"2"	"0"	"0"	"1"	"0"	"0"	"2"	"2"	"613"	"0"	"3"	"616"	"0"
"51"	"38"	"34"	"191"	"3"	"4"	"0"	"0"	"2"	"1"	"0"	"0"	"0"	"2"	"1"	"5"	"2"	"5"	"1"	"1"	"0"	"0"	"1"	"4"	"1"	"0"	"0"	"0"	"0"	"2"	"4"	"264"	"0"	"2"	"266"	"0"
"52"	"39"	"30"	"741"	"10"	"40"	"8"	"18"	"1"	"3"	"2"	"2"	"0"	"4"	"5"	"4"	"7"	"18"	"1"	"11"	"2"	"3"	"0"	"4"	"1"	"4"	"2"	"2"	"2"	"2"	"7"	"934"	"0"	"14"	"948"	"0"
"53"	"40"	"7"	"191"	"3"	"35"	"4"	"7"	"0"	"2"	"2"	"1"	"0"	"1"	"1"	"2"	"8"	"2"	"2"	"2"	"1"	"0"	"0"	"4"	"2"	"0"	"0"	"0"	"1"	"2"	"1"	"281"	"0"	"0"	"281"	"0"
"54"	"41"	"103"	"281"	"3"	"79"	"3"	"34"	"4"	"2"	"3"	"5"	"2"	"4"	"12"	"3"	"9"	"12"	"1"	"0"	"2"	"1"	"1"	"7"	"0"	"1"	"2"	"0"	"2"	"1"	"3"	"580"	"0"	"3"	"583"	"0"
"55"	"42"	"22"	"345"	"1"	"6"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"380"	"0"	"1"	"381"	"0"
"56"	"43"	"281"	"198"	"7"	"28"	"1"	"10"	"1"	"1"	"0"	"1"	"1"	"4"	"3"	"3"	"6"	"23"	"6"	"5"	"2"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"2"	"3"	"3"	"591"	"0"	"6"	"597"	"0"
"57"	"44"	"45"	"300"	"1"	"59"	"4"	"24"	"3"	"1"	"2"	"0"	"0"	"0"	"6"	"0"	"0"	"8"	"2"	"3"	"0"	"3"	"0"	"2"	"0"	"1"	"1"	"4"	"3"	"2"	"2"	"476"	"0"	"9"	"485"	"0"
"58"	"45"	"708"	"111"	"2"	"3"	"1"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"3"	"0"	"1"	"0"	"0"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"837"	"0"	"2"	"839"	"0"
"59"	"46"	"144"	"254"	"4"	"14"	"1"	"7"	"1"	"1"	"2"	"1"	"2"	"0"	"1"	"0"	"5"	"5"	"0"	"2"	"0"	"0"	"0"	"3"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"450"	"0"	"1"	"451"	"0"
"60"	"46A"	"138"	"267"	"3"	"24"	"0"	"13"	"1"	"0"	"2"	"1"	"0"	"2"	"2"	"0"	"5"	"13"	"2"	"6"	"3"	"0"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"489"	"0"	"1"	"490"	"0"
"61"	"47"	"36"	"184"	"9"	"62"	"0"	"33"	"11"	"1"	"0"	"3"	"1"	"1"	"9"	"6"	"6"	"11"	"2"	"0"	"1"	"2"	"1"	"5"	"0"	"0"	"0"	"1"	"2"	"2"	"5"	"394"	"0"	"5"	"399"	"0"
"62"	"48"	"28"	"463"	"3"	"100"	"24"	"28"	"1"	"1"	"4"	"2"	"1"	"4"	"8"	"3"	"8"	"3"	"0"	"6"	"4"	"1"	"0"	"6"	"3"	"1"	"1"	"4"	"2"	"4"	"3"	"716"	"0"	"2"	"718"	"0"
"63"	"49"	"91"	"212"	"2"	"86"	"0"	"20"	"0"	"1"	"0"	"1"	"0"	"1"	"6"	"0"	"1"	"5"	"7"	"2"	"2"	"2"	"1"	"3"	"0"	"0"	"1"	"5"	"1"	"2"	"3"	"455"	"0"	"5"	"460"	"0"
"64"	"50"	"14"	"455"	"1"	"27"	"0"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"2"	"1"	"1"	"1"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"512"	"0"	"0"	"512"	"0"
"65"	"51"	"157"	"171"	"4"	"51"	"5"	"12"	"3"	"0"	"2"	"1"	"1"	"2"	"3"	"1"	"2"	"8"	"5"	"6"	"1"	"0"	"0"	"2"	"0"	"0"	"1"	"4"	"0"	"3"	"1"	"446"	"0"	"4"	"450"	"0"
"66"	"52"	"54"	"422"	"7"	"21"	"0"	"7"	"1"	"1"	"2"	"2"	"0"	"3"	"0"	"2"	"10"	"7"	"1"	"2"	"0"	"0"	"0"	"4"	"1"	"0"	"1"	"1"	"1"	"2"	"3"	"555"	"0"	"0"	"555"	"0"
"67"	"53"	"148"	"319"	"5"	"89"	"9"	"11"	"6"	"3"	"2"	"4"	"1"	"2"	"5"	"0"	"3"	"7"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"616"	"0"	"2"	"618"	"0"
"68"	"54"	"41"	"554"	"10"	"49"	"4"	"6"	"4"	"2"	"2"	"1"	"2"	"1"	"4"	"1"	"2"	"2"	"6"	"5"	"2"	"3"	"0"	"11"	"0"	"2"	"0"	"0"	"0"	"7"	"3"	"724"	"0"	"1"	"725"	"0"
"69"	"55"	"657"	"170"	"5"	"27"	"1"	"3"	"0"	"1"	"1"	"0"	"0"	"2"	"0"	"2"	"2"	"4"	"2"	"2"	"0"	"3"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"888"	"0"	"0"	"888"	"0"
"70"	"56"	"80"	"354"	"2"	"213"	"4"	"47"	"0"	"4"	"1"	"1"	"0"	"2"	"4"	"2"	"4"	"3"	"5"	"4"	"2"	"13"	"0"	"3"	"1"	"2"	"3"	"11"	"8"	"6"	"2"	"781"	"0"	"8"	"789"	"0"
"71"	"57"	"195"	"103"	"7"	"43"	"2"	"14"	"1"	"1"	"3"	"1"	"1"	"1"	"4"	"0"	"1"	"3"	"14"	"6"	"3"	"5"	"3"	"7"	"2"	"0"	"5"	"5"	"3"	"0"	"0"	"433"	"0"	"2"	"435"	"0"
"72"	"58"	"235"	"358"	"16"	"86"	"10"	"44"	"3"	"5"	"4"	"4"	"1"	"2"	"3"	"1"	"17"	"29"	"8"	"8"	"2"	"2"	"0"	"6"	"1"	"2"	"1"	"1"	"1"	"2"	"3"	"855"	"0"	"4"	"859"	"0"
"73"	"59"	"246"	"84"	"3"	"31"	"2"	"9"	"2"	"0"	"0"	"0"	"1"	"1"	"2"	"1"	"5"	"12"	"3"	"2"	"0"	"1"	"2"	"4"	"0"	"1"	"1"	"0"	"0"	"1"	"3"	"417"	"0"	"5"	"422"	"0"
"74"	"60"	"334"	"250"	"12"	"40"	"3"	"23"	"2"	"5"	"3"	"1"	"0"	"4"	"6"	"1"	"6"	"10"	"6"	"3"	"16"	"2"	"0"	"13"	"2"	"1"	"4"	"1"	"0"	"2"	"0"	"750"	"0"	"3"	"753"	"0"
"75"	"61"	"20"	"524"	"6"	"109"	"3"	"38"	"3"	"1"	"3"	"0"	"0"	"1"	"15"	"4"	"12"	"3"	"1"	"6"	"0"	"3"	"2"	"8"	"0"	"2"	"2"	"3"	"3"	"1"	"1"	"774"	"0"	"7"	"781"	"0"
"76"	"62"	"288"	"418"	"17"	"47"	"4"	"26"	"1"	"3"	"4"	"4"	"2"	"4"	"9"	"5"	"11"	"23"	"8"	"6"	"5"	"5"	"5"	"15"	"4"	"4"	"6"	"5"	"6"	"9"	"4"	"948"	"0"	"7"	"955"	"0"
"77"	"63"	"239"	"236"	"2"	"31"	"4"	"12"	"1"	"1"	"0"	"1"	"1"	"1"	"3"	"4"	"2"	"12"	"2"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"1"	"2"	"559"	"0"	"3"	"562"	"0"
"78"	"64"	"256"	"281"	"7"	"61"	"25"	"21"	"7"	"1"	"1"	"3"	"2"	"1"	"4"	"7"	"11"	"21"	"8"	"1"	"2"	"1"	"0"	"3"	"0"	"0"	"1"	"1"	"0"	"4"	"1"	"731"	"0"	"6"	"737"	"0"
"79"	"65"	"281"	"485"	"8"	"59"	"3"	"22"	"5"	"2"	"3"	"3"	"3"	"1"	"2"	"3"	"8"	"5"	"2"	"0"	"1"	"2"	"2"	"8"	"2"	"1"	"0"	"0"	"1"	"1"	"1"	"914"	"0"	"4"	"918"	"0"
"80"	"66"	"128"	"373"	"4"	"83"	"2"	"31"	"1"	"1"	"2"	"0"	"1"	"1"	"1"	"2"	"4"	"6"	"1"	"4"	"1"	"3"	"1"	"3"	"1"	"0"	"2"	"0"	"1"	"2"	"2"	"661"	"0"	"4"	"665"	"0"
"81"	"67"	"79"	"598"	"3"	"20"	"4"	"13"	"3"	"2"	"1"	"1"	"1"	"0"	"5"	"3"	"7"	"11"	"1"	"0"	"2"	"0"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"2"	"2"	"764"	"0"	"7"	"771"	"0"
"82"	"68"	"29"	"336"	"11"	"27"	"7"	"11"	"4"	"3"	"3"	"3"	"1"	"6"	"4"	"11"	"22"	"31"	"7"	"16"	"3"	"4"	"1"	"5"	"3"	"1"	"4"	"4"	"4"	"6"	"8"	"575"	"0"	"26"	"601"	"0"
"83"	"69"	"168"	"360"	"8"	"20"	"0"	"9"	"2"	"2"	"1"	"0"	"5"	"1"	"1"	"3"	"1"	"13"	"1"	"0"	"2"	"0"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"604"	"0"	"3"	"607"	"0"
"84"	"70"	"247"	"251"	"7"	"40"	"4"	"7"	"7"	"4"	"1"	"2"	"2"	"1"	"8"	"3"	"2"	"10"	"5"	"1"	"2"	"2"	"1"	"5"	"1"	"2"	"1"	"2"	"2"	"2"	"5"	"627"	"0"	"6"	"633"	"0"
"85"	"71"	"75"	"291"	"6"	"30"	"0"	"8"	"0"	"1"	"1"	"3"	"0"	"0"	"1"	"0"	"2"	"2"	"8"	"7"	"1"	"4"	"4"	"4"	"0"	"0"	"1"	"1"	"3"	"0"	"2"	"455"	"0"	"5"	"460"	"0"
"86"	"72"	"43"	"389"	"6"	"90"	"11"	"53"	"3"	"1"	"2"	"1"	"2"	"1"	"2"	"3"	"3"	"9"	"1"	"1"	"0"	"5"	"1"	"5"	"5"	"3"	"2"	"1"	"1"	"2"	"3"	"649"	"0"	"3"	"652"	"0"
"87"	"73"	"25"	"472"	"2"	"77"	"24"	"24"	"6"	"3"	"0"	"2"	"1"	"2"	"6"	"4"	"5"	"18"	"2"	"4"	"1"	"2"	"2"	"0"	"1"	"2"	"2"	"2"	"1"	"2"	"1"	"693"	"0"	"5"	"698"	"0"
"88"	"74"	"121"	"475"	"13"	"33"	"6"	"24"	"4"	"4"	"5"	"5"	"3"	"8"	"7"	"4"	"7"	"15"	"2"	"15"	"1"	"3"	"0"	"6"	"3"	"3"	"1"	"9"	"3"	"2"	"2"	"784"	"0"	"4"	"788"	"0"
"89"	"75"	"113"	"370"	"13"	"73"	"5"	"49"	"2"	"3"	"2"	"9"	"8"	"7"	"7"	"6"	"13"	"23"	"2"	"8"	"6"	"2"	"1"	"10"	"2"	"3"	"3"	"2"	"1"	"3"	"1"	"747"	"0"	"14"	"761"	"0"
"90"	"76"	"212"	"261"	"3"	"27"	"9"	"17"	"6"	"1"	"1"	"2"	"3"	"3"	"4"	"2"	"3"	"13"	"15"	"8"	"5"	"2"	"4"	"3"	"4"	"3"	"2"	"6"	"1"	"3"	"13"	"636"	"0"	"11"	"647"	"0"
"91"	"77"	"438"	"107"	"6"	"10"	"3"	"4"	"5"	"1"	"2"	"0"	"3"	"3"	"2"	"2"	"6"	"32"	"21"	"10"	"2"	"1"	"0"	"2"	"1"	"2"	"1"	"4"	"3"	"0"	"2"	"673"	"0"	"30"	"703"	"0"
"92"	"78"	"338"	"221"	"3"	"34"	"0"	"6"	"0"	"3"	"2"	"0"	"4"	"5"	"5"	"4"	"9"	"17"	"4"	"3"	"1"	"2"	"0"	"2"	"0"	"2"	"0"	"1"	"3"	"0"	"1"	"670"	"0"	"6"	"676"	"0"
"93"	"79"	"186"	"275"	"1"	"89"	"9"	"16"	"1"	"1"	"0"	"1"	"0"	"4"	"7"	"1"	"7"	"6"	"33"	"40"	"14"	"13"	"6"	"38"	"7"	"20"	"6"	"20"	"15"	"12"	"13"	"841"	"0"	"21"	"862"	"0"
"94"	"80"	"24"	"370"	"3"	"121"	"16"	"20"	"0"	"0"	"1"	"1"	"0"	"2"	"4"	"0"	"2"	"4"	"3"	"26"	"2"	"14"	"2"	"12"	"2"	"4"	"3"	"12"	"2"	"0"	"4"	"654"	"0"	"6"	"660"	"0"
"95"	"81"	"614"	"87"	"2"	"11"	"2"	"3"	"1"	"1"	"3"	"0"	"0"	"0"	"1"	"2"	"4"	"11"	"0"	"1"	"3"	"1"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"751"	"0"	"9"	"760"	"0"
