"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"
"19"	"6A"	"25"	"1"	"85"	"398"	"0"	"2"	"1"	"1"	"3"	"3"	"3"	"2"	"3"	"2"	"4"	"11"	"0"	"1"	"545"	"0"	"1"	"546"	"0"
"20"	"7"	"28"	"26"	"353"	"104"	"3"	"3"	"1"	"0"	"0"	"0"	"4"	"1"	"7"	"16"	"2"	"14"	"2"	"1"	"565"	"0"	"0"	"565"	"0"
"21"	"8"	"12"	"4"	"328"	"140"	"1"	"2"	"0"	"2"	"0"	"2"	"1"	"1"	"13"	"7"	"3"	"13"	"3"	"6"	"538"	"0"	"11"	"549"	"0"
"22"	"9"	"148"	"4"	"136"	"587"	"16"	"1"	"3"	"0"	"4"	"16"	"1"	"3"	"4"	"4"	"4"	"15"	"14"	"6"	"966"	"0"	"14"	"980"	"0"
"23"	"10"	"19"	"29"	"460"	"46"	"2"	"2"	"0"	"0"	"0"	"2"	"0"	"1"	"7"	"6"	"2"	"4"	"1"	"2"	"583"	"0"	"11"	"594"	"0"
"24"	"10A"	"9"	"5"	"413"	"37"	"2"	"2"	"1"	"0"	"2"	"1"	"1"	"0"	"16"	"19"	"6"	"14"	"4"	"10"	"542"	"0"	"12"	"554"	"0"
"25"	"11"	"301"	"4"	"227"	"105"	"1"	"1"	"2"	"1"	"11"	"1"	"3"	"5"	"10"	"4"	"5"	"16"	"9"	"2"	"708"	"0"	"4"	"712"	"0"
"26"	"12"	"196"	"8"	"223"	"269"	"11"	"4"	"2"	"3"	"11"	"5"	"5"	"8"	"20"	"14"	"7"	"32"	"6"	"2"	"826"	"0"	"2"	"828"	"0"
"27"	"13"	"104"	"121"	"171"	"157"	"4"	"4"	"3"	"4"	"3"	"6"	"2"	"7"	"13"	"6"	"10"	"29"	"5"	"1"	"650"	"0"	"10"	"660"	"0"
"28"	"14"	"95"	"3"	"98"	"344"	"6"	"2"	"0"	"0"	"1"	"1"	"1"	"1"	"5"	"1"	"1"	"5"	"17"	"1"	"582"	"0"	"18"	"600"	"0"
"29"	"15"	"193"	"13"	"32"	"235"	"2"	"2"	"1"	"0"	"6"	"1"	"0"	"2"	"1"	"1"	"1"	"14"	"14"	"2"	"520"	"0"	"5"	"525"	"0"
"30"	"16"	"390"	"51"	"158"	"169"	"2"	"0"	"1"	"0"	"6"	"2"	"1"	"2"	"3"	"4"	"6"	"19"	"6"	"1"	"821"	"0"	"4"	"825"	"0"
"31"	"17"	"89"	"4"	"459"	"103"	"4"	"4"	"0"	"1"	"2"	"5"	"3"	"4"	"12"	"12"	"2"	"18"	"5"	"3"	"730"	"0"	"5"	"735"	"0"
"32"	"17A"	"34"	"1"	"327"	"80"	"2"	"1"	"0"	"0"	"0"	"3"	"1"	"0"	"3"	"2"	"1"	"0"	"4"	"0"	"459"	"0"	"4"	"463"	"0"
"33"	"18"	"271"	"12"	"301"	"241"	"6"	"2"	"2"	"2"	"6"	"6"	"1"	"2"	"9"	"17"	"6"	"35"	"15"	"6"	"940"	"0"	"20"	"960"	"0"
"34"	"19"	"475"	"10"	"107"	"12"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"1"	"1"	"0"	"1"	"11"	"2"	"0"	"623"	"0"	"2"	"625"	"0"
"35"	"19A"	"360"	"4"	"67"	"3"	"1"	"0"	"2"	"1"	"2"	"1"	"0"	"1"	"0"	"4"	"0"	"15"	"0"	"1"	"462"	"0"	"1"	"463"	"0"
"36"	"20"	"166"	"4"	"164"	"120"	"4"	"1"	"2"	"3"	"5"	"1"	"4"	"7"	"12"	"7"	"3"	"16"	"5"	"1"	"525"	"0"	"5"	"530"	"0"
"37"	"21"	"319"	"5"	"288"	"109"	"5"	"6"	"0"	"1"	"7"	"4"	"2"	"4"	"9"	"11"	"3"	"26"	"10"	"1"	"810"	"0"	"10"	"820"	"0"
"38"	"22"	"99"	"16"	"547"	"123"	"8"	"0"	"4"	"1"	"3"	"1"	"2"	"3"	"10"	"7"	"1"	"9"	"5"	"4"	"843"	"0"	"9"	"852"	"0"
"39"	"23"	"21"	"10"	"113"	"219"	"12"	"6"	"3"	"0"	"5"	"3"	"2"	"2"	"7"	"4"	"6"	"6"	"4"	"0"	"423"	"0"	"4"	"427"	"0"
"40"	"24"	"263"	"3"	"113"	"82"	"3"	"3"	"1"	"0"	"1"	"0"	"4"	"6"	"6"	"2"	"1"	"13"	"11"	"2"	"514"	"0"	"5"	"519"	"0"
"41"	"25"	"52"	"9"	"140"	"347"	"24"	"3"	"2"	"1"	"3"	"6"	"5"	"2"	"6"	"3"	"6"	"7"	"2"	"2"	"620"	"0"	"2"	"622"	"0"
"42"	"26"	"43"	"4"	"88"	"193"	"14"	"6"	"2"	"2"	"3"	"3"	"3"	"4"	"5"	"4"	"9"	"11"	"17"	"10"	"421"	"0"	"55"	"476"	"0"
"43"	"27"	"32"	"15"	"311"	"107"	"7"	"1"	"0"	"0"	"1"	"2"	"2"	"3"	"15"	"17"	"2"	"16"	"2"	"2"	"535"	"0"	"2"	"537"	"0"
"44"	"28"	"71"	"37"	"355"	"139"	"7"	"0"	"1"	"3"	"1"	"1"	"4"	"6"	"10"	"9"	"3"	"17"	"12"	"7"	"683"	"0"	"21"	"704"	"0"
"45"	"29"	"65"	"23"	"312"	"46"	"2"	"3"	"1"	"1"	"3"	"3"	"0"	"4"	"10"	"3"	"2"	"3"	"0"	"0"	"481"	"0"	"5"	"486"	"0"
"46"	"30"	"87"	"16"	"218"	"140"	"6"	"3"	"2"	"1"	"2"	"3"	"2"	"5"	"10"	"5"	"2"	"17"	"4"	"0"	"523"	"0"	"5"	"528"	"0"
"47"	"31"	"31"	"8"	"173"	"218"	"13"	"7"	"2"	"0"	"3"	"1"	"1"	"3"	"6"	"3"	"2"	"5"	"2"	"4"	"482"	"0"	"1"	"483"	"0"
"48"	"32"	"531"	"13"	"107"	"50"	"5"	"0"	"1"	"1"	"3"	"2"	"0"	"3"	"5"	"2"	"2"	"13"	"22"	"1"	"761"	"0"	"6"	"767"	"0"
"49"	"33"	"337"	"9"	"109"	"78"	"3"	"0"	"3"	"0"	"3"	"0"	"4"	"2"	"8"	"5"	"3"	"31"	"27"	"1"	"623"	"0"	"7"	"630"	"0"
"50"	"34"	"191"	"6"	"220"	"38"	"1"	"0"	"0"	"0"	"5"	"0"	"3"	"0"	"5"	"0"	"1"	"7"	"3"	"1"	"481"	"0"	"4"	"485"	"0"
"51"	"35"	"165"	"5"	"233"	"22"	"4"	"2"	"1"	"2"	"3"	"0"	"2"	"2"	"9"	"2"	"1"	"3"	"6"	"2"	"464"	"0"	"6"	"470"	"0"
"52"	"36"	"44"	"76"	"435"	"153"	"10"	"6"	"2"	"2"	"4"	"0"	"5"	"12"	"32"	"19"	"9"	"27"	"6"	"11"	"853"	"0"	"17"	"870"	"0"
"53"	"37"	"66"	"5"	"211"	"204"	"13"	"3"	"0"	"2"	"4"	"3"	"0"	"1"	"5"	"5"	"1"	"7"	"6"	"3"	"539"	"0"	"3"	"542"	"0"
"54"	"38"	"88"	"81"	"244"	"187"	"6"	"3"	"3"	"2"	"5"	"4"	"4"	"1"	"9"	"10"	"6"	"32"	"7"	"3"	"695"	"0"	"7"	"702"	"0"
"55"	"39"	"101"	"26"	"300"	"142"	"3"	"5"	"1"	"0"	"4"	"3"	"1"	"5"	"6"	"4"	"3"	"9"	"1"	"2"	"616"	"0"	"2"	"618"	"0"
"56"	"40"	"52"	"107"	"276"	"272"	"10"	"4"	"6"	"2"	"3"	"3"	"6"	"4"	"11"	"10"	"3"	"12"	"1"	"4"	"786"	"0"	"4"	"790"	"0"
"57"	"41"	"62"	"38"	"205"	"327"	"8"	"3"	"2"	"0"	"7"	"3"	"2"	"2"	"2"	"5"	"2"	"8"	"2"	"6"	"684"	"0"	"2"	"686"	"0"
"58"	"42"	"24"	"6"	"135"	"539"	"5"	"1"	"0"	"1"	"3"	"1"	"2"	"1"	"3"	"1"	"5"	"5"	"0"	"2"	"734"	"0"	"2"	"736"	"0"
"59"	"43"	"26"	"12"	"198"	"610"	"23"	"5"	"1"	"6"	"3"	"3"	"1"	"5"	"16"	"0"	"3"	"7"	"3"	"7"	"929"	"0"	"29"	"958"	"0"
"60"	"44"	"22"	"26"	"337"	"272"	"12"	"3"	"1"	"2"	"7"	"3"	"0"	"1"	"5"	"5"	"3"	"2"	"1"	"0"	"702"	"0"	"5"	"707"	"0"
"61"	"45"	"15"	"81"	"407"	"232"	"12"	"5"	"2"	"3"	"7"	"5"	"9"	"5"	"26"	"23"	"10"	"22"	"17"	"10"	"891"	"0"	"35"	"926"	"0"
"62"	"46"	"42"	"15"	"100"	"289"	"2"	"1"	"2"	"6"	"9"	"4"	"6"	"12"	"8"	"8"	"11"	"32"	"2"	"0"	"549"	"0"	"6"	"555"	"0"
"63"	"47"	"34"	"8"	"79"	"537"	"11"	"5"	"4"	"1"	"6"	"5"	"8"	"8"	"11"	"8"	"12"	"20"	"2"	"0"	"759"	"0"	"2"	"761"	"0"
"64"	"48"	"142"	"1"	"108"	"110"	"3"	"0"	"1"	"0"	"4"	"0"	"2"	"6"	"13"	"3"	"2"	"19"	"7"	"2"	"423"	"0"	"6"	"429"	"0"
"65"	"49"	"56"	"5"	"546"	"125"	"5"	"1"	"1"	"1"	"0"	"0"	"5"	"1"	"9"	"8"	"2"	"2"	"9"	"4"	"780"	"0"	"11"	"791"	"0"
"66"	"50"	"101"	"3"	"154"	"316"	"11"	"2"	"3"	"3"	"4"	"2"	"6"	"6"	"5"	"11"	"6"	"17"	"1"	"0"	"651"	"0"	"3"	"654"	"0"
"67"	"51"	"13"	"2"	"490"	"91"	"3"	"1"	"2"	"1"	"1"	"0"	"6"	"2"	"17"	"19"	"3"	"14"	"8"	"10"	"683"	"0"	"32"	"715"	"0"
"68"	"52"	"307"	"10"	"235"	"115"	"3"	"5"	"2"	"1"	"10"	"1"	"2"	"13"	"8"	"9"	"6"	"34"	"15"	"4"	"780"	"0"	"11"	"791"	"0"
"69"	"53"	"39"	"11"	"448"	"113"	"3"	"2"	"0"	"3"	"2"	"2"	"1"	"0"	"13"	"7"	"4"	"8"	"5"	"5"	"666"	"0"	"5"	"671"	"0"
"70"	"54"	"122"	"5"	"176"	"177"	"6"	"0"	"0"	"5"	"2"	"3"	"1"	"2"	"4"	"6"	"4"	"11"	"5"	"1"	"530"	"0"	"4"	"534"	"0"
"71"	"55"	"16"	"3"	"124"	"320"	"10"	"0"	"0"	"1"	"2"	"0"	"0"	"2"	"2"	"4"	"4"	"8"	"3"	"1"	"500"	"0"	"6"	"506"	"0"
"72"	"56"	"35"	"6"	"340"	"98"	"1"	"0"	"1"	"1"	"3"	"1"	"2"	"5"	"6"	"1"	"2"	"5"	"1"	"2"	"510"	"0"	"8"	"518"	"0"
"73"	"57"	"16"	"1"	"434"	"87"	"3"	"0"	"0"	"1"	"0"	"2"	"1"	"3"	"12"	"26"	"1"	"3"	"2"	"8"	"600"	"0"	"34"	"634"	"0"
"74"	"58"	"100"	"61"	"248"	"234"	"5"	"1"	"1"	"1"	"4"	"0"	"5"	"4"	"7"	"8"	"0"	"12"	"5"	"8"	"704"	"0"	"12"	"716"	"0"
"75"	"59"	"15"	"1"	"53"	"285"	"4"	"1"	"3"	"2"	"0"	"0"	"3"	"3"	"6"	"2"	"2"	"12"	"3"	"1"	"396"	"0"	"1"	"397"	"0"
"76"	"60"	"132"	"5"	"125"	"229"	"10"	"2"	"1"	"1"	"5"	"4"	"2"	"6"	"6"	"6"	"3"	"15"	"17"	"2"	"571"	"0"	"13"	"584"	"0"
"77"	"61"	"168"	"8"	"194"	"119"	"1"	"1"	"1"	"0"	"3"	"3"	"1"	"3"	"5"	"4"	"1"	"11"	"5"	"2"	"530"	"0"	"8"	"538"	"0"
"78"	"62"	"10"	"34"	"454"	"179"	"8"	"2"	"0"	"0"	"1"	"1"	"5"	"4"	"12"	"2"	"4"	"6"	"4"	"3"	"729"	"0"	"13"	"742"	"0"
"79"	"63"	"48"	"10"	"156"	"309"	"6"	"1"	"1"	"0"	"3"	"2"	"6"	"6"	"9"	"2"	"1"	"9"	"2"	"0"	"571"	"0"	"8"	"579"	"0"
"80"	"64"	"465"	"11"	"177"	"113"	"1"	"4"	"1"	"0"	"2"	"4"	"5"	"7"	"10"	"4"	"9"	"54"	"17"	"3"	"887"	"0"	"6"	"893"	"0"
"81"	"65"	"92"	"3"	"106"	"276"	"4"	"1"	"2"	"2"	"2"	"0"	"2"	"6"	"6"	"1"	"2"	"12"	"2"	"4"	"523"	"0"	"2"	"525"	"0"
"82"	"66"	"115"	"12"	"246"	"419"	"9"	"6"	"5"	"4"	"12"	"34"	"3"	"3"	"12"	"10"	"5"	"9"	"3"	"1"	"908"	"0"	"4"	"912"	"0"
"83"	"67"	"363"	"10"	"108"	"136"	"2"	"0"	"1"	"1"	"3"	"1"	"1"	"6"	"4"	"5"	"3"	"32"	"0"	"0"	"676"	"0"	"2"	"678"	"0"
"84"	"68"	"284"	"0"	"8"	"151"	"7"	"1"	"1"	"0"	"0"	"2"	"1"	"1"	"2"	"1"	"5"	"23"	"2"	"0"	"489"	"0"	"1"	"490"	"0"
"85"	"69"	"131"	"2"	"156"	"300"	"11"	"9"	"3"	"1"	"4"	"1"	"5"	"6"	"12"	"8"	"5"	"15"	"11"	"4"	"684"	"0"	"8"	"692"	"0"
"86"	"70"	"251"	"4"	"39"	"336"	"10"	"4"	"1"	"4"	"3"	"3"	"1"	"2"	"4"	"0"	"4"	"10"	"2"	"0"	"678"	"0"	"3"	"681"	"0"
"87"	"71"	"370"	"8"	"68"	"80"	"5"	"1"	"0"	"3"	"12"	"3"	"3"	"9"	"5"	"1"	"6"	"28"	"14"	"2"	"618"	"0"	"15"	"633"	"0"
"88"	"72"	"83"	"3"	"79"	"116"	"2"	"2"	"1"	"0"	"3"	"1"	"1"	"2"	"12"	"2"	"4"	"19"	"5"	"1"	"336"	"0"	"2"	"338"	"0"
"89"	"73"	"210"	"5"	"87"	"156"	"3"	"1"	"0"	"0"	"4"	"1"	"2"	"4"	"5"	"0"	"1"	"10"	"9"	"1"	"499"	"0"	"1"	"500"	"0"
"90"	"74"	"120"	"2"	"99"	"47"	"2"	"5"	"1"	"2"	"2"	"7"	"0"	"3"	"2"	"3"	"4"	"13"	"6"	"0"	"318"	"0"	"2"	"320"	"0"
"91"	"75"	"221"	"22"	"100"	"62"	"3"	"0"	"0"	"0"	"4"	"2"	"0"	"6"	"2"	"4"	"4"	"15"	"7"	"0"	"452"	"0"	"0"	"452"	"0"
"92"	"76"	"342"	"3"	"83"	"101"	"4"	"1"	"0"	"1"	"3"	"2"	"1"	"3"	"8"	"3"	"4"	"24"	"25"	"1"	"609"	"0"	"9"	"618"	"0"
"93"	"77"	"76"	"12"	"434"	"299"	"11"	"4"	"1"	"1"	"4"	"5"	"4"	"2"	"17"	"10"	"8"	"18"	"2"	"2"	"910"	"0"	"13"	"923"	"0"
"94"	"78"	"165"	"2"	"77"	"127"	"3"	"2"	"1"	"1"	"0"	"3"	"3"	"5"	"10"	"3"	"4"	"19"	"8"	"0"	"433"	"0"	"5"	"438"	"0"
"95"	"79"	"186"	"4"	"197"	"120"	"3"	"6"	"1"	"1"	"5"	"0"	"1"	"1"	"4"	"0"	"1"	"9"	"15"	"6"	"560"	"0"	"15"	"575"	"0"
"96"	"80"	"169"	"3"	"102"	"124"	"2"	"0"	"1"	"0"	"6"	"2"	"2"	"1"	"1"	"1"	"1"	"12"	"10"	"8"	"445"	"0"	"6"	"451"	"0"
"97"	"81"	"21"	"9"	"22"	"332"	"3"	"0"	"0"	"0"	"0"	"2"	"1"	"3"	"4"	"3"	"0"	"4"	"0"	"0"	"404"	"0"	"0"	"404"	"0"
"98"	"82"	"46"	"21"	"77"	"207"	"8"	"5"	"1"	"1"	"6"	"3"	"1"	"4"	"8"	"7"	"6"	"14"	"3"	"0"	"418"	"0"	"4"	"422"	"0"
"99"	"83"	"5"	"0"	"17"	"453"	"4"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"0"	"0"	"485"	"0"	"7"	"492"	"0"
"100"	"84"	"35"	"6"	"517"	"191"	"6"	"3"	"1"	"2"	"7"	"25"	"6"	"8"	"20"	"22"	"4"	"30"	"13"	"9"	"905"	"0"	"28"	"933"	"0"
"101"	"85"	"307"	"4"	"201"	"73"	"4"	"2"	"1"	"0"	"9"	"7"	"6"	"6"	"23"	"7"	"2"	"47"	"7"	"4"	"710"	"0"	"2"	"712"	"0"
"102"	"86"	"270"	"3"	"63"	"136"	"6"	"2"	"3"	"2"	"5"	"3"	"1"	"3"	"3"	"3"	"2"	"35"	"11"	"3"	"554"	"0"	"5"	"559"	"0"
"103"	"87"	"237"	"41"	"127"	"363"	"12"	"2"	"1"	"4"	"9"	"7"	"4"	"4"	"4"	"7"	"7"	"46"	"10"	"3"	"888"	"0"	"4"	"892"	"0"
"104"	"88"	"42"	"7"	"718"	"127"	"4"	"2"	"3"	"1"	"3"	"2"	"0"	"4"	"15"	"18"	"4"	"15"	"8"	"6"	"979"	"0"	"26"	"1005"	"0"
"105"	"89"	"129"	"4"	"303"	"319"	"12"	"3"	"0"	"1"	"8"	"3"	"2"	"7"	"24"	"13"	"9"	"26"	"14"	"5"	"882"	"0"	"8"	"890"	"0"
"106"	"90"	"20"	"10"	"405"	"97"	"4"	"3"	"2"	"2"	"0"	"2"	"4"	"2"	"12"	"3"	"3"	"3"	"6"	"7"	"585"	"0"	"5"	"590"	"0"
"107"	"91"	"154"	"9"	"368"	"270"	"2"	"2"	"0"	"0"	"5"	"3"	"9"	"1"	"11"	"8"	"8"	"18"	"4"	"0"	"872"	"0"	"9"	"881"	"0"
"108"	"92"	"322"	"4"	"21"	"162"	"2"	"0"	"0"	"1"	"1"	"2"	"0"	"1"	"1"	"0"	"0"	"11"	"6"	"1"	"535"	"0"	"2"	"537"	"0"
"109"	"93"	"189"	"3"	"132"	"151"	"0"	"2"	"0"	"0"	"2"	"2"	"0"	"3"	"2"	"1"	"1"	"6"	"9"	"1"	"504"	"0"	"2"	"506"	"0"
"110"	"94"	"56"	"5"	"299"	"157"	"3"	"2"	"0"	"1"	"6"	"3"	"4"	"7"	"8"	"8"	"5"	"20"	"3"	"2"	"589"	"0"	"4"	"593"	"0"
"111"	"95"	"50"	"7"	"251"	"324"	"3"	"2"	"0"	"0"	"2"	"2"	"1"	"0"	"11"	"3"	"4"	"13"	"3"	"0"	"676"	"0"	"6"	"682"	"0"
"112"	"96"	"59"	"15"	"262"	"314"	"9"	"2"	"4"	"1"	"3"	"3"	"4"	"1"	"8"	"4"	"4"	"10"	"3"	"1"	"707"	"0"	"6"	"713"	"0"
"113"	"97"	"27"	"1"	"399"	"253"	"8"	"0"	"3"	"3"	"6"	"1"	"2"	"4"	"14"	"12"	"6"	"10"	"2"	"2"	"753"	"0"	"5"	"758"	"0"
"114"	"98"	"25"	"11"	"733"	"71"	"1"	"1"	"1"	"2"	"0"	"2"	"1"	"3"	"9"	"5"	"0"	"12"	"3"	"1"	"881"	"0"	"15"	"896"	"0"
"115"	"99"	"236"	"2"	"25"	"66"	"2"	"1"	"0"	"1"	"2"	"0"	"1"	"1"	"0"	"0"	"0"	"7"	"4"	"0"	"348"	"0"	"0"	"348"	"0"
"116"	"100"	"39"	"5"	"472"	"81"	"7"	"3"	"3"	"1"	"2"	"4"	"4"	"4"	"23"	"14"	"4"	"22"	"7"	"6"	"701"	"0"	"16"	"717"	"0"
"117"	"101"	"21"	"5"	"429"	"76"	"4"	"1"	"2"	"2"	"1"	"2"	"5"	"2"	"15"	"15"	"9"	"13"	"3"	"0"	"605"	"0"	"13"	"618"	"0"
"118"	"102"	"60"	"3"	"107"	"457"	"3"	"1"	"1"	"1"	"5"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"641"	"0"	"1"	"642"	"0"
"119"	"103"	"288"	"4"	"85"	"324"	"6"	"0"	"1"	"0"	"2"	"3"	"2"	"4"	"2"	"1"	"2"	"6"	"12"	"2"	"744"	"0"	"10"	"754"	"0"
"120"	"104"	"19"	"1"	"277"	"189"	"7"	"1"	"1"	"0"	"5"	"1"	"1"	"2"	"14"	"6"	"6"	"8"	"2"	"3"	"543"	"0"	"11"	"554"	"0"
"121"	"105"	"34"	"3"	"295"	"226"	"3"	"0"	"0"	"1"	"1"	"1"	"1"	"3"	"2"	"7"	"0"	"3"	"0"	"1"	"581"	"0"	"4"	"585"	"0"
"122"	"106"	"112"	"13"	"363"	"237"	"9"	"3"	"6"	"1"	"7"	"2"	"2"	"6"	"14"	"11"	"6"	"19"	"13"	"5"	"829"	"0"	"13"	"842"	"0"
"123"	"107"	"265"	"0"	"19"	"220"	"5"	"0"	"1"	"0"	"1"	"0"	"1"	"2"	"4"	"1"	"2"	"12"	"3"	"0"	"536"	"0"	"0"	"536"	"0"
"124"	"108"	"205"	"1"	"56"	"229"	"4"	"1"	"0"	"0"	"2"	"0"	"3"	"2"	"5"	"0"	"1"	"13"	"1"	"1"	"524"	"0"	"2"	"526"	"0"
"125"	"109"	"147"	"12"	"449"	"233"	"11"	"5"	"3"	"3"	"1"	"3"	"1"	"3"	"5"	"1"	"6"	"10"	"4"	"3"	"900"	"0"	"2"	"902"	"0"
"126"	"110"	"135"	"9"	"132"	"133"	"2"	"2"	"0"	"0"	"5"	"0"	"1"	"4"	"4"	"4"	"2"	"20"	"16"	"10"	"479"	"0"	"14"	"493"	"0"
"127"	"110A"	"55"	"10"	"230"	"173"	"1"	"5"	"1"	"4"	"7"	"3"	"1"	"6"	"15"	"4"	"7"	"13"	"7"	"0"	"542"	"0"	"17"	"559"	"0"
"128"	"111"	"27"	"6"	"254"	"106"	"4"	"0"	"3"	"1"	"1"	"0"	"1"	"0"	"6"	"5"	"2"	"19"	"2"	"1"	"438"	"0"	"7"	"445"	"0"
"129"	"112"	"33"	"7"	"150"	"217"	"7"	"3"	"1"	"0"	"1"	"0"	"2"	"1"	"3"	"1"	"0"	"2"	"0"	"1"	"429"	"0"	"4"	"433"	"0"
"130"	"113"	"83"	"17"	"707"	"124"	"9"	"6"	"9"	"3"	"7"	"5"	"6"	"6"	"43"	"27"	"13"	"22"	"19"	"4"	"1110"	"0"	"22"	"1132"	"0"
"131"	"114"	"141"	"15"	"89"	"385"	"9"	"8"	"0"	"1"	"7"	"3"	"2"	"5"	"9"	"6"	"7"	"28"	"15"	"6"	"736"	"0"	"8"	"744"	"0"
"132"	"115"	"56"	"5"	"37"	"328"	"5"	"1"	"1"	"2"	"2"	"0"	"2"	"1"	"3"	"2"	"0"	"10"	"11"	"1"	"467"	"0"	"0"	"467"	"0"
"133"	"116"	"93"	"13"	"608"	"262"	"8"	"8"	"11"	"1"	"3"	"6"	"7"	"6"	"15"	"14"	"6"	"25"	"11"	"5"	"1102"	"0"	"26"	"1128"	"0"
"134"	"117"	"81"	"4"	"193"	"315"	"4"	"2"	"2"	"0"	"9"	"5"	"1"	"3"	"9"	"5"	"2"	"20"	"7"	"1"	"663"	"0"	"4"	"667"	"0"
"135"	"118"	"146"	"11"	"201"	"235"	"12"	"4"	"1"	"2"	"4"	"1"	"3"	"5"	"4"	"3"	"5"	"12"	"13"	"3"	"665"	"0"	"19"	"684"	"0"
"136"	"119"	"3"	"0"	"9"	"69"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"82"	"0"	"1"	"83"	"0"
"137"	"120"	"47"	"3"	"105"	"440"	"6"	"4"	"2"	"6"	"2"	"2"	"2"	"1"	"10"	"10"	"7"	"19"	"5"	"0"	"671"	"0"	"9"	"680"	"0"
