"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"27"	"13"	"39"	"1024"	"31"	"15"	"9"	"5"	"3"	"1"	"2"	"9"	"1138"	"0"	"38"	"1176"	"0"
"28"	"14"	"5"	"122"	"16"	"662"	"9"	"4"	"4"	"1"	"1"	"3"	"827"	"0"	"3"	"830"	"0"
"29"	"15"	"3"	"26"	"5"	"666"	"32"	"12"	"4"	"3"	"4"	"6"	"761"	"0"	"9"	"770"	"0"
"30"	"16"	"35"	"628"	"28"	"271"	"10"	"3"	"10"	"6"	"3"	"15"	"1009"	"0"	"32"	"1041"	"0"
"31"	"17"	"6"	"134"	"6"	"374"	"3"	"3"	"0"	"0"	"2"	"2"	"530"	"0"	"2"	"532"	"0"
"32"	"18"	"44"	"10"	"6"	"298"	"9"	"3"	"7"	"1"	"1"	"3"	"382"	"0"	"9"	"391"	"0"
"33"	"19"	"19"	"370"	"5"	"113"	"4"	"1"	"4"	"4"	"0"	"7"	"527"	"0"	"9"	"536"	"0"
"34"	"19A"	"11"	"121"	"4"	"348"	"2"	"4"	"2"	"6"	"1"	"2"	"501"	"0"	"5"	"506"	"0"
"35"	"20"	"22"	"339"	"15"	"177"	"7"	"2"	"3"	"1"	"4"	"4"	"574"	"0"	"13"	"587"	"0"
"36"	"21"	"8"	"143"	"16"	"552"	"16"	"7"	"8"	"5"	"1"	"5"	"761"	"0"	"7"	"768"	"0"
"37"	"22"	"3"	"251"	"6"	"9"	"0"	"0"	"2"	"0"	"4"	"1"	"276"	"0"	"7"	"283"	"0"
"38"	"23"	"29"	"87"	"23"	"644"	"15"	"6"	"7"	"7"	"6"	"10"	"834"	"0"	"24"	"858"	"0"
"39"	"24"	"53"	"807"	"16"	"109"	"11"	"6"	"4"	"5"	"12"	"9"	"1032"	"0"	"24"	"1056"	"0"
"40"	"25"	"29"	"916"	"14"	"9"	"4"	"1"	"3"	"3"	"0"	"6"	"985"	"0"	"10"	"995"	"0"
"41"	"26"	"28"	"698"	"15"	"8"	"4"	"1"	"2"	"1"	"3"	"10"	"770"	"0"	"14"	"784"	"0"
"42"	"27"	"15"	"28"	"5"	"597"	"5"	"3"	"1"	"4"	"1"	"1"	"660"	"0"	"7"	"667"	"0"
"43"	"28"	"62"	"163"	"23"	"425"	"23"	"11"	"11"	"8"	"3"	"4"	"733"	"0"	"9"	"742"	"0"
"44"	"29"	"12"	"11"	"8"	"692"	"38"	"14"	"5"	"7"	"1"	"8"	"796"	"0"	"43"	"839"	"0"
"45"	"30"	"10"	"130"	"7"	"275"	"1"	"5"	"0"	"2"	"2"	"5"	"437"	"0"	"3"	"440"	"0"
"46"	"31"	"12"	"26"	"18"	"407"	"8"	"12"	"5"	"9"	"6"	"6"	"509"	"0"	"40"	"549"	"0"
"47"	"32"	"13"	"27"	"9"	"455"	"11"	"4"	"2"	"1"	"1"	"3"	"526"	"0"	"15"	"541"	"0"
"48"	"33"	"15"	"168"	"14"	"444"	"12"	"8"	"4"	"4"	"4"	"5"	"678"	"0"	"40"	"718"	"0"
"49"	"34"	"13"	"38"	"17"	"563"	"11"	"9"	"8"	"2"	"3"	"7"	"671"	"0"	"9"	"680"	"0"
"50"	"35"	"33"	"31"	"17"	"465"	"13"	"3"	"6"	"2"	"6"	"4"	"580"	"0"	"18"	"598"	"0"
"51"	"36"	"41"	"49"	"40"	"499"	"30"	"6"	"7"	"8"	"4"	"9"	"693"	"0"	"16"	"709"	"0"
"52"	"37"	"8"	"56"	"9"	"644"	"9"	"0"	"4"	"3"	"0"	"2"	"735"	"0"	"12"	"747"	"0"
"53"	"38"	"11"	"33"	"11"	"541"	"11"	"3"	"4"	"9"	"3"	"5"	"631"	"0"	"19"	"650"	"0"
"54"	"39"	"16"	"35"	"20"	"323"	"8"	"1"	"2"	"3"	"4"	"0"	"412"	"0"	"3"	"415"	"0"
"55"	"40"	"15"	"51"	"2"	"389"	"29"	"3"	"2"	"2"	"4"	"6"	"503"	"0"	"24"	"527"	"0"
"56"	"40A"	"12"	"17"	"12"	"382"	"15"	"5"	"2"	"4"	"4"	"8"	"461"	"0"	"21"	"482"	"0"
"57"	"41"	"10"	"23"	"10"	"555"	"15"	"7"	"8"	"13"	"3"	"6"	"650"	"0"	"34"	"684"	"0"
"58"	"42"	"17"	"42"	"11"	"369"	"9"	"2"	"1"	"2"	"2"	"6"	"461"	"0"	"10"	"471"	"0"
"59"	"43"	"32"	"31"	"25"	"715"	"24"	"8"	"4"	"2"	"3"	"5"	"849"	"0"	"10"	"859"	"0"
"60"	"44"	"16"	"43"	"7"	"424"	"4"	"3"	"3"	"2"	"3"	"10"	"515"	"0"	"12"	"527"	"0"
"61"	"44A"	"9"	"85"	"11"	"310"	"5"	"5"	"0"	"1"	"4"	"5"	"435"	"0"	"17"	"452"	"0"
"62"	"45"	"26"	"321"	"10"	"526"	"17"	"9"	"3"	"4"	"3"	"8"	"927"	"0"	"33"	"960"	"0"
"63"	"46"	"18"	"41"	"21"	"757"	"13"	"7"	"7"	"5"	"3"	"4"	"876"	"0"	"15"	"891"	"0"
"64"	"47"	"8"	"20"	"10"	"493"	"18"	"2"	"2"	"3"	"4"	"5"	"565"	"0"	"13"	"578"	"0"
"65"	"48"	"31"	"233"	"25"	"456"	"13"	"6"	"0"	"3"	"6"	"5"	"778"	"0"	"12"	"790"	"0"
"66"	"49"	"15"	"116"	"11"	"528"	"16"	"3"	"6"	"5"	"3"	"7"	"710"	"0"	"15"	"725"	"0"
"67"	"50"	"13"	"21"	"6"	"450"	"12"	"7"	"6"	"2"	"5"	"10"	"532"	"0"	"24"	"556"	"0"
"68"	"51"	"13"	"53"	"7"	"509"	"9"	"3"	"1"	"1"	"1"	"4"	"601"	"0"	"10"	"611"	"0"
"69"	"52"	"15"	"105"	"8"	"652"	"15"	"3"	"5"	"3"	"8"	"10"	"824"	"0"	"25"	"849"	"0"
"70"	"53"	"11"	"138"	"6"	"489"	"9"	"3"	"1"	"2"	"3"	"1"	"663"	"0"	"13"	"676"	"0"
"71"	"54"	"10"	"107"	"14"	"377"	"14"	"6"	"4"	"3"	"4"	"10"	"549"	"0"	"22"	"571"	"0"
"72"	"55"	"8"	"20"	"11"	"390"	"7"	"7"	"3"	"1"	"4"	"1"	"452"	"0"	"8"	"460"	"0"
"73"	"56"	"21"	"326"	"11"	"448"	"9"	"5"	"4"	"4"	"3"	"9"	"840"	"0"	"15"	"855"	"0"
"74"	"57"	"8"	"235"	"2"	"277"	"8"	"2"	"2"	"0"	"3"	"2"	"539"	"0"	"8"	"547"	"0"
"75"	"58"	"15"	"237"	"18"	"381"	"9"	"0"	"4"	"3"	"1"	"1"	"669"	"0"	"5"	"674"	"0"
"76"	"59"	"13"	"25"	"16"	"495"	"17"	"6"	"2"	"2"	"4"	"7"	"587"	"0"	"24"	"611"	"0"
"77"	"60"	"12"	"9"	"5"	"437"	"6"	"6"	"1"	"0"	"4"	"1"	"481"	"0"	"7"	"488"	"0"
"78"	"61"	"1"	"10"	"10"	"416"	"4"	"2"	"3"	"0"	"3"	"2"	"451"	"0"	"1"	"452"	"0"
"79"	"62"	"25"	"253"	"10"	"472"	"9"	"7"	"3"	"2"	"2"	"8"	"791"	"0"	"8"	"799"	"0"
"80"	"63"	"10"	"80"	"10"	"316"	"3"	"0"	"1"	"2"	"3"	"4"	"429"	"0"	"2"	"431"	"0"
"81"	"64"	"13"	"184"	"12"	"304"	"2"	"2"	"0"	"3"	"2"	"4"	"526"	"0"	"5"	"531"	"0"
"82"	"65"	"7"	"33"	"10"	"457"	"12"	"3"	"2"	"2"	"1"	"3"	"530"	"0"	"17"	"547"	"0"
"83"	"66"	"10"	"48"	"12"	"509"	"12"	"2"	"3"	"1"	"0"	"2"	"599"	"0"	"4"	"603"	"0"
"84"	"67"	"3"	"8"	"10"	"378"	"9"	"4"	"1"	"1"	"2"	"5"	"421"	"0"	"9"	"430"	"0"
"85"	"68"	"15"	"12"	"8"	"319"	"8"	"4"	"2"	"2"	"0"	"3"	"373"	"0"	"5"	"378"	"0"
"86"	"69"	"11"	"32"	"5"	"580"	"6"	"6"	"1"	"0"	"2"	"0"	"643"	"0"	"4"	"647"	"0"
"87"	"70"	"4"	"34"	"4"	"521"	"14"	"3"	"2"	"4"	"1"	"5"	"592"	"0"	"7"	"599"	"0"
"88"	"71"	"20"	"420"	"12"	"372"	"11"	"3"	"3"	"6"	"0"	"1"	"848"	"0"	"5"	"853"	"0"
"89"	"72"	"18"	"51"	"9"	"461"	"12"	"11"	"5"	"2"	"1"	"4"	"574"	"0"	"15"	"589"	"0"
"90"	"72A"	"13"	"76"	"3"	"417"	"8"	"7"	"3"	"1"	"4"	"6"	"538"	"0"	"5"	"543"	"0"
"91"	"73"	"17"	"31"	"9"	"523"	"27"	"8"	"3"	"3"	"6"	"9"	"636"	"0"	"46"	"682"	"0"
"92"	"74"	"20"	"138"	"7"	"365"	"5"	"1"	"1"	"1"	"2"	"2"	"542"	"0"	"11"	"553"	"0"
"93"	"75"	"19"	"246"	"12"	"355"	"11"	"3"	"1"	"3"	"0"	"4"	"654"	"0"	"6"	"660"	"0"
"94"	"76"	"16"	"27"	"10"	"438"	"16"	"6"	"5"	"6"	"1"	"4"	"529"	"0"	"26"	"555"	"0"
"95"	"77"	"12"	"19"	"15"	"421"	"5"	"6"	"2"	"2"	"0"	"3"	"485"	"0"	"11"	"496"	"0"
"96"	"78"	"9"	"86"	"23"	"494"	"6"	"8"	"6"	"3"	"3"	"1"	"639"	"0"	"5"	"644"	"0"
"97"	"79"	"7"	"32"	"7"	"338"	"10"	"4"	"1"	"1"	"5"	"4"	"409"	"0"	"10"	"419"	"0"
"98"	"80"	"14"	"21"	"9"	"493"	"18"	"5"	"6"	"2"	"4"	"0"	"572"	"0"	"13"	"585"	"0"
"99"	"81"	"12"	"24"	"13"	"519"	"17"	"3"	"7"	"3"	"7"	"2"	"607"	"0"	"30"	"637"	"0"
"100"	"82"	"38"	"357"	"27"	"97"	"5"	"2"	"4"	"6"	"1"	"5"	"542"	"0"	"16"	"558"	"0"
"101"	"82A"	"17"	"94"	"3"	"249"	"14"	"1"	"4"	"5"	"10"	"12"	"409"	"0"	"27"	"436"	"0"
"102"	"83"	"18"	"24"	"4"	"495"	"7"	"4"	"3"	"0"	"3"	"4"	"562"	"0"	"13"	"575"	"0"
"103"	"84"	"11"	"24"	"8"	"610"	"23"	"5"	"4"	"1"	"7"	"9"	"702"	"0"	"44"	"746"	"0"
"104"	"85"	"30"	"104"	"26"	"560"	"18"	"5"	"6"	"10"	"5"	"6"	"770"	"0"	"15"	"785"	"0"
"105"	"86"	"3"	"111"	"3"	"52"	"2"	"1"	"1"	"0"	"1"	"2"	"176"	"0"	"4"	"180"	"0"
"106"	"87"	"17"	"26"	"4"	"530"	"18"	"6"	"5"	"11"	"3"	"15"	"635"	"0"	"19"	"654"	"0"
"107"	"88"	"15"	"182"	"14"	"496"	"12"	"2"	"2"	"13"	"7"	"12"	"755"	"0"	"33"	"788"	"0"
"108"	"89"	"21"	"96"	"15"	"718"	"25"	"7"	"7"	"6"	"3"	"3"	"901"	"0"	"2"	"903"	"0"
"109"	"90"	"33"	"474"	"13"	"156"	"16"	"4"	"4"	"5"	"4"	"16"	"725"	"0"	"20"	"745"	"0"
"110"	"91"	"19"	"277"	"6"	"257"	"8"	"3"	"2"	"3"	"0"	"3"	"578"	"0"	"6"	"584"	"0"
"111"	"91A"	"21"	"326"	"7"	"218"	"3"	"4"	"0"	"2"	"3"	"3"	"587"	"0"	"14"	"601"	"0"
"112"	"92"	"29"	"90"	"15"	"396"	"13"	"4"	"1"	"3"	"8"	"1"	"560"	"0"	"8"	"568"	"0"
"113"	"92A"	"9"	"85"	"9"	"338"	"7"	"3"	"6"	"2"	"4"	"1"	"464"	"0"	"15"	"479"	"0"
"114"	"93"	"13"	"61"	"6"	"548"	"25"	"8"	"6"	"7"	"6"	"16"	"696"	"0"	"60"	"756"	"0"
"115"	"94"	"23"	"38"	"16"	"498"	"15"	"4"	"5"	"4"	"6"	"5"	"614"	"0"	"15"	"629"	"0"
"116"	"95"	"18"	"64"	"4"	"256"	"8"	"4"	"3"	"1"	"3"	"8"	"369"	"0"	"18"	"387"	"0"
"117"	"96"	"38"	"88"	"19"	"633"	"10"	"6"	"4"	"2"	"3"	"4"	"807"	"0"	"6"	"813"	"0"
"118"	"97"	"13"	"254"	"6"	"100"	"2"	"2"	"1"	"3"	"6"	"1"	"388"	"0"	"14"	"402"	"0"
"119"	"98"	"23"	"72"	"10"	"538"	"19"	"9"	"3"	"3"	"2"	"7"	"686"	"0"	"40"	"726"	"0"
"120"	"99"	"7"	"80"	"2"	"373"	"7"	"2"	"3"	"3"	"3"	"4"	"484"	"0"	"18"	"502"	"0"
"121"	"100"	"21"	"88"	"12"	"434"	"12"	"5"	"4"	"1"	"2"	"5"	"584"	"0"	"6"	"590"	"0"
"122"	"101"	"22"	"178"	"9"	"50"	"3"	"1"	"2"	"1"	"0"	"4"	"270"	"0"	"6"	"276"	"0"
"123"	"102"	"6"	"41"	"11"	"260"	"10"	"4"	"2"	"1"	"2"	"5"	"342"	"0"	"9"	"351"	"0"
"124"	"103"	"13"	"34"	"8"	"233"	"2"	"1"	"2"	"1"	"2"	"2"	"298"	"0"	"2"	"300"	"0"
"125"	"104"	"22"	"39"	"6"	"571"	"11"	"2"	"1"	"2"	"6"	"2"	"662"	"0"	"9"	"671"	"0"
"126"	"105"	"7"	"147"	"9"	"441"	"13"	"3"	"4"	"2"	"2"	"2"	"630"	"0"	"8"	"638"	"0"
"127"	"106"	"11"	"216"	"11"	"314"	"13"	"5"	"4"	"5"	"2"	"10"	"591"	"0"	"14"	"605"	"0"
"128"	"107"	"20"	"362"	"8"	"91"	"11"	"4"	"0"	"1"	"0"	"3"	"500"	"0"	"6"	"506"	"0"
"129"	"108"	"26"	"294"	"17"	"519"	"21"	"11"	"8"	"5"	"8"	"10"	"919"	"0"	"27"	"946"	"0"
"130"	"109"	"45"	"287"	"23"	"523"	"20"	"6"	"18"	"10"	"8"	"13"	"953"	"0"	"43"	"996"	"0"
"131"	"110"	"42"	"222"	"49"	"456"	"18"	"14"	"4"	"3"	"7"	"7"	"822"	"0"	"6"	"828"	"0"
"132"	"111"	"9"	"110"	"20"	"852"	"9"	"9"	"3"	"3"	"9"	"8"	"1032"	"0"	"17"	"1049"	"0"
"133"	"112"	"70"	"136"	"18"	"658"	"26"	"4"	"8"	"9"	"9"	"7"	"945"	"0"	"19"	"964"	"0"
"134"	"113"	"6"	"14"	"11"	"300"	"6"	"2"	"2"	"1"	"0"	"6"	"348"	"0"	"7"	"355"	"0"
"135"	"114"	"23"	"170"	"16"	"368"	"13"	"4"	"4"	"11"	"11"	"11"	"631"	"0"	"27"	"658"	"0"
"136"	"115"	"90"	"279"	"17"	"73"	"13"	"2"	"6"	"4"	"5"	"12"	"501"	"0"	"25"	"526"	"0"
"137"	"116"	"38"	"649"	"22"	"204"	"7"	"2"	"7"	"2"	"7"	"8"	"946"	"0"	"14"	"960"	"0"
"138"	"117"	"33"	"325"	"14"	"158"	"4"	"1"	"0"	"2"	"1"	"0"	"538"	"0"	"7"	"545"	"0"
"139"	"118"	"5"	"48"	"7"	"269"	"6"	"4"	"2"	"1"	"5"	"3"	"350"	"0"	"14"	"364"	"0"
"140"	"119"	"9"	"15"	"13"	"330"	"13"	"8"	"0"	"4"	"5"	"5"	"402"	"0"	"10"	"412"	"0"
"141"	"120"	"36"	"427"	"17"	"481"	"17"	"4"	"6"	"3"	"2"	"8"	"1001"	"0"	"5"	"1006"	"0"
"142"	"121"	"24"	"66"	"16"	"655"	"15"	"8"	"7"	"7"	"10"	"7"	"815"	"0"	"11"	"826"	"0"
"143"	"122"	"15"	"28"	"15"	"509"	"11"	"2"	"3"	"2"	"2"	"3"	"590"	"0"	"12"	"602"	"0"
"144"	"123"	"35"	"27"	"16"	"764"	"23"	"5"	"7"	"3"	"11"	"6"	"897"	"0"	"17"	"914"	"0"
"145"	"124"	"24"	"63"	"6"	"593"	"13"	"5"	"5"	"4"	"4"	"8"	"725"	"0"	"21"	"746"	"0"
"146"	"125"	"12"	"161"	"8"	"368"	"11"	"1"	"3"	"3"	"2"	"1"	"570"	"0"	"2"	"572"	"0"
"147"	"126"	"32"	"69"	"20"	"475"	"18"	"5"	"3"	"7"	"9"	"7"	"645"	"0"	"21"	"666"	"0"
"148"	"127"	"10"	"37"	"12"	"418"	"14"	"4"	"1"	"4"	"5"	"11"	"516"	"0"	"18"	"534"	"0"
"149"	"128"	"21"	"371"	"15"	"175"	"5"	"13"	"3"	"6"	"3"	"10"	"622"	"0"	"11"	"633"	"0"
"150"	"129"	"40"	"115"	"21"	"627"	"21"	"16"	"10"	"9"	"7"	"5"	"871"	"0"	"15"	"886"	"0"
"151"	"130"	"23"	"403"	"9"	"48"	"0"	"4"	"3"	"1"	"2"	"6"	"499"	"0"	"15"	"514"	"0"
"152"	"131"	"6"	"54"	"6"	"427"	"7"	"10"	"2"	"1"	"1"	"3"	"517"	"0"	"14"	"531"	"0"
"153"	"132"	"3"	"18"	"6"	"295"	"8"	"2"	"1"	"3"	"5"	"3"	"344"	"0"	"10"	"354"	"0"
"154"	"133"	"10"	"22"	"6"	"774"	"11"	"4"	"2"	"5"	"2"	"4"	"840"	"0"	"6"	"846"	"0"
"155"	"134"	"9"	"57"	"7"	"350"	"9"	"2"	"0"	"2"	"2"	"0"	"438"	"0"	"8"	"446"	"0"
"156"	"134A"	"6"	"8"	"1"	"356"	"3"	"1"	"0"	"1"	"0"	"1"	"377"	"0"	"3"	"380"	"0"
"157"	"135"	"19"	"477"	"21"	"385"	"13"	"5"	"4"	"0"	"4"	"5"	"933"	"0"	"15"	"948"	"0"
"158"	"136"	"9"	"17"	"13"	"913"	"3"	"2"	"0"	"2"	"0"	"6"	"965"	"0"	"1"	"966"	"0"
"159"	"137"	"1"	"6"	"1"	"515"	"2"	"0"	"1"	"0"	"0"	"0"	"526"	"0"	"0"	"526"	"0"
"160"	"138"	"8"	"9"	"6"	"499"	"3"	"4"	"1"	"1"	"0"	"3"	"534"	"0"	"5"	"539"	"0"
"161"	"139"	"6"	"26"	"9"	"550"	"8"	"2"	"3"	"0"	"1"	"2"	"607"	"0"	"2"	"609"	"0"
"162"	"140"	"16"	"303"	"13"	"404"	"6"	"1"	"4"	"2"	"5"	"1"	"755"	"0"	"18"	"773"	"0"
"163"	"141"	"7"	"22"	"3"	"356"	"5"	"3"	"1"	"2"	"0"	"3"	"402"	"0"	"4"	"406"	"0"
"164"	"142"	"11"	"75"	"9"	"722"	"23"	"11"	"4"	"1"	"1"	"3"	"860"	"0"	"11"	"871"	"0"
"165"	"143"	"43"	"283"	"40"	"580"	"18"	"8"	"8"	"4"	"3"	"3"	"990"	"0"	"7"	"997"	"0"
"166"	"144"	"11"	"287"	"12"	"183"	"5"	"0"	"1"	"0"	"2"	"3"	"504"	"0"	"3"	"507"	"0"
"167"	"145"	"23"	"122"	"13"	"671"	"14"	"6"	"2"	"7"	"2"	"2"	"862"	"0"	"4"	"866"	"0"
"168"	"146"	"18"	"146"	"17"	"553"	"10"	"7"	"4"	"6"	"7"	"9"	"777"	"0"	"4"	"781"	"0"
"169"	"147"	"14"	"18"	"6"	"345"	"13"	"3"	"2"	"3"	"3"	"5"	"412"	"0"	"6"	"418"	"0"
"170"	"148"	"29"	"182"	"10"	"375"	"20"	"4"	"9"	"3"	"12"	"14"	"658"	"0"	"23"	"681"	"0"
"171"	"149"	"37"	"554"	"24"	"447"	"5"	"6"	"5"	"6"	"6"	"3"	"1093"	"0"	"9"	"1102"	"0"
"172"	"150"	"24"	"624"	"15"	"14"	"2"	"0"	"6"	"3"	"4"	"11"	"703"	"0"	"29"	"732"	"0"
"173"	"151"	"48"	"829"	"12"	"7"	"2"	"0"	"1"	"3"	"0"	"8"	"910"	"0"	"14"	"924"	"0"
"174"	"152"	"15"	"43"	"10"	"479"	"12"	"8"	"10"	"2"	"4"	"13"	"596"	"0"	"28"	"624"	"0"
"175"	"153"	"2"	"28"	"4"	"485"	"5"	"4"	"4"	"2"	"2"	"1"	"537"	"0"	"15"	"552"	"0"
"176"	"154"	"9"	"15"	"8"	"530"	"8"	"4"	"3"	"4"	"4"	"7"	"592"	"0"	"13"	"605"	"0"
"177"	"155"	"48"	"377"	"13"	"600"	"10"	"7"	"5"	"3"	"4"	"8"	"1075"	"0"	"24"	"1099"	"0"
"178"	"156"	"20"	"254"	"14"	"711"	"13"	"2"	"2"	"7"	"1"	"13"	"1037"	"0"	"19"	"1056"	"0"
"179"	"157"	"14"	"174"	"8"	"539"	"14"	"3"	"5"	"2"	"5"	"5"	"769"	"0"	"13"	"782"	"0"
"180"	"158"	"16"	"429"	"8"	"321"	"7"	"6"	"1"	"3"	"3"	"10"	"804"	"0"	"15"	"819"	"0"
"181"	"159"	"24"	"455"	"19"	"344"	"10"	"7"	"6"	"3"	"5"	"13"	"886"	"0"	"30"	"916"	"0"
"182"	"160"	"11"	"108"	"4"	"429"	"12"	"4"	"4"	"1"	"5"	"7"	"585"	"0"	"26"	"611"	"0"
"183"	"161"	"11"	"17"	"5"	"431"	"15"	"1"	"3"	"0"	"0"	"4"	"487"	"0"	"7"	"494"	"0"
"184"	"162"	"16"	"191"	"14"	"575"	"12"	"8"	"1"	"0"	"1"	"3"	"821"	"0"	"9"	"830"	"0"
"185"	"163"	"22"	"102"	"10"	"500"	"4"	"2"	"0"	"2"	"2"	"3"	"647"	"0"	"3"	"650"	"0"
"186"	"164"	"21"	"107"	"1"	"530"	"11"	"5"	"5"	"3"	"2"	"7"	"692"	"0"	"12"	"704"	"0"
"187"	"165"	"6"	"84"	"5"	"489"	"12"	"5"	"4"	"1"	"2"	"1"	"609"	"0"	"11"	"620"	"0"
"188"	"166"	"17"	"192"	"12"	"376"	"9"	"5"	"4"	"3"	"3"	"7"	"628"	"0"	"17"	"645"	"0"
"189"	"167"	"20"	"218"	"11"	"446"	"14"	"6"	"3"	"2"	"6"	"7"	"733"	"0"	"21"	"754"	"0"
"190"	"168"	"27"	"104"	"18"	"713"	"9"	"6"	"5"	"5"	"7"	"5"	"899"	"0"	"12"	"911"	"0"
"191"	"169"	"6"	"107"	"8"	"374"	"10"	"2"	"3"	"5"	"3"	"3"	"521"	"0"	"21"	"542"	"0"
"192"	"169A"	"16"	"40"	"10"	"401"	"7"	"2"	"4"	"4"	"3"	"3"	"490"	"0"	"7"	"497"	"0"
"193"	"170"	"16"	"91"	"14"	"360"	"7"	"6"	"2"	"3"	"4"	"5"	"508"	"0"	"7"	"515"	"0"
"194"	"171"	"5"	"36"	"13"	"462"	"8"	"2"	"7"	"2"	"2"	"4"	"541"	"0"	"11"	"552"	"0"
"195"	"172"	"18"	"52"	"15"	"748"	"17"	"9"	"7"	"8"	"6"	"5"	"885"	"0"	"15"	"900"	"0"
"196"	"173"	"33"	"361"	"27"	"439"	"15"	"9"	"4"	"9"	"4"	"7"	"908"	"0"	"16"	"924"	"0"
"197"	"174"	"14"	"108"	"14"	"467"	"10"	"4"	"2"	"3"	"3"	"7"	"632"	"0"	"7"	"639"	"0"
"198"	"175"	"2"	"66"	"7"	"442"	"11"	"7"	"4"	"4"	"7"	"5"	"555"	"0"	"12"	"567"	"0"
"199"	"176"	"14"	"116"	"9"	"388"	"7"	"3"	"2"	"4"	"4"	"4"	"551"	"0"	"17"	"568"	"0"
"200"	"177"	"19"	"136"	"14"	"432"	"10"	"7"	"4"	"5"	"2"	"3"	"632"	"0"	"10"	"642"	"0"
"201"	"178"	"20"	"234"	"16"	"555"	"11"	"1"	"3"	"3"	"4"	"4"	"851"	"0"	"11"	"862"	"0"
