"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"
"21"	"9"	"276"	"113"	"19"	"383"	"8"	"6"	"1"	"8"	"6"	"1"	"5"	"3"	"19"	"4"	"1"	"17"	"870"	"0"	"13"	"883"	"0"
"22"	"10"	"604"	"65"	"71"	"136"	"2"	"2"	"2"	"6"	"2"	"1"	"3"	"0"	"10"	"5"	"8"	"28"	"945"	"0"	"23"	"968"	"0"
"23"	"11"	"225"	"36"	"209"	"109"	"5"	"3"	"6"	"1"	"5"	"2"	"2"	"1"	"4"	"4"	"5"	"24"	"641"	"0"	"7"	"648"	"0"
"24"	"12"	"293"	"60"	"21"	"42"	"1"	"1"	"0"	"3"	"1"	"2"	"1"	"1"	"3"	"5"	"1"	"15"	"450"	"0"	"11"	"461"	"0"
"25"	"12A"	"270"	"35"	"46"	"20"	"1"	"0"	"1"	"4"	"1"	"0"	"1"	"0"	"3"	"1"	"1"	"4"	"388"	"0"	"2"	"390"	"0"
"26"	"13"	"24"	"122"	"462"	"62"	"7"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"12"	"12"	"6"	"11"	"721"	"0"	"2"	"723"	"0"
"27"	"14"	"21"	"95"	"300"	"17"	"0"	"3"	"0"	"2"	"1"	"1"	"1"	"0"	"0"	"6"	"4"	"7"	"458"	"0"	"4"	"462"	"0"
"28"	"15"	"81"	"46"	"120"	"235"	"13"	"9"	"3"	"6"	"12"	"2"	"5"	"6"	"23"	"4"	"1"	"8"	"574"	"0"	"11"	"585"	"0"
"29"	"16"	"370"	"75"	"12"	"39"	"24"	"4"	"2"	"4"	"4"	"0"	"1"	"3"	"9"	"3"	"5"	"25"	"580"	"0"	"10"	"590"	"0"
"30"	"17"	"256"	"225"	"45"	"37"	"5"	"1"	"1"	"2"	"0"	"1"	"0"	"1"	"2"	"3"	"3"	"11"	"593"	"0"	"8"	"601"	"0"
"31"	"18"	"302"	"24"	"6"	"99"	"10"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"2"	"3"	"3"	"15"	"467"	"0"	"16"	"483"	"0"
"32"	"19"	"552"	"177"	"68"	"41"	"6"	"0"	"5"	"0"	"2"	"1"	"2"	"1"	"7"	"1"	"5"	"14"	"882"	"0"	"17"	"899"	"0"
"33"	"20"	"144"	"288"	"18"	"44"	"3"	"0"	"1"	"2"	"2"	"0"	"1"	"3"	"4"	"5"	"8"	"38"	"561"	"0"	"29"	"590"	"0"
"34"	"20A"	"55"	"319"	"38"	"18"	"4"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"3"	"4"	"4"	"447"	"0"	"3"	"450"	"0"
"35"	"21"	"64"	"444"	"24"	"16"	"2"	"3"	"1"	"2"	"0"	"0"	"0"	"0"	"1"	"2"	"4"	"8"	"571"	"0"	"1"	"572"	"0"
"36"	"22"	"296"	"455"	"76"	"58"	"4"	"3"	"2"	"3"	"5"	"4"	"0"	"5"	"6"	"5"	"7"	"30"	"959"	"0"	"11"	"970"	"0"
"37"	"23"	"161"	"161"	"116"	"9"	"1"	"1"	"0"	"3"	"1"	"1"	"2"	"1"	"0"	"4"	"3"	"11"	"475"	"0"	"2"	"477"	"0"
"38"	"23A"	"174"	"230"	"46"	"21"	"2"	"1"	"1"	"0"	"1"	"1"	"0"	"0"	"2"	"4"	"4"	"5"	"492"	"0"	"5"	"497"	"0"
"39"	"24"	"184"	"167"	"45"	"9"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"4"	"5"	"7"	"424"	"0"	"2"	"426"	"0"
"40"	"25"	"101"	"138"	"87"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"5"	"4"	"0"	"347"	"0"	"3"	"350"	"0"
"41"	"26"	"398"	"20"	"110"	"47"	"2"	"0"	"3"	"1"	"2"	"0"	"0"	"1"	"4"	"0"	"2"	"5"	"595"	"0"	"8"	"603"	"0"
"42"	"27"	"45"	"12"	"331"	"137"	"0"	"1"	"1"	"0"	"36"	"0"	"3"	"0"	"1"	"5"	"3"	"5"	"580"	"0"	"0"	"580"	"0"
"43"	"28"	"524"	"36"	"41"	"34"	"1"	"0"	"1"	"2"	"0"	"1"	"2"	"0"	"2"	"0"	"2"	"10"	"656"	"0"	"14"	"670"	"0"
"44"	"29"	"30"	"103"	"22"	"302"	"4"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"4"	"1"	"3"	"5"	"476"	"0"	"1"	"477"	"0"
"45"	"30"	"345"	"14"	"4"	"12"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"3"	"380"	"0"	"0"	"380"	"0"
"46"	"31"	"113"	"11"	"11"	"407"	"12"	"4"	"7"	"1"	"0"	"2"	"3"	"6"	"14"	"4"	"1"	"20"	"616"	"0"	"2"	"618"	"0"
"47"	"32"	"155"	"106"	"12"	"147"	"4"	"2"	"2"	"4"	"4"	"1"	"2"	"2"	"11"	"0"	"6"	"18"	"476"	"0"	"1"	"477"	"0"
"48"	"32A"	"185"	"63"	"19"	"124"	"2"	"2"	"1"	"1"	"1"	"0"	"0"	"1"	"3"	"0"	"5"	"4"	"411"	"0"	"0"	"411"	"0"
"49"	"33"	"218"	"312"	"59"	"93"	"3"	"0"	"0"	"2"	"3"	"3"	"4"	"5"	"3"	"2"	"3"	"7"	"717"	"0"	"2"	"719"	"0"
"50"	"34"	"245"	"42"	"12"	"60"	"2"	"0"	"0"	"0"	"0"	"0"	"2"	"2"	"3"	"2"	"2"	"11"	"383"	"0"	"1"	"384"	"0"
"51"	"35"	"239"	"121"	"65"	"264"	"15"	"5"	"2"	"3"	"2"	"1"	"6"	"3"	"15"	"4"	"3"	"3"	"751"	"0"	"8"	"759"	"0"
"52"	"36"	"21"	"366"	"70"	"12"	"0"	"0"	"1"	"1"	"0"	"0"	"2"	"0"	"2"	"0"	"6"	"5"	"486"	"0"	"2"	"488"	"0"
"53"	"37"	"6"	"222"	"16"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"247"	"0"	"0"	"247"	"0"
"54"	"38"	"425"	"256"	"41"	"50"	"10"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"4"	"3"	"8"	"7"	"817"	"0"	"16"	"833"	"0"
"55"	"39"	"209"	"146"	"242"	"88"	"32"	"7"	"2"	"11"	"2"	"4"	"5"	"10"	"9"	"23"	"18"	"24"	"832"	"0"	"17"	"849"	"0"
"56"	"40"	"164"	"167"	"22"	"152"	"4"	"2"	"0"	"1"	"3"	"0"	"1"	"7"	"11"	"5"	"6"	"20"	"565"	"0"	"8"	"573"	"0"
"57"	"41"	"240"	"81"	"24"	"160"	"8"	"0"	"3"	"4"	"4"	"0"	"2"	"1"	"5"	"3"	"7"	"24"	"566"	"0"	"11"	"577"	"0"
"58"	"42"	"318"	"105"	"118"	"97"	"6"	"0"	"6"	"1"	"1"	"0"	"2"	"1"	"7"	"5"	"0"	"7"	"674"	"0"	"3"	"677"	"0"
"59"	"43"	"61"	"244"	"287"	"29"	"4"	"0"	"5"	"0"	"1"	"0"	"1"	"0"	"8"	"3"	"2"	"4"	"649"	"0"	"5"	"654"	"0"
"60"	"44"	"293"	"148"	"196"	"44"	"2"	"2"	"0"	"2"	"0"	"3"	"1"	"0"	"1"	"2"	"2"	"9"	"705"	"0"	"7"	"712"	"0"
"61"	"45"	"114"	"238"	"81"	"162"	"80"	"4"	"4"	"3"	"4"	"2"	"5"	"6"	"10"	"12"	"12"	"25"	"762"	"0"	"18"	"780"	"0"
"62"	"46"	"269"	"350"	"99"	"74"	"7"	"4"	"1"	"0"	"4"	"0"	"1"	"3"	"3"	"7"	"4"	"12"	"838"	"0"	"5"	"843"	"0"
"63"	"47"	"20"	"248"	"362"	"12"	"0"	"0"	"0"	"3"	"56"	"0"	"4"	"1"	"0"	"8"	"8"	"13"	"735"	"0"	"3"	"738"	"0"
"64"	"48"	"6"	"63"	"295"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"4"	"7"	"5"	"8"	"392"	"0"	"2"	"394"	"0"
"65"	"49"	"85"	"17"	"607"	"19"	"0"	"0"	"0"	"2"	"54"	"1"	"5"	"2"	"2"	"4"	"1"	"9"	"808"	"0"	"1"	"809"	"0"
"66"	"50"	"230"	"58"	"276"	"21"	"4"	"0"	"0"	"3"	"2"	"2"	"1"	"4"	"14"	"7"	"6"	"15"	"643"	"0"	"31"	"674"	"0"
"67"	"51"	"19"	"83"	"208"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"1"	"0"	"317"	"0"	"0"	"317"	"0"
"68"	"52"	"338"	"41"	"137"	"7"	"4"	"2"	"2"	"0"	"2"	"2"	"1"	"1"	"5"	"5"	"3"	"11"	"561"	"0"	"4"	"565"	"0"
"69"	"53"	"284"	"4"	"97"	"8"	"2"	"0"	"2"	"0"	"0"	"1"	"0"	"2"	"5"	"4"	"1"	"11"	"421"	"0"	"11"	"432"	"0"
"70"	"54"	"183"	"11"	"157"	"3"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"2"	"361"	"0"	"1"	"362"	"0"
"71"	"55"	"229"	"65"	"120"	"22"	"1"	"3"	"1"	"0"	"0"	"0"	"2"	"0"	"0"	"3"	"1"	"1"	"448"	"0"	"4"	"452"	"0"
"72"	"56"	"151"	"10"	"118"	"37"	"66"	"1"	"7"	"1"	"4"	"4"	"0"	"2"	"3"	"5"	"2"	"8"	"419"	"0"	"2"	"421"	"0"
"73"	"57"	"262"	"50"	"60"	"196"	"59"	"7"	"4"	"32"	"17"	"6"	"10"	"6"	"14"	"8"	"10"	"21"	"762"	"0"	"1"	"763"	"0"
"74"	"58"	"5"	"2"	"10"	"610"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"630"	"0"	"0"	"630"	"0"
"75"	"58A"	"5"	"15"	"64"	"491"	"4"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"0"	"2"	"587"	"0"	"1"	"588"	"0"
"76"	"59"	"251"	"211"	"22"	"54"	"34"	"4"	"4"	"1"	"4"	"3"	"4"	"3"	"5"	"5"	"8"	"10"	"623"	"0"	"10"	"633"	"0"
"77"	"60"	"431"	"91"	"14"	"36"	"3"	"3"	"1"	"0"	"0"	"2"	"3"	"1"	"7"	"4"	"4"	"16"	"616"	"0"	"4"	"620"	"0"
"78"	"61"	"245"	"102"	"18"	"45"	"6"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"5"	"4"	"8"	"437"	"0"	"5"	"442"	"0"
"79"	"61A"	"219"	"142"	"67"	"35"	"32"	"6"	"3"	"3"	"4"	"3"	"6"	"4"	"3"	"3"	"5"	"8"	"543"	"0"	"3"	"546"	"0"
"80"	"62"	"613"	"71"	"6"	"57"	"13"	"1"	"0"	"1"	"1"	"2"	"1"	"3"	"6"	"1"	"5"	"10"	"791"	"0"	"6"	"797"	"0"
"81"	"63"	"35"	"352"	"402"	"8"	"2"	"3"	"1"	"1"	"0"	"2"	"3"	"2"	"5"	"7"	"7"	"9"	"839"	"0"	"1"	"840"	"0"
"82"	"64"	"35"	"317"	"207"	"11"	"2"	"1"	"0"	"0"	"2"	"0"	"1"	"0"	"3"	"5"	"8"	"3"	"595"	"0"	"2"	"597"	"0"
"83"	"65"	"456"	"52"	"20"	"10"	"5"	"2"	"1"	"7"	"175"	"3"	"2"	"2"	"9"	"5"	"8"	"17"	"774"	"0"	"4"	"778"	"0"
"84"	"66"	"268"	"240"	"76"	"36"	"10"	"2"	"1"	"2"	"2"	"0"	"0"	"1"	"5"	"7"	"5"	"10"	"665"	"0"	"12"	"677"	"0"
"85"	"67"	"218"	"358"	"36"	"29"	"10"	"1"	"0"	"1"	"0"	"0"	"1"	"2"	"4"	"2"	"7"	"3"	"672"	"0"	"0"	"672"	"0"
"86"	"68"	"351"	"65"	"47"	"22"	"2"	"1"	"2"	"0"	"0"	"2"	"2"	"0"	"7"	"4"	"4"	"11"	"520"	"0"	"4"	"524"	"0"
"87"	"69"	"357"	"108"	"171"	"93"	"3"	"2"	"0"	"1"	"30"	"4"	"4"	"6"	"17"	"12"	"10"	"18"	"836"	"0"	"4"	"840"	"0"
"88"	"70"	"180"	"124"	"71"	"133"	"6"	"3"	"1"	"3"	"4"	"3"	"2"	"3"	"15"	"8"	"3"	"8"	"567"	"0"	"2"	"569"	"0"
"89"	"71"	"143"	"182"	"32"	"53"	"4"	"0"	"0"	"1"	"5"	"3"	"2"	"4"	"7"	"5"	"5"	"8"	"454"	"0"	"5"	"459"	"0"
"90"	"72"	"437"	"42"	"101"	"42"	"7"	"0"	"0"	"2"	"0"	"2"	"2"	"3"	"7"	"1"	"2"	"9"	"657"	"0"	"9"	"666"	"0"
"91"	"73"	"290"	"172"	"157"	"87"	"4"	"2"	"1"	"3"	"2"	"2"	"4"	"3"	"9"	"9"	"1"	"3"	"749"	"0"	"1"	"750"	"0"
"92"	"74"	"110"	"276"	"42"	"100"	"4"	"1"	"0"	"1"	"3"	"1"	"0"	"0"	"8"	"3"	"1"	"3"	"553"	"0"	"1"	"554"	"0"
"93"	"75"	"343"	"74"	"156"	"93"	"4"	"2"	"1"	"1"	"1"	"1"	"0"	"3"	"9"	"10"	"4"	"4"	"706"	"0"	"5"	"711"	"0"
"94"	"76"	"303"	"149"	"191"	"197"	"11"	"5"	"3"	"1"	"5"	"3"	"5"	"2"	"9"	"7"	"3"	"12"	"906"	"0"	"2"	"908"	"0"
"95"	"77"	"289"	"45"	"40"	"43"	"4"	"0"	"2"	"1"	"1"	"0"	"1"	"0"	"8"	"1"	"3"	"8"	"446"	"0"	"4"	"450"	"0"
"96"	"78"	"354"	"45"	"63"	"62"	"2"	"1"	"1"	"0"	"2"	"0"	"2"	"0"	"6"	"5"	"1"	"8"	"552"	"0"	"5"	"557"	"0"
"97"	"79"	"258"	"176"	"85"	"109"	"3"	"2"	"0"	"3"	"2"	"0"	"0"	"1"	"4"	"4"	"0"	"4"	"651"	"0"	"0"	"651"	"0"
"98"	"80"	"414"	"142"	"72"	"35"	"11"	"0"	"0"	"1"	"2"	"2"	"1"	"0"	"4"	"6"	"2"	"9"	"701"	"0"	"1"	"702"	"0"
"99"	"81"	"348"	"81"	"165"	"66"	"9"	"0"	"1"	"1"	"21"	"3"	"2"	"3"	"5"	"6"	"6"	"18"	"735"	"0"	"14"	"749"	"0"
"100"	"82"	"188"	"40"	"73"	"18"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"2"	"0"	"1"	"2"	"326"	"0"	"2"	"328"	"0"
"101"	"83"	"379"	"97"	"195"	"69"	"6"	"0"	"1"	"2"	"2"	"0"	"2"	"3"	"5"	"9"	"7"	"9"	"786"	"0"	"8"	"794"	"0"
"102"	"84"	"262"	"60"	"100"	"57"	"0"	"0"	"1"	"1"	"1"	"1"	"2"	"1"	"5"	"3"	"3"	"11"	"508"	"0"	"4"	"512"	"0"
"103"	"85"	"408"	"125"	"195"	"52"	"3"	"5"	"1"	"0"	"3"	"2"	"2"	"4"	"4"	"6"	"6"	"10"	"826"	"0"	"10"	"836"	"0"
"104"	"86"	"255"	"106"	"59"	"41"	"4"	"1"	"3"	"0"	"0"	"4"	"2"	"2"	"9"	"4"	"5"	"7"	"502"	"0"	"5"	"507"	"0"
"105"	"86A"	"305"	"102"	"66"	"39"	"3"	"0"	"0"	"1"	"1"	"0"	"2"	"0"	"4"	"4"	"1"	"4"	"532"	"0"	"13"	"545"	"0"
"106"	"87"	"180"	"65"	"260"	"40"	"4"	"2"	"0"	"1"	"2"	"0"	"3"	"2"	"7"	"13"	"1"	"7"	"587"	"0"	"5"	"592"	"0"
"107"	"87A"	"250"	"40"	"54"	"13"	"2"	"1"	"2"	"1"	"0"	"0"	"2"	"0"	"0"	"1"	"4"	"3"	"373"	"0"	"4"	"377"	"0"
"108"	"88"	"389"	"40"	"65"	"78"	"3"	"1"	"0"	"3"	"2"	"1"	"0"	"0"	"6"	"3"	"1"	"3"	"595"	"0"	"12"	"607"	"0"
"109"	"89"	"419"	"29"	"19"	"72"	"1"	"1"	"0"	"2"	"0"	"0"	"1"	"1"	"4"	"1"	"0"	"2"	"552"	"0"	"15"	"567"	"0"
"110"	"90"	"369"	"118"	"163"	"164"	"6"	"2"	"1"	"1"	"5"	"1"	"1"	"2"	"9"	"3"	"3"	"5"	"853"	"0"	"8"	"861"	"0"
"111"	"91"	"357"	"181"	"139"	"133"	"9"	"3"	"0"	"6"	"4"	"0"	"3"	"5"	"9"	"9"	"5"	"11"	"874"	"0"	"10"	"884"	"0"
"112"	"92"	"289"	"20"	"247"	"33"	"23"	"1"	"1"	"0"	"0"	"2"	"0"	"0"	"6"	"8"	"1"	"6"	"637"	"0"	"5"	"642"	"0"
"113"	"93"	"203"	"4"	"168"	"42"	"31"	"0"	"2"	"0"	"0"	"1"	"1"	"3"	"5"	"5"	"1"	"7"	"473"	"0"	"12"	"485"	"0"
"114"	"94"	"75"	"20"	"233"	"205"	"19"	"3"	"4"	"8"	"173"	"4"	"0"	"4"	"7"	"7"	"2"	"3"	"767"	"0"	"2"	"769"	"0"
"115"	"95"	"220"	"85"	"211"	"151"	"35"	"7"	"7"	"4"	"18"	"7"	"4"	"1"	"2"	"7"	"4"	"10"	"773"	"0"	"10"	"783"	"0"
"116"	"96"	"249"	"69"	"13"	"69"	"2"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"5"	"0"	"2"	"0"	"412"	"0"	"6"	"418"	"0"
"117"	"97"	"140"	"97"	"116"	"165"	"8"	"1"	"3"	"14"	"2"	"0"	"3"	"3"	"9"	"2"	"1"	"6"	"570"	"0"	"0"	"570"	"0"
"118"	"98"	"126"	"200"	"84"	"213"	"118"	"5"	"3"	"2"	"66"	"2"	"3"	"2"	"14"	"6"	"7"	"16"	"867"	"0"	"8"	"875"	"0"
"119"	"99"	"30"	"425"	"57"	"10"	"5"	"3"	"2"	"0"	"0"	"0"	"1"	"0"	"5"	"7"	"11"	"5"	"561"	"0"	"7"	"568"	"0"
"120"	"100"	"226"	"32"	"57"	"11"	"107"	"2"	"2"	"3"	"1"	"3"	"8"	"12"	"6"	"3"	"7"	"18"	"498"	"0"	"6"	"504"	"0"
"121"	"101"	"241"	"292"	"30"	"21"	"6"	"2"	"1"	"0"	"2"	"1"	"0"	"2"	"3"	"5"	"10"	"17"	"633"	"0"	"6"	"639"	"0"
"122"	"102"	"90"	"106"	"26"	"37"	"29"	"2"	"1"	"3"	"2"	"1"	"0"	"2"	"1"	"1"	"6"	"4"	"311"	"0"	"4"	"315"	"0"
"123"	"103"	"107"	"36"	"27"	"119"	"67"	"0"	"2"	"1"	"1"	"0"	"3"	"0"	"6"	"2"	"1"	"3"	"375"	"0"	"2"	"377"	"0"
"124"	"104"	"172"	"144"	"147"	"35"	"11"	"1"	"0"	"1"	"0"	"2"	"0"	"1"	"1"	"3"	"0"	"1"	"519"	"0"	"2"	"521"	"0"
"125"	"105"	"32"	"78"	"37"	"188"	"8"	"2"	"2"	"1"	"0"	"2"	"2"	"0"	"8"	"1"	"1"	"6"	"368"	"0"	"0"	"368"	"0"
"126"	"106"	"184"	"35"	"19"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"243"	"0"	"5"	"248"	"0"
"127"	"107"	"217"	"90"	"19"	"12"	"51"	"2"	"1"	"0"	"0"	"1"	"0"	"0"	"7"	"0"	"2"	"19"	"421"	"0"	"3"	"424"	"0"
"128"	"108"	"140"	"39"	"11"	"8"	"137"	"5"	"2"	"1"	"0"	"3"	"0"	"1"	"0"	"2"	"1"	"5"	"355"	"0"	"0"	"355"	"0"
"129"	"109"	"59"	"44"	"161"	"247"	"2"	"2"	"0"	"1"	"0"	"0"	"2"	"2"	"12"	"10"	"2"	"7"	"551"	"0"	"1"	"552"	"0"
"130"	"110"	"11"	"76"	"310"	"80"	"3"	"0"	"2"	"0"	"0"	"0"	"0"	"1"	"5"	"1"	"0"	"1"	"490"	"0"	"2"	"492"	"0"
"131"	"111"	"322"	"77"	"49"	"60"	"89"	"1"	"2"	"1"	"0"	"1"	"2"	"3"	"2"	"4"	"0"	"4"	"617"	"0"	"2"	"619"	"0"
"132"	"112"	"350"	"70"	"71"	"2"	"14"	"0"	"0"	"1"	"1"	"0"	"1"	"2"	"2"	"4"	"2"	"10"	"530"	"0"	"9"	"539"	"0"
"133"	"113"	"262"	"114"	"23"	"162"	"8"	"2"	"1"	"1"	"4"	"1"	"2"	"2"	"13"	"6"	"7"	"14"	"622"	"0"	"15"	"637"	"0"
"134"	"114"	"175"	"228"	"67"	"148"	"11"	"2"	"3"	"1"	"2"	"3"	"2"	"1"	"6"	"3"	"5"	"8"	"665"	"0"	"7"	"672"	"0"
"135"	"115"	"208"	"40"	"18"	"34"	"21"	"5"	"0"	"1"	"1"	"1"	"0"	"2"	"1"	"2"	"2"	"4"	"340"	"0"	"54"	"394"	"0"
"136"	"116"	"216"	"134"	"37"	"71"	"13"	"2"	"0"	"2"	"1"	"2"	"3"	"2"	"12"	"1"	"7"	"18"	"521"	"0"	"4"	"525"	"0"
"137"	"117"	"97"	"21"	"6"	"207"	"8"	"1"	"1"	"1"	"5"	"0"	"0"	"2"	"11"	"1"	"3"	"18"	"382"	"0"	"10"	"392"	"0"
"138"	"118"	"239"	"119"	"9"	"78"	"2"	"1"	"1"	"2"	"1"	"1"	"1"	"0"	"7"	"1"	"0"	"9"	"471"	"0"	"10"	"481"	"0"
"139"	"119"	"165"	"31"	"128"	"71"	"4"	"1"	"3"	"0"	"2"	"0"	"3"	"0"	"10"	"10"	"3"	"17"	"448"	"0"	"1"	"449"	"0"
"140"	"120"	"215"	"60"	"60"	"86"	"2"	"1"	"1"	"2"	"2"	"0"	"2"	"1"	"6"	"3"	"1"	"12"	"454"	"0"	"4"	"458"	"0"
"141"	"121"	"250"	"27"	"62"	"10"	"40"	"1"	"1"	"1"	"1"	"1"	"5"	"4"	"3"	"4"	"4"	"22"	"436"	"0"	"12"	"448"	"0"
"142"	"122"	"181"	"34"	"110"	"41"	"7"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"3"	"2"	"1"	"2"	"383"	"0"	"0"	"383"	"0"
"143"	"123"	"377"	"96"	"28"	"9"	"40"	"1"	"1"	"1"	"1"	"0"	"0"	"2"	"2"	"1"	"6"	"14"	"579"	"0"	"6"	"585"	"0"
"144"	"124"	"87"	"97"	"68"	"105"	"54"	"6"	"2"	"0"	"3"	"2"	"4"	"1"	"15"	"3"	"5"	"7"	"459"	"0"	"3"	"462"	"0"
"145"	"125"	"246"	"47"	"7"	"111"	"40"	"1"	"0"	"2"	"2"	"1"	"1"	"3"	"38"	"2"	"1"	"4"	"506"	"0"	"1"	"507"	"0"
"146"	"126"	"144"	"18"	"21"	"93"	"111"	"6"	"2"	"1"	"0"	"4"	"7"	"13"	"22"	"1"	"7"	"16"	"466"	"0"	"5"	"471"	"0"
"147"	"127"	"70"	"408"	"130"	"27"	"4"	"1"	"1"	"2"	"0"	"1"	"1"	"1"	"6"	"5"	"9"	"6"	"672"	"0"	"3"	"675"	"0"
"148"	"128"	"163"	"101"	"7"	"158"	"11"	"3"	"4"	"0"	"1"	"1"	"3"	"1"	"14"	"5"	"2"	"1"	"475"	"0"	"3"	"478"	"0"
"149"	"129"	"193"	"162"	"110"	"45"	"15"	"0"	"3"	"4"	"2"	"0"	"2"	"3"	"5"	"8"	"6"	"11"	"569"	"0"	"10"	"579"	"0"
