District	Assembly_Id	Assembly_Name	Parliamentary_Name	Development_Parameter	Development_Parameter_Score
GOPALGANJ 	104	HATHUA	GOPALGANJ	EMPLOYMENT GROWTH	4
GOPALGANJ 	104	HATHUA	GOPALGANJ	PUBLIC TRANSPORT	5
GOPALGANJ 	104	HATHUA	GOPALGANJ	LAW & ORDER	6
GOPALGANJ 	104	HATHUA	GOPALGANJ	CASTE POLARISTION	5
GOPALGANJ 	104	HATHUA	GOPALGANJ	COMMUNAL POLARISATION	3
GOPALGANJ 	104	HATHUA	GOPALGANJ	COMMUNAL POLARISATION	7
SIWAN	110	BARHARIA	SIWAN	ELECTRICITY	5
SIWAN	110	BARHARIA	SIWAN	WATER	6
SIWAN	110	BARHARIA	SIWAN	ROAD	5
SIWAN	110	BARHARIA	SIWAN	HEALTH SERVICES	5
SIWAN	110	BARHARIA	SIWAN	EDUCATION	4
SIWAN	110	BARHARIA	SIWAN	EMPLOYMENT GROWTH	5
SIWAN	110	BARHARIA	SIWAN	PUBLIC TRANSPORT	5
SIWAN	110	BARHARIA	SIWAN	LAW & ORDER	6
SIWAN	110	BARHARIA	SIWAN	CASTE POLARISTION	7
SIWAN	110	BARHARIA	SIWAN	COMMUNAL POLARISATION	5
SIWAN	110	BARHARIA	SIWAN	COMMUNAL POLARISATION	7
SIWAN	111	GORIAKOTHI	MAHARAJGANJ	ELECTRICITY	6
SIWAN	111	GORIAKOTHI	MAHARAJGANJ	WATER	4
SIWAN	111	GORIAKOTHI	MAHARAJGANJ	ROAD	5
SIWAN	111	GORIAKOTHI	MAHARAJGANJ	HEALTH SERVICES	7
SIWAN	111	GORIAKOTHI	MAHARAJGANJ	EDUCATION	8
SIWAN	111	GORIAKOTHI	MAHARAJGANJ	EMPLOYMENT GROWTH	2
SIWAN	111	GORIAKOTHI	MAHARAJGANJ	PUBLIC TRANSPORT	6
SIWAN	111	GORIAKOTHI	MAHARAJGANJ	LAW & ORDER	7
SIWAN	111	GORIAKOTHI	MAHARAJGANJ	CASTE POLARISTION	2
SIWAN	111	GORIAKOTHI	MAHARAJGANJ	COMMUNAL POLARISATION	1
SIWAN	111	GORIAKOTHI	MAHARAJGANJ	COMMUNAL POLARISATION	7
SIWAN	112	MAHARAJGANJ	MAHARAJGANJ	ELECTRICITY	6
SIWAN	112	MAHARAJGANJ	MAHARAJGANJ	WATER	6
SIWAN	112	MAHARAJGANJ	MAHARAJGANJ	ROAD	4
SIWAN	112	MAHARAJGANJ	MAHARAJGANJ	HEALTH SERVICES	6
SIWAN	112	MAHARAJGANJ	MAHARAJGANJ	EDUCATION	6
SIWAN	112	MAHARAJGANJ	MAHARAJGANJ	EMPLOYMENT GROWTH	4
SIWAN	112	MAHARAJGANJ	MAHARAJGANJ	PUBLIC TRANSPORT	6
SIWAN	112	MAHARAJGANJ	MAHARAJGANJ	LAW & ORDER	6
SIWAN	112	MAHARAJGANJ	MAHARAJGANJ	CASTE POLARISTION	4
SIWAN	112	MAHARAJGANJ	MAHARAJGANJ	COMMUNAL POLARISATION	3
SIWAN	112	MAHARAJGANJ	MAHARAJGANJ	COMMUNAL POLARISATION	8
SIWAN	109	DARAUNDHA	SIWAN	ELECTRICITY	5
SIWAN	109	DARAUNDHA	SIWAN	WATER	4
SIWAN	109	DARAUNDHA	SIWAN	ROAD	5
SIWAN	109	DARAUNDHA	SIWAN	HEALTH SERVICES	4
SIWAN	109	DARAUNDHA	SIWAN	EDUCATION	4
SIWAN	109	DARAUNDHA	SIWAN	EMPLOYMENT GROWTH	4
SIWAN	109	DARAUNDHA	SIWAN	PUBLIC TRANSPORT	6
SIWAN	109	DARAUNDHA	SIWAN	LAW & ORDER	4
SIWAN	109	DARAUNDHA	SIWAN	CASTE POLARISTION	5
SIWAN	109	DARAUNDHA	SIWAN	COMMUNAL POLARISATION	1
SIWAN	109	DARAUNDHA	SIWAN	COMMUNAL POLARISATION	6
SIWAN	108	RAGHUNATHPUR	SIWAN	ELECTRICITY	4
SIWAN	108	RAGHUNATHPUR	SIWAN	WATER	4
SIWAN	108	RAGHUNATHPUR	SIWAN	ROAD	5
SIWAN	108	RAGHUNATHPUR	SIWAN	HEALTH SERVICES	5
SIWAN	108	RAGHUNATHPUR	SIWAN	EDUCATION	6
SIWAN	108	RAGHUNATHPUR	SIWAN	EMPLOYMENT GROWTH	5
SIWAN	108	RAGHUNATHPUR	SIWAN	PUBLIC TRANSPORT	5
SIWAN	108	RAGHUNATHPUR	SIWAN	LAW & ORDER	5
SIWAN	108	RAGHUNATHPUR	SIWAN	CASTE POLARISTION	8
SIWAN	108	RAGHUNATHPUR	SIWAN	COMMUNAL POLARISATION	8
SIWAN	108	RAGHUNATHPUR	SIWAN	COMMUNAL POLARISATION	6
SIWAN	107	DARAULI	SIWAN	ELECTRICITY	4
SIWAN	107	DARAULI	SIWAN	WATER	6
SIWAN	107	DARAULI	SIWAN	ROAD	4
SIWAN	107	DARAULI	SIWAN	HEALTH SERVICES	4
SIWAN	107	DARAULI	SIWAN	EDUCATION	5
SIWAN	107	DARAULI	SIWAN	EMPLOYMENT GROWTH	3
SIWAN	107	DARAULI	SIWAN	PUBLIC TRANSPORT	6
SIWAN	107	DARAULI	SIWAN	LAW & ORDER	6
SIWAN	107	DARAULI	SIWAN	CASTE POLARISTION	5
SIWAN	107	DARAULI	SIWAN	COMMUNAL POLARISATION	3
SIWAN	107	DARAULI	SIWAN	COMMUNAL POLARISATION	6
SIWAN	106	ZIRADEI	SIWAN	ELECTRICITY	5
SIWAN	106	ZIRADEI	SIWAN	WATER	4
SIWAN	106	ZIRADEI	SIWAN	ROAD	4
SIWAN	106	ZIRADEI	SIWAN	HEALTH SERVICES	4
SIWAN	106	ZIRADEI	SIWAN	EDUCATION	5
SIWAN	106	ZIRADEI	SIWAN	EMPLOYMENT GROWTH	2
SIWAN	106	ZIRADEI	SIWAN	PUBLIC TRANSPORT	6
SIWAN	106	ZIRADEI	SIWAN	LAW & ORDER	6
SIWAN	106	ZIRADEI	SIWAN	CASTE POLARISTION	5
SIWAN	106	ZIRADEI	SIWAN	COMMUNAL POLARISATION	5
SIWAN	106	ZIRADEI	SIWAN	COMMUNAL POLARISATION	6
SIWAN	105	SIWAN	SIWAN	ELECTRICITY	5
SIWAN	105	SIWAN	SIWAN	WATER	6
SIWAN	105	SIWAN	SIWAN	ROAD	7
SIWAN	105	SIWAN	SIWAN	HEALTH SERVICES	6
SIWAN	105	SIWAN	SIWAN	EDUCATION	5
SIWAN	105	SIWAN	SIWAN	EMPLOYMENT GROWTH	4
SIWAN	105	SIWAN	SIWAN	PUBLIC TRANSPORT	6
SIWAN	105	SIWAN	SIWAN	LAW & ORDER	6
SIWAN	105	SIWAN	SIWAN	CASTE POLARISTION	8
SIWAN	105	SIWAN	SIWAN	COMMUNAL POLARISATION	8
SIWAN	105	SIWAN	SIWAN	COMMUNAL POLARISATION	6
SARAN	116	TARAIYA	MAHARAJGANJ	ELECTRICITY	4
SARAN	116	TARAIYA	MAHARAJGANJ	WATER	4
SARAN	116	TARAIYA	MAHARAJGANJ	ROAD	4
SARAN	116	TARAIYA	MAHARAJGANJ	HEALTH SERVICES	5
SARAN	116	TARAIYA	MAHARAJGANJ	EDUCATION	4
SARAN	116	TARAIYA	MAHARAJGANJ	EMPLOYMENT GROWTH	3
SARAN	116	TARAIYA	MAHARAJGANJ	PUBLIC TRANSPORT	5
SARAN	116	TARAIYA	MAHARAJGANJ	LAW & ORDER	6
SARAN	116	TARAIYA	MAHARAJGANJ	CASTE POLARISTION	3
SARAN	116	TARAIYA	MAHARAJGANJ	COMMUNAL POLARISATION	1
SARAN	116	TARAIYA	MAHARAJGANJ	COMMUNAL POLARISATION	7
SARAN	115	BANIAPUR	MAHARAJGANJ	ELECTRICITY	5
SARAN	115	BANIAPUR	MAHARAJGANJ	WATER	5
SARAN	115	BANIAPUR	MAHARAJGANJ	ROAD	6
SARAN	115	BANIAPUR	MAHARAJGANJ	HEALTH SERVICES	5
SARAN	115	BANIAPUR	MAHARAJGANJ	EDUCATION	5
SARAN	115	BANIAPUR	MAHARAJGANJ	EMPLOYMENT GROWTH	5
SARAN	115	BANIAPUR	MAHARAJGANJ	PUBLIC TRANSPORT	4
SARAN	115	BANIAPUR	MAHARAJGANJ	LAW & ORDER	5
SARAN	115	BANIAPUR	MAHARAJGANJ	CASTE POLARISTION	2
SARAN	115	BANIAPUR	MAHARAJGANJ	COMMUNAL POLARISATION	2
SARAN	115	BANIAPUR	MAHARAJGANJ	COMMUNAL POLARISATION	5
SARAN	122	SONEPUR	SARAN	ELECTRICITY	4
SARAN	122	SONEPUR	SARAN	WATER	5
SARAN	122	SONEPUR	SARAN	ROAD	5
SARAN	122	SONEPUR	SARAN	HEALTH SERVICES	2
SARAN	122	SONEPUR	SARAN	EDUCATION	3
SARAN	122	SONEPUR	SARAN	EMPLOYMENT GROWTH	3
SARAN	122	SONEPUR	SARAN	PUBLIC TRANSPORT	5
SARAN	122	SONEPUR	SARAN	LAW & ORDER	5
SARAN	122	SONEPUR	SARAN	CASTE POLARISTION	5
SARAN	122	SONEPUR	SARAN	COMMUNAL POLARISATION	2
SARAN	122	SONEPUR	SARAN	COMMUNAL POLARISATION	5
SARAN	114	MANJHI	MAHARAJGANJ	ELECTRICITY	4
SARAN	114	MANJHI	MAHARAJGANJ	WATER	4
SARAN	114	MANJHI	MAHARAJGANJ	ROAD	4
SARAN	114	MANJHI	MAHARAJGANJ	HEALTH SERVICES	4
SARAN	114	MANJHI	MAHARAJGANJ	EDUCATION	4
SARAN	114	MANJHI	MAHARAJGANJ	EMPLOYMENT GROWTH	3
SARAN	114	MANJHI	MAHARAJGANJ	PUBLIC TRANSPORT	4
SARAN	114	MANJHI	MAHARAJGANJ	LAW & ORDER	5
SARAN	114	MANJHI	MAHARAJGANJ	CASTE POLARISTION	5
SARAN	114	MANJHI	MAHARAJGANJ	COMMUNAL POLARISATION	1
SARAN	114	MANJHI	MAHARAJGANJ	COMMUNAL POLARISATION	5
SARAN	120	AMNOUR	SARAN	ELECTRICITY	4
SARAN	120	AMNOUR	SARAN	WATER	4
SARAN	120	AMNOUR	SARAN	ROAD	4
SARAN	120	AMNOUR	SARAN	HEALTH SERVICES	4
SARAN	120	AMNOUR	SARAN	EDUCATION	3
SARAN	120	AMNOUR	SARAN	EMPLOYMENT GROWTH	3
SARAN	120	AMNOUR	SARAN	PUBLIC TRANSPORT	5
SARAN	120	AMNOUR	SARAN	LAW & ORDER	6
SARAN	120	AMNOUR	SARAN	CASTE POLARISTION	2
SARAN	120	AMNOUR	SARAN	COMMUNAL POLARISATION	1
SARAN	120	AMNOUR	SARAN	COMMUNAL POLARISATION	5
SARAN	121	PARSA	SARAN	ELECTRICITY	4
SARAN	121	PARSA	SARAN	WATER	4
SARAN	121	PARSA	SARAN	ROAD	4
SARAN	121	PARSA	SARAN	HEALTH SERVICES	5
SARAN	121	PARSA	SARAN	EDUCATION	5
SARAN	121	PARSA	SARAN	EMPLOYMENT GROWTH	4
SARAN	121	PARSA	SARAN	PUBLIC TRANSPORT	5
SARAN	121	PARSA	SARAN	LAW & ORDER	5
SARAN	121	PARSA	SARAN	CASTE POLARISTION	4
SARAN	121	PARSA	SARAN	COMMUNAL POLARISATION	1
SARAN	121	PARSA	SARAN	COMMUNAL POLARISATION	4
SARAN	117	MARHAURA	SARAN	ELECTRICITY	4
SARAN	117	MARHAURA	SARAN	WATER	5
SARAN	117	MARHAURA	SARAN	ROAD	5
SARAN	117	MARHAURA	SARAN	HEALTH SERVICES	5
SARAN	117	MARHAURA	SARAN	EDUCATION	4
SARAN	117	MARHAURA	SARAN	EMPLOYMENT GROWTH	3
SARAN	117	MARHAURA	SARAN	PUBLIC TRANSPORT	4
SARAN	117	MARHAURA	SARAN	LAW & ORDER	6
SARAN	117	MARHAURA	SARAN	CASTE POLARISTION	5
SARAN	117	MARHAURA	SARAN	COMMUNAL POLARISATION	1
SARAN	117	MARHAURA	SARAN	COMMUNAL POLARISATION	5
SARAN	113	EKMA	MAHARAJGANJ	ELECTRICITY	4
SARAN	113	EKMA	MAHARAJGANJ	WATER	5
SARAN	113	EKMA	MAHARAJGANJ	ROAD	6
SARAN	113	EKMA	MAHARAJGANJ	HEALTH SERVICES	4
SARAN	113	EKMA	MAHARAJGANJ	EDUCATION	4
SARAN	113	EKMA	MAHARAJGANJ	EMPLOYMENT GROWTH	3
SARAN	113	EKMA	MAHARAJGANJ	PUBLIC TRANSPORT	4
SARAN	113	EKMA	MAHARAJGANJ	LAW & ORDER	6
SARAN	113	EKMA	MAHARAJGANJ	CASTE POLARISTION	4
SARAN	113	EKMA	MAHARAJGANJ	COMMUNAL POLARISATION	1
SARAN	113	EKMA	MAHARAJGANJ	COMMUNAL POLARISATION	5
SARAN	119	GARKHA	SARAN	ELECTRICITY	5
SARAN	119	GARKHA	SARAN	WATER	6
SARAN	119	GARKHA	SARAN	ROAD	5
SARAN	119	GARKHA	SARAN	HEALTH SERVICES	2
SARAN	119	GARKHA	SARAN	EDUCATION	2
SARAN	119	GARKHA	SARAN	EMPLOYMENT GROWTH	2
SARAN	119	GARKHA	SARAN	PUBLIC TRANSPORT	6
SARAN	119	GARKHA	SARAN	LAW & ORDER	5
SARAN	119	GARKHA	SARAN	CASTE POLARISTION	2
SARAN	119	GARKHA	SARAN	COMMUNAL POLARISATION	2
SARAN	119	GARKHA	SARAN	COMMUNAL POLARISATION	4
SARAN	118	CHAPRA	SARAN	ELECTRICITY	5
SARAN	118	CHAPRA	SARAN	WATER	4
SARAN	118	CHAPRA	SARAN	ROAD	4
SARAN	118	CHAPRA	SARAN	HEALTH SERVICES	5
SARAN	118	CHAPRA	SARAN	EDUCATION	5
SARAN	118	CHAPRA	SARAN	EMPLOYMENT GROWTH	6
SARAN	118	CHAPRA	SARAN	PUBLIC TRANSPORT	6
SARAN	118	CHAPRA	SARAN	LAW & ORDER	5
SARAN	118	CHAPRA	SARAN	CASTE POLARISTION	5
SARAN	118	CHAPRA	SARAN	COMMUNAL POLARISATION	5
SARAN	118	CHAPRA	SARAN	COMMUNAL POLARISATION	5
DARBHANGA	78	KUSHESHWAR ASTHAN	SAMASTIPUR	ELECTRICITY	3
DARBHANGA	78	KUSHESHWAR ASTHAN	SAMASTIPUR	WATER	3
DARBHANGA	78	KUSHESHWAR ASTHAN	SAMASTIPUR	ROAD	3
DARBHANGA	78	KUSHESHWAR ASTHAN	SAMASTIPUR	HEALTH SERVICES	3
DARBHANGA	78	KUSHESHWAR ASTHAN	SAMASTIPUR	EDUCATION	4
DARBHANGA	78	KUSHESHWAR ASTHAN	SAMASTIPUR	EMPLOYMENT GROWTH	5
DARBHANGA	78	KUSHESHWAR ASTHAN	SAMASTIPUR	PUBLIC TRANSPORT	4
DARBHANGA	78	KUSHESHWAR ASTHAN	SAMASTIPUR	LAW & ORDER	4
DARBHANGA	78	KUSHESHWAR ASTHAN	SAMASTIPUR	CASTE POLARISTION	5
DARBHANGA	78	KUSHESHWAR ASTHAN	SAMASTIPUR	COMMUNAL POLARISATION	5
DARBHANGA	78	KUSHESHWAR ASTHAN	SAMASTIPUR	COMMUNAL POLARISATION	4
DARBHANGA	79	GAURA BAURAM	DARBHANGA	ELECTRICITY	8
DARBHANGA	79	GAURA BAURAM	DARBHANGA	WATER	7
DARBHANGA	79	GAURA BAURAM	DARBHANGA	ROAD	3
DARBHANGA	79	GAURA BAURAM	DARBHANGA	HEALTH SERVICES	6
DARBHANGA	79	GAURA BAURAM	DARBHANGA	EDUCATION	7
DARBHANGA	79	GAURA BAURAM	DARBHANGA	EMPLOYMENT GROWTH	8
DARBHANGA	79	GAURA BAURAM	DARBHANGA	PUBLIC TRANSPORT	5
DARBHANGA	79	GAURA BAURAM	DARBHANGA	LAW & ORDER	6
DARBHANGA	79	GAURA BAURAM	DARBHANGA	CASTE POLARISTION	4
DARBHANGA	79	GAURA BAURAM	DARBHANGA	COMMUNAL POLARISATION	2
DARBHANGA	79	GAURA BAURAM	DARBHANGA	COMMUNAL POLARISATION	5
DARBHANGA	80	BENIPUR	DARBHANGA	ELECTRICITY	3
DARBHANGA	80	BENIPUR	DARBHANGA	WATER	4
DARBHANGA	80	BENIPUR	DARBHANGA	ROAD	4
DARBHANGA	80	BENIPUR	DARBHANGA	HEALTH SERVICES	4
DARBHANGA	80	BENIPUR	DARBHANGA	EDUCATION	5
DARBHANGA	80	BENIPUR	DARBHANGA	EMPLOYMENT GROWTH	5
DARBHANGA	80	BENIPUR	DARBHANGA	PUBLIC TRANSPORT	5
DARBHANGA	80	BENIPUR	DARBHANGA	LAW & ORDER	5
DARBHANGA	80	BENIPUR	DARBHANGA	CASTE POLARISTION	4
DARBHANGA	80	BENIPUR	DARBHANGA	COMMUNAL POLARISATION	6
DARBHANGA	80	BENIPUR	DARBHANGA	COMMUNAL POLARISATION	5
DARBHANGA	81	ALINAGAR	DARBHANGA	ELECTRICITY	3
DARBHANGA	81	ALINAGAR	DARBHANGA	WATER	6
DARBHANGA	81	ALINAGAR	DARBHANGA	ROAD	5
DARBHANGA	81	ALINAGAR	DARBHANGA	HEALTH SERVICES	5
DARBHANGA	81	ALINAGAR	DARBHANGA	EDUCATION	5
DARBHANGA	81	ALINAGAR	DARBHANGA	EMPLOYMENT GROWTH	5
DARBHANGA	81	ALINAGAR	DARBHANGA	PUBLIC TRANSPORT	5
DARBHANGA	81	ALINAGAR	DARBHANGA	LAW & ORDER	6
DARBHANGA	81	ALINAGAR	DARBHANGA	CASTE POLARISTION	5
DARBHANGA	81	ALINAGAR	DARBHANGA	COMMUNAL POLARISATION	6
DARBHANGA	81	ALINAGAR	DARBHANGA	COMMUNAL POLARISATION	5
DARBHANGA	82	DARBHANGA RURAL	DARBHANGA	ELECTRICITY	4
DARBHANGA	82	DARBHANGA RURAL	DARBHANGA	WATER	5
DARBHANGA	82	DARBHANGA RURAL	DARBHANGA	ROAD	6
DARBHANGA	82	DARBHANGA RURAL	DARBHANGA	HEALTH SERVICES	4
DARBHANGA	82	DARBHANGA RURAL	DARBHANGA	EDUCATION	5
DARBHANGA	82	DARBHANGA RURAL	DARBHANGA	EMPLOYMENT GROWTH	4
DARBHANGA	82	DARBHANGA RURAL	DARBHANGA	PUBLIC TRANSPORT	4
DARBHANGA	82	DARBHANGA RURAL	DARBHANGA	LAW & ORDER	4
DARBHANGA	82	DARBHANGA RURAL	DARBHANGA	CASTE POLARISTION	5
DARBHANGA	82	DARBHANGA RURAL	DARBHANGA	COMMUNAL POLARISATION	6
DARBHANGA	82	DARBHANGA RURAL	DARBHANGA	COMMUNAL POLARISATION	5
DARBHANGA	83	DARBHANGA	DARBHANGA	ELECTRICITY	4
DARBHANGA	83	DARBHANGA	DARBHANGA	WATER	6
DARBHANGA	83	DARBHANGA	DARBHANGA	ROAD	5
DARBHANGA	83	DARBHANGA	DARBHANGA	HEALTH SERVICES	5
DARBHANGA	83	DARBHANGA	DARBHANGA	EDUCATION	6
DARBHANGA	83	DARBHANGA	DARBHANGA	EMPLOYMENT GROWTH	5
DARBHANGA	83	DARBHANGA	DARBHANGA	PUBLIC TRANSPORT	5
DARBHANGA	83	DARBHANGA	DARBHANGA	LAW & ORDER	6
DARBHANGA	83	DARBHANGA	DARBHANGA	CASTE POLARISTION	5
DARBHANGA	83	DARBHANGA	DARBHANGA	COMMUNAL POLARISATION	6
DARBHANGA	83	DARBHANGA	DARBHANGA	COMMUNAL POLARISATION	6
DARBHANGA	84	HAYAGHAT	SAMASTIPUR	ELECTRICITY	3
DARBHANGA	84	HAYAGHAT	SAMASTIPUR	WATER	5
DARBHANGA	84	HAYAGHAT	SAMASTIPUR	ROAD	4
DARBHANGA	84	HAYAGHAT	SAMASTIPUR	HEALTH SERVICES	4
DARBHANGA	84	HAYAGHAT	SAMASTIPUR	EDUCATION	5
DARBHANGA	84	HAYAGHAT	SAMASTIPUR	EMPLOYMENT GROWTH	5
DARBHANGA	84	HAYAGHAT	SAMASTIPUR	PUBLIC TRANSPORT	5
DARBHANGA	84	HAYAGHAT	SAMASTIPUR	LAW & ORDER	5
DARBHANGA	84	HAYAGHAT	SAMASTIPUR	CASTE POLARISTION	6
DARBHANGA	84	HAYAGHAT	SAMASTIPUR	COMMUNAL POLARISATION	6
DARBHANGA	84	HAYAGHAT	SAMASTIPUR	COMMUNAL POLARISATION	6
DARBHANGA	85	BAHADURPUR	DARBHANGA	ELECTRICITY	3
DARBHANGA	85	BAHADURPUR	DARBHANGA	WATER	6
DARBHANGA	85	BAHADURPUR	DARBHANGA	ROAD	4
DARBHANGA	85	BAHADURPUR	DARBHANGA	HEALTH SERVICES	5
DARBHANGA	85	BAHADURPUR	DARBHANGA	EDUCATION	5
DARBHANGA	85	BAHADURPUR	DARBHANGA	EMPLOYMENT GROWTH	5
DARBHANGA	85	BAHADURPUR	DARBHANGA	PUBLIC TRANSPORT	4
DARBHANGA	85	BAHADURPUR	DARBHANGA	LAW & ORDER	5
DARBHANGA	85	BAHADURPUR	DARBHANGA	CASTE POLARISTION	4
DARBHANGA	85	BAHADURPUR	DARBHANGA	COMMUNAL POLARISATION	4
DARBHANGA	85	BAHADURPUR	DARBHANGA	COMMUNAL POLARISATION	5
DARBHANGA	86	KEOTI	MADHUBANI	ELECTRICITY	3
DARBHANGA	86	KEOTI	MADHUBANI	WATER	6
DARBHANGA	86	KEOTI	MADHUBANI	ROAD	3
DARBHANGA	86	KEOTI	MADHUBANI	HEALTH SERVICES	4
DARBHANGA	86	KEOTI	MADHUBANI	EDUCATION	5
DARBHANGA	86	KEOTI	MADHUBANI	EMPLOYMENT GROWTH	6
DARBHANGA	86	KEOTI	MADHUBANI	PUBLIC TRANSPORT	5
DARBHANGA	86	KEOTI	MADHUBANI	LAW & ORDER	4
DARBHANGA	86	KEOTI	MADHUBANI	CASTE POLARISTION	5
DARBHANGA	86	KEOTI	MADHUBANI	COMMUNAL POLARISATION	6
DARBHANGA	86	KEOTI	MADHUBANI	COMMUNAL POLARISATION	5
DARBHANGA	87	JALE	MADHUBANI	ELECTRICITY	4
DARBHANGA	87	JALE	MADHUBANI	WATER	5
DARBHANGA	87	JALE	MADHUBANI	ROAD	4
DARBHANGA	87	JALE	MADHUBANI	HEALTH SERVICES	5
DARBHANGA	87	JALE	MADHUBANI	EDUCATION	4
DARBHANGA	87	JALE	MADHUBANI	EMPLOYMENT GROWTH	5
DARBHANGA	87	JALE	MADHUBANI	PUBLIC TRANSPORT	4
DARBHANGA	87	JALE	MADHUBANI	LAW & ORDER	4
DARBHANGA	87	JALE	MADHUBANI	CASTE POLARISTION	7
DARBHANGA	87	JALE	MADHUBANI	COMMUNAL POLARISATION	7
