"ANNEURE.XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"16"	"5"	"MIDDLE SCHOOL CHAKIYA"	"2"	"102"	"84"	"7"	"3"	"102"	"1"	"1"	"4"	"3"	"5"	"314"	"0"	"314"	"0"
"17"	"6"	"PRIMARY SCHOOL NAWADIH"	"9"	"41"	"17"	"1"	"4"	"148"	"0"	"0"	"1"	"2"	"45"	"268"	"0"	"268"	"0"
"18"	"7"	"PRIMARY SCHOOL FATEHPUR"	"14"	"88"	"17"	"4"	"6"	"222"	"10"	"5"	"14"	"6"	"26"	"412"	"0"	"412"	"0"
"19"	"8"	"KANYA SCHOOL SIKARAUL"	"111"	"11"	"84"	"1"	"3"	"203"	"1"	"2"	"2"	"1"	"29"	"448"	"0"	"448"	"0"
"20"	"9"	"MIDDLE SCHOOL SIKARAUL(WEST PART)"	"23"	"87"	"30"	"4"	"5"	"237"	"15"	"4"	"3"	"4"	"2"	"414"	"0"	"414"	"0"
"21"	"10"	"MAKHTAB LABNA"	"30"	"24"	"96"	"4"	"3"	"229"	"7"	"6"	"9"	"4"	"18"	"430"	"0"	"430"	"0"
"22"	"11"	"LIBRERY PATKHAULI"	"5"	"144"	"49"	"2"	"2"	"255"	"1"	"1"	"3"	"0"	"5"	"467"	"0"	"467"	"0"
"23"	"12"	"PRIMARY SCHOOL NIRBHAY DIHARA"	"29"	"14"	"52"	"0"	"4"	"211"	"1"	"2"	"5"	"3"	"53"	"374"	"0"	"374"	"0"
"24"	"13"	"PRIMARY SCHOOL BASAURI(NORTH PART)"	"14"	"5"	"63"	"0"	"2"	"46"	"0"	"0"	"0"	"0"	"14"	"144"	"0"	"144"	"0"
"25"	"14"	"PRIMARY SCHOOL BASAURI(SOUTH PART)"	"8"	"54"	"21"	"5"	"7"	"243"	"15"	"4"	"2"	"3"	"12"	"374"	"0"	"374"	"0"
"26"	"15"	"PRIMARY SCHOOL SEDAHAN"	"10"	"37"	"40"	"0"	"3"	"179"	"0"	"1"	"0"	"0"	"5"	"275"	"0"	"275"	"0"
"27"	"16"	"MIDDLE SCHOOL SEDAHAN"	"2"	"22"	"66"	"0"	"0"	"56"	"1"	"0"	"1"	"1"	"1"	"150"	"0"	"150"	"0"
"28"	"No. of Polling Station"	"Name of Polling Stations"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"29"	""	""	"NAGENDRA KUMAR VIKAL"	"RAMBABU PASWAN"	"SHAKUNTA LA DEVI"	"SHAILENDR A KUAMR"	"CHINTA DEVI"	"RAM NARESH RAM"	"RAM BRIJH RAM"	"VIJAY KUMAR"	"UPENDRA KUMAR"	"RAM LAGAN LAL"	"LAL BABU"	""	""	""	""
"30"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"31"	"17"	"PRIMARY SCHOOL KOSHDIHRA"	"12"	"118"	"40"	"0"	"4"	"50"	"0"	"0"	"2"	"0"	"0"	"226"	"0"	"226"	"0"
"32"	"18"	"SAHKARITA GODAM SEDAHAN"	"6"	"70"	"58"	"8"	"8"	"269"	"10"	"6"	"6"	"2"	"9"	"452"	"0"	"452"	"0"
"33"	"19"	"HIGH SCHOOL SEDAHAN"	"5"	"61"	"15"	"1"	"3"	"118"	"1"	"1"	"6"	"2"	"2"	"215"	"0"	"215"	"0"
"34"	"20"	"PRIMARY SCHOOL RAMNAGAR"	"50"	"145"	"51"	"3"	"11"	"270"	"7"	"6"	"7"	"7"	"26"	"583"	"0"	"583"	"0"
"35"	"21"	"MIDDLE SCHOOL BELDIHARI"	"14"	"37"	"86"	"10"	"4"	"116"	"2"	"1"	"7"	"5"	"9"	"291"	"0"	"291"	"0"
"36"	"22"	"PRIMARY SCHOOL JETHWAR(EAST PART)"	"14"	"183"	"44"	"5"	"3"	"149"	"4"	"5"	"4"	"7"	"16"	"434"	"0"	"434"	"0"
"37"	"23"	"PRIMARY SCHOOL JETHWAR(WEST PART)"	"13"	"69"	"16"	"3"	"1"	"348"	"6"	"4"	"5"	"0"	"4"	"469"	"0"	"469"	"0"
"38"	"24"	"PRIMARY SCHOOL GAHARUA"	"22"	"23"	"20"	"1"	"7"	"144"	"7"	"5"	"4"	"5"	"93"	"331"	"0"	"331"	"0"
"39"	"25"	"PRIMARY SCHOOL AMHARUAN"	"10"	"19"	"42"	"2"	"7"	"154"	"13"	"6"	"10"	"2"	"51"	"316"	"0"	"316"	"0"
"40"	"26"	"PRIMARY SCHOOL HARADIYA"	"15"	"163"	"23"	"4"	"6"	"178"	"12"	"16"	"9"	"8"	"36"	"470"	"0"	"470"	"0"
"41"	"27"	"PRIMARY SCHOOL BAGSANDA"	"7"	"215"	"85"	"5"	"0"	"80"	"3"	"1"	"2"	"0"	"7"	"405"	"0"	"405"	"0"
"42"	"28"	"MIDDLE SCHOOL, SARA (EAST PART)"	"4"	"5"	"75"	"1"	"0"	"201"	"2"	"2"	"1"	"0"	"2"	"293"	"0"	"293"	"0"
"43"	"29"	"PRIMARY MIDDLE SCHOOL SARA (WEST PART)"	"1"	"176"	"32"	"1"	"2"	"49"	"1"	"2"	"1"	"2"	"0"	"267"	"0"	"267"	"0"
"44"	"30"	"PRIMARY SCHOOL KUSUMAHI"	"12"	"16"	"65"	"42"	"3"	"200"	"1"	"1"	"6"	"1"	"46"	"393"	"0"	"393"	"0"
"45"	"31"	"HIGH SCHOOL, ITIMHA"	"14"	"77"	"55"	"0"	"0"	"145"	"0"	"0"	"1"	"0"	"0"	"292"	"0"	"292"	"0"
"46"	"32"	"PRIMARY SCHOOL SHANKARDIH"	"6"	"82"	"15"	"0"	"3"	"371"	"1"	"3"	"1"	"2"	"89"	"573"	"0"	"573"	"0"
"47"	"33"	"PRIMARY SCHOOL KHARAUNA"	"39"	"109"	"348"	"6"	"0"	"13"	"0"	"4"	"12"	"0"	"0"	"531"	"0"	"531"	"0"
"48"	"34"	"PRIMARY SCHOOL AKRAUNJ"	"6"	"54"	"87"	"4"	"3"	"89"	"2"	"0"	"1"	"1"	"3"	"250"	"0"	"250"	"0"
"49"	"35"	"PRIMARY SCHOOL SARFORA"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"0"
"50"	"36"	"PRIMARY SCHOOL DHAMNA"	"8"	"12"	"74"	"1"	"6"	"226"	"0"	"0"	"0"	"0"	"3"	"330"	"0"	"330"	"0"
"51"	"37"	"PRIMARY SCHOOL MALWEY"	"36"	"349"	"121"	"3"	"3"	"118"	"1"	"1"	"4"	"2"	"4"	"642"	"0"	"642"	"0"
"52"	"38"	"PRIMARY SCHOOL PADARIYA"	"43"	"70"	"6"	"12"	"3"	"69"	"7"	"2"	"3"	"1"	"3"	"219"	"0"	"219"	"0"
"53"	"39"	"MIDDLE SCHOOL BHAKURA(NORTH PART)"	"27"	"4"	"17"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"50"	"0"	"50"	"0"
"54"	"40"	"MIDDLE SCHOOL BHAKURA(SOUTH PART)"	"2"	"11"	"33"	"0"	"3"	"61"	"0"	"0"	"3"	"0"	"1"	"114"	"0"	"114"	"0"
"55"	"41"	"PRIMARY SCHOOL KARATH(EAST PART)"	"14"	"28"	"209"	"0"	"4"	"338"	"3"	"3"	"0"	"0"	"1"	"600"	"0"	"600"	"0"
"56"	"42"	"MIDDLE SCHOOL KARATH(WEST PART)"	"7"	"10"	"475"	"94"	"3"	"100"	"3"	"0"	"8"	"6"	"7"	"713"	"0"	"713"	"0"
"57"	"No. of Polling Station"	"Name of Polling Stations"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"58"	""	""	"NAGENDRA KUMAR VIKAL"	"RAMBABU PASWAN"	"SHAKUNTA LA DEVI"	"SHAILENDR A KUAMR"	"CHINTA DEVI"	"RAM NARESH RAM"	"RAM BRIJH RAM"	"VIJAY KUMAR"	"UPENDRA KUMAR"	"RAM LAGAN LAL"	"LAL BABU"	""	""	""	""
"59"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"60"	"43"	"MIDDLE SCHOOL KARATH(EAST PART)"	"14"	"4"	"190"	"1"	"2"	"197"	"5"	"1"	"6"	"5"	"10"	"435"	"0"	"435"	"0"
"61"	"44"	"PRIMARY SCHOOL KARATH(WEST PART)"	"3"	"109"	"165"	"2"	"0"	"107"	"4"	"1"	"2"	"2"	"6"	"401"	"0"	"401"	"0"
"62"	"45"	"PRIMARY SCHOOL DILIYAN"	"6"	"217"	"12"	"4"	"5"	"4"	"2"	"2"	"5"	"8"	"19"	"284"	"0"	"284"	"0"
"63"	"46"	"PRIMARY SCHOOL DURGAPUR"	"13"	"236"	"14"	"1"	"0"	"1"	"2"	"2"	"1"	"2"	"3"	"275"	"0"	"275"	"0"
"64"	"47"	"PRIMARY SCHOOL MAHADEO PUR"	"9"	"223"	"23"	"8"	"5"	"212"	"6"	"4"	"11"	"9"	"20"	"530"	"0"	"530"	"0"
"65"	"48"	"MIDDLE SCHOOL TARARI(EAST PART)"	"8"	"27"	"172"	"5"	"3"	"105"	"2"	"3"	"7"	"2"	"8"	"342"	"0"	"342"	"0"
"66"	"49"	"MIDDLE SCHOOL TARARI(WEST PART)"	"52"	"153"	"75"	"6"	"6"	"303"	"15"	"4"	"10"	"6"	"8"	"638"	"0"	"638"	"0"
"67"	"50"	"PRIMARY SCHOOL PANPURA"	"27"	"54"	"138"	"4"	"0"	"152"	"1"	"1"	"0"	"0"	"1"	"378"	"0"	"378"	"0"
"68"	"51"	"PRIMARY SCHOOL BANDHWA"	"27"	"47"	"22"	"25"	"9"	"406"	"29"	"19"	"35"	"7"	"31"	"657"	"0"	"657"	"0"
"69"	"52"	"PRIMARY SCHOOL SAIDANPUR"	"25"	"189"	"16"	"4"	"3"	"143"	"3"	"2"	"4"	"3"	"8"	"400"	"0"	"400"	"0"
"70"	"53"	"PRIMARY SCHOOL BIHTA(WEST PART)"	"14"	"53"	"52"	"7"	"5"	"473"	"13"	"8"	"14"	"5"	"39"	"683"	"0"	"683"	"0"
"71"	"54"	"HIGH SCHOOL BIHTA(NORTH PART )"	"3"	"9"	"436"	"4"	"3"	"98"	"2"	"1"	"1"	"4"	"17"	"578"	"0"	"578"	"0"
"72"	"55"	"HIGH SCHOOL BIHTA (SOUTH PART)"	"8"	"4"	"119"	"4"	"6"	"270"	"12"	"12"	"12"	"8"	"46"	"501"	"0"	"501"	"0"
"73"	"56"	"PRIMARY SCHOOL DHARMPURA"	"10"	"26"	"86"	"1"	"1"	"129"	"2"	"0"	"2"	"1"	"0"	"258"	"0"	"258"	"0"
"74"	"57"	"PRIMARY SCHOOL BIHTA ENGLISH"	"8"	"305"	"4"	"1"	"2"	"134"	"2"	"1"	"4"	"1"	"4"	"466"	"0"	"466"	"0"
"75"	"58"	"HIGH SCHOOL BARKA GAON(NORTH PART)"	"25"	"29"	"128"	"11"	"5"	"239"	"10"	"3"	"9"	"5"	"14"	"478"	"0"	"478"	"0"
"76"	"59"	"HIGH SCHOOL BARKA GAON(SOUTH PART)"	"18"	"12"	"112"	"1"	"2"	"136"	"5"	"4"	"4"	"2"	"2"	"298"	"0"	"298"	"0"
"77"	"60"	"MIDDLE SCHOOL BARKA GAON BOYS (WEST PART"	"11"	"16"	"142"	"2"	"9"	"233"	"11"	"4"	"9"	"5"	"8"	"450"	"0"	"450"	"0"
"78"	"61"	"PANCHAYAT BHAWAN BARKA GAON"	"13"	"116"	"28"	"4"	"9"	"222"	"12"	"11"	"8"	"8"	"28"	"459"	"0"	"459"	"0"
"79"	"62"	"MIDDLE SCHOOL BHADSERA"	"16"	"26"	"27"	"2"	"7"	"304"	"9"	"1"	"1"	"7"	"67"	"467"	"0"	"467"	"0"
"80"	"63"	"MIDDLE SCHOOL DUMARIYA (EAST PART )"	"18"	"57"	"17"	"4"	"3"	"188"	"2"	"2"	"5"	"3"	"17"	"316"	"0"	"316"	"0"
"81"	"64"	"MIDDLE SCHOOL DUMARIYA (WEST PART )"	"4"	"4"	"45"	"6"	"3"	"123"	"5"	"0"	"2"	"3"	"34"	"229"	"0"	"229"	"0"
"82"	"65"	"PRIMARY SCHOOL DHANGAWAN (EAST PART)"	"8"	"29"	"137"	"1"	"5"	"110"	"1"	"2"	"3"	"4"	"43"	"343"	"0"	"343"	"0"
"83"	"66"	"PRIMARY SCHOOL DHANGAWAN(WEST PART)"	"6"	"107"	"46"	"7"	"11"	"272"	"3"	"2"	"3"	"3"	"14"	"474"	"0"	"474"	"0"
"84"	"67"	"PRIMARY SCHOOL KAPURDIHRA"	"11"	"76"	"17"	"2"	"5"	"329"	"10"	"4"	"7"	"3"	"26"	"490"	"0"	"490"	"0"
"85"	"68"	"PRIMARY SCHOOL DHARMDAS DIHRA"	"3"	"21"	"10"	"2"	"2"	"179"	"7"	"5"	"0"	"4"	"20"	"253"	"0"	"253"	"0"
"86"	"No. of Polling Station"	"Name of Polling Stations"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"87"	""	""	"NAGENDRA KUMAR VIKAL"	"RAMBABU PASWAN"	"SHAKUNTA LA DEVI"	"SHAILENDR A KUAMR"	"CHINTA DEVI"	"RAM NARESH RAM"	"RAM BRIJH RAM"	"VIJAY KUMAR"	"UPENDRA KUMAR"	"RAM LAGAN LAL"	"LAL BABU"	""	""	""	""
"88"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"89"	"69"	"SANSKRIT SCHOOL ITAHURI"	"19"	"0"	"41"	"1"	"2"	"129"	"0"	"1"	"2"	"1"	"38"	"234"	"0"	"234"	"0"
"90"	"70"	"PRIMARY SCHOOL RANNI"	"6"	"110"	"15"	"0"	"8"	"124"	"2"	"5"	"0"	"6"	"33"	"309"	"0"	"309"	"0"
"91"	"71"	"PRIMARY SCHOOL DEO(SOUTH PART)"	"11"	"70"	"37"	"52"	"16"	"240"	"7"	"4"	"13"	"6"	"14"	"470"	"0"	"470"	"0"
"92"	"72"	"PRIMARY SCHOOL DEO(NORTH PART)"	"23"	"130"	"48"	"19"	"1"	"244"	"4"	"6"	"4"	"3"	"20"	"502"	"0"	"502"	"0"
"93"	"73"	"MIDDLE SCHOOL CHANDA(NORTH PART)"	"9"	"7"	"115"	"1"	"3"	"107"	"6"	"3"	"3"	"0"	"18"	"272"	"0"	"272"	"0"
"94"	"74"	"MIDDLE SCHOOL CHANDA(SOUTH PART)"	"24"	"36"	"100"	"2"	"9"	"121"	"5"	"8"	"13"	"14"	"31"	"363"	"0"	"363"	"0"
"95"	"75"	"URDU PRIMARY SCHOOL KURMURI(NORTH PART)"	"6"	"8"	"4"	"2"	"3"	"201"	"6"	"2"	"5"	"1"	"30"	"268"	"0"	"268"	"0"
"96"	"76"	"URDU PRIMARY SCHOOL KURMURI(SOUTH PART)"	"4"	"0"	"2"	"1"	"1"	"138"	"4"	"3"	"2"	"3"	"165"	"323"	"0"	"323"	"0"
"97"	"77"	"PRIMARY SCHOOL KURMURI(WEST PART)"	"8"	"0"	"4"	"0"	"5"	"0"	"2"	"0"	"1"	"5"	"369"	"394"	"0"	"394"	"0"
"98"	"78"	"MIDDLE SCHOOL KURMURI (SOUTH PART)"	"21"	"37"	"8"	"7"	"11"	"172"	"11"	"3"	"21"	"9"	"138"	"438"	"0"	"438"	"0"
"99"	"79"	"HIGH SCHOOL SIKRAHTTA (EAST BHAWAN SOUTH"	"23"	"89"	"76"	"9"	"8"	"429"	"13"	"7"	"6"	"9"	"19"	"688"	"0"	"688"	"0"
"100"	"80"	"HIGH SCHOOL SIKRAHTTA (WEST BHAWAN NORT"	"H          29"	"61"	"99"	"6"	"3"	"248"	"7"	"7"	"1"	"1"	"4"	"466"	"0"	"466"	"0"
"101"	"81"	"MIDDLE SCHOOL SIKRAHTTAKALA (EAST PART)"	"8"	"60"	"96"	"9"	"5"	"143"	"5"	"4"	"2"	"1"	"11"	"344"	"0"	"344"	"0"
"102"	"82"	"URDU SCHOOL SIKRAHTTA KHURD(EAST PART)"	"72"	"45"	"54"	"1"	"4"	"154"	"4"	"2"	"2"	"3"	"11"	"352"	"0"	"352"	"0"
"103"	"83"	"URDU PRIMARY SCHOOL SIKRAHTTA KHURD(WES"	"21"	"78"	"17"	"0"	"2"	"136"	"4"	"3"	"2"	"3"	"3"	"269"	"0"	"269"	"0"
"104"	"84"	"MIDDLE SCHOOL SIKRAHTTAKALA(WEST PART)"	"4"	"73"	"17"	"0"	"3"	"166"	"5"	"3"	"4"	"6"	"5"	"286"	"0"	"286"	"0"
"105"	"85"	"PANCHAYAT BHAWAN BAGAR(NORTH PART)"	"41"	"6"	"44"	"3"	"5"	"318"	"12"	"4"	"8"	"5"	"109"	"555"	"0"	"555"	"0"
"106"	"86"	"PANCHAYAT BHAWAN BAGAR(SOURTH PART)"	"79"	"21"	"57"	"1"	"6"	"102"	"3"	"5"	"4"	"3"	"46"	"327"	"0"	"327"	"0"
"107"	"87"	"JANTA HITAISI LIBRERY BAGAR"	"16"	"8"	"28"	"4"	"13"	"217"	"17"	"4"	"12"	"10"	"176"	"505"	"0"	"505"	"0"
"108"	"88"	"PRIMARY SCHOOL DARIDIH(EAST PART)"	"10"	"54"	"50"	"3"	"6"	"347"	"2"	"4"	"3"	"2"	"35"	"516"	"0"	"516"	"0"
"109"	"89"	"PRMIARY SCHOOL DARIDEE (WEST PART)"	"4"	"56"	"3"	"0"	"4"	"172"	"10"	"1"	"4"	"1"	"3"	"258"	"0"	"258"	"0"
"110"	"90"	"PRIMARY SCHOOL BSARA"	"21"	"31"	"116"	"7"	"7"	"205"	"9"	"9"	"13"	"16"	"61"	"495"	"0"	"495"	"0"
"111"	"91"	"URDU PRIMARY SCHOOL PANWARI"	"13"	"13"	"22"	"6"	"3"	"283"	"9"	"6"	"3"	"0"	"31"	"389"	"0"	"389"	"0"
"112"	"92"	"HRIJAN PRIMARY SCHOOL PANWARI"	"21"	"4"	"31"	"1"	"4"	"431"	"11"	"8"	"5"	"1"	"68"	"585"	"0"	"585"	"0"
"113"	"93"	"MIDIL SCHOOL KUTHA"	"7"	"24"	"113"	"2"	"1"	"447"	"4"	"1"	"0"	"0"	"0"	"599"	"0"	"599"	"0"
"114"	"94"	"PRIMARY SCHOOL MOAAPKALA"	"19"	"31"	"164"	"13"	"7"	"202"	"7"	"2"	"3"	"4"	"5"	"457"	"0"	"457"	"0"
"115"	"No. of Polling Station"	"Name of Polling Stations"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"116"	""	""	"NAGENDRA KUMAR VIKAL"	"RAMBABU PASWAN"	"SHAKUNTA LA DEVI"	"SHAILENDR A KUAMR"	"CHINTA DEVI"	"RAM NARESH RAM"	"RAM BRIJH RAM"	"VIJAY KUMAR"	"UPENDRA KUMAR"	"RAM LAGAN LAL"	"LAL BABU"	""	""	""	""
"117"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"118"	"95"	"PANCHYAT BHAVAN MOAAPKLA"	"53"	"7"	"63"	"4"	"4"	"157"	"4"	"4"	"6"	"3"	"5"	"310"	"0"	"310"	"0"
"119"	"96"	"PRIMARY SCHOOL MOAAPKALA KANAYA"	"40"	"4"	"14"	"2"	"7"	"240"	"6"	"5"	"4"	"2"	"2"	"326"	"0"	"326"	"0"
"120"	"97"	"PRIMARY SCHOOL VISHMBERPUR"	"21"	"36"	"103"	"24"	"4"	"288"	"11"	"9"	"8"	"0"	"4"	"508"	"0"	"508"	"0"
"121"	"98"	"PRIMARY SCHOOL VARSEE"	"17"	"317"	"11"	"14"	"3"	"127"	"6"	"1"	"2"	"1"	"2"	"501"	"0"	"501"	"0"
"122"	"99"	"PRIMARY SCHOOL SAVNA"	"14"	"31"	"68"	"0"	"1"	"82"	"1"	"0"	"0"	"0"	"120"	"317"	"0"	"317"	"0"
"123"	"100"	"PRIMARY SCHOOL BARAI"	"55"	"9"	"130"	"2"	"3"	"180"	"1"	"1"	"2"	"2"	"38"	"423"	"0"	"423"	"0"
"124"	"101"	"PRIMARY SCHOOL NARAYANPUR"	"1"	"35"	"1"	"3"	"0"	"268"	"0"	"0"	"0"	"0"	"0"	"308"	"0"	"308"	"0"
"125"	"102"	"PRIMARY SCHOOL SAHIYARA"	"7"	"106"	"41"	"2"	"8"	"355"	"14"	"8"	"10"	"7"	"14"	"572"	"0"	"572"	"0"
"126"	"103"	"PRIMARY SCHOOL MOAP KHURD(EAST PART)"	"1"	"2"	"1"	"0"	"2"	"386"	"0"	"0"	"0"	"0"	"6"	"398"	"0"	"398"	"0"
"127"	"104"	"PRIMARY SCHOOL MOAAPKHURUD WEST PRAT"	"14"	"91"	"11"	"5"	"6"	"161"	"4"	"2"	"1"	"2"	"3"	"300"	"0"	"300"	"0"
"128"	"105"	"MIDDLE SCHOOL IAMADUPAR"	"32"	"105"	"274"	"3"	"6"	"242"	"6"	"3"	"11"	"5"	"24"	"711"	"0"	"711"	"0"
"129"	"106"	"PRIMARY SCHOOL IAMADUPAR"	"7"	"2"	"25"	"27"	"6"	"245"	"9"	"7"	"9"	"3"	"21"	"361"	"0"	"361"	"0"
"130"	"107"	"MIDDLE SCHOOL VISHNUPURA"	"6"	"43"	"109"	"2"	"2"	"145"	"1"	"4"	"2"	"0"	"5"	"319"	"0"	"319"	"0"
"131"	"108"	"PRIMARY SCHOOL VISHNUPURA"	"7"	"19"	"28"	"3"	"17"	"431"	"31"	"10"	"12"	"5"	"20"	"583"	"0"	"583"	"0"
"132"	"109"	"PRIMARY SCHOOL RAJPUR"	"0"	"72"	"80"	"0"	"1"	"427"	"0"	"0"	"0"	"0"	"0"	"580"	"0"	"580"	"0"
"133"	"110"	"SANKARIT HIGH SCHOOL ANDHARI(NORTH PART)"	"11"	"30"	"86"	"9"	"15"	"269"	"5"	"4"	"10"	"4"	"81"	"524"	"0"	"524"	"0"
"134"	"111"	"SHINKRIT HIGH SCHOOL ANDHARI(SOUTHPART)"	"14"	"27"	"43"	"2"	"5"	"293"	"10"	"9"	"7"	"6"	"18"	"434"	"0"	"434"	"0"
"135"	"112"	"MIDDLE SCHOOL FATEHPUR"	"13"	"15"	"62"	"6"	"10"	"286"	"16"	"4"	"5"	"5"	"152"	"574"	"0"	"574"	"0"
"136"	"113"	"PRIMARY SCHOOL DHARAMPUR"	"4"	"13"	"15"	"0"	"3"	"111"	"2"	"1"	"171"	"0"	"25"	"345"	"0"	"345"	"0"
"137"	"114"	"PRIMARY SCHOOL OJHWALIYA"	"43"	"14"	"25"	"81"	"7"	"208"	"7"	"3"	"6"	"2"	"2"	"398"	"0"	"398"	"0"
"138"	"115"	"PRIMARY SCHOOL HARPUR"	"21"	"7"	"31"	"11"	"6"	"222"	"5"	"5"	"4"	"3"	"6"	"321"	"0"	"321"	"0"
"139"	"116"	"PRIMARY SCHOOL JANPURIYA"	"12"	"113"	"29"	"7"	"1"	"292"	"7"	"2"	"2"	"4"	"5"	"474"	"0"	"474"	"0"
"140"	"117"	"PRIMARY URDU SCHOOL KOOLODEHARI(NORTH P"	"15"	"77"	"24"	"3"	"5"	"244"	"6"	"3"	"5"	"56"	"3"	"441"	"0"	"441"	"0"
"141"	"118"	"PRIMARY URDE VSCHOOL KOOLODIHARI(SOUTH P"	"19"	"27"	"15"	"2"	"2"	"293"	"7"	"2"	"5"	"11"	"1"	"384"	"0"	"384"	"0"
"142"	"119"	"PRIMARY SCHOOL KOOLODIHARI POLISH CAMPS"	"9"	"66"	"8"	"5"	"4"	"527"	"10"	"1"	"4"	"6"	"11"	"651"	"0"	"651"	"0"
"143"	"120"	"URDU MAKHTAB CHTRAPURA"	"4"	"21"	"1"	"1"	"0"	"661"	"1"	"0"	"0"	"0"	"1"	"690"	"0"	"690"	"0"
"144"	"No. of Polling Station"	"Name of Polling Stations"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"145"	""	""	"NAGENDRA KUMAR VIKAL"	"RAMBABU PASWAN"	"SHAKUNTA LA DEVI"	"SHAILENDR A KUAMR"	"CHINTA DEVI"	"RAM NARESH RAM"	"RAM BRIJH RAM"	"VIJAY KUMAR"	"UPENDRA KUMAR"	"RAM LAGAN LAL"	"LAL BABU"	""	""	""	""
"146"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
