"fuokZpuksa..dk..lapkyu..fu.e...1961"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"1"	"ºdkuwuh  fu;e  vkSj  vkns'kΩ  øiz:i  20¿"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"øfu;e  56  º7Ω  nsf[k,¿"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"vafre ifj.kke&i="	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"ºvf/klwfpr ernku dsUnzksa ls fHkÈ ernku dsUnzksa ij ernku dk ifj.kke vfHkfyf[kr djus ds fy, mi;ksx esa yk;k tk,Ω"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"150  &  Hkkxyiqj  fo/kku  LkHkk  {kss=  ds  fy,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Hkkx   1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"º lalnh; vkSj fo/kku lHkk nkssuksa fuokZpuksa ds fy, mi;ksx esa yk;k tk,Ω"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k ------------------------------------------------------------------------"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"fo/kku lHkk [kaM dk uke ºlalnh; fuokZpu {ks= ls fuokZpu dh n'kk esa --------------------------------------------------------------------"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"ernku dsUnz dh
ÿe la0"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k ;ksx"	"fuosfnŸk erksa dh la[;k"
"24"	"12"	"307"	"8"	"1"	"240"	"3"	"0"	"0"	"1"	"0"	"1"	"1"	"562"	""	""
"25"	"13"	"253"	"4"	"1"	"181"	"1"	"2"	"1"	"0"	"0"	"1"	"9"	"453"	""	""
"26"	"14"	"127"	"284"	"11"	"62"	"3"	"0"	"3"	"1"	"1"	"0"	"8"	"500"	""	""
"27"	";ksx &"	"2683"	"2568"	"82"	"2198"	"44"	"27"	"34"	"21"	"35"	"38"	"104"	"7834"	""	""
"28"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"30"	"ernku dsUnz dh
ÿe la0"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k ;ksx"	"fuosfnŸk erksa dh la[;k"
"31"	""	"vthr 'kekZ"	"vf'ouh dqekj pkScs"	"izrki lkg"	"kaHkqn;ky [ksrku"	",l vln bdcky"	"ukxjey cktksfj;k /kM+rhidM+"	"kSysUnz dqekj 'kekZ"	"müke dqekj jk;"	"izHkkdj 'kekZ"	"jkds'k dqekj nqcs"	"kkjnk uUnu iksnkj"	""	""	""
"32"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"33"	"15"	"26"	"151"	"4"	"196"	"3"	"2"	"0"	"2"	"2"	"2"	"4"	"392"	""	""
"34"	"16"	"194"	"51"	"1"	"85"	"1"	"0"	"0"	"0"	"0"	"1"	"4"	"337"	""	""
"35"	"17"	"85"	"275"	"0"	"16"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"377"	""	""
"36"	"18"	"98"	"199"	"0"	"11"	"3"	"3"	"2"	"0"	"0"	"1"	"0"	"317"	""	""
"37"	"19"	"43"	"424"	"5"	"30"	"1"	"0"	"0"	"3"	"0"	"4"	"4"	"514"	""	""
"38"	"20"	"261"	"175"	"3"	"38"	"3"	"2"	"2"	"2"	"2"	"2"	"13"	"503"	""	""
"39"	"21"	"314"	"67"	"2"	"18"	"0"	"0"	"1"	"0"	"1"	"0"	"6"	"409"	""	""
"40"	"22"	"413"	"82"	"1"	"64"	"1"	"3"	"1"	"3"	"1"	"2"	"13"	"584"	""	""
"41"	"23"	"414"	"117"	"3"	"103"	"2"	"2"	"1"	"1"	"1"	"2"	"11"	"657"	""	""
"42"	"24"	"250"	"219"	"3"	"211"	"4"	"0"	"1"	"0"	"0"	"2"	"0"	"690"	""	""
"43"	"25"	"92"	"253"	"6"	"144"	"2"	"2"	"3"	"0"	"1"	"2"	"10"	"515"	""	""
"44"	"26"	"94"	"313"	"1"	"30"	"1"	"1"	"0"	"0"	"0"	"0"	"3"	"443"	""	""
"45"	"27"	"161"	"283"	"6"	"16"	"3"	"2"	"1"	"0"	"1"	"2"	"7"	"482"	""	""
"46"	"28"	"124"	"165"	"5"	"56"	"0"	"2"	"2"	"0"	"1"	"1"	"5"	"361"	""	""
"47"	";ksx  &"	"2569"	"2774"	"40"	"1018"	"25"	"19"	"14"	"11"	"10"	"21"	"80"	"6581"	""	""
"48"	"xr  Ik`\"B  dk  ;ksx&"	"2683"	"2568"	"82"	"2198"	"44"	"27"	"34"	"21"	"35"	"38"	"104"	"7834"	""	""
"49"	"dqy  ;ksx  &"	"5252"	"5342"	"122"	"3216"	"69"	"46"	"48"	"32"	"45"	"59"	"184"	"14415"	""	""
"50"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"51"	"ernku dsUnz dh
ÿe la0"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k ;ksx"	"fuosfnŸk erksa dh la[;k"
"52"	""	"vthr 'kekZ"	"vf'ouh dqekj pkScs"	"izrki lkg"	"'kaHkqn;ky [ksrku"	",l vln bdcky"	"ukxjey cktksfj;k /kM+rhidM+"	"kSysUnz dqekj 'kekZ"	"müke dqekj jk;"	"izHkkdj 'kekZ"	"jkds'k dqekj nqcs"	"'kkjnk uUnu iksnkj"	""	""	""
"53"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"54"	"29"	"362"	"121"	"4"	"84"	"1"	"3"	"1"	"0"	"1"	"2"	"3"	"582"	""	""
"55"	"30"	"305"	"91"	"23"	"80"	"4"	"3"	"1"	"4"	"2"	"4"	"9"	"526"	""	""
"56"	"31"	"157"	"7"	"3"	"454"	"9"	"6"	"2"	"7"	"0"	"2"	"10"	"657"	""	""
"57"	"32"	"200"	"6"	"2"	"240"	"8"	"1"	"3"	"10"	"4"	"0"	"13"	"487"	""	""
"58"	"33"	"161"	"215"	"4"	"43"	"1"	"1"	"3"	"0"	"2"	"4"	"8"	"442"	""	""
"59"	"34"	"254"	"151"	"4"	"228"	"3"	"0"	"2"	"3"	"4"	"3"	"6"	"658"	""	""
"60"	"35"	"366"	"33"	"0"	"94"	"2"	"1"	"0"	"1"	"0"	"1"	"3"	"501"	""	""
"61"	"36"	"125"	"256"	"15"	"131"	"2"	"5"	"8"	"3"	"6"	"7"	"23"	"581"	""	""
"62"	"37"	"36"	"180"	"9"	"278"	"7"	"4"	"4"	"7"	"5"	"4"	"7"	"541"	""	""
"63"	"38"	"236"	"14"	"5"	"349"	"10"	"3"	"4"	"2"	"2"	"1"	"9"	"635"	""	""
"64"	"39"	"192"	"159"	"5"	"215"	"8"	"10"	"6"	"2"	"2"	"2"	"7"	"608"	""	""
"65"	"40"	"128"	"137"	"10"	"315"	"6"	"10"	"5"	"4"	"10"	"2"	"9"	"636"	""	""
"66"	"41"	"172"	"301"	"2"	"142"	"3"	"4"	"2"	"0"	"2"	"5"	"9"	"642"	""	""
"67"	"42"	"115"	"170"	"9"	"178"	"4"	"2"	"12"	"4"	"2"	"3"	"15"	"514"	""	""
"68"	";ksx  &"	"2809"	"1841"	"95"	"2831"	"68"	"53"	"53"	"47"	"42"	"40"	"131"	"8010"	""	""
"69"	"xr  Ik`\"B  dk  ;ksx&"	"5252"	"5342"	"122"	"3216"	"69"	"46"	"48"	"32"	"45"	"59"	"184"	"14415"	""	""
"70"	"dqy  ;ksx  &"	"8061"	"7183"	"217"	"6047"	"137"	"99"	"101"	"79"	"87"	"99"	"315"	"22425"	""	""
"71"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"72"	"ernku dsUnz dh
ÿe la0"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k ;ksx"	"fuosfnŸk erksa dh la[;k"
"73"	""	"vthr 'kekZ"	"vf'ouh dqekj pkScs"	"izrki lkg"	"'kaHkqn;ky [ksrku"	",l vln bdcky"	"ukxjey cktksfj;k /kM+rhidM+"	"kSysUnz dqekj 'kekZ"	"müke dqekj jk;"	"izHkkdj 'kekZ"	"jkds'k dqekj nqcs"	"kkjnk uUnu iksnkj"	""	""	""
"74"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"75"	"43"	"101"	"269"	"9"	"68"	"1"	"4"	"1"	"0"	"2"	"1"	"2"	"458"	""	""
"76"	"43 ºdΩ"	"41"	"183"	"4"	"18"	"2"	"0"	"0"	"0"	"0"	"0"	"4"	"252"	""	""
"77"	"44"	"138"	"519"	"15"	"71"	"3"	"3"	"1"	"4"	"1"	"5"	"6"	"766"	""	""
"78"	"45"	"184"	"96"	"2"	"61"	"1"	"1"	"0"	"1"	"4"	"0"	"3"	"353"	""	""
"79"	"46"	"227"	"3"	"0"	"56"	"3"	"0"	"0"	"0"	"0"	"1"	"1"	"291"	""	""
"80"	"47"	"355"	"3"	"1"	"67"	"2"	"0"	"2"	"0"	"1"	"0"	"8"	"439"	""	""
"81"	"48"	"104"	"169"	"4"	"14"	"1"	"0"	"0"	"2"	"1"	"4"	"11"	"310"	""	""
"82"	"49"	"81"	"189"	"2"	"64"	"2"	"0"	"0"	"2"	"5"	"2"	"3"	"350"	""	""
"83"	"50"	"428"	"1"	"1"	"50"	"0"	"1"	"0"	"0"	"0"	"0"	"4"	"485"	""	""
"84"	"51"	"228"	"72"	"8"	"238"	"4"	"2"	"2"	"2"	"0"	"2"	"6"	"564"	""	""
"85"	"52"	"67"	"427"	"16"	"52"	"2"	"2"	"3"	"1"	"2"	"4"	"11"	"587"	""	""
"86"	"53"	"45"	"258"	"5"	"30"	"0"	"0"	"1"	"0"	"0"	"2"	"5"	"346"	""	""
"87"	"54"	"242"	"124"	"8"	"112"	"7"	"0"	"3"	"1"	"1"	"1"	"5"	"504"	""	""
"88"	"55"	"98"	"392"	"28"	"109"	"7"	"6"	"9"	"5"	"30"	"2"	"9"	"695"	""	""
"89"	";ksx  &"	"2339"	"2705"	"103"	"1010"	"35"	"19"	"22"	"18"	"47"	"24"	"78"	"6400"	""	""
"90"	"xr  Ik`\"B  dk  ;ksx&"	"8061"	"7183"	"217"	"6047"	"137"	"99"	"101"	"79"	"87"	"99"	"315"	"22425"	""	""
"91"	"dqy  ;ksx  &"	"10400"	"9888"	"320"	"7057"	"172"	"118"	"123"	"97"	"134"	"123"	"393"	"28825"	""	""
"92"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"93"	"ernku dsUnz dh
ÿe la0"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k ;ksx"	"fuosfnŸk erksa dh la[;k"
"94"	""	"vthr 'kekZ"	"vf'ouh dqekj pkScs"	"izrki lkg"	"kaHkqn;ky [ksrku"	",l vln bdcky"	"ukxjey cktksfj;k /kM+rhidM+"	"'kSysUnz dqekj 'kekZ"	"müke dqekj jk;"	"izHkkdj 'kekZ"	"jkds'k dqekj nqcs"	"kkjnk uUnu iksnkj"	""	""	""
"95"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"96"	"56"	"205"	"105"	"8"	"239"	"8"	"5"	"4"	"1"	"3"	"1"	"9"	"588"	""	""
"97"	"57"	"112"	"317"	"1"	"52"	"2"	"2"	"1"	"1"	"1"	"1"	"2"	"492"	""	""
"98"	"58"	"207"	"330"	"6"	"109"	"1"	"4"	"1"	"1"	"1"	"2"	"7"	"669"	""	""
"99"	"59"	"157"	"281"	"6"	"86"	"3"	"3"	"5"	"2"	"3"	"10"	"16"	"572"	""	""
"100"	"59 ºdΩ"	"79"	"158"	"2"	"49"	"2"	"0"	"0"	"0"	"1"	"0"	"0"	"291"	""	""
"101"	"60"	"127"	"181"	"6"	"193"	"7"	"1"	"2"	"1"	"2"	"0"	"3"	"523"	""	""
"102"	"60 ºdΩ"	"92"	"172"	"3"	"55"	"7"	"0"	"0"	"2"	"0"	"0"	"1"	"332"	""	""
"103"	"61"	"86"	"73"	"1"	"180"	"5"	"0"	"0"	"2"	"3"	"1"	"8"	"359"	""	""
"104"	"62"	"54"	"298"	"2"	"45"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"401"	""	""
"105"	"63"	"131"	"358"	"3"	"110"	"5"	"2"	"2"	"1"	"5"	"3"	"14"	"634"	""	""
"106"	"64"	"174"	"65"	"7"	"259"	"29"	"3"	"4"	"0"	"4"	"6"	"8"	"559"	""	""
"107"	"65"	"162"	"186"	"1"	"124"	"2"	"3"	"3"	"1"	"1"	"0"	"4"	"487"	""	""
"108"	"66"	"86"	"280"	"4"	"29"	"0"	"1"	"1"	"2"	"3"	"2"	"5"	"413"	""	""
"109"	"67"	"52"	"328"	"4"	"45"	"1"	"1"	"2"	"1"	"1"	"4"	"4"	"443"	""	""
"110"	";ksx  &"	"1724"	"3132"	"54"	"1575"	"73"	"25"	"25"	"15"	"28"	"30"	"82"	"6763"	""	""
"111"	"xr  Ik`\"B  dk  ;ksx&"	"10400"	"9888"	"320"	"7057"	"172"	"118"	"123"	"97"	"134"	"123"	"393"	"28825"	""	""
"112"	"dqy  ;ksx  &"	"12124"	"13020"	"374"	"8632"	"245"	"143"	"148"	"112"	"162"	"153"	"475"	"35588"	""	""
"113"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"114"	"ernku dsUnz dh
ÿe la0"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k ;ksx"	"fuosfnŸk erksa dh la[;k"
"115"	""	"vthr 'kekZ"	"vf'ouh dqekj pkScs"	"izrki lkg"	"'kaHkqn;ky [ksrku"	",l vln bdcky"	"ukxjey cktksfj;k /kM+rhidM+"	"'kSysUnz dqekj 'kekZ"	"müke dqekj jk;"	"izHkkdj 'kekZ"	"jkds'k dqekj nqcs"	"kkjnk uUnu iksnkj"	""	""	""
"116"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"117"	"68"	"220"	"12"	"2"	"214"	"12"	"2"	"1"	"2"	"3"	"0"	"9"	"477"	""	""
"118"	"69"	"187"	"6"	"5"	"134"	"4"	"1"	"0"	"1"	"3"	"1"	"5"	"347"	""	""
"119"	"70"	"230"	"16"	"2"	"74"	"21"	"0"	"0"	"3"	"0"	"0"	"2"	"348"	""	""
"120"	"71"	"133"	"288"	"2"	"97"	"4"	"3"	"0"	"0"	"2"	"3"	"1"	"533"	""	""
"121"	"72"	"276"	"39"	"0"	"105"	"6"	"0"	"1"	"0"	"0"	"0"	"5"	"432"	""	""
"122"	"73"	"222"	"8"	"1"	"108"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"342"	""	""
"123"	"74"	"89"	"407"	"2"	"75"	"4"	"1"	"0"	"1"	"1"	"2"	"2"	"584"	""	""
"124"	"75"	"41"	"379"	"1"	"136"	"0"	"6"	"1"	"0"	"0"	"0"	"1"	"565"	""	""
"125"	"76"	"72"	"272"	"6"	"124"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"476"	""	""
"126"	"77"	"228"	"428"	"7"	"75"	"0"	"5"	"3"	"0"	"1"	"4"	"8"	"759"	""	""
"127"	"78"	"169"	"212"	"2"	"114"	"1"	"0"	"0"	"0"	"1"	"1"	"2"	"502"	""	""
"128"	"79"	"105"	"347"	"7"	"46"	"3"	"1"	"3"	"0"	"1"	"1"	"2"	"516"	""	""
"129"	"80"	"65"	"233"	"7"	"219"	"5"	"2"	"2"	"3"	"1"	"3"	"9"	"549"	""	""
"130"	"81"	"66"	"474"	"20"	"42"	"0"	"2"	"2"	"0"	"2"	"4"	"4"	"616"	""	""
"131"	";ksx  &"	"2103"	"3121"	"64"	"1563"	"62"	"25"	"13"	"10"	"15"	"19"	"51"	"7046"	""	""
"132"	"xr  Ik`\"B  dk  ;ksx&"	"12124"	"13020"	"374"	"8632"	"245"	"143"	"148"	"112"	"162"	"153"	"475"	"35588"	""	""
"133"	"dqy  ;ksx  &"	"14227"	"16141"	"438"	"10195"	"307"	"168"	"161"	"122"	"177"	"172"	"526"	"42634"	""	""
"134"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"135"	"ernku dsUnz dh
ÿe la0"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k ;ksx"	"fuosfnŸk erksa dh la[;k"
"136"	""	"vthr 'kekZ"	"vf'ouh dqekj pkScs"	"izrki lkg"	"'kaHkqn;ky [ksrku"	",l vln bdcky"	"ukxjey cktksfj;k /kM+rhidM+"	"kSysUnz dqekj 'kekZ"	"müke dqekj jk;"	"izHkkdj 'kekZ"	"jkds'k dqekj nqcs"	"kkjnk uUnu iksnkj"	""	""	""
"137"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"138"	"82"	"90"	"376"	"3"	"91"	"2"	"1"	"2"	"3"	"1"	"4"	"10"	"583"	""	""
"139"	"83"	"24"	"325"	"5"	"51"	"0"	"1"	"1"	"0"	"1"	"0"	"1"	"409"	""	""
"140"	"84"	"197"	"382"	"5"	"91"	"1"	"0"	"2"	"0"	"1"	"3"	"6"	"688"	""	""
"141"	"85"	"155"	"343"	"3"	"69"	"0"	"0"	"3"	"1"	"0"	"1"	"1"	"576"	""	""
"142"	"86"	"110"	"538"	"2"	"49"	"0"	"0"	"8"	"0"	"1"	"3"	"5"	"716"	""	""
"143"	"87"	"61"	"311"	"10"	"84"	"2"	"0"	"1"	"0"	"0"	"0"	"2"	"471"	""	""
"144"	"88"	"54"	"338"	"0"	"24"	"1"	"0"	"0"	"1"	"2"	"2"	"1"	"423"	""	""
"145"	"88 ºdΩ"	"117"	"263"	"1"	"14"	"0"	"0"	"0"	"1"	"2"	"2"	"9"	"409"	""	""
"146"	"89"	"35"	"315"	"0"	"8"	"0"	"1"	"2"	"0"	"0"	"1"	"2"	"364"	""	""
"147"	"90"	"85"	"162"	"3"	"96"	"1"	"1"	"1"	"2"	"0"	"1"	"0"	"352"	""	""
"148"	"91"	"96"	"433"	"2"	"44"	"0"	"1"	"2"	"1"	"7"	"3"	"2"	"591"	""	""
"149"	"92"	"92"	"149"	"0"	"35"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"278"	""	""
"150"	"93"	"180"	"526"	"6"	"51"	"2"	"4"	"2"	"2"	"2"	"0"	"1"	"776"	""	""
"151"	"94"	"101"	"199"	"2"	"246"	"1"	"1"	"4"	"0"	"2"	"0"	"14"	"570"	""	""
"152"	";ksx  &"	"1397"	"4660"	"42"	"953"	"10"	"11"	"29"	"11"	"19"	"20"	"54"	"7206"	""	""
"153"	"xr  Ik`\"B  dk  ;ksx&"	"14227"	"16141"	"438"	"10195"	"307"	"168"	"161"	"122"	"177"	"172"	"526"	"42634"	""	""
"154"	"dqy  ;ksx  &"	"15624"	"20801"	"480"	"11148"	"317"	"179"	"190"	"133"	"196"	"192"	"580"	"49840"	""	""
"155"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"156"	"ernku dsUnz dh
ÿe la0"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k ;ksx"	"fuosfnŸk erksa dh la[;k"
"157"	""	"vthr 'kekZ"	"vf'ouh dqekj pkScs"	"izrki lkg"	"'kaHkqn;ky [ksrku"	",l vln bdcky"	"ukxjey cktksfj;k /kM+rhidM+"	"'kSysUnz dqekj 'kekZ"	"müke dqekj jk;"	"izHkkdj 'kekZ"	"jkds'k dqekj nqcs"	"kkjnk uUnu iksnkj"	""	""	""
"158"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"159"	"95"	"109"	"452"	"2"	"66"	"0"	"0"	"1"	"2"	"1"	"5"	"2"	"640"	""	""
"160"	"96"	"44"	"310"	"0"	"59"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"414"	""	""
"161"	"97"	"91"	"215"	"2"	"57"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"365"	""	""
"162"	"98"	"97"	"378"	"4"	"69"	"0"	"0"	"8"	"0"	"0"	"1"	"0"	"557"	""	""
"163"	"99"	"68"	"290"	"3"	"61"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"425"	""	""
"164"	"99 ºdΩ"	"66"	"175"	"0"	"28"	"0"	"0"	"1"	"1"	"0"	"1"	"2"	"274"	""	""
"165"	"100"	"51"	"146"	"2"	"418"	"6"	"5"	"1"	"4"	"9"	"6"	"12"	"660"	""	""
"166"	"101"	"214"	"150"	"6"	"248"	"7"	"3"	"3"	"1"	"7"	"2"	"8"	"649"	""	""
"167"	"102"	"170"	"152"	"2"	"101"	"6"	"3"	"7"	"6"	"5"	"2"	"8"	"462"	""	""
"168"	"103"	"193"	"211"	"6"	"73"	"2"	"5"	"2"	"2"	"2"	"3"	"4"	"503"	""	""
"169"	"104"	"161"	"297"	"2"	"28"	"0"	"0"	"2"	"1"	"0"	"0"	"1"	"492"	""	""
"170"	"105"	"96"	"265"	"4"	"55"	"1"	"0"	"5"	"0"	"2"	"3"	"2"	"433"	""	""
"171"	"106"	"98"	"300"	"3"	"116"	"1"	"0"	"0"	"1"	"0"	"1"	"2"	"522"	""	""
"172"	"107"	"74"	"88"	"3"	"308"	"3"	"2"	"2"	"1"	"2"	"2"	"5"	"490"	""	""
"173"	";ksx  &"	"1532"	"3429"	"39"	"1687"	"26"	"18"	"33"	"21"	"28"	"27"	"46"	"6886"	""	""
"174"	"xr  Ik`\"B  dk  ;ksx&"	"15624"	"20801"	"480"	"11148"	"317"	"179"	"190"	"133"	"196"	"192"	"580"	"49840"	""	""
"175"	"dqy  ;ksx  &"	"17156"	"24230"	"519"	"12835"	"343"	"197"	"223"	"154"	"224"	"219"	"626"	"56726"	""	""
"176"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"177"	"ernku dsUnz dh
ÿe la0"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k ;ksx"	"fuosfnŸk erksa dh la[;k"
"178"	""	"vthr 'kekZ"	"vf'ouh dqekj pkScs"	"izrki lkg"	"'kaHkqn;ky [ksrku"	",l vln bdcky"	"ukxjey cktksfj;k /kM+rhidM+"	"'kSysUnz dqekj 'kekZ"	"müke dqekj jk;"	"izHkkdj 'kekZ"	"jkds'k dqekj nqcs"	"'kkjnk uUnu iksnkj"	""	""	""
"179"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
