"Total.No..of.Electors.in.Asembly.Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	"Name of the Assembly Constituency : - 89 Darbhanga"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"FINAL RESULT SHEET [(SEE RULE 56C (2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"68"	"57"	"57"	"5"	"183"	"384"	"3"	"5"	"6"	"128"	"5"	"3"	"1"	"2"	"4"	"729"	"-"	"729"	""
"69"	"58"	"58"	"7"	"49"	"440"	"6"	"0"	"6"	"170"	"4"	"3"	"3"	"4"	"9"	"701"	"-"	"701"	""
"70"	"59"	"59"	"12"	"42"	"482"	"10"	"3"	"0"	"83"	"1"	"2"	"2"	"0"	"7"	"644"	"-"	"644"	""
"71"	"60"	"60"	"25"	"195"	"345"	"3"	"1"	"1"	"145"	"3"	"2"	"2"	"2"	"13"	"737"	"-"	"737"	""
"72"	"61"	"61"	"16"	"165"	"183"	"2"	"1"	"1"	"72"	"2"	"1"	"0"	"2"	"5"	"450"	"-"	"450"	""
"73"	"62"	"62"	"11"	"266"	"186"	"3"	"2"	"6"	"101"	"4"	"3"	"2"	"5"	"5"	"594"	"-"	"594"	""
"74"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"75"	""	""	"Madhuri Ranjeeta Mahabir Devi"	"Md. Mumtaz Alam"	"Sanjay Sarawagi"	"Kamod Prasad"	"Vijay Kumar Mahto"	"Shivan Yadav"	"Satya Narayan Gami"	"Abdul Allam"	"Kapildev Mahaset h"	"Bharat Yadav"	"Baidhnath khandelbal Patwa"	"Sanjay Kumar Roy"	""	""	""	""
"76"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"77"	"63"	"63"	"10"	"133"	"308"	"3"	"3"	"7"	"128"	"10"	"5"	"4"	"2"	"9"	"622"	"-"	"622"	""
"78"	"64"	"64"	"5"	"25"	"544"	"1"	"0"	"2"	"223"	"9"	"3"	"6"	"2"	"4"	"824"	"-"	"824"	""
"79"	"65"	"65"	"11"	"82"	"355"	"5"	"4"	"2"	"234"	"12"	"1"	"5"	"5"	"6"	"722"	"-"	"722"	""
"80"	"66"	"66"	"7"	"92"	"525"	"5"	"1"	"3"	"142"	"6"	"1"	"1"	"3"	"4"	"790"	"-"	"790"	""
"81"	"67"	"67"	"11"	"196"	"400"	"2"	"3"	"4"	"120"	"6"	"0"	"1"	"2"	"8"	"753"	"-"	"753"	""
"82"	"68"	"68"	"5"	"16"	"347"	"3"	"1"	"1"	"95"	"4"	"2"	"3"	"1"	"3"	"481"	"-"	"481"	""
"83"	"69"	"69"	"1"	"44"	"407"	"6"	"2"	"2"	"131"	"2"	"0"	"3"	"2"	"8"	"608"	"-"	"608"	""
"84"	"70"	"70"	"6"	"23"	"441"	"3"	"3"	"2"	"161"	"8"	"4"	"3"	"2"	"6"	"662"	"-"	"662"	""
"85"	"71"	"71"	"23"	"147"	"411"	"5"	"2"	"9"	"192"	"5"	"1"	"6"	"5"	"14"	"820"	"-"	"820"	""
"86"	"72"	"72"	"5"	"38"	"552"	"6"	"2"	"3"	"97"	"1"	"3"	"1"	"2"	"5"	"715"	"-"	"715"	""
"87"	"73"	"73"	"10"	"79"	"490"	"2"	"1"	"1"	"98"	"0"	"1"	"1"	"1"	"4"	"688"	"-"	"688"	""
"88"	"74"	"74"	"7"	"34"	"626"	"12"	"6"	"4"	"43"	"4"	"6"	"7"	"1"	"8"	"758"	"-"	"758"	""
"89"	"75"	"75"	"7"	"122"	"551"	"13"	"6"	"5"	"156"	"5"	"5"	"7"	"7"	"25"	"909"	"-"	"909"	""
"90"	"76"	"76"	"13"	"38"	"436"	"10"	"3"	"7"	"380"	"4"	"3"	"6"	"2"	"7"	"909"	"-"	"909"	""
"91"	"77"	"77"	"8"	"32"	"333"	"2"	"2"	"8"	"127"	"6"	"4"	"2"	"4"	"6"	"534"	"-"	"534"	""
"92"	"78"	"78"	"11"	"172"	"165"	"4"	"2"	"10"	"414"	"15"	"4"	"11"	"8"	"13"	"829"	"-"	"829"	""
"93"	"79"	"79"	"18"	"175"	"406"	"11"	"6"	"8"	"141"	"15"	"5"	"8"	"9"	"18"	"820"	"-"	"820"	""
"94"	"80"	"80"	"20"	"218"	"141"	"5"	"5"	"20"	"359"	"14"	"6"	"16"	"1"	"26"	"831"	"-"	"831"	""
"95"	"81"	"81"	"10"	"299"	"99"	"7"	"0"	"1"	"71"	"8"	"4"	"4"	"3"	"11"	"517"	"-"	"517"	""
"96"	"82"	"82"	"9"	"115"	"226"	"3"	"4"	"9"	"263"	"9"	"3"	"5"	"6"	"11"	"663"	"-"	"663"	""
"97"	"83"	"83"	"7"	"48"	"88"	"1"	"3"	"7"	"595"	"16"	"1"	"5"	"1"	"11"	"783"	"-"	"783"	""
"98"	"84"	"84"	"21"	"76"	"122"	"1"	"1"	"12"	"510"	"15"	"2"	"2"	"1"	"13"	"776"	"-"	"776"	""
"99"	"85"	"85"	"1"	"26"	"132"	"0"	"0"	"2"	"556"	"7"	"0"	"0"	"0"	"1"	"725"	"-"	"725"	""
"100"	"86"	"86"	"7"	"86"	"291"	"0"	"1"	"1"	"139"	"4"	"0"	"5"	"4"	"3"	"541"	"-"	"541"	""
"101"	"87"	"87"	"5"	"116"	"324"	"0"	"3"	"2"	"167"	"4"	"4"	"2"	"7"	"12"	"646"	"-"	"646"	""
"102"	"88"	"88"	"13"	"295"	"183"	"4"	"0"	"1"	"100"	"5"	"2"	"2"	"1"	"8"	"614"	"-"	"614"	""
"103"	"89"	"89"	"13"	"322"	"119"	"3"	"0"	"3"	"150"	"4"	"4"	"2"	"9"	"18"	"647"	"-"	"647"	""
"104"	"90"	"90"	"2"	"79"	"296"	"4"	"1"	"4"	"119"	"3"	"7"	"6"	"5"	"7"	"533"	"-"	"533"	""
"105"	"91"	"91"	"12"	"200"	"261"	"8"	"5"	"0"	"166"	"2"	"4"	"2"	"5"	"8"	"673"	"-"	"673"	""
"106"	"92"	"92"	"0"	"22"	"413"	"4"	"3"	"2"	"56"	"7"	"5"	"6"	"2"	"10"	"530"	"-"	"530"	""
"107"	"93"	"93"	"3"	"62"	"323"	"1"	"1"	"0"	"92"	"2"	"2"	"1"	"3"	"3"	"493"	"-"	"493"	""
"108"	"94"	"94"	"22"	"235"	"210"	"2"	"3"	"3"	"165"	"7"	"2"	"3"	"4"	"5"	"661"	"-"	"661"	""
"109"	"95"	"95"	"9"	"88"	"286"	"5"	"2"	"8"	"235"	"15"	"4"	"11"	"8"	"14"	"685"	"-"	"685"	""
"110"	"96"	"96"	"6"	"385"	"138"	"6"	"2"	"6"	"125"	"12"	"3"	"6"	"6"	"25"	"720"	"-"	"720"	""
"111"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"112"	""	""	"Madhuri Ranjeeta Mahabir Devi"	"Md. Mumtaz Alam"	"Sanjay Sarawagi"	"Kamod Prasad"	"Vijay Kumar Mahto"	"Shivan Yadav"	"Satya Narayan Gami"	"Abdul Allam"	"Kapildev Mahaset h"	"Bharat Yadav"	"Baidhnath khandelbal Patwa"	"Sanjay Kumar Roy"	""	""	""	""
"113"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"114"	"97"	"97"	"3"	"64"	"310"	"6"	"0"	"4"	"171"	"6"	"3"	"2"	"2"	"10"	"581"	"-"	"581"	""
"115"	"98"	"98"	"11"	"225"	"140"	"0"	"0"	"0"	"103"	"6"	"0"	"1"	"2"	"7"	"495"	"-"	"495"	""
"116"	"99"	"99"	"3"	"363"	"17"	"1"	"1"	"2"	"62"	"3"	"2"	"2"	"2"	"8"	"466"	"-"	"466"	""
"117"	"100"	"100"	"7"	"267"	"23"	"0"	"0"	"0"	"38"	"3"	"0"	"0"	"3"	"4"	"345"	"-"	"345"	""
"118"	"101"	"101"	"4"	"299"	"78"	"1"	"1"	"0"	"102"	"4"	"0"	"2"	"2"	"5"	"498"	"-"	"498"	""
"119"	"102"	"102"	"11"	"358"	"55"	"3"	"1"	"3"	"124"	"5"	"3"	"2"	"4"	"4"	"573"	"-"	"573"	""
"120"	"103"	"103"	"22"	"271"	"59"	"1"	"7"	"5"	"206"	"7"	"4"	"0"	"1"	"6"	"589"	"-"	"589"	""
"121"	"104"	"104"	"11"	"192"	"50"	"1"	"2"	"7"	"208"	"8"	"0"	"4"	"2"	"14"	"499"	"-"	"499"	""
"122"	"105"	"105"	"14"	"343"	"93"	"3"	"4"	"5"	"80"	"6"	"2"	"6"	"3"	"11"	"570"	"-"	"570"	""
"123"	"106"	"106"	"1"	"778"	"6"	"0"	"0"	"0"	"4"	"0"	"0"	"1"	"0"	"2"	"792"	"-"	"792"	""
"124"	"107"	"107"	"8"	"573"	"6"	"0"	"0"	"0"	"9"	"0"	"0"	"3"	"2"	"1"	"602"	"-"	"602"	""
"125"	"108"	"108"	"22"	"491"	"46"	"2"	"2"	"3"	"46"	"4"	"2"	"2"	"5"	"6"	"631"	"-"	"631"	""
"126"	"109"	"109"	"2"	"348"	"10"	"1"	"0"	"1"	"25"	"1"	"0"	"2"	"2"	"5"	"397"	"-"	"397"	""
"127"	"110"	"110"	"9"	"469"	"167"	"1"	"0"	"0"	"24"	"1"	"0"	"2"	"4"	"10"	"687"	"-"	"687"	""
"128"	"111"	"111"	"2"	"838"	"3"	"0"	"0"	"0"	"3"	"1"	"1"	"0"	"1"	"0"	"849"	"-"	"849"	""
"129"	"112"	"112"	"6"	"769"	"6"	"0"	"0"	"0"	"2"	"1"	"1"	"0"	"3"	"0"	"788"	"-"	"788"	""
"130"	"113"	"113"	"9"	"452"	"174"	"2"	"1"	"2"	"32"	"2"	"0"	"1"	"3"	"12"	"690"	"-"	"690"	""
"131"	"114"	"114"	"20"	"284"	"153"	"4"	"0"	"0"	"100"	"7"	"1"	"4"	"5"	"11"	"589"	"-"	"589"	""
"132"	"115"	"115"	"10"	"220"	"367"	"5"	"1"	"2"	"119"	"2"	"1"	"1"	"2"	"2"	"732"	"-"	"732"	""
"133"	"116"	"116"	"5"	"164"	"252"	"3"	"3"	"2"	"93"	"4"	"0"	"7"	"4"	"9"	"546"	"-"	"546"	""
"134"	"117"	"117"	"9"	"161"	"360"	"1"	"2"	"7"	"146"	"8"	"2"	"4"	"3"	"15"	"718"	"-"	"718"	""
"135"	"118"	"118"	"5"	"184"	"360"	"4"	"3"	"1"	"95"	"4"	"4"	"4"	"4"	"9"	"677"	"-"	"677"	""
"136"	"119"	"119"	"3"	"78"	"154"	"3"	"4"	"8"	"188"	"23"	"8"	"4"	"7"	"35"	"515"	"-"	"515"	""
"137"	"120"	"120"	"6"	"284"	"134"	"3"	"0"	"3"	"79"	"6"	"2"	"1"	"6"	"2"	"526"	"-"	"526"	""
"138"	"121"	"121"	"8"	"127"	"163"	"2"	"2"	"7"	"289"	"19"	"3"	"3"	"1"	"16"	"640"	"-"	"640"	""
"139"	"122"	"122"	"2"	"44"	"176"	"3"	"0"	"3"	"77"	"9"	"2"	"0"	"1"	"4"	"321"	"-"	"321"	""
"140"	"123"	"123"	"2"	"99"	"337"	"3"	"1"	"1"	"60"	"4"	"1"	"1"	"5"	"2"	"516"	"-"	"516"	""
"141"	"124"	"124"	"3"	"51"	"251"	"5"	"1"	"2"	"71"	"3"	"2"	"1"	"1"	"1"	"392"	"-"	"392"	""
"142"	"125"	"125"	"1"	"51"	"442"	"6"	"0"	"7"	"173"	"8"	"14"	"4"	"2"	"6"	"714"	"-"	"714"	""
"143"	"126"	"126"	"8"	"513"	"47"	"0"	"1"	"0"	"56"	"3"	"1"	"1"	"4"	"8"	"642"	"-"	"642"	""
"144"	"127"	"127"	"1"	"104"	"388"	"1"	"0"	"1"	"80"	"3"	"1"	"0"	"0"	"2"	"581"	"-"	"581"	""
"145"	"128"	"128"	"8"	"241"	"247"	"7"	"2"	"5"	"135"	"4"	"0"	"3"	"5"	"8"	"665"	"-"	"665"	""
"146"	"129"	"129"	"10"	"193"	"363"	"5"	"3"	"5"	"197"	"4"	"6"	"4"	"1"	"6"	"797"	"-"	"797"	""
"147"	"130"	"130"	"2"	"62"	"341"	"12"	"2"	"3"	"76"	"0"	"1"	"1"	"1"	"8"	"509"	"-"	"509"	""
"148"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"149"	""	""	"Madhuri Ranjeeta Mahabir Devi"	"Md. Mumtaz Alam"	"Sanjay Sarawagi"	"Kamod Prasad"	"Vijay Kumar Mahto"	"Shivan Yadav"	"Satya Narayan Gami"	"Abdul Allam"	"Kapildev Mahaset h"	"Bharat Yadav"	"Baidhnath khandelbal Patwa"	"Sanjay Kumar Roy"	""	""	""	""
"150"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"151"	"131"	"131"	"3"	"76"	"432"	"8"	"1"	"3"	"70"	"2"	"2"	"1"	"4"	"4"	"606"	"-"	"606"	""
"152"	"132"	"132"	"7"	"548"	"104"	"0"	"0"	"0"	"69"	"2"	"1"	"3"	"16"	"4"	"754"	"-"	"754"	""
"153"	"133"	"133"	"6"	"935"	"56"	"0"	"0"	"0"	"49"	"3"	"1"	"0"	"1"	"2"	"1053"	"-"	"1053"	""
"154"	"134"	"134"	"3"	"335"	"251"	"3"	"3"	"6"	"144"	"8"	"5"	"15"	"6"	"19"	"798"	"-"	"798"	""
"155"	"135"	"135"	"9"	"220"	"144"	"7"	"2"	"5"	"104"	"7"	"2"	"4"	"6"	"14"	"524"	"-"	"524"	""
"156"	"136"	"136"	"14"	"72"	"334"	"5"	"4"	"5"	"357"	"8"	"4"	"4"	"6"	"12"	"825"	"-"	"825"	""
"157"	"137"	"137"	"4"	"65"	"238"	"4"	"2"	"6"	"233"	"4"	"4"	"5"	"4"	"13"	"582"	"-"	"582"	""
"158"	"138"	"138"	"6"	"221"	"159"	"4"	"0"	"2"	"169"	"5"	"3"	"8"	"3"	"12"	"592"	"-"	"592"	""
"159"	"139"	"139"	"0"	"104"	"401"	"3"	"2"	"5"	"155"	"1"	"11"	"4"	"0"	"5"	"691"	"-"	"691"	""
"160"	"140"	"140"	"3"	"109"	"357"	"1"	"0"	"2"	"123"	"4"	"1"	"4"	"1"	"6"	"611"	"-"	"611"	""
"161"	"141"	"141"	"1"	"85"	"349"	"7"	"0"	"11"	"60"	"3"	"1"	"1"	"1"	"5"	"524"	"-"	"524"	""
"162"	"142"	"142"	"8"	"160"	"266"	"5"	"2"	"2"	"194"	"8"	"2"	"0"	"2"	"5"	"654"	"-"	"654"	""
"163"	"143"	"143"	"3"	"29"	"381"	"2"	"0"	"1"	"63"	"6"	"0"	"1"	"0"	"5"	"491"	"-"	"491"	""
"164"	"144"	"144"	"0"	"22"	"364"	"2"	"0"	"0"	"55"	"1"	"1"	"0"	"0"	"3"	"448"	"-"	"448"	""
"165"	"145"	"145"	"2"	"36"	"345"	"1"	"0"	"0"	"53"	"3"	"0"	"0"	"0"	"1"	"441"	"-"	"441"	""
"166"	"146"	"146"	"10"	"166"	"278"	"6"	"5"	"5"	"162"	"9"	"2"	"1"	"8"	"27"	"679"	"-"	"679"	""
"167"	"147"	"147"	"2"	"66"	"552"	"5"	"1"	"5"	"68"	"6"	"3"	"4"	"3"	"8"	"723"	"-"	"723"	""
"168"	"148"	"148"	"5"	"60"	"427"	"6"	"1"	"2"	"56"	"4"	"3"	"2"	"2"	"2"	"570"	"-"	"570"	""
"169"	"149"	"149"	"8"	"31"	"356"	"6"	"1"	"3"	"227"	"24"	"5"	"11"	"4"	"14"	"690"	"-"	"690"	""
"170"	"150"	"150"	"2"	"49"	"399"	"6"	"0"	"3"	"40"	"3"	"2"	"3"	"0"	"2"	"509"	"-"	"509"	""
"171"	"151"	"151"	"17"	"327"	"180"	"11"	"51"	"8"	"45"	"5"	"3"	"2"	"3"	"26"	"678"	"-"	"678"	""
