"PS.NO"	"ARJUN.RAY"	"ASHOK.KUMAR.JHA"	"GANESH.PRASAD.YADAV"	"PREM.CHANDRA.MISHRA"	"HARISHCHAND.RA.PRASAD.YADAV"	"NAGENDRA.SAHANI"	"PANKAJ.BANDHU"	"BHUSHAN.KUMAR.JHA"	"MAHENDRA.PASWAN"	"MUKESH.PRASAD"	"RAMDAYAL.BAITHA"	"TOTAL.OF.VALID.VOTES"	"NO.OF.REJECTED.VOTES"	"TOTAL.NO.OF.TENDER.VOTES"
"112"	109	100	1	33	43	1	2	4	2	0	1	5	-192	""	""
"113"	110	266	25	165	52	7	1	2	1	0	3	2	-524	""	""
"114"	111	293	12	184	16	4	3	6	10	3	11	19	-561	""	""
"115"	112	12	0	2	0	1	0	0	0	0	0	0	-15	""	""
"116"	113	518	14	143	8	5	1	4	7	3	8	15	-726	""	""
"117"	114	696	7	103	8	2	2	1	3	2	12	6	-842	""	""
"118"	115	148	2	56	7	0	1	0	1	1	6	8	-230	""	""
"119"	116	296	3	111	9	0	1	0	2	1	2	2	-427	""	""
"120"	117	159	2	132	9	2	4	2	1	2	4	7	-324	""	""
"121"	118	267	1	169	4	0	0	1	5	0	1	0	-448	""	""
"122"	119	220	13	149	11	7	17	12	7	8	15	43	-502	""	""
"123"	120	219	16	214	15	4	2	2	5	11	11	21	-520	""	""
"124"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"125"	121	313	8	67	11	3	2	4	1	3	8	7	-427	""	""
"126"	122	360	10	59	109	10	8	9	9	5	8	18	-605	""	""
"127"	123	458	4	19	31	2	1	0	0	0	3	7	-525	""	""
"128"	124	129	6	162	19	4	3	0	15	3	7	13	-361	""	""
"129"	125	93	9	142	27	8	4	4	8	7	7	22	-331	""	""
"130"	126	290	13	128	12	8	3	4	2	1	7	14	-482	""	""
"131"	127	318	10	70	56	3	1	1	4	4	10	3	-480	""	""
"132"	128	301	7	82	33	2	2	2	1	3	9	11	-453	""	""
"133"	129	340	0	8	22	0	0	0	6	0	3	0	-379	""	""
"134"	130	281	8	25	14	3	6	3	8	9	11	33	-401	""	""
"135"	131	236	8	65	1	2	0	2	0	0	0	2	-316	""	""
"136"	132	305	22	146	23	8	3	2	5	5	6	7	-532	""	""
"137"	133	80	3	37	2	0	0	0	2	4	3	6	-137	""	""
"138"	134	374	16	204	10	2	2	2	3	2	4	13	-632	""	""
"139"	135	266	10	144	12	0	5	0	5	6	7	21	-476	""	""
"140"	136	340	3	135	7	1	0	0	0	1	2	1	-490	""	""
"141"	137	250	8	44	3	2	0	1	1	2	21	16	-348	""	""
"142"	138	176	6	284	19	5	2	4	4	4	14	4	-522	""	""
"143"	139	324	14	159	22	1	1	1	0	1	11	2	-536	""	""
"144"	140	420	3	71	5	1	2	3	3	7	4	8	-527	""	""
"145"	141	377	11	73	9	4	3	1	2	4	8	7	-499	""	""
"146"	142	577	11	61	21	6	2	7	7	4	8	10	-714	""	""
"147"	143	328	3	153	7	4	0	1	6	5	10	11	-528	""	""
"148"	144	299	9	20	9	1	2	4	1	3	10	17	-375	""	""
"149"	145	450	9	70	4	1	1	1	0	5	8	6	-555	""	""
"150"	146	296	7	113	11	1	2	2	1	2	1	1	-437	""	""
"151"	147	236	4	43	2	0	2	0	0	1	4	8	-300	""	""
"152"	148	183	23	314	38	2	5	7	3	9	10	9	-603	""	""
"153"	149	227	9	178	13	2	1	4	4	2	6	8	-454	""	""
"154"	150	150	5	113	81	2	1	4	2	2	5	5	-370	""	""
"155"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"156"	151	235	0	7	27	1	1	0	1	2	4	2	-280	""	""
"157"	152	199	6	96	53	7	4	3	5	4	11	15	-403	""	""
"158"	153	184	4	57	33	4	0	0	7	2	2	3	-296	""	""
"159"	154	381	15	46	31	2	3	1	7	2	11	32	-531	""	""
"160"	155	129	9	63	30	3	1	1	1	2	12	7	-258	""	""
"161"	156	129	15	133	16	2	2	6	3	3	10	5	-324	""	""
"162"	157	409	3	84	23	3	1	1	6	9	8	9	-556	""	""
"163"	158	263	6	67	7	7	5	5	4	4	9	9	-386	""	""
"164"	159	163	3	175	6	1	1	3	2	4	7	3	-368	""	""
"165"	160	220	12	122	5	3	6	5	9	4	10	6	-402	""	""
"166"	161	234	6	71	3	2	1	1	3	3	6	13	-343	""	""
"167"	162	472	19	52	18	6	4	3	9	4	19	39	-645	""	""
"168"	163	375	8	22	4	1	2	1	1	0	5	9	-428	""	""
"169"	164	166	9	178	20	0	4	1	4	2	20	12	-416	""	""
"170"	165	324	15	6	4	3	2	3	3	4	21	25	-410	""	""
"171"	166	301	5	12	16	0	0	1	5	3	7	7	-357	""	""
"172"	167	413	7	23	28	2	4	9	4	6	22	24	-542	""	""
"173"	168	425	11	37	8	3	4	7	5	12	33	65	-610	""	""
"174"	169	427	5	93	8	6	6	4	2	3	10	27	-591	""	""
"175"	170	441	6	49	4	5	2	5	6	5	15	32	-570	""	""
"176"	171	285	10	123	20	7	11	7	5	19	22	59	-568	""	""
"177"	172	241	5	58	10	0	0	4	2	3	6	12	-341	""	""
"178"	173	264	9	80	12	0	2	4	0	3	7	9	-390	""	""
"179"	174	229	11	123	25	3	2	3	2	3	9	19	-429	""	""
"180"	175	300	7	96	18	6	2	1	4	15	14	23	-486	""	""
"181"	176	271	6	31	22	1	2	2	5	1	7	7	-355	""	""
"182"	177	370	7	179	20	8	1	3	6	3	12	8	-617	""	""
"183"	178	275	19	218	15	7	5	7	13	16	21	32	-628	""	""
"184"	179	136	2	30	20	2	0	0	1	3	4	7	-205	""	""
"185"	180	249	7	37	3	2	0	1	2	0	9	4	-314	""	""
"186"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"187"	181	282	12	100	24	4	3	4	17	8	15	11	-480	""	""
"188"	182	248	9	157	16	5	2	3	5	7	19	44	-515	""	""
"189"	183	412	7	50	7	5	1	2	5	8	5	17	-519	""	""
"190"	184	496	5	31	17	1	2	0	9	0	2	1	-564	""	""
"191"	185	380	1	57	8	3	1	1	15	1	1	0	-468	""	""
"192"	186	266	8	211	51	5	7	9	6	7	28	24	-622	""	""
"193"	187	432	17	78	15	7	5	5	16	9	17	10	-611	""	""
"194"	188	353	8	134	6	15	2	1	7	7	17	8	-558	""	""
"195"	189	253	5	105	12	2	1	2	1	0	0	1	-382	""	""
"196"	190	328	11	137	15	1	1	3	3	10	8	14	-531	""	""
"197"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	""	""
"198"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""
"199"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	""	""
"200"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""
"201"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""
