"Serial.No.of.Polling.Station."	"Dilip.Kumar.Raj.Kushwaha"	"Ramnath.Thakur"	"Shahid.Ahmed"	"Arun.Kumar.Singh"	"Asha.Devi"	"Umesh.Kumar"	"Asho.k.Singh"	"Umes.h.Mahto"	"Naresh.Paswan"	"Total.of.valid.Votes"	"No.of.rejected.votes"	"Total"	"No.of.Tendered.Votes"
"37"	"30"	"16"	"45"	"283"	"83"	"7"	"8"	"9"	"2"	"10"	"463"	""	"463"	""
"38"	"31"	"15"	"580"	"91"	"123"	"9"	"2"	"6"	"5"	"11"	"842"	""	"842"	""
"39"	"32"	"12"	"135"	"204"	"26"	"1"	"1"	"8"	"4"	"2"	"393"	""	"393"	""
"40"	"33"	"16"	"121"	"245"	"25"	"5"	"2"	"1"	"4"	"3"	"422"	""	"422"	""
"41"	"34"	"9"	"236"	"235"	"34"	"2"	"6"	"0"	"3"	"0"	"525"	""	"525"	""
"42"	"35"	"14"	"241"	"84"	"55"	"3"	"15"	"16"	"13"	"15"	"456"	""	"456"	""
"43"	"36"	"21"	"365"	"74"	"117"	"5"	"4"	"7"	"6"	"10"	"609"	""	"609"	""
"44"	"37"	"17"	"375"	"61"	"69"	"3"	"6"	"2"	"4"	"7"	"544"	""	"544"	""
"45"	"38"	"36"	"508"	"43"	"65"	"9"	"16"	"8"	"8"	"12"	"705"	""	"705"	""
"46"	"39"	"9"	"638"	"38"	"29"	"2"	"2"	"2"	"1"	"1"	"722"	""	"722"	""
"47"	"40"	"13"	"368"	"12"	"118"	"4"	"12"	"3"	"2"	"4"	"536"	""	"536"	""
"48"	"41"	"3"	"112"	"25"	"77"	"1"	"5"	"0"	"0"	"3"	"226"	""	"226"	""
"49"	"42"	"16"	"387"	"17"	"66"	"8"	"7"	"7"	"6"	"10"	"524"	""	"524"	""
"50"	"Page Total"	"719"	"11157"	"4827"	"2343"	"193"	"347"	"250"	"226"	"322"	"20384"	"0"	"20384"	"0"
"51"	"B.F."	"719"	"11157"	"4827"	"2343"	"193"	"347"	"250"	"226"	"322"	"20384"	"0"	"20384"	"0"
"52"	"43"	"25"	"248"	"20"	"50"	"7"	"9"	"6"	"17"	"23"	"405"	""	"405"	""
"53"	"44"	"8"	"343"	"88"	"49"	"4"	"6"	"2"	"0"	"8"	"508"	""	"508"	""
"54"	"45"	"24"	"177"	"254"	"70"	"8"	"7"	"10"	"6"	"4"	"560"	""	"560"	""
"55"	"46"	"36"	"99"	"241"	"103"	"16"	"6"	"3"	"3"	"4"	"511"	""	"511"	""
"56"	"47"	"6"	"36"	"189"	"73"	"0"	"10"	"3"	"3"	"8"	"328"	""	"328"	""
"57"	"48"	"19"	"283"	"218"	"29"	"7"	"10"	"6"	"9"	"20"	"601"	""	"601"	""
"58"	"49"	"16"	"310"	"144"	"8"	"1"	"13"	"2"	"1"	"6"	"501"	""	"501"	""
"59"	"50"	"13"	"327"	"71"	"14"	"0"	"9"	"1"	"5"	"5"	"445"	""	"445"	""
"60"	"Serial No.of Polling Station*"	"Dilip Kumar Raj Kushwaha"	"Ramnath Thakur"	"Shahid Ahmed"	"Arun Kumar Singh"	"Asha Devi"	"Umesh Kumar"	"Asho k Singh"	"Umes h Mahto"	"Naresh Paswan"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"61"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	""	""	""	""
"62"	"51"	"6"	"597"	"30"	"31"	"3"	"2"	"2"	"2"	"2"	"675"	""	"675"	""
"63"	"52"	"24"	"361"	"195"	"16"	"3"	"8"	"5"	"2"	"1"	"615"	""	"615"	""
"64"	"53"	"15"	"386"	"61"	"23"	"2"	"5"	"7"	"12"	"10"	"521"	""	"521"	""
"65"	"54"	"16"	"35"	"352"	"117"	"11"	"6"	"14"	"10"	"16"	"577"	""	"577"	""
"66"	"55"	"17"	"351"	"27"	"50"	"5"	"6"	"6"	"17"	"52"	"531"	""	"531"	""
"67"	"56"	"24"	"166"	"206"	"24"	"6"	"2"	"6"	"0"	"3"	"437"	""	"437"	""
"68"	"Page Total"	"968"	"14876"	"6923"	"3000"	"266"	"446"	"323"	"313"	"484"	"27599"	"0"	"27599"	"0"
"69"	"B.F."	"968"	"14876"	"6923"	"3000"	"266"	"446"	"323"	"313"	"484"	"27599"	"0"	"27599"	"0"
"70"	"57"	"5"	"124"	"226"	"9"	"4"	"3"	"0"	"4"	"0"	"375"	""	"375"	""
"71"	"58"	"57"	"302"	"156"	"18"	"5"	"9"	"11"	"4"	"10"	"572"	""	"572"	""
"72"	"59"	"31"	"371"	"247"	"28"	"8"	"5"	"7"	"1"	"11"	"709"	""	"709"	""
"73"	"60"	"25"	"332"	"158"	"54"	"4"	"6"	"6"	"8"	"8"	"601"	""	"601"	""
"74"	"61"	"13"	"231"	"112"	"23"	"5"	"3"	"2"	"6"	"9"	"404"	""	"404"	""
"75"	"62"	"25"	"277"	"137"	"22"	"0"	"4"	"5"	"15"	"10"	"495"	""	"495"	""
"76"	"63"	"20"	"50"	"360"	"126"	"6"	"20"	"13"	"9"	"20"	"624"	""	"624"	""
"77"	"64"	"2"	"41"	"288"	"13"	"0"	"1"	"3"	"1"	"1"	"350"	""	"350"	""
"78"	"65"	"3"	"85"	"154"	"19"	"1"	"1"	"2"	"2"	"3"	"270"	""	"270"	""
"79"	"66"	"5"	"307"	"58"	"36"	"3"	"12"	"6"	"4"	"5"	"436"	""	"436"	""
"80"	"67"	"3"	"77"	"60"	"49"	"2"	"5"	"4"	"3"	"2"	"205"	""	"205"	""
"81"	"68"	"7"	"311"	"38"	"34"	"4"	"5"	"3"	"6"	"6"	"414"	""	"414"	""
"82"	"69"	"18"	"297"	"72"	"75"	"9"	"6"	"14"	"9"	"17"	"517"	""	"517"	""
"83"	"70"	"0"	"140"	"52"	"20"	"0"	"1"	"0"	"0"	"0"	"213"	""	"213"	""
"84"	"Page Total"	"1182"	"17821"	"9041"	"3526"	"317"	"527"	"399"	"385"	"586"	"33784"	"0"	"33784"	"0"
"85"	"B.F."	"1182"	"17821"	"9041"	"3526"	"317"	"527"	"399"	"385"	"586"	"33784"	"0"	"33784"	"0"
"86"	"71"	"5"	"312"	"146"	"16"	"0"	"5"	"1"	"2"	"0"	"487"	""	"487"	""
"87"	"72"	"0"	"188"	"26"	"10"	"0"	"3"	"1"	"1"	"0"	"229"	""	"229"	""
"88"	"73"	"8"	"198"	"115"	"88"	"6"	"5"	"3"	"5"	"14"	"442"	""	"442"	""
"89"	"74"	"13"	"224"	"65"	"84"	"7"	"26"	"10"	"11"	"8"	"448"	""	"448"	""
"90"	"Serial No.of Polling Station*"	"Dilip Kumar Raj Kushwaha"	"Ramnath Thakur"	"Shahid Ahmed"	"Arun Kumar Singh"	"Asha Devi"	"Umesh Kumar"	"Asho k Singh"	"Umes h Mahto"	"Naresh Paswan"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"91"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	""	""	""	""
"92"	"75"	"8"	"197"	"94"	"117"	"2"	"12"	"5"	"5"	"20"	"460"	""	"460"	""
"93"	"76"	"9"	"257"	"111"	"48"	"0"	"6"	"3"	"4"	"2"	"440"	""	"440"	""
"94"	"77"	"2"	"335"	"36"	"23"	"1"	"1"	"2"	"0"	"0"	"400"	""	"400"	""
"95"	"78"	"1"	"243"	"13"	"19"	"1"	"0"	"0"	"0"	"0"	"277"	""	"277"	""
"96"	"79"	"5"	"187"	"23"	"13"	"0"	"3"	"1"	"0"	"1"	"233"	""	"233"	""
"97"	"80"	"11"	"268"	"64"	"35"	"4"	"3"	"5"	"3"	"3"	"396"	""	"396"	""
"98"	"81"	"5"	"368"	"43"	"22"	"1"	"6"	"2"	"0"	"1"	"448"	""	"448"	""
"99"	"82"	"4"	"53"	"48"	"79"	"2"	"6"	"1"	"2"	"0"	"195"	""	"195"	""
"100"	"83"	"10"	"270"	"73"	"106"	"8"	"10"	"4"	"1"	"7"	"489"	""	"489"	""
"101"	"84"	"3"	"208"	"56"	"51"	"4"	"6"	"6"	"2"	"5"	"341"	""	"341"	""
"102"	"Page Total"	"1266"	"21129"	"9954"	"4237"	"353"	"619"	"443"	"421"	"647"	"39069"	"0"	"39069"	"0"
"103"	"B.F."	"1266"	"21129"	"9954"	"4237"	"353"	"619"	"443"	"421"	"647"	"39069"	"0"	"39069"	"0"
"104"	"85"	"3"	"270"	"57"	"40"	"0"	"8"	"2"	"1"	"3"	"384"	""	"384"	""
"105"	"86"	"6"	"184"	"38"	"21"	"4"	"4"	"5"	"1"	"2"	"265"	""	"265"	""
"106"	"87"	"2"	"214"	"261"	"52"	"2"	"3"	"6"	"3"	"5"	"548"	""	"548"	""
"107"	"88"	"4"	"231"	"124"	"18"	"3"	"2"	"1"	"2"	"4"	"389"	""	"389"	""
"108"	"89"	"5"	"155"	"67"	"22"	"1"	"1"	"0"	"0"	"2"	"253"	""	"253"	""
"109"	"90"	"0"	"279"	"41"	"27"	"2"	"1"	"1"	"0"	"1"	"352"	""	"352"	""
"110"	"91"	"9"	"140"	"139"	"59"	"2"	"7"	"1"	"2"	"1"	"360"	""	"360"	""
"111"	"92"	"11"	"240"	"63"	"66"	"4"	"9"	"6"	"3"	"3"	"405"	""	"405"	""
"112"	"93"	"38"	"173"	"227"	"63"	"4"	"4"	"5"	"7"	"10"	"531"	""	"531"	""
"113"	"94"	"3"	"193"	"60"	"21"	"2"	"1"	"2"	"0"	"1"	"283"	""	"283"	""
"114"	"95"	"7"	"187"	"73"	"172"	"10"	"7"	"7"	"4"	"5"	"472"	""	"472"	""
"115"	"96"	"10"	"323"	"154"	"127"	"6"	"12"	"5"	"4"	"10"	"651"	""	"651"	""
"116"	"97"	"8"	"137"	"33"	"154"	"3"	"4"	"2"	"5"	"10"	"356"	""	"356"	""
"117"	"98"	"2"	"176"	"76"	"102"	"6"	"4"	"2"	"3"	"1"	"372"	""	"372"	""
"118"	"Page Total"	"1374"	"24031"	"11367"	"5181"	"402"	"686"	"488"	"456"	"705"	"44690"	"0"	"44690"	"0"
"119"	"B.F."	"1374"	"24031"	"11367"	"5181"	"402"	"686"	"488"	"456"	"705"	"44690"	"0"	"44690"	"0"
"120"	"Serial No.of Polling Station*"	"Dilip Kumar Raj Kushwaha"	"Ramnath Thakur"	"Shahid Ahmed"	"Arun Kumar Singh"	"Asha Devi"	"Umesh Kumar"	"Asho k Singh"	"Umes h Mahto"	"Naresh Paswan"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"121"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	""	""	""	""
"122"	"99"	"4"	"352"	"72"	"49"	"1"	"6"	"2"	"3"	"1"	"490"	""	"490"	""
"123"	"100"	"5"	"135"	"30"	"81"	"0"	"2"	"2"	"1"	"0"	"256"	""	"256"	""
"124"	"101"	"4"	"68"	"178"	"96"	"4"	"46"	"11"	"24"	"7"	"438"	""	"438"	""
"125"	"102"	"3"	"315"	"19"	"55"	"2"	"3"	"1"	"4"	"5"	"407"	""	"407"	""
"126"	"103"	"4"	"458"	"69"	"15"	"1"	"6"	"6"	"0"	"3"	"562"	""	"562"	""
"127"	"104"	"29"	"72"	"219"	"64"	"10"	"11"	"13"	"7"	"16"	"441"	""	"441"	""
"128"	"105"	"36"	"337"	"51"	"82"	"6"	"7"	"15"	"7"	"11"	"552"	""	"552"	""
"129"	"106"	"19"	"293"	"45"	"24"	"3"	"13"	"8"	"9"	"17"	"431"	""	"431"	""
"130"	"107"	"12"	"212"	"29"	"19"	"5"	"7"	"2"	"9"	"18"	"313"	""	"313"	""
"131"	"108"	"27"	"173"	"173"	"49"	"8"	"6"	"9"	"5"	"10"	"460"	""	"460"	""
"132"	"109"	"28"	"374"	"59"	"32"	"5"	"7"	"6"	"8"	"14"	"533"	""	"533"	""
"133"	"110"	"8"	"79"	"123"	"15"	"1"	"10"	"3"	"3"	"4"	"246"	""	"246"	""
"134"	"111"	"44"	"215"	"170"	"95"	"14"	"14"	"19"	"12"	"21"	"604"	""	"604"	""
"135"	"112"	"11"	"326"	"80"	"12"	"3"	"3"	"3"	"3"	"0"	"441"	""	"441"	""
"136"	"Page Total"	"1608"	"27440"	"12684"	"5869"	"465"	"827"	"588"	"551"	"832"	"50864"	"0"	"50864"	"0"
"137"	"B.F."	"1608"	"27440"	"12684"	"5869"	"465"	"827"	"588"	"551"	"832"	"50864"	"0"	"50864"	"0"
"138"	"113"	"4"	"461"	"3"	"2"	"0"	"6"	"1"	"0"	"0"	"477"	""	"477"	""
"139"	"114"	"420"	"257"	"109"	"22"	"2"	"6"	"3"	"6"	"15"	"840"	""	"840"	""
"140"	"115"	"28"	"416"	"6"	"0"	"0"	"0"	"0"	"0"	"1"	"451"	""	"451"	""
"141"	"116"	"3"	"520"	"2"	"1"	"1"	"13"	"0"	"0"	"0"	"540"	""	"540"	""
"142"	"117"	"38"	"93"	"233"	"51"	"7"	"5"	"2"	"2"	"7"	"438"	""	"438"	""
"143"	"118"	"55"	"69"	"183"	"17"	"4"	"25"	"10"	"16"	"23"	"402"	""	"402"	""
"144"	"119"	"27"	"277"	"57"	"135"	"17"	"21"	"17"	"31"	"35"	"617"	""	"617"	""
"145"	"120"	"16"	"311"	"182"	"71"	"9"	"13"	"8"	"12"	"29"	"651"	""	"651"	""
"146"	"121"	"54"	"232"	"209"	"69"	"11"	"14"	"13"	"13"	"39"	"654"	""	"654"	""
"147"	"122"	"19"	"197"	"51"	"176"	"16"	"24"	"20"	"17"	"31"	"551"	""	"551"	""
"148"	"123"	"14"	"313"	"113"	"63"	"4"	"10"	"9"	"10"	"18"	"554"	""	"554"	""
"149"	"124"	"8"	"270"	"94"	"24"	"4"	"13"	"4"	"3"	"11"	"431"	""	"431"	""
"150"	"Serial No.of Polling Station*"	"Dilip Kumar Raj Kushwaha"	"Ramnath Thakur"	"Shahid Ahmed"	"Arun Kumar Singh"	"Asha Devi"	"Umesh Kumar"	"Asho k Singh"	"Umes h Mahto"	"Naresh Paswan"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"151"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	""	""	""	""
"152"	"125"	"19"	"439"	"47"	"22"	"4"	"9"	"4"	"9"	"6"	"559"	""	"559"	""
"153"	"126"	"18"	"303"	"72"	"82"	"5"	"13"	"15"	"12"	"22"	"542"	""	"542"	""
"154"	"Page Total"	"2331"	"31598"	"14045"	"6604"	"549"	"999"	"694"	"682"	"1069"	"58571"	"0"	"58571"	"0"
"155"	"B.F."	"2331"	"31598"	"14045"	"6604"	"549"	"999"	"694"	"682"	"1069"	"58571"	"0"	"58571"	"0"
"156"	"127"	"7"	"19"	"29"	"224"	"16"	"26"	"5"	"4"	"4"	"334"	""	"334"	""
"157"	"128"	"19"	"106"	"83"	"83"	"7"	"13"	"6"	"11"	"17"	"345"	""	"345"	""
"158"	"129"	"10"	"215"	"90"	"27"	"5"	"8"	"7"	"5"	"7"	"374"	""	"374"	""
"159"	"130"	"23"	"133"	"51"	"65"	"6"	"13"	"7"	"10"	"31"	"339"	""	"339"	""
"160"	"131"	"15"	"116"	"398"	"56"	"6"	"6"	"8"	"5"	"15"	"625"	""	"625"	""
"161"	"132"	"8"	"114"	"331"	"22"	"2"	"30"	"9"	"5"	"15"	"536"	""	"536"	""
"162"	"133"	"4"	"263"	"16"	"4"	"3"	"2"	"1"	"1"	"2"	"296"	""	"296"	""
"163"	"134"	"23"	"124"	"129"	"14"	"3"	"8"	"5"	"1"	"5"	"312"	""	"312"	""
"164"	"135"	"9"	"237"	"54"	"17"	"4"	"9"	"6"	"7"	"10"	"353"	""	"353"	""
"165"	"136"	"24"	"223"	"114"	"66"	"10"	"12"	"12"	"4"	"4"	"469"	""	"469"	""
"166"	"137"	"7"	"415"	"79"	"19"	"1"	"7"	"5"	"3"	"4"	"540"	""	"540"	""
"167"	"138"	"20"	"497"	"103"	"25"	"6"	"46"	"11"	"10"	"20"	"738"	""	"738"	""
"168"	"139"	"16"	"452"	"96"	"60"	"3"	"10"	"6"	"6"	"7"	"656"	""	"656"	""
"169"	"140"	"15"	"220"	"173"	"26"	"1"	"18"	"1"	"2"	"6"	"462"	""	"462"	""
"170"	"Page Total"	"2531"	"34732"	"15791"	"7312"	"622"	"1207"	"783"	"756"	"1216"	"64950"	"0"	"64950"	"0"
"171"	"B.F."	"2531"	"34732"	"15791"	"7312"	"622"	"1207"	"783"	"756"	"1216"	"64950"	"0"	"64950"	"0"
"172"	"141"	"4"	"486"	"57"	"42"	"0"	"2"	"0"	"0"	"1"	"592"	""	"592"	""
"173"	"142"	"10"	"240"	"129"	"22"	"2"	"6"	"5"	"2"	"3"	"419"	""	"419"	""
"174"	"143"	"7"	"327"	"66"	"6"	"1"	"6"	"6"	"5"	"11"	"435"	""	"435"	""
"175"	"144"	"33"	"314"	"116"	"43"	"5"	"5"	"6"	"4"	"12"	"538"	""	"538"	""
"176"	"145"	"5"	"297"	"22"	"21"	"2"	"3"	"0"	"0"	"1"	"351"	""	"351"	""
"177"	"146"	"23"	"126"	"292"	"48"	"4"	"29"	"10"	"5"	"15"	"552"	""	"552"	""
"178"	"147"	"10"	"234"	"95"	"27"	"1"	"8"	"7"	"8"	"17"	"407"	""	"407"	""
"179"	"148"	"40"	"416"	"71"	"39"	"7"	"16"	"8"	"13"	"27"	"637"	""	"637"	""
"180"	"Serial No.of Polling Station*"	"Dilip Kumar Raj Kushwaha"	"Ramnath Thakur"	"Shahid Ahmed"	"Arun Kumar Singh"	"Asha Devi"	"Umesh Kumar"	"Asho k Singh"	"Umes h Mahto"	"Naresh Paswan"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"181"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	""	""	""	""
"182"	"149"	"23"	"395"	"46"	"93"	"8"	"16"	"3"	"10"	"23"	"617"	""	"617"	""
"183"	"150"	"0"	"691"	"1"	"0"	"0"	"2"	"4"	"0"	"0"	"698"	""	"698"	""
"184"	"151"	"17"	"119"	"190"	"36"	"7"	"12"	"16"	"9"	"38"	"444"	""	"444"	""
"185"	"152"	"2"	"975"	"8"	"9"	"0"	"13"	"0"	"1"	"3"	"1011"	""	"1011"	""
"186"	"153"	"21"	"159"	"190"	"24"	"5"	"5"	"3"	"4"	"6"	"417"	""	"417"	""
"187"	"154"	"0"	"436"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"442"	""	"442"	""
"188"	"Page Total"	"2726"	"39947"	"17080"	"7722"	"664"	"1330"	"851"	"817"	"1373"	"72510"	"0"	"72510"	"0"
"189"	"B.F."	"2726"	"39947"	"17080"	"7722"	"664"	"1330"	"851"	"817"	"1373"	"72510"	"0"	"72510"	"0"
"190"	"155"	"8"	"314"	"48"	"11"	"3"	"16"	"6"	"2"	"15"	"423"	""	"423"	""
"191"	"156"	"17"	"589"	"20"	"12"	"3"	"5"	"3"	"5"	"9"	"663"	""	"663"	""
"192"	"157"	"11"	"243"	"107"	"43"	"1"	"9"	"1"	"4"	"6"	"425"	""	"425"	""
"193"	"158"	"12"	"82"	"304"	"106"	"14"	"11"	"24"	"4"	"14"	"571"	""	"571"	""
"194"	"159"	"7"	"210"	"167"	"36"	"6"	"3"	"1"	"1"	"1"	"432"	""	"432"	""
"195"	"160"	"33"	"41"	"134"	"280"	"14"	"11"	"12"	"6"	"5"	"536"	""	"536"	""
"196"	"161"	"12"	"33"	"69"	"99"	"12"	"4"	"3"	"2"	"2"	"236"	""	"236"	""
"197"	"162"	"19"	"192"	"224"	"20"	"5"	"10"	"8"	"7"	"12"	"497"	""	"497"	""
"198"	"163"	"30"	"42"	"329"	"54"	"6"	"12"	"6"	"7"	"24"	"510"	""	"510"	""
"199"	"164"	"29"	"78"	"332"	"103"	"10"	"17"	"14"	"14"	"38"	"635"	""	"635"	""
"200"	"165"	"9"	"100"	"349"	"29"	"2"	"2"	"5"	"0"	"2"	"498"	""	"498"	""
"201"	"166"	"27"	"41"	"297"	"64"	"5"	"4"	"12"	"3"	"2"	"455"	""	"455"	""
"202"	"167"	"2"	"76"	"346"	"23"	"2"	"5"	"1"	"5"	"4"	"464"	""	"464"	""
"203"	"168"	"7"	"435"	"22"	"67"	"3"	"1"	"1"	"1"	"1"	"538"	""	"538"	""
"204"	"Page Total"	"2949"	"42423"	"19828"	"8669"	"750"	"1440"	"948"	"878"	"1508"	"79393"	"0"	"79393"	"0"
"205"	"B.F."	"2949"	"42423"	"19828"	"8669"	"750"	"1440"	"948"	"878"	"1508"	"79393"	"0"	"79393"	"0"
"206"	"169"	"8"	"176"	"43"	"14"	"1"	"7"	"1"	"5"	"2"	"257"	""	"257"	""
"207"	"170"	"12"	"179"	"43"	"122"	"3"	"2"	"6"	"3"	"4"	"374"	""	"374"	""
"208"	"171"	"28"	"229"	"91"	"218"	"10"	"11"	"12"	"5"	"12"	"616"	""	"616"	""
"209"	"172"	"13"	"77"	"244"	"48"	"3"	"7"	"4"	"5"	"10"	"411"	""	"411"	""
"210"	"Serial No.of Polling Station*"	"Dilip Kumar Raj Kushwaha"	"Ramnath Thakur"	"Shahid Ahmed"	"Arun Kumar Singh"	"Asha Devi"	"Umesh Kumar"	"Asho k Singh"	"Umes h Mahto"	"Naresh Paswan"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"211"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	""	""	""	""
"212"	"173"	"25"	"187"	"220"	"50"	"6"	"8"	"4"	"1"	"5"	"506"	""	"506"	""
"213"	"174"	"11"	"283"	"111"	"29"	"4"	"6"	"5"	"3"	"16"	"468"	""	"468"	""
"214"	"175"	"6"	"166"	"19"	"45"	"3"	"6"	"2"	"0"	"4"	"251"	""	"251"	""
"215"	"176"	"15"	"105"	"161"	"184"	"23"	"30"	"15"	"15"	"21"	"569"	""	"569"	""
"216"	"177"	"2"	"227"	"94"	"43"	"2"	"47"	"2"	"0"	"3"	"420"	""	"420"	""
"217"	"178"	"27"	"123"	"327"	"92"	"0"	"18"	"6"	"4"	"9"	"606"	""	"606"	""
"218"	"179"	"17"	"140"	"95"	"88"	"6"	"13"	"7"	"7"	"1"	"374"	""	"374"	""
"219"	"180"	"5"	"194"	"145"	"22"	"6"	"1"	"2"	"3"	"5"	"383"	""	"383"	""
"220"	"181"	"6"	"13"	"471"	"6"	"1"	"0"	"3"	"2"	"3"	"505"	""	"505"	""
"221"	"182"	"10"	"420"	"71"	"34"	"4"	"3"	"0"	"1"	"0"	"543"	""	"543"	""
"222"	"Page Total"	"3134"	"44942"	"21963"	"9664"	"822"	"1599"	"1017"	"932"	"1603"	"85676"	"0"	"85676"	"0"
"223"	"B.F."	"3134"	"44942"	"21963"	"9664"	"822"	"1599"	"1017"	"932"	"1603"	"85676"	"0"	"85676"	"0"
"224"	"183"	"18"	"180"	"340"	"75"	"10"	"8"	"9"	"6"	"11"	"657"	""	"657"	""
