"Sl.No.of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"Total.of.valid.votes"	"No.of.Rejected.votes"	"Total"	"No.of.Tendered.votes"
"102"	"80"	"38"	"327"	"61"	"14"	"210"	"31"	"10"	"11"	"11"	"16"	"32"	"761"	"0"	"761"	"0"
"103"	"81"	"56"	"135"	"166"	"7"	"182"	"4"	"12"	"3"	"3"	"1"	"8"	"577"	"0"	"577"	"0"
"104"	"82"	"31"	"154"	"134"	"5"	"168"	"15"	"10"	"4"	"3"	"2"	"7"	"533"	"0"	"533"	"0"
"105"	"83"	"159"	"116"	"12"	"7"	"65"	"1"	"3"	"0"	"4"	"3"	"9"	"379"	"0"	"379"	"0"
"106"	"84"	"55"	"235"	"111"	"12"	"109"	"6"	"2"	"3"	"1"	"2"	"3"	"539"	"0"	"539"	"0"
"107"	"Total"	"1040"	"3356"	"1410"	"142"	"1389"	"645"	"90"	"79"	"65"	"70"	"134"	"8420"	"0"	"8420"	"0"
"108"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of
Tendered votes"
"109"	""	"Rajendra Paswan"	"Ram Binod Paswan"	"Ramanan d Ram"	"Shiv Narayan Ram"	"Dhirendra Kumar"	"Nand Kishor Sada"	"Paltan Sada"	"Raja Ram Arya"	"Arun Paswan"	"Upendra Paswan"	"Ram Shankar Paswan"	""	""	""	""
"110"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"111"	"85"	"86"	"85"	"33"	"3"	"65"	"5"	"4"	"0"	"4"	"5"	"10"	"300"	"0"	"300"	"0"
"112"	"86"	"14"	"174"	"105"	"10"	"57"	"163"	"11"	"9"	"5"	"10"	"22"	"580"	"0"	"580"	"0"
"113"	"87"	"7"	"117"	"140"	"3"	"22"	"49"	"2"	"6"	"2"	"3"	"13"	"364"	"0"	"364"	"0"
"114"	"88"	"18"	"205"	"177"	"8"	"80"	"18"	"2"	"15"	"4"	"2"	"6"	"535"	"0"	"535"	"0"
"115"	"89"	"30"	"201"	"116"	"11"	"256"	"75"	"14"	"14"	"7"	"15"	"20"	"759"	"0"	"759"	"0"
"116"	"90"	"11"	"150"	"201"	"5"	"27"	"1"	"1"	"5"	"8"	"11"	"17"	"437"	"0"	"437"	"0"
"117"	"91"	"103"	"226"	"95"	"8"	"164"	"9"	"6"	"12"	"5"	"11"	"3"	"642"	"0"	"642"	"0"
"118"	"92"	"278"	"106"	"110"	"13"	"103"	"27"	"6"	"3"	"1"	"7"	"7"	"661"	"0"	"661"	"0"
"119"	"93"	"173"	"264"	"63"	"5"	"71"	"18"	"2"	"4"	"1"	"2"	"5"	"608"	"0"	"608"	"0"
"120"	"94"	"78"	"234"	"145"	"12"	"57"	"24"	"7"	"5"	"2"	"9"	"12"	"585"	"0"	"585"	"0"
"121"	"95"	"83"	"224"	"25"	"6"	"20"	"7"	"1"	"5"	"3"	"14"	"5"	"393"	"0"	"393"	"0"
"122"	"96"	"103"	"276"	"52"	"3"	"24"	"3"	"1"	"7"	"13"	"4"	"7"	"493"	"0"	"493"	"0"
"123"	"97"	"21"	"192"	"131"	"7"	"145"	"13"	"4"	"16"	"3"	"5"	"14"	"551"	"0"	"551"	"0"
"124"	"98"	"47"	"328"	"103"	"7"	"13"	"14"	"2"	"7"	"3"	"3"	"3"	"530"	"0"	"530"	"0"
"125"	"Total"	"1052"	"2782"	"1496"	"101"	"1104"	"426"	"63"	"108"	"61"	"101"	"144"	"7438"	"0"	"7438"	"0"
"126"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of
Tendered votes"
"127"	""	"Rajendra Paswan"	"Ram Binod Paswan"	"Ramanan d Ram"	"Shiv Narayan Ram"	"Dhirendra Kumar"	"Nand Kishor Sada"	"Paltan Sada"	"Raja Ram Arya"	"Arun Paswan"	"Upendra Paswan"	"Ram Shankar Paswan"	""	""	""	""
"128"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"129"	"99"	"19"	"234"	"144"	"6"	"26"	"12"	"2"	"11"	"1"	"3"	"2"	"460"	"0"	"460"	"0"
"130"	"100"	"9"	"163"	"108"	"6"	"27"	"16"	"9"	"4"	"6"	"8"	"19"	"375"	"0"	"375"	"0"
"131"	"101"	"21"	"209"	"70"	"6"	"14"	"21"	"6"	"7"	"6"	"4"	"8"	"372"	"0"	"372"	"0"
"132"	"102"	"15"	"110"	"112"	"11"	"154"	"15"	"9"	"3"	"1"	"6"	"5"	"441"	"0"	"441"	"0"
"133"	"103"	"17"	"127"	"99"	"5"	"214"	"36"	"10"	"7"	"6"	"7"	"13"	"541"	"0"	"541"	"0"
"134"	"104"	"25"	"199"	"249"	"10"	"131"	"27"	"6"	"9"	"12"	"4"	"16"	"688"	"0"	"688"	"0"
"135"	"105"	"58"	"119"	"79"	"9"	"154"	"12"	"6"	"4"	"4"	"4"	"4"	"453"	"0"	"453"	"0"
"136"	"106"	"10"	"56"	"46"	"3"	"22"	"56"	"1"	"2"	"3"	"5"	"2"	"206"	"0"	"206"	"0"
"137"	"107"	"28"	"87"	"239"	"9"	"10"	"5"	"3"	"8"	"7"	"10"	"15"	"421"	"0"	"421"	"0"
"138"	"108"	"32"	"178"	"89"	"15"	"14"	"17"	"0"	"1"	"2"	"5"	"2"	"355"	"0"	"355"	"0"
"139"	"109"	"54"	"380"	"17"	"9"	"54"	"7"	"0"	"108"	"1"	"12"	"12"	"654"	"0"	"654"	"0"
"140"	"110"	"196"	"220"	"16"	"3"	"71"	"2"	"2"	"58"	"5"	"8"	"15"	"596"	"0"	"596"	"0"
"141"	"111"	"106"	"184"	"11"	"4"	"112"	"2"	"4"	"48"	"3"	"6"	"5"	"485"	"0"	"485"	"0"
"142"	"112"	"110"	"281"	"58"	"6"	"96"	"4"	"0"	"37"	"2"	"11"	"7"	"612"	"0"	"612"	"0"
"143"	"Total"	"700"	"2547"	"1337"	"102"	"1099"	"232"	"58"	"307"	"59"	"93"	"125"	"6659"	"0"	"6659"	"0"
"144"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of
Tendered votes"
"145"	""	"Rajendra Paswan"	"Ram Binod Paswan"	"Ramanan d Ram"	"Shiv Narayan Ram"	"Dhirendra Kumar"	"Nand Kishor Sada"	"Paltan Sada"	"Raja Ram Arya"	"Arun Paswan"	"Upendra Paswan"	"Ram Shankar Paswan"	""	""	""	""
"146"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"147"	"113"	"219"	"125"	"16"	"4"	"142"	"10"	"11"	"22"	"7"	"24"	"56"	"636"	"0"	"636"	"0"
"148"	"114"	"45"	"96"	"71"	"6"	"15"	"5"	"5"	"114"	"13"	"10"	"21"	"401"	"0"	"401"	"0"
"149"	"115"	"205"	"58"	"82"	"12"	"54"	"8"	"5"	"46"	"5"	"4"	"15"	"494"	"0"	"494"	"0"
"150"	"116"	"186"	"199"	"51"	"8"	"53"	"4"	"2"	"58"	"9"	"5"	"6"	"581"	"0"	"581"	"0"
"151"	"117"	"45"	"277"	"40"	"9"	"12"	"6"	"8"	"260"	"13"	"16"	"12"	"698"	"0"	"698"	"0"
"152"	"118"	"131"	"95"	"85"	"19"	"24"	"19"	"15"	"205"	"12"	"20"	"17"	"642"	"0"	"642"	"0"
"153"	"119"	"31"	"227"	"52"	"13"	"127"	"11"	"6"	"6"	"3"	"3"	"2"	"481"	"0"	"481"	"0"
"154"	"120"	"89"	"236"	"104"	"23"	"73"	"7"	"4"	"7"	"14"	"6"	"10"	"573"	"0"	"573"	"0"
"155"	"121"	"95"	"156"	"32"	"7"	"108"	"4"	"5"	"7"	"7"	"7"	"10"	"438"	"0"	"438"	"0"
"156"	"122"	"110"	"91"	"78"	"12"	"156"	"14"	"5"	"5"	"7"	"11"	"31"	"520"	"0"	"520"	"0"
"157"	"123"	"46"	"131"	"79"	"12"	"65"	"7"	"5"	"15"	"2"	"4"	"8"	"374"	"0"	"374"	"0"
"158"	"124"	"113"	"39"	"92"	"15"	"103"	"8"	"14"	"7"	"11"	"16"	"31"	"449"	"0"	"449"	"0"
"159"	"125"	"32"	"512"	"105"	"9"	"81"	"6"	"3"	"6"	"2"	"7"	"16"	"779"	"0"	"779"	"0"
"160"	"126"	"44"	"619"	"94"	"9"	"57"	"4"	"3"	"2"	"6"	"7"	"16"	"861"	"0"	"861"	"0"
"161"	"Total"	"1391"	"2861"	"981"	"158"	"1070"	"113"	"91"	"760"	"111"	"140"	"251"	"7927"	"0"	"7927"	"0"
"162"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of
Tendered votes"
"163"	""	"Rajendra Paswan"	"Ram Binod Paswan"	"Ramanan d Ram"	"Shiv Narayan Ram"	"Dhirendra Kumar"	"Nand Kishor Sada"	"Paltan Sada"	"Raja Ram Arya"	"Arun Paswan"	"Upendra Paswan"	"Ram Shankar Paswan"	""	""	""	""
"164"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"165"	"127"	"18"	"240"	"135"	"8"	"48"	"4"	"3"	"1"	"0"	"1"	"0"	"458"	"0"	"458"	"0"
"166"	"128"	"209"	"185"	"48"	"4"	"7"	"4"	"3"	"1"	"0"	"4"	"5"	"470"	"0"	"470"	"0"
"167"	"129"	"121"	"258"	"92"	"15"	"140"	"4"	"6"	"9"	"6"	"8"	"18"	"677"	"0"	"677"	"0"
"168"	"130"	"22"	"351"	"25"	"2"	"31"	"3"	"2"	"2"	"3"	"9"	"4"	"454"	"0"	"454"	"0"
"169"	"131"	"5"	"216"	"28"	"2"	"18"	"3"	"1"	"2"	"0"	"1"	"1"	"277"	"0"	"277"	"0"
"170"	"132"	"112"	"372"	"16"	"2"	"106"	"3"	"1"	"12"	"1"	"2"	"3"	"630"	"0"	"630"	"0"
"171"	"133"	"73"	"344"	"45"	"8"	"118"	"4"	"7"	"3"	"6"	"6"	"19"	"633"	"0"	"633"	"0"
"172"	"134"	"17"	"343"	"15"	"1"	"24"	"0"	"0"	"0"	"1"	"2"	"6"	"409"	"0"	"409"	"0"
"173"	"135"	"58"	"399"	"33"	"6"	"61"	"4"	"3"	"1"	"5"	"6"	"11"	"587"	"0"	"587"	"0"
"174"	"136"	"100"	"468"	"38"	"2"	"108"	"5"	"3"	"2"	"4"	"12"	"18"	"760"	"0"	"760"	"0"
"175"	"137"	"248"	"91"	"53"	"6"	"114"	"4"	"5"	"3"	"4"	"7"	"24"	"559"	"0"	"559"	"0"
"176"	"138"	"107"	"310"	"49"	"11"	"53"	"5"	"9"	"8"	"5"	"29"	"30"	"616"	"0"	"616"	"0"
"177"	"139"	"72"	"215"	"52"	"4"	"67"	"2"	"7"	"4"	"5"	"9"	"15"	"452"	"0"	"452"	"0"
"178"	"140"	"78"	"320"	"71"	"6"	"81"	"5"	"2"	"3"	"3"	"22"	"14"	"605"	"0"	"605"	"0"
"179"	"Total"	"1240"	"4112"	"700"	"77"	"976"	"50"	"52"	"51"	"43"	"118"	"168"	"7587"	"0"	"7587"	"0"
"180"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of
Tendered votes"
"181"	""	"Rajendra Paswan"	"Ram Binod Paswan"	"Ramanan d Ram"	"Shiv Narayan Ram"	"Dhirendra Kumar"	"Nand Kishor Sada"	"Paltan Sada"	"Raja Ram Arya"	"Arun Paswan"	"Upendra Paswan"	"Ram Shankar Paswan"	""	""	""	""
"182"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"183"	"141"	"62"	"157"	"44"	"11"	"187"	"6"	"12"	"68"	"6"	"1"	"9"	"563"	"0"	"563"	"0"
"184"	"142"	"54"	"261"	"127"	"6"	"56"	"3"	"3"	"7"	"3"	"6"	"14"	"540"	"0"	"540"	"0"
