"ANNEURE.XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"
"14"	"1"	"PRIMARY SCHOOL PIPARPATTI (NORTH PART)"	"111"	"1"	"128"	"2"	"1"	"25"	"3"	"1"	"0"	"3"	"3"	"46"	"1"	"3"	"2"	"71"	"401"	"0"	"401"	"0"
"15"	"2"	"PRIMARY SCHOOL PIPARPATTI (SOUTH PART)"	"137"	"8"	"91"	"4"	"0"	"34"	"2"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"2"	"59"	"340"	"0"	"340"	"0"
"16"	"3"	"HIGH SCHOOL BALUAN (WEST PART)"	"183"	"3"	"173"	"2"	"1"	"80"	"4"	"0"	"1"	"0"	"2"	"9"	"2"	"3"	"6"	"62"	"531"	"0"	"531"	"0"
"17"	"4"	"HIGH SCHOOL BALUAN (EAST PART)"	"158"	"4"	"266"	"1"	"1"	"48"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"3"	"2"	"149"	"634"	"0"	"634"	"0"
"18"	"5"	"SAMUDAYIK BHAWAN BALUAN"	"41"	"2"	"194"	"5"	"5"	"270"	"9"	"0"	"1"	"1"	"15"	"3"	"3"	"2"	"5"	"169"	"725"	"0"	"725"	"0"
"19"	"6"	"PRIMARY SCHOOL KEWATIA"	"126"	"6"	"179"	"9"	"1"	"0"	"2"	"3"	"0"	"1"	"1"	"0"	"3"	"16"	"3"	"10"	"360"	"0"	"360"	"0"
"20"	"7"	"MIDDLE SCHOOL SOHRA (WEST PART)"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"21"	"8"	"MIDDLE SCHOOL SOHRA (EAST PART)"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"22"	"9"	"PANCHAYAT BHAWAN SOHRA"	"49"	"0"	"133"	"2"	"0"	"20"	"18"	"4"	"1"	"5"	"1"	"4"	"1"	"1"	"7"	"217"	"463"	"0"	"463"	"0"
"23"	"10"	"MIDDLE SCHOOL SOHRA (EAST PART)"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"24"	"11"	"PRIMARY SCHOOL NARGADA"	"176"	"0"	"52"	"1"	"1"	"86"	"11"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"2"	"1"	"332"	"0"	"332"	"0"
"25"	"12"	"PANCHAYAT BHAWAN NARGADA"	"327"	"7"	"141"	"1"	"1"	"28"	"1"	"2"	"1"	"1"	"0"	"0"	"4"	"5"	"3"	"15"	"537"	"0"	"537"	"0"
"26"	"13"	"PRIMARY SCHOOL MAJHAULI"	"6"	"0"	"6"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"16"	"0"	"16"	"0"
"27"	"14"	"PRIMARY SCHOOL NURPUR"	"38"	"2"	"269"	"5"	"3"	"1"	"2"	"0"	"0"	"1"	"1"	"1"	"0"	"5"	"6"	"132"	"466"	"0"	"466"	"0"
"28"	"15"	"PRIMARY SCHOOL JOKAHARI"	"384"	"19"	"178"	"0"	"2"	"6"	"24"	"19"	"4"	"1"	"0"	"3"	"0"	"1"	"1"	"39"	"681"	"0"	"681"	"0"
"29"	"16"	"MIDDLE SCHOOL KUDARIYA PARSHURAM"	"93"	"26"	"96"	"1"	"1"	"5"	"10"	"3"	"3"	"1"	"1"	"13"	"0"	"2"	"2"	"55"	"312"	"0"	"312"	"0"
"30"	"17"	"MIDDLE SCHOOL KUDARIYA PARSHURAM"	"148"	"3"	"88"	"0"	"0"	"0"	"9"	"3"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"5"	"258"	"0"	"258"	"0"
"31"	"18"	"PRIMARY SCHOOL JAGATPUR"	"16"	"6"	"470"	"2"	"0"	"0"	"146"	"3"	"3"	"5"	"0"	"0"	"2"	"1"	"2"	"6"	"662"	"0"	"662"	"0"
"32"	"19"	"MIDDLE SCHOOL PAKRI"	"30"	"1"	"124"	"3"	"1"	"8"	"274"	"3"	"2"	"20"	"3"	"0"	"2"	"4"	"1"	"7"	"483"	"0"	"483"	"0"
"33"	"20"	"PRIMARY SCHOOL MILKI"	"163"	"1"	"258"	"6"	"0"	"8"	"17"	"8"	"0"	"4"	"0"	"4"	"3"	"3"	"6"	"43"	"524"	"0"	"524"	"0"
"34"	"21"	"PRIMARY SCHOOL KRISHNAGARH"	"720"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"721"	"0"	"721"	"0"
"35"	"22"	"PRIMARY SCHOOL GHAGHAR"	"118"	"0"	"77"	"2"	"0"	"16"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"2"	"37"	"254"	"0"	"254"	"0"
"36"	"Serial"	"Name of Polling Stations"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total"	"No. of"	"Total"	"No. of"
"37"	"No. of Polling Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"valid votes"	"rejecte d votes"	""	"tendered votes"
"38"	""	""	"ASHA DEVI"	"KAMESH WAR SINGH"	"RAGHVEN DRA PRATAP"	"RANA RANJIT SINGH"	"RAMADH AR SINGH"	"LETAPHAT HUSEN"	"SARYAU YADAV"	"KAMLES H KUMAR SINGH"	"NIRMAL SINGH"	"PASUPATI SINGH"	"RAJ NARAYA N SINGH"	"RAM SAKAL SINGH"	"VIJAY KUMAR SINGH"	"VIJAY NAND KUMAR"	"DR. SIYAMA TI ROY"	"HAKIM PRASAD"	""	""	""	""
"39"	""	""	""	""	"SINGH"	""	""	""	""	""	""	""	""	"YADAV"	""	"RAM"	""	""	""	""	""	""
"40"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"41"	"23"	"URDU PRIMARY SCHOOL JHOKHIPUR"	"13"	"0"	"45"	"1"	"0"	"5"	"45"	"4"	"2"	"0"	"0"	"1"	"1"	"2"	"1"	"135"	"255"	"0"	"255"	"0"
"42"	"24"	"PRIMARY SCHOOL GALCHAUR"	"126"	"40"	"83"	"1"	"1"	"10"	"60"	"10"	"6"	"10"	"0"	"0"	"2"	"3"	"4"	"77"	"433"	"0"	"433"	"0"
"43"	"25"	"PRIMARY SCHOOL UDAYBHANPUR"	"171"	"3"	"101"	"1"	"0"	"0"	"4"	"7"	"0"	"2"	"2"	"25"	"0"	"1"	"4"	"99"	"420"	"0"	"420"	"0"
"44"	"26"	"RAJKIYA BUNIYADI SCHOOL BABHANGAWAN (EA"	"425"	"2"	"94"	"1"	"0"	"5"	"6"	"0"	"1"	"4"	"4"	"2"	"0"	"3"	"5"	"128"	"680"	"0"	"680"	"0"
"45"	"27"	"RAJKIYA BUNIYADI SCHOOL BABHANGAWAN (W"	"91"	"55"	"198"	"9"	"8"	"11"	"37"	"6"	"5"	"12"	"2"	"11"	"5"	"1"	"7"	"105"	"563"	"0"	"563"	"0"
"46"	"28"	"HIGH SCHOOL SARAIYAN (EAST PART)"	"289"	"10"	"148"	"6"	"1"	"6"	"3"	"0"	"1"	"1"	"7"	"56"	"5"	"7"	"13"	"187"	"740"	"0"	"740"	"0"
"47"	"29"	"HIGH SCHOOL SARAIYAN (WEST PART)"	"120"	"3"	"100"	"3"	"3"	"74"	"48"	"10"	"4"	"3"	"8"	"4"	"2"	"6"	"24"	"292"	"704"	"0"	"704"	"0"
"48"	"30"	"PRIMARY SCHOOL SARAIYAN"	"226"	"0"	"192"	"2"	"1"	"12"	"7"	"1"	"3"	"2"	"4"	"13"	"5"	"4"	"11"	"295"	"778"	"0"	"778"	"0"
"49"	"31"	"PRIMARY SCHOOL DURGTOLA"	"106"	"28"	"197"	"3"	"4"	"36"	"78"	"7"	"7"	"7"	"5"	"4"	"4"	"6"	"16"	"245"	"753"	"0"	"753"	"0"
"50"	"32"	"PANCHAYAT BHAWAN SINHA (EAST PART)"	"80"	"3"	"103"	"3"	"1"	"0"	"2"	"2"	"0"	"1"	"0"	"0"	"1"	"4"	"5"	"126"	"331"	"0"	"331"	"0"
"51"	"33"	"PANCHAYAT BHAWAN SINHA (WEST PART)"	"34"	"3"	"93"	"1"	"1"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"3"	"6"	"9"	"231"	"385"	"0"	"385"	"0"
"52"	"34"	"MIDDLE SCHOOL SINHA"	"277"	"0"	"214"	"2"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"3"	"4"	"0"	"4"	"120"	"626"	"0"	"626"	"0"
"53"	"35"	"PRIMARY SCHOOL LAXMIPUR"	"296"	"7"	"133"	"1"	"4"	"3"	"2"	"6"	"2"	"3"	"5"	"2"	"4"	"5"	"8"	"95"	"576"	"0"	"576"	"0"
"54"	"36"	"PRIMARY SCHOOL PANDEY TOLA"	"115"	"9"	"163"	"7"	"3"	"4"	"3"	"0"	"0"	"2"	"6"	"0"	"5"	"16"	"8"	"216"	"557"	"0"	"557"	"0"
"55"	"37"	"PRIMARY SCHOOL PANDEY TOLA NAYA BH"	"2"	"2"	"152"	"4"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"22"	"3"	"4"	"4"	"86"	"281"	"0"	"281"	"0"
"56"	"38"	"SAMUDAYIK BHAWAN KAWAL CHHAPRA"	"45"	"4"	"199"	"9"	"2"	"9"	"4"	"0"	"2"	"1"	"1"	"0"	"10"	"3"	"9"	"119"	"417"	"0"	"417"	"0"
"57"	"39"	"PRIMARY SCHOOL LUFUSPUR"	"103"	"5"	"163"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"8"	"0"	"0"	"3"	"43"	"326"	"0"	"326"	"0"
"58"	"40"	"PRIMARY SCHOOL SHIVPUR"	"40"	"0"	"192"	"5"	"0"	"12"	"0"	"15"	"0"	"12"	"1"	"10"	"2"	"0"	"32"	"255"	"576"	"0"	"576"	"0"
"59"	"41"	"MIDDLE SCHOOL GUNDI (EAST PART)"	"43"	"6"	"93"	"3"	"1"	"0"	"0"	"1"	"3"	"1"	"5"	"16"	"4"	"8"	"8"	"317"	"509"	"0"	"509"	"0"
"60"	"42"	"MIDDLE SCHOOL GUNDI (WEST PART)"	"82"	"1"	"308"	"6"	"0"	"8"	"9"	"0"	"5"	"6"	"1"	"12"	"6"	"16"	"20"	"170"	"650"	"0"	"650"	"0"
"61"	"43"	"PRIMARY SCHOOL GUNDI (NORTH PART)"	"137"	"5"	"383"	"2"	"1"	"5"	"2"	"10"	"0"	"1"	"0"	"1"	"0"	"1"	"4"	"230"	"782"	"0"	"782"	"0"
"62"	"44"	"PRIMARY SCHOOL GUNDI (SOUTH PART)"	"198"	"1"	"112"	"0"	"0"	"2"	"1"	"0"	"0"	"0"	"2"	"0"	"1"	"0"	"3"	"53"	"373"	"0"	"373"	"0"
"63"	"45"	"PRIMARY SCHOOL GUNDI(BALAK)"	"118"	"11"	"137"	"6"	"2"	"16"	"45"	"14"	"10"	"11"	"7"	"3"	"7"	"10"	"13"	"165"	"575"	"0"	"575"	"0"
"64"	"46"	"PRIMARY SCHOOL KHAWASHPUR BHAWAN TOL"	"97"	"1"	"174"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"3"	"116"	"394"	"0"	"394"	"0"
"65"	"47"	"MIDDLE SCHOOL KHAWASHPUR (EAST PART)"	"1"	"2"	"93"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"2"	"0"	"0"	"2"	"402"	"504"	"0"	"504"	"0"
"66"	"48"	"MIDDLE SCHOOL KHAWASHPUR (WEST PART)"	"0"	"0"	"174"	"0"	"0"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"290"	"470"	"0"	"470"	"0"
"67"	"49"	"HIGH SCHOOL KHAWASHPUR"	"2"	"0"	"301"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"152"	"458"	"0"	"458"	"0"
"68"	"50"	"PRIMARY SCHOOL KHAWASHPUR"	"1"	"2"	"743"	"2"	"1"	"0"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"132"	"898"	"0"	"898"	"0"
"69"	"51"	"PRIMARY SCHOOL GAURA HAJARI KE TOLA"	"12"	"1"	"157"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"3"	"165"	"339"	"0"	"339"	"0"
"70"	"52"	"MIDDLE SCHOOL CHHINEGAON (NORTH PART)"	"231"	"0"	"39"	"0"	"1"	"56"	"1"	"1"	"0"	"5"	"11"	"2"	"1"	"1"	"5"	"54"	"408"	"0"	"408"	"0"
"71"	"53"	"MIDDLE SCHOOL CHHINEGAON (SOUTH PART)"	"123"	"4"	"55"	"3"	"0"	"17"	"7"	"4"	"1"	"0"	"2"	"1"	"1"	"2"	"11"	"128"	"359"	"0"	"359"	"0"
"72"	"Serial"	"Name of Polling Stations"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total"	"No. of"	"Total"	"No. of"
"73"	"No. of Polling Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"valid votes"	"rejecte d votes"	""	"tendered votes"
"74"	""	""	"ASHA DEVI"	"KAMESH WAR SINGH"	"RAGHVEN DRA PRATAP"	"RANA RANJIT SINGH"	"RAMADH AR SINGH"	"LETAPHAT HUSEN"	"SARYAU YADAV"	"KAMLES H KUMAR SINGH"	"NIRMAL SINGH"	"PASUPATI SINGH"	"RAJ NARAYA N SINGH"	"RAM SAKAL SINGH"	"VIJAY KUMAR SINGH"	"VIJAY NAND KUMAR"	"DR. SIYAMA TI ROY"	"HAKIM PRASAD"	""	""	""	""
"75"	""	""	""	""	"SINGH"	""	""	""	""	""	""	""	""	"YADAV"	""	"RAM"	""	""	""	""	""	""
"76"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"77"	"54"	"PRIMARY SCHOOL GAJIYAPUR"	"56"	"2"	"80"	"2"	"1"	"4"	"41"	"6"	"3"	"8"	"6"	"5"	"5"	"5"	"21"	"187"	"432"	"0"	"432"	"0"
"78"	"55"	"PANCHAYAT BHAWAN FARHADA"	"67"	"9"	"144"	"4"	"3"	"0"	"1"	"2"	"4"	"4"	"1"	"61"	"2"	"7"	"10"	"256"	"575"	"0"	"575"	"0"
"79"	"56"	"BUNIYADI SCHOOL FARHADA"	"200"	"1"	"66"	"0"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"4"	"236"	"513"	"0"	"513"	"0"
"80"	"57"	"PRIMARY SCHOOL GYANPUR"	"338"	"5"	"220"	"3"	"0"	"8"	"2"	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"89"	"669"	"0"	"669"	"0"
"81"	"58"	"PRIMARY SCHOOL NATHMALPUR"	"43"	"4"	"24"	"2"	"0"	"3"	"7"	"3"	"0"	"1"	"0"	"3"	"2"	"1"	"7"	"335"	"435"	"0"	"435"	"0"
"82"	"59"	"MIDDLE SCHOOL NATHMALPUR (EAST PART)"	"107"	"4"	"116"	"5"	"0"	"4"	"1"	"1"	"1"	"2"	"9"	"3"	"5"	"9"	"5"	"121"	"393"	"0"	"393"	"0"
"83"	"60"	"MIDDLE SCHOOL NATHMALPUR (WEST PART)"	"224"	"2"	"91"	"2"	"0"	"1"	"0"	"0"	"1"	"1"	"2"	"22"	"1"	"0"	"3"	"49"	"399"	"0"	"399"	"0"
"84"	"61"	"PRIMARY SCHOOL MAHUDAHI"	"226"	"0"	"182"	"2"	"0"	"0"	"1"	"3"	"1"	"1"	"2"	"0"	"2"	"2"	"3"	"80"	"505"	"0"	"505"	"0"
"85"	"62"	"BUNIYADI SCHOOL BAKHORAPUR (EAST PART)"	"367"	"0"	"189"	"0"	"0"	"0"	"0"	"2"	"0"	"1"	"1"	"0"	"0"	"2"	"0"	"16"	"578"	"0"	"578"	"0"
"86"	"63"	"BUNIYADI SCHOOL BAKHORAPUR (WEST P"	"116"	"3"	"90"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"1"	"2"	"70"	"287"	"0"	"287"	"0"
"87"	"64"	"PRIMARY SCHOOL PAIGA (NORTH PART)"	"88"	"3"	"126"	"2"	"2"	"8"	"1"	"4"	"0"	"1"	"0"	"1"	"1"	"2"	"7"	"176"	"422"	"0"	"422"	"0"
"88"	"65"	"PRIMARY SCHOOL PAIGA (SOUTH PART)"	"90"	"2"	"124"	"8"	"1"	"0"	"0"	"1"	"1"	"1"	"2"	"52"	"4"	"8"	"5"	"196"	"495"	"0"	"495"	"0"
"89"	"66"	"PRIMARY SCHOOL LAUHAR BUJURG (SOUTH PA"	"503"	"3"	"203"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"29"	"741"	"0"	"741"	"0"
"90"	"67"	"PRIMARY SCHOOL LAUHAR BUJURG (NORTH PA"	"344"	"3"	"116"	"0"	"0"	"0"	"28"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"80"	"574"	"0"	"574"	"0"
"91"	"68"	"PRIMARY SCHOOL LAUHAR SRIPAL"	"320"	"2"	"72"	"0"	"0"	"11"	"1"	"53"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"32"	"495"	"0"	"495"	"0"
"92"	"69"	"MANIKCHAND MIDDLE SCHOOL FARNA (NORTH"	"310"	"2"	"67"	"0"	"0"	"6"	"22"	"2"	"1"	"0"	"3"	"3"	"0"	"2"	"0"	"91"	"509"	"0"	"509"	"0"
"93"	"70"	"MANIKCHAND MIDDLE SCHOOL FARNA (SOUTH"	"42"	"8"	"135"	"6"	"5"	"5"	"30"	"7"	"4"	"6"	"3"	"2"	"5"	"6"	"10"	"273"	"547"	"0"	"547"	"0"
"94"	"71"	"PRIMARY SCHOOL BHUSAULA"	"102"	"4"	"173"	"4"	"3"	"5"	"19"	"2"	"1"	"2"	"2"	"0"	"3"	"10"	"6"	"16"	"352"	"0"	"352"	"0"
"95"	"72"	"PRIMARY SCHOOL MOHANPUR KARJA (EAST PA"	"155"	"0"	"95"	"2"	"0"	"0"	"17"	"7"	"0"	"3"	"3"	"0"	"0"	"1"	"3"	"30"	"316"	"0"	"316"	"0"
"96"	"73"	"PRIMARY SCHOOL MOHANPUR KARJA (WEST PA"	"218"	"1"	"92"	"1"	"0"	"2"	"10"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"3"	"2"	"332"	"0"	"332"	"0"
"97"	"74"	"PRIMARY SCHOOL KESHAWPUR"	"274"	"1"	"175"	"4"	"0"	"1"	"0"	"1"	"0"	"1"	"0"	"3"	"0"	"2"	"16"	"13"	"491"	"0"	"491"	"0"
"98"	"75"	"PRIMARY SCHOOL SEMARIYA"	"142"	"4"	"146"	"5"	"1"	"2"	"2"	"1"	"1"	"0"	"1"	"3"	"0"	"4"	"12"	"166"	"490"	"0"	"490"	"0"
"99"	"76"	"PRIMARY SCHOOL PADARIYA"	"262"	"6"	"136"	"3"	"2"	"3"	"10"	"3"	"0"	"3"	"3"	"1"	"2"	"10"	"4"	"29"	"477"	"0"	"477"	"0"
"100"	"77"	"PRIMARY SCHOOL MUTUKPUR"	"89"	"7"	"156"	"0"	"2"	"13"	"5"	"3"	"3"	"4"	"10"	"149"	"3"	"4"	"28"	"166"	"642"	"0"	"642"	"0"
"101"	"78"	"PRIMARY SCHOOL RAMSAGAR"	"100"	"6"	"192"	"4"	"0"	"2"	"27"	"8"	"0"	"11"	"3"	"1"	"1"	"1"	"8"	"106"	"470"	"0"	"470"	"0"
"102"	"79"	"PRIMARY SCHOOL PANDITPUR"	"29"	"8"	"126"	"3"	"1"	"5"	"5"	"2"	"0"	"10"	"0"	"3"	"0"	"1"	"1"	"118"	"312"	"0"	"312"	"0"
"103"	"80"	"PRIMARY SCHOOL RAMSAHAR (EAST PAR"	"170"	"3"	"161"	"3"	"1"	"14"	"3"	"1"	"0"	"3"	"3"	"5"	"2"	"7"	"14"	"137"	"527"	"0"	"527"	"0"
"104"	"81"	"PRIMARY SCHOOL RAMSAHAR (WEST PAR"	"205"	"4"	"159"	"3"	"1"	"11"	"18"	"0"	"2"	"3"	"4"	"2"	"3"	"8"	"9"	"96"	"528"	"0"	"528"	"0"
"105"	"82"	"PRIMARY SCHOOL CHHITNI KE BAG"	"15"	"4"	"83"	"0"	"4"	"1"	"4"	"0"	"1"	"1"	"0"	"6"	"1"	"2"	"12"	"448"	"582"	"0"	"582"	"0"
"106"	"83"	"PRIMARY SCHOOL KUIYAN"	"380"	"1"	"104"	"0"	"0"	"0"	"0"	"0"	"0"	"13"	"1"	"0"	"0"	"0"	"0"	"6"	"505"	"0"	"505"	"0"
"107"	"84"	"PRIMARY SCHOOL EKAUNA GANJ"	"20"	"0"	"5"	"0"	"0"	"1"	"2"	"2"	"1"	"357"	"1"	"1"	"0"	"0"	"0"	"0"	"390"	"0"	"390"	"0"
"108"	"Serial"	"Name of Polling Stations"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total"	"No. of"	"Total"	"No. of"
"109"	"No. of Polling Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"valid votes"	"rejecte d votes"	""	"tendered votes"
"110"	""	""	"ASHA DEVI"	"KAMESH WAR SINGH"	"RAGHVEN DRA PRATAP"	"RANA RANJIT SINGH"	"RAMADH AR SINGH"	"LETAPHAT HUSEN"	"SARYAU YADAV"	"KAMLES H KUMAR SINGH"	"NIRMAL SINGH"	"PASUPATI SINGH"	"RAJ NARAYA N SINGH"	"RAM SAKAL SINGH"	"VIJAY KUMAR SINGH"	"VIJAY NAND KUMAR"	"DR. SIYAMA TI ROY"	"HAKIM PRASAD"	""	""	""	""
"111"	""	""	""	""	"SINGH"	""	""	""	""	""	""	""	""	"YADAV"	""	"RAM"	""	""	""	""	""	""
"112"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"113"	"85"	"SAMUDAYIK BHAWAN EKAUNA"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"494"	"0"	"0"	"1"	"0"	"0"	"0"	"501"	"0"	"501"	"0"
"114"	"86"	"PRIMARY SCHOOL EKAUNA"	"457"	"1"	"60"	"1"	"0"	"0"	"1"	"4"	"0"	"28"	"1"	"0"	"0"	"0"	"0"	"33"	"586"	"0"	"586"	"0"
"115"	"87"	"URDU MAKTAB KAJICHAK"	"102"	"4"	"192"	"1"	"2"	"50"	"5"	"3"	"0"	"17"	"0"	"3"	"0"	"0"	"1"	"73"	"453"	"0"	"453"	"0"
"116"	"88"	"PRIMARY SCHOOL CHATAR (EAST PART)"	"187"	"7"	"93"	"5"	"4"	"26"	"13"	"11"	"2"	"7"	"5"	"7"	"6"	"7"	"7"	"33"	"420"	"0"	"420"	"0"
"117"	"89"	"PRIMARY SCHOOL CHATAR (WEST PART)"	"324"	"13"	"45"	"1"	"1"	"27"	"11"	"10"	"3"	"4"	"4"	"24"	"6"	"2"	"4"	"36"	"515"	"0"	"515"	"0"
"118"	"90"	"PRIMARY SCHOOL AGARPURA"	"620"	"1"	"16"	"1"	"0"	"55"	"4"	"1"	"0"	"5"	"0"	"1"	"1"	"0"	"0"	"3"	"708"	"0"	"708"	"0"
"119"	"91"	"PRIMARY SCHOOL BABHANGAWAN (WEST"	"36"	"0"	"501"	"3"	"1"	"41"	"4"	"2"	"1"	"7"	"1"	"66"	"0"	"0"	"4"	"13"	"680"	"0"	"680"	"0"
"120"	"92"	"PRIMARY SCHOOL BABURA (LEFT)"	"30"	"0"	"50"	"2"	"2"	"3"	"85"	"5"	"2"	"20"	"6"	"1"	"3"	"2"	"8"	"102"	"321"	"0"	"321"	"0"
"121"	"93"	"PRIMARY SCHOOL BABURA (RIGHT)"	"265"	"2"	"105"	"1"	"0"	"1"	"25"	"1"	"1"	"4"	"3"	"0"	"2"	"1"	"2"	"42"	"455"	"0"	"455"	"0"
"122"	"94"	"HIGH SCHOOL BABURA (EAST PART)"	"564"	"8"	"70"	"2"	"0"	"13"	"2"	"0"	"2"	"2"	"4"	"5"	"2"	"4"	"0"	"92"	"770"	"0"	"770"	"0"
"123"	"95"	"HIGH SCHOOL BABURA (WEST PART)"	"160"	"2"	"377"	"1"	"0"	"4"	"0"	"1"	"0"	"0"	"1"	"5"	"1"	"0"	"1"	"32"	"585"	"0"	"585"	"0"
