"ernku..dsUnz.dh..la..k"	"fuEufyf.kr..vH.fFkZ.ks..ds..Ik.k..esa..fn...x...fof.kekU...erksa..dh..la..k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"fufonr..erks..dh..la..k"	"izfr.ksfir..eri.ksa..dh..la."	"dqy..fof.kekU....oa..izfr.ksfir.erks..dh..la..k"
"14"	"12"	"197"	"28"	""	"2"	"0"	"0"	"1"	"0"	"1"	"5"	"0"	"3"	"160"	"397"	""	""	"397"
"15"	"13"	"101"	"16"	""	"3"	"0"	"2"	"3"	"0"	"2"	"1"	"2"	"2"	"115"	"247"	""	""	"247"
"16"	"14"	"22"	"69"	""	"0"	"9"	"3"	"3"	"0"	"1"	"10"	"1"	"9"	"75"	"202"	""	""	"202"
"17"	"Round Total"	"1380"	"1234"	""	"35"	"105"	"22"	"45"	"182"	"44"	"93"	"42"	"106"	"2389"	"5677"	"0"	"0"	"5677"
"18"	"ernku  dsUnz dh  la[;k"	"fuEufyf[kr  vH;fFkZ;ks  ds  Ik{k  esa  fn,  x,  fof/kekU;  erksa  dh  la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	"fufonr  erks  dh  la[;k"	"izfr{ksfir  eri=ksa  dh  la-"	"dqy  fof/kekU;  ,oa  izfr{ksfir erks  dh  la[;k"
"19"	""	"Mk0  vCnqy  xQqj"	"xqats'oj  lkg"	""	"iz.ko  dqekj  nkl"	"vdhy  vgen"	"y{eh ukjk;.k >k"	"dkS'kY;k nsoh"	"xaxk jke  lknk"	"nsosUnz  esgrk"	"eks0  eghmnhu"	"'kf'k Hkw\"k.k"	"lq[knso  eqf[k;k"	"lqjsUnz  ;kno"	"dqy  fof/kekU;  er"	""	""	""
"20"	"ROUND -II"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"21"	"B.F.->"	"1380"	"1234"	""	"35"	"105"	"22"	"45"	"182"	"44"	"93"	"42"	"106"	"2389"	"5677"	"0"	"0"	"5677"
"22"	"15"	"85"	"99"	""	"3"	"5"	"0"	"2"	"4"	"1"	"2"	"3"	"3"	"46"	"253"	""	""	"253"
"23"	"16"	"168"	"92"	""	"3"	"6"	"2"	"10"	"13"	"3"	"18"	"1"	"9"	"165"	"490"	""	""	"490"
"24"	"17"	"100"	"287"	""	"11"	"4"	"1"	"6"	"6"	"5"	"14"	"1"	"7"	"76"	"518"	""	""	"518"
"25"	"18"	"136"	"102"	""	"3"	"4"	"0"	"0"	"1"	"3"	"4"	"1"	"7"	"135"	"396"	""	""	"396"
"26"	"19"	"234"	"89"	""	"3"	"4"	"6"	"4"	"1"	"2"	"14"	"11"	"15"	"226"	"609"	""	""	"609"
"27"	"20"	"105"	"80"	""	"10"	"40"	"6"	"16"	"2"	"5"	"7"	"6"	"10"	"63"	"350"	""	""	"350"
"28"	"21"	"59"	"413"	""	"7"	"72"	"4"	"7"	"4"	"2"	"9"	"7"	"7"	"31"	"622"	""	""	"622"
"29"	"22"	"58"	"351"	""	"3"	"24"	"2"	"7"	"5"	"1"	"18"	"3"	"5"	"11"	"488"	""	""	"488"
"30"	"23"	"42"	"269"	""	"3"	"15"	"5"	"10"	"5"	"3"	"23"	"2"	"6"	"52"	"435"	""	""	"435"
"31"	"24"	"117"	"107"	""	"6"	"6"	"5"	"8"	"7"	"7"	"33"	"11"	"15"	"162"	"484"	""	""	"484"
"32"	"25"	"39"	"3"	""	"1"	"4"	"1"	"1"	"1"	"0"	"0"	"1"	"0"	"204"	"255"	""	""	"255"
"33"	"26"	"132"	"39"	""	"1"	"13"	"0"	"2"	"0"	"4"	"5"	"1"	"3"	"331"	"531"	""	""	"531"
"34"	"27"	"375"	"4"	""	"1"	"9"	"0"	"0"	"0"	"0"	"0"	"1"	"6"	"289"	"685"	""	""	"685"
"35"	"28"	"327"	"16"	""	"4"	"121"	"6"	"2"	"0"	"0"	"2"	"6"	"3"	"31"	"518"	""	""	"518"
"36"	"Round Total"	"1977"	"1951"	""	"59"	"327"	"38"	"75"	"49"	"36"	"149"	"55"	"96"	"1822"	"6634"	"0"	"0"	"6634"
"37"	"C.F.->"	"3357"	"3185"	""	"94"	"432"	"60"	"120"	"231"	"80"	"242"	"97"	"202"	"4211"	"12311"	"0"	"0"	"12311"
"38"	"ernku  dsUnz dh  la[;k"	"fuEufyf[kr  vH;fFkZ;ks  ds  Ik{k  esa  fn,  x,  fof/kekU;  erksa  dh  la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	"fufonr  erks  dh  la[;k"	"izfr{ksfir  eri=ksa  dh  la-"	"dqy  fof/kekU;  ,oa  izfr{ksfir erks  dh  la[;k"
"39"	""	"Mk0  vCnqy  xQqj"	"xqats'oj  lkg"	""	"iz.ko  dqekj  nkl"	"vdhy  vgen"	"y{eh ukjk;.k >k"	"dkS'kY;k nsoh"	"xaxk jke  lknk"	"nsosUnz  esgrk"	"eks0  eghmnhu"	"'kf'k Hkw\"k.k"	"lq[knso  eqf[k;k"	"lqjsUnz  ;kno"	"dqy  fof/kekU;  er"	""	""	""
"40"	"ROUND- III"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"41"	"B.F.->"	"3357"	"3185"	""	"94"	"432"	"60"	"120"	"231"	"80"	"242"	"97"	"202"	"4211"	"12311"	"0"	"0"	"12311"
"42"	"29"	"107"	"8"	""	"2"	"58"	"2"	"1"	"0"	"3"	"3"	"4"	"3"	"16"	"207"	""	""	"207"
"43"	"30"	"25"	"180"	""	"3"	"28"	"2"	"6"	"1"	"5"	"21"	"12"	"8"	"152"	"443"	""	""	"443"
"44"	"31"	"95"	"16"	""	"1"	"3"	"1"	"2"	"7"	"3"	"3"	"0"	"5"	"418"	"554"	""	""	"554"
"45"	"32"	"81"	"37"	""	"1"	"4"	"1"	"1"	"4"	"2"	"2"	"5"	"4"	"524"	"666"	""	""	"666"
"46"	"33"	"49"	"13"	""	"2"	"0"	"2"	"1"	"1"	"0"	"3"	"1"	"5"	"256"	"333"	""	""	"333"
"47"	"34"	"74"	"33"	""	"1"	"3"	"2"	"3"	"10"	"4"	"11"	"173"	"10"	"314"	"638"	""	""	"638"
"48"	"35"	"8"	"41"	""	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"730"	"781"	""	""	"781"
"49"	"36"	"20"	"11"	""	"3"	"1"	"0"	"1"	"6"	"5"	"5"	"2"	"7"	"190"	"251"	""	""	"251"
"50"	"37"	"28"	"8"	""	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"3"	"560"	"601"	""	""	"601"
"51"	"38"	"195"	"12"	""	"0"	"1"	"0"	"0"	"0"	"0"	"2"	"0"	"1"	"740"	"951"	""	""	"951"
"52"	"39"	"223"	"114"	""	"2"	"24"	"1"	"1"	"2"	"2"	"7"	"4"	"4"	"51"	"435"	""	""	"435"
"53"	"40"	"222"	"68"	""	"4"	"36"	"2"	"1"	"0"	"0"	"3"	"3"	"6"	"31"	"376"	""	""	"376"
"54"	"41"	"168"	"222"	""	"15"	"12"	"3"	"10"	"3"	"5"	"11"	"5"	"6"	"59"	"519"	""	""	"519"
"55"	"42"	"103"	"211"	""	"3"	"11"	"2"	"4"	"2"	"4"	"16"	"1"	"11"	"43"	"411"	""	""	"411"
"56"	"Round Total"	"1398"	"974"	""	"37"	"182"	"20"	"31"	"36"	"33"	"87"	"210"	"74"	"4084"	"7166"	"0"	"0"	"7166"
"57"	"C.F.->"	"4755"	"4159"	""	"131"	"614"	"80"	"151"	"267"	"113"	"329"	"307"	"276"	"8295"	"19477"	"0"	"0"	"19477"
"58"	"ernku  dsUnz dh  la[;k"	"fuEufyf[kr  vH;fFkZ;ks  ds  Ik{k  esa  fn,  x,  fof/kekU;  erksa  dh  la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	"fufonr  erks  dh  la[;k"	"izfr{ksfir  eri=ksa  dh  la-"	"dqy  fof/kekU;  ,oa  izfr{ksfir erks  dh  la[;k"
"59"	""	"Mk0  vCnqy  xQqj"	"xqats'oj  lkg"	""	"iz.ko  dqekj  nkl"	"vdhy  vgen"	"y{eh ukjk;.k >k"	"dkS'kY;k nsoh"	"xaxk jke  lknk"	"nsosUnz  esgrk"	"eks0  eghmnhu"	"'kf'k Hkw\"k.k"	"lq[knso  eqf[k;k"	"lqjsUnz  ;kno"	"dqy  fof/kekU;  er"	""	""	""
"60"	"ROUND -IV"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"61"	"B.F.->"	"4755"	"4159"	""	"131"	"614"	"80"	"151"	"267"	"113"	"329"	"307"	"276"	"8295"	"19477"	"0"	"0"	"19477"
"62"	"43"	"4"	"44"	""	"2"	"1"	"0"	"1"	"9"	"1"	"4"	"0"	"4"	"357"	"427"	""	""	"427"
"63"	"44"	"11"	"52"	""	"3"	"7"	"2"	"2"	"1"	"2"	"1"	"0"	"1"	"88"	"170"	""	""	"170"
"64"	"45"	"44"	"75"	""	"0"	"20"	"0"	"1"	"1"	"0"	"1"	"0"	"0"	"19"	"161"	""	""	"161"
"65"	"46"	"70"	"72"	""	"2"	"31"	"0"	"0"	"1"	"1"	"2"	"0"	"0"	"3"	"182"	""	""	"182"
"66"	"47"	"42"	"58"	""	"2"	"18"	"1"	"0"	"1"	"1"	"1"	"2"	"6"	"251"	"383"	""	""	"383"
"67"	"48"	"124"	"111"	""	"4"	"21"	"2"	"13"	"0"	"9"	"15"	"5"	"8"	"70"	"382"	""	""	"382"
"68"	"49"	"147"	"258"	""	"15"	"124"	"20"	"11"	"1"	"9"	"24"	"11"	"9"	"25"	"654"	""	""	"654"
"69"	"50"	"184"	"209"	""	"5"	"14"	"4"	"4"	"3"	"4"	"8"	"2"	"4"	"41"	"482"	""	""	"482"
"70"	"51"	"392"	"3"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"88"	"486"	""	""	"486"
"71"	"52"	"52"	"26"	""	"0"	"1"	"1"	"2"	"2"	"3"	"3"	"1"	"9"	"311"	"411"	""	""	"411"
"72"	"53"	"95"	"25"	""	"1"	"1"	"2"	"2"	"2"	"2"	"3"	"4"	"9"	"262"	"408"	""	""	"408"
"73"	"54"	"67"	"80"	""	"4"	"4"	"3"	"1"	"12"	"4"	"11"	"7"	"13"	"480"	"686"	""	""	"686"
"74"	"55"	"258"	"48"	""	"3"	"168"	"9"	"2"	"4"	"3"	"3"	"7"	"5"	"144"	"654"	""	""	"654"
"75"	"56"	"87"	"49"	""	"0"	"1"	"1"	"3"	"1"	"1"	"7"	"2"	"7"	"292"	"451"	""	""	"451"
"76"	"Round Total"	"1577"	"1110"	""	"41"	"411"	"45"	"42"	"38"	"40"	"83"	"43"	"76"	"2431"	"5937"	"0"	"0"	"5937"
"77"	"C.F.->"	"6332"	"5269"	""	"172"	"1025"	"125"	"193"	"305"	"153"	"412"	"350"	"352"	"10726"	"25414"	"0"	"0"	"25414"
"78"	"ernku  dsUnz dh  la[;k"	"fuEufyf[kr  vH;fFkZ;ks  ds  Ik{k  esa  fn,  x,  fof/kekU;  erksa  dh  la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	"fufonr  erks  dh  la[;k"	"izfr{ksfir  eri=ksa  dh  la-"	"dqy  fof/kekU;  ,oa  izfr{ksfir erks  dh  la[;k"
"79"	""	"Mk0  vCnqy  xQqj"	"xqats'oj  lkg"	""	"iz.ko  dqekj  nkl"	"vdhy  vgen"	"y{eh ukjk;.k >k"	"dkS'kY;k nsoh"	"xaxk jke  lknk"	"nsosUnz  esgrk"	"eks0  eghmnhu"	"'kf'k Hkw\"k.k"	"lq[knso  eqf[k;k"	"lqjsUnz  ;kno"	"dqy  fof/kekU;  er"	""	""	""
"80"	"ROUND- V"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"81"	"B.F.->"	"6332"	"5269"	""	"172"	"1025"	"125"	"193"	"305"	"153"	"412"	"350"	"352"	"10726"	"25414"	"0"	"0"	"25414"
"82"	"57"	"91"	"135"	""	"4"	"13"	"8"	"6"	"0"	"3"	"11"	"13"	"10"	"230"	"524"	""	""	"524"
"83"	"58"	"172"	"38"	""	"4"	"5"	"2"	"4"	"3"	"2"	"6"	"1"	"14"	"350"	"601"	""	""	"601"
"84"	"59"	"34"	"195"	""	"2"	"4"	"1"	"15"	"0"	"3"	"8"	"2"	"9"	"96"	"369"	""	""	"369"
"85"	"60"	"248"	"49"	""	"3"	"11"	"3"	"5"	"1"	"2"	"5"	"1"	"8"	"145"	"481"	""	""	"481"
"86"	"61"	"99"	"74"	""	"2"	"20"	"5"	"8"	"8"	"6"	"10"	"3"	"9"	"175"	"419"	""	""	"419"
"87"	"62"	"26"	"323"	""	"4"	"11"	"7"	"10"	"6"	"7"	"23"	"5"	"1"	"27"	"450"	""	""	"450"
"88"	"63"	"28"	"305"	""	"5"	"25"	"5"	"4"	"47"	"10"	"28"	"5"	"6"	"26"	"494"	""	""	"494"
"89"	"64"	"92"	"173"	""	"6"	"15"	"45"	"12"	"6"	"5"	"12"	"4"	"6"	"102"	"478"	""	""	"478"
"90"	"65"	"73"	"151"	""	"3"	"26"	"17"	"4"	"2"	"1"	"7"	"8"	"7"	"71"	"370"	""	""	"370"
"91"	"66"	"81"	"174"	""	"2"	"6"	"2"	"15"	"2"	"8"	"12"	"6"	"3"	"50"	"361"	""	""	"361"
"92"	"67"	"65"	"76"	""	"8"	"38"	"17"	"155"	"5"	"8"	"13"	"6"	"5"	"19"	"415"	""	""	"415"
"93"	"68"	"74"	"179"	""	"8"	"45"	"4"	"8"	"4"	"3"	"19"	"11"	"18"	"44"	"417"	""	""	"417"
"94"	"69"	"195"	"226"	""	"8"	"29"	"5"	"11"	"5"	"13"	"31"	"5"	"12"	"39"	"579"	""	""	"579"
"95"	"70"	"107"	"403"	""	"10"	"32"	"6"	"7"	"7"	"5"	"28"	"6"	"14"	"30"	"655"	""	""	"655"
"96"	"Round Total"	"1385"	"2501"	""	"69"	"280"	"127"	"264"	"96"	"76"	"213"	"76"	"122"	"1404"	"6613"	"0"	"0"	"6613"
"97"	"C.F.->"	"7717"	"7770"	""	"241"	"1305"	"252"	"457"	"401"	"229"	"625"	"426"	"474"	"12130"	"32027"	"0"	"0"	"32027"
"98"	"ernku  dsUnz dh  la[;k"	"fuEufyf[kr  vH;fFkZ;ks  ds  Ik{k  esa  fn,  x,  fof/kekU;  erksa  dh  la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	"fufonr  erks  dh  la[;k"	"izfr{ksfir  eri=ksa  dh  la-"	"dqy  fof/kekU;  ,oa  izfr{ksfir erks  dh  la[;k"
"99"	""	"Mk0  vCnqy  xQqj"	"xqats'oj  lkg"	""	"iz.ko  dqekj  nkl"	"vdhy  vgen"	"y{eh ukjk;.k >k"	"dkS'kY;k nsoh"	"xaxk jke  lknk"	"nsosUnz  esgrk"	"eks0  eghmnhu"	"'kf'k Hkw\"k.k"	"lq[knso  eqf[k;k"	"lqjsUnz  ;kno"	"dqy  fof/kekU;  er"	""	""	""
"100"	"ROUND -VI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"101"	"B.F.->"	"7717"	"7770"	""	"241"	"1305"	"252"	"457"	"401"	"229"	"625"	"426"	"474"	"12130"	"32027"	"0"	"0"	"32027"
"102"	"71"	"124"	"255"	""	"6"	"49"	"3"	"16"	"3"	"1"	"11"	"2"	"5"	"14"	"489"	""	""	"489"
"103"	"72"	"144"	"243"	""	"4"	"58"	"7"	"3"	"5"	"7"	"34"	"13"	"16"	"18"	"552"	""	""	"552"
"104"	"73"	"267"	"269"	""	"16"	"63"	"8"	"12"	"8"	"2"	"13"	"7"	"13"	"10"	"688"	""	""	"688"
"105"	"74"	"51"	"101"	""	"6"	"150"	"3"	"10"	"2"	"7"	"13"	"18"	"3"	"13"	"377"	""	""	"377"
"106"	"75"	"194"	"29"	""	"3"	"247"	"1"	"6"	"1"	"2"	"7"	"5"	"5"	"18"	"518"	""	""	"518"
"107"	"76"	"36"	"267"	""	"0"	"25"	"4"	"4"	"0"	"0"	"0"	"0"	"0"	"5"	"341"	""	""	"341"
"108"	"77"	"20"	"414"	""	"1"	"44"	"22"	"6"	"1"	"1"	"0"	"0"	"1"	"20"	"530"	""	""	"530"
"109"	"78"	"23"	"403"	""	"13"	"84"	"7"	"9"	"5"	"4"	"7"	"10"	"3"	"33"	"601"	""	""	"601"
"110"	"79"	"34"	"373"	""	"4"	"13"	"13"	"7"	"3"	"1"	"18"	"3"	"2"	"9"	"480"	""	""	"480"
"111"	"80"	"80"	"156"	""	"6"	"52"	"10"	"7"	"2"	"2"	"16"	"10"	"13"	"40"	"394"	""	""	"394"
"112"	"81"	"697"	"10"	""	"0"	"6"	"1"	"0"	"1"	"3"	"0"	"1"	"1"	"3"	"723"	""	""	"723"
"113"	"82"	"81"	"267"	""	"16"	"14"	"8"	"18"	"7"	"6"	"38"	"5"	"14"	"50"	"524"	""	""	"524"
"114"	"83"	"75"	"134"	""	"6"	"12"	"5"	"7"	"0"	"1"	"5"	"4"	"10"	"51"	"310"	""	""	"310"
"115"	"84"	"153"	"91"	""	"0"	"23"	"3"	"4"	"1"	"3"	"5"	"5"	"6"	"59"	"353"	""	""	"353"
"116"	"Round Total"	"1979"	"3012"	""	"81"	"840"	"95"	"109"	"39"	"40"	"167"	"83"	"92"	"343"	"6880"	"0"	"0"	"6880"
"117"	"C.F.->"	"9696"	"10782"	""	"322"	"2145"	"347"	"566"	"440"	"269"	"792"	"509"	"566"	"12473"	"38907"	"0"	"0"	"38907"
"118"	"ernku  dsUnz dh  la[;k"	"fuEufyf[kr  vH;fFkZ;ks  ds  Ik{k  esa  fn,  x,  fof/kekU;  erksa  dh  la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	"fufonr  erks  dh  la[;k"	"izfr{ksfir  eri=ksa  dh  la-"	"dqy  fof/kekU;  ,oa  izfr{ksfir erks  dh  la[;k"
"119"	""	"Mk0  vCnqy  xQqj"	"xqats'oj  lkg"	""	"iz.ko  dqekj  nkl"	"vdhy  vgen"	"y{eh ukjk;.k >k"	"dkS'kY;k nsoh"	"xaxk jke  lknk"	"nsosUnz  esgrk"	"eks0  eghmnhu"	"'kf'k Hkw\"k.k"	"lq[knso  eqf[k;k"	"lqjsUnz  ;kno"	"dqy  fof/kekU;  er"	""	""	""
"120"	"ROUND- VII"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"121"	"B.F.->"	"9696"	"10782"	""	"322"	"2145"	"347"	"566"	"440"	"269"	"792"	"509"	"566"	"12473"	"38907"	"0"	"0"	"38907"
"122"	"85"	"32"	"188"	""	"5"	"23"	"2"	"6"	"3"	"2"	"14"	"5"	"7"	"77"	"364"	""	""	"364"
"123"	"86"	"32"	"15"	""	"0"	"2"	"1"	"0"	"0"	"3"	"1"	"2"	"10"	"498"	"564"	""	""	"564"
"124"	"87"	"170"	"161"	""	"2"	"6"	"1"	"3"	"3"	"2"	"10"	"1"	"10"	"201"	"570"	""	""	"570"
"125"	"88"	"32"	"52"	""	"3"	"9"	"0"	"0"	"0"	"4"	"3"	"2"	"6"	"160"	"271"	""	""	"271"
"126"	"89"	"87"	"5"	""	"0"	"3"	"3"	"0"	"2"	"3"	"2"	"2"	"5"	"266"	"378"	""	""	"378"
"127"	"90"	"19"	"3"	""	"0"	"0"	"0"	"0"	"0"	"2"	"2"	"0"	"4"	"116"	"146"	""	""	"146"
"128"	"91"	"150"	"38"	""	"3"	"11"	"3"	"0"	"0"	"2"	"7"	"7"	"15"	"390"	"626"	""	""	"626"
"129"	"92"	"190"	"8"	""	"2"	"14"	"0"	"1"	"0"	"5"	"4"	"3"	"12"	"331"	"570"	""	""	"570"
"130"	"93"	"50"	"6"	""	"4"	"2"	"5"	"0"	"0"	"1"	"2"	"3"	"11"	"422"	"506"	""	""	"506"
"131"	"94"	"73"	"1"	""	"1"	"0"	"2"	"2"	"0"	"0"	"4"	"3"	"3"	"307"	"396"	""	""	"396"
"132"	"95"	"301"	"12"	""	"0"	"7"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"37"	"359"	""	""	"359"
"133"	"96"	"356"	"6"	""	"1"	"18"	"4"	"1"	"0"	"0"	"0"	"1"	"5"	"39"	"431"	""	""	"431"
"134"	"97"	"148"	"4"	""	"1"	"3"	"4"	"1"	"1"	"0"	"0"	"2"	"2"	"75"	"241"	""	""	"241"
"135"	"98"	"500"	"1"	""	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"23"	"525"	""	""	"525"
"136"	"Round Total"	"2140"	"500"	""	"23"	"98"	"25"	"14"	"10"	"24"	"49"	"31"	"91"	"2942"	"5947"	"0"	"0"	"5947"
"137"	"C.F.->"	"11836"	"11282"	""	"345"	"2243"	"372"	"580"	"450"	"293"	"841"	"540"	"657"	"15415"	"44854"	"0"	"0"	"44854"
"138"	"ernku  dsUnz dh  la[;k"	"fuEufyf[kr  vH;fFkZ;ks  ds  Ik{k  esa  fn,  x,  fof/kekU;  erksa  dh  la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	"fufonr  erks  dh  la[;k"	"izfr{ksfir  eri=ksa  dh  la-"	"dqy  fof/kekU;  ,oa  izfr{ksfir erks  dh  la[;k"
"139"	""	"Mk0  vCnqy  xQqj"	"xqats'oj  lkg"	""	"iz.ko  dqekj  nkl"	"vdhy  vgen"	"y{eh ukjk;.k >k"	"dkS'kY;k nsoh"	"xaxk jke  lknk"	"nsosUnz  esgrk"	"eks0  eghmnhu"	"'kf'k Hkw\"k.k"	"lq[knso  eqf[k;k"	"lqjsUnz  ;kno"	"dqy  fof/kekU;  er"	""	""	""
"140"	"ROUND -VIII"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"141"	"B.F.->"	"11836"	"11282"	""	"345"	"2243"	"372"	"580"	"450"	"293"	"841"	"540"	"657"	"15415"	"44854"	"0"	"0"	"44854"
"142"	"99"	"307"	"1"	""	"0"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"73"	"390"	""	""	"390"
"143"	"100"	"338"	"18"	""	"0"	"5"	"1"	"2"	"3"	"1"	"3"	"2"	"6"	"283"	"662"	""	""	"662"
"144"	"101"	"50"	"9"	""	"0"	"5"	"2"	"0"	"0"	"1"	"2"	"1"	"4"	"621"	"695"	""	""	"695"
"145"	"102"	"291"	"4"	""	"2"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"302"	""	""	"302"
"146"	"103"	"36"	"205"	""	"6"	"3"	"5"	"5"	"6"	"3"	"6"	"2"	"9"	"128"	"414"	""	""	"414"
"147"	"104"	"25"	"224"	""	"5"	"2"	"3"	"2"	"1"	"1"	"6"	"2"	"6"	"44"	"321"	""	""	"321"
"148"	"105"	"195"	"440"	""	"0"	"7"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"645"	""	""	"645"
"149"	"106"	"41"	"418"	""	"5"	"4"	"0"	"1"	"0"	"2"	"27"	"3"	"7"	"53"	"561"	""	""	"561"
"150"	"107"	"17"	"1"	""	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"5"	"316"	"342"	""	""	"342"
"151"	"108"	"206"	"18"	""	"2"	"4"	"0"	"0"	"0"	"0"	"2"	"0"	"2"	"118"	"352"	""	""	"352"
"152"	"109"	"46"	"50"	""	"3"	"4"	"3"	"1"	"1"	"4"	"8"	"4"	"1"	"184"	"309"	""	""	"309"
"153"	"110"	"56"	"25"	""	"1"	"25"	"2"	"0"	"14"	"2"	"2"	"2"	"4"	"155"	"288"	""	""	"288"
"154"	"111"	"53"	"8"	""	"2"	"3"	"3"	"0"	"2"	"0"	"3"	"0"	"4"	"372"	"450"	""	""	"450"
"155"	"112"	"111"	"441"	""	"5"	"0"	"2"	"3"	"2"	"0"	"2"	"4"	"1"	"62"	"633"	""	""	"633"
"156"	"Round Total"	"1772"	"1862"	""	"32"	"75"	"23"	"14"	"29"	"14"	"62"	"21"	"50"	"2410"	"6364"	"0"	"0"	"6364"
"157"	"C.F.->"	"13608"	"13144"	""	"377"	"2318"	"395"	"594"	"479"	"307"	"903"	"561"	"707"	"17825"	"51218"	"0"	"0"	"51218"
"158"	"ernku  dsUnz dh  la[;k"	"fuEufyf[kr  vH;fFkZ;ks  ds  Ik{k  esa  fn,  x,  fof/kekU;  erksa  dh  la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	"fufonr  erks  dh  la[;k"	"izfr{ksfir  eri=ksa  dh  la-"	"dqy  fof/kekU;  ,oa  izfr{ksfir erks  dh  la[;k"
"159"	""	"Mk0  vCnqy  xQqj"	"xqats'oj  lkg"	""	"iz.ko  dqekj  nkl"	"vdhy  vgen"	"y{eh ukjk;.k >k"	"dkS'kY;k nsoh"	"xaxk jke  lknk"	"nsosUnz  esgrk"	"eks0  eghmnhu"	"'kf'k Hkw\"k.k"	"lq[knso  eqf[k;k"	"lqjsUnz  ;kno"	"dqy  fof/kekU;  er"	""	""	""
"160"	"ROUND- IX"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
