"izi..20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"fo/kku lHkk fuokZpu & 2005"	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"158 dVksfj;k fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"ernku dsUnz
la[;k"	"tuknZu ;kno"	"eukst ;kno"	"lR;ukjk;.k
;kno"	"ghjkyky
eaMy"	"jktfd'kksj
izlkn mQZ iIiq
;kno"	"yqdkl lksjsu"	"misUnz izekf.kd"	"mekdkUr ;kno"	"ujs'k nkl"	"iyVu izlkn
;kno"	"erks dk ;ksx"	""
"36"	"19"	"63"	"8"	"96"	"104"	"53"	"7"	"3"	"6"	"0"	"12"	"352"	""
"37"	"20"	"79"	"133"	"8"	"251"	"40"	"3"	"3"	"4"	"12"	"124"	"657"	""
"38"	"21"	"65"	"180"	"70"	"248"	"18"	"3"	"4"	"5"	"8"	"131"	"732"	""
"39"	"22"	"78"	"155"	"10"	"169"	"44"	"7"	"7"	"4"	"14"	"177"	"665"	""
"40"	"23"	"19"	"50"	"50"	"133"	"3"	"3"	"6"	"3"	"5"	"82"	"354"	""
"41"	"24"	"35"	"72"	"6"	"181"	"8"	"6"	"5"	"8"	"7"	"107"	"435"	""
"42"	"25"	"130"	"178"	"20"	"67"	"28"	"8"	"9"	"14"	"18"	"166"	"638"	""
"43"	"26"	"33"	"78"	"18"	"43"	"37"	"2"	"3"	"4"	"15"	"115"	"348"	""
"44"	"27"	"181"	"130"	"154"	"93"	"23"	"4"	"10"	"21"	"10"	"122"	"748"	""
"45"	"28"	"50"	"186"	"14"	"152"	"39"	"12"	"11"	"11"	"30"	"266"	"771"	""
"46"	";ksx"	"1540"	"1605"	"519"	"1572"	"385"	"71"	"78"	"99"	"150"	"1453"	"7472"	""
"47"	"LFkku &"	""	""	""	""	""	""	""	""	""	""	""	""
"48"	""	""	""	""	""	""	""	""	""	""	""	""	""
"49"	"fnukad &"	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""	"lgk;d fuokZph inkf/kdkjh"	""	""	"fuokZph inkf/kdkjh dk gLrk{kj"	""	""
"50"	""	""	""	""	""	""	""	"dk gLrk{Kj"	""	""	"158 dVksfj;k fo/kku lHkk {ks="	""	""
"51"	""	""	""	""	""	""	""	""	""	""	""	""	""
"52"	"izi=&20"	""	""	""	""	""	""	""	""	""	""	""	""
"53"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""
"54"	"fo/kku lHkk fuokZpu & 2005"	""	""	""	""	""	""	""	""	""	""	""	""
"55"	"158 dVksfj;k fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""	""	""	""
"56"	"ernku dsUnz
la[;k"	"tuknZu ;kno"	"eukst ;kno"	"lR;ukjk;.k
;kno"	"ghjkyky
eaMy"	"jktfd'kksj
izlkn mQZ iIiq
;kno"	"yqdkl lksjsu"	"misUnz izekf.kd"	"mekdkUr ;kno"	"ujs'k nkl"	"iyVu izlkn
;kno"	"erks dk ;ksx"	""
"57"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""
"58"	"29"	"104"	"90"	"6"	"143"	"17"	"2"	"2"	"3"	"7"	"53"	"427"	""
"59"	"30"	"540"	"50"	"10"	"9"	"35"	"6"	"2"	"8"	"16"	"221"	"897"	""
"60"	"31"	"81"	"121"	"14"	"37"	"62"	"8"	"8"	"16"	"25"	"112"	"484"	""
"61"	"32"	"54"	"72"	"29"	"286"	"29"	"6"	"14"	"7"	"17"	"108"	"622"	""
"62"	"33"	"98"	"33"	"10"	"8"	"35"	"0"	"6"	"4"	"13"	"178"	"385"	""
"63"	"34"	"71"	"65"	"98"	"186"	"34"	"10"	"5"	"8"	"11"	"25"	"513"	""
"64"	"35"	"81"	"101"	"18"	"131"	"45"	"1"	"3"	"6"	"5"	"34"	"425"	""
"65"	"36"	"52"	"72"	"47"	"126"	"12"	"8"	"3"	"9"	"10"	"344"	"683"	""
"66"	"37"	"47"	"106"	"21"	"53"	"10"	"8"	"5"	"4"	"6"	"256"	"516"	""
"67"	"38"	"100"	"7"	"9"	"98"	"9"	"1"	"3"	"2"	"12"	"230"	"471"	""
"68"	"39"	"53"	"3"	"5"	"3"	"1"	"5"	"2"	"3"	"10"	"504"	"589"	""
"69"	"40"	"17"	"7"	"2"	"0"	"1"	"0"	"0"	"0"	"2"	"350"	"379"	""
"70"	"41"	"30"	"1"	"0"	"2"	"0"	"0"	"0"	"1"	"2"	"594"	"630"	""
"71"	"42"	"53"	"5"	"7"	"181"	"6"	"6"	"5"	"6"	"19"	"383"	"671"	""
"72"	";ksx"	"1381"	"733"	"276"	"1263"	"296"	"61"	"58"	"77"	"155"	"3392"	"7692"	""
"73"	"LFkku &"	""	""	""	""	""	""	""	""	""	""	""	""
"74"	""	""	""	""	""	""	""	""	""	""	""	""	""
"75"	"fnukad &"	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""	"lgk;d fuokZph inkf/kdkjh"	""	""	"fuokZph inkf/kdkjh dk gLrk{kj"	""	""
"76"	""	""	""	""	""	""	""	"dk gLrk{Kj"	""	""	"158 dVksfj;k fo/kku lHkk {ks="	""	""
"77"	""	""	""	""	""	""	""	""	""	""	""	""	""
"78"	"izi=&20"	""	""	""	""	""	""	""	""	""	""	""	""
"79"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""
"80"	"fo/kku lHkk fuokZpu & 2005"	""	""	""	""	""	""	""	""	""	""	""	""
"81"	"158 dVksfj;k fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""	""	""	""
"82"	"ernku dsUnz
la[;k"	"tuknZu ;kno"	"eukst ;kno"	"lR;ukjk;.k
;kno"	"ghjkyky
eaMy"	"jktfd'kksj
izlkn mQZ iIiq
;kno"	"yqdkl lksjsu"	"misUnz izekf.kd"	"mekdkUr ;kno"	"ujs'k nkl"	"iyVu izlkn
;kno"	"erks dk ;ksx"	""
"83"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""
"84"	"43"	"49"	"10"	"3"	"38"	"0"	"1"	"0"	"2"	"2"	"124"	"229"	""
"85"	"44"	"17"	"151"	"18"	"6"	"38"	"5"	"2"	"5"	"17"	"9"	"268"	""
"86"	"45"	"28"	"165"	"34"	"15"	"142"	"24"	"12"	"14"	"21"	"27"	"482"	""
"87"	"46"	"148"	"51"	"19"	"6"	"139"	"8"	"7"	"6"	"11"	"28"	"423"	""
"88"	"47"	"107"	"117"	"64"	"4"	"63"	"2"	"4"	"1"	"9"	"17"	"388"	""
"89"	"48"	"85"	"61"	"10"	"11"	"229"	"8"	"1"	"4"	"22"	"25"	"456"	""
"90"	"49"	"586"	"11"	"0"	"3"	"381"	"3"	"0"	"1"	"2"	"4"	"991"	""
"91"	"50"	"78"	"0"	"8"	"3"	"387"	"2"	"0"	"0"	"2"	"2"	"482"	""
"92"	"51"	"115"	"105"	"13"	"15"	"168"	"10"	"6"	"6"	"19"	"77"	"534"	""
"93"	"52"	"102"	"43"	"14"	"10"	"134"	"16"	"4"	"2"	"7"	"46"	"378"	""
"94"	"53"	"116"	"61"	"16"	"12"	"150"	"16"	"1"	"6"	"24"	"74"	"476"	""
"95"	"54"	"143"	"37"	"9"	"6"	"80"	"10"	"1"	"4"	"8"	"10"	"308"	""
"96"	"55"	"140"	"33"	"5"	"8"	"133"	"11"	"5"	"4"	"12"	"13"	"364"	""
"97"	"56"	"66"	"40"	"5"	"7"	"153"	"11"	"6"	"3"	"13"	"14"	"318"	""
"98"	";ksx"	"1780"	"885"	"218"	"144"	"2197"	"127"	"49"	"58"	"169"	"470"	"6097"	""
"99"	"LFkku &"	""	""	""	""	""	""	""	""	""	""	""	""
"100"	""	""	""	""	""	""	""	""	""	""	""	""	""
"101"	"fnukad &"	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""	"lgk;d fuokZph inkf/kdkjh"	""	""	"fuokZph inkf/kdkjh dk gLrk{kj"	""	""
"102"	""	""	""	""	""	""	""	"dk gLrk{Kj"	""	""	"158 dVksfj;k fo/kku lHkk {ks="	""	""
"103"	""	""	""	""	""	""	""	""	""	""	""	""	""
"104"	"izi=&20"	""	""	""	""	""	""	""	""	""	""	""	""
"105"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""
"106"	"fo/kku lHkk fuokZpu & 2005"	""	""	""	""	""	""	""	""	""	""	""	""
"107"	"158 dVksfj;k fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""	""	""	""
"108"	"ernku dsUnz
la[;k"	"tuknZu ;kno"	"eukst ;kno"	"lR;ukjk;.k
;kno"	"ghjkyky
eaMy"	"jktfd'kksj
izlkn mQZ iIiq
;kno"	"yqdkl lksjsu"	"misUnz izekf.kd"	"mekdkUr ;kno"	"ujs'k nkl"	"iyVu izlkn
;kno"	"erks dk ;ksx"	""
"109"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""
"110"	"57"	"35"	"26"	"4"	"6"	"553"	"10"	"2"	"4"	"3"	"8"	"651"	""
"111"	"58"	"50"	"97"	"4"	"5"	"147"	"12"	"5"	"1"	"7"	"11"	"339"	""
"112"	"59"	"120"	"9"	"35"	"8"	"166"	"13"	"2"	"1"	"11"	"15"	"380"	""
"113"	"60"	"67"	"47"	"25"	"13"	"372"	"32"	"7"	"6"	"14"	"35"	"618"	""
"114"	"61"	"36"	"241"	"33"	"16"	"248"	"11"	"6"	"5"	"18"	"12"	"626"	""
"115"	"62"	"59"	"134"	"21"	"8"	"163"	"4"	"2"	"2"	"11"	"5"	"409"	""
"116"	"63"	"32"	"202"	"29"	"11"	"258"	"19"	"4"	"7"	"20"	"23"	"605"	""
"117"	"64"	"99"	"94"	"24"	"9"	"298"	"38"	"6"	"13"	"41"	"57"	"679"	""
"118"	"65"	"23"	"159"	"39"	"5"	"186"	"10"	"5"	"4"	"20"	"7"	"458"	""
"119"	"66"	"95"	"53"	"12"	"73"	"291"	"32"	"14"	"15"	"33"	"49"	"667"	""
"120"	"67"	"115"	"48"	"47"	"16"	"518"	"32"	"4"	"2"	"33"	"24"	"839"	""
"121"	"68"	"38"	"12"	"8"	"7"	"293"	"11"	"4"	"5"	"15"	"15"	"408"	""
"122"	"69"	"76"	"261"	"48"	"11"	"142"	"33"	"3"	"5"	"21"	"23"	"623"	""
"123"	"70"	"69"	"142"	"45"	"147"	"274"	"28"	"8"	"13"	"48"	"46"	"820"	""
"124"	";ksx"	"914"	"1525"	"374"	"335"	"3909"	"285"	"72"	"83"	"295"	"330"	"8122"	""
"125"	"LFkku &"	""	""	""	""	""	""	""	""	""	""	""	""
"126"	""	""	""	""	""	""	""	""	""	""	""	""	""
"127"	"fnukad &"	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""	"lgk;d fuokZph inkf/kdkjh"	""	""	"fuokZph inkf/kdkjh dk gLrk{kj"	""	""
"128"	""	""	""	""	""	""	""	"dk gLrk{Kj"	""	""	"158 dVksfj;k fo/kku lHkk {ks="	""	""
"129"	""	""	""	""	""	""	""	""	""	""	""	""	""
"130"	"izi=&20"	""	""	""	""	""	""	""	""	""	""	""	""
"131"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""
"132"	"fo/kku lHkk fuokZpu & 2005"	""	""	""	""	""	""	""	""	""	""	""	""
"133"	"158 dVksfj;k fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""	""	""	""
"134"	"ernku dsUnz
la[;k"	"tuknZu ;kno"	"eukst ;kno"	"lR;ukjk;.k
;kno"	"ghjkyky
eaMy"	"jktfd'kksj
izlkn mQZ iIiq
;kno"	"yqdkl lksjsu"	"misUnz izekf.kd"	"mekdkUr ;kno"	"ujs'k nkl"	"iyVu izlkn
;kno"	"erks dk ;ksx"	""
"135"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""
"136"	"71"	"27"	"105"	"19"	"15"	"221"	"10"	"6"	"1"	"13"	"11"	"428"	""
"137"	"72"	"43"	"121"	"19"	"46"	"161"	"10"	"6"	"12"	"27"	"20"	"465"	""
"138"	"73"	"105"	"11"	"5"	"5"	"321"	"36"	"5"	"2"	"9"	"25"	"524"	""
"139"	"74"	"58"	"29"	"19"	"22"	"271"	"14"	"5"	"7"	"17"	"13"	"455"	""
"140"	"75"	"81"	"75"	"41"	"15"	"322"	"20"	"10"	"16"	"20"	"17"	"617"	""
"141"	"76"	"40"	"61"	"53"	"15"	"140"	"24"	"4"	"5"	"14"	"23"	"379"	""
"142"	"77"	"33"	"16"	"155"	"25"	"80"	"6"	"10"	"14"	"9"	"32"	"380"	""
"143"	"78"	"24"	"20"	"644"	"10"	"38"	"9"	"4"	"7"	"2"	"13"	"771"	""
"144"	"79"	"125"	"98"	"20"	"91"	"63"	"5"	"4"	"5"	"9"	"63"	"483"	""
"145"	"80"	"127"	"82"	"112"	"59"	"39"	"9"	"9"	"10"	"3"	"17"	"467"	""
"146"	"81"	"72"	"12"	"9"	"7"	"196"	"44"	"5"	"6"	"17"	"25"	"393"	""
"147"	"82"	"399"	"84"	"7"	"12"	"36"	"2"	"0"	"0"	"4"	"11"	"555"	""
"148"	"83"	"435"	"27"	"2"	"23"	"44"	"0"	"1"	"1"	"5"	"13"	"551"	""
"149"	"84"	"209"	"185"	"4"	"2"	"96"	"4"	"2"	"1"	"9"	"36"	"548"	""
"150"	";ksx"	"1778"	"926"	"1109"	"347"	"2028"	"193"	"71"	"87"	"158"	"319"	"7016"	""
"151"	"LFkku &"	""	""	""	""	""	""	""	""	""	""	""	""
"152"	""	""	""	""	""	""	""	""	""	""	""	""	""
"153"	"fnukad &"	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""	"lgk;d fuokZph inkf/kdkjh"	""	""	"fuokZph inkf/kdkjh dk gLrk{kj"	""	""
"154"	""	""	""	""	""	""	""	"dk gLrk{Kj"	""	""	"158 dVksfj;k fo/kku lHkk {ks="	""	""
"155"	""	""	""	""	""	""	""	""	""	""	""	""	""
"156"	"izi=&20"	""	""	""	""	""	""	""	""	""	""	""	""
"157"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""
"158"	"fo/kku lHkk fuokZpu & 2005"	""	""	""	""	""	""	""	""	""	""	""	""
"159"	"158 dVksfj;k fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""	""	""	""
"160"	"ernku dsUnz
la[;k"	"tuknZu ;kno"	"eukst ;kno"	"lR;ukjk;.k
;kno"	"ghjkyky
eaMy"	"jktfd'kksj
izlkn mQZ iIiq
;kno"	"yqdkl lksjsu"	"misUnz izekf.kd"	"mekdkUr ;kno"	"ujs'k nkl"	"iyVu izlkn
;kno"	"erks dk ;ksx"	""
"161"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""
"162"	"85"	"245"	"23"	"3"	"5"	"62"	"3"	"3"	"3"	"10"	"63"	"420"	""
"163"	"86"	"9"	"10"	"2"	"3"	"613"	"1"	"0"	"1"	"1"	"0"	"640"	""
"164"	"87"	"61"	"22"	"116"	"6"	"113"	"23"	"4"	"5"	"11"	"30"	"391"	""
"165"	"88"	"5"	"67"	"90"	"5"	"211"	"6"	"2"	"3"	"10"	"2"	"401"	""
"166"	"89"	"28"	"11"	"66"	"5"	"315"	"6"	"1"	"2"	"12"	"9"	"455"	""
"167"	"90"	"30"	"38"	"13"	"6"	"265"	"21"	"1"	"2"	"20"	"32"	"428"	""
"168"	"91"	"23"	"30"	"49"	"13"	"194"	"31"	"9"	"13"	"22"	"41"	"425"	""
"169"	"92"	"117"	"38"	"66"	"9"	"153"	"8"	"3"	"3"	"12"	"6"	"415"	""
"170"	"93"	"108"	"35"	"30"	"44"	"192"	"18"	"14"	"7"	"28"	"42"	"518"	""
"171"	"94"	"161"	"46"	"7"	"4"	"368"	"19"	"5"	"8"	"32"	"60"	"710"	""
"172"	"95"	"142"	"41"	"34"	"18"	"217"	"20"	"11"	"9"	"29"	"31"	"552"	""
"173"	"96"	"25"	"9"	"4"	"4"	"750"	"3"	"0"	"1"	"10"	"7"	"813"	""
"174"	"97"	"76"	"35"	"11"	"14"	"349"	"20"	"9"	"6"	"21"	"56"	"597"	""
"175"	"98"	"95"	"97"	"12"	"11"	"177"	"6"	"1"	"3"	"12"	"8"	"422"	""
"176"	";ksx"	"1125"	"502"	"503"	"147"	"3979"	"185"	"63"	"66"	"230"	"387"	"7187"	""
"177"	"LFkku &"	""	""	""	""	""	""	""	""	""	""	""	""
"178"	""	""	""	""	""	""	""	""	""	""	""	""	""
"179"	"fnukad &"	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""	"lgk;d fuokZph inkf/kdkjh"	""	""	"fuokZph inkf/kdkjh dk gLrk{kj"	""	""
"180"	""	""	""	""	""	""	""	"dk gLrk{Kj"	""	""	"158 dVksfj;k fo/kku lHkk {ks="	""	""
"181"	""	""	""	""	""	""	""	""	""	""	""	""	""
"182"	"izi=&20"	""	""	""	""	""	""	""	""	""	""	""	""
"183"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""
"184"	"fo/kku lHkk fuokZpu & 2005"	""	""	""	""	""	""	""	""	""	""	""	""
"185"	"158 dVksfj;k fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""	""	""	""
"186"	"ernku dsUnz
la[;k"	"tuknZu ;kno"	"eukst ;kno"	"lR;ukjk;.k
;kno"	"ghjkyky
eaMy"	"jktfd'kksj
izlkn mQZ iIiq
;kno"	"yqdkl lksjsu"	"misUnz izekf.kd"	"mekdkUr ;kno"	"ujs'k nkl"	"iyVu izlkn
;kno"	"erks dk ;ksx"	""
"187"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""
"188"	"99"	"33"	"107"	"30"	"8"	"98"	"7"	"2"	"7"	"16"	"8"	"316"	""
"189"	"100"	"37"	"64"	"10"	"19"	"210"	"19"	"3"	"6"	"14"	"25"	"407"	""
"190"	"101"	"103"	"139"	"9"	"6"	"211"	"19"	"7"	"6"	"27"	"29"	"556"	""
"191"	"102"	"66"	"15"	"3"	"13"	"123"	"18"	"7"	"9"	"17"	"25"	"296"	""
"192"	"103"	"31"	"37"	"156"	"9"	"92"	"7"	"5"	"9"	"7"	"19"	"372"	""
"193"	"104"	"28"	"67"	"84"	"9"	"122"	"11"	"7"	"7"	"21"	"31"	"387"	""
"194"	"105"	"51"	"85"	"64"	"12"	"118"	"7"	"3"	"14"	"30"	"46"	"430"	""
"195"	"106"	"52"	"27"	"57"	"15"	"82"	"10"	"0"	"4"	"10"	"18"	"275"	""
"196"	"107"	"91"	"29"	"7"	"8"	"229"	"19"	"7"	"5"	"7"	"19"	"421"	""
"197"	"108"	"52"	"24"	"53"	"24"	"476"	"22"	"5"	"8"	"21"	"52"	"737"	""
"198"	"109"	"93"	"47"	"14"	"10"	"102"	"6"	"3"	"2"	"6"	"7"	"290"	""
"199"	"110"	"73"	"27"	"7"	"10"	"258"	"15"	"2"	"8"	"13"	"15"	"428"	""
"200"	"111"	"119"	"14"	"8"	"2"	"88"	"9"	"0"	"5"	"10"	"56"	"311"	""
"201"	"112"	"137"	"23"	"15"	"7"	"176"	"18"	"5"	"2"	"9"	"24"	"416"	""
"202"	";ksx"	"966"	"705"	"517"	"152"	"2385"	"187"	"56"	"92"	"208"	"374"	"5642"	""
"203"	"LFkku &"	""	""	""	""	""	""	""	""	""	""	""	""
"204"	""	""	""	""	""	""	""	""	""	""	""	""	""
"205"	"fnukad &"	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""	"lgk;d fuokZph inkf/kdkjh"	""	""	"fuokZph inkf/kdkjh dk gLrk{kj"	""	""
"206"	""	""	""	""	""	""	""	"dk gLrk{Kj"	""	""	"158 dVksfj;k fo/kku lHkk {ks="	""	""
"207"	""	""	""	""	""	""	""	""	""	""	""	""	""
"208"	"izi=&20"	""	""	""	""	""	""	""	""	""	""	""	""
"209"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""
"210"	"fo/kku lHkk fuokZpu & 2005"	""	""	""	""	""	""	""	""	""	""	""	""
"211"	"158 dVksfj;k fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""	""	""	""
"212"	"ernku dsUnz
la[;k"	"tuknZu ;kno"	"eukst ;kno"	"lR;ukjk;.k
;kno"	"ghjkyky
eaMy"	"jktfd'kksj
izlkn mQZ iIiq
;kno"	"yqdkl lksjsu"	"misUnz izekf.kd"	"mekdkUr ;kno"	"ujs'k nkl"	"iyVu izlkn
;kno"	"erks dk ;ksx"	""
"213"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""
"214"	"113"	"426"	"43"	"55"	"7"	"70"	"14"	"1"	"2"	"7"	"33"	"658"	""
"215"	"114"	"268"	"22"	"7"	"9"	"146"	"14"	"7"	"3"	"14"	"67"	"557"	""
"216"	"115"	"439"	"8"	"6"	"3"	"30"	"2"	"0"	"1"	"3"	"13"	"505"	""
"217"	"116"	"245"	"24"	"45"	"9"	"106"	"3"	"2"	"5"	"8"	"24"	"471"	""
"218"	"117"	"12"	"34"	"194"	"17"	"81"	"4"	"6"	"6"	"3"	"1"	"358"	""
"219"	"118"	"246"	"39"	"36"	"9"	"310"	"26"	"8"	"9"	"32"	"130"	"845"	""
"220"	"119"	"60"	"18"	"3"	"4"	"224"	"10"	"8"	"0"	"9"	"45"	"381"	""
"221"	"120"	"103"	"44"	"19"	"29"	"268"	"26"	"9"	"17"	"35"	"82"	"632"	""
"222"	"121"	"43"	"17"	"50"	"11"	"161"	"13"	"4"	"6"	"12"	"39"	"356"	""
"223"	"122"	"61"	"36"	"205"	"17"	"131"	"13"	"4"	"21"	"12"	"20"	"520"	""
"224"	"123"	"21"	"29"	"168"	"16"	"122"	"20"	"11"	"8"	"9"	"13"	"417"	""
"225"	"124"	"104"	"10"	"80"	"12"	"101"	"10"	"4"	"10"	"13"	"36"	"380"	""
"226"	"125"	"143"	"154"	"25"	"8"	"73"	"5"	"5"	"3"	"21"	"30"	"467"	""
"227"	"126"	"194"	"33"	"43"	"10"	"207"	"14"	"3"	"7"	"13"	"42"	"566"	""
"228"	";ksx"	"2365"	"511"	"936"	"161"	"2030"	"174"	"72"	"98"	"191"	"575"	"7113"	""
"229"	"LFkku &"	""	""	""	""	""	""	""	""	""	""	""	""
"230"	""	""	""	""	""	""	""	""	""	""	""	""	""
"231"	"fnukad &"	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""	"lgk;d fuokZph inkf/kdkjh"	""	""	"fuokZph inkf/kdkjh dk gLrk{kj"	""	""
"232"	""	""	""	""	""	""	""	"dk gLrk{Kj"	""	""	"158 dVksfj;k fo/kku lHkk {ks="	""	""
