"ANNEXURE.XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"1"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET [(SEE RULE 56C (2)(c)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Total No. of Electors in Assembly Constituency - 220844"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Name of the Assembly :- 101 - SINGHIA (SC)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"54"	"43"	"43"	"131"	"133"	"6"	"25"	"10"	"11"	"4"	"15"	"56"	"391"	"0"	"391"	""
"55"	"44"	"44"	"84"	"30"	"7"	"22"	"12"	"8"	"3"	"18"	"142"	"326"	"0"	"326"	""
"56"	"45"	"45"	"152"	"210"	"10"	"33"	"15"	"6"	"7"	"25"	"110"	"568"	"0"	"568"	""
"57"	"46"	"46"	"363"	"19"	"6"	"51"	"9"	"4"	"45"	"4"	"19"	"520"	"0"	"520"	""
"58"	"47"	"47"	"438"	"33"	"9"	"13"	"7"	"5"	"7"	"24"	"90"	"626"	"0"	"626"	""
"59"	"48"	"48"	"276"	"123"	"11"	"34"	"22"	"8"	"6"	"28"	"59"	"567"	"0"	"567"	""
"60"	"49"	"49"	"227"	"236"	"6"	"18"	"14"	"3"	"4"	"3"	"7"	"518"	"0"	"518"	""
"61"	"50"	"50"	"227"	"155"	"3"	"12"	"9"	"4"	"2"	"9"	"27"	"448"	"0"	"448"	""
"62"	"51"	"51"	"252"	"82"	"7"	"18"	"17"	"8"	"14"	"19"	"82"	"499"	"0"	"499"	""
"63"	"52"	"52"	"112"	"62"	"6"	"14"	"5"	"6"	"4"	"6"	"34"	"249"	"0"	"249"	""
"64"	"53"	"53"	"218"	"160"	"3"	"25"	"20"	"5"	"6"	"19"	"114"	"570"	"0"	"570"	""
"65"	"54"	"54"	"330"	"58"	"8"	"4"	"7"	"15"	"38"	"19"	"25"	"504"	"0"	"504"	""
"66"	"55"	"55"	"238"	"71"	"11"	"4"	"6"	"6"	"3"	"14"	"111"	"464"	"0"	"464"	""
"67"	"56"	"56"	"233"	"164"	"16"	"19"	"11"	"8"	"11"	"19"	"81"	"562"	"0"	"562"	""
"68"	"57"	"57"	"289"	"120"	"4"	"25"	"12"	"4"	"2"	"8"	"38"	"502"	"0"	"502"	""
"69"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"70"	""	""	"Dr. Ashok Kumar"	"Dasai Choudhary"	"Bhageshwar Paswan"	"Laliteshwar Paswan"	"Pratibha kumari"	"Raghunath Sada"	"Ratnesh Sada"	"Sunil Kumar Rajak"	"Ramotar Paswan"	""	""	""	""
"71"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"72"	"58"	"58"	"223"	"69"	"12"	"14"	"6"	"3"	"14"	"17"	"20"	"378"	"0"	"378"	""
"73"	"59"	"59"	"121"	"188"	"14"	"34"	"14"	"5"	"17"	"11"	"62"	"466"	"0"	"466"	""
"74"	"60"	"60"	"132"	"116"	"11"	"23"	"4"	"11"	"19"	"15"	"77"	"408"	"0"	"408"	""
"75"	"61"	"61"	"73"	"9"	"12"	"5"	"23"	"6"	"56"	"19"	"230"	"433"	"0"	"433"	""
"76"	"62"	"62"	"93"	"30"	"39"	"24"	"8"	"14"	"284"	"18"	"65"	"575"	"0"	"575"	""
"77"	"63"	"63"	"367"	"33"	"10"	"54"	"12"	"6"	"49"	"8"	"43"	"582"	"0"	"582"	""
"78"	"64"	"64"	"177"	"5"	"3"	"23"	"8"	"2"	"0"	"3"	"62"	"283"	"0"	"283"	""
"79"	"65"	"65"	"472"	"26"	"7"	"5"	"2"	"7"	"3"	"2"	"29"	"553"	"0"	"553"	""
"80"	"66"	"66"	"208"	"57"	"13"	"12"	"8"	"9"	"46"	"13"	"136"	"502"	"0"	"502"	""
"81"	"67"	"67"	"273"	"67"	"4"	"33"	"16"	"11"	"10"	"18"	"61"	"493"	"0"	"493"	""
"82"	"68"	"68"	"89"	"44"	"9"	"36"	"6"	"7"	"42"	"27"	"83"	"343"	"0"	"343"	""
"83"	"69"	"69"	"204"	"30"	"6"	"45"	"12"	"9"	"6"	"15"	"134"	"461"	"0"	"461"	""
"84"	"70"	"70"	"254"	"79"	"4"	"10"	"7"	"5"	"72"	"7"	"93"	"531"	"0"	"531"	""
"85"	"71"	"71"	"128"	"31"	"9"	"25"	"11"	"13"	"53"	"20"	"116"	"406"	"0"	"406"	""
"86"	"72"	"72"	"190"	"27"	"7"	"23"	"9"	"8"	"5"	"17"	"156"	"442"	"0"	"442"	""
"87"	"73"	"73"	"112"	"100"	"5"	"29"	"9"	"9"	"68"	"19"	"171"	"522"	"0"	"522"	""
"88"	"74"	"74"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""
"89"	"75"	"75"	"120"	"56"	"2"	"65"	"9"	"10"	"4"	"8"	"53"	"327"	"0"	"327"	""
"90"	"76"	"76"	"53"	"31"	"2"	"186"	"17"	"9"	"0"	"5"	"6"	"309"	"0"	"309"	""
"91"	"77"	"77"	"143"	"7"	"8"	"132"	"11"	"11"	"5"	"6"	"36"	"359"	"0"	"359"	""
"92"	"78"	"78"	"115"	"45"	"3"	"46"	"11"	"9"	"35"	"20"	"163"	"447"	"0"	"447"	""
"93"	"79"	"79"	"144"	"96"	"16"	"108"	"21"	"5"	"5"	"30"	"86"	"511"	"0"	"511"	""
"94"	"80"	"80"	"160"	"35"	"8"	"12"	"5"	"12"	"8"	"18"	"110"	"368"	"0"	"368"	""
"95"	"81"	"81"	"195"	"182"	"17"	"26"	"23"	"14"	"50"	"30"	"86"	"623"	"0"	"623"	""
"96"	"82"	"82"	"175"	"166"	"10"	"20"	"22"	"9"	"18"	"25"	"44"	"489"	"0"	"489"	""
"97"	"83"	"83"	"118"	"79"	"8"	"42"	"19"	"10"	"4"	"27"	"143"	"450"	"0"	"450"	""
"98"	"84"	"84"	"222"	"86"	"8"	"14"	"12"	"8"	"36"	"20"	"99"	"505"	"0"	"505"	""
"99"	"85"	"85"	"257"	"74"	"15"	"15"	"15"	"8"	"9"	"16"	"190"	"599"	"0"	"599"	""
"100"	"86"	"86"	"63"	"113"	"14"	"14"	"9"	"9"	"33"	"12"	"103"	"370"	"0"	"370"	""
"101"	"87"	"87"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"0"	"2"	""
"102"	"88"	"88"	"84"	"44"	"8"	"22"	"7"	"9"	"46"	"18"	"160"	"398"	"0"	"398"	""
"103"	"89"	"89"	"138"	"64"	"10"	"24"	"13"	"13"	"80"	"20"	"82"	"444"	"0"	"444"	""
"104"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"105"	""	""	"Dr. Ashok Kumar"	"Dasai Choudhary"	"Bhageshwar Paswan"	"Laliteshwar Paswan"	"Pratibha kumari"	"Raghunath Sada"	"Ratnesh Sada"	"Sunil Kumar Rajak"	"Ramotar Paswan"	""	""	""	""
"106"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"107"	"90"	"90"	"120"	"24"	"1"	"28"	"2"	"6"	"9"	"18"	"192"	"400"	"0"	"400"	""
"108"	"91"	"91"	"318"	"183"	"9"	"7"	"11"	"7"	"5"	"10"	"38"	"588"	"0"	"588"	""
"109"	"92"	"92"	"238"	"156"	"6"	"5"	"13"	"6"	"3"	"14"	"61"	"502"	"0"	"502"	""
"110"	"93"	"93"	"367"	"51"	"11"	"6"	"14"	"8"	"46"	"24"	"125"	"652"	"0"	"652"	""
"111"	"94"	"94"	"274"	"55"	"1"	"8"	"7"	"1"	"0"	"5"	"20"	"371"	"0"	"371"	""
"112"	"95"	"95"	"77"	"40"	"3"	"31"	"1"	"3"	"1"	"18"	"298"	"472"	"0"	"472"	""
"113"	"96"	"96"	"329"	"120"	"14"	"82"	"14"	"8"	"66"	"14"	"24"	"671"	"0"	"671"	""
"114"	"97"	"97"	"252"	"110"	"6"	"64"	"15"	"5"	"14"	"11"	"39"	"516"	"0"	"516"	""
"115"	"98"	"98"	"299"	"69"	"5"	"4"	"4"	"1"	"24"	"4"	"10"	"420"	"0"	"420"	""
"116"	"99"	"99"	"359"	"24"	"1"	"4"	"1"	"0"	"0"	"2"	"15"	"406"	"0"	"406"	""
"117"	"100"	"100"	"295"	"73"	"4"	"7"	"5"	"6"	"112"	"11"	"17"	"530"	"0"	"530"	""
"118"	"101"	"101"	"111"	"163"	"11"	"35"	"21"	"10"	"7"	"10"	"124"	"492"	"0"	"492"	""
"119"	"102"	"102"	"101"	"49"	"13"	"19"	"12"	"8"	"11"	"29"	"225"	"467"	"0"	"467"	""
"120"	"103"	"103"	"314"	"78"	"12"	"8"	"7"	"6"	"5"	"14"	"63"	"507"	"0"	"507"	""
"121"	"104"	"104"	"228"	"38"	"10"	"9"	"17"	"7"	"7"	"27"	"152"	"495"	"0"	"495"	""
"122"	"105"	"105"	"119"	"90"	"9"	"173"	"18"	"5"	"4"	"10"	"49"	"477"	"0"	"477"	""
"123"	"106"	"106"	"117"	"43"	"11"	"181"	"27"	"11"	"5"	"23"	"265"	"683"	"0"	"683"	""
"124"	"107"	"107"	"67"	"126"	"4"	"30"	"3"	"0"	"0"	"0"	"24"	"254"	"0"	"254"	""
"125"	"108"	"108"	"245"	"105"	"7"	"20"	"7"	"4"	"3"	"5"	"110"	"506"	"0"	"506"	""
"126"	"109"	"109"	"290"	"153"	"8"	"20"	"11"	"3"	"3"	"14"	"23"	"525"	"0"	"525"	""
"127"	"110"	"110"	"101"	"29"	"10"	"73"	"13"	"10"	"13"	"16"	"65"	"330"	"0"	"330"	""
"128"	"111"	"111"	"287"	"40"	"13"	"58"	"19"	"13"	"2"	"7"	"42"	"481"	"0"	"481"	""
"129"	"112"	"112"	"253"	"27"	"17"	"68"	"15"	"26"	"5"	"14"	"102"	"527"	"0"	"527"	""
"130"	"113"	"113"	"175"	"12"	"9"	"49"	"5"	"3"	"20"	"7"	"31"	"311"	"0"	"311"	""
"131"	"114"	"114"	"64"	"14"	"5"	"52"	"4"	"8"	"4"	"24"	"166"	"341"	"0"	"341"	""
"132"	"115"	"115"	"294"	"131"	"7"	"13"	"13"	"7"	"46"	"12"	"60"	"583"	"0"	"583"	""
"133"	"116"	"116"	"246"	"181"	"5"	"6"	"10"	"7"	"12"	"15"	"18"	"500"	"0"	"500"	""
"134"	"117"	"117"	"165"	"114"	"8"	"18"	"3"	"1"	"58"	"13"	"46"	"426"	"0"	"426"	""
"135"	"118"	"118"	"189"	"36"	"7"	"169"	"18"	"4"	"21"	"13"	"75"	"532"	"0"	"532"	""
"136"	"119"	"119"	"372"	"1"	"0"	"2"	"0"	"0"	"0"	"4"	"27"	"406"	"0"	"406"	""
"137"	"120"	"120"	"145"	"17"	"8"	"56"	"5"	"1"	"1"	"3"	"14"	"250"	"0"	"250"	""
"138"	"121"	"121"	"697"	"2"	"0"	"5"	"0"	"0"	"0"	"1"	"1"	"706"	"0"	"706"	""
"139"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"140"	""	""	"Dr. Ashok Kumar"	"Dasai Choudhary"	"Bhageshwar Paswan"	"Laliteshwar Paswan"	"Pratibha kumari"	"Raghunath Sada"	"Ratnesh Sada"	"Sunil Kumar Rajak"	"Ramotar Paswan"	""	""	""	""
"141"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"142"	"122"	"122"	"801"	"4"	"0"	"1"	"0"	"0"	"3"	"1"	"2"	"812"	"0"	"812"	""
"143"	"123"	"123"	"287"	"34"	"5"	"85"	"10"	"7"	"33"	"9"	"69"	"539"	"0"	"539"	""
"144"	"124"	"124"	"310"	"49"	"16"	"114"	"17"	"11"	"11"	"14"	"61"	"603"	"0"	"603"	""
"145"	"125"	"125"	"158"	"10"	"23"	"341"	"26"	"7"	"3"	"8"	"27"	"603"	"0"	"603"	""
"146"	"126"	"126"	"85"	"51"	"53"	"274"	"24"	"15"	"79"	"20"	"59"	"660"	"0"	"660"	""
"147"	"127"	"127"	"124"	"14"	"15"	"247"	"12"	"15"	"80"	"13"	"56"	"576"	"0"	"576"	""
"148"	"128"	"128"	"141"	"18"	"29"	"90"	"9"	"9"	"104"	"16"	"35"	"451"	"0"	"451"	""
"149"	"129"	"129"	"255"	"5"	"7"	"27"	"3"	"3"	"6"	"11"	"149"	"466"	"0"	"466"	""
"150"	"130"	"130"	"268"	"14"	"5"	"89"	"10"	"7"	"3"	"8"	"79"	"483"	"0"	"483"	""
"151"	"131"	"131"	"106"	"10"	"107"	"25"	"4"	"7"	"12"	"22"	"292"	"585"	"0"	"585"	""
"152"	"132"	"132"	"75"	"10"	"26"	"3"	"2"	"2"	"28"	"9"	"59"	"214"	"0"	"214"	""
"153"	"133"	"133"	"207"	"11"	"17"	"23"	"7"	"0"	"0"	"11"	"98"	"374"	"0"	"374"	""
"154"	"134"	"134"	"167"	"18"	"4"	"13"	"0"	"7"	"37"	"2"	"10"	"258"	"0"	"258"	""
"155"	"135"	"135"	"377"	"24"	"11"	"16"	"97"	"11"	"17"	"13"	"64"	"630"	"0"	"630"	""
"156"	"136"	"136"	"91"	"11"	"5"	"72"	"3"	"8"	"32"	"13"	"159"	"394"	"0"	"394"	""
"157"	"137"	"137"	"163"	"9"	"2"	"14"	"2"	"2"	"7"	"5"	"148"	"352"	"0"	"352"	""
"158"	"138"	"138"	"93"	"5"	"1"	"19"	"4"	"1"	"4"	"4"	"77"	"208"	"0"	"208"	""
"159"	"139"	"139"	"245"	"23"	"7"	"15"	"9"	"8"	"7"	"23"	"81"	"418"	"0"	"418"	""
"160"	"140"	"140"	"256"	"9"	"6"	"25"	"3"	"10"	"3"	"14"	"122"	"448"	"0"	"448"	""
"161"	"141"	"141"	"120"	"41"	"7"	"86"	"17"	"8"	"53"	"8"	"69"	"409"	"0"	"409"	""
"162"	"142"	"142"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	""
"163"	"143"	"143"	"144"	"9"	"3"	"5"	"2"	"11"	"13"	"18"	"245"	"450"	"0"	"450"	""
"164"	"144"	"144"	"29"	"18"	"1"	"4"	"5"	"4"	"8"	"26"	"365"	"460"	"0"	"460"	""
"165"	"145"	"145"	"140"	"6"	"9"	"14"	"6"	"7"	"7"	"27"	"300"	"516"	"0"	"516"	""
"166"	"146"	"146"	"113"	"5"	"10"	"26"	"9"	"9"	"11"	"37"	"248"	"468"	"0"	"468"	""
"167"	"147"	"147"	"194"	"29"	"11"	"52"	"12"	"6"	"8"	"17"	"264"	"593"	"0"	"593"	""
"168"	"148"	"148"	"72"	"18"	"9"	"10"	"6"	"5"	"93"	"24"	"222"	"459"	"0"	"459"	""
"169"	"149"	"149"	"32"	"1"	"3"	"3"	"14"	"12"	"27"	"21"	"410"	"523"	"0"	"523"	""
"170"	"150"	"150"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""
"171"	"151"	"151"	"46"	"1"	"1"	"5"	"5"	"2"	"2"	"8"	"292"	"362"	"0"	"362"	""
"172"	"152"	"152"	"59"	"14"	"6"	"100"	"17"	"13"	"11"	"21"	"244"	"485"	"0"	"485"	""
"173"	"153"	"153"	"23"	"602"	"12"	"3"	"12"	"5"	"56"	"7"	"13"	"733"	"0"	"733"	""
"174"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"175"	""	""	"Dr. Ashok Kumar"	"Dasai Choudhary"	"Bhageshwar Paswan"	"Laliteshwar Paswan"	"Pratibha kumari"	"Raghunath Sada"	"Ratnesh Sada"	"Sunil Kumar Rajak"	"Ramotar Paswan"	""	""	""	""
"176"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"177"	"154"	"154"	"129"	"269"	"4"	"22"	"7"	"9"	"37"	"11"	"78"	"566"	"0"	"566"	""
"178"	"155"	"155"	"241"	"21"	"12"	"118"	"13"	"11"	"6"	"21"	"246"	"689"	"0"	"689"	""
"179"	"156"	"156"	"206"	"120"	"2"	"51"	"7"	"3"	"2"	"17"	"305"	"713"	"0"	"713"	""
"180"	"157"	"157"	"25"	"6"	"2"	"96"	"6"	"8"	"12"	"16"	"423"	"594"	"0"	"594"	""
"181"	"158"	"158"	"120"	"25"	"3"	"83"	"9"	"13"	"25"	"38"	"252"	"568"	"0"	"568"	""
"182"	"159"	"159"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""
"183"	"160"	"160"	"225"	"45"	"9"	"118"	"17"	"13"	"32"	"28"	"162"	"649"	"0"	"649"	""
"184"	"161"	"161"	"251"	"17"	"3"	"80"	"15"	"7"	"1"	"3"	"19"	"396"	"0"	"396"	""
"185"	"162"	"162"	"115"	"26"	"7"	"7"	"6"	"5"	"97"	"24"	"132"	"419"	"0"	"419"	""
"186"	"163"	"163"	"180"	"158"	"10"	"21"	"45"	"11"	"29"	"19"	"80"	"553"	"0"	"553"	""
"187"	"164"	"164"	"127"	"84"	"7"	"35"	"7"	"3"	"29"	"4"	"31"	"327"	"0"	"327"	""
"188"	"165"	"165"	"71"	"176"	"15"	"28"	"18"	"14"	"185"	"21"	"33"	"561"	"0"	"561"	""
"189"	"166"	"166"	"180"	"153"	"27"	"69"	"41"	"22"	"127"	"29"	"112"	"760"	"0"	"760"	""
"190"	"167"	"167"	"76"	"231"	"12"	"40"	"41"	"21"	"17"	"17"	"86"	"541"	"0"	"541"	""
"191"	"168"	"168"	"51"	"64"	"13"	"169"	"25"	"20"	"220"	"15"	"45"	"622"	"0"	"622"	""
"192"	"169"	"169"	"76"	"203"	"12"	"44"	"10"	"4"	"6"	"24"	"18"	"397"	"0"	"397"	""
"193"	"170"	"170"	"85"	"24"	"3"	"17"	"5"	"2"	"16"	"24"	"181"	"357"	"0"	"357"	""
"194"	"171"	"171"	"149"	"78"	"7"	"6"	"15"	"12"	"140"	"26"	"235"	"668"	"0"	"668"	""
"195"	"172"	"172"	"290"	"134"	"18"	"27"	"19"	"14"	"61"	"16"	"80"	"659"	"0"	"659"	""
"196"	"173"	"173"	"196"	"77"	"10"	"124"	"25"	"11"	"10"	"18"	"121"	"592"	"0"	"592"	""
"197"	"174"	"174"	"63"	"135"	"10"	"8"	"10"	"17"	"63"	"29"	"105"	"440"	"0"	"440"	""
"198"	"175"	"175"	"35"	"22"	"4"	"137"	"13"	"10"	"41"	"14"	"137"	"413"	"0"	"413"	""
"199"	"176"	"176"	"198"	"206"	"12"	"69"	"34"	"23"	"69"	"18"	"45"	"674"	"0"	"674"	""
"200"	"177"	"177"	"482"	"58"	"6"	"11"	"11"	"6"	"10"	"13"	"153"	"750"	"0"	"750"	""
"201"	"178"	"178"	"453"	"30"	"2"	"4"	"5"	"5"	"12"	"12"	"315"	"838"	"0"	"838"	""
"202"	"179"	"179"	"267"	"161"	"9"	"12"	"19"	"7"	"90"	"7"	"27"	"599"	"0"	"599"	""
"203"	"180"	"180"	"240"	"195"	"15"	"13"	"15"	"6"	"6"	"11"	"36"	"537"	"0"	"537"	""
"204"	"181"	"181"	"210"	"127"	"6"	"9"	"13"	"10"	"78"	"14"	"38"	"505"	"0"	"505"	""
"205"	"182"	"182"	"87"	"14"	"3"	"7"	"7"	"10"	"83"	"9"	"53"	"273"	"0"	"273"	""
"206"	"183"	"183"	"280"	"91"	"17"	"14"	"10"	"11"	"80"	"30"	"90"	"623"	"0"	"623"	""
"207"	"184"	"184"	"258"	"67"	"13"	"17"	"13"	"17"	"117"	"24"	"94"	"620"	"0"	"620"	""
