"Sl..Of.Polling.Station"	"Ajit.Kumar.Jha"	"Jai.Mangal.Chaudhary"	"Thakur.Ratnakar"	"Manish.Kumar.Gupta"	"Sarfuddin"	"Abdus.Salam"	"Amrendra.Kumar.Singh"	"Kishori.Paswan"	"Nabal.Kishor.Prasad.Yadav"	"Ravi.Shankar.Singh"	"Ram.Babu.Singh"	"Vinod.Kumar"	"Shambhu.Prasad.Yadav"	"Sanjay.Kumar.Gupta"	"Sanjay.Kumar.Verma"	"M..Husnain"	"Total.of.valid.votes"	"No.of.rejected.votes"	"Total"	"No..of.tendered.votes"
"50"	"47"	93	4	164	3	5	1	2	0	3	0	4	0	3	40	7	7	336	0	336	0
"51"	"48"	50	14	15	7	215	9	9	6	2	0	45	11	6	67	2	5	463	0	463	0
"52"	"49"	162	9	162	4	25	2	2	0	0	2	9	3	5	49	8	17	459	0	459	0
"53"	"50"	404	4	4	0	13	1	1	0	0	0	6	1	0	5	0	0	439	0	439	0
"54"	"51"	68	4	146	2	21	0	2	0	1	3	8	1	0	10	4	2	272	0	272	0
"55"	"52"	587	21	24	2	19	4	1	3	2	0	4	2	3	8	9	40	729	0	729	0
"56"	"53"	138	8	104	5	10	0	3	1	0	1	2	2	0	15	1	7	297	0	297	0
"57"	"54"	430	5	24	1	11	0	0	1	0	1	13	0	1	8	2	1	498	0	498	0
"58"	"Sl. Of Polling Station"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"59"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"60"	"55"	69	23	6	3	75	7	5	6	2	1	23	5	5	1	1	5	237	0	237	0
"61"	"56"	120	4	77	4	14	1	6	1	2	2	3	4	5	46	4	11	304	0	304	0
"62"	"57"	171	4	15	5	44	6	3	4	1	2	6	9	4	68	3	12	357	0	357	0
"63"	"58"	181	9	14	3	31	8	2	5	2	2	11	4	1	24	1	12	310	0	310	0
"64"	"59"	290	16	42	2	13	0	1	1	0	0	7	0	1	6	3	5	387	0	387	0
"65"	"60"	40	7	2	2	161	6	11	1	1	3	38	5	2	6	2	12	299	0	299	0
"66"	"61"	56	5	11	3	153	1	1	2	1	3	31	8	6	51	3	10	345	0	345	0
"67"	"62"	19	3	11	2	195	5	4	6	0	2	65	8	8	5	1	6	340	0	340	0
"68"	"63"	37	9	17	3	101	1	2	1	0	0	21	3	2	2	0	2	201	0	201	0
"69"	"64"	20	4	2	5	676	4	8	3	1	2	45	13	5	15	0	4	807	0	807	0
"70"	"65"	41	0	0	1	553	1	1	0	0	0	7	1	0	7	0	0	612	0	612	0
"71"	"66"	619	13	7	1	14	1	2	1	0	2	7	4	4	7	2	25	709	0	709	0
"72"	"67"	162	11	226	7	54	3	1	3	2	1	7	1	2	47	4	7	538	0	538	0
"73"	"68"	66	2	15	4	257	3	6	0	0	0	22	1	2	68	1	4	451	0	451	0
"74"	"69"	128	3	4	2	209	3	7	1	0	1	13	3	2	84	2	13	475	0	475	0
"75"	"70"	95	6	48	6	89	5	8	1	1	6	14	7	4	105	7	10	412	0	412	0
"76"	"71"	17	0	14	3	302	5	4	2	0	0	28	12	10	86	3	7	493	0	493	0
"77"	"72"	84	6	10	4	355	6	2	3	2	1	68	24	5	30	5	18	623	0	623	0
"78"	"73"	18	4	21	4	145	4	3	1	0	0	29	5	2	101	2	5	344	0	344	0
"79"	"74"	10	4	3	4	643	3	3	0	3	1	12	4	2	5	0	1	698	0	698	0
"80"	"75"	84	5	27	6	182	6	6	4	3	1	22	10	3	173	3	2	537	0	537	0
"81"	"76"	92	2	463	1	20	1	1	1	0	2	6	1	2	16	2	0	610	0	610	0
"82"	"77"	70	4	13	4	190	20	6	2	0	3	28	17	7	169	4	16	553	0	553	0
"83"	"78"	166	4	80	4	23	3	3	1	2	2	17	5	14	112	11	20	467	0	467	0
"84"	"79"	122	15	56	1	22	5	6	5	1	2	5	3	4	107	4	12	370	0	370	0
"85"	"80"	23	5	32	6	92	7	10	4	3	0	27	9	11	140	28	30	427	0	427	0
"86"	"81"	26	1	18	2	257	1	4	1	2	0	27	0	2	1	92	4	438	0	438	0
"87"	"Sl. Of Polling Station"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"88"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"89"	"82"	27	5	9	1	6	0	1	0	1	2	0	0	2	52	171	6	283	0	283	0
"90"	"83"	20	10	8	4	10	0	0	0	0	0	0	0	1	17	173	9	252	0	252	0
"91"	"84"	70	8	42	0	5	3	8	1	2	0	1	3	2	97	296	13	551	0	551	0
"92"	"85"	55	2	320	2	53	1	2	2	1	0	10	0	1	163	10	0	622	0	622	0
"93"	"86"	73	34	4	1	74	6	6	3	1	2	14	3	1	2	1	2	227	0	227	0
"94"	"87"	648	7	83	1	22	1	1	1	0	1	9	2	1	9	26	12	824	0	824	0
"95"	"88"	455	29	156	9	17	2	1	1	2	1	2	4	1	13	5	20	718	0	718	0
"96"	"89"	115	11	208	3	25	6	4	2	5	2	2	3	7	134	17	10	554	0	554	0
"97"	"90"	62	7	143	4	48	9	15	6	2	4	44	9	14	43	19	18	447	0	447	0
"98"	"91"	106	29	92	5	62	6	14	3	2	3	30	9	13	193	14	18	599	0	599	0
"99"	"92"	60	10	166	15	117	10	18	15	4	6	48	15	19	87	13	23	626	0	626	0
"100"	"93"	56	24	32	0	84	4	10	3	5	1	23	0	0	16	0	9	267	0	267	0
"101"	"94"	269	7	129	7	82	10	15	7	2	4	24	5	7	66	17	16	667	0	667	0
"102"	"95"	131	4	229	5	50	6	4	1	4	5	23	6	9	88	24	17	606	0	606	0
"103"	"96"	173	9	252	4	66	4	8	6	7	6	25	11	13	50	19	32	685	0	685	0
"104"	"97"	271	18	103	7	35	6	11	6	4	7	12	11	9	121	21	34	676	0	676	0
"105"	"98"	203	104	52	10	123	16	13	12	0	2	53	11	10	160	7	12	788	0	788	0
"106"	"99"	325	19	101	10	22	2	6	5	1	5	6	10	4	109	15	39	679	0	679	0
"107"	"100"	154	13	274	7	38	10	8	2	3	3	11	5	6	105	17	13	669	0	669	0
"108"	"101"	218	40	177	6	99	8	16	7	3	7	26	16	5	71	23	34	756	0	756	0
"109"	"102"	63	24	3	3	116	2	9	6	0	1	29	5	4	9	1	6	281	0	281	0
"110"	"103"	77	5	86	4	24	1	5	2	6	3	20	8	13	111	18	24	407	0	407	0
"111"	"104"	141	4	88	5	23	0	3	2	3	2	5	1	6	75	18	27	403	0	403	0
"112"	"105"	6	0	284	4	16	0	2	0	2	0	6	1	3	35	1	0	360	0	360	0
"113"	"106"	15	4	407	3	8	1	0	2	1	1	0	0	2	3	1	1	449	0	449	0
"114"	"107"	64	25	162	4	124	5	7	6	2	1	15	7	10	106	4	9	551	0	551	0
"115"	"108"	121	16	122	2	138	4	14	3	0	2	12	0	5	62	6	4	511	0	511	0
"116"	"Sl. Of Polling Station"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"117"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"118"	"109"	199	9	82	8	145	2	21	2	2	6	49	9	6	123	9	18	690	0	690	0
"119"	"110"	176	60	70	9	63	10	6	3	4	3	20	6	4	45	13	26	518	0	518	0
"120"	"111"	103	23	69	7	117	8	4	3	0	1	40	6	3	149	5	10	548	0	548	0
"121"	"112"	122	13	183	8	38	7	6	4	5	1	15	1	4	139	13	12	571	0	571	0
"122"	"113"	121	10	121	3	57	6	10	4	3	5	25	6	9	345	9	13	747	0	747	0
"123"	"114"	39	2	52	2	59	4	0	0	0	1	21	7	0	24	7	7	225	0	225	0
"124"	"115"	66	17	55	4	23	4	4	4	3	1	7	6	4	205	11	8	422	0	422	0
"125"	"116"	63	4	75	2	30	3	4	0	2	5	25	5	10	125	27	8	388	0	388	0
"126"	"117"	138	56	73	8	137	11	14	4	2	4	35	3	2	106	6	10	609	0	609	0
"127"	"118"	135	5	103	1	23	2	1	2	1	0	10	0	2	6	8	10	309	0	309	0
"128"	"119"	55	3	103	3	89	2	6	3	1	4	27	10	7	76	8	7	404	0	404	0
"129"	"120"	90	6	91	4	51	5	4	0	1	4	20	1	4	38	4	8	331	0	331	0
"130"	"121"	99	22	130	4	118	12	7	2	2	4	20	10	7	173	17	13	640	0	640	0
"131"	"122"	106	2	119	7	131	9	4	3	4	6	32	13	9	223	8	10	686	0	686	0
"132"	"123"	184	7	105	3	25	3	3	3	2	0	8	2	1	146	7	3	502	0	502	0
"133"	"124"	126	10	55	4	67	4	5	1	3	8	19	10	7	99	9	10	437	0	437	0
"134"	"125"	55	10	81	4	92	10	7	1	1	5	20	2	3	35	7	14	347	0	347	0
"135"	"126"	398	8	33	4	28	4	4	1	2	0	12	0	2	59	4	17	576	0	576	0
"136"	"127"	204	8	134	6	19	1	4	2	2	0	2	2	5	49	5	13	456	0	456	0
"137"	"128"	54	5	75	1	110	4	4	1	0	1	11	1	5	257	5	11	545	0	545	0
"138"	"129"	3	1	6	2	233	2	2	1	0	1	11	2	1	34	1	0	300	0	300	0
"139"	"130"	43	4	23	7	221	9	4	3	2	4	42	8	4	11	1	2	388	0	388	0
"140"	"131"	21	8	13	22	112	6	2	0	0	0	18	6	9	444	3	6	670	0	670	0
"141"	"132"	7	1	5	13	34	1	1	1	0	0	7	4	1	272	3	1	351	0	351	0
"142"	"133"	97	29	39	3	29	3	3	1	3	1	8	2	5	234	15	6	478	0	478	0
"143"	"134"	94	62	36	2	118	5	10	5	3	8	48	7	15	159	12	7	591	0	591	0
"144"	"135"	8	0	27	1	217	3	5	0	0	0	13	4	0	53	3	1	335	0	335	0
"145"	"Sl. Of Polling Station"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"146"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"147"	"136"	140	62	205	8	25	6	4	4	2	4	15	4	8	61	21	25	594	0	594	0
"148"	"137"	8	0	8	6	273	10	10	2	1	1	31	12	4	38	1	10	415	0	415	0
"149"	"138"	11	1	14	3	190	14	7	4	4	8	55	19	9	90	9	18	456	0	456	0
"150"	"139"	23	5	134	4	15	6	8	7	0	2	6	4	8	418	12	9	661	0	661	0
"151"	"140"	18	27	6	2	107	2	4	1	1	0	14	1	1	6	0	0	190	0	190	0
"152"	"141"	45	46	203	12	63	15	10	14	3	5	17	10	11	90	7	1	552	0	552	0
"153"	"142"	132	8	198	5	47	3	5	2	2	1	10	1	5	92	9	11	531	0	531	0
"154"	"143"	15	0	3	2	568	5	2	1	0	2	10	3	0	12	1	3	627	0	627	0
"155"	"144"	178	19	2	4	193	7	7	1	6	2	27	8	2	31	6	17	510	0	510	0
"156"	"145"	47	1	2	5	184	4	4	3	0	1	40	15	3	5	3	6	323	0	323	0
"157"	"146"	58	25	191	6	117	7	11	8	5	2	31	7	6	29	11	15	529	0	529	0
"158"	"147"	243	6	57	6	12	3	4	1	4	1	5	3	7	105	17	33	507	0	507	0
"159"	"148"	50	13	244	6	14	6	1	1	2	1	1	4	6	70	4	12	435	0	435	0
"160"	"149"	155	25	100	6	15	5	9	4	6	0	12	2	0	70	8	14	431	0	431	0
"161"	"150"	128	39	110	1	36	3	12	4	8	7	23	8	13	125	21	43	581	0	581	0
"162"	"151"	53	19	173	10	70	12	14	7	3	2	12	5	4	252	9	11	656	0	656	0
"163"	"152"	337	36	160	3	12	2	2	2	3	2	3	0	1	35	4	17	619	0	619	0
"164"	"153"	116	4	26	6	94	5	9	3	3	4	17	3	2	31	1	8	332	0	332	0
"165"	"154"	88	165	38	4	58	4	2	1	2	1	7	1	1	99	11	9	491	0	491	0
"166"	"155"	212	10	70	0	34	1	3	2	1	0	8	5	2	89	3	5	445	0	445	0
"167"	"156"	275	3	9	2	81	2	1	2	1	1	7	1	4	10	0	9	408	0	408	0
"168"	"157"	239	9	123	4	44	2	7	4	2	0	27	3	4	19	9	19	515	0	515	0
"169"	"158"	187	5	58	1	9	1	0	0	1	0	0	0	0	5	1	9	277	0	277	0
"170"	"159"	133	14	45	3	44	1	1	2	2	1	5	1	0	1	0	6	259	0	259	0
"171"	"160"	266	6	105	2	19	1	5	1	3	2	6	7	4	75	4	12	518	0	518	0
"172"	"161"	114	11	21	3	35	4	6	4	2	2	35	9	12	374	28	17	677	0	677	0
"173"	"162"	45	28	145	1	24	3	1	1	3	1	16	3	1	56	4	4	336	0	336	0
"174"	"Sl. Of Polling Station"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"175"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"176"	"163"	62	2	12	2	121	9	7	5	3	3	25	4	6	253	6	11	531	0	531	0
"177"	"164"	49	30	13	2	213	6	8	2	1	1	37	7	2	114	5	8	498	0	498	0
"178"	"165"	79	15	22	8	128	5	5	1	14	0	13	6	4	68	3	9	380	0	380	0
"179"	"166"	90	10	8	3	34	4	4	3	6	3	12	2	6	206	5	7	403	0	403	0
"180"	"167"	43	5	0	2	108	3	4	1	1	3	13	1	2	6	1	9	202	0	202	0
"181"	"168"	44	4	250	2	35	5	0	3	2	0	2	0	2	10	7	4	370	0	370	0
"182"	"169"	97	10	42	8	71	5	10	3	6	5	26	8	4	102	13	9	419	0	419	0
"183"	"170"	117	4	36	1	15	1	0	1	0	0	9	1	0	2	0	3	190	0	190	0
"184"	"171"	97	4	16	2	24	1	0	1	2	0	4	4	0	10	1	0	166	0	166	0
"185"	"172"	111	8	149	3	63	3	4	4	1	3	23	6	3	74	7	16	478	0	478	0
"186"	"173"	17	4	201	4	14	2	3	3	0	1	2	1	5	101	5	1	364	0	364	0
"187"	"174"	13	7	83	1	55	2	10	2	1	1	54	0	2	43	2	2	278	0	278	0
"188"	"175"	62	3	87	0	9	1	4	2	3	0	3	3	0	114	8	6	305	0	305	0
"189"	"176"	15	35	8	7	125	6	7	6	2	0	36	5	3	16	2	0	273	0	273	0
"190"	"177"	97	3	65	5	44	4	3	4	1	4	28	5	7	161	8	9	448	0	448	0
"191"	"178"	95	19	58	10	123	9	16	4	4	2	38	6	3	31	1	3	422	0	422	0
"192"	"179"	102	7	21	6	261	13	19	3	0	3	48	15	12	48	5	6	569	0	569	0
"193"	"180"	257	15	25	3	141	6	5	1	1	3	33	10	4	199	2	10	715	0	715	0
"194"	"181"	6	3	1	1	698	5	2	2	0	0	21	2	0	1	0	1	743	0	743	0
"195"	"182"	5	0	0	0	228	0	1	0	0	1	0	0	0	3	1	0	239	0	239	0
"196"	"183"	242	5	21	5	28	4	5	1	5	2	7	5	5	168	8	22	533	0	533	0
"197"	"184"	239	47	72	1	6	3	2	1	8	0	2	2	1	32	2	8	426	0	426	0
"198"	"185"	257	5	65	3	10	2	0	0	0	0	3	2	1	77	8	8	441	0	441	0
"199"	"186"	13	2	25	5	110	9	12	4	4	4	26	24	16	237	7	14	512	0	512	0
"200"	"187"	24	4	136	0	54	0	0	0	0	1	4	2	0	17	2	1	245	0	245	0
"201"	"188"	95	64	587	2	9	5	1	1	1	1	3	0	3	50	10	7	839	0	839	0
"202"	"189"	10	7	402	3	74	1	5	1	5	7	14	5	4	6	4	3	551	0	551	0
"203"	"Sl. Of Polling Station"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"204"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"205"	"190"	75	11	675	2	16	6	3	1	0	8	5	7	8	59	5	12	893	0	893	0
"206"	"191"	41	1	247	0	2	0	0	0	0	0	4	0	0	1	1	0	297	0	297	0
"207"	"192"	283	6	60	2	36	2	2	2	1	1	3	0	3	16	1	2	420	0	420	0
"208"	"193"	47	13	6	3	59	3	7	2	0	1	16	2	3	3	2	12	179	0	179	0
"209"	"194"	25	1	321	0	7	0	2	0	0	1	1	0	1	6	2	0	367	0	367	0
"210"	"195"	117	25	176	1	8	2	2	1	2	1	2	3	6	83	2	6	437	0	437	0
"211"	"196"	102	90	77	3	60	4	8	4	9	2	5	10	7	86	4	17	488	0	488	0
"212"	"197"	141	9	118	2	15	1	6	4	15	2	6	8	7	94	20	20	468	0	468	0
"213"	"198"	108	8	133	5	57	2	4	4	3	4	6	7	5	93	10	20	469	0	469	0
"214"	"199"	71	26	112	4	54	5	3	3	2	3	7	3	9	197	7	10	516	0	516	0
"215"	"200"	185	9	117	3	25	0	6	0	2	2	7	3	1	6	4	13	383	0	383	0
"216"	"201"	123	10	293	2	23	5	6	4	1	4	11	7	5	4	4	18	520	0	520	0
"217"	"202"	158	12	48	4	88	14	9	3	3	3	11	3	9	83	3	6	457	0	457	0
"218"	"203"	124	45	71	2	40	1	8	3	3	1	17	10	6	99	18	27	475	0	475	0
"219"	"204"	350	18	56	2	81	5	3	8	1	1	19	10	9	10	2	10	585	0	585	0
"220"	"205"	56	5	180	2	15	2	3	5	0	2	6	2	3	18	2	9	310	0	310	0
"221"	"206"	38	3	15	2	329	6	5	4	1	3	40	6	3	9	1	3	468	0	468	0
"222"	"207"	149	14	109	3	22	6	4	3	9	5	4	5	5	61	4	7	410	0	410	0
"223"	"208"	31	3	35	3	143	7	7	4	1	5	31	3	2	1	1	4	281	0	281	0
"224"	"209"	133	7	114	5	73	4	4	5	3	5	46	6	4	37	12	25	483	0	483	0
"225"	"210"	70	11	141	6	135	4	4	5	0	2	19	9	2	7	8	5	428	0	428	0
"226"	"211"	167	55	58	3	62	2	7	3	2	3	29	10	7	71	7	17	503	0	503	0
"227"	"212"	66	32	2	2	130	1	7	4	0	0	10	3	1	2	0	1	261	0	261	0
"228"	"213"	72	4	144	1	10	1	1	1	0	0	1	0	0	2	3	4	244	0	244	0
"229"	"214"	138	4	220	9	24	5	5	5	7	8	15	11	10	105	16	45	627	0	627	0
"230"	"215"	156	11	166	2	12	1	5	3	7	3	8	7	8	32	11	30	462	0	462	0
"231"	"216"	102	11	106	4	30	12	7	2	3	9	9	3	3	35	18	19	373	0	373	0
"232"	"Sl. Of Polling Station"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"233"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"234"	"Total No. of votes recorded at Polling Stations"	26409	2974	20858	850	17678	915	1142	611	498	502	3645	1117	1021	15709	2259	2574	NA	NA	NA	NA
"235"	"No. of votes recorded on postal ballot papers"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	NA
"236"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"237"	"Total Votes Polled"	26409	2974	20858	850	17678	915	1142	611	498	502	3645	1117	1021	15709	2259	2574	NA	NA	NA	NA
"238"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"239"	"Place:"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"240"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"241"	"Date:"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
