"ernku..dsUnz.dh..la..k"	"fuEufyf.kr..vH.fFkZ.ks..ds..Ik.k..esa..fn...x...fof.kekU...erksa..dh..la..k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"fufonr..erks..dh..la..k"	"izfr.ksfir..eri.ksa..dh..la."	"dqy..fof.kekU....oa..izfr.ksfir.erks..dh..la..k"
"15"	"13"	"217"	"18"	"22"	"9"	"8"	"14"	"260"	"9"	"13"	"570"	""	""	"570"
"16"	"14"	"146"	"9"	"16"	"3"	"4"	"10"	"210"	"1"	"0"	"399"	""	""	"399"
"17"	"Round Total"	"2508"	"171"	"265"	"129"	"63"	"206"	"3308"	"118"	"188"	"6956"	"0"	"0"	"6956"
"18"	"ernku  dsUnz dh  la[;k"	"fuEufyf[kr  vH;fFkZ;ks  ds  Ik{k  esa  fn,  x,  fof/kekU;  erksa  dh  la[;k"	""	""	""	""	""	""	""	""	""	"fufonr  erks  dh  la[;k"	"izfr{ksfir  eri=ksa  dh  la-"	"dqy  fof/kekU;  ,oa  izfr{ksfir erks  dh  la[;k"
"19"	""	"v'kksd  dqekj  flag
¼fojkViqj½"	"johUnz  jke"	"jktsUnz  izlkn  ;kno"	"f'kf'kj  dqekj  >k"	"v[kykadqj  jgeku"	"v'kksd  dqekj  flag
¼jkSrkoa'kh½"	"fd'kksj  dqekj"	"feJh yky  ;kno"	"ehjk nsoh"	"dqy  fof/kekU;  er"	""	""	""
"20"	"ROUND -II"	""	""	""	""	""	""	""	""	""	""	""	""	""
"21"	"B.F.->"	"2508"	"171"	"265"	"129"	"63"	"206"	"3308"	"118"	"188"	"6956"	"0"	"0"	"6956"
"22"	"15"	"124"	"14"	"44"	"15"	"5"	"22"	"330"	"12"	"11"	"577"	""	""	"577"
"23"	"16"	"230"	"13"	"66"	"3"	"4"	"8"	"134"	"4"	"11"	"473"	""	""	"473"
"24"	"17"	"281"	"16"	"10"	"2"	"2"	"3"	"121"	"8"	"5"	"448"	""	""	"448"
"25"	"18"	"70"	"7"	"8"	"5"	"5"	"7"	"170"	"10"	"6"	"288"	""	""	"288"
"26"	"19"	"234"	"20"	"4"	"7"	"6"	"12"	"202"	"6"	"12"	"503"	""	""	"503"
"27"	"20"	"197"	"8"	"5"	"2"	"0"	"4"	"67"	"3"	"8"	"294"	""	""	"294"
"28"	"21"	"194"	"10"	"52"	"18"	"2"	"14"	"171"	"6"	"11"	"478"	""	""	"478"
"29"	"22"	"106"	"11"	"76"	"2"	"2"	"8"	"470"	"7"	"3"	"685"	""	""	"685"
"30"	"23"	"171"	"7"	"32"	"0"	"0"	"1"	"50"	"1"	"5"	"267"	""	""	"267"
"31"	"24"	"170"	"12"	"17"	"7"	"7"	"16"	"427"	"15"	"37"	"708"	""	""	"708"
"32"	"25"	"381"	"16"	"17"	"5"	"7"	"9"	"218"	"15"	"26"	"694"	""	""	"694"
"33"	"26"	"210"	"15"	"23"	"7"	"1"	"13"	"253"	"7"	"5"	"534"	""	""	"534"
"34"	"27"	"131"	"9"	"28"	"13"	"7"	"28"	"329"	"12"	"12"	"569"	""	""	"569"
"35"	"28"	"364"	"17"	"43"	"21"	"1"	"6"	"197"	"3"	"7"	"659"	""	""	"659"
"36"	"Round Total"	"2863"	"175"	"425"	"107"	"49"	"151"	"3139"	"109"	"159"	"7177"	"0"	"0"	"7177"
"37"	"C.F.->"	"5371"	"346"	"690"	"236"	"112"	"357"	"6447"	"227"	"347"	"14133"	"0"	"0"	"14133"
"38"	"ernku  dsUnz dh  la[;k"	"fuEufyf[kr  vH;fFkZ;ks  ds  Ik{k  esa  fn,  x,  fof/kekU;  erksa  dh  la[;k"	""	""	""	""	""	""	""	""	""	"fufonr  erks  dh  la[;k"	"izfr{ksfir  eri=ksa  dh  la-"	"dqy  fof/kekU;  ,oa  izfr{ksfir erks  dh  la[;k"
"39"	""	"v'kksd  dqekj  flag
¼fojkViqj½"	"johUnz  jke"	"jktsUnz  izlkn  ;kno"	"f'kf'kj  dqekj  >k"	"v[kykadqj  jgeku"	"v'kksd  dqekj  flag
¼jkSrkoa'kh½"	"fd'kksj  dqekj"	"feJh yky  ;kno"	"ehjk nsoh"	"dqy  fof/kekU;  er"	""	""	""
"40"	"ROUND- III"	""	""	""	""	""	""	""	""	""	""	""	""	""
"41"	"B.F.->"	"5371"	"346"	"690"	"236"	"112"	"357"	"6447"	"227"	"347"	"14133"	"0"	"0"	"14133"
"42"	"29"	"104"	"13"	"14"	"6"	"6"	"12"	"242"	"9"	"22"	"428"	""	""	"428"
"43"	"30"	"199"	"6"	"20"	"4"	"1"	"5"	"98"	"2"	"9"	"344"	""	""	"344"
"44"	"31"	"137"	"9"	"56"	"2"	"3"	"7"	"216"	"5"	"12"	"447"	""	""	"447"
"45"	"32"	"169"	"8"	"37"	"5"	"2"	"11"	"192"	"4"	"10"	"438"	""	""	"438"
"46"	"33"	"252"	"10"	"116"	"7"	"3"	"6"	"185"	"4"	"6"	"589"	""	""	"589"
"47"	"34"	"18"	"0"	"9"	"0"	"0"	"2"	"295"	"3"	"0"	"327"	""	""	"327"
"48"	"35"	"124"	"4"	"7"	"12"	"3"	"9"	"451"	"9"	"12"	"631"	""	""	"631"
"49"	"36"	"538"	"7"	"21"	"0"	"0"	"6"	"96"	"3"	"1"	"672"	""	""	"672"
"50"	"37"	"351"	"14"	"53"	"6"	"1"	"10"	"96"	"5"	"4"	"540"	""	""	"540"
"51"	"38"	"173"	"17"	"39"	"6"	"4"	"22"	"190"	"14"	"17"	"482"	""	""	"482"
"52"	"39"	"94"	"3"	"223"	"1"	"2"	"7"	"572"	"3"	"1"	"906"	""	""	"906"
"53"	"40"	"99"	"9"	"30"	"16"	"8"	"31"	"433"	"21"	"25"	"672"	""	""	"672"
"54"	"41"	"143"	"7"	"6"	"4"	"2"	"11"	"280"	"7"	"9"	"469"	""	""	"469"
"55"	"42"	"154"	"6"	"21"	"5"	"3"	"11"	"233"	"6"	"9"	"448"	""	""	"448"
"56"	"Round Total"	"2555"	"113"	"652"	"74"	"38"	"150"	"3579"	"95"	"137"	"7393"	"0"	"0"	"7393"
"57"	"C.F.->"	"7926"	"459"	"1342"	"310"	"150"	"507"	"10026"	"322"	"484"	"21526"	"0"	"0"	"21526"
"58"	"ernku  dsUnz dh  la[;k"	"fuEufyf[kr  vH;fFkZ;ks  ds  Ik{k  esa  fn,  x,  fof/kekU;  erksa  dh  la[;k"	""	""	""	""	""	""	""	""	""	"fufonr  erks  dh  la[;k"	"izfr{ksfir  eri=ksa  dh  la-"	"dqy  fof/kekU;  ,oa  izfr{ksfir erks  dh  la[;k"
"59"	""	"v'kksd  dqekj  flag
¼fojkViqj½"	"johUnz  jke"	"jktsUnz  izlkn  ;kno"	"f'kf'kj  dqekj  >k"	"v[kykadqj  jgeku"	"v'kksd  dqekj  flag
¼jkSrkoa'kh½"	"fd'kksj  dqekj"	"feJh yky  ;kno"	"ehjk nsoh"	"dqy  fof/kekU;  er"	""	""	""
"60"	"ROUND -IV"	""	""	""	""	""	""	""	""	""	""	""	""	""
"61"	"B.F.->"	"7926"	"459"	"1342"	"310"	"150"	"507"	"10026"	"322"	"484"	"21526"	"0"	"0"	"21526"
"62"	"43"	"105"	"11"	"7"	"5"	"2"	"11"	"276"	"9"	"10"	"436"	""	""	"436"
"63"	"44"	"162"	"16"	"14"	"5"	"6"	"23"	"273"	"7"	"14"	"520"	""	""	"520"
"64"	"45"	"240"	"10"	"19"	"7"	"8"	"9"	"201"	"13"	"25"	"532"	""	""	"532"
"65"	"46"	"79"	"11"	"20"	"6"	"4"	"12"	"181"	"4"	"8"	"325"	""	""	"325"
"66"	"47"	"195"	"10"	"10"	"0"	"1"	"11"	"224"	"6"	"9"	"466"	""	""	"466"
"67"	"48"	"123"	"4"	"7"	"3"	"3"	"10"	"242"	"15"	"17"	"424"	""	""	"424"
"68"	"49"	"116"	"7"	"79"	"8"	"2"	"11"	"217"	"13"	"26"	"479"	""	""	"479"
"69"	"50"	"112"	"0"	"12"	"5"	"4"	"14"	"239"	"3"	"4"	"393"	""	""	"393"
"70"	"51"	"197"	"7"	"8"	"4"	"2"	"12"	"415"	"6"	"9"	"660"	""	""	"660"
"71"	"52"	"78"	"12"	"10"	"2"	"1"	"11"	"170"	"8"	"3"	"295"	""	""	"295"
"72"	"53"	"91"	"4"	"7"	"2"	"2"	"8"	"326"	"2"	"3"	"445"	""	""	"445"
"73"	"54"	"133"	"16"	"38"	"5"	"7"	"27"	"188"	"11"	"13"	"438"	""	""	"438"
"74"	"55"	"242"	"11"	"42"	"5"	"2"	"16"	"157"	"6"	"15"	"496"	""	""	"496"
"75"	"56"	"156"	"7"	"118"	"4"	"4"	"15"	"217"	"3"	"1"	"525"	""	""	"525"
"76"	"Round Total"	"2029"	"126"	"391"	"61"	"48"	"190"	"3326"	"106"	"157"	"6434"	"0"	"0"	"6434"
"77"	"C.F.->"	"9955"	"585"	"1733"	"371"	"198"	"697"	"13352"	"428"	"641"	"27960"	"0"	"0"	"27960"
"78"	"ernku  dsUnz dh  la[;k"	"fuEufyf[kr  vH;fFkZ;ks  ds  Ik{k  esa  fn,  x,  fof/kekU;  erksa  dh  la[;k"	""	""	""	""	""	""	""	""	""	"fufonr  erks  dh  la[;k"	"izfr{ksfir  eri=ksa  dh  la-"	"dqy  fof/kekU;  ,oa  izfr{ksfir erks  dh  la[;k"
"79"	""	"v'kksd  dqekj  flag
¼fojkViqj½"	"johUnz  jke"	"jktsUnz  izlkn  ;kno"	"f'kf'kj  dqekj  >k"	"v[kykadqj  jgeku"	"v'kksd  dqekj  flag
¼jkSrkoa'kh½"	"fd'kksj  dqekj"	"feJh yky  ;kno"	"ehjk nsoh"	"dqy  fof/kekU;  er"	""	""	""
"80"	"ROUND- V"	""	""	""	""	""	""	""	""	""	""	""	""	""
"81"	"B.F.->"	"9955"	"585"	"1733"	"371"	"198"	"697"	"13352"	"428"	"641"	"27960"	"0"	"0"	"27960"
"82"	"57"	"191"	"11"	"20"	"5"	"2"	"7"	"240"	"12"	"15"	"503"	""	""	"503"
"83"	"58"	"95"	"11"	"16"	"2"	"3"	"6"	"220"	"2"	"2"	"357"	""	""	"357"
"84"	"59"	"182"	"15"	"18"	"2"	"5"	"15"	"190"	"20"	"16"	"463"	""	""	"463"
"85"	"60"	"84"	"8"	"7"	"5"	"5"	"8"	"236"	"8"	"5"	"366"	""	""	"366"
"86"	"61"	"121"	"10"	"10"	"6"	"5"	"13"	"158"	"9"	"11"	"343"	""	""	"343"
"87"	"62"	"266"	"31"	"65"	"12"	"6"	"12"	"158"	"11"	"14"	"575"	""	""	"575"
"88"	"63"	"122"	"10"	"53"	"9"	"7"	"22"	"325"	"7"	"5"	"560"	""	""	"560"
"89"	"64"	"127"	"7"	"55"	"4"	"3"	"18"	"301"	"9"	"12"	"536"	""	""	"536"
"90"	"65"	"87"	"7"	"8"	"1"	"3"	"4"	"93"	"2"	"6"	"211"	""	""	"211"
"91"	"66"	"167"	"16"	"33"	"11"	"9"	"27"	"288"	"9"	"10"	"570"	""	""	"570"
"92"	"67"	"141"	"13"	"18"	"8"	"12"	"21"	"297"	"41"	"42"	"593"	""	""	"593"
"93"	"68"	"94"	"3"	"5"	"2"	"2"	"10"	"703"	"15"	"11"	"845"	""	""	"845"
"94"	"69"	"208"	"15"	"43"	"5"	"8"	"14"	"109"	"8"	"9"	"419"	""	""	"419"
"95"	"70"	"77"	"4"	"7"	"5"	"0"	"20"	"261"	"11"	"19"	"404"	""	""	"404"
"96"	"Round Total"	"1962"	"161"	"358"	"77"	"70"	"197"	"3579"	"164"	"177"	"6745"	"0"	"0"	"6745"
"97"	"C.F.->"	"11917"	"746"	"2091"	"448"	"268"	"894"	"16931"	"592"	"818"	"34705"	"0"	"0"	"34705"
"98"	"ernku  dsUnz dh  la[;k"	"fuEufyf[kr  vH;fFkZ;ks  ds  Ik{k  esa  fn,  x,  fof/kekU;  erksa  dh  la[;k"	""	""	""	""	""	""	""	""	""	"fufonr  erks  dh  la[;k"	"izfr{ksfir  eri=ksa  dh  la-"	"dqy  fof/kekU;  ,oa  izfr{ksfir erks  dh  la[;k"
"99"	""	"v'kksd  dqekj  flag
¼fojkViqj½"	"johUnz  jke"	"jktsUnz  izlkn  ;kno"	"f'kf'kj  dqekj  >k"	"v[kykadqj  jgeku"	"v'kksd  dqekj  flag
¼jkSrkoa'kh½"	"fd'kksj  dqekj"	"feJh yky  ;kno"	"ehjk nsoh"	"dqy  fof/kekU;  er"	""	""	""
"100"	"ROUND -VI"	""	""	""	""	""	""	""	""	""	""	""	""	""
"101"	"B.F.->"	"11917"	"746"	"2091"	"448"	"268"	"894"	"16931"	"592"	"818"	"34705"	"0"	"0"	"34705"
"102"	"71"	"140"	"15"	"7"	"7"	"3"	"10"	"243"	"8"	"10"	"443"	""	""	"443"
"103"	"72"	"175"	"20"	"11"	"10"	"0"	"12"	"209"	"8"	"17"	"462"	""	""	"462"
"104"	"73"	"139"	"18"	"20"	"14"	"8"	"41"	"475"	"12"	"23"	"750"	""	""	"750"
"105"	"74"	"70"	"11"	"186"	"8"	"4"	"19"	"165"	"8"	"5"	"476"	""	""	"476"
"106"	"75"	"60"	"8"	"20"	"13"	"9"	"22"	"284"	"11"	"15"	"442"	""	""	"442"
"107"	"76"	"20"	"3"	"20"	"5"	"2"	"6"	"87"	"2"	"3"	"148"	""	""	"148"
"108"	"77"	"116"	"6"	"79"	"11"	"9"	"20"	"206"	"13"	"21"	"481"	""	""	"481"
"109"	"78"	"45"	"3"	"70"	"4"	"1"	"7"	"77"	"11"	"26"	"244"	""	""	"244"
"110"	"79"	"57"	"4"	"184"	"5"	"2"	"4"	"83"	"12"	"11"	"362"	""	""	"362"
"111"	"80"	"70"	"6"	"23"	"7"	"2"	"19"	"203"	"7"	"8"	"345"	""	""	"345"
"112"	"81"	"81"	"3"	"40"	"5"	"5"	"13"	"264"	"7"	"16"	"434"	""	""	"434"
"113"	"82"	"29"	"2"	"20"	"8"	"4"	"15"	"290"	"27"	"11"	"406"	""	""	"406"
"114"	"83"	"120"	"9"	"2"	"4"	"3"	"7"	"137"	"3"	"12"	"297"	""	""	"297"
"115"	"84"	"100"	"5"	"12"	"7"	"2"	"8"	"314"	"8"	"13"	"469"	""	""	"469"
"116"	"Round Total"	"1222"	"113"	"694"	"108"	"54"	"203"	"3037"	"137"	"191"	"5759"	"0"	"0"	"5759"
"117"	"C.F.->"	"13139"	"859"	"2785"	"556"	"322"	"1097"	"19968"	"729"	"1009"	"40464"	"0"	"0"	"40464"
"118"	"ernku  dsUnz dh  la[;k"	"fuEufyf[kr  vH;fFkZ;ks  ds  Ik{k  esa  fn,  x,  fof/kekU;  erksa  dh  la[;k"	""	""	""	""	""	""	""	""	""	"fufonr  erks  dh  la[;k"	"izfr{ksfir  eri=ksa  dh  la-"	"dqy  fof/kekU;  ,oa  izfr{ksfir erks  dh  la[;k"
"119"	""	"v'kksd  dqekj  flag
¼fojkViqj½"	"johUnz  jke"	"jktsUnz  izlkn  ;kno"	"f'kf'kj  dqekj  >k"	"v[kykadqj  jgeku"	"v'kksd  dqekj  flag
¼jkSrkoa'kh½"	"fd'kksj  dqekj"	"feJh yky  ;kno"	"ehjk nsoh"	"dqy  fof/kekU;  er"	""	""	""
"120"	"ROUND- VII"	""	""	""	""	""	""	""	""	""	""	""	""	""
"121"	"B.F.->"	"13139"	"859"	"2785"	"556"	"322"	"1097"	"19968"	"729"	"1009"	"40464"	"0"	"0"	"40464"
"122"	"85"	"144"	"10"	"12"	"26"	"10"	"10"	"315"	"14"	"24"	"565"	""	""	"565"
"123"	"86"	"68"	"11"	"23"	"26"	"5"	"12"	"182"	"6"	"11"	"344"	""	""	"344"
"124"	"87"	"91"	"7"	"72"	"7"	"4"	"10"	"170"	"4"	"19"	"384"	""	""	"384"
"125"	"88"	"107"	"5"	"194"	"6"	"6"	"11"	"227"	"9"	"11"	"576"	""	""	"576"
"126"	"89"	"122"	"7"	"42"	"7"	"3"	"6"	"75"	"10"	"13"	"285"	""	""	"285"
"127"	"90"	"90"	"10"	"52"	"22"	"2"	"17"	"163"	"5"	"17"	"378"	""	""	"378"
"128"	"91"	"120"	"6"	"49"	"4"	"7"	"12"	"127"	"7"	"8"	"340"	""	""	"340"
"129"	"92"	"160"	"12"	"46"	"7"	"15"	"9"	"149"	"9"	"16"	"423"	""	""	"423"
"130"	"93"	"80"	"11"	"111"	"14"	"6"	"5"	"85"	"3"	"6"	"321"	""	""	"321"
"131"	"94"	"38"	"8"	"103"	"5"	"7"	"10"	"298"	"7"	"8"	"484"	""	""	"484"
"132"	"95"	"186"	"20"	"31"	"12"	"6"	"19"	"401"	"20"	"33"	"728"	""	""	"728"
"133"	"96"	"101"	"9"	"24"	"6"	"7"	"12"	"252"	"12"	"19"	"442"	""	""	"442"
"134"	"97"	"192"	"18"	"24"	"7"	"8"	"23"	"334"	"9"	"22"	"637"	""	""	"637"
"135"	"98"	"157"	"13"	"37"	"12"	"11"	"17"	"309"	"28"	"42"	"626"	""	""	"626"
"136"	"Round Total"	"1656"	"147"	"820"	"161"	"97"	"173"	"3087"	"143"	"249"	"6533"	"0"	"0"	"6533"
"137"	"C.F.->"	"14795"	"1006"	"3605"	"717"	"419"	"1270"	"23055"	"872"	"1258"	"46997"	"0"	"0"	"46997"
"138"	"ernku  dsUnz dh  la[;k"	"fuEufyf[kr  vH;fFkZ;ks  ds  Ik{k  esa  fn,  x,  fof/kekU;  erksa  dh  la[;k"	""	""	""	""	""	""	""	""	""	"fufonr  erks  dh  la[;k"	"izfr{ksfir  eri=ksa  dh  la-"	"dqy  fof/kekU;  ,oa  izfr{ksfir erks  dh  la[;k"
"139"	""	"v'kksd  dqekj  flag
¼fojkViqj½"	"johUnz  jke"	"jktsUnz  izlkn  ;kno"	"f'kf'kj  dqekj  >k"	"v[kykadqj  jgeku"	"v'kksd  dqekj  flag
¼jkSrkoa'kh½"	"fd'kksj  dqekj"	"feJh yky  ;kno"	"ehjk nsoh"	"dqy  fof/kekU;  er"	""	""	""
"140"	"ROUND -VIII"	""	""	""	""	""	""	""	""	""	""	""	""	""
"141"	"B.F.->"	"14795"	"1006"	"3605"	"717"	"419"	"1270"	"23055"	"872"	"1258"	"46997"	"0"	"0"	"46997"
"142"	"99"	"101"	"13"	"67"	"6"	"6"	"8"	"68"	"7"	"10"	"286"	""	""	"286"
"143"	"100"	"108"	"9"	"45"	"3"	"1"	"12"	"196"	"15"	"13"	"402"	""	""	"402"
"144"	"101"	"114"	"13"	"19"	"80"	"28"	"20"	"383"	"18"	"33"	"708"	""	""	"708"
"145"	"102"	"111"	"20"	"138"	"13"	"6"	"20"	"162"	"5"	"10"	"485"	""	""	"485"
"146"	"103"	"61"	"5"	"8"	"3"	"3"	"7"	"201"	"7"	"8"	"303"	""	""	"303"
"147"	"104"	"230"	"16"	"32"	"12"	"3"	"2"	"78"	"2"	"10"	"385"	""	""	"385"
"148"	"105"	"107"	"7"	"68"	"30"	"8"	"15"	"120"	"17"	"24"	"396"	""	""	"396"
"149"	"106"	"136"	"16"	"17"	"6"	"6"	"14"	"304"	"14"	"49"	"562"	""	""	"562"
"150"	"107"	"30"	"0"	"4"	"5"	"2"	"4"	"203"	"4"	"5"	"257"	""	""	"257"
"151"	"108"	"53"	"1"	"19"	"22"	"1"	"8"	"638"	"5"	"2"	"749"	""	""	"749"
"152"	"109"	"21"	"0"	"1"	"21"	"1"	"8"	"374"	"2"	"2"	"430"	""	""	"430"
"153"	"110"	"46"	"3"	"3"	"6"	"2"	"4"	"556"	"4"	"4"	"628"	""	""	"628"
"154"	"111"	"192"	"14"	"41"	"8"	"6"	"10"	"195"	"9"	"16"	"491"	""	""	"491"
"155"	"112"	"132"	"10"	"19"	"1"	"2"	"8"	"115"	"5"	"12"	"304"	""	""	"304"
"156"	"Round Total"	"1442"	"127"	"481"	"216"	"75"	"140"	"3593"	"114"	"198"	"6386"	"0"	"0"	"6386"
"157"	"C.F.->"	"16237"	"1133"	"4086"	"933"	"494"	"1410"	"26648"	"986"	"1456"	"53383"	"0"	"0"	"53383"
"158"	"ernku  dsUnz dh  la[;k"	"fuEufyf[kr  vH;fFkZ;ks  ds  Ik{k  esa  fn,  x,  fof/kekU;  erksa  dh  la[;k"	""	""	""	""	""	""	""	""	""	"fufonr  erks  dh  la[;k"	"izfr{ksfir  eri=ksa  dh  la-"	"dqy  fof/kekU;  ,oa  izfr{ksfir erks  dh  la[;k"
"159"	""	"v'kksd  dqekj  flag
¼fojkViqj½"	"johUnz  jke"	"jktsUnz  izlkn  ;kno"	"f'kf'kj  dqekj  >k"	"v[kykadqj  jgeku"	"v'kksd  dqekj  flag
¼jkSrkoa'kh½"	"fd'kksj  dqekj"	"feJh yky  ;kno"	"ehjk nsoh"	"dqy  fof/kekU;  er"	""	""	""
"160"	"ROUND- IX"	""	""	""	""	""	""	""	""	""	""	""	""	""
"161"	"B.F.->"	"16237"	"1133"	"4086"	"933"	"494"	"1410"	"26648"	"986"	"1456"	"53383"	"0"	"0"	"53383"
"162"	"113"	"110"	"7"	"9"	"21"	"3"	"9"	"214"	"11"	"15"	"399"	""	""	"399"
"163"	"114"	"126"	"14"	"9"	"10"	"6"	"12"	"188"	"8"	"5"	"378"	""	""	"378"
"164"	"115"	"70"	"2"	"4"	"2"	"0"	"3"	"179"	"5"	"5"	"270"	""	""	"270"
"165"	"116"	"197"	"16"	"7"	"4"	"9"	"14"	"377"	"10"	"27"	"661"	""	""	"661"
"166"	"117"	"107"	"12"	"8"	"6"	"7"	"9"	"249"	"15"	"20"	"433"	""	""	"433"
"167"	"118"	"200"	"19"	"14"	"2"	"4"	"7"	"182"	"6"	"20"	"454"	""	""	"454"
"168"	"119"	"172"	"11"	"21"	"8"	"7"	"15"	"476"	"11"	"19"	"740"	""	""	"740"
"169"	"120"	"118"	"20"	"14"	"12"	"12"	"27"	"395"	"9"	"18"	"625"	""	""	"625"
"170"	"121"	"93"	"12"	"28"	"11"	"8"	"15"	"421"	"10"	"12"	"610"	""	""	"610"
"171"	"122"	"35"	"4"	"18"	"5"	"5"	"6"	"195"	"15"	"19"	"302"	""	""	"302"
"172"	"123"	"137"	"10"	"1"	"2"	"0"	"0"	"182"	"3"	"7"	"342"	""	""	"342"
"173"	"124"	"204"	"8"	"11"	"2"	"1"	"11"	"262"	"7"	"5"	"511"	""	""	"511"
"174"	"125"	"200"	"6"	"4"	"4"	"3"	"11"	"369"	"14"	"20"	"631"	""	""	"631"
"175"	"126"	"126"	"11"	"8"	"5"	"3"	"12"	"392"	"15"	"20"	"592"	""	""	"592"
"176"	"Round Total"	"1895"	"152"	"156"	"94"	"68"	"151"	"4081"	"139"	"212"	"6948"	"0"	"0"	"6948"
"177"	"C.F.->"	"18132"	"1285"	"4242"	"1027"	"562"	"1561"	"30729"	"1125"	"1668"	"60331"	"0"	"0"	"60331"
"178"	"ernku  dsUnz dh  la[;k"	"fuEufyf[kr  vH;fFkZ;ks  ds  Ik{k  esa  fn,  x,  fof/kekU;  erksa  dh  la[;k"	""	""	""	""	""	""	""	""	""	"fufonr  erks  dh  la[;k"	"izfr{ksfir  eri=ksa  dh  la-"	"dqy  fof/kekU;  ,oa  izfr{ksfir erks  dh  la[;k"
"179"	""	"v'kksd  dqekj  flag
¼fojkViqj½"	"johUnz  jke"	"jktsUnz  izlkn  ;kno"	"f'kf'kj  dqekj  >k"	"v[kykadqj  jgeku"	"v'kksd  dqekj  flag
¼jkSrkoa'kh½"	"fd'kksj  dqekj"	"feJh yky  ;kno"	"ehjk nsoh"	"dqy  fof/kekU;  er"	""	""	""
"180"	"ROUND -X"	""	""	""	""	""	""	""	""	""	""	""	""	""
"181"	"B.F.->"	"18132"	"1285"	"4242"	"1027"	"562"	"1561"	"30729"	"1125"	"1668"	"60331"	"0"	"0"	"60331"
"182"	"127"	"140"	"7"	"4"	"3"	"2"	"11"	"243"	"7"	"11"	"428"	""	""	"428"
"183"	"128"	"133"	"11"	"18"	"12"	"10"	"30"	"578"	"15"	"16"	"823"	""	""	"823"
"184"	"129"	"132"	"13"	"12"	"7"	"5"	"11"	"205"	"9"	"17"	"411"	""	""	"411"
"185"	"130"	"165"	"13"	"9"	"5"	"4"	"11"	"94"	"9"	"23"	"333"	""	""	"333"
"186"	"131"	"138"	"3"	"6"	"5"	"3"	"1"	"63"	"3"	"10"	"232"	""	""	"232"
"187"	"132"	"180"	"25"	"12"	"13"	"8"	"23"	"241"	"15"	"19"	"536"	""	""	"536"
"188"	"133"	"299"	"25"	"14"	"8"	"6"	"12"	"126"	"11"	"28"	"529"	""	""	"529"
"189"	"134"	"451"	"16"	"6"	"5"	"3"	"4"	"70"	"5"	"20"	"580"	""	""	"580"
"190"	"135"	"367"	"14"	"3"	"3"	"4"	"7"	"136"	"11"	"8"	"553"	""	""	"553"
"191"	"136"	"191"	"8"	"12"	"9"	"7"	"15"	"123"	"11"	"10"	"386"	""	""	"386"
"192"	"137"	"169"	"13"	"11"	"4"	"3"	"11"	"113"	"6"	"14"	"344"	""	""	"344"
"193"	"138"	"202"	"19"	"19"	"4"	"0"	"11"	"117"	"9"	"16"	"397"	""	""	"397"
"194"	"139"	"83"	"9"	"30"	"7"	"7"	"18"	"175"	"7"	"11"	"347"	""	""	"347"
"195"	"140"	"133"	"13"	"14"	"15"	"6"	"23"	"451"	"12"	"24"	"691"	""	""	"691"
