"Total.number.of.valid.votes"	"Akhtarul.Iman"	"Madhav.Pd..Modi"	"Sanjeev.Kumar.Yadav"	"Isril"	"Md..Kalimuddin"	"Noushad.Haidar"	"Md..Mushtaque.Munna"	"Abul.Kalam"	"Indradev.Paswan"	"Kamrujjma"	"Gowardhan.Prasad.Yadav"	"Noorul.Alam"	"Praveen.Kumar.Paswan"	"Masroor.Alam"	"Md..Izhar.Asfi"	"Total.of.Valid.votes"	"Number.of.rejected.votes"	"TOTAL"	"No..of.tendered.votes"
"110"	85	125	5	34	27	2	7	379	17	2	1	379	17	2	NA	8	612	0	612	0
"111"	86	13	5	303	15	4	8	67	9	4	2	67	9	4	NA	16	490	0	490	0
"112"	87	111	7	280	25	10	9	141	18	4	6	141	18	4	NA	17	653	0	653	0
"113"	88	166	9	199	11	15	6	216	19	5	4	216	19	5	NA	10	678	0	678	0
"114"	89	196	5	61	4	15	2	213	9	8	3	213	9	8	NA	110	653	0	653	0
"115"	90	178	9	53	3	6	5	28	0	6	1	28	0	6	NA	69	406	0	406	0
"116"	91	182	19	80	4	5	5	46	2	3	0	46	2	3	NA	35	411	0	411	0
"117"	92	273	15	9	4	7	11	41	1	3	2	41	1	3	NA	29	566	0	566	0
"118"	93	193	10	144	10	17	7	59	7	7	5	59	7	7	NA	29	532	0	532	0
"119"	94	202	20	324	9	3	6	39	5	2	4	39	5	2	NA	17	660	0	660	0
"120"	95	361	18	157	12	6	7	135	8	5	6	135	8	5	NA	19	752	0	752	0
"121"	96	170	17	316	12	9	8	78	2	5	3	78	2	5	NA	15	669	0	669	0
"122"	97	354	11	25	1	24	5	122	4	7	7	122	4	7	NA	24	596	0	596	0
"123"	98	191	8	205	16	19	5	108	23	12	7	108	23	12	NA	24	641	0	641	0
"124"	NA	22528	891	10127	712	1384	1335	5602	446	590	1098	5602	446	590	NA	7895	55117	0	55117	0
"125"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"126"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"127"	NA	22528	891	10127	712	1384	1335	5602	446	590	1098	5602	446	590	NA	7895	55117	0	55117	0
"128"	99	474	9	77	5	10	5	55	2	5	1	55	2	5	NA	32	689	0	689	0
"129"	100	290	7	271	2	3	2	30	4	0	1	30	4	0	NA	5	627	0	627	0
"130"	101	404	7	115	4	4	3	171	10	5	1	171	10	5	NA	12	754	0	754	0
"131"	102	196	7	199	30	14	5	31	6	10	3	31	6	10	NA	15	574	0	574	0
"132"	103	100	5	96	164	16	11	58	6	6	13	58	6	6	NA	41	710	0	710	0
"133"	104	97	11	330	13	9	15	14	3	9	4	14	3	9	NA	19	639	0	639	0
"134"	105	102	3	149	8	2	4	2	0	1	0	2	0	1	NA	7	320	0	320	0
"135"	106	94	11	83	41	29	20	23	6	7	9	23	6	7	NA	29	802	0	802	0
"136"	107	227	21	242	6	2	1	5	2	1	0	5	2	1	NA	8	565	0	565	0
"137"	108	122	18	324	98	6	3	32	5	6	4	32	5	6	NA	16	652	0	652	0
"138"	109	239	12	117	6	21	6	26	2	3	2	26	2	3	NA	6	516	0	516	0
"139"	110	107	7	8	394	18	2	38	7	3	2	38	7	3	NA	5	601	0	601	0
"140"	111	404	15	67	17	11	6	136	11	5	4	136	11	5	NA	13	699	0	699	0
"141"	112	203	15	184	147	12	14	175	17	9	12	175	17	9	NA	16	833	0	833	0
"142"	NA	25587	1039	12389	1647	1541	1432	6398	527	660	1154	6398	527	660	NA	8119	64098	0	64098	0
"143"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"144"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"145"	NA	25587	1039	12389	1647	1541	1432	6398	527	660	1154	6398	527	660	NA	8119	64098	0	64098	0
"146"	113	291	17	112	28	12	7	103	11	12	8	103	11	12	NA	22	656	0	656	0
"147"	114	217	7	15	40	10	0	34	2	3	1	34	2	3	NA	44	379	0	379	0
"148"	115	232	13	69	139	26	9	208	25	6	5	208	25	6	NA	28	787	0	787	0
"149"	116	24	5	46	439	22	14	109	10	7	8	109	10	7	NA	11	730	0	730	0
"150"	117	107	11	221	33	8	10	223	12	6	5	223	12	6	NA	0	665	0	665	0
"151"	118	94	12	25	715	19	17	135	12	2	5	135	12	2	NA	14	1074	0	1074	0
"152"	119	76	21	450	71	14	9	72	7	7	6	72	7	7	NA	9	760	0	760	0
"153"	120	271	10	193	168	13	6	80	11	6	2	80	11	6	NA	26	826	0	826	0
"154"	121	250	16	69	388	16	5	44	2	16	0	44	2	16	NA	10	832	0	832	0
"155"	122	101	7	224	97	13	14	418	17	5	4	418	17	5	NA	10	923	0	923	0
"156"	123	26	24	131	311	19	12	260	22	11	9	260	22	11	NA	12	886	0	886	0
"157"	124	175	15	61	114	16	12	208	11	6	4	208	11	6	NA	21	656	0	656	0
"158"	125	43	17	365	253	66	14	95	8	24	7	95	8	24	NA	18	955	0	955	0
"159"	126	315	19	154	214	19	9	107	8	5	3	107	8	5	NA	8	887	0	887	0
"160"	NA	27809	1233	14524	4657	1814	1570	8494	685	776	1221	8494	685	776	NA	8352	75114	0	75114	0
"161"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"162"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"163"	NA	27809	1233	14524	4657	1814	1570	8494	685	776	1221	8494	685	776	NA	8352	75114	0	75114	0
"164"	127	171	13	140	180	15	9	218	13	9	8	218	13	9	NA	14	811	0	811	0
"165"	128	173	11	188	136	14	15	213	14	12	12	213	14	12	NA	23	855	0	855	0
"166"	129	46	5	178	359	6	11	100	10	5	3	100	10	5	NA	16	766	0	766	0
"167"	130	159	11	326	134	20	30	147	17	18	0	147	17	18	NA	4	886	0	886	0
"168"	131	176	8	240	53	5	4	79	7	4	5	79	7	4	NA	36	749	0	749	0
"169"	132	267	8	417	46	13	8	54	7	6	5	54	7	6	NA	21	895	0	895	0
"170"	133	256	12	109	96	28	19	326	19	18	13	326	19	18	NA	55	1000	0	1000	0
"171"	134	15	19	592	18	28	6	97	9	6	2	97	9	6	NA	11	828	0	828	0
"172"	135	115	12	83	12	14	21	379	33	9	6	379	33	9	NA	20	721	0	721	0
"173"	136	216	8	329	15	24	7	110	13	17	6	110	13	17	NA	20	804	0	804	0
"174"	137	100	15	172	79	6	8	274	19	7	5	274	19	7	NA	23	721	0	721	0
"175"	138	84	12	169	203	27	13	243	22	11	6	243	22	11	NA	2	811	0	811	0
"176"	139	28	9	249	163	87	4	141	11	30	3	141	11	30	NA	10	773	0	773	0
"177"	140	71	8	26	107	45	16	260	23	20	7	260	23	20	NA	6	615	0	615	0
"178"	NA	29686	1384	17742	6258	2146	1741	11135	902	948	1302	11135	902	948	NA	8613	86349	0	86349	0
"179"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"180"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"181"	NA	29686	1384	17742	6258	2146	1741	11135	902	948	1302	11135	902	948	NA	8613	86349	0	86349	0
"182"	141	61	15	110	18	80	14	212	11	30	2	212	11	30	NA	14	582	0	582	0
"183"	142	39	5	24	60	14	37	652	37	19	17	652	37	19	NA	20	956	0	956	0
"184"	143	278	11	31	107	30	4	90	5	23	7	90	5	23	NA	12	621	0	621	0
"185"	144	78	4	60	14	23	16	590	23	25	12	590	23	25	NA	22	909	0	909	0
"186"	145	126	10	213	7	50	9	187	14	19	6	187	14	19	NA	8	690	0	690	0
"187"	146	61	5	86	4	50	11	115	6	13	10	115	6	13	NA	23	427	0	427	0
"188"	147	278	9	22	4	73	21	239	24	28	18	239	24	28	NA	31	801	0	801	0
"189"	148	223	16	73	4	20	31	349	39	11	6	349	39	11	NA	7	800	0	800	0
"190"	149	213	10	154	4	14	11	251	12	5	7	251	12	5	NA	14	713	0	713	0
"191"	150	132	8	128	6	5	9	82	7	6	6	82	7	6	NA	21	446	0	446	0
"192"	151	338	3	88	11	32	9	100	12	13	15	100	12	13	NA	30	692	0	692	0
"193"	152	62	2	41	3	2	3	471	19	10	4	471	19	10	NA	4	629	0	629	0
"194"	153	41	11	168	16	3	5	146	3	0	1	146	3	0	NA	7	407	0	407	0
"195"	154	13	5	466	5	11	3	29	0	0	0	29	0	0	NA	3	540	0	540	0
"196"	NA	31629	1498	19406	6521	2553	1924	14648	1114	1150	1413	14648	1114	1150	NA	8829	95562	0	95562	0
"197"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"198"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"199"	NA	31629	1498	19406	6521	2553	1924	14648	1114	1150	1413	14648	1114	1150	NA	8829	95562	0	95562	0
"200"	155	127	10	387	6	22	3	74	4	3	1	74	4	3	NA	9	663	0	663	0
"201"	156	71	4	119	0	16	10	246	6	0	3	246	6	0	NA	2	487	0	487	0
"202"	157	105	2	152	4	27	11	397	9	6	3	397	9	6	NA	11	740	0	740	0
"203"	158	71	5	149	5	11	11	289	9	8	2	289	9	8	NA	11	584	0	584	0
"204"	159	63	9	362	6	9	13	214	15	4	6	214	15	4	NA	16	764	0	764	0
"205"	160	19	10	654	8	10	4	9	0	6	3	9	0	6	NA	5	741	0	741	0
"206"	161	20	14	421	5	7	29	178	2	7	0	178	2	7	NA	7	701	0	701	0
"207"	162	46	9	408	15	13	15	255	13	5	2	255	13	5	NA	10	815	0	815	0
"208"	163	56	9	295	10	9	9	223	19	8	9	223	19	8	NA	23	701	0	701	0
"209"	164	151	2	202	9	6	6	128	10	2	1	128	10	2	NA	8	531	0	531	0
"210"	165	208	4	173	4	6	11	197	8	1	1	197	8	1	NA	5	624	0	624	0
"211"	166	17	15	604	10	7	1	5	0	3	0	5	0	3	NA	7	681	0	681	0
"212"	167	17	89	355	2	9	1	6	0	1	0	6	0	1	NA	0	481	0	481	0
"213"	168	12	87	563	4	3	1	18	0	1	0	18	0	1	NA	5	701	0	701	0
"214"	NA	32612	1767	24250	6609	2708	2049	16887	1209	1205	1444	16887	1209	1205	NA	8948	104776	0	104776	0
"215"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"216"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"217"	NA	32612	1767	24250	6609	2708	2049	16887	1209	1205	1444	16887	1209	1205	NA	8948	104776	0	104776	0
"218"	169	17	30	761	4	4	12	38	0	1	1	38	0	1	NA	3	880	0	880	0
"219"	170	73	2	266	3	14	0	141	7	6	3	141	7	6	NA	6	528	0	528	0
"220"	171	59	7	384	0	8	1	36	0	1	3	36	0	1	NA	4	512	0	512	0
"221"	172	48	7	5	2	21	7	426	12	11	3	426	12	11	NA	5	557	0	557	0
"222"	173	111	0	60	4	17	4	315	6	6	4	315	6	6	NA	8	572	0	572	0
"223"	174	174	1	56	21	24	3	303	6	11	5	303	6	11	NA	10	620	0	620	0
"224"	175	140	3	130	1	17	3	121	2	3	1	121	2	3	NA	5	449	0	449	0
"225"	176	14	5	353	9	9	2	23	0	10	0	23	0	10	NA	8	450	0	450	0
"226"	177	51	1	391	2	12	0	18	0	1	2	18	0	1	NA	3	488	0	488	0
"227"	178	87	8	137	102	365	20	79	11	54	2	79	11	54	NA	9	891	0	891	0
"228"	179	50	3	384	7	19	2	71	4	5	8	71	4	5	NA	10	625	0	625	0
"229"	180	64	3	102	88	24	17	187	5	9	7	187	5	9	NA	11	573	0	573	0
"230"	181	41	8	416	9	25	3	17	0	9	1	17	0	9	NA	9	605	0	605	0
"231"	182	27	14	577	3	24	3	28	1	3	1	28	1	3	NA	6	701	0	701	0
"232"	NA	33568	1859	28272	6864	3291	2126	18690	1263	1335	1485	18690	1263	1335	NA	9045	113227	0	113227	0
"233"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"234"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"235"	NA	33568	1859	28272	6864	3291	2126	18690	1263	1335	1485	18690	1263	1335	NA	9045	113227	0	113227	0
"236"	183	10	7	833	13	13	3	3	1	4	2	3	1	4	NA	8	916	0	916	0
"237"	184	18	14	631	16	10	4	11	1	1	1	11	1	1	NA	15	748	0	748	0
"238"	185	33	22	500	11	27	8	85	6	11	6	85	6	11	NA	21	758	0	758	0
"239"	186	38	11	765	14	26	2	6	3	8	4	6	3	8	NA	11	909	0	909	0
"240"	187	29	8	624	7	35	5	27	3	9	6	27	3	9	NA	3	779	0	779	0
"241"	188	46	5	411	10	127	10	13	3	34	5	13	3	34	NA	18	707	0	707	0
"242"	189	73	4	195	78	347	13	62	4	70	7	62	4	70	NA	7	892	0	892	0
"243"	190	75	4	163	215	190	16	48	7	37	3	48	7	37	NA	7	787	0	787	0
"244"	191	226	13	240	9	94	9	45	5	40	3	45	5	40	NA	13	721	0	721	0
"245"	192	200	9	279	8	38	4	41	2	17	2	41	2	17	NA	13	648	0	648	0
"246"	193	375	18	190	15	44	9	17	10	24	4	17	10	24	NA	13	745	0	745	0
"247"	194	348	18	43	5	19	2	137	6	6	4	137	6	6	NA	10	612	0	612	0
"248"	195	181	15	70	2	123	9	56	5	12	1	56	5	12	NA	10	500	0	500	0
"249"	NA	35220	2007	33216	7267	4384	2220	19241	1319	1608	1533	19241	1319	1608	NA	9194	122949	0	122949	0
"250"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"251"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"252"	NA	35220	2007	33216	7267	4384	2220	19241	1319	1608	1533	19241	1319	1608	0	9194	122949	0	122949	0
"253"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"254"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
