"Conduct.of.Election.Rules.1961"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"13"	"5"	"98"	"57"	"156"	"3"	"5"	"37"	"118"	"13"	"1"	"7"	"1"	"8"	"7"	"4"	"4"	"519"	""	"519"	""
"14"	"6"	"74"	"15"	"3"	"3"	"7"	"58"	"394"	"15"	"3"	"120"	"7"	"7"	"9"	"3"	"4"	"722"	""	"722"	""
"15"	"7"	"4"	"10"	"122"	"3"	"4"	"10"	"239"	"16"	"8"	"5"	"74"	"4"	"9"	"3"	"3"	"514"	""	"514"	""
"16"	"8"	"23"	"17"	"48"	"0"	"0"	"7"	"205"	"3"	"3"	"14"	"83"	"4"	"4"	"1"	"0"	"412"	""	"412"	""
"17"	"9"	"8"	"38"	"67"	"1"	"1"	"40"	"115"	"13"	"14"	"68"	"176"	"8"	"11"	"10"	"12"	"582"	""	"582"	""
"18"	"10"	"10"	"10"	"35"	"2"	"3"	"7"	"600"	"22"	"3"	"21"	"46"	"8"	"20"	"8"	"5"	"800"	""	"800"	""
"19"	"11"	"41"	"33"	"0"	"4"	"1"	"39"	"145"	"10"	"18"	"301"	"36"	"2"	"1"	"6"	"0"	"637"	""	"637"	""
"20"	"12"	"6"	"17"	"185"	"3"	"5"	"17"	"195"	"12"	"3"	"39"	"3"	"8"	"10"	"9"	"3"	"515"	""	"515"	""
"21"	"13"	"20"	"17"	"268"	"3"	"6"	"9"	"269"	"6"	"6"	"41"	"4"	"2"	"3"	"3"	"5"	"662"	""	"662"	""
"22"	"14"	"5"	"2"	"1"	"1"	"0"	"6"	"403"	"20"	"13"	"71"	"5"	"5"	"4"	"2"	"10"	"548"	""	"548"	""
"23"	"Current Round Total"	"829"	"553"	"1716"	"60"	"49"	"424"	"3056"	"291"	"124"	"787"	"480"	"150"	"116"	"100"	"86"	"8821"	"0"	"8821"	"0"
"24"	"R.O."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"128-NARPATGANJ"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	"(Statutory Rules and Order)                                                       ROUND : SECOND"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"30"	"Election to the Bihar Legislative Assembly 2005 from the 128-NARPATGANJ Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"31"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"32"	""	"ANIL KUMAR YADAV"	"ALOK KUMAR"	"JANARDAN YADAV"	"JAI RAM MANDAL"	"KAPILDE O RAI"	"DAYANAND YADAV"	"HADIS"	"ANANT KUMAR ROY"	"UMAR FAROOQUE"	"JAHANGHEER KHAN"	"DINANATH YADAV"	"VIKAS KUMAR TANTI"	"SADIQUE"	"SATYA NARAYAN YADAV"	"SEMIDUR RAHMAN"	""	""	""	""
"33"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"34"	"15"	"16"	"1"	"5"	"0"	"2"	"4"	"348"	"7"	"6"	"141"	"4"	"3"	"3"	"8"	"6"	"554"	""	"554"	""
"35"	"16"	"0"	"0"	"4"	"1"	"2"	"2"	"14"	"13"	"13"	"567"	"12"	"4"	"2"	"2"	"4"	"640"	""	"640"	""
"36"	"17"	"29"	"12"	"226"	"6"	"2"	"20"	"363"	"12"	"5"	"41"	"9"	"8"	"8"	"7"	"7"	"755"	""	"755"	""
"37"	"18"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"9"	"15"	"448"	"3"	"1"	"2"	"2"	"0"	"483"	""	"483"	""
"38"	"19"	"76"	"64"	"242"	"17"	"8"	"65"	"23"	"36"	"6"	"30"	"6"	"9"	"2"	"4"	"13"	"601"	""	"601"	""
"39"	"20"	"120"	"104"	"260"	"14"	"17"	"179"	"30"	"10"	"11"	"32"	"15"	"31"	"12"	"27"	"26"	"888"	""	"888"	""
"40"	"21"	"2"	"0"	"33"	"1"	"6"	"79"	"153"	"12"	"6"	"203"	"9"	"13"	"14"	"18"	"12"	"561"	""	"561"	""
"41"	"22"	"182"	"60"	"106"	"1"	"1"	"55"	"19"	"4"	"6"	"9"	"4"	"3"	"6"	"4"	"10"	"470"	""	"470"	""
"42"	"23"	"31"	"31"	"501"	"5"	"1"	"62"	"5"	"13"	"1"	"3"	"2"	"10"	"4"	"7"	"4"	"680"	""	"680"	""
"43"	"24"	"72"	"17"	"357"	"17"	"8"	"47"	"73"	"6"	"5"	"2"	"5"	"7"	"18"	"5"	"8"	"647"	""	"647"	""
"44"	"25"	"81"	"14"	"215"	"9"	"8"	"239"	"63"	"5"	"7"	"4"	"8"	"5"	"3"	"11"	"13"	"685"	""	"685"	""
"45"	"26"	"30"	"13"	"526"	"13"	"1"	"28"	"60"	"16"	"1"	"2"	"1"	"5"	"7"	"12"	"6"	"721"	""	"721"	""
"46"	"27"	"20"	"18"	"342"	"17"	"4"	"22"	"84"	"8"	"5"	"13"	"13"	"42"	"21"	"10"	"22"	"641"	""	"641"	""
"47"	"28"	"43"	"19"	"240"	"15"	"6"	"38"	"122"	"13"	"3"	"4"	"8"	"136"	"17"	"24"	"13"	"701"	""	"701"	""
"48"	"Current Round Total"	"702"	"353"	"3057"	"116"	"66"	"841"	"1359"	"164"	"90"	"1499"	"99"	"277"	"119"	"141"	"144"	"9027"	"0"	"9027"	"0"
"49"	"Previous Round Total"	"829"	"553"	"1716"	"60"	"49"	"424"	"3056"	"291"	"124"	"787"	"480"	"150"	"116"	"100"	"86"	"8821"	"0"	"8821"	"0"
"50"	"TOTAL"	"1531"	"906"	"4773"	"176"	"115"	"1265"	"4415"	"455"	"214"	"2286"	"579"	"427"	"235"	"241"	"230"	"17848"	"0"	"17848"	"0"
"51"	"R.O."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"52"	"128-NARPATGANJ"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"53"	"(Statutory Rules and Order)                                                       ROUND : THIRD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"54"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"55"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"56"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"57"	"Election to the Bihar Legislative Assembly 2005 from the 128-NARPATGANJ Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"58"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"59"	""	"ANIL KUMAR YADAV"	"ALOK KUMAR"	"JANARDAN YADAV"	"JAI RAM MANDAL"	"KAPILDE O RAI"	"DAYANAND YADAV"	"HADIS"	"ANANT KUMAR ROY"	"UMAR FAROOQUE"	"JAHANGHEER KHAN"	"DINANATH YADAV"	"VIKAS KUMAR TANTI"	"SADIQUE"	"SATYA NARAYAN YADAV"	"SEMIDUR RAHMAN"	""	""	""	""
"60"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"61"	"29"	"39"	"9"	"308"	"5"	"5"	"99"	"4"	"9"	"0"	"20"	"2"	"22"	"2"	"3"	"9"	"536"	""	"536"	""
"62"	"30"	"89"	"10"	"266"	"10"	"7"	"52"	"7"	"8"	"10"	"2"	"3"	"6"	"2"	"10"	"13"	"495"	""	"495"	""
"63"	"31"	"12"	"12"	"229"	"7"	"5"	"103"	"54"	"15"	"10"	"254"	"9"	"14"	"3"	"9"	"5"	"741"	""	"741"	""
"64"	"32"	"23"	"12"	"73"	"6"	"6"	"27"	"18"	"21"	"18"	"331"	"11"	"6"	"4"	"11"	"12"	"579"	""	"579"	""
"65"	"33"	"50"	"86"	"145"	"13"	"9"	"27"	"102"	"25"	"12"	"144"	"16"	"7"	"9"	"16"	"9"	"670"	""	"670"	""
"66"	"34"	"34"	"10"	"250"	"13"	"81"	"184"	"41"	"44"	"7"	"99"	"10"	"35"	"10"	"17"	"16"	"851"	""	"851"	""
"67"	"35"	"24"	"8"	"54"	"4"	"10"	"339"	"11"	"4"	"5"	"0"	"4"	"7"	"6"	"6"	"8"	"490"	""	"490"	""
"68"	"36"	"10"	"7"	"177"	"7"	"7"	"148"	"64"	"14"	"15"	"31"	"15"	"61"	"8"	"10"	"6"	"580"	""	"580"	""
"69"	"37"	"77"	"7"	"90"	"9"	"3"	"221"	"9"	"6"	"10"	"164"	"7"	"53"	"2"	"12"	"6"	"676"	""	"676"	""
"70"	"38"	"35"	"15"	"109"	"7"	"4"	"214"	"211"	"11"	"6"	"3"	"8"	"13"	"10"	"3"	"2"	"651"	""	"651"	""
"71"	"39"	"90"	"52"	"205"	"6"	"8"	"69"	"135"	"23"	"10"	"18"	"4"	"5"	"8"	"10"	"10"	"653"	""	"653"	""
"72"	"40"	"173"	"22"	"95"	"8"	"10"	"200"	"59"	"13"	"4"	"6"	"2"	"10"	"3"	"11"	"4"	"620"	""	"620"	""
"73"	"41"	"133"	"4"	"75"	"4"	"4"	"99"	"265"	"8"	"8"	"3"	"9"	"23"	"7"	"6"	"4"	"652"	""	"652"	""
"74"	"42"	"26"	"3"	"30"	"5"	"6"	"53"	"203"	"18"	"5"	"98"	"13"	"56"	"7"	"11"	"17"	"551"	""	"551"	""
"75"	"Current Round Total"	"815"	"257"	"2106"	"104"	"165"	"1835"	"1183"	"219"	"120"	"1173"	"113"	"318"	"81"	"135"	"121"	"8745"	"0"	"8745"	"0"
"76"	"Previous Round Total"	"1531"	"906"	"4773"	"176"	"115"	"1265"	"4415"	"455"	"214"	"2286"	"579"	"427"	"235"	"241"	"230"	"17848"	"0"	"17848"	"0"
"77"	"TOTAL"	"2346"	"1163"	"6879"	"280"	"280"	"3100"	"5598"	"674"	"334"	"3459"	"692"	"745"	"316"	"376"	"351"	"26593"	"0"	"26593"	"0"
"78"	"(Statutory Rules and Order)                                                       ROUND : FOURTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"79"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"80"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"81"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"82"	"Election to the Bihar Legislative Assembly 2005 from the 128-NARPATGANJ Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"83"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"84"	""	"ANIL KUMAR YADAV"	"ALOK KUMAR"	"JANARDAN YADAV"	"JAI RAM MANDAL"	"KAPILDE O RAI"	"DAYANAND YADAV"	"HADIS"	"ANANT KUMAR ROY"	"UMAR FAROOQUE"	"JAHANGHEER KHAN"	"DINANATH YADAV"	"VIKAS KUMAR TANTI"	"SADIQUE"	"SATYA NARAYAN YADAV"	"SEMIDUR RAHMAN"	""	""	""	""
"85"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"86"	"43"	"31"	"5"	"112"	"4"	"3"	"15"	"13"	"16"	"1"	"19"	"4"	"72"	"5"	"7"	"10"	"317"	""	"317"	""
"87"	"44"	"247"	"51"	"46"	"3"	"4"	"78"	"15"	"2"	"6"	"4"	"9"	"34"	"4"	"10"	"35"	"548"	""	"548"	""
"88"	"45"	"126"	"25"	"99"	"8"	"14"	"208"	"19"	"13"	"7"	"8"	"6"	"15"	"1"	"4"	"7"	"560"	""	"560"	""
"89"	"46"	"182"	"21"	"139"	"15"	"5"	"97"	"121"	"14"	"6"	"10"	"17"	"24"	"14"	"14"	"16"	"695"	""	"695"	""
"90"	"47"	"188"	"26"	"253"	"3"	"6"	"28"	"109"	"10"	"11"	"4"	"7"	"17"	"15"	"12"	"12"	"701"	""	"701"	""
"91"	"48"	"19"	"3"	"118"	"1"	"7"	"232"	"124"	"47"	"5"	"20"	"4"	"8"	"10"	"4"	"10"	"612"	""	"612"	""
"92"	"49"	"22"	"21"	"198"	"15"	"20"	"185"	"14"	"47"	"2"	"3"	"1"	"4"	"3"	"2"	"6"	"543"	""	"543"	""
"93"	"50"	"44"	"25"	"210"	"6"	"22"	"169"	"48"	"11"	"1"	"3"	"8"	"2"	"5"	"1"	"9"	"564"	""	"564"	""
"94"	"51"	"13"	"8"	"186"	"8"	"13"	"169"	"19"	"133"	"6"	"7"	"9"	"29"	"16"	"16"	"17"	"649"	""	"649"	""
"95"	"52"	"14"	"12"	"121"	"30"	"9"	"75"	"22"	"216"	"11"	"6"	"3"	"8"	"4"	"5"	"20"	"556"	""	"556"	""
"96"	"53"	"56"	"7"	"39"	"4"	"4"	"350"	"147"	"29"	"5"	"4"	"5"	"8"	"11"	"17"	"4"	"690"	""	"690"	""
"97"	"54"	"15"	"13"	"31"	"5"	"5"	"103"	"282"	"13"	"7"	"4"	"1"	"14"	"5"	"19"	"5"	"522"	""	"522"	""
"98"	"55"	"20"	"10"	"30"	"4"	"4"	"29"	"380"	"35"	"11"	"12"	"5"	"25"	"8"	"11"	"7"	"591"	""	"591"	""
"99"	"56"	"29"	"3"	"85"	"1"	"9"	"58"	"21"	"248"	"9"	"7"	"1"	"3"	"3"	"5"	"6"	"488"	""	"488"	""
"100"	"Current Round Total"	"1006"	"230"	"1667"	"107"	"125"	"1796"	"1334"	"834"	"88"	"111"	"80"	"263"	"104"	"127"	"164"	"8036"	"0"	"8036"	"0"
"101"	"Previous Round Total"	"2346"	"1163"	"6879"	"280"	"280"	"3100"	"5598"	"674"	"334"	"3459"	"692"	"745"	"316"	"376"	"351"	"26593"	"0"	"26593"	"0"
"102"	"TOTAL"	"3352"	"1393"	"8546"	"387"	"405"	"4896"	"6932"	"1508"	"422"	"3570"	"772"	"1008"	"420"	"503"	"515"	"34629"	"0"	"34629"	"0"
"103"	"(Statutory Rules and Order)                                                       ROUND : FIFTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"104"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"105"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"106"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"107"	"Election to the Bihar Legislative Assembly 2005 from the 128-NARPATGANJ Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"108"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"109"	""	"ANIL KUMAR YADAV"	"ALOK KUMAR"	"JANARDAN YADAV"	"JAI RAM MANDAL"	"KAPILDE O RAI"	"DAYANAND YADAV"	"HADIS"	"ANANT KUMAR ROY"	"UMAR FAROOQUE"	"JAHANGHEER KHAN"	"DINANATH YADAV"	"VIKAS KUMAR TANTI"	"SADIQUE"	"SATYA NARAYAN YADAV"	"SEMIDUR RAHMAN"	""	""	""	""
"110"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"111"	"57"	"59"	"13"	"34"	"3"	"10"	"83"	"209"	"103"	"15"	"53"	"8"	"15"	"7"	"9"	"10"	"631"	""	"631"	""
"112"	"58"	"19"	"8"	"23"	"2"	"8"	"62"	"117"	"26"	"4"	"18"	"8"	"277"	"7"	"7"	"14"	"600"	""	"600"	""
"113"	"59"	"12"	"37"	"31"	"6"	"8"	"77"	"190"	"139"	"6"	"47"	"11"	"70"	"3"	"11"	"17"	"665"	""	"665"	""
"114"	"60"	"123"	"31"	"35"	"11"	"14"	"331"	"66"	"14"	"20"	"41"	"3"	"9"	"2"	"7"	"7"	"714"	""	"714"	""
"115"	"61"	"137"	"12"	"69"	"7"	"8"	"345"	"12"	"8"	"6"	"10"	"8"	"9"	"6"	"6"	"12"	"655"	""	"655"	""
"116"	"62"	"77"	"19"	"140"	"4"	"8"	"283"	"9"	"5"	"0"	"1"	"0"	"1"	"1"	"3"	"0"	"551"	""	"551"	""
"117"	"63"	"18"	"2"	"249"	"4"	"4"	"75"	"6"	"5"	"37"	"44"	"5"	"67"	"4"	"3"	"4"	"527"	""	"527"	""
"118"	"64"	"48"	"5"	"151"	"8"	"7"	"59"	"129"	"14"	"196"	"23"	"4"	"11"	"5"	"13"	"3"	"676"	""	"676"	""
"119"	"65"	"159"	"11"	"154"	"13"	"8"	"51"	"74"	"19"	"57"	"19"	"9"	"8"	"6"	"10"	"12"	"610"	""	"610"	""
"120"	"66"	"302"	"11"	"98"	"3"	"8"	"110"	"8"	"5"	"3"	"3"	"4"	"3"	"11"	"97"	"23"	"689"	""	"689"	""
"121"	"67"	"100"	"11"	"285"	"9"	"5"	"71"	"62"	"26"	"9"	"3"	"1"	"10"	"6"	"17"	"11"	"626"	""	"626"	""
"122"	"68"	"75"	"4"	"115"	"5"	"7"	"6"	"93"	"6"	"35"	"2"	"5"	"12"	"5"	"20"	"9"	"399"	""	"399"	""
"123"	"69"	"32"	"8"	"239"	"7"	"95"	"19"	"14"	"2"	"3"	"3"	"4"	"2"	"2"	"1"	"3"	"434"	""	"434"	""
"124"	"70"	"39"	"13"	"272"	"14"	"9"	"27"	"187"	"22"	"7"	"6"	"7"	"44"	"12"	"15"	"19"	"693"	""	"693"	""
"125"	"Current Round Total"	"1200"	"185"	"1895"	"96"	"199"	"1599"	"1176"	"394"	"398"	"273"	"77"	"538"	"77"	"219"	"144"	"8470"	"0"	"8470"	"0"
"126"	"Previous Round Total"	"3352"	"1393"	"8546"	"387"	"405"	"4896"	"6932"	"1508"	"422"	"3570"	"772"	"1008"	"420"	"503"	"515"	"34629"	"0"	"34629"	"0"
"127"	"TOTAL"	"4552"	"1578"	"10441"	"483"	"604"	"6495"	"8108"	"1902"	"820"	"3843"	"849"	"1546"	"497"	"722"	"659"	"43099"	"0"	"43099"	"0"
"128"	"(Statutory Rules and Order)                                                       ROUND : SIXTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"129"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"130"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"131"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"132"	"Election to the Bihar Legislative Assembly 2005 from the 128-NARPATGANJ Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"133"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"134"	""	"ANIL KUMAR YADAV"	"ALOK KUMAR"	"JANARDAN YADAV"	"JAI RAM MANDAL"	"KAPILDE O RAI"	"DAYANAND YADAV"	"HADIS"	"ANANT KUMAR ROY"	"UMAR FAROOQUE"	"JAHANGHEER KHAN"	"DINANATH YADAV"	"VIKAS KUMAR TANTI"	"SADIQUE"	"SATYA NARAYAN YADAV"	"SEMIDUR RAHMAN"	""	""	""	""
"135"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"136"	"71"	"29"	"5"	"247"	"9"	"13"	"192"	"54"	"7"	"2"	"3"	"2"	"8"	"11"	"11"	"17"	"610"	""	"610"	""
"137"	"72"	"104"	"21"	"279"	"9"	"9"	"257"	"116"	"6"	"7"	"8"	"8"	"17"	"8"	"5"	"3"	"857"	""	"857"	""
"138"	"73"	"16"	"8"	"183"	"7"	"3"	"75"	"237"	"22"	"21"	"35"	"13"	"20"	"4"	"9"	"6"	"659"	""	"659"	""
"139"	"74"	"25"	"12"	"304"	"1"	"10"	"53"	"11"	"129"	"6"	"3"	"1"	"5"	"4"	"6"	"5"	"575"	""	"575"	""
"140"	"75"	"40"	"5"	"292"	"13"	"7"	"91"	"109"	"107"	"3"	"3"	"3"	"8"	"4"	"7"	"3"	"695"	""	"695"	""
"141"	"76"	"21"	"7"	"33"	"8"	"7"	"36"	"128"	"36"	"10"	"296"	"4"	"9"	"3"	"10"	"8"	"616"	""	"616"	""
"142"	"77"	"95"	"12"	"85"	"2"	"5"	"53"	"155"	"9"	"30"	"15"	"5"	"9"	"8"	"28"	"18"	"529"	""	"529"	""
"143"	"78"	"13"	"5"	"4"	"0"	"9"	"26"	"229"	"14"	"84"	"21"	"5"	"9"	"1"	"3"	"1"	"424"	""	"424"	""
"144"	"79"	"71"	"9"	"62"	"4"	"7"	"120"	"250"	"14"	"18"	"2"	"3"	"9"	"6"	"5"	"7"	"587"	""	"587"	""
"145"	"80"	"112"	"14"	"116"	"6"	"11"	"163"	"6"	"9"	"3"	"0"	"4"	"3"	"2"	"2"	"6"	"457"	""	"457"	""
"146"	"81"	"64"	"8"	"38"	"7"	"12"	"189"	"141"	"11"	"16"	"2"	"3"	"4"	"7"	"12"	"9"	"523"	""	"523"	""
"147"	"82"	"130"	"1"	"124"	"4"	"6"	"342"	"50"	"10"	"7"	"1"	"4"	"5"	"3"	"11"	"7"	"705"	""	"705"	""
"148"	"83"	"33"	"5"	"110"	"9"	"5"	"196"	"52"	"78"	"7"	"5"	"4"	"6"	"6"	"9"	"15"	"540"	""	"540"	""
"149"	"84"	"36"	"6"	"73"	"3"	"13"	"202"	"11"	"167"	"4"	"6"	"2"	"1"	"0"	"2"	"3"	"529"	""	"529"	""
"150"	"Current Round Total"	"789"	"118"	"1950"	"82"	"117"	"1995"	"1549"	"619"	"218"	"400"	"61"	"113"	"67"	"120"	"108"	"8306"	"0"	"8306"	"0"
"151"	"Previous Round Total"	"4552"	"1578"	"10441"	"483"	"604"	"6495"	"8108"	"1902"	"820"	"3843"	"849"	"1546"	"497"	"722"	"659"	"43099"	"0"	"43099"	"0"
"152"	"TOTAL"	"5341"	"1696"	"12391"	"565"	"721"	"8490"	"9657"	"2521"	"1038"	"4243"	"910"	"1659"	"564"	"842"	"767"	"51405"	"0"	"51405"	"0"
"153"	"(Statutory Rules and Order)                                                       ROUND : SEVENTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"154"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"155"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"156"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"157"	"Election to the Bihar Legislative Assembly 2005 from the 128-NARPATGANJ Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"158"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"159"	""	"ANIL KUMAR YADAV"	"ALOK KUMAR"	"JANARDAN YADAV"	"JAI RAM MANDAL"	"KAPILDE O RAI"	"DAYANAND YADAV"	"HADIS"	"ANANT KUMAR ROY"	"UMAR FAROOQUE"	"JAHANGHEER KHAN"	"DINANATH YADAV"	"VIKAS KUMAR TANTI"	"SADIQUE"	"SATYA NARAYAN YADAV"	"SEMIDUR RAHMAN"	""	""	""	""
"160"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"161"	"85"	"39"	"62"	"139"	"15"	"197"	"44"	"39"	"25"	"6"	"17"	"12"	"8"	"3"	"5"	"9"	"620"	""	"620"	""
"162"	"86"	"43"	"27"	"96"	"7"	"108"	"60"	"24"	"321"	"13"	"11"	"16"	"10"	"6"	"14"	"27"	"783"	""	"783"	""
