"Sl.No..of.Polling.Station"	"Name.of.Polling.Station"	"No..of.Valid.Votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"Total.of.Valid.Votes"	"No..of.Tendered.Votes"
"42"	"21"	"izkFkfed fo|ky; xksMMhg"	"29"	"15"	"2"	"0"	"0"	"363"	"0"	"0"	"0"	"2"	"411"	""
"43"	"22"	"izkFkfed fo|ky; ?kjlsuh"	"166"	"207"	"11"	"2"	"4"	"4"	"5"	"1"	"0"	"13"	"413"	""
"44"	"23"	"izkFkfed fo|ky; dqVkSr"	"126"	"54"	"2"	"1"	"2"	"0"	"2"	"1"	"3"	"12"	"203"	""
"45"	"24"	"izkFkfed fo|ky; vfg;kiqj"	"323"	"210"	"0"	"1"	"2"	"0"	"1"	"2"	"3"	"5"	"547"	""
"46"	"25"	"e/; fo|ky; dqls<+h"	"261"	"245"	"6"	"3"	"1"	"3"	"4"	"2"	"5"	"17"	"547"	""
"47"	"26"	"izkFkfed fo|ky; HknjFkh"	"132"	"519"	"1"	"0"	"0"	"4"	"0"	"0"	"0"	"1"	"657"	""
"48"	"27"	"jktks flag mPp fo|ky; fiatM+h"	"309"	"266"	"6"	"6"	"1"	"2"	"5"	"2"	"2"	"8"	"607"	""
"49"	"28"	"izkFkfed fo|ky; fiatM+h"	"131"	"101"	"26"	"5"	"23"	"3"	"11"	"3"	"5"	"13"	"321"	""
"50"	"29"	"izkFkfed fo|ky; jtkSjk"	"258"	"247"	"12"	"3"	"3"	"4"	"5"	"3"	"9"	"18"	"562"	""
"51"	"Total No. of Votes recorded at Polling Stations"	""	"1934"	"2067"	"68"	"24"	"41"	"390"	"43"	"17"	"37"	"107"	"4728"	"0"
"52"	"No. of votes recorded on postal ballot papers ( to be filled in the case of election from an assembly constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""
"53"	"Total votes polled"	""	""	""	""	""	""	""	""	""	""	""	""	""
"54"	"Sl No. of Polling Station"	"Name of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Tendered Votes"
"55"	""	""	"Ashok Chaudhary"	"Mithalesh Kumar"	"Raghuna ndan Prasad"	"Nandlal Chaudhary"	"Ujjawalka nt Hunkar"	"Babita Bhushan"	"Ravindra Ku Chaudhary"	"Rajendra Prasad"	"Santi Devi"	"Shiv Shankar Paswan"	""	""
"56"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"57"	"30"	"lkeqnkf;d Hkou fetkZiqj"	"172"	"124"	"12"	"4"	"1"	"1"	"7"	"9"	"1"	"4"	"335"	""
"58"	"31"	"dU;k izkFkfed fo|ky; lokZ"	"306"	"266"	"4"	"5"	"1"	"0"	"1"	"1"	"2"	"4"	"590"	""
"59"	"32"	"gfjtu lkeqnkf;d Hkou lokZ"	"305"	"216"	"7"	"2"	"2"	"7"	"4"	"0"	"2"	"8"	"553"	""
"60"	"33"	"mPp fo|ky; ekyng ¼iw0 Hkkx½"	"260"	"178"	"16"	"2"	"9"	"2"	"3"	"1"	"2"	"12"	"485"	""
"61"	"34"	"e0 fo0 ekyng"	"223"	"114"	"10"	"8"	"3"	"3"	"2"	"0"	"3"	"11"	"377"	""
"62"	"35"	"m0 fo0 ekyng ¼i0 Hkk0½"	"130"	"122"	"7"	"5"	"0"	"6"	"4"	"1"	"2"	"9"	"286"	""
"63"	"36"	"izkFkfed fo|ky; ukxMhg"	"189"	"165"	"8"	"3"	"1"	"2"	"1"	"0"	"3"	"8"	"380"	""
"64"	"37"	"izkFkfed fo|ky; blekbZyiqj"	"23"	"661"	"6"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"692"	""
"65"	"38"	"izkFkfed fo|ky; dksYgkM+kch?kk"	"148"	"82"	"0"	"0"	"1"	"4"	"3"	"0"	"4"	"11"	"253"	""
"66"	"39"	"izkFkfed fo|ky; [kkstkxkNh"	"169"	"257"	"6"	"2"	"6"	"3"	"9"	"4"	"9"	"12"	"477"	""
"67"	"Total No. of Votes recorded at Polling Stations"	""	"1925"	"2185"	"76"	"32"	"24"	"28"	"34"	"16"	"29"	"79"	"4428"	"0"
"68"	"No. of votes recorded on postal ballot papers ( to be filled in the case of election from an assembly constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""
"69"	"Total votes polled"	""	""	""	""	""	""	""	""	""	""	""	""	""
"70"	"Sl No. of Polling Station"	"Name of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Tendered Votes"
"71"	""	""	"Ashok Chaudhary"	"Mithalesh Kumar"	"Raghuna ndan Prasad"	"Nandlal Chaudhary"	"Ujjawalka nt Hunkar"	"Babita Bhushan"	"Ravindra Ku Chaudhary"	"Rajendra Prasad"	"Santi Devi"	"Shiv Shankar Paswan"	""	""
"72"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"73"	"40"	"egkRek xk¡/kh m0 fo0 cHkuch?kk"	"416"	"131"	"8"	"1"	"2"	"6"	"0"	"0"	"0"	"6"	"570"	""
"74"	"41"	"izkFkfed fo|ky; [kyhy pd"	"233"	"180"	"2"	"0"	"0"	"4"	"2"	"0"	"0"	"2"	"423"	""
"75"	"42"	"izkFkfed fo|ky; nfj;kpd"	"84"	"101"	"3"	"4"	"0"	"0"	"5"	"0"	"1"	"3"	"201"	""
"76"	"43"	"iapk;r Hkou lkelcqtqxZ"	"267"	"137"	"3"	"3"	"4"	"8"	"7"	"1"	"0"	"11"	"441"	""
"77"	"44"	"izk0 fo0 jetkuiqj ¼m0 Hkkx½"	"168"	"103"	"4"	"4"	"3"	"39"	"7"	"4"	"7"	"15"	"354"	""
"78"	"45"	"izk0 fo0 jetkuiqj ¼n0 Hkkx½"	"117"	"95"	"1"	"1"	"0"	"6"	"4"	"3"	"2"	"9"	"238"	""
"79"	"46"	"izkFkfed fo|ky; dqrqcpd"	"108"	"152"	"4"	"3"	"3"	"27"	"11"	"3"	"2"	"9"	"322"	""
"80"	"47"	"xkS'kkyk cjch?kk iwohZ Hkkx"	"238"	"125"	"12"	"4"	"5"	"1"	"1"	"7"	"0"	"6"	"399"	""
"81"	"48"	"xkS'kkyk cjch?kk if'pe Hkkx"	"140"	"20"	"5"	"3"	"2"	"2"	"1"	"0"	"3"	"0"	"176"	""
"82"	"49"	"pyUr ernku dsUnz] [kkrk 255] [ksljk
2303] vjkth 0-3 Mh0"	"324"	"169"	"2"	"2"	"2"	"2"	"4"	"4"	"7"	"17"	"533"	""
"83"	"Total No. of Votes recorded at Polling Stations"	""	"2095"	"1213"	"44"	"25"	"21"	"95"	"42"	"22"	"22"	"78"	"3657"	"0"
"84"	"No. of votes recorded on postal ballot papers ( to be filled in the case of election from an assembly constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""
"85"	"Total votes polled"	""	""	""	""	""	""	""	""	""	""	""	""	""
"86"	"Sl No. of Polling Station"	"Name of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Tendered Votes"
"87"	""	""	"Ashok Chaudhary"	"Mithalesh Kumar"	"Raghuna ndan Prasad"	"Nandlal Chaudhary"	"Ujjawalka nt Hunkar"	"Babita Bhushan"	"Ravindra Ku Chaudhary"	"Rajendra Prasad"	"Santi Devi"	"Shiv Shankar Paswan"	""	""
"88"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"89"	"50"	"pyUr ernku dsUnz] [kkrk 255] [ksljk
2434] vjkth 0-22 Mh0"	"252"	"149"	"1"	"0"	"0"	"2"	"1"	"1"	"1"	"2"	"409"	""
"90"	"51"	"izk0 fo0 'ksjij"	"181"	"226"	"1"	"2"	"0"	"0"	"3"	"0"	"1"	"0"	"414"	""
"91"	"52"	"iapk;r Hkou egknso xat"	"308"	"66"	"1"	"3"	"1"	"1"	"5"	"0"	"2"	"4"	"391"	""
"92"	"53"	"p0 e0 dsUnz pUnqdqvk¡ iwohZ Hkkx"	"266"	"56"	"1"	"0"	"1"	"3"	"2"	"3"	"1"	"4"	"337"	""
"93"	"54"	"izkFkfed fo|ky; ijlksch?kk"	"313"	"189"	"8"	"4"	"1"	"3"	"2"	"2"	"2"	"8"	"532"	""
"94"	"55"	"pyUr ernku dsUnz ekStk ukjk;.kiqj]
[kkrk 285 [ksljk 638] jdok 0-10 Mh0"	"464"	"185"	"4"	"1"	"2"	"3"	"10"	"6"	"1"	"14"	"690"	""
"95"	"56"	"dU;k e0 fo0 cjch?kk"	"406"	"114"	"1"	"1"	"2"	"2"	"3"	"1"	"4"	"4"	"538"	""
"96"	"57"	"rSfyd ckfydk m0 fo0 cjch?kk"	"434"	"116"	"5"	"3"	"1"	"1"	"1"	"9"	"5"	"10"	"585"	""
"97"	"58"	"pyUr ernku dsUnz xat ij] ekStk
jkeiqjflaMk; [kkrk 91] [kljk 1517"	"369"	"72"	"5"	"7"	"2"	"3"	"6"	"2"	"6"	"15"	"487"	""
"98"	"59"	"izkFkfed fo|ky; ulhcpd"	"250"	"177"	"4"	"2"	"17"	"5"	"5"	"5"	"6"	"13"	"484"	""
"99"	"Total No. of Votes recorded at Polling Stations"	""	"3243"	"1350"	"31"	"23"	"27"	"23"	"38"	"29"	"29"	"74"	"4867"	"0"
"100"	"No. of votes recorded on postal ballot papers ( to be filled in the case of election from an assembly constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""
"101"	"Total votes polled"	""	""	""	""	""	""	""	""	""	""	""	""	""
"102"	"Sl No. of Polling Station"	"Name of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Tendered Votes"
"103"	""	""	"Ashok Chaudhary"	"Mithalesh Kumar"	"Raghuna ndan Prasad"	"Nandlal Chaudhary"	"Ujjawalka nt Hunkar"	"Babita Bhushan"	"Ravindra Ku Chaudhary"	"Rajendra Prasad"	"Santi Devi"	"Shiv Shankar Paswan"	""	""
"104"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"105"	"60"	"izkFkfed fo|ky; jkeiqj flaMk;"	"409"	"183"	"7"	"7"	"5"	"3"	"6"	"10"	"2"	"11"	"643"	""
"106"	"61"	"enjlk QSTtqYykiqj"	"405"	"43"	"2"	"1"	"3"	"2"	"0"	"1"	"4"	"3"	"464"	""
"107"	"62"	"pyUr ernku dsUnz QSTtqYykiqj] [kkrk
171] [kljk 86] jdok 0-15 Mh0"	"234"	"34"	"1"	"0"	"0"	"0"	"1"	"2"	"1"	"3"	"276"	""
"108"	"63"	"mPp fo|ky; cjch?kk"	"199"	"247"	"3"	"2"	"3"	"5"	"7"	"4"	"3"	"17"	"490"	""
"109"	"64"	"izkFkfed fo|ky; ukjk;.kiqj x<+"	"400"	"98"	"2"	"2"	"0"	"1"	"3"	"2"	"1"	"12"	"521"	""
"110"	"65"	"izk0 fo0 xaxVh mÙkjh Hkkx"	"171"	"197"	"6"	"0"	"3"	"3"	"6"	"14"	"8"	"7"	"415"	""
"111"	"66"	"izk0 fo0 xaxVh nf{k.kh Hkkx"	"97"	"45"	"2"	"2"	"0"	"4"	"3"	"4"	"3"	"6"	"166"	""
"112"	"67"	"izkFkfed fo|ky; dksbjhch?kk"	"297"	"227"	"7"	"5"	"2"	"2"	"7"	"3"	"3"	"22"	"575"	""
"113"	"68"	"lkewnkf;d Hkou ekmj"	"371"	"44"	"0"	"2"	"0"	"4"	"5"	"2"	"5"	"6"	"439"	""
"114"	"69"	"e/; fo|ky; ekmj"	"361"	"183"	"4"	"3"	"0"	"1"	"5"	"3"	"1"	"5"	"566"	""
"115"	"Total No. of Votes recorded at Polling Stations"	""	"2944"	"1301"	"34"	"24"	"16"	"25"	"43"	"45"	"31"	"92"	"4555"	"0"
"116"	"No. of votes recorded on postal ballot papers ( to be filled in the case of election from an assembly constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""
"117"	"Total votes polled"	""	""	""	""	""	""	""	""	""	""	""	""	""
"118"	"Sl No. of Polling Station"	"Name of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Tendered Votes"
"119"	""	""	"Ashok Chaudhary"	"Mithalesh Kumar"	"Raghuna ndan Prasad"	"Nandlal Chaudhary"	"Ujjawalka nt Hunkar"	"Babita Bhushan"	"Ravindra Ku Chaudhary"	"Rajendra Prasad"	"Santi Devi"	"Shiv Shankar Paswan"	""	""
"120"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"121"	"70"	"izkFkfed fo|ky; uljriqj"	"434"	"78"	"11"	"4"	"5"	"5"	"4"	"3"	"2"	"14"	"560"	""
"122"	"71"	"e/; fo|ky;] vksukek ¼m0 Hkk½"	"79"	"316"	"3"	"1"	"0"	"0"	"3"	"1"	"1"	"4"	"408"	""
"123"	"72"	"e/; fo|ky;] vksukek ¼n0 Hkk½"	"172"	"139"	"5"	"4"	"2"	"1"	"2"	"0"	"2"	"5"	"332"	""
"124"	"73"	"izkFkfed fo|ky;] MksokMhg"	"130"	"151"	"9"	"3"	"0"	"2"	"4"	"5"	"2"	"12"	"318"	""
"125"	"74"	"izkFkfed fo|ky;] vLFkkuk"	"143"	"193"	"10"	"1"	"2"	"0"	"2"	"0"	"2"	"11"	"364"	""
"126"	"75"	"izkFkfed fo|ky;] csyko"	"876"	"107"	"0"	"4"	"1"	"0"	"1"	"0"	"2"	"2"	"993"	""
"127"	"76"	"mPp fo|ky;] csyko"	"198"	"148"	"2"	"16"	"2"	"1"	"4"	"1"	"2"	"4"	"378"	""
"128"	"77"	"izkFkfed fo|ky;] fdluiqj"	"85"	"203"	"2"	"0"	"0"	"1"	"2"	"0"	"2"	"3"	"298"	""
"129"	"78"	"izkFkfed fo|ky;] NohykBhdk"	"351"	"120"	"8"	"3"	"4"	"2"	"4"	"2"	"0"	"7"	"501"	""
"130"	"79"	"izkFkfed fo|ky;] e/ksiqjk"	"91"	"138"	"4"	"3"	"1"	"1"	"4"	"1"	"1"	"6"	"250"	""
"131"	"Total No. of Votes recorded at Polling Stations"	""	"2559"	"1593"	"54"	"39"	"17"	"13"	"30"	"13"	"16"	"68"	"4402"	"0"
"132"	"No. of votes recorded on postal ballot papers ( to be filled in the case of election from an assembly constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""
"133"	"Total votes polled"	""	""	""	""	""	""	""	""	""	""	""	""	""
"134"	"Sl No. of Polling Station"	"Name of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Tendered Votes"
"135"	""	""	"Ashok Chaudhary"	"Mithalesh Kumar"	"Raghuna ndan Prasad"	"Nandlal Chaudhary"	"Ujjawalka nt Hunkar"	"Babita Bhushan"	"Ravindra Ku Chaudhary"	"Rajendra Prasad"	"Santi Devi"	"Shiv Shankar Paswan"	""	""
"136"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"137"	"80"	"izk0 fo0] ohjiqj ¼iw0 Hkkx½"	"279"	"117"	"7"	"5"	"2"	"1"	"4"	"3"	"2"	"6"	"426"	""
"138"	"81"	"izk0 fo0] ohjiqj ¼if'pe Hkkx½"	"204"	"99"	"1"	"4"	"1"	"8"	"2"	"0"	"4"	"1"	"324"	""
"139"	"82"	"e/; fo|ky;] Nsek"	"98"	"216"	"7"	"4"	"2"	"22"	"11"	"10"	"7"	"13"	"390"	""
"140"	"83"	"izkFkfed fo|ky;] ;ks/kuch?kk"	"250"	"162"	"10"	"4"	"2"	"3"	"5"	"6"	"5"	"2"	"449"	""
"141"	"84"	"e/; fo|ky;] vEckjh ¼n0Hkkx½"	"122"	"248"	"8"	"6"	"3"	"6"	"12"	"2"	"15"	"36"	"458"	""
"142"	"85"	"e/; fo|ky;] vEckjh ¼i0Hkkx½"	"91"	"138"	"2"	"2"	"2"	"4"	"19"	"6"	"8"	"26"	"298"	""
"143"	"86"	"e/; fo|ky;] lkfndiqj"	"198"	"201"	"3"	"1"	"1"	"19"	"4"	"8"	"7"	"20"	"462"	""
"144"	"87"	"iqLrdky; Hkou] p:vkok¡"	"111"	"13"	"4"	"1"	"1"	"2"	"4"	"1"	"0"	"0"	"137"	""
"145"	"87d"	"e/; fo|ky;] p:vkok¡ ¼m0 Hkkx½"	"293"	"7"	"1"	"0"	"0"	"2"	"1"	"3"	"4"	"0"	"311"	""
"146"	"88"	"e/; fo|ky;] p:vkok¡ ¼iw0Hkkx½"	"197"	"18"	"6"	"5"	"5"	"5"	"5"	"1"	"2"	"9"	"253"	""
"147"	"Total No. of Votes recorded at
Polling Stations"	""	"1843"	"1219"	"49"	"32"	"19"	"72"	"67"	"40"	"54"	"113"	"3508"	"0"
"148"	"No. of votes recorded on postal ballot papers ( to be filled in the case of election from an assembly constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""
"149"	"Total votes polled"	""	""	""	""	""	""	""	""	""	""	""	""	""
"150"	"Sl No. of Polling Station"	"Name of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Tendered Votes"
"151"	""	""	"Ashok Chaudhary"	"Mithalesh Kumar"	"Raghuna ndan Prasad"	"Nandlal Chaudhary"	"Ujjawalka nt Hunkar"	"Babita Bhushan"	"Ravindra Ku Chaudhary"	"Rajendra Prasad"	"Santi Devi"	"Shiv Shankar Paswan"	""	""
"152"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"153"	"89"	"e/; fo|ky;] p:vkok¡ ¼i0 Hkkx½"	"210"	"76"	"3"	"1"	"1"	"11"	"2"	"3"	"1"	"14"	"322"	""
"154"	"90"	"izk0 fo0] 'ks[kksiqjMhg ¼iwohZ Hkkx½"	"112"	"167"	"4"	"5"	"1"	"0"	"2"	"0"	"2"	"8"	"301"	""
"155"	"91"	"izk0 fo0] 'ks[kksiqjMhg ¼i0Hkkx½"	"185"	"111"	"34"	"4"	"3"	"0"	"8"	"17"	"2"	"6"	"370"	""
"156"	"92"	"izkFkfed fo|ky;] lqfx;k"	"177"	"364"	"36"	"2"	"2"	"0"	"5"	"10"	"4"	"5"	"605"	""
"157"	"93"	"izkFkfed fo|ky;] jfgapk"	"110"	"212"	"2"	"8"	"0"	"0"	"4"	"1"	"0"	"3"	"340"	""
"158"	"94"	"izkFkfed fo|ky;] dchjiqj"	"152"	"171"	"2"	"2"	"0"	"1"	"0"	"1"	"0"	"1"	"330"	""
"159"	"95"	"e/; fo|ky;] ik¡ph ¼iwohZ Hkkx½"	"177"	"177"	"7"	"8"	"3"	"2"	"4"	"18"	"8"	"14"	"418"	""
"160"	"96"	"e/; fo|ky;] ik¡ph ¼if'peh Hkkx½"	"109"	"77"	"1"	"1"	"2"	"1"	"3"	"1"	"1"	"5"	"201"	""
"161"	"97"	"izkFkfed fo|ky;] egkuUniqj"	"90"	"134"	"4"	"2"	"1"	"2"	"2"	"3"	"1"	"10"	"249"	""
"162"	"98"	"e/; fo|ky;] eksgCcriqj ¼iwohZ Hkkx½"	"91"	"85"	"10"	"6"	"2"	"1"	"3"	"5"	"6"	"15"	"224"	""
"163"	"Total No. of Votes recorded at Polling Stations"	""	"1413"	"1574"	"103"	"39"	"15"	"18"	"33"	"59"	"25"	"81"	"3360"	"0"
"164"	"No. of votes recorded on postal ballot papers ( to be filled in the case of election from an assembly constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""
"165"	"Total votes polled"	""	""	""	""	""	""	""	""	""	""	""	""	""
"166"	"Sl No. of Polling Station"	"Name of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Tendered Votes"
"167"	""	""	"Ashok Chaudhary"	"Mithalesh Kumar"	"Raghuna ndan Prasad"	"Nandlal Chaudhary"	"Ujjawalka nt Hunkar"	"Babita Bhushan"	"Ravindra Ku Chaudhary"	"Rajendra Prasad"	"Santi Devi"	"Shiv Shankar Paswan"	""	""
"168"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"169"	"99"	"e/; fo|ky;] eksgCcriqj ¼if'peh
Hkkx½"	"102"	"126"	"2"	"2"	"0"	"0"	"3"	"1"	"2"	"6"	"244"	""
"170"	"100"	"izkFkfed fo|ky;] eksfleiqj"	"144"	"181"	"7"	"11"	"6"	"1"	"6"	"3"	"5"	"10"	"374"	""
"171"	"101"	"e/; fo|ky;] iUgslk"	"399"	"147"	"1"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"550"	""
"172"	"102"	"e/; fo|ky;] uheh ¼nf{k.kh Hkkx½"	"192"	"224"	"16"	"23"	"7"	"9"	"5"	"54"	"9"	"14"	"553"	""
"173"	"103"	"e/; fo|ky;] uheh ¼mÙkjh Hkkx½"	"160"	"244"	"2"	"9"	"2"	"6"	"3"	"22"	"5"	"5"	"458"	""
