"X.Statutory.Rules.and.Order.......................................................ROUND...FIRST"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"
"54"	"Election to the Bihar Legislative Assembly 2005 from the 129-FORBESGANJ Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""
"55"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"56"	""	"ZAKIR HUSSAIN KHAN"	"LAXMI NARAYAN MEHTA"	"SHAMBHU NATH MISHRA"	"SUBHASH PRASAD SAH"	"RAJA RAMAN BHASKAR"	"ISHTEYAQU E ALAM"	"KAPIL DEO SADA"	"SATYA NARAYAN WRITER"	"SURENDRA MANDAL"	""	""	""	""
"57"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"58"	"26"	"365"	"408"	"25"	"8"	"3"	"1"	"2"	"8"	"14"	"834"	""	"834"	""
"59"	"27"	"800"	"28"	"13"	"2"	"2"	"3"	"2"	"5"	"36"	"891"	""	"891"	""
"60"	"28"	"407"	"200"	"15"	"1"	"7"	"1"	"5"	"4"	"9"	"649"	""	"649"	""
"61"	"29"	"724"	"31"	"3"	"8"	"3"	"1"	"4"	"2"	"14"	"790"	""	"790"	""
"62"	"30"	"383"	"64"	"5"	"3"	"2"	"1"	"3"	"1"	"6"	"468"	""	"468"	""
"63"	"31"	"519"	"2"	"5"	"1"	"1"	"1"	"2"	"1"	"6"	"538"	""	"538"	""
"64"	"32"	"231"	"84"	"5"	"0"	"3"	"1"	"0"	"1"	"5"	"330"	""	"330"	""
"65"	"33"	"877"	"37"	"4"	"3"	"3"	"2"	"0"	"7"	"14"	"947"	""	"947"	""
"66"	"34"	"310"	"480"	"20"	"4"	"6"	"1"	"2"	"5"	"6"	"834"	""	"834"	""
"67"	"35"	"221"	"539"	"20"	"2"	"4"	"6"	"3"	"2"	"4"	"801"	""	"801"	""
"68"	"36"	"142"	"315"	"14"	"4"	"1"	"7"	"1"	"5"	"12"	"501"	""	"501"	""
"69"	"36A"	"466"	"21"	"6"	"1"	"3"	"4"	"3"	"2"	"20"	"526"	""	"526"	""
"70"	"37"	"358"	"465"	"16"	"16"	"7"	"4"	"0"	"4"	"12"	"882"	""	"882"	""
"71"	"38"	"512"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"528"	""	"528"	""
"72"	"Current Round"	"6315"	"2688"	"151"	"53"	"45"	"33"	"27"	"47"	"160"	"9519"	"0"	"9519"	"0"
"73"	"Previous Round"	"7152"	"9056"	"1011"	"250"	"165"	"112"	"105"	"188"	"378"	"18417"	"0"	"18417"	"0"
"74"	"TOTAL"	"13467"	"11744"	"1162"	"303"	"210"	"145"	"132"	"235"	"538"	"27936"	"0"	"27936"	"0"
"75"	"(Statutory Rules and Order)                                                      ROUND : FOURTH"	""	""	""	""	""	""	""	""	""	""	""	""	""
"76"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"77"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""
"78"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""
"79"	"Election to the Bihar Legislative Assembly 2005 from the 129-FORBESGANJ Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""
"80"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"81"	""	"ZAKIR HUSSAIN KHAN"	"LAXMI NARAYAN MEHTA"	"SHAMBHU NATH MISHRA"	"SUBHASH PRASAD SAH"	"RAJA RAMAN BHASKAR"	"ISHTEYAQU E ALAM"	"KAPIL DEO SADA"	"SATYA NARAYAN WRITER"	"SURENDRA MANDAL"	""	""	""	""
"82"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"83"	"39"	"201"	"282"	"14"	"3"	"8"	"0"	"3"	"8"	"20"	"539"	""	"539"	""
"84"	"40"	"110"	"727"	"16"	"5"	"0"	"13"	"2"	"13"	"12"	"898"	""	"898"	""
"85"	"41"	"35"	"320"	"13"	"1"	"2"	"2"	"4"	"6"	"7"	"390"	""	"390"	""
"86"	"42"	"345"	"445"	"16"	"4"	"7"	"5"	"5"	"15"	"18"	"860"	""	"860"	""
"87"	"43"	"180"	"275"	"15"	"3"	"3"	"5"	"2"	"12"	"15"	"510"	""	"510"	""
"88"	"44"	"262"	"259"	"7"	"1"	"4"	"3"	"1"	"2"	"8"	"547"	""	"547"	""
"89"	"45"	"25"	"669"	"15"	"4"	"1"	"3"	"1"	"7"	"6"	"731"	""	"731"	""
"90"	"46"	"250"	"379"	"36"	"5"	"7"	"6"	"1"	"9"	"14"	"707"	""	"707"	""
"91"	"47"	"37"	"709"	"37"	"4"	"9"	"4"	"4"	"12"	"13"	"829"	""	"829"	""
"92"	"48"	"88"	"235"	"11"	"2"	"1"	"4"	"2"	"3"	"5"	"351"	""	"351"	""
"93"	"49"	"76"	"744"	"21"	"7"	"9"	"4"	"0"	"4"	"7"	"872"	""	"872"	""
"94"	"50"	"106"	"459"	"23"	"24"	"8"	"3"	"7"	"5"	"11"	"646"	""	"646"	""
"95"	"51"	"172"	"252"	"13"	"8"	"5"	"2"	"2"	"6"	"14"	"474"	""	"474"	""
"96"	"52"	"316"	"373"	"12"	"6"	"3"	"3"	"6"	"5"	"32"	"756"	""	"756"	""
"97"	"Current Round"	"2203"	"6128"	"249"	"77"	"67"	"57"	"40"	"107"	"182"	"9110"	"0"	"9110"	"0"
"98"	"Previous Round"	"13467"	"11744"	"1162"	"303"	"210"	"145"	"132"	"235"	"538"	"27936"	"0"	"27936"	"0"
"99"	"TOTAL"	"15670"	"17872"	"1411"	"380"	"277"	"202"	"172"	"342"	"720"	"37046"	"0"	"37046"	"0"
"100"	"(Statutory Rules and Order)                                                      ROUND : FIFTH"	""	""	""	""	""	""	""	""	""	""	""	""	""
"101"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"102"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""
"103"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""
"104"	"Election to the Bihar Legislative Assembly 2005 from the 129-FORBESGANJ Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""
"105"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"106"	""	"ZAKIR HUSSAIN KHAN"	"LAXMI NARAYAN MEHTA"	"SHAMBHU NATH MISHRA"	"SUBHASH PRASAD SAH"	"RAJA RAMAN BHASKAR"	"ISHTEYAQU E ALAM"	"KAPIL DEO SADA"	"SATYA NARAYAN WRITER"	"SURENDRA MANDAL"	""	""	""	""
"107"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"108"	"53"	"363"	"183"	"6"	"0"	"2"	"2"	"0"	"2"	"0"	"558"	""	"558"	""
"109"	"54"	"351"	"87"	"32"	"3"	"3"	"4"	"0"	"6"	"9"	"495"	""	"495"	""
"110"	"55"	"85"	"441"	"18"	"6"	"5"	"8"	"2"	"10"	"11"	"586"	""	"586"	""
"111"	"56"	"386"	"230"	"65"	"9"	"8"	"4"	"1"	"11"	"14"	"728"	""	"728"	""
"112"	"57"	"470"	"115"	"31"	"2"	"5"	"5"	"2"	"3"	"9"	"642"	""	"642"	""
"113"	"58"	"272"	"492"	"15"	"9"	"3"	"0"	"2"	"6"	"10"	"809"	""	"809"	""
"114"	"59"	"142"	"441"	"22"	"0"	"8"	"3"	"2"	"10"	"4"	"632"	""	"632"	""
"115"	"60"	"324"	"414"	"6"	"1"	"1"	"3"	"1"	"2"	"3"	"755"	""	"755"	""
"116"	"61"	"282"	"400"	"25"	"6"	"3"	"5"	"2"	"10"	"17"	"750"	""	"750"	""
"117"	"62"	"161"	"613"	"14"	"4"	"8"	"5"	"2"	"2"	"7"	"816"	""	"816"	""
"118"	"63"	"146"	"591"	"50"	"6"	"2"	"4"	"2"	"11"	"9"	"821"	""	"821"	""
"119"	"64"	"727"	"311"	"17"	"3"	"4"	"2"	"6"	"5"	"18"	"1093"	""	"1093"	""
"120"	"65"	"118"	"579"	"19"	"4"	"4"	"4"	"5"	"5"	"24"	"762"	""	"762"	""
"121"	"66"	"354"	"582"	"18"	"8"	"4"	"2"	"4"	"8"	"21"	"1001"	""	"1001"	""
"122"	"Current Round"	"4181"	"5479"	"338"	"61"	"60"	"51"	"31"	"91"	"156"	"10448"	"0"	"10448"	"0"
"123"	"Previous Round"	"15670"	"17872"	"1411"	"380"	"277"	"202"	"172"	"342"	"720"	"37046"	"0"	"37046"	"0"
"124"	"TOTAL"	"19851"	"23351"	"1749"	"441"	"337"	"253"	"203"	"433"	"876"	"47494"	"0"	"47494"	"0"
"125"	"(Statutory Rules and Order)                                                      ROUND : SIXTH"	""	""	""	""	""	""	""	""	""	""	""	""	""
"126"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"127"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""
"128"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""
"129"	"Election to the Bihar Legislative Assembly 2005 from the 129-FORBESGANJ Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""
"130"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"131"	""	"ZAKIR HUSSAIN KHAN"	"LAXMI NARAYAN MEHTA"	"SHAMBHU NATH MISHRA"	"SUBHASH PRASAD SAH"	"RAJA RAMAN BHASKAR"	"ISHTEYAQU E ALAM"	"KAPIL DEO SADA"	"SATYA NARAYAN WRITER"	"SURENDRA MANDAL"	""	""	""	""
"132"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"133"	"67"	"95"	"767"	"19"	"9"	"8"	"6"	"10"	"8"	"11"	"933"	""	"933"	""
"134"	"68"	"122"	"721"	"26"	"13"	"3"	"2"	"6"	"9"	"7"	"909"	""	"909"	""
"135"	"69"	"275"	"516"	"18"	"7"	"9"	"6"	"5"	"6"	"8"	"850"	""	"850"	""
"136"	"70"	"192"	"574"	"43"	"40"	"7"	"11"	"12"	"10"	"31"	"920"	""	"920"	""
"137"	"71"	"115"	"330"	"26"	"6"	"8"	"4"	"6"	"9"	"17"	"521"	""	"521"	""
"138"	"72"	"22"	"584"	"4"	"1"	"0"	"0"	"0"	"3"	"2"	"616"	""	"616"	""
"139"	"73"	"600"	"49"	"6"	"2"	"6"	"20"	"2"	"2"	"7"	"694"	""	"694"	""
"140"	"74"	"164"	"296"	"20"	"9"	"2"	"11"	"4"	"12"	"23"	"541"	""	"541"	""
"141"	"75"	"528"	"19"	"8"	"5"	"1"	"8"	"0"	"5"	"21"	"595"	""	"595"	""
"142"	"76"	"119"	"392"	"22"	"2"	"0"	"4"	"1"	"4"	"4"	"548"	""	"548"	""
"143"	"77"	"111"	"399"	"45"	"3"	"3"	"6"	"8"	"11"	"21"	"607"	""	"607"	""
"144"	"78"	"209"	"430"	"33"	"7"	"5"	"1"	"3"	"11"	"14"	"713"	""	"713"	""
"145"	"79"	"227"	"425"	"15"	"9"	"3"	"4"	"3"	"7"	"12"	"705"	""	"705"	""
"146"	"80"	"273"	"236"	"18"	"6"	"3"	"2"	"4"	"8"	"18"	"568"	""	"568"	""
"147"	"Current Round"	"3052"	"5738"	"303"	"119"	"58"	"85"	"64"	"105"	"196"	"9720"	"0"	"9720"	"0"
"148"	"Previous Round"	"19851"	"23351"	"1749"	"441"	"337"	"253"	"203"	"433"	"876"	"47494"	"0"	"47494"	"0"
"149"	"TOTAL"	"22903"	"29089"	"2052"	"560"	"395"	"338"	"267"	"538"	"1072"	"57214"	"0"	"57214"	"0"
"150"	"(Statutory Rules and Order)                                                      ROUND : SEVENTH"	""	""	""	""	""	""	""	""	""	""	""	""	""
"151"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"152"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""
"153"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""
"154"	"Election to the Bihar Legislative Assembly 2005 from the 129-FORBESGANJ Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""
"155"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"156"	""	"ZAKIR HUSSAIN KHAN"	"LAXMI NARAYAN MEHTA"	"SHAMBHU NATH MISHRA"	"SUBHASH PRASAD SAH"	"RAJA RAMAN BHASKAR"	"ISHTEYAQU E ALAM"	"KAPIL DEO SADA"	"SATYA NARAYAN WRITER"	"SURENDRA MANDAL"	""	""	""	""
"157"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"158"	"81"	"189"	"313"	"9"	"1"	"8"	"4"	"6"	"4"	"7"	"541"	""	"541"	""
"159"	"82"	"415"	"455"	"28"	"7"	"5"	"3"	"7"	"13"	"14"	"947"	""	"947"	""
"160"	"83"	"185"	"412"	"31"	"8"	"7"	"6"	"6"	"11"	"19"	"685"	""	"685"	""
"161"	"84"	"316"	"305"	"37"	"11"	"9"	"11"	"2"	"2"	"9"	"702"	""	"702"	""
"162"	"85"	"55"	"483"	"22"	"6"	"5"	"8"	"3"	"9"	"7"	"598"	""	"598"	""
"163"	"86"	"99"	"347"	"14"	"2"	"3"	"5"	"1"	"8"	"4"	"483"	""	"483"	""
"164"	"87"	"236"	"417"	"19"	"8"	"5"	"3"	"1"	"4"	"4"	"697"	""	"697"	""
"165"	"88"	"264"	"498"	"17"	"5"	"4"	"8"	"3"	"6"	"13"	"818"	""	"818"	""
"166"	"89"	"392"	"356"	"22"	"1"	"5"	"13"	"1"	"5"	"9"	"804"	""	"804"	""
"167"	"90"	"329"	"349"	"11"	"3"	"8"	"11"	"3"	"3"	"7"	"724"	""	"724"	""
"168"	"91"	"285"	"189"	"10"	"3"	"6"	"2"	"3"	"2"	"4"	"504"	""	"504"	""
"169"	"92"	"64"	"667"	"32"	"13"	"4"	"8"	"6"	"7"	"8"	"809"	""	"809"	""
"170"	"93"	"126"	"609"	"66"	"10"	"5"	"6"	"8"	"12"	"19"	"861"	""	"861"	""
"171"	"94"	"148"	"333"	"156"	"13"	"6"	"5"	"2"	"7"	"24"	"694"	""	"694"	""
"172"	"Current Round"	"3103"	"5733"	"474"	"91"	"80"	"93"	"52"	"93"	"148"	"9867"	"0"	"9867"	"0"
"173"	"Previous Round"	"22903"	"29089"	"2052"	"560"	"395"	"338"	"267"	"538"	"1072"	"57214"	"0"	"57214"	"0"
"174"	"TOTAL"	"26006"	"34822"	"2526"	"651"	"475"	"431"	"319"	"631"	"1220"	"67081"	"0"	"67081"	"0"
"175"	"(Statutory Rules and Order)                                                      ROUND : EIGHTH"	""	""	""	""	""	""	""	""	""	""	""	""	""
"176"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"177"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""
"178"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""
"179"	"Election to the Bihar Legislative Assembly 2005 from the 129-FORBESGANJ Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""
"180"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"181"	""	"ZAKIR HUSSAIN KHAN"	"LAXMI NARAYAN MEHTA"	"SHAMBHU NATH MISHRA"	"SUBHASH PRASAD SAH"	"RAJA RAMAN BHASKAR"	"ISHTEYAQU E ALAM"	"KAPIL DEO SADA"	"SATYA NARAYAN WRITER"	"SURENDRA MANDAL"	""	""	""	""
"182"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"183"	"95"	"38"	"475"	"18"	"10"	"4"	"4"	"6"	"14"	"10"	"579"	""	"579"	""
"184"	"96"	"265"	"481"	"10"	"5"	"8"	"7"	"7"	"5"	"7"	"795"	""	"795"	""
"185"	"97"	"242"	"332"	"13"	"0"	"4"	"5"	"1"	"0"	"6"	"603"	""	"603"	""
"186"	"97A"	"105"	"413"	"15"	"3"	"7"	"4"	"5"	"7"	"8"	"567"	""	"567"	""
"187"	"98"	"67"	"587"	"21"	"3"	"5"	"2"	"0"	"1"	"3"	"689"	""	"689"	""
"188"	"99"	"246"	"550"	"35"	"7"	"14"	"9"	"7"	"5"	"8"	"881"	""	"881"	""
"189"	"100"	"93"	"513"	"17"	"6"	"4"	"6"	"0"	"6"	"15"	"660"	""	"660"	""
"190"	"101"	"155"	"204"	"18"	"6"	"5"	"8"	"6"	"7"	"16"	"425"	""	"425"	""
"191"	"102"	"24"	"303"	"10"	"3"	"2"	"3"	"1"	"6"	"2"	"354"	""	"354"	""
"192"	"102A"	"306"	"246"	"11"	"7"	"3"	"1"	"4"	"12"	"25"	"615"	""	"615"	""
"193"	"103"	"277"	"473"	"34"	"25"	"10"	"5"	"5"	"11"	"5"	"845"	""	"845"	""
"194"	"104"	"661"	"246"	"17"	"1"	"9"	"3"	"4"	"5"	"7"	"953"	""	"953"	""
"195"	"105"	"438"	"199"	"8"	"7"	"14"	"7"	"1"	"3"	"3"	"680"	""	"680"	""
"196"	"106"	"322"	"331"	"8"	"43"	"3"	"4"	"0"	"2"	"10"	"723"	""	"723"	""
"197"	"Current Round"	"3239"	"5353"	"235"	"126"	"92"	"68"	"47"	"84"	"125"	"9369"	"0"	"9369"	"0"
"198"	"Previous Round"	"26006"	"34822"	"2526"	"651"	"475"	"431"	"319"	"631"	"1220"	"67081"	"0"	"67081"	"0"
"199"	"TOTAL"	"29245"	"40175"	"2761"	"777"	"567"	"499"	"366"	"715"	"1345"	"76450"	"0"	"76450"	"0"
"200"	"(Statutory Rules and Order)                                                      ROUND : NINETH"	""	""	""	""	""	""	""	""	""	""	""	""	""
"201"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"202"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""
"203"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""
"204"	"Election to the Bihar Legislative Assembly 2005 from the 129-FORBESGANJ Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""
"205"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"206"	""	"ZAKIR HUSSAIN KHAN"	"LAXMI NARAYAN MEHTA"	"SHAMBHU NATH MISHRA"	"SUBHASH PRASAD SAH"	"RAJA RAMAN BHASKAR"	"ISHTEYAQU E ALAM"	"KAPIL DEO SADA"	"SATYA NARAYAN WRITER"	"SURENDRA MANDAL"	""	""	""	""
"207"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"208"	"107"	"243"	"98"	"8"	"3"	"2"	"2"	"3"	"1"	"1"	"361"	""	"361"	""
"209"	"108"	"472"	"424"	"41"	"4"	"7"	"5"	"7"	"2"	"5"	"967"	""	"967"	""
"210"	"109"	"145"	"693"	"13"	"20"	"7"	"3"	"3"	"3"	"6"	"893"	""	"893"	""
"211"	"110"	"118"	"313"	"18"	"18"	"7"	"6"	"6"	"2"	"6"	"494"	""	"494"	""
"212"	"111"	"245"	"136"	"12"	"4"	"5"	"5"	"2"	"8"	"8"	"425"	""	"425"	""
"213"	"112"	"199"	"329"	"8"	"3"	"3"	"3"	"1"	"7"	"14"	"567"	""	"567"	""
"214"	"113"	"200"	"579"	"3"	"14"	"6"	"1"	"0"	"1"	"3"	"807"	""	"807"	""
"215"	"114"	"545"	"196"	"15"	"3"	"15"	"4"	"3"	"2"	"9"	"792"	""	"792"	""
"216"	"115"	"664"	"27"	"11"	"5"	"4"	"3"	"0"	"2"	"13"	"729"	""	"729"	""
"217"	"116"	"282"	"3"	"10"	"1"	"2"	"3"	"0"	"0"	"7"	"308"	""	"308"	""
"218"	"117"	"490"	"74"	"21"	"6"	"3"	"1"	"3"	"1"	"12"	"611"	""	"611"	""
"219"	"118"	"380"	"236"	"10"	"4"	"4"	"3"	"4"	"4"	"13"	"658"	""	"658"	""
