"ernku..dsUnz.dh..la..k"	"fuEufyf.kr..vH.fFkZ.ks..ds..Ik.k..esa..fn...x...fof.kekU...erksa..dh..la..k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"dqy..fof.kekU...er"	"fufonr..erks..dh..la..k"	"izfr.ksfir..eri.ksa..dh..la."	"dqy..fof.kekU....oa..izfr.ksfir.erks..dh..la..k"
"80"	""	"fnus'k pUnz  ;kno"	"pkS/kjh egcwc  vyh dSlj"	"lqHkk\"k pkS/kjh"	"xksiky  d`\".k flag"	"tQj  vkye"	"uteqy  gqnk m|hu"	""	""	""	""
"81"	"ROUND- V"	""	""	""	""	""	""	""	""	""	""
"82"	"B.F.->"	"13907"	"7316"	"518"	"602"	"3349"	"778"	"26470"	"0"	"0"	"26470"
"83"	"57"	"134"	"91"	"11"	"10"	"12"	"21"	"279"	""	""	"279"
"84"	"58"	"251"	"170"	"15"	"20"	"10"	"17"	"483"	""	""	"483"
"85"	"59"	"250"	"51"	"2"	"3"	"47"	"2"	"355"	""	""	"355"
"86"	"60"	"682"	"54"	"2"	"4"	"6"	"3"	"751"	""	""	"751"
"87"	"61"	"411"	"102"	"11"	"18"	"59"	"29"	"630"	""	""	"630"
"88"	"62"	"228"	"245"	"9"	"10"	"125"	"19"	"636"	""	""	"636"
"89"	"63"	"500"	"78"	"5"	"9"	"30"	"18"	"640"	""	""	"640"
"90"	"64"	"410"	"127"	"4"	"2"	"5"	"3"	"551"	""	""	"551"
"91"	"65"	"302"	"177"	"10"	"11"	"17"	"8"	"525"	""	""	"525"
"92"	"66"	"33"	"500"	"13"	"2"	"27"	"8"	"583"	""	""	"583"
"93"	"67"	"0"	"634"	"2"	"0"	"3"	"0"	"639"	""	""	"639"
"94"	"68"	"161"	"222"	"7"	"6"	"55"	"8"	"459"	""	""	"459"
"95"	"69"	"188"	"80"	"4"	"14"	"71"	"17"	"374"	""	""	"374"
"96"	"70"	"393"	"54"	"3"	"4"	"5"	"0"	"459"	""	""	"459"
"97"	"Round Total"	"3943"	"2585"	"98"	"113"	"472"	"153"	"7364"	"0"	"0"	"7364"
"98"	"C.F.->"	"17850"	"9901"	"616"	"715"	"3821"	"931"	"33834"	"0"	"0"	"33834"
"99"	"ernku  dsUnz dh  la[;k"	"fuEufyf[kr  vH;fFkZ;ks  ds  Ik{k  esa  fn,  x,  fof/kekU;  erksa  dh  la[;k"	""	""	""	""	""	"dqy  fof/kekU;  er"	"fufonr  erks  dh  la[;k"	"izfr{ksfir  eri=ksa  dh  la-"	"dqy  fof/kekU;  ,oa  izfr{ksfir erks  dh  la[;k"
"100"	""	"fnus'k pUnz  ;kno"	"pkS/kjh egcwc  vyh dSlj"	"lqHkk\"k pkS/kjh"	"xksiky  d`\".k flag"	"tQj  vkye"	"uteqy  gqnk m|hu"	""	""	""	""
"101"	"ROUND -VI"	""	""	""	""	""	""	""	""	""	""
"102"	"B.F.->"	"17850"	"9901"	"616"	"715"	"3821"	"931"	"33834"	"0"	"0"	"33834"
"103"	"71"	"285"	"80"	"2"	"5"	"5"	"3"	"380"	""	""	"380"
"104"	"72"	"360"	"86"	"4"	"11"	"16"	"5"	"482"	""	""	"482"
"105"	"73"	"331"	"141"	"3"	"4"	"3"	"3"	"485"	""	""	"485"
"106"	"74"	"376"	"121"	"10"	"17"	"16"	"8"	"548"	""	""	"548"
"107"	"75"	"230"	"229"	"9"	"5"	"43"	"6"	"522"	""	""	"522"
"108"	"76"	"408"	"68"	"11"	"13"	"42"	"18"	"560"	""	""	"560"
"109"	"77"	"291"	"205"	"14"	"17"	"107"	"12"	"646"	""	""	"646"
"110"	"78"	"341"	"173"	"5"	"2"	"6"	"2"	"529"	""	""	"529"
"111"	"79"	"415"	"147"	"4"	"8"	"11"	"9"	"594"	""	""	"594"
"112"	"80"	"192"	"131"	"7"	"10"	"4"	"12"	"356"	""	""	"356"
"113"	"81"	"247"	"52"	"6"	"13"	"27"	"10"	"355"	""	""	"355"
"114"	"82"	"23"	"150"	"3"	"5"	"133"	"9"	"323"	""	""	"323"
"115"	"83"	"17"	"668"	"0"	"1"	"301"	"4"	"991"	""	""	"991"
"116"	"84"	"398"	"149"	"13"	"2"	"9"	"5"	"576"	""	""	"576"
"117"	"Round Total"	"3914"	"2400"	"91"	"113"	"723"	"106"	"7347"	"0"	"0"	"7347"
"118"	"C.F.->"	"21764"	"12301"	"707"	"828"	"4544"	"1037"	"41181"	"0"	"0"	"41181"
"119"	"ernku  dsUnz dh  la[;k"	"fuEufyf[kr  vH;fFkZ;ks  ds  Ik{k  esa  fn,  x,  fof/kekU;  erksa  dh  la[;k"	""	""	""	""	""	"dqy  fof/kekU;  er"	"fufonr  erks  dh  la[;k"	"izfr{ksfir  eri=ksa  dh  la-"	"dqy  fof/kekU;  ,oa  izfr{ksfir erks  dh  la[;k"
"120"	""	"fnus'k pUnz  ;kno"	"pkS/kjh egcwc  vyh dSlj"	"lqHkk\"k pkS/kjh"	"xksiky  d`\".k flag"	"tQj  vkye"	"uteqy  gqnk m|hu"	""	""	""	""
"121"	"ROUND- VII"	""	""	""	""	""	""	""	""	""	""
"122"	"B.F.->"	"21764"	"12301"	"707"	"828"	"4544"	"1037"	"41181"	"0"	"0"	"41181"
"123"	"85"	"345"	"189"	"10"	"7"	"12"	"7"	"570"	""	""	"570"
"124"	"86"	"336"	"152"	"11"	"16"	"19"	"16"	"550"	""	""	"550"
"125"	"87"	"214"	"133"	"17"	"28"	"119"	"31"	"542"	""	""	"542"
"126"	"88"	"323"	"287"	"18"	"16"	"149"	"21"	"814"	""	""	"814"
"127"	"89"	"767"	"52"	"4"	"0"	"13"	"2"	"838"	""	""	"838"
"128"	"90"	"431"	"155"	"4"	"2"	"49"	"2"	"643"	""	""	"643"
"129"	"91"	"509"	"150"	"7"	"16"	"44"	"23"	"749"	""	""	"749"
"130"	"92"	"68"	"20"	"7"	"7"	"111"	"31"	"244"	""	""	"244"
"131"	"93"	"106"	"97"	"5"	"8"	"76"	"24"	"316"	""	""	"316"
"132"	"94"	"11"	"618"	"0"	"0"	"75"	"1"	"705"	""	""	"705"
"133"	"95"	"532"	"105"	"9"	"6"	"8"	"13"	"673"	""	""	"673"
"134"	"96"	"618"	"91"	"6"	"11"	"32"	"11"	"769"	""	""	"769"
"135"	"97"	"434"	"53"	"3"	"1"	"23"	"4"	"518"	""	""	"518"
"136"	"98"	"56"	"220"	"4"	"5"	"59"	"2"	"346"	""	""	"346"
"137"	"Round Total"	"4750"	"2322"	"105"	"123"	"789"	"188"	"8277"	"0"	"0"	"8277"
"138"	"C.F.->"	"26514"	"14623"	"812"	"951"	"5333"	"1225"	"49458"	"0"	"0"	"49458"
"139"	"ernku  dsUnz dh  la[;k"	"fuEufyf[kr  vH;fFkZ;ks  ds  Ik{k  esa  fn,  x,  fof/kekU;  erksa  dh  la[;k"	""	""	""	""	""	"dqy  fof/kekU;  er"	"fufonr  erks  dh  la[;k"	"izfr{ksfir  eri=ksa  dh  la-"	"dqy  fof/kekU;  ,oa  izfr{ksfir erks  dh  la[;k"
"140"	""	"fnus'k pUnz  ;kno"	"pkS/kjh egcwc  vyh dSlj"	"lqHkk\"k pkS/kjh"	"xksiky  d`\".k flag"	"tQj  vkye"	"uteqy  gqnk m|hu"	""	""	""	""
"141"	"ROUND -VIII"	""	""	""	""	""	""	""	""	""	""
"142"	"B.F.->"	"26514"	"14623"	"812"	"951"	"5333"	"1225"	"49458"	"0"	"0"	"49458"
"143"	"99"	"388"	"123"	"8"	"12"	"8"	"14"	"553"	""	""	"553"
"144"	"100"	"204"	"199"	"16"	"13"	"24"	"24"	"480"	""	""	"480"
"145"	"101"	"256"	"73"	"6"	"4"	"10"	"18"	"367"	""	""	"367"
"146"	"102"	"268"	"56"	"5"	"5"	"110"	"13"	"457"	""	""	"457"
"147"	"103"	"297"	"190"	"9"	"17"	"19"	"14"	"546"	""	""	"546"
"148"	"104"	"275"	"63"	"6"	"10"	"12"	"7"	"373"	""	""	"373"
"149"	"105"	"106"	"56"	"20"	"18"	"136"	"17"	"353"	""	""	"353"
"150"	"106"	"142"	"68"	"26"	"35"	"53"	"15"	"339"	""	""	"339"
"151"	"107"	"114"	"131"	"23"	"16"	"109"	"26"	"419"	""	""	"419"
"152"	"108"	"183"	"124"	"13"	"15"	"80"	"9"	"424"	""	""	"424"
"153"	"109"	"150"	"121"	"22"	"15"	"220"	"43"	"571"	""	""	"571"
"154"	"110"	"54"	"123"	"26"	"7"	"134"	"18"	"362"	""	""	"362"
"155"	"111"	"87"	"144"	"15"	"13"	"193"	"23"	"475"	""	""	"475"
"156"	"112"	"234"	"111"	"15"	"18"	"154"	"14"	"546"	""	""	"546"
"157"	"Round Total"	"2758"	"1582"	"210"	"198"	"1262"	"255"	"6265"	"0"	"0"	"6265"
"158"	"C.F.->"	"29272"	"16205"	"1022"	"1149"	"6595"	"1480"	"55723"	"0"	"0"	"55723"
"159"	"ernku  dsUnz dh  la[;k"	"fuEufyf[kr  vH;fFkZ;ks  ds  Ik{k  esa  fn,  x,  fof/kekU;  erksa  dh  la[;k"	""	""	""	""	""	"dqy  fof/kekU;  er"	"fufonr  erks  dh  la[;k"	"izfr{ksfir  eri=ksa  dh  la-"	"dqy  fof/kekU;  ,oa  izfr{ksfir erks  dh  la[;k"
"160"	""	"fnus'k pUnz  ;kno"	"pkS/kjh egcwc  vyh dSlj"	"lqHkk\"k pkS/kjh"	"xksiky  d`\".k flag"	"tQj  vkye"	"uteqy  gqnk m|hu"	""	""	""	""
"161"	"ROUND- IX"	""	""	""	""	""	""	""	""	""	""
"162"	"B.F.->"	"29272"	"16205"	"1022"	"1149"	"6595"	"1480"	"55723"	"0"	"0"	"55723"
"163"	"113"	"70"	"97"	"15"	"14"	"270"	"30"	"496"	""	""	"496"
"164"	"114"	"155"	"135"	"17"	"7"	"39"	"20"	"373"	""	""	"373"
"165"	"115"	"76"	"152"	"15"	"4"	"19"	"1"	"267"	""	""	"267"
"166"	"116"	"114"	"155"	"25"	"11"	"69"	"50"	"424"	""	""	"424"
"167"	"117"	"367"	"160"	"14"	"10"	"52"	"17"	"620"	""	""	"620"
"168"	"118"	"295"	"26"	"2"	"6"	"53"	"5"	"387"	""	""	"387"
"169"	"119"	"109"	"47"	"20"	"13"	"297"	"73"	"559"	""	""	"559"
"170"	"120"	"52"	"273"	"21"	"8"	"35"	"23"	"412"	""	""	"412"
"171"	"121"	"8"	"725"	"20"	"1"	"57"	"7"	"818"	""	""	"818"
"172"	"122"	"37"	"25"	"9"	"3"	"71"	"8"	"153"	""	""	"153"
"173"	"123"	"58"	"79"	"13"	"5"	"69"	"11"	"235"	""	""	"235"
"174"	"124"	"224"	"346"	"14"	"11"	"40"	"9"	"644"	""	""	"644"
"175"	"125"	"89"	"54"	"13"	"3"	"7"	"5"	"171"	""	""	"171"
"176"	"126"	"143"	"110"	"11"	"9"	"96"	"21"	"390"	""	""	"390"
"177"	"Round Total"	"1797"	"2384"	"209"	"105"	"1174"	"280"	"5949"	"0"	"0"	"5949"
"178"	"C.F.->"	"31069"	"18589"	"1231"	"1254"	"7769"	"1760"	"61672"	"0"	"0"	"61672"
"179"	"ernku  dsUnz dh  la[;k"	"fuEufyf[kr  vH;fFkZ;ks  ds  Ik{k  esa  fn,  x,  fof/kekU;  erksa  dh  la[;k"	""	""	""	""	""	"dqy  fof/kekU;  er"	"fufonr  erks  dh  la[;k"	"izfr{ksfir  eri=ksa  dh  la-"	"dqy  fof/kekU;  ,oa  izfr{ksfir erks  dh  la[;k"
"180"	""	"fnus'k pUnz  ;kno"	"pkS/kjh egcwc  vyh dSlj"	"lqHkk\"k pkS/kjh"	"xksiky  d`\".k flag"	"tQj  vkye"	"uteqy  gqnk m|hu"	""	""	""	""
"181"	"ROUND -X"	""	""	""	""	""	""	""	""	""	""
"182"	"B.F.->"	"31069"	"18589"	"1231"	"1254"	"7769"	"1760"	"61672"	"0"	"0"	"61672"
"183"	"127"	"108"	"168"	"45"	"15"	"31"	"8"	"375"	""	""	"375"
"184"	"128"	"670"	"28"	"2"	"0"	"10"	"1"	"711"	""	""	"711"
"185"	"129"	"286"	"187"	"23"	"18"	"22"	"35"	"571"	""	""	"571"
"186"	"130"	"183"	"94"	"5"	"5"	"11"	"5"	"303"	""	""	"303"
"187"	"131"	"349"	"79"	"19"	"11"	"14"	"12"	"484"	""	""	"484"
"188"	"132"	"251"	"128"	"11"	"12"	"41"	"17"	"460"	""	""	"460"
"189"	"133"	"413"	"206"	"23"	"33"	"25"	"25"	"725"	""	""	"725"
"190"	"134"	"98"	"238"	"22"	"15"	"109"	"30"	"512"	""	""	"512"
"191"	"135"	"148"	"181"	"16"	"21"	"128"	"20"	"514"	""	""	"514"
"192"	"136"	"212"	"96"	"8"	"4"	"8"	"4"	"332"	""	""	"332"
"193"	"137"	"327"	"126"	"14"	"33"	"14"	"26"	"540"	""	""	"540"
"194"	"138"	"114"	"311"	"8"	"11"	"38"	"8"	"490"	""	""	"490"
"195"	"139"	"143"	"235"	"22"	"19"	"28"	"6"	"453"	""	""	"453"
"196"	"140"	"285"	"87"	"11"	"9"	"27"	"9"	"428"	""	""	"428"
"197"	"Round Total"	"3587"	"2164"	"229"	"206"	"506"	"206"	"6898"	"0"	"0"	"6898"
"198"	"C.F.->"	"34656"	"20753"	"1460"	"1460"	"8275"	"1966"	"68570"	"0"	"0"	"68570"
"199"	"ernku  dsUnz dh  la[;k"	"fuEufyf[kr  vH;fFkZ;ks  ds  Ik{k  esa  fn,  x,  fof/kekU;  erksa  dh  la[;k"	""	""	""	""	""	"dqy  fof/kekU;  er"	"fufonr  erks  dh  la[;k"	"izfr{ksfir  eri=ksa  dh  la-"	"dqy  fof/kekU;  ,oa  izfr{ksfir erks  dh  la[;k"
"200"	""	"fnus'k pUnz  ;kno"	"pkS/kjh egcwc  vyh dSlj"	"lqHkk\"k pkS/kjh"	"xksiky  d`\".k flag"	"tQj  vkye"	"uteqy  gqnk m|hu"	""	""	""	""
"201"	"ROUND- XI"	""	""	""	""	""	""	""	""	""	""
"202"	"B.F.->"	"34656"	"20753"	"1460"	"1460"	"8275"	"1966"	"68570"	"0"	"0"	"68570"
"203"	"141"	"409"	"31"	"6"	"6"	"8"	"7"	"467"	""	""	"467"
"204"	"142"	"315"	"69"	"6"	"11"	"5"	"12"	"418"	""	""	"418"
"205"	"143"	"167"	"235"	"28"	"31"	"61"	"47"	"569"	""	""	"569"
"206"	"144"	"326"	"8"	"4"	"3"	"6"	"7"	"354"	""	""	"354"
"207"	"145"	"319"	"32"	"3"	"11"	"14"	"9"	"388"	""	""	"388"
"208"	"146"	"14"	"380"	"4"	"7"	"112"	"6"	"523"	""	""	"523"
"209"	"147"	"146"	"119"	"6"	"6"	"160"	"17"	"454"	""	""	"454"
"210"	"148"	"72"	"307"	"3"	"1"	"36"	"1"	"420"	""	""	"420"
"211"	"149"	"74"	"544"	"14"	"3"	"105"	"13"	"753"	""	""	"753"
"212"	"150"	"249"	"118"	"14"	"18"	"24"	"17"	"440"	""	""	"440"
"213"	"151"	"244"	"187"	"8"	"8"	"153"	"15"	"615"	""	""	"615"
"214"	"152"	"139"	"273"	"8"	"5"	"37"	"9"	"471"	""	""	"471"
"215"	"153"	"461"	"127"	"9"	"15"	"36"	"9"	"657"	""	""	"657"
"216"	"154"	"88"	"248"	"13"	"13"	"157"	"26"	"545"	""	""	"545"
"217"	"Round Total"	"3023"	"2678"	"126"	"138"	"914"	"195"	"7074"	"0"	"0"	"7074"
"218"	"C.F.->"	"37679"	"23431"	"1586"	"1598"	"9189"	"2161"	"75644"	"0"	"0"	"75644"
"219"	"ernku  dsUnz dh  la[;k"	"fuEufyf[kr  vH;fFkZ;ks  ds  Ik{k  esa  fn,  x,  fof/kekU;  erksa  dh  la[;k"	""	""	""	""	""	"dqy  fof/kekU;  er"	"fufonr  erks  dh  la[;k"	"izfr{ksfir  eri=ksa  dh  la-"	"dqy  fof/kekU;  ,oa  izfr{ksfir erks  dh  la[;k"
"220"	""	"fnus'k pUnz  ;kno"	"pkS/kjh egcwc  vyh dSlj"	"lqHkk\"k pkS/kjh"	"xksiky  d`\".k flag"	"tQj  vkye"	"uteqy  gqnk m|hu"	""	""	""	""
"221"	"ROUND -XII"	""	""	""	""	""	""	""	""	""	""
"222"	"B.F.->"	"37679"	"23431"	"1586"	"1598"	"9189"	"2161"	"75644"	"0"	"0"	"75644"
"223"	"155"	"548"	"157"	"6"	"13"	"37"	"9"	"770"	""	""	"770"
"224"	"156"	"249"	"34"	"3"	"7"	"7"	"8"	"308"	""	""	"308"
"225"	"157"	"339"	"88"	"0"	"6"	"5"	"6"	"444"	""	""	"444"
"226"	"158"	"263"	"111"	"7"	"9"	"17"	"8"	"415"	""	""	"415"
"227"	"159"	"308"	"95"	"16"	"14"	"27"	"15"	"475"	""	""	"475"
"228"	"160"	"445"	"74"	"11"	"6"	"23"	"23"	"582"	""	""	"582"
"229"	"161"	"377"	"84"	"13"	"11"	"21"	"22"	"528"	""	""	"528"
"230"	"162"	"241"	"93"	"14"	"18"	"29"	"17"	"412"	""	""	"412"
"231"	"163"	"268"	"183"	"11"	"21"	"22"	"25"	"530"	""	""	"530"
"232"	"164"	"163"	"62"	"5"	"6"	"18"	"2"	"256"	""	""	"256"
"233"	"165"	"573"	"66"	"29"	"2"	"9"	"1"	"680"	""	""	"680"
"234"	"166"	"419"	"155"	"12"	"7"	"5"	"13"	"611"	""	""	"611"
"235"	"167"	"107"	"303"	"8"	"13"	"201"	"14"	"646"	""	""	"646"
"236"	"168"	"76"	"123"	"13"	"11"	"100"	"22"	"345"	""	""	"345"
"237"	"Round Total"	"4376"	"1628"	"148"	"144"	"521"	"185"	"7002"	"0"	"0"	"7002"
"238"	"C.F.->"	"42055"	"25059"	"1734"	"1742"	"9710"	"2346"	"82646"	"0"	"0"	"82646"
"239"	"ernku  dsUnz dh  la[;k"	"fuEufyf[kr  vH;fFkZ;ks  ds  Ik{k  esa  fn,  x,  fof/kekU;  erksa  dh  la[;k"	""	""	""	""	""	"dqy  fof/kekU;  er"	"fufonr  erks  dh  la[;k"	"izfr{ksfir  eri=ksa  dh  la-"	"dqy  fof/kekU;  ,oa  izfr{ksfir erks  dh  la[;k"
"240"	""	"fnus'k pUnz  ;kno"	"pkS/kjh egcwc  vyh dSlj"	"lqHkk\"k pkS/kjh"	"xksiky  d`\".k flag"	"tQj  vkye"	"uteqy  gqnk m|hu"	""	""	""	""
"241"	"ROUND- XIII"	""	""	""	""	""	""	""	""	""	""
