"Form...20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"
"17"	"7"	"7-R"	"23"	"266"	"13"	"16"	"13"	"3"	"9"	"1"	"2"	"4"	"14"	"134"	"10"	"5"	"0"	"10"	"1"	"1"	"0"	"0"	"2"	"527"	"0"	"527"	"0"
"18"	"8"	"8"	"4"	"204"	"4"	"62"	"4"	"1"	"2"	"1"	"0"	"3"	"6"	"102"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"394"	"0"	"394"	"0"
"19"	"9"	"9"	"4"	"271"	"1"	"2"	"8"	"0"	"0"	"0"	"2"	"3"	"3"	"290"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"585"	"0"	"585"	"0"
"20"	"10"	"10"	"0"	"415"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"1"	"2"	"454"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"877"	"0"	"877"	"0"
"21"	"11"	"11"	"2"	"118"	"0"	"9"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"345"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"480"	"0"	"480"	"0"
"22"	"12"	"12"	"4"	"118"	"16"	"8"	"14"	"1"	"3"	"2"	"0"	"1"	"6"	"96"	"2"	"4"	"4"	"2"	"4"	"5"	"2"	"0"	"3"	"295"	"0"	"295"	"0"
"23"	"13"	"13"	"1"	"146"	"0"	"0"	"6"	"0"	"0"	"2"	"0"	"1"	"4"	"165"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"328"	"0"	"328"	"0"
"24"	"14"	"14"	"0"	"87"	"1"	"5"	"5"	"0"	"2"	"0"	"0"	"1"	"1"	"470"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"575"	"0"	"575"	"0"
"25"	"Total Votes Polled"	""	"66"	"2726"	"86"	"160"	"119"	"15"	"24"	"11"	"13"	"39"	"65"	"4064"	"40"	"33"	"23"	"39"	"15"	"12"	"5"	"5"	"11"	"7571"	"0"	"7571"	"0"
"26"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"Place - Nawada"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"Date - 08/05/2013"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	"Assistant Retuning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"30"	"239- Nawada Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"31"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"32"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"33"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"34"	"Election to the State Legislative Assembly from the 239 - Nawada Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"35"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"36"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"37"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"38"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"39"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"40"	"Table No."	"No. & Name of Polling Station"	"BRAJESH KUMAR"	"RAJBALLABH PRASAD"	"SHATRUGHAN PRASAD SINGH"	"SANJAY KUMAR"	"FAKHRUDDIN ALI AHMAD"	"SIDHESHWAR SHARMA"	"ARUN KUMAR"	"MD. ANWAR KHAN"	"ISHTEKHAR AHMAD"	"DILIP KUMAR"	"NIRANJAN KUMAR SINGH"	"PURNIMA YADAV"	"BIRENDRA YADAV"	"MAHENDRA YADAV"	"MUNDRIKA PRASAD"	"MOHAN SAW"	"RAJKUMAR VERMA"	"RAJENDRA SINGH"	"RAMBALAK PRASAD"	"RITESH KUMAR"	"SURESH PRASAD YADAV"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"41"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"
"42"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"43"	"1"	"15"	"3"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"396"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"415"	"0"	"415"	"0"
"44"	"2"	"16"	"0"	"38"	"3"	"6"	"4"	"0"	"1"	"0"	"0"	"0"	"1"	"386"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"440"	"0"	"440"	"0"
"45"	"3"	"17"	"2"	"106"	"2"	"8"	"11"	"1"	"3"	"2"	"1"	"2"	"4"	"242"	"7"	"0"	"1"	"3"	"1"	"0"	"0"	"1"	"1"	"398"	"0"	"398"	"0"
"46"	"4"	"18"	"5"	"53"	"3"	"1"	"12"	"0"	"0"	"3"	"0"	"2"	"4"	"689"	"2"	"1"	"3"	"1"	"1"	"0"	"0"	"0"	"1"	"781"	"0"	"781"	"0"
"47"	"5"	"19"	"0"	"322"	"1"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"380"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"712"	"0"	"712"	"0"
"48"	"6"	"20"	"0"	"66"	"2"	"3"	"6"	"1"	"0"	"0"	"1"	"1"	"1"	"701"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"782"	"0"	"782"	"0"
"49"	"7"	"21"	"0"	"50"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"566"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"618"	"0"	"618"	"0"
"50"	"8"	"22"	"2"	"57"	"5"	"2"	"1"	"0"	"2"	"0"	"0"	"1"	"0"	"32"	"0"	"0"	"1"	"3"	"2"	"1"	"0"	"0"	"3"	"112"	"0"	"112"	"0"
"51"	"9"	"23"	"1"	"102"	"0"	"2"	"81"	"2"	"3"	"0"	"1"	"4"	"9"	"201"	"6"	"3"	"1"	"2"	"0"	"0"	"0"	"0"	"2"	"420"	"0"	"420"	"0"
"52"	"10"	"24"	"10"	"136"	"1"	"38"	"28"	"0"	"3"	"1"	"2"	"1"	"5"	"86"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"312"	"0"	"312"	"0"
"53"	"11"	"25"	"1"	"69"	"4"	"1"	"14"	"3"	"1"	"0"	"2"	"0"	"0"	"140"	"6"	"3"	"3"	"7"	"0"	"2"	"0"	"0"	"9"	"265"	"0"	"265"	"0"
"54"	"12"	"26-R"	"9"	"173"	"3"	"4"	"19"	"1"	"2"	"2"	"1"	"0"	"2"	"220"	"1"	"0"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"440"	"0"	"440"	"0"
"55"	"13"	"27"	"3"	"633"	"9"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"651"	"0"	"651"	"0"
"56"	"14"	"28"	"0"	"177"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"146"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"325"	"0"	"325"	"0"
"57"	"Total Votes Polled"	""	"36"	"1997"	"33"	"72"	"176"	"10"	"15"	"9"	"8"	"11"	"29"	"4188"	"27"	"8"	"10"	"17"	"4"	"4"	"0"	"1"	"16"	"6671"	"0"	"6671"	"0"
"58"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"59"	"Place - Nawada"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"60"	"Date - 08/05/2013"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"61"	"Assistant Retuning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"62"	"239- Nawada Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"63"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"64"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"65"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"66"	"Election to the State Legislative Assembly from the 239 - Nawada Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"67"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"68"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"69"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"70"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"71"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"72"	"Table No."	"No. & Name of Polling Station"	"BRAJESH KUMAR"	"RAJBALLABH PRASAD"	"SHATRUGHAN PRASAD SINGH"	"SANJAY KUMAR"	"FAKHRUDDIN ALI AHMAD"	"SIDHESHWAR SHARMA"	"ARUN KUMAR"	"MD. ANWAR KHAN"	"ISHTEKHAR AHMAD"	"DILIP KUMAR"	"NIRANJAN KUMAR SINGH"	"PURNIMA YADAV"	"BIRENDRA YADAV"	"MAHENDRA YADAV"	"MUNDRIKA PRASAD"	"MOHAN SAW"	"RAJKUMAR VERMA"	"RAJENDRA SINGH"	"RAMBALAK PRASAD"	"RITESH KUMAR"	"SURESH PRASAD YADAV"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"73"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"
"74"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"75"	"1"	"29"	"7"	"290"	"22"	"12"	"6"	"4"	"0"	"0"	"0"	"0"	"1"	"18"	"0"	"2"	"2"	"2"	"1"	"0"	"0"	"0"	"1"	"368"	"0"	"368"	"0"
"76"	"2"	"30"	"2"	"620"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"5"	"0"	"0"	"0"	"630"	"0"	"630"	"0"
"77"	"3"	"31"	"0"	"800"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"805"	"0"	"805"	"0"
"78"	"4"	"32"	"1"	"132"	"10"	"5"	"10"	"1"	"1"	"0"	"0"	"0"	"2"	"120"	"0"	"1"	"1"	"3"	"0"	"0"	"1"	"0"	"2"	"290"	"0"	"290"	"0"
"79"	"5"	"33"	"7"	"291"	"5"	"4"	"18"	"4"	"3"	"5"	"2"	"5"	"8"	"177"	"3"	"8"	"4"	"13"	"1"	"0"	"0"	"0"	"1"	"559"	"0"	"559"	"0"
"80"	"6"	"34"	"6"	"354"	"15"	"5"	"25"	"0"	"1"	"1"	"0"	"2"	"2"	"140"	"2"	"1"	"2"	"5"	"1"	"2"	"1"	"2"	"3"	"570"	"0"	"570"	"0"
"81"	"7"	"35-R"	"11"	"183"	"4"	"2"	"20"	"1"	"2"	"1"	"1"	"3"	"3"	"115"	"4"	"4"	"3"	"6"	"1"	"4"	"1"	"1"	"4"	"374"	"0"	"374"	"0"
"82"	"8"	"36"	"4"	"30"	"7"	"1"	"20"	"0"	"1"	"2"	"4"	"4"	"4"	"159"	"2"	"4"	"1"	"4"	"2"	"2"	"1"	"0"	"3"	"255"	"0"	"255"	"0"
"83"	"9"	"37"	"3"	"104"	"3"	"1"	"7"	"1"	"2"	"3"	"1"	"0"	"9"	"188"	"2"	"1"	"2"	"5"	"1"	"1"	"0"	"0"	"1"	"335"	"0"	"335"	"0"
"84"	"10"	"38"	"11"	"210"	"10"	"26"	"15"	"3"	"5"	"3"	"2"	"6"	"8"	"288"	"5"	"1"	"2"	"5"	"2"	"2"	"2"	"1"	"3"	"610"	"0"	"610"	"0"
"85"	"11"	"39"	"8"	"227"	"0"	"24"	"4"	"2"	"0"	"0"	"0"	"1"	"0"	"108"	"0"	"0"	"0"	"3"	"0"	"0"	"1"	"0"	"1"	"379"	"0"	"379"	"0"
"86"	"12"	"40"	"10"	"167"	"3"	"47"	"25"	"2"	"4"	"0"	"3"	"8"	"7"	"198"	"11"	"7"	"3"	"3"	"1"	"0"	"0"	"2"	"1"	"502"	"0"	"502"	"0"
"87"	"13"	"41"	"0"	"5"	"0"	"1"	"11"	"1"	"1"	"0"	"0"	"0"	"3"	"358"	"2"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"384"	"0"	"384"	"0"
"88"	"14"	"42"	"0"	"1"	"0"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"182"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"190"	"0"	"190"	"0"
"89"	"Total Votes Polled"	""	"70"	"3414"	"79"	"131"	"168"	"20"	"21"	"15"	"13"	"29"	"47"	"2052"	"31"	"30"	"20"	"50"	"10"	"17"	"7"	"6"	"21"	"6251"	"0"	"6251"	"0"
"90"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"91"	"Place - Nawada"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"92"	"Date - 08/05/2013"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"93"	"Assistant Retuning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"94"	"239- Nawada Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"95"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"96"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"97"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"98"	"Election to the State Legislative Assembly from the 239 - Nawada Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"99"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"100"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"101"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"102"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"103"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"104"	"Table No."	"No. & Name of Polling Station"	"BRAJESH KUMAR"	"RAJBALLABH PRASAD"	"SHATRUGHAN PRASAD SINGH"	"SANJAY KUMAR"	"FAKHRUDDIN ALI AHMAD"	"SIDHESHWAR SHARMA"	"ARUN KUMAR"	"MD. ANWAR KHAN"	"ISHTEKHAR AHMAD"	"DILIP KUMAR"	"NIRANJAN KUMAR SINGH"	"PURNIMA YADAV"	"BIRENDRA YADAV"	"MAHENDRA YADAV"	"MUNDRIKA PRASAD"	"MOHAN SAW"	"RAJKUMAR VERMA"	"RAJENDRA SINGH"	"RAMBALAK PRASAD"	"RITESH KUMAR"	"SURESH PRASAD YADAV"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"105"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"
"106"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"107"	"1"	"43"	"15"	"103"	"5"	"15"	"10"	"5"	"2"	"0"	"1"	"1"	"2"	"86"	"5"	"17"	"6"	"5"	"2"	"3"	"2"	"0"	"4"	"289"	"0"	"289"	"0"
"108"	"2"	"44"	"1"	"96"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"402"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"502"	"0"	"502"	"0"
"109"	"3"	"45"	"16"	"155"	"8"	"81"	"14"	"16"	"1"	"3"	"1"	"1"	"3"	"177"	"3"	"3"	"3"	"5"	"0"	"0"	"2"	"4"	"5"	"501"	"0"	"501"	"0"
"110"	"4"	"46"	"6"	"78"	"3"	"1"	"106"	"6"	"7"	"1"	"5"	"3"	"5"	"98"	"2"	"4"	"1"	"7"	"1"	"0"	"0"	"0"	"2"	"336"	"0"	"336"	"0"
"111"	"5"	"47"	"3"	"93"	"154"	"17"	"11"	"2"	"1"	"0"	"2"	"0"	"1"	"117"	"1"	"2"	"1"	"2"	"3"	"4"	"3"	"1"	"2"	"420"	"0"	"420"	"0"
"112"	"6"	"48"	"14"	"162"	"6"	"2"	"27"	"1"	"2"	"1"	"4"	"8"	"8"	"170"	"4"	"3"	"3"	"3"	"4"	"4"	"1"	"0"	"3"	"430"	"0"	"430"	"0"
"113"	"7"	"49"	"7"	"223"	"11"	"3"	"53"	"7"	"6"	"7"	"1"	"11"	"7"	"137"	"4"	"3"	"4"	"17"	"0"	"2"	"0"	"1"	"1"	"505"	"0"	"505"	"0"
"114"	"8"	"50"	"24"	"438"	"11"	"18"	"16"	"1"	"3"	"0"	"1"	"5"	"4"	"73"	"4"	"1"	"4"	"2"	"0"	"2"	"0"	"0"	"1"	"608"	"0"	"608"	"0"
"115"	"9"	"51"	"217"	"47"	"9"	"67"	"10"	"1"	"3"	"2"	"1"	"3"	"8"	"29"	"0"	"0"	"2"	"2"	"4"	"1"	"0"	"0"	"0"	"406"	"0"	"406"	"0"
"116"	"10"	"52"	"123"	"85"	"13"	"46"	"1"	"1"	"0"	"0"	"0"	"1"	"2"	"7"	"3"	"8"	"6"	"14"	"5"	"1"	"1"	"2"	"2"	"321"	"0"	"321"	"0"
"117"	"11"	"53"	"71"	"353"	"8"	"40"	"5"	"3"	"2"	"0"	"1"	"0"	"2"	"105"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"592"	"0"	"592"	"0"
"118"	"12"	"54"	"0"	"901"	"2"	"0"	"3"	"0"	"1"	"0"	"0"	"2"	"1"	"69"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"981"	"0"	"981"	"0"
"119"	"13"	"55"	"13"	"139"	"9"	"7"	"37"	"2"	"6"	"2"	"3"	"5"	"4"	"94"	"3"	"3"	"12"	"15"	"3"	"9"	"1"	"1"	"10"	"378"	"0"	"378"	"0"
"120"	"14"	"56"	"1"	"610"	"1"	"7"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"17"	"0"	"1"	"0"	"0"	"0"	"5"	"0"	"0"	"0"	"645"	"0"	"645"	"0"
"121"	"Total Votes Polled"	""	"511"	"3483"	"240"	"305"	"294"	"45"	"36"	"16"	"20"	"40"	"48"	"1581"	"30"	"46"	"42"	"74"	"22"	"32"	"10"	"9"	"30"	"6914"	"0"	"6914"	"0"
"122"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"123"	"Place - Nawada"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"124"	"Date - 08/05/2013"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"125"	"Assistant Retuning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"126"	"239- Nawada Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"127"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"128"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"129"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"130"	"Election to the State Legislative Assembly from the 239 - Nawada Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"131"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"132"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"133"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"134"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"135"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
