"PS.NO"	"GULAM.RASUL"	"DINESH.PRASAD"	"HIND.KESARI.YADAV"	"DWARIKA.NATH.PRASAD"	"RAGHUNATH.PRASAD"	"LALLI.DEVI"	"BINDESHWAR.SAH"	"VINOD.KUMAR.KUSHWAHA"	"UMA.SHANKAR.RAM"	"KULDEEP.RAM"	"GANGA.PRASAD.SINGH"	"JAGAT.NARAYAN.RAM"	"DINESH.RAY"	"PRAKASH.SINGH"	"BHIKHARI.RAM"	"BHONU.RAM"	"RAMPUKAR.BAITHA"	"SINGH"	"LALAN.BAITHA"	"SHANKAR.PASWAN"	"SURESH.RAM"	"HIRA.RAM"	"HIRALAL.RAM"	"TOTAL.OF.VALID.VOTES"	"TOTAL.NO.OF.TENDER.VOTES"	"TOTAL.VOTES"
"57"	55	6	92	259	20	13	3	30	4	5	4	6	7	11	24	7	20	0	3	3	4	1	1	3	-526	0	-526
"58"	56	13	234	106	10	9	5	74	9	3	8	4	3	6	15	9	19	4	3	3	2	1	2	4	-546	0	-546
"59"	57	3	80	17	2	6	2	66	2	1	1	0	4	2	2	2	13	10	8	6	5	7	6	9	-254	0	-254
"60"	58	0	33	439	0	0	0	17	0	1	0	0	1	4	0	0	0	0	1	0	0	0	0	0	-496	0	-496
"61"	59	6	130	78	4	9	1	20	7	5	2	5	7	6	24	12	14	0	3	1	3	0	0	2	-339	0	-339
"62"	60	8	142	152	14	12	5	52	7	2	2	5	10	15	109	8	21	2	2	6	0	0	1	7	-582	0	-582
"63"	61	4	3	296	5	1	4	1	1	6	1	3	1	203	5	5	8	1	0	1	0	0	0	1	-550	0	-550
"64"	62	6	64	149	6	5	2	31	1	1	1	3	7	67	10	5	12	0	0	3	2	0	1	0	-376	0	-376
"65"	63	17	134	134	6	5	13	91	4	2	3	2	1	4	14	5	10	0	2	4	2	1	3	1	-458	0	-458
"66"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"67"	64	26	283	142	10	8	3	40	0	5	1	4	1	2	26	1	2	4	1	10	4	3	4	3	-583	0	-583
"68"	65	65	154	160	19	9	2	40	7	6	10	4	1	8	21	9	40	9	7	17	1	1	5	4	-599	0	-599
"69"	66	35	32	202	19	2	4	15	3	0	0	3	4	2	15	6	17	4	0	5	1	1	0	2	-372	0	-372
"70"	67	15	12	342	20	7	3	8	3	2	6	1	0	6	12	7	17	14	4	17	8	5	3	5	-517	0	-517
"71"	68	5	8	162	8	5	0	4	1	3	1	0	1	3	4	0	2	0	1	0	0	1	0	1	-210	0	-210
"72"	69	13	245	55	4	10	4	54	7	5	3	9	3	8	10	5	14	6	11	13	6	5	11	8	-509	0	-509
"73"	70	10	276	73	3	13	6	74	8	6	7	4	4	12	15	9	18	1	3	6	2	3	1	2	-556	0	-556
"74"	71	11	51	262	33	15	2	19	7	2	3	7	6	9	17	6	21	2	1	5	1	5	1	6	-492	0	-492
"75"	72	8	135	119	6	3	3	25	0	2	2	2	3	3	11	6	17	27	13	12	14	12	11	21	-455	0	-455
"76"	73	2	250	7	0	0	7	1	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	-271	0	-271
"77"	74	0	2	541	7	1	0	7	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	-560	0	-560
"78"	75	6	204	38	5	12	3	12	8	3	7	3	8	10	13	9	14	0	2	2	3	0	0	1	-363	0	-363
"79"	76	6	393	129	6	14	10	53	6	3	9	7	9	7	14	8	24	3	1	7	3	1	3	7	-723	0	-723
"80"	77	0	4	624	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-630	0	-630
"81"	78	3	85	156	5	4	0	8	2	1	2	5	3	47	1	2	4	8	8	5	3	4	0	10	-366	0	-366
"82"	79	3	359	53	7	6	9	82	7	2	3	0	0	3	17	5	4	1	0	2	1	1	3	0	-568	0	-568
"83"	80	2	168	39	6	5	2	21	2	3	1	7	1	10	125	4	12	1	1	4	2	0	2	4	-422	0	-422
"84"	81	3	84	10	1	12	4	56	4	2	4	3	4	2	174	0	8	0	0	2	0	0	0	1	-374	0	-374
"85"	82	10	139	33	6	1	5	43	6	1	7	6	5	7	118	4	17	11	6	8	4	3	4	6	-450	0	-450
"86"	83	9	143	90	6	8	10	75	5	6	7	14	1	1	37	0	1	5	4	1	2	0	1	1	-427	0	-427
"87"	84	1	174	12	1	1	108	2	0	0	0	0	1	0	15	0	1	0	0	0	0	0	0	0	-316	0	-316
"88"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"89"	85	0	123	7	0	0	1	0	2	0	0	69	0	1	23	1	0	0	0	0	0	0	0	0	-227	0	-227
"90"	86	6	102	90	8	7	10	94	8	7	2	4	1	4	2	5	13	2	0	1	0	0	3	5	-374	0	-374
"91"	87	10	105	134	20	3	6	48	2	10	4	4	1	3	26	3	11	0	6	9	4	2	9	8	-428	0	-428
"92"	88	4	320	22	2	3	5	51	2	2	1	4	0	1	12	0	2	0	0	0	0	0	0	0	-431	0	-431
"93"	89	3	222	20	0	0	0	8	0	0	0	5	0	0	2	0	0	0	0	0	0	0	0	0	-260	0	-260
"94"	90	9	17	377	8	4	2	28	0	2	1	0	1	2	4	4	12	2	2	7	2	1	0	1	-486	0	-486
"95"	91	2	39	12	0	2	0	110	2	6	3	2	2	1	7	0	18	0	3	0	1	0	1	0	-211	0	-211
"96"	92	19	249	236	25	18	9	15	1	2	5	8	6	7	27	13	25	0	6	7	2	1	5	3	-689	0	-689
"97"	93	22	342	62	6	7	5	56	2	6	14	5	1	3	6	4	3	5	1	2	0	1	2	2	-557	0	-557
"98"	94	2	71	292	13	2	2	22	0	1	4	1	2	2	8	4	9	0	2	11	4	3	1	4	-460	0	-460
"99"	95	4	71	173	11	2	8	37	3	4	4	2	1	4	4	2	13	2	3	7	1	0	2	2	-360	0	-360
"100"	96	10	254	84	9	6	2	42	3	4	3	4	4	2	13	9	15	5	5	2	0	3	1	2	-482	0	-482
"101"	97	4	156	110	9	11	0	54	5	3	5	3	1	5	7	5	5	5	3	6	2	1	2	6	-408	0	-408
"102"	98	3	137	42	4	4	8	82	29	7	2	12	3	7	11	11	27	1	1	3	2	2	2	3	-403	0	-403
"103"	99	15	140	222	22	9	6	208	15	9	11	19	3	2	21	8	30	1	3	3	0	3	4	2	-756	0	-756
"104"	100	12	118	156	12	4	3	79	4	7	6	6	1	5	3	4	10	17	4	6	5	4	12	9	-487	0	-487
"105"	101	9	419	38	8	9	8	272	5	11	12	7	1	5	34	3	9	0	0	2	0	1	1	2	-856	0	-856
"106"	102	7	171	172	19	6	6	171	6	6	7	7	1	1	14	4	9	0	0	0	0	0	0	0	-607	0	-607
"107"	103	10	137	108	13	4	7	30	4	7	1	1	1	2	4	4	0	1	0	0	0	1	1	0	-336	0	-336
"108"	104	6	203	149	14	8	5	76	9	8	2	3	4	7	10	8	21	4	6	6	3	2	1	7	-562	0	-562
"109"	105	5	483	103	2	3	2	142	2	3	2	3	4	4	9	5	17	0	4	0	1	1	2	1	-798	0	-798
"110"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"111"	106	8	469	69	7	7	11	83	5	5	2	2	1	1	3	3	3	2	4	1	1	2	0	6	-695	0	-695
"112"	107	1	157	168	11	3	4	117	13	6	8	3	1	4	11	5	20	2	6	5	2	1	1	3	-552	0	-552
"113"	108	10	157	73	5	4	3	284	9	4	1	4	2	1	2	3	8	8	1	6	0	2	6	7	-600	0	-600
"114"	109	5	364	36	3	2	2	117	3	4	2	1	7	2	7	4	10	0	4	5	1	0	0	8	-587	0	-587
"115"	110	15	300	181	10	3	3	52	1	5	3	4	4	2	6	4	13	0	0	1	0	0	0	0	-607	0	-607
"116"	111	12	339	208	13	5	4	67	1	4	1	1	2	4	10	6	11	3	7	8	1	1	3	5	-716	0	-716
"117"	112	1	156	31	1	1	4	144	5	5	3	0	1	3	1	2	10	4	5	5	1	3	6	3	-395	0	-395
"118"	113	40	121	308	25	8	10	161	10	10	5	3	8	4	6	2	8	12	6	6	2	3	7	12	-777	0	-777
"119"	114	13	308	139	12	16	9	174	10	17	8	8	9	3	14	3	9	3	4	0	1	0	4	1	-765	0	-765
"120"	115	17	144	57	11	2	5	107	1	10	5	1	1	4	10	1	2	4	2	2	0	0	2	4	-392	0	-392
"121"	116	3	214	124	21	11	10	131	4	6	2	6	4	4	10	7	13	1	1	1	5	2	4	8	-592	0	-592
"122"	117	12	164	200	26	8	3	83	3	5	2	4	3	0	3	2	1	6	3	3	2	0	2	3	-538	0	-538
"123"	118	5	190	93	8	16	3	59	5	5	7	4	5	2	18	12	15	1	0	4	0	1	0	7	-460	0	-460
"124"	119	6	108	206	13	12	3	77	11	5	1	5	1	5	14	7	13	7	5	5	2	3	5	11	-525	0	-525
"125"	120	6	397	47	13	27	6	110	16	4	2	3	1	3	36	8	2	2	6	4	1	1	1	0	-696	0	-696
"126"	121	5	25	214	13	1	0	13	1	0	0	3	1	1	4	1	6	5	1	1	2	0	1	0	-298	0	-298
"127"	122	17	220	121	7	4	3	115	0	3	4	3	5	5	5	11	6	2	3	0	0	2	0	1	-537	0	-537
"128"	123	16	198	65	8	14	6	143	10	12	8	8	1	5	9	8	12	7	7	5	1	0	3	7	-553	0	-553
"129"	124	8	54	287	27	0	7	199	8	5	5	4	0	1	1	3	1	0	1	1	1	1	3	3	-620	0	-620
"130"	125	14	227	82	11	13	3	110	10	3	8	4	0	3	5	4	9	8	6	9	3	4	8	6	-550	0	-550
"131"	126	8	462	9	0	2	0	23	0	0	0	2	0	0	2	2	1	2	0	3	0	0	0	0	-516	0	-516
"132"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"133"	127	0	17	562	0	1	3	6	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-591	0	-591
"134"	128	4	200	43	7	2	0	67	0	0	0	0	0	0	1	1	0	3	1	0	0	1	0	1	-331	0	-331
"135"	129	7	36	193	11	3	1	3	0	1	3	0	2	2	11	5	11	4	1	9	3	4	5	3	-318	0	-318
"136"	130	0	27	438	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-466	0	-466
"137"	131	2	270	142	7	7	2	18	1	1	2	2	2	0	3	3	2	2	1	1	0	1	1	1	-471	0	-471
"138"	132	6	372	55	7	4	3	132	7	3	3	3	4	5	20	5	19	1	1	2	1	2	4	0	-659	0	-659
"139"	133	12	240	69	6	6	11	34	11	6	4	45	0	7	12	10	20	2	5	3	2	1	3	4	-513	0	-513
"140"	134	5	49	45	2	34	2	26	2	0	3	76	1	2	5	2	7	0	1	1	0	1	1	2	-267	0	-267
"141"	135	0	1	0	0	0	6	0	0	0	0	503	0	0	1	0	0	3	0	0	0	0	0	0	-514	0	-514
"142"	136	0	1	357	0	0	0	1	2	0	0	13	1	0	1	0	0	0	0	0	0	0	0	0	-376	0	-376
"143"	137	3	161	57	5	5	0	11	3	3	2	92	0	1	9	2	2	2	1	3	0	0	0	0	-362	0	-362
"144"	138	0	17	493	3	1	1	7	0	0	0	0	0	1	1	1	0	0	1	0	0	0	2	0	-528	0	-528
"145"	139	3	74	90	10	1	4	3	1	1	1	2	1	2	2	1	6	1	1	3	5	1	1	1	-215	0	-215
"146"	140	5	83	35	2	2	1	10	0	0	1	2	1	0	3	3	2	2	0	2	1	0	0	3	-158	0	-158
"147"	141	8	117	77	5	7	5	37	5	6	4	4	5	5	11	9	34	6	3	6	3	0	4	6	-367	0	-367
"148"	142	7	120	17	7	4	1	21	4	4	3	4	4	5	6	7	14	3	0	2	0	2	1	2	-238	0	-238
"149"	143	19	35	150	22	2	4	148	2	6	2	1	2	0	2	0	4	4	0	0	0	0	1	4	-408	0	-408
"150"	144	21	87	150	16	6	7	80	9	6	4	5	2	1	6	3	11	2	1	1	2	1	3	4	-428	0	-428
"151"	145	0	83	414	1	5	0	0	0	0	0	0	0	0	5	3	2	0	0	0	1	0	1	1	-516	0	-516
"152"	146	12	99	388	37	4	6	65	6	2	4	5	0	3	17	8	14	0	0	3	1	2	3	2	-681	0	-681
"153"	147	0	5	635	0	0	2	29	1	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	-676	0	-676
"154"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"155"	148	8	112	195	6	3	3	48	1	0	4	3	2	5	3	1	17	1	0	1	0	0	0	0	-413	NA	-413
"156"	149	20	6	350	1	0	0	23	10	0	2	0	1	0	2	1	2	2	0	0	0	0	0	0	-420	0	-420
"157"	150	3	67	322	8	4	4	9	1	0	2	0	0	2	1	1	3	0	5	29	1	2	2	6	-472	0	-472
"158"	151	9	249	53	3	8	3	12	6	5	6	1	4	8	39	27	26	8	4	4	1	6	3	6	-491	0	-491
"159"	152	6	92	111	18	4	9	104	8	10	6	13	8	7	13	6	30	3	6	2	5	2	3	8	-474	0	-474
"160"	153	3	282	99	4	5	2	108	16	9	3	2	5	3	10	6	9	0	1	3	1	0	2	1	-574	0	-574
"161"	154	8	133	290	19	8	7	52	2	3	3	3	1	6	17	6	8	1	2	6	1	0	0	4	-580	0	-580
"162"	155	5	222	73	10	1	3	85	9	2	4	3	4	1	4	5	9	1	6	6	5	1	2	2	-463	0	-463
"163"	156	6	198	105	10	7	0	29	9	2	3	2	1	1	5	1	2	3	3	5	3	1	4	2	-402	0	-402
"164"	157	5	232	85	5	1	1	95	7	5	0	1	1	3	5	2	10	1	2	0	1	0	1	1	-464	0	-464
"165"	158	9	163	242	15	10	2	42	12	6	0	5	4	2	5	2	4	1	2	1	1	0	1	0	-529	0	-529
"166"	159	12	154	49	2	8	5	14	109	8	8	7	2	4	7	3	12	1	0	1	0	1	0	0	-407	0	-407
"167"	160	7	224	77	10	3	9	15	52	8	3	10	2	6	6	1	8	12	10	16	13	10	9	7	-518	0	-518
"168"	161	5	315	12	1	3	1	25	7	0	0	2	1	0	1	1	4	0	2	1	0	0	0	0	-381	0	-381
"169"	162	10	91	112	5	2	4	122	1	3	1	1	1	0	12	3	4	1	0	5	2	1	0	1	-382	0	-382
"170"	163	6	96	230	27	8	5	16	3	3	3	2	3	2	28	6	2	0	2	5	2	1	1	4	-455	0	-455
"171"	164	0	398	169	0	0	0	64	0	2	0	2	0	0	9	1	0	0	1	1	0	0	0	0	-647	0	-647
"172"	165	3	105	250	26	8	4	30	4	2	3	0	2	8	43	6	14	2	4	8	3	1	1	2	-529	0	-529
"173"	166	3	193	53	3	2	0	43	16	1	4	2	2	0	237	1	1	4	3	29	2	1	3	3	-606	0	-606
"174"	167	7	2	23	6	0	3	201	15	11	2	2	1	0	3	3	11	5	1	2	0	2	1	2	-303	0	-303
"175"	168	1	45	278	7	1	2	22	4	3	3	2	0	1	3	1	1	1	0	3	0	0	0	2	-380	0	-380
"176"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"177"	169	4	220	270	7	3	3	19	6	2	1	1	1	3	6	3	3	1	0	4	2	1	3	3	566	0	566
"178"	170	3	219	46	6	8	4	8	2	5	6	7	4	4	33	7	14	3	1	4	1	4	1	5	395	0	395
"179"	171	1	3	531	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	2	0	541	0	541
"180"	172	8	181	122	6	5	3	182	3	5	2	1	2	2	7	3	9	0	0	1	0	2	0	2	546	0	546
"181"	173	12	47	150	11	6	3	28	3	4	6	1	3	5	7	5	5	1	4	3	2	2	1	2	311	0	311
"182"	174	4	170	121	7	6	2	18	1	6	2	0	1	2	5	2	8	0	1	4	1	0	1	2	364	0	364
"183"	175	26	196	179	19	12	6	64	4	3	4	2	4	2	5	5	6	9	7	4	2	2	2	3	566	0	566
"184"	176	5	141	132	13	1	6	109	3	6	4	2	5	8	9	8	5	2	0	3	2	1	1	1	467	0	467
"185"	177	1	10	421	3	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	441	0	441
"186"	178	2	11	537	10	1	0	2	0	0	0	0	0	0	1	1	1	0	0	1	1	0	0	0	568	0	568
"187"	179	11	63	346	19	9	3	10	1	5	3	1	0	5	17	4	14	2	2	7	2	0	1	7	532	0	532
"188"	180	8	152	285	6	3	1	62	28	8	3	10	6	4	4	4	13	8	1	2	2	1	4	2	617	0	617
"189"	181	9	92	325	15	5	4	19	18	1	4	3	0	2	2	2	1	1	1	0	0	0	0	1	505	0	505
"190"	182	6	111	60	10	21	9	143	26	13	11	13	3	9	12	5	11	2	1	4	1	3	3	2	479	0	479
"191"	183	2	278	15	4	4	3	171	3	6	2	4	1	3	7	0	5	1	1	1	0	2	2	0	515	0	515
"192"	184	4	204	171	6	5	1	70	2	2	2	2	2	0	4	4	13	3	1	4	1	2	6	9	518	0	518
"193"	185	1	24	335	4	0	1	10	1	1	0	0	1	0	3	1	7	0	1	0	0	0	1	0	391	0	391
"194"	186	5	73	318	20	5	4	157	9	4	1	4	1	2	10	2	1	0	0	2	0	0	0	0	618	0	618
"195"	187	4	13	358	13	0	0	11	3	1	0	3	2	3	3	3	10	0	0	0	0	0	0	1	428	0	428
"196"	188	3	136	358	9	10	3	5	54	2	1	5	2	5	9	4	5	1	0	3	0	1	0	1	617	0	617
"197"	189	8	303	214	9	10	4	27	13	1	1	7	4	6	12	10	18	2	5	4	3	2	2	5	670	0	670
"198"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"199"	190	4	44	185	5	1	2	51	8	2	1	1	0	0	3	2	6	0	1	2	1	1	0	1	321	0	321
"200"	191	8	75	435	16	4	11	59	22	2	6	3	1	7	9	7	11	0	0	1	0	0	1	0	678	0	678
"201"	192	5	55	374	20	4	2	64	4	2	2	2	0	0	2	1	0	5	1	0	0	1	2	2	548	0	548
"202"	193	13	82	154	11	51	6	107	11	5	3	1	2	0	5	2	4	3	0	1	1	1	0	0	463	0	-463
"203"	194	5	102	113	17	8	4	22	89	1	4	7	3	2	1	0	3	3	1	1	2	0	0	1	389	0	-389
"204"	195	9	311	127	10	7	3	5	27	7	5	15	4	4	8	11	16	2	2	0	1	0	1	5	580	0	-580
"205"	196	13	40	451	18	11	21	75	54	4	8	20	5	6	7	6	14	2	1	2	1	2	2	7	-770	0	-770
"206"	197	7	203	105	6	13	8	17	60	7	8	13	4	3	3	9	11	8	25	11	4	6	3	7	-541	0	-541
"207"	198	5	122	330	4	4	3	136	8	4	4	1	3	7	14	11	26	3	0	1	0	1	0	3	-690	0	-690
"208"	NA	4	393	107	7	14	3	27	1	6	5	3	4	3	6	7	5	0	0	0	0	1	2	3	-601	0	-601
"209"	NA	1630	30992	32849	1863	1249	863	10106	1282	726	626	1479	509	1025	5237	975	2003	581	505	974	336	283	387	647	97127	0	97127
"210"	NA	NA	NA	NA	NA	NA	NA	NA	NA	97127	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"211"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"212"	NA	NA	NA	NA	NA	NA	NA	NA	NA	97127	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"213"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"214"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
