"Sl..No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"Total.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendered.Votes"
"56"	""	"1"	"2"	"3"	"4"	"5"	""	""	""	""
"57"	"43"	"12"	"296"	"56"	"19"	"8"	"391"	""	"391"	""
"58"	"44"	"13"	"137"	"47"	"136"	"27"	"360"	""	"360"	""
"59"	"45"	"16"	"66"	"300"	"179"	"21"	"582"	""	"582"	""
"60"	"46"	"22"	"66"	"232"	"103"	"11"	"434"	""	"434"	""
"61"	"47"	"33"	"139"	"148"	"258"	"34"	"612"	""	"612"	""
"62"	"48"	"9"	"117"	"170"	"47"	"11"	"354"	""	"354"	""
"63"	"49"	"1"	"26"	"114"	"6"	"-"	"147"	""	"147"	""
"64"	"50"	"36"	"90"	"154"	"213"	"16"	"509"	""	"509"	""
"65"	"51"	"5"	"503"	"51"	"29"	"9"	"597"	""	"597"	""
"66"	"52"	"16"	"168"	"166"	"47"	"10"	"407"	""	"407"	""
"67"	"53"	"15"	"146"	"188"	"82"	"17"	"448"	""	"448"	""
"68"	"54"	"16"	"249"	"47"	"31"	"9"	"352"	""	"352"	""
"69"	"55"	"21"	"262"	"68"	"116"	"11"	"478"	""	"478"	""
"70"	"56"	"5"	"387"	"17"	"58"	"3"	"470"	""	"470"	""
"71"	"Total Round 4"	"220"	"2652"	"1758"	"1324"	"187"	"6141"	"0"	"6141"	"0"
"72"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"73"	""	"PALTAN RAM"	"RAMPRIT PASWAN"	"RAM LASHAN RAM RAMAN"	"DHANVIR PASWAN"	"VESHLAL PASWAN"	""	""	""	""
"74"	""	"1"	"2"	"3"	"4"	"5"	""	""	""	""
"75"	"57"	"16"	"165"	"24"	"219"	"27"	"451"	""	"451"	""
"76"	"58"	"6"	"7"	"42"	"454"	"14"	"523"	""	"523"	""
"77"	"59"	"5"	"209"	"17"	"11"	"1"	"243"	""	"243"	""
"78"	"60"	"4"	"231"	"66"	"47"	"9"	"357"	""	"357"	""
"79"	"61"	"21"	"282"	"42"	"123"	"24"	"492"	""	"492"	""
"80"	"62"	"3"	"358"	"38"	"63"	"5"	"467"	""	"467"	""
"81"	"63"	"19"	"295"	"25"	"235"	"24"	"598"	""	"598"	""
"82"	"64"	"10"	"164"	"45"	"140"	"42"	"401"	""	"401"	""
"83"	"65"	"20"	"190"	"42"	"412"	"35"	"699"	""	"699"	""
"84"	"66"	"15"	"147"	"50"	"362"	"31"	"605"	""	"605"	""
"85"	"67"	"12"	"103"	"191"	"22"	"13"	"341"	""	"341"	""
"86"	"68"	"12"	"40"	"197"	"37"	"14"	"300"	""	"300"	""
"87"	"69"	"24"	"96"	"207"	"54"	"12"	"393"	""	"393"	""
"88"	"70"	"13"	"198"	"214"	"26"	"23"	"474"	""	"474"	""
"89"	"Total Round 5"	"180"	"2485"	"1200"	"2205"	"274"	"6344"	"0"	"6344"	"0"
"90"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"91"	""	"PALTAN RAM"	"RAMPRIT PASWAN"	"RAM LASHAN RAM RAMAN"	"DHANVIR PASWAN"	"VESHLAL PASWAN"	""	""	""	""
"92"	""	"1"	"2"	"3"	"4"	"5"	""	""	""	""
"93"	"71"	"21"	"227"	"173"	"52"	"31"	"504"	""	"504"	""
"94"	"72"	"9"	"78"	"224"	"58"	"13"	"382"	""	"382"	""
"95"	"73"	"27"	"230"	"157"	"110"	"16"	"540"	""	"540"	""
"96"	"74"	"24"	"176"	"54"	"107"	"27"	"388"	""	"388"	""
"97"	"75"	"29"	"103"	"262"	"148"	"18"	"560"	""	"560"	""
"98"	"76"	"4"	"235"	"166"	"47"	"33"	"485"	""	"485"	""
"99"	"77"	"5"	"170"	"319"	"23"	"4"	"521"	""	"521"	""
"100"	"78"	"26"	"202"	"180"	"48"	"21"	"477"	""	"477"	""
"101"	"79"	"12"	"277"	"108"	"21"	"21"	"439"	""	"439"	""
"102"	"80"	"1"	"248"	"5"	"15"	"4"	"273"	""	"273"	""
"103"	"81"	"9"	"126"	"216"	"69"	"25"	"445"	""	"445"	""
"104"	"82"	"17"	"150"	"207"	"96"	"47"	"517"	""	"517"	""
"105"	"83"	"27"	"181"	"227"	"53"	"16"	"504"	""	"504"	""
"106"	"84"	"12"	"262"	"46"	"86"	"27"	"433"	""	"433"	""
"107"	"Total Round 6"	"223"	"2665"	"2344"	"933"	"303"	"6468"	"0"	"6468"	"0"
"108"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"109"	""	"PALTAN RAM"	"RAMPRIT PASWAN"	"RAM LASHAN RAM RAMAN"	"DHANVIR PASWAN"	"VESHLAL PASWAN"	""	""	""	""
"110"	""	"1"	"2"	"3"	"4"	"5"	""	""	""	""
"111"	"85"	"14"	"171"	"90"	"49"	"12"	"336"	""	"336"	""
"112"	"86"	"47"	"230"	"123"	"174"	"17"	"591"	""	"591"	""
"113"	"87"	"15"	"348"	"70"	"48"	"32"	"513"	""	"513"	""
"114"	"88"	"-"	"2"	"-"	"2"	"-"	"4"	""	"4"	""
"115"	"89"	"31"	"335"	"30"	"46"	"16"	"458"	""	"458"	""
"116"	"90"	"7"	"200"	"26"	"25"	"8"	"266"	""	"266"	""
"117"	"91"	"15"	"31"	"126"	"253"	"23"	"448"	""	"448"	""
"118"	"92"	"26"	"133"	"148"	"155"	"18"	"480"	""	"480"	""
"119"	"93"	"16"	"217"	"32"	"44"	"8"	"317"	""	"317"	""
"120"	"94"	"-"	"-"	"-"	"-"	"-"	"-"	""	"-"	""
"121"	"95"	"13"	"190"	"135"	"43"	"14"	"395"	""	"395"	""
"122"	"96"	"20"	"125"	"170"	"40"	"19"	"374"	""	"374"	""
"123"	"97"	"21"	"404"	"110"	"46"	"16"	"597"	""	"597"	""
"124"	"98"	"2"	"296"	"25"	"33"	"5"	"361"	""	"361"	""
"125"	"Total Round 7"	"227"	"2682"	"1085"	"958"	"188"	"5140"	"0"	"5140"	"0"
"126"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"127"	""	"PALTAN RAM"	"RAMPRIT PASWAN"	"RAM LASHAN RAM RAMAN"	"DHANVIR PASWAN"	"VESHLAL PASWAN"	""	""	""	""
"128"	""	"1"	"2"	"3"	"4"	"5"	""	""	""	""
"129"	"99"	"5"	"162"	"74"	"69"	"15"	"325"	""	"325"	""
"130"	"100"	"21"	"60"	"153"	"275"	"26"	"535"	""	"535"	""
"131"	"101"	"25"	"179"	"172"	"86"	"18"	"480"	""	"480"	""
"132"	"102"	"21"	"137"	"114"	"44"	"6"	"322"	""	"322"	""
"133"	"103"	"12"	"97"	"221"	"116"	"34"	"480"	""	"480"	""
"134"	"104"	"9"	"337"	"105"	"26"	"16"	"493"	""	"493"	""
"135"	"105"	"2"	"3"	"63"	"422"	"3"	"493"	""	"493"	""
"136"	"106"	"9"	"45"	"6"	"360"	"5"	"425"	""	"425"	""
"137"	"107"	"4"	"253"	"6"	"57"	"3"	"323"	""	"323"	""
"138"	"108"	"5"	"54"	"179"	"21"	"6"	"265"	""	"265"	""
"139"	"109"	"2"	"117"	"363"	"12"	"2"	"496"	""	"496"	""
"140"	"110"	"29"	"198"	"183"	"87"	"34"	"531"	""	"531"	""
"141"	"111"	"28"	"423"	"85"	"35"	"3"	"574"	""	"574"	""
"142"	"112"	"12"	"221"	"167"	"56"	"11"	"467"	""	"467"	""
"143"	"Total Round 8"	"184"	"2286"	"1891"	"1666"	"182"	"6209"	"0"	"6209"	"0"
"144"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"145"	""	"PALTAN RAM"	"RAMPRIT PASWAN"	"RAM LASHAN RAM RAMAN"	"DHANVIR PASWAN"	"VESHLAL PASWAN"	""	""	""	""
"146"	""	"1"	"2"	"3"	"4"	"5"	""	""	""	""
"147"	"113"	"60"	"213"	"136"	"57"	"39"	"505"	""	"505"	""
"148"	"114"	"30"	"291"	"81"	"221"	"70"	"693"	""	"693"	""
"149"	"115"	"5"	"430"	"49"	"28"	"9"	"521"	""	"521"	""
"150"	"116"	"10"	"450"	"20"	"80"	"16"	"576"	""	"576"	""
"151"	"117"	"13"	"296"	"61"	"31"	"10"	"411"	""	"411"	""
"152"	"118"	"4"	"204"	"102"	"108"	"11"	"429"	""	"429"	""
"153"	"119"	"20"	"258"	"95"	"227"	"20"	"620"	""	"620"	""
"154"	"120"	"26"	"191"	"40"	"147"	"19"	"423"	""	"423"	""
"155"	"121"	"14"	"37"	"124"	"132"	"48"	"355"	""	"355"	""
"156"	"122"	"15"	"78"	"88"	"169"	"15"	"365"	""	"365"	""
"157"	"123"	"12"	"22"	"121"	"296"	"17"	"468"	""	"468"	""
"158"	"124"	"9"	"237"	"119"	"32"	"6"	"403"	""	"403"	""
"159"	"125"	"8"	"243"	"36"	"15"	"3"	"305"	""	"305"	""
"160"	"126"	"9"	"42"	"119"	"113"	"5"	"288"	""	"288"	""
"161"	"Total Round 9"	"235"	"2992"	"1191"	"1656"	"288"	"6362"	"0"	"6362"	"0"
"162"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"163"	""	"PALTAN RAM"	"RAMPRIT PASWAN"	"RAM LASHAN RAM RAMAN"	"DHANVIR PASWAN"	"VESHLAL PASWAN"	""	""	""	""
"164"	""	"1"	"2"	"3"	"4"	"5"	""	""	""	""
"165"	"127"	"28"	"213"	"209"	"66"	"26"	"542"	""	"542"	""
"166"	"128"	"1"	"3"	"7"	"757"	"4"	"772"	""	"772"	""
"167"	"129"	"8"	"111"	"106"	"75"	"9"	"309"	""	"309"	""
"168"	"130"	"16"	"271"	"60"	"36"	"9"	"392"	""	"392"	""
"169"	"131"	"21"	"335"	"64"	"93"	"24"	"537"	""	"537"	""
"170"	"132"	"32"	"269"	"57"	"102"	"22"	"482"	""	"482"	""
"171"	"133"	"2"	"76"	"274"	"9"	"1"	"362"	""	"362"	""
"172"	"134"	"7"	"208"	"20"	"12"	"4"	"251"	""	"251"	""
"173"	"135"	"11"	"137"	"73"	"142"	"10"	"373"	""	"373"	""
"174"	"136"	"2"	"44"	"183"	"10"	"10"	"249"	""	"249"	""
"175"	"137"	"5"	"95"	"237"	"56"	"3"	"396"	""	"396"	""
"176"	"138"	"7"	"68"	"148"	"276"	"7"	"506"	""	"506"	""
"177"	"139"	"1"	"33"	"9"	"516"	"2"	"561"	""	"561"	""
"178"	"140"	"10"	"273"	"84"	"220"	"13"	"600"	""	"600"	""
"179"	"Total Round 10"	"151"	"2136"	"1531"	"2370"	"144"	"6332"	"0"	"6332"	"0"
"180"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"181"	""	"PALTAN RAM"	"RAMPRIT PASWAN"	"RAM LASHAN RAM RAMAN"	"DHANVIR PASWAN"	"VESHLAL PASWAN"	""	""	""	""
"182"	""	"1"	"2"	"3"	"4"	"5"	""	""	""	""
"183"	"141"	"18"	"156"	"174"	"130"	"25"	"503"	""	"503"	""
"184"	"142"	"21"	"36"	"415"	"175"	"11"	"658"	""	"658"	""
"185"	"143"	"23"	"41"	"368"	"69"	"25"	"526"	""	"526"	""
"186"	"144"	"14"	"49"	"188"	"80"	"13"	"344"	""	"344"	""
"187"	"145"	"3"	"117"	"41"	"91"	"2"	"254"	""	"254"	""
"188"	"146"	"13"	"85"	"362"	"116"	"14"	"590"	""	"590"	""
"189"	"147"	"12"	"92"	"136"	"57"	"9"	"306"	""	"306"	""
"190"	"148"	"8"	"357"	"89"	"101"	"4"	"559"	""	"559"	""
"191"	"149"	"17"	"155"	"73"	"175"	"32"	"452"	""	"452"	""
"192"	"150"	"21"	"259"	"158"	"76"	"13"	"527"	""	"527"	""
"193"	"151"	"6"	"94"	"131"	"113"	"18"	"362"	""	"362"	""
"194"	"152"	"19"	"246"	"261"	"76"	"24"	"626"	""	"626"	""
"195"	"153"	"31"	"229"	"48"	"209"	"48"	"565"	""	"565"	""
"196"	"154"	"20"	"254"	"152"	"89"	"10"	"525"	""	"525"	""
"197"	"Total Round 11"	"226"	"2170"	"2596"	"1557"	"248"	"6797"	"0"	"6797"	"0"
"198"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"199"	""	"PALTAN RAM"	"RAMPRIT PASWAN"	"RAM LASHAN RAM RAMAN"	"DHANVIR PASWAN"	"VESHLAL PASWAN"	""	""	""	""
"200"	""	"1"	"2"	"3"	"4"	"5"	""	""	""	""
"201"	"155"	"23"	"169"	"134"	"31"	"17"	"374"	""	"374"	""
"202"	"156"	"10"	"457"	"29"	"144"	"21"	"661"	""	"661"	""
"203"	"157"	"25"	"134"	"31"	"287"	"32"	"509"	""	"509"	""
"204"	"158"	"24"	"363"	"70"	"166"	"41"	"664"	""	"664"	""
"205"	"159"	"20"	"129"	"174"	"38"	"16"	"377"	""	"377"	""
"206"	"160"	"1"	"242"	"67"	"6"	"2"	"318"	""	"318"	""
"207"	"161"	"13"	"107"	"216"	"23"	"3"	"362"	""	"362"	""
"208"	"162"	"13"	"62"	"201"	"59"	"28"	"363"	""	"363"	""
"209"	"163"	"5"	"255"	"59"	"108"	"23"	"450"	""	"450"	""
"210"	"164"	"6"	"169"	"103"	"128"	"7"	"413"	""	"413"	""
"211"	"165"	"12"	"126"	"128"	"89"	"16"	"371"	""	"371"	""
"212"	"166"	"5"	"202"	"15"	"33"	"2"	"257"	""	"257"	""
"213"	"167"	"23"	"126"	"116"	"91"	"18"	"374"	""	"374"	""
"214"	"168"	"11"	"233"	"101"	"116"	"9"	"470"	""	"470"	""
"215"	"Total Round 12"	"191"	"2774"	"1444"	"1319"	"235"	"5963"	"0"	"5963"	"0"
"216"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"217"	""	"PALTAN RAM"	"RAMPRIT PASWAN"	"RAM LASHAN RAM RAMAN"	"DHANVIR PASWAN"	"VESHLAL PASWAN"	""	""	""	""
"218"	""	"1"	"2"	"3"	"4"	"5"	""	""	""	""
"219"	"169"	"27"	"333"	"68"	"95"	"36"	"559"	""	"559"	""
"220"	"170"	"26"	"210"	"121"	"88"	"16"	"461"	""	"461"	""
"221"	"171"	"6"	"110"	"34"	"59"	"6"	"215"	""	"215"	""
"222"	"172"	"19"	"187"	"94"	"127"	"17"	"444"	""	"444"	""
"223"	"173"	"27"	"196"	"82"	"77"	"16"	"398"	""	"398"	""
"224"	"174"	"19"	"44"	"141"	"51"	"29"	"284"	""	"284"	""
"225"	"175"	"35"	"172"	"57"	"219"	"28"	"511"	""	"511"	""
"226"	"176"	"16"	"118"	"237"	"121"	"21"	"513"	""	"513"	""
"227"	"177"	"35"	"345"	"86"	"36"	"18"	"520"	""	"520"	""
"228"	"178"	"15"	"88"	"46"	"141"	"13"	"303"	""	"303"	""
"229"	"179"	"22"	"98"	"156"	"134"	"18"	"428"	""	"428"	""
"230"	"180"	"27"	"252"	"206"	"47"	"27"	"559"	""	"559"	""
"231"	"181"	"9"	"128"	"32"	"114"	"18"	"301"	""	"301"	""
"232"	"182"	"31"	"240"	"166"	"124"	"66"	"627"	""	"627"	""
"233"	"Total Round 13"	"314"	"2521"	"1526"	"1433"	"329"	"6123"	"0"	"6123"	"0"
"234"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"235"	""	"PALTAN RAM"	"RAMPRIT PASWAN"	"RAM LASHAN RAM RAMAN"	"DHANVIR PASWAN"	"VESHLAL PASWAN"	""	""	""	""
"236"	""	"1"	"2"	"3"	"4"	"5"	""	""	""	""
"237"	"183"	"37"	"139"	"336"	"49"	"22"	"583"	""	"583"	""
"238"	"184"	"9"	"203"	"17"	"51"	"6"	"286"	""	"286"	""
"239"	"185"	"11"	"123"	"60"	"45"	"8"	"247"	""	"247"	""
"240"	"186"	"34"	"221"	"146"	"85"	"19"	"505"	""	"505"	""
"241"	"187"	"17"	"96"	"135"	"329"	"40"	"617"	""	"617"	""
"242"	"188"	"23"	"186"	"17"	"54"	"13"	"293"	""	"293"	""
"243"	"189"	"18"	"164"	"16"	"51"	"13"	"262"	""	"262"	""
"244"	"190"	"8"	"93"	"21"	"44"	"6"	"172"	""	"172"	""
"245"	"191"	"37"	"179"	"168"	"144"	"43"	"571"	""	"571"	""
"246"	"Total Round 14"	"194"	"1404"	"916"	"852"	"170"	"3536"	"0"	"3536"	"0"
"247"	"Total No. of votes recorded at Polling stations"	"3192"	"35119"	"25706"	"20385"	"3225"	"87627"	"0"	"87627"	"0"
"248"	"No. of Votes recorded on postal ballot papers"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"249"	"TOTAL VOTES POLLED"	"3192"	"35119"	"25706"	"20385"	"3225"	"87627"	"0"	"87627"	"0"
