"Booths"	"Candidates"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"
"59"	"Booths"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"60"	"Booth No"	1	2	3	4	5	6	7	8	9	10	11	12	13	14
"61"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"62"	"57"	160	217	7	4	10	2	0	3	1	2	7	23	18	-454
"63"	"58"	89	118	7	1	4	1	0	1	1	0	1	8	8	-239
"64"	"59"	94	184	5	0	11	5	1	4	2	4	5	19	15	-349
"65"	"60"	191	121	3	2	44	4	2	1	0	2	6	3	8	-387
"66"	"61"	219	35	7	6	140	3	7	3	2	12	2	1	3	-440
"67"	"62"	245	26	4	6	102	3	8	2	0	16	2	1	2	-417
"68"	"63"	269	24	12	3	66	4	4	2	0	14	0	2	7	-407
"69"	"64"	377	17	3	8	65	2	8	3	4	7	2	5	1	-502
"70"	"65"	236	57	17	2	35	5	2	4	1	5	1	4	4	-373
"71"	"66"	340	26	7	3	62	8	2	8	3	7	0	2	5	-473
"72"	"67"	298	9	6	2	7	0	1	1	0	2	1	0	1	-328
"73"	"68"	213	46	3	3	202	3	2	2	0	4	1	2	0	-481
"74"	"69"	218	42	6	3	106	12	0	7	2	5	1	4	5	-411
"75"	"70"	172	74	5	9	105	0	5	4	1	8	1	5	3	-392
"76"	"71"	388	6	NA	5	29	1	0	0	0	3	0	0	0	-432
"77"	"72"	384	37	7	39	62	5	1	2	2	13	2	3	4	-561
"78"	"73"	534	6	10	13	18	0	0	0	0	2	1	0	1	-585
"79"	"74"	234	5	4	0	4	2	0	0	1	1	0	0	0	-251
"80"	"75"	240	123	8	2	192	6	7	7	6	33	5	5	16	-650
"81"	"76"	80	142	3	3	58	3	2	1	0	7	2	7	2	-310
"82"	"77"	700	46	11	1	23	5	1	1	1	6	4	2	6	-807
"83"	"78"	77	191	52	14	48	3	0	2	2	1	0	6	6	-402
"84"	"79"	79	52	19	8	78	5	5	8	2	10	2	7	10	-285
"85"	"80"	116	107	6	0	4	1	1	0	1	2	2	1	1	-242
"86"	"81"	234	108	34	7	87	10	3	0	4	15	5	14	7	-528
"87"	"82"	169	126	5	3	25	4	2	7	1	6	4	6	17	-375
"88"	"83"	101	119	13	6	102	3	3	7	1	28	5	8	2	-398
"89"	"84"	389	31	10	1	26	3	2	0	0	5	3	3	6	-479
"90"	"85"	368	48	7	2	69	1	5	0	0	11	3	3	5	-522
"91"	"86"	88	47	3	2	69	5	6	4	3	19	4	2	5	-257
"92"	"87"	170	81	37	11	115	20	26	8	7	14	12	12	15	-528
"93"	"88"	205	70	29	2	212	1	5	4	2	13	2	3	6	-554
"94"	"89"	187	37	14	5	434	8	9	10	4	17	5	4	3	-737
"95"	"90"	261	336	16	0	8	5	4	2	4	7	6	27	28	-704
"96"	"91"	160	79	2	0	8	4	5	4	1	4	2	11	19	-299
"97"	"92"	285	162	37	5	2	2	4	5	4	4	4	30	40	-584
"98"	"93"	469	89	5	5	8	3	3	4	1	5	5	14	22	-633
"99"	"94"	211	115	4	1	1	2	0	2	2	1	2	4	13	-358
"100"	"95"	272	89	5	1	5	8	4	3	6	11	9	10	36	-459
"101"	"96"	186	263	7	4	1	5	1	3	5	4	10	34	29	-552
"102"	"97"	262	290	4	3	6	6	3	2	3	3	5	17	16	-620
"103"	"98"	240	235	10	6	13	3	7	5	4	6	5	14	13	-561
"104"	"99"	80	161	3	0	0	2	0	0	0	1	5	11	12	-275
"105"	"100"	422	194	3	1	8	2	1	1	0	1	0	1	5	-639
"106"	"101"	246	278	15	2	10	13	5	1	7	3	7	23	31	-641
"107"	"102"	213	322	14	4	3	7	1	3	1	0	4	12	8	-592
"108"	"103"	364	197	12	6	20	8	7	6	2	6	2	9	4	-643
"109"	"104"	263	136	11	4	20	10	6	4	1	15	20	26	60	-576
"110"	"105"	280	225	9	2	5	1	1	3	0	0	2	9	15	-552
"111"	"106"	74	358	7	1	2	4	0	1	0	0	3	6	11	-467
"112"	"107"	724	6	21	0	0	0	0	0	0	0	0	0	0	-751
"113"	"108"	209	63	48	2	2	1	3	1	1	1	3	12	7	-353
"114"	"109"	869	3	16	2	0	5	3	1	0	0	1	1	0	-901
"115"	"110"	192	203	5	1	12	8	1	3	4	10	3	20	37	-499
"116"	"111"	117	271	13	1	6	5	1	4	2	7	4	15	21	-467
"117"	"112"	194	260	9	7	7	6	10	7	6	5	7	28	44	-590
"118"	"Booths"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"119"	"Booth No"	1	2	3	4	5	6	7	8	9	10	11	12	13	14
"120"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"121"	"113"	76	522	13	3	0	2	1	2	1	0	1	20	13	-654
"122"	"114"	69	259	37	5	10	4	2	4	1	1	5	21	18	-436
"123"	"115"	213	290	31	3	17	6	7	7	4	3	10	29	39	-659
"124"	"116"	195	387	15	4	5	11	2	6	6	7	17	43	58	-756
"125"	"117"	182	371	11	3	3	9	5	7	6	7	9	40	74	-727
"126"	"118"	144	304	11	2	8	9	3	6	4	2	2	24	24	-543
"127"	"119"	286	346	12	4	14	7	4	5	3	0	3	19	14	-717
"128"	"120"	147	285	9	5	4	7	2	2	4	3	3	13	20	-504
"129"	"121"	183	398	15	4	1	8	1	0	0	1	0	7	3	-621
"130"	"122"	225	241	10	0	8	2	1	2	1	3	1	26	20	-540
"131"	"123"	106	351	6	3	3	3	0	1	0	1	3	10	20	-507
"132"	"124"	135	222	4	0	6	8	4	4	3	0	5	20	28	-439
"133"	"125"	171	322	6	3	6	12	6	2	5	6	2	19	16	-576
"134"	"126"	167	187	4	2	8	1	3	2	2	1	2	14	8	-401
"135"	"127"	64	190	4	0	1	1	1	0	1	1	0	29	17	-309
"136"	"128"	177	327	11	4	4	6	3	2	0	1	1	4	9	-549
"137"	"129"	226	150	5	3	4	3	4	4	7	1	7	28	42	-484
"138"	"130"	203	167	3	5	7	8	2	3	3	6	19	16	29	-471
"139"	"131"	316	201	6	6	4	2	0	5	2	4	0	4	20	-570
"140"	"132"	200	232	39	5	21	3	3	2	6	9	17	41	50	-628
"141"	"133"	162	187	15	1	4	3	1	3	1	2	3	9	10	-401
"142"	"134"	283	160	9	3	4	2	3	2	2	7	8	16	35	-534
"143"	"135"	272	155	10	5	3	6	3	9	4	2	7	25	45	-546
"144"	"136"	215	187	13	2	2	7	1	3	0	1	1	10	9	-451
"145"	"137"	184	141	9	2	11	7	6	4	2	5	6	16	22	-415
"146"	"138"	190	197	19	17	85	15	7	11	8	32	10	22	20	-633
"147"	"139"	317	25	1	1	14	3	0	4	1	2	1	4	6	-379
"148"	"140"	196	222	13	3	9	12	8	2	5	6	5	18	26	-525
"149"	"141"	334	107	6	6	13	6	1	2	0	2	3	13	16	-509
"150"	"142"	7	26	323	2	3	0	0	0	0	0	0	0	0	-361
"151"	"143"	605	8	33	1	2	0	0	0	0	0	0	1	1	-651
"152"	"144"	654	63	83	4	21	5	7	5	2	6	1	2	5	-858
"153"	"145"	693	7	6	0	0	1	0	0	0	0	0	0	0	-707
"154"	"146"	601	18	0	0	0	1	0	0	0	0	0	1	0	-621
"155"	"147"	299	53	3	1	0	0	0	0	1	2	0	2	0	-361
"156"	"148"	470	9	2	0	4	1	1	0	1	2	0	0	0	-490
"157"	"149"	166	294	13	1	4	3	1	3	1	2	1	9	10	-508
"158"	"150"	201	107	8	3	2	2	2	1	1	3	3	5	10	-348
"159"	"151"	214	60	22	2	5	7	1	4	2	1	1	12	14	-345
"160"	"152"	423	10	0	0	1	0	0	1	0	0	0	0	0	-435
"161"	"153"	154	306	9	2	2	10	1	4	3	5	5	29	29	-559
"162"	"154"	80	324	5	4	7	0	1	1	2	4	2	6	9	-445
"163"	"155"	135	289	5	1	0	1	1	0	0	0	3	14	9	-458
"164"	"156"	28	305	5	0	5	0	0	2	0	2	1	19	13	-380
"165"	"157"	66	519	4	2	2	2	1	1	1	1	3	22	9	-633
"166"	"158"	173	277	14	1	2	4	3	1	6	3	6	24	51	-565
"167"	"159"	222	293	23	4	8	10	0	4	1	2	3	25	15	-610
"168"	"160"	143	254	9	0	4	3	1	2	0	2	5	18	37	-478
"169"	"161"	131	284	14	5	6	10	4	5	5	5	9	58	50	-586
"170"	"162"	260	232	12	6	4	2	4	4	5	3	5	21	24	-582
"171"	"163"	268	173	5	5	7	9	1	4	4	2	9	23	35	-545
"172"	"164"	103	378	5	3	4	2	0	3	4	6	2	25	26	-561
"173"	"165"	174	354	7	3	4	4	0	2	3	1	7	16	18	-593
"174"	"166"	93	433	5	0	3	1	3	1	0	2	2	7	6	-556
"175"	"167"	180	441	12	8	7	6	2	3	2	2	3	8	19	-693
"176"	"168"	214	189	5	1	2	1	2	0	1	7	2	16	13	-453
"177"	"Booths"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"178"	"Booth No"	1	2	3	4	5	6	7	8	9	10	11	12	13	14
"179"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"180"	"169"	124	367	6	2	2	3	1	0	3	1	3	14	11	-537
"181"	"170"	94	560	5	4	4	5	3	4	0	3	2	13	11	-708
"182"	"171"	69	407	9	2	66	3	1	2	2	18	4	10	12	-605
"183"	"172"	146	322	10	2	4	5	6	3	2	10	3	33	54	-600
"184"	"173"	78	419	3	0	1	0	1	1	0	0	1	13	4	-521
"185"	"174"	83	208	2	0	2	2	1	0	2	2	1	9	19	-331
"186"	"175"	550	141	4	2	14	1	0	2	1	1	0	9	7	-732
"187"	"176"	74	470	0	1	11	1	0	3	1	2	1	3	3	-570
"188"	"177"	90	409	2	1	0	1	0	0	0	1	0	8	1	-513
"189"	"178"	263	187	6	2	3	5	2	0	0	1	2	5	4	-480
"190"	"179"	369	37	4	0	1	0	0	0	0	0	1	2	8	-422
"191"	"180"	75	335	3	6	21	3	0	4	2	4	3	12	8	-476
"192"	"181"	199	178	14	2	5	2	0	0	1	2	1	0	1	-405
"193"	"182"	89	166	7	2	4	5	1	1	2	1	4	11	14	-307
"194"	"183"	59	197	7	2	4	2	0	0	0	0	1	9	3	-284
"195"	"184"	96	218	2	6	14	3	2	3	3	4	3	17	17	-388
"196"	"185"	81	145	9	0	2	1	1	1	1	1	3	9	8	-262
"197"	"186"	111	378	4	3	5	4	5	12	6	3	8	41	16	-596
"198"	"187"	121	196	12	2	2	4	2	0	1	3	2	13	4	-362
"199"	"188"	147	219	16	2	10	3	2	9	6	6	5	12	20	-457
"200"	"189"	137	92	8	9	69	5	9	3	6	32	7	11	23	-411
"201"	"190"	180	79	2	4	4	1	1	1	1	4	2	14	12	-305
"202"	"191"	163	79	48	3	11	3	0	0	0	2	2	4	6	-321
"203"	"192"	264	381	9	1	2	9	4	3	3	2	4	11	19	-712
"204"	"193"	245	232	7	5	7	2	4	3	2	4	0	15	14	-540
"205"	"POSTAL
VOTE"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"206"	"TOTAL OF CANDIDA
TE"	-39777	-36586	-2359	-660	-5261	-947	-581	-594	-458	-1162	-759	-2668	-3075	-94887
"207"	"ROUND"	1395	1582	220	58	634	109	66	74	57	157	72	194	199	4817
"208"	"ROUND"	1783	2342	63	34	193	56	39	32	28	80	40	161	175	5026
"209"	"ROUND"	1448	1728	84	26	349	72	39	30	26	60	56	200	204	4322
"210"	"ROUND"	1329	2330	77	38	248	41	34	29	29	76	40	167	190	4628
"211"	"ROUND"	1246	1919	65	24	238	62	33	30	19	67	30	127	156	4016
"212"	"ROUND"	2351	1351	54	27	251	40	17	25	23	56	53	152	124	4524
"213"	"ROUND"	2587	356	70	45	890	40	39	36	13	80	11	26	31	4224
"214"	"ROUND"	2832	715	120	85	516	31	17	21	15	78	18	31	46	4525
"215"	"ROUND"	2172	1003	168	39	1147	60	65	42	26	135	49	82	94	5082
"216"	"ROUND"	2587	1677	80	26	52	37	28	29	26	40	47	146	205	4980
"217"	"ROUND"	3434	1791	158	24	74	57	27	23	16	35	45	118	173	5975
"218"	"ROUND"	1623	3295	161	37	74	66	37	50	37	35	61	252	325	6053
"219"	"ROUND"	1657	2555	68	24	48	52	25	20	22	21	40	173	192	4897
"220"	"ROUND"	2335	1707	134	45	157	60	32	45	31	70	58	165	243	5082
"221"	"ROUND"	4030	692	477	18	49	19	12	11	6	17	8	33	42	5414
"222"	"ROUND"	1638	2637	96	16	36	37	9	20	15	20	29	169	186	4908
"223"	"ROUND"	1641	3411	76	37	43	43	20	26	27	32	44	201	213	5814
"224"	"ROUND"	1797	2935	43	16	123	21	11	15	10	39	16	104	120	5250
"225"	"ROUND"	1220	1868	81	32	119	30	23	30	27	56	36	137	118	3777
"226"	"ROUND"	672	692	64	9	20	14	8	6	5	8	6	30	39	1573
