"See.rule.56..7."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"
"27"	"18"	"59"	"3"	"2"	"1"	"0"	"260"	"-325"	"0"	"-325"	"0"
"28"	"19"	"85"	"2"	"3"	"2"	"2"	"27"	"-121"	"0"	"-121"	"0"
"29"	"20"	"16"	"13"	"5"	"1"	"0"	"101"	"-136"	"0"	"-136"	"0"
"30"	"21"	"16"	"0"	"1"	"1"	"1"	"187"	"-206"	"0"	"-206"	"0"
"31"	"22"	"290"	"1"	"6"	"0"	"1"	"211"	"-509"	"0"	"-509"	"0"
"32"	"23"	"42"	"3"	"97"	"11"	"3"	"114"	"-270"	"0"	"-270"	"0"
"33"	"24"	"107"	"3"	"22"	"2"	"7"	"182"	"-323"	"0"	"-323"	"0"
"34"	"25"	"37"	"0"	"3"	"0"	"0"	"414"	"-454"	"0"	"-454"	"0"
"35"	"26"	"26"	"6"	"438"	"4"	"2"	"53"	"-529"	"0"	"-529"	"0"
"36"	"27"	"230"	"0"	"1"	"0"	"0"	"55"	"-286"	"0"	"-286"	"0"
"37"	"28"	"390"	"0"	"3"	"0"	"0"	"12"	"-405"	"0"	"-405"	"0"
"38"	"See rule 56 (7)"	""	""	""	""	""	""	""	""	""	""
"39"	"(To be record for recording the result of voting at notified Polling Station)"	""	""	""	""	""	""	""	""	""	""
"40"	"Election to the Bihar Legislative Assembly from the 228 - Ghoshi Assembly Constituency"	""	""	""	""	""	""	""	""	""	""
"41"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"42"	""	"Ajay Singh"	"Suryadeo Prasad"	"Kunti Devi"	"Sadhu Sinha"	"Abhay Kumar Anil"	"Jagdish Sharma"	""	""	""	""
"43"	"29"	"272"	"11"	"70"	"8"	"4"	"239"	"-604"	"0"	"-604"	"0"
"44"	"30"	"18"	"0"	"3"	"2"	"4"	"181"	"-208"	"0"	"-208"	"0"
"45"	"31"	"46"	"3"	"2"	"2"	"1"	"351"	"-405"	"0"	"-405"	"0"
"46"	"32"	"45"	"5"	"27"	"4"	"13"	"465"	"-559"	"0"	"-559"	"0"
"47"	"33"	"8"	"0"	"0"	"0"	"2"	"261"	"-271"	"0"	"-271"	"0"
"48"	"34"	"173"	"17"	"60"	"8"	"8"	"340"	"-606"	"0"	"-606"	"0"
"49"	"35"	"5"	"2"	"0"	"3"	"7"	"257"	"-274"	"0"	"-274"	"0"
"50"	"36"	"8"	"3"	"1"	"0"	"6"	"303"	"-321"	"0"	"-321"	"0"
"51"	"37"	"156"	"0"	"0"	"0"	"0"	"499"	"-655"	"0"	"-655"	"0"
"52"	"38"	"183"	"1"	"101"	"3"	"3"	"132"	"-423"	"0"	"-423"	"0"
"53"	"39"	"15"	"0"	"24"	"2"	"1"	"652"	"-694"	"0"	"-694"	"0"
"54"	"40"	"253"	"4"	"4"	"0"	"3"	"117"	"-381"	"0"	"-381"	"0"
"55"	"41"	"175"	"21"	"136"	"15"	"11"	"244"	"-602"	"0"	"-602"	"0"
"56"	"42"	"465"	"2"	"12"	"0"	"2"	"46"	"-527"	"0"	"-527"	"0"
"57"	"See rule 56 (7)"	""	""	""	""	""	""	""	""	""	""
"58"	"(To be record for recording the result of voting at notified Polling Station)"	""	""	""	""	""	""	""	""	""	""
"59"	"Election to the Bihar Legislative Assembly from the 228 - Ghoshi Assembly Constituency"	""	""	""	""	""	""	""	""	""	""
"60"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"61"	""	"Ajay Singh"	"Suryadeo Prasad"	"Kunti Devi"	"Sadhu Sinha"	"Abhay Kumar Anil"	"Jagdish Sharma"	""	""	""	""
"62"	"43"	"328"	"4"	"13"	"3"	"1"	"15"	"-364"	"0"	"-364"	"0"
"63"	"44"	"155"	"0"	"6"	"1"	"1"	"222"	"-385"	"0"	"-385"	"0"
"64"	"45"	"169"	"1"	"101"	"6"	"3"	"270"	"-550"	"0"	"-550"	"0"
"65"	"46"	"462"	"0"	"31"	"1"	"2"	"34"	"-530"	"0"	"-530"	"0"
"66"	"47"	"26"	"1"	"1"	"0"	"8"	"295"	"-331"	"0"	"-331"	"0"
"67"	"48"	"3"	"1"	"0"	"0"	"1"	"148"	"-153"	"0"	"-153"	"0"
"68"	"49"	"20"	"3"	"18"	"5"	"4"	"451"	"-501"	"0"	"-501"	"0"
"69"	"50"	"4"	"0"	"1"	"0"	"5"	"251"	"-261"	"0"	"-261"	"0"
"70"	"51"	"259"	"80"	"36"	"2"	"7"	"153"	"-537"	"0"	"-537"	"0"
"71"	"52"	"348"	"2"	"65"	"3"	"1"	"41"	"-460"	"0"	"-460"	"0"
"72"	"53"	"158"	"7"	"63"	"6"	"1"	"148"	"-383"	"0"	"-383"	"0"
"73"	"54"	"11"	"1"	"0"	"0"	"2"	"135"	"-149"	"0"	"-149"	"0"
"74"	"55"	"9"	"1"	"0"	"0"	"1"	"377"	"-388"	"0"	"-388"	"0"
"75"	"56"	"9"	"2"	"2"	"0"	"3"	"194"	"-210"	"0"	"-210"	"0"
"76"	"See rule 56 (7)"	""	""	""	""	""	""	""	""	""	""
"77"	"(To be record for recording the result of voting at notified Polling Station)"	""	""	""	""	""	""	""	""	""	""
"78"	"Election to the Bihar Legislative Assembly from the 228 - Ghoshi Assembly Constituency"	""	""	""	""	""	""	""	""	""	""
"79"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"80"	""	"Ajay Singh"	"Suryadeo Prasad"	"Kunti Devi"	"Sadhu Sinha"	"Abhay Kumar Anil"	"Jagdish Sharma"	""	""	""	""
"81"	"57"	"297"	"10"	"2"	"0"	"1"	"5"	"-315"	"0"	"-315"	"0"
"82"	"58"	"3"	"0"	"1"	"0"	"1"	"946"	"-951"	"0"	"-951"	"0"
"83"	"59"	"90"	"4"	"4"	"2"	"3"	"700"	"-803"	"0"	"-803"	"0"
"84"	"60"	"22"	"0"	"2"	"0"	"2"	"625"	"-651"	"0"	"-651"	"0"
"85"	"61"	"95"	"1"	"0"	"3"	"1"	"405"	"-505"	"0"	"-505"	"0"
"86"	"62"	"51"	"1"	"1"	"1"	"4"	"832"	"-890"	"0"	"-890"	"0"
"87"	"63"	"65"	"5"	"16"	"6"	"3"	"631"	"-726"	"0"	"-726"	"0"
"88"	"64"	"36"	"0"	"0"	"0"	"0"	"866"	"-902"	"0"	"-902"	"0"
"89"	"65"	"74"	"6"	"4"	"0"	"3"	"239"	"-326"	"0"	"-326"	"0"
"90"	"66"	"41"	"14"	"49"	"9"	"7"	"210"	"-330"	"0"	"-330"	"0"
"91"	"67"	"169"	"12"	"99"	"8"	"9"	"147"	"-444"	"0"	"-444"	"0"
"92"	"68"	"171"	"5"	"143"	"13"	"9"	"267"	"-608"	"0"	"-608"	"0"
"93"	"69"	"280"	"4"	"107"	"6"	"1"	"161"	"-559"	"0"	"-559"	"0"
"94"	"70"	"117"	"4"	"436"	"3"	"0"	"63"	"-623"	"0"	"-623"	"0"
"95"	"See rule 56 (7)"	""	""	""	""	""	""	""	""	""	""
"96"	"(To be record for recording the result of voting at notified Polling Station)"	""	""	""	""	""	""	""	""	""	""
"97"	"Election to the Bihar Legislative Assembly from the 228 - Ghoshi Assembly Constituency"	""	""	""	""	""	""	""	""	""	""
"98"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"99"	""	"Ajay Singh"	"Suryadeo Prasad"	"Kunti Devi"	"Sadhu Sinha"	"Abhay Kumar Anil"	"Jagdish Sharma"	""	""	""	""
"100"	"71"	"206"	"2"	"2"	"2"	"2"	"62"	"-276"	"0"	"-276"	"0"
"101"	"72"	"115"	"5"	"105"	"15"	"5"	"119"	"-364"	"0"	"-364"	"0"
"102"	"73"	"230"	"9"	"10"	"0"	"1"	"124"	"-374"	"0"	"-374"	"0"
"103"	"74"	"227"	"2"	"68"	"5"	"1"	"23"	"-326"	"0"	"-326"	"0"
"104"	"75"	"175"	"1"	"127"	"1"	"0"	"142"	"-446"	"0"	"-446"	"0"
"105"	"76"	"316"	"16"	"68"	"7"	"5"	"168"	"-580"	"0"	"-580"	"0"
"106"	"77"	"445"	"0"	"28"	"0"	"0"	"35"	"-508"	"0"	"-508"	"0"
"107"	"78"	"9"	"2"	"0"	"0"	"3"	"284"	"-298"	"0"	"-298"	"0"
"108"	"79"	"55"	"1"	"2"	"0"	"6"	"282"	"-346"	"0"	"-346"	"0"
"109"	"80"	"187"	"4"	"6"	"6"	"6"	"179"	"-388"	"0"	"-388"	"0"
"110"	"81"	"63"	"0"	"6"	"7"	"2"	"236"	"-314"	"0"	"-314"	"0"
"111"	"82"	"264"	"30"	"5"	"6"	"10"	"200"	"-515"	"0"	"-515"	"0"
"112"	"83"	"289"	"9"	"26"	"10"	"12"	"327"	"-673"	"0"	"-673"	"0"
"113"	"84"	"36"	"5"	"1"	"0"	"8"	"620"	"-670"	"0"	"-670"	"0"
"114"	"See rule 56 (7)"	""	""	""	""	""	""	""	""	""	""
"115"	"(To be record for recording the result of voting at notified Polling Station)"	""	""	""	""	""	""	""	""	""	""
"116"	"Election to the Bihar Legislative Assembly from the 228 - Ghoshi Assembly Constituency"	""	""	""	""	""	""	""	""	""	""
"117"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"118"	""	"Ajay Singh"	"Suryadeo Prasad"	"Kunti Devi"	"Sadhu Sinha"	"Abhay Kumar Anil"	"Jagdish Sharma"	""	""	""	""
"119"	"85"	"335"	"15"	"20"	"9"	"5"	"128"	"-512"	"0"	"-512"	"0"
"120"	"86"	"222"	"3"	"128"	"9"	"2"	"146"	"-510"	"0"	"-510"	"0"
"121"	"87"	"21"	"0"	"73"	"0"	"0"	"185"	"-279"	"0"	"-279"	"0"
"122"	"88"	"46"	"3"	"4"	"2"	"3"	"124"	"-182"	"0"	"-182"	"0"
"123"	"89"	"353"	"0"	"2"	"0"	"0"	"10"	"-365"	"0"	"-365"	"0"
"124"	"90"	"15"	"3"	"9"	"1"	"1"	"260"	"-289"	"0"	"-289"	"0"
"125"	"91"	"69"	"2"	"74"	"7"	"6"	"193"	"-351"	"0"	"-351"	"0"
"126"	"92"	"138"	"7"	"12"	"3"	"3"	"22"	"-185"	"0"	"-185"	"0"
"127"	"93"	"260"	"5"	"39"	"1"	"1"	"18"	"-324"	"0"	"-324"	"0"
"128"	"94"	"163"	"3"	"207"	"18"	"4"	"62"	"-457"	"0"	"-457"	"0"
"129"	"95"	"383"	"0"	"29"	"4"	"1"	"36"	"-453"	"0"	"-453"	"0"
"130"	"96"	"819"	"1"	"45"	"2"	"0"	"32"	"-899"	"0"	"-899"	"0"
"131"	"97"	"479"	"0"	"7"	"2"	"1"	"168"	"-657"	"0"	"-657"	"0"
"132"	"98"	"77"	"8"	"28"	"2"	"2"	"100"	"-217"	"0"	"-217"	"0"
"133"	"See rule 56 (7)"	""	""	""	""	""	""	""	""	""	""
"134"	"(To be record for recording the result of voting at notified Polling Station)"	""	""	""	""	""	""	""	""	""	""
"135"	"Election to the Bihar Legislative Assembly from the 228 - Ghoshi Assembly Constituency"	""	""	""	""	""	""	""	""	""	""
"136"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"137"	""	"Ajay Singh"	"Suryadeo Prasad"	"Kunti Devi"	"Sadhu Sinha"	"Abhay Kumar Anil"	"Jagdish Sharma"	""	""	""	""
"138"	"99"	"44"	"3"	"154"	"15"	"7"	"21"	"-244"	"0"	"-244"	"0"
"139"	"100"	"397"	"3"	"10"	"0"	"0"	"0"	"-410"	"0"	"-410"	"0"
"140"	"101"	"14"	"7"	"0"	"3"	"8"	"351"	"-383"	"0"	"-383"	"0"
"141"	"102"	"22"	"1"	"61"	"7"	"1"	"128"	"-220"	"0"	"-220"	"0"
"142"	"103"	"67"	"2"	"137"	"7"	"2"	"35"	"-250"	"0"	"-250"	"0"
"143"	"104"	"6"	"3"	"34"	"2"	"3"	"181"	"-229"	"0"	"-229"	"0"
"144"	"105"	"33"	"5"	"42"	"12"	"7"	"362"	"-461"	"0"	"-461"	"0"
"145"	"106"	"8"	"2"	"29"	"5"	"8"	"272"	"-324"	"0"	"-324"	"0"
"146"	"107"	"101"	"3"	"60"	"13"	"9"	"104"	"-290"	"0"	"-290"	"0"
"147"	"108"	"5"	"0"	"0"	"0"	"0"	"409"	"-414"	"0"	"-414"	"0"
"148"	"109"	"96"	"0"	"3"	"1"	"2"	"561"	"-663"	"0"	"-663"	"0"
"149"	"110"	"4"	"0"	"0"	"0"	"1"	"640"	"-645"	"0"	"-645"	"0"
"150"	"111"	"8"	"0"	"0"	"0"	"1"	"493"	"-502"	"0"	"-502"	"0"
"151"	"112"	"29"	"6"	"204"	"0"	"5"	"140"	"-384"	"0"	"-384"	"0"
"152"	"See rule 56 (7)"	""	""	""	""	""	""	""	""	""	""
"153"	"(To be record for recording the result of voting at notified Polling Station)"	""	""	""	""	""	""	""	""	""	""
"154"	"Election to the Bihar Legislative Assembly from the 228 - Ghoshi Assembly Constituency"	""	""	""	""	""	""	""	""	""	""
"155"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"156"	""	"Ajay Singh"	"Suryadeo Prasad"	"Kunti Devi"	"Sadhu Sinha"	"Abhay Kumar Anil"	"Jagdish Sharma"	""	""	""	""
"157"	"113"	"44"	"3"	"21"	"1"	"0"	"43"	"-112"	"0"	"-112"	"0"
"158"	"114"	"189"	"8"	"47"	"8"	"3"	"46"	"-301"	"0"	"-301"	"0"
"159"	"115"	"54"	"2"	"47"	"3"	"2"	"252"	"-360"	"0"	"-360"	"0"
"160"	"116"	"17"	"11"	"44"	"13"	"9"	"134"	"-228"	"0"	"-228"	"0"
"161"	"117"	"85"	"6"	"49"	"8"	"6"	"336"	"-490"	"0"	"-490"	"0"
"162"	"118"	"79"	"5"	"132"	"14"	"8"	"43"	"-281"	"0"	"-281"	"0"
"163"	"119"	"302"	"10"	"29"	"9"	"7"	"143"	"-500"	"0"	"-500"	"0"
"164"	"120"	"54"	"10"	"104"	"9"	"13"	"224"	"-414"	"0"	"-414"	"0"
"165"	"121"	"186"	"11"	"157"	"33"	"7"	"67"	"-461"	"0"	"-461"	"0"
"166"	"122"	"217"	"14"	"24"	"9"	"7"	"158"	"-429"	"0"	"-429"	"0"
"167"	"123"	"172"	"7"	"1"	"2"	"7"	"80"	"-269"	"0"	"-269"	"0"
"168"	"124"	"74"	"2"	"0"	"0"	"0"	"545"	"-621"	"0"	"-621"	"0"
"169"	"125"	"4"	"0"	"0"	"0"	"0"	"365"	"-369"	"0"	"-369"	"0"
"170"	"126"	"207"	"6"	"4"	"4"	"3"	"261"	"-485"	"0"	"-485"	"0"
"171"	"See rule 56 (7)"	""	""	""	""	""	""	""	""	""	""
"172"	"(To be record for recording the result of voting at notified Polling Station)"	""	""	""	""	""	""	""	""	""	""
"173"	"Election to the Bihar Legislative Assembly from the 228 - Ghoshi Assembly Constituency"	""	""	""	""	""	""	""	""	""	""
"174"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"175"	""	"Ajay Singh"	"Suryadeo Prasad"	"Kunti Devi"	"Sadhu Sinha"	"Abhay Kumar Anil"	"Jagdish Sharma"	""	""	""	""
"176"	"127"	"39"	"7"	"1"	"3"	"5"	"159"	"-214"	"0"	"-214"	"0"
"177"	"128"	"115"	"4"	"18"	"8"	"9"	"172"	"-326"	"0"	"-326"	"0"
"178"	"129"	"154"	"2"	"21"	"9"	"4"	"695"	"-885"	"0"	"-885"	"0"
"179"	"130"	"4"	"1"	"0"	"2"	"1"	"343"	"-351"	"0"	"-351"	"0"
"180"	"131"	"110"	"17"	"23"	"3"	"6"	"322"	"-481"	"0"	"-481"	"0"
"181"	"132"	"93"	"11"	"10"	"2"	"6"	"180"	"-302"	"0"	"-302"	"0"
"182"	"133"	"146"	"1"	"118"	"6"	"3"	"214"	"-488"	"0"	"-488"	"0"
"183"	"134"	"170"	"25"	"102"	"22"	"18"	"139"	"-476"	"0"	"-476"	"0"
"184"	"135"	"135"	"6"	"2"	"4"	"3"	"329"	"-479"	"0"	"-479"	"0"
"185"	"136"	"70"	"7"	"5"	"7"	"9"	"133"	"-231"	"0"	"-231"	"0"
"186"	"137"	"239"	"7"	"84"	"7"	"3"	"5"	"-345"	"0"	"-345"	"0"
"187"	"138"	"140"	"9"	"77"	"14"	"7"	"208"	"-455"	"0"	"-455"	"0"
"188"	"139"	"79"	"3"	"0"	"0"	"3"	"209"	"-294"	"0"	"-294"	"0"
"189"	"140"	"61"	"0"	"3"	"1"	"2"	"535"	"-602"	"0"	"-602"	"0"
"190"	"See rule 56 (7)"	""	""	""	""	""	""	""	""	""	""
"191"	"(To be record for recording the result of voting at notified Polling Station)"	""	""	""	""	""	""	""	""	""	""
"192"	"Election to the Bihar Legislative Assembly from the 228 - Ghoshi Assembly Constituency"	""	""	""	""	""	""	""	""	""	""
"193"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"194"	""	"Ajay Singh"	"Suryadeo Prasad"	"Kunti Devi"	"Sadhu Sinha"	"Abhay Kumar Anil"	"Jagdish Sharma"	""	""	""	""
"195"	"141"	"41"	"0"	"1"	"0"	"0"	"679"	"-721"	"0"	"-721"	"0"
"196"	"142"	"121"	"0"	"3"	"2"	"4"	"117"	"-247"	"0"	"-247"	"0"
"197"	"143"	"50"	"7"	"17"	"2"	"6"	"169"	"-251"	"0"	"-251"	"0"
"198"	"144"	"5"	"1"	"2"	"0"	"1"	"2"	"-11"	"0"	"-11"	"0"
"199"	"145"	"67"	"0"	"3"	"1"	"1"	"156"	"-228"	"0"	"-228"	"0"
"200"	"146"	"47"	"0"	"0"	"0"	"1"	"633"	"-681"	"0"	"-681"	"0"
"201"	"147"	"201"	"3"	"0"	"1"	"0"	"377"	"-582"	"0"	"-582"	"0"
"202"	"148"	"34"	"2"	"34"	"8"	"1"	"177"	"-256"	"0"	"-256"	"0"
"203"	"149"	"47"	"4"	"1"	"1"	"2"	"175"	"-230"	"0"	"-230"	"0"
"204"	"150"	"232"	"15"	"6"	"5"	"10"	"184"	"-452"	"0"	"-452"	"0"
"205"	"151"	"48"	"11"	"158"	"27"	"13"	"199"	"-456"	"0"	"-456"	"0"
"206"	"152"	"80"	"5"	"67"	"9"	"7"	"200"	"-368"	"0"	"-368"	"0"
"207"	"153"	"9"	"0"	"1"	"0"	"2"	"494"	"-506"	"0"	"-506"	"0"
"208"	"154"	"9"	"0"	"39"	"4"	"4"	"137"	"-193"	"0"	"-193"	"0"
"209"	"See rule 56 (7)"	""	""	""	""	""	""	""	""	""	""
"210"	"(To be record for recording the result of voting at notified Polling Station)"	""	""	""	""	""	""	""	""	""	""
"211"	"Election to the Bihar Legislative Assembly from the 228 - Ghoshi Assembly Constituency"	""	""	""	""	""	""	""	""	""	""
"212"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"213"	""	"Ajay Singh"	"Suryadeo Prasad"	"Kunti Devi"	"Sadhu Sinha"	"Abhay Kumar Anil"	"Jagdish Sharma"	""	""	""	""
"214"	"155"	"12"	"1"	"3"	"0"	"0"	"102"	"-118"	"0"	"-118"	"0"
"215"	"156"	"73"	"2"	"4"	"0"	"3"	"372"	"-454"	"0"	"-454"	"0"
"216"	"157"	"176"	"4"	"14"	"5"	"3"	"19"	"-221"	"0"	"-221"	"0"
"217"	"158"	"199"	"19"	"120"	"26"	"9"	"157"	"-530"	"0"	"-530"	"0"
"218"	"159"	"242"	"6"	"9"	"4"	"7"	"115"	"-383"	"0"	"-383"	"0"
"219"	"160"	"233"	"15"	"43"	"13"	"6"	"195"	"-505"	"0"	"-505"	"0"
"220"	"161"	"46"	"9"	"4"	"1"	"7"	"489"	"-556"	"0"	"-556"	"0"
"221"	"162"	"252"	"0"	"0"	"0"	"0"	"0"	"-252"	"0"	"-252"	"0"
"222"	"163"	"209"	"1"	"0"	"1"	"0"	"225"	"-436"	"0"	"-436"	"0"
"223"	"164"	"217"	"18"	"1"	"1"	"4"	"130"	"-371"	"0"	"-371"	"0"
"224"	"165"	"120"	"3"	"1"	"1"	"5"	"166"	"-296"	"0"	"-296"	"0"
"225"	"166"	"465"	"14"	"5"	"1"	"2"	"101"	"-588"	"0"	"-588"	"0"
"226"	"167"	"330"	"2"	"0"	"1"	"2"	"57"	"-392"	"0"	"-392"	"0"
"227"	"168"	"246"	"4"	"12"	"1"	"2"	"180"	"-445"	"0"	"-445"	"0"
"228"	"See rule 56 (7)"	""	""	""	""	""	""	""	""	""	""
"229"	"(To be record for recording the result of voting at notified Polling Station)"	""	""	""	""	""	""	""	""	""	""
"230"	"Election to the Bihar Legislative Assembly from the 228 - Ghoshi Assembly Constituency"	""	""	""	""	""	""	""	""	""	""
"231"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"232"	""	"Ajay Singh"	"Suryadeo Prasad"	"Kunti Devi"	"Sadhu Sinha"	"Abhay Kumar Anil"	"Jagdish Sharma"	""	""	""	""
"233"	"169"	"178"	"4"	"43"	"9"	"9"	"110"	"353"	"0"	"353"	"0"
"234"	"169 K"	"168"	"3"	"17"	"3"	"5"	"45"	"241"	"0"	"241"	"0"
"235"	"170"	"220"	"7"	"4"	"1"	"5"	"318"	"555"	"0"	"555"	"0"
"236"	"171"	"114"	"2"	"14"	"4"	"0"	"268"	"402"	"0"	"402"	"0"
"237"	"172"	"277"	"17"	"36"	"8"	"9"	"119"	"466"	"0"	"466"	"0"
"238"	"173"	"299"	"12"	"4"	"3"	"4"	"249"	"571"	"0"	"571"	"0"
"239"	"174"	"128"	"15"	"27"	"1"	"2"	"77"	"250"	"0"	"250"	"0"
"240"	"175"	"230"	"12"	"23"	"10"	"12"	"328"	"615"	"0"	"615"	"0"
"241"	"176"	"70"	"4"	"16"	"1"	"7"	"221"	"319"	"0"	"319"	"0"
"242"	"177"	"0"	"0"	"0"	""	"0"	"496"	"496"	"0"	"496"	"0"
"243"	"178"	"45"	"0"	"3"	"0"	"0"	"845"	"893"	"0"	"893"	"0"
"244"	"179"	"47"	"1"	"0"	"1"	"3"	"519"	"571"	"0"	"571"	"0"
"245"	"180"	"8"	"0"	"0"	"1"	"0"	"511"	"520"	"0"	"520"	"0"
"246"	"181"	"4"	"0"	"1"	"0"	"2"	"614"	"621"	"0"	"621"	"0"
"247"	"(To be record for recording the result of voting at notified Polling Station)"	""	""	""	""	""	""	""	""	""	""
"248"	"Election to the Bihar Legislative Assembly from the 228 - Ghoshi Assembly Constituency"	""	""	""	""	""	""	""	""	""	""
"249"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"250"	""	"Ajay Singh"	"Suryadeo Prasad"	"Kunti Devi"	"Sadhu Sinha"	"Abhay Kumar Anil"	"Jagdish Sharma"	""	""	""	""
"251"	"182"	"96"	"2"	"0"	"0"	"0"	"400"	"-498"	"0"	"-498"	"0"
"252"	"183"	"219"	"3"	"25"	"4"	"5"	"122"	"-378"	"0"	"-378"	"0"
"253"	"184"	"77"	"2"	"48"	"4"	"1"	"457"	"-589"	"0"	"-589"	"0"
"254"	"185"	"99"	"3"	"131"	"4"	"4"	"242"	"-483"	"0"	"-483"	"0"
"255"	"186"	"70"	"1"	"132"	"2"	"0"	"385"	"-590"	"0"	"-590"	"0"
"256"	"187"	"78"	"1"	"2"	"0"	"0"	"319"	"-400"	"0"	"-400"	"0"
"257"	"188"	"115"	"8"	"5"	"4"	"4"	"146"	"-282"	"0"	"-282"	"0"
"258"	"189"	"144"	"8"	"32"	"1"	"4"	"182"	"-371"	"0"	"-371"	"0"
