"PS.NO"	"BRIJ.KISHORE.SINGH"	"SHASHI.KUMAR.RAI"	"SHYAM.BIHARI"	"SITA.RAM.SAHANI"	"BALENDRA.SINGH"	"AJAY.KUMAR.PASWAN"	"KAMLESHWAR.SINGH"	"KAILASH.RAI"	"BHUWANESHWAR.RAI"	"RAJ.MANGAL.RAM"	"RAMSAKAL.RAI"	"TOTAL.OF.VALID.VOTES"	"NO.OF.REJECTED.VOTES"	"Total"	"TOTAL.NO.OF.TENDER.VOTES"
"171"	166	207	47	10	4	5	0	2	1	3	3	9	-291	0	-291	"NIL"
"172"	167	108	87	82	138	12	1	3	5	0	7	14	-457	0	-457	"NIL"
"173"	168	96	43	180	10	4	2	2	2	6	2	50	-397	0	-397	"NIL"
"174"	169	131	114	153	27	5	5	5	5	5	3	11	-464	0	-464	"NIL"
"175"	170	19	421	10	0	1	1	0	0	0	3	1	-456	0	-456	"NIL"
"176"	171	66	96	38	30	4	6	8	6	10	13	20	-297	0	-297	"NIL"
"177"	172	159	117	7	128	6	6	6	3	8	18	30	-488	0	-488	"NIL"
"178"	173	141	139	29	63	9	7	6	1	3	8	39	-445	0	-445	"NIL"
"179"	174	85	113	64	7	4	7	5	4	5	3	51	-348	0	-348	"NIL"
"180"	175	77	217	49	34	5	14	15	7	9	12	40	-479	0	-479	"NIL"
"181"	176	248	151	86	75	7	11	7	6	6	11	42	-650	0	-650	"NIL"
"182"	177	124	203	10	10	2	7	6	1	2	3	18	-386	0	-386	"NIL"
"183"	178	305	35	32	8	5	7	3	4	8	10	39	-456	0	-456	"NIL"
"184"	179	177	90	119	6	6	11	9	9	10	13	32	-482	0	-482	"NIL"
"185"	180	146	158	76	73	7	4	3	1	1	2	21	-492	0	-492	"NIL"
"186"	181	179	111	107	34	17	6	12	8	7	11	12	-504	0	-504	"NIL"
"187"	182	429	60	126	11	3	6	4	3	1	0	16	-659	0	-659	"NIL"
"188"	183	175	127	35	17	9	4	8	2	3	4	9	-393	0	-393	"NIL"
"189"	184	160	140	147	10	7	8	4	8	14	14	33	-545	0	-545	"NIL"
"190"	185	125	141	29	45	7	4	8	2	3	9	46	-419	0	-419	"NIL"
"191"	186	41	79	561	71	5	3	5	5	1	7	29	-807	0	-807	"NIL"
"192"	187	25	157	23	75	4	5	4	1	2	2	23	-321	0	-321	"NIL"
"193"	188	400	92	29	61	4	5	3	2	0	4	19	-619	0	-619	"NIL"
"194"	189	340	93	53	31	5	9	9	1	9	20	86	-656	0	-656	"NIL"
"195"	190	75	103	86	40	3	1	5	4	5	8	16	-346	0	-346	"NIL"
"196"	191	107	126	132	120	10	9	17	9	10	19	80	-639	0	-639	"NIL"
"197"	192	187	274	47	128	10	6	11	2	6	6	24	-701	0	-701	"NIL"
"198"	193	121	69	29	74	10	9	6	6	12	21	77	-434	0	-434	"NIL"
"199"	194	16	24	7	177	6	3	2	1	5	12	5	-258	0	-258	"NIL"
"200"	195	33	504	16	58	1	0	2	1	4	2	14	-635	0	-635	"NIL"
"201"	196	177	59	11	22	4	4	4	1	2	3	43	-330	0	-330	"NIL"
"202"	197	33	56	41	360	13	4	4	3	1	7	15	-537	0	-537	"NIL"
"203"	198	31	72	23	292	20	8	7	7	11	21	33	-525	0	-525	"NIL"
"204"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"TOTAL NO OF TENDER VOTES"
"205"	199	69	155	21	53	11	4	7	7	6	11	25	-369	0	-369	"NIL"
"206"	200	46	94	187	7	2	4	0	4	4	8	8	-364	0	-364	"NIL"
"207"	201	96	63	195	42	7	4	8	4	11	15	47	-492	0	-492	"NIL"
"208"	202	88	153	77	166	22	10	9	5	10	11	13	-564	0	-564	"NIL"
"209"	203	56	182	92	108	12	6	7	6	4	13	18	-504	0	-504	"NIL"
"210"	204	81	411	51	8	3	6	3	1	0	2	9	-575	0	-575	"NIL"
"211"	205	13	605	20	2	1	2	0	3	2	4	4	-656	0	-656	"NIL"
"212"	206	47	161	168	21	4	9	11	8	11	8	21	-469	0	-469	"NIL"
"213"	207	19	146	61	10	5	9	5	1	5	5	6	-272	0	-272	"NIL"
"214"	208	59	145	324	17	7	5	5	3	10	2	17	-594	0	-594	"NIL"
"215"	209	238	141	37	4	4	5	1	4	5	9	17	-465	0	-465	"NIL"
"216"	210	111	78	80	12	9	5	6	3	6	11	27	-348	0	-348	"NIL"
"217"	211	132	307	126	3	5	11	7	4	16	19	27	-657	0	-657	"NIL"
"218"	212	182	170	127	12	11	6	9	6	14	7	29	-573	0	-573	"NIL"
"219"	213	63	109	23	17	3	0	4	4	6	18	40	-287	0	-287	"NIL"
"220"	214	5	127	117	3	6	4	3	2	3	5	8	-283	0	-283	"NIL"
"221"	215	75	186	147	11	2	3	4	1	3	6	14	-452	0	-452	"NIL"
"222"	216	101	53	88	1	0	0	1	0	1	1	4	-250	0	-250	"NIL"
"223"	217	164	58	69	15	4	3	4	5	5	5	52	-384	0	-384	"NIL"
"224"	218	51	283	81	8	7	4	4	1	0	3	8	-450	0	-450	"NIL"
"225"	NA	-33788	-25644	-17040	-4844	-1162	-808	-852	-577	-996	-1420	-11516	-98647	0	-98647	"NIL"
"226"	NA	NA	NA	NA	NA	NA	NA	NA	NA	98647	NA	NA	NA	NA	NA	""
"227"	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	""
"228"	NA	NA	NA	NA	NA	NA	NA	NA	NA	98648	NA	NA	NA	NA	NA	""
"229"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""
"230"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""
"231"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""
"232"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""
