"FINAL.RESULTSHEET"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"31"	"22"	"69"	"250"	"7"	"0"	"70"	"6"	"4"	"2"	"6"	"3"	"6"	"9"	"7"	"439"	"0"	"439"	""	""
"32"	"23"	"29"	"272"	"8"	"2"	"29"	"3"	"4"	"2"	"2"	"8"	"17"	"17"	"23"	"416"	"0"	"416"	""	""
"33"	"24"	"235"	"45"	"3"	"2"	"63"	"2"	"2"	"2"	"3"	"1"	"3"	"0"	"0"	"361"	"0"	"361"	""	""
"34"	"25"	"299"	"61"	"4"	"2"	"72"	"8"	"9"	"3"	"0"	"2"	"1"	"2"	"7"	"470"	"0"	"470"	""	""
"35"	"26"	"41"	"296"	"2"	"2"	"102"	"2"	"2"	"3"	"4"	"1"	"5"	"5"	"8"	"473"	"0"	"473"	""	""
"36"	"27"	"7"	"288"	"1"	"1"	"83"	"14"	"4"	"2"	"1"	"0"	"2"	"0"	"0"	"403"	"0"	"403"	""	""
"37"	"28"	"7"	"155"	"13"	"1"	"48"	"3"	"5"	"0"	"4"	"2"	"2"	"4"	"6"	"250"	"0"	"250"	""	""
"38"	"Round 2"	"1767"	"4953"	"146"	"57"	"1205"	"95"	"77"	"38"	"56"	"54"	"99"	"145"	"166"	"8858"	"0"	"8858"	""	""
"39"	"29"	"19"	"395"	"5"	"4"	"18"	"4"	"5"	"1"	"2"	"2"	"3"	"6"	"7"	"471"	"0"	"471"	""	""
"40"	"30"	"61"	"195"	"7"	"4"	"40"	"6"	"6"	"2"	"4"	"3"	"13"	"9"	"17"	"367"	"0"	"367"	""	""
"41"	"31"	"19"	"263"	"1"	"0"	"28"	"1"	"8"	"0"	"0"	"1"	"7"	"2"	"4"	"334"	"0"	"334"	""	""
"42"	"32"	"17"	"491"	"5"	"1"	"51"	"1"	"2"	"0"	"0"	"1"	"3"	"5"	"3"	"580"	"0"	"580"	""	""
"43"	"Serial No.of Polling Station"	"No. of Valid Votes cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid votes"	"No. of rejected votes"	"Total"	"No.of total voter"	"%"
"44"	""	"Dr. Kumar Pushpanjay"	"Jitendra Kumar"	"Suren Das"	"Kiran Devi"	"Mukesh Kumar"	"Krishna Ballabh Prasad Singh"	"Naushad"	"Bhushan Singh"	"Manoj Prasad Singh"	"Vidya Sagar Singh"	"Shailendra Kumar"	"Sanjay Paswan"	"Sudhir Pandey"	""	""	""	""	""
"45"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"2"	"3"	"4"	"5"	"6"
"46"	"33"	"32"	"239"	"3"	"0"	"17"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"293"	"0"	"293"	""	""
"47"	"34"	"144"	"35"	"8"	"1"	"77"	"2"	"4"	"2"	"2"	"0"	"0"	"6"	"5"	"286"	"0"	"286"	""	""
"48"	"35"	"20"	"174"	"14"	"1"	"20"	"1"	"2"	"1"	"1"	"1"	"6"	"1"	"3"	"245"	"0"	"245"	""	""
"49"	"36"	"7"	"74"	"2"	"1"	"2"	"0"	"2"	"1"	"1"	"0"	"5"	"2"	"0"	"97"	"0"	"97"	""	""
"50"	"37"	"16"	"223"	"0"	"2"	"13"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"256"	"0"	"256"	""	""
"51"	"38"	"49"	"318"	"2"	"3"	"127"	"7"	"3"	"2"	"4"	"1"	"8"	"4"	"9"	"537"	"0"	"537"	""	""
"52"	"39"	"6"	"756"	"64"	"2"	"26"	"1"	"1"	"0"	"0"	"1"	"2"	"0"	"1"	"860"	"0"	"860"	""	""
"53"	"40"	"28"	"196"	"5"	"4"	"148"	"19"	"6"	"1"	"3"	"0"	"5"	"9"	"5"	"429"	"0"	"429"	""	""
"54"	"41"	"78"	"61"	"18"	"2"	"40"	"2"	"1"	"1"	"0"	"2"	"2"	"1"	"5"	"213"	"0"	"213"	""	""
"55"	"42"	"16"	"93"	"2"	"3"	"81"	"2"	"4"	"5"	"1"	"1"	"3"	"11"	"10"	"232"	"0"	"232"	""	""
"56"	"Round 3"	"2279"	"8466"	"282"	"85"	"1893"	"141"	"122"	"54"	"75"	"67"	"157"	"202"	"235"	"14058"	"0"	"14058"	""	""
"57"	"43"	"422"	"42"	"1"	"4"	"17"	"0"	"0"	"0"	"0"	"1"	"1"	"2"	"0"	"490"	"0"	"490"	""	""
"58"	"44"	"0"	"15"	"0"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"18"	"0"	"18"	""	""
"59"	"45"	"72"	"114"	"1"	"4"	"116"	"7"	"6"	"1"	"1"	"2"	"5"	"0"	"0"	"329"	"0"	"329"	""	""
"60"	"46"	"105"	"55"	"0"	"4"	"77"	"2"	"3"	"0"	"3"	"1"	"2"	"5"	"10"	"267"	"0"	"267"	""	""
"61"	"47"	"19"	"280"	"2"	"0"	"14"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"316"	"0"	"316"	""	""
"62"	"48"	"10"	"320"	"2"	"1"	"27"	"2"	"1"	"0"	"0"	"2"	"1"	"6"	"3"	"375"	"0"	"375"	""	""
"63"	"49"	"37"	"123"	"1"	"1"	"7"	"3"	"0"	"0"	"3"	"3"	"4"	"6"	"88"	"276"	"0"	"276"	""	""
"64"	"50"	"75"	"122"	"9"	"3"	"26"	"5"	"5"	"4"	"4"	"4"	"21"	"11"	"114"	"403"	"0"	"403"	""	""
"65"	"51"	"60"	"192"	"0"	"0"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"265"	"0"	"265"	""	""
"66"	"52"	"95"	"298"	"9"	"4"	"22"	"3"	"2"	"4"	"4"	"2"	"10"	"9"	"21"	"483"	"0"	"483"	""	""
"67"	"53"	"73"	"177"	"3"	"2"	"6"	"0"	"0"	"1"	"0"	"2"	"6"	"5"	"4"	"279"	"0"	"279"	""	""
"68"	"54"	"24"	"224"	"23"	"1"	"13"	"2"	"2"	"2"	"1"	"2"	"6"	"3"	"4"	"307"	"0"	"307"	""	""
"69"	"55"	"11"	"23"	"1"	"0"	"148"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"2"	"188"	"0"	"188"	""	""
"70"	"56"	"15"	"272"	"2"	"0"	"77"	"3"	"5"	"0"	"3"	"0"	"3"	"1"	"1"	"382"	"0"	"382"	""	""
"71"	"Round  4"	"3297"	"10723"	"336"	"109"	"2458"	"170"	"147"	"66"	"94"	"87"	"217"	"250"	"482"	"18436"	"0"	"18436"	""	""
"72"	"57"	"33"	"186"	"2"	"2"	"1"	"0"	"0"	"2"	"1"	"0"	"2"	"2"	"0"	"231"	"0"	"231"	""	""
"73"	"58"	"36"	"178"	"6"	"5"	"6"	"1"	"1"	"0"	"1"	"6"	"4"	"4"	"4"	"252"	"0"	"252"	""	""
"74"	"59"	"0"	"426"	"1"	"1"	"12"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"441"	"0"	"441"	""	""
"75"	"60"	"333"	"30"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"367"	"0"	"367"	""	""
"76"	"61"	"111"	"131"	"3"	"1"	"69"	"7"	"2"	"0"	"5"	"3"	"3"	"2"	"6"	"343"	"0"	"343"	""	""
"77"	"62"	"35"	"187"	"33"	"2"	"26"	"3"	"3"	"0"	"1"	"2"	"4"	"5"	"4"	"305"	"0"	"305"	""	""
"78"	"63"	"17"	"244"	"3"	"1"	"11"	"0"	"1"	"0"	"0"	"0"	"3"	"0"	"2"	"282"	"0"	"282"	""	""
"79"	"64"	"39"	"254"	"70"	"6"	"13"	"0"	"3"	"4"	"3"	"2"	"7"	"10"	"4"	"415"	"0"	"415"	""	""
"80"	"65"	"2"	"514"	"1"	"0"	"11"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"530"	"0"	"530"	""	""
"81"	"66"	"15"	"140"	"0"	"2"	"30"	"3"	"1"	"1"	"0"	"1"	"2"	"0"	"9"	"204"	"0"	"204"	""	""
"82"	"67"	"2"	"247"	"9"	"0"	"15"	"3"	"4"	"0"	"1"	"2"	"5"	"6"	"12"	"306"	"0"	"306"	""	""
"83"	"Serial No.of Polling Station"	"No. of Valid Votes cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid votes"	"No. of rejected votes"	"Total"	"No.of total voter"	"%"
"84"	""	"Dr. Kumar Pushpanjay"	"Jitendra Kumar"	"Suren Das"	"Kiran Devi"	"Mukesh Kumar"	"Krishna Ballabh Prasad Singh"	"Naushad"	"Bhushan Singh"	"Manoj Prasad Singh"	"Vidya Sagar Singh"	"Shailendra Kumar"	"Sanjay Paswan"	"Sudhir Pandey"	""	""	""	""	""
"85"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"2"	"3"	"4"	"5"	"6"
"86"	"68"	"9"	"233"	"4"	"2"	"80"	"9"	"7"	"1"	"0"	"1"	"7"	"1"	"2"	"356"	"0"	"356"	""	""
"87"	"69"	"13"	"165"	"1"	"1"	"61"	"10"	"4"	"2"	"1"	"0"	"3"	"4"	"2"	"267"	"0"	"267"	""	""
"88"	"70"	"283"	"86"	"3"	"1"	"11"	"0"	"7"	"0"	"0"	"1"	"1"	"0"	"2"	"395"	"0"	"395"	""	""
"89"	"Round  5"	"4225"	"13744"	"473"	"134"	"2806"	"207"	"182"	"76"	"107"	"105"	"258"	"284"	"529"	"23130"	"0"	"23130"	""	""
"90"	"71"	"42"	"23"	"5"	"4"	"262"	"9"	"7"	"5"	"5"	"1"	"0"	"2"	"8"	"373"	"0"	"373"	""	""
"91"	"72"	"96"	"64"	"5"	"3"	"76"	"11"	"18"	"4"	"7"	"4"	"14"	"18"	"20"	"340"	"0"	"340"	""	""
"92"	"73"	"6"	"205"	"1"	"2"	"58"	"6"	"1"	"1"	"1"	"2"	"4"	"2"	"6"	"295"	"0"	"295"	""	""
"93"	"74"	"4"	"227"	"3"	"0"	"15"	"0"	"2"	"1"	"0"	"0"	"10"	"4"	"4"	"270"	"0"	"270"	""	""
"94"	"75"	"65"	"58"	"42"	"2"	"119"	"8"	"12"	"1"	"4"	"3"	"3"	"3"	"8"	"328"	"0"	"328"	""	""
"95"	"76"	"48"	"257"	"3"	"2"	"107"	"6"	"3"	"1"	"5"	"3"	"5"	"3"	"5"	"448"	"0"	"448"	""	""
"96"	"77"	"5"	"295"	"2"	"0"	"21"	"0"	"3"	"0"	"1"	"0"	"1"	"1"	"2"	"331"	"0"	"331"	""	""
"97"	"78"	"96"	"166"	"54"	"4"	"82"	"8"	"5"	"2"	"2"	"2"	"2"	"5"	"0"	"428"	"0"	"428"	""	""
"98"	"79"	"9"	"247"	"2"	"0"	"16"	"2"	"0"	"0"	"2"	"0"	"3"	"5"	"0"	"286"	"0"	"286"	""	""
"99"	"80"	"69"	"96"	"4"	"0"	"4"	"2"	"3"	"0"	"1"	"3"	"7"	"1"	"5"	"195"	"0"	"195"	""	""
"100"	"81"	"10"	"179"	"3"	"3"	"95"	"9"	"1"	"2"	"0"	"0"	"3"	"2"	"4"	"311"	"0"	"311"	""	""
"101"	"82"	"86"	"111"	"4"	"1"	"64"	"3"	"2"	"1"	"1"	"0"	"3"	"1"	"1"	"278"	"0"	"278"	""	""
"102"	"83"	"136"	"117"	"3"	"5"	"115"	"15"	"2"	"3"	"3"	"4"	"5"	"5"	"14"	"427"	"0"	"427"	""	""
"103"	"84"	"98"	"135"	"2"	"1"	"72"	"1"	"1"	"1"	"3"	"0"	"5"	"2"	"8"	"329"	"0"	"329"	""	""
"104"	"Round  6"	"4995"	"15924"	"606"	"161"	"3912"	"287"	"242"	"98"	"142"	"127"	"323"	"338"	"614"	"27769"	"0"	"27769"	""	""
"105"	"85"	"72"	"29"	"7"	"1"	"139"	"16"	"5"	"8"	"13"	"2"	"8"	"10"	"31"	"341"	"0"	"341"	""	""
"106"	"86"	"164"	"29"	"10"	"0"	"58"	"2"	"1"	"1"	"0"	"2"	"2"	"0"	"2"	"271"	"0"	"271"	""	""
"107"	"87"	"79"	"44"	"1"	"0"	"115"	"5"	"2"	"1"	"1"	"0"	"0"	"1"	"3"	"252"	"0"	"252"	""	""
"108"	"88"	"73"	"21"	"2"	"1"	"76"	"6"	"2"	"0"	"1"	"1"	"2"	"4"	"5"	"194"	"0"	"194"	""	""
"109"	"89"	"139"	"110"	"6"	"18"	"53"	"4"	"2"	"1"	"4"	"0"	"4"	"4"	"10"	"355"	"0"	"355"	""	""
"110"	"90"	"90"	"169"	"0"	"0"	"24"	"3"	"1"	"1"	"2"	"2"	"4"	"6"	"13"	"315"	"0"	"315"	""	""
"111"	"91"	"225"	"31"	"56"	"5"	"76"	"4"	"3"	"2"	"3"	"1"	"2"	"2"	"13"	"423"	"0"	"423"	""	""
"112"	"92"	"327"	"45"	"0"	"2"	"31"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"3"	"411"	"0"	"411"	""	""
"113"	"93"	"430"	"22"	"1"	"4"	"15"	"0"	"0"	"0"	"2"	"0"	"1"	"0"	"0"	"475"	"0"	"475"	""	""
"114"	"94"	"200"	"12"	"0"	"0"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"221"	"0"	"221"	""	""
"115"	"95"	"11"	"60"	"2"	"4"	"156"	"17"	"6"	"0"	"7"	"4"	"3"	"8"	"7"	"285"	"0"	"285"	""	""
"116"	"96"	"2"	"178"	"0"	"0"	"37"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"221"	"0"	"221"	""	""
"117"	"97"	"75"	"89"	"7"	"4"	"137"	"15"	"15"	"2"	"3"	"1"	"2"	"5"	"12"	"367"	"0"	"367"	""	""
"118"	"98"	"527"	"94"	"2"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"625"	"0"	"625"	""	""
"119"	"Round  7"	"7409"	"16857"	"700"	"200"	"4837"	"361"	"281"	"114"	"178"	"141"	"352"	"380"	"715"	"32525"	"0"	"32525"	""	""
"120"	"99"	"345"	"127"	"0"	"1"	"19"	"5"	"1"	"0"	"2"	"1"	"0"	"0"	"2"	"503"	"0"	"503"	""	""
"121"	"100"	"51"	"57"	"4"	"5"	"68"	"1"	"1"	"1"	"3"	"0"	"0"	"1"	"2"	"194"	"0"	"194"	""	""
"122"	"101"	"130"	"47"	"11"	"0"	"131"	"4"	"2"	"0"	"0"	"2"	"1"	"1"	"6"	"335"	"0"	"335"	""	""
"123"	"Serial No.of Polling Station"	"No. of Valid Votes cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid votes"	"No. of rejected votes"	"Total"	"No.of total voter"	"%"
"124"	""	"Dr. Kumar Pushpanjay"	"Jitendra Kumar"	"Suren Das"	"Kiran Devi"	"Mukesh Kumar"	"Krishna Ballabh Prasad Singh"	"Naushad"	"Bhushan Singh"	"Manoj Prasad Singh"	"Vidya Sagar Singh"	"Shailendra Kumar"	"Sanjay Paswan"	"Sudhir Pandey"	""	""	""	""	""
"125"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"2"	"3"	"4"	"5"	"6"
"126"	"102"	"269"	"9"	"0"	"0"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"286"	"0"	"286"	""	""
"127"	"103"	"136"	"146"	"3"	"0"	"81"	"3"	"2"	"0"	"2"	"3"	"3"	"5"	"9"	"393"	"0"	"393"	""	""
"128"	"104"	"26"	"378"	"1"	"1"	"27"	"4"	"1"	"0"	"0"	"2"	"5"	"4"	"0"	"449"	"0"	"449"	""	""
"129"	"105"	"98"	"25"	"1"	"2"	"54"	"3"	"1"	"1"	"2"	"0"	"3"	"0"	"4"	"194"	"0"	"194"	""	""
"130"	"106"	"216"	"34"	"9"	"2"	"75"	"9"	"6"	"3"	"3"	"1"	"2"	"5"	"15"	"380"	"0"	"380"	""	""
"131"	"107"	"179"	"32"	"5"	"3"	"49"	"1"	"3"	"0"	"2"	"0"	"0"	"4"	"10"	"288"	"0"	"288"	""	""
"132"	"108"	"13"	"371"	"6"	"0"	"102"	"4"	"7"	"2"	"4"	"2"	"1"	"7"	"4"	"523"	"0"	"523"	""	""
"133"	"109"	"83"	"243"	"2"	"0"	"8"	"3"	"3"	"1"	"0"	"1"	"9"	"4"	"11"	"368"	"0"	"368"	""	""
"134"	"110"	"176"	"38"	"2"	"4"	"34"	"2"	"4"	"1"	"2"	"0"	"3"	"10"	"9"	"285"	"0"	"285"	""	""
"135"	"111"	"279"	"34"	"5"	"2"	"20"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"2"	"345"	"0"	"345"	""	""
"136"	"112"	"640"	"10"	"3"	"0"	"11"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"667"	"0"	"667"	""	""
"137"	"Round  8"	"10050"	"18408"	"752"	"220"	"5520"	"403"	"313"	"124"	"199"	"153"	"379"	"423"	"791"	"37735"	"0"	"37735"	""	""
"138"	"113"	"733"	"21"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"755"	"0"	"755"	""	""
"139"	"114"	"116"	"122"	"4"	"3"	"32"	"9"	"6"	"4"	"3"	"2"	"10"	"6"	"13"	"330"	"0"	"330"	""	""
"140"	"115"	"104"	"95"	"2"	"2"	"25"	"4"	"3"	"1"	"0"	"4"	"7"	"8"	"7"	"262"	"0"	"262"	""	""
"141"	"116"	"120"	"49"	"7"	"6"	"137"	"7"	"5"	"0"	"2"	"0"	"2"	"0"	"4"	"339"	"0"	"339"	""	""
"142"	"117"	"226"	"65"	"3"	"0"	"4"	"1"	"0"	"1"	"0"	"0"	"3"	"2"	"0"	"305"	"0"	"305"	""	""
"143"	"118"	"239"	"45"	"2"	"2"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"301"	"0"	"301"	""	""
"144"	"119"	"72"	"39"	"1"	"0"	"75"	"7"	"1"	"0"	"0"	"1"	"2"	"2"	"2"	"202"	"0"	"202"	""	""
"145"	"120"	"96"	"21"	"3"	"0"	"81"	"6"	"8"	"1"	"3"	"0"	"1"	"0"	"5"	"225"	"0"	"225"	""	""
"146"	"121"	"110"	"5"	"1"	"2"	"64"	"5"	"2"	"1"	"0"	"0"	"1"	"1"	"9"	"201"	"0"	"201"	""	""
"147"	"122"	"70"	"24"	"1"	"1"	"99"	"5"	"4"	"0"	"0"	"0"	"1"	"1"	"2"	"208"	"0"	"208"	""	""
"148"	"123"	"790"	"25"	"0"	"0"	"2"	"0"	"0"	"14"	"0"	"0"	"0"	"0"	"0"	"831"	"0"	"831"	""	""
"149"	"124"	"35"	"202"	"0"	"2"	"29"	"1"	"3"	"10"	"1"	"1"	"2"	"2"	"5"	"293"	"0"	"293"	""	""
"150"	"125"	"417"	"18"	"0"	"0"	"12"	"3"	"6"	"26"	"1"	"0"	"0"	"0"	"0"	"483"	"0"	"483"	""	""
"151"	"126"	"451"	"11"	"0"	"0"	"2"	"0"	"0"	"21"	"1"	"0"	"0"	"0"	"0"	"486"	"0"	"486"	""	""
"152"	"Round  9"	"13629"	"19150"	"777"	"238"	"6093"	"451"	"351"	"203"	"210"	"161"	"408"	"445"	"840"	"42956"	"0"	"42956"	""	""
"153"	"127"	"363"	"26"	"1"	"0"	"10"	"0"	"1"	"4"	"1"	"0"	"0"	"0"	"0"	"406"	"0"	"406"	""	""
"154"	"128"	"461"	"4"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"468"	"0"	"468"	""	""
"155"	"129"	"300"	"8"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"310"	"0"	"310"	""	""
"156"	"130"	"303"	"10"	"0"	"0"	"2"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"319"	"0"	"319"	""	""
"157"	"131"	"132"	"10"	"2"	"3"	"85"	"12"	"8"	"1"	"3"	"0"	"3"	"2"	"5"	"266"	"0"	"266"	""	""
"158"	"132"	"399"	"32"	"11"	"3"	"76"	"4"	"7"	"2"	"0"	"4"	"2"	"1"	"3"	"544"	"0"	"544"	""	""
"159"	"133"	"291"	"4"	"0"	"0"	"4"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"301"	"0"	"301"	""	""
"160"	"134"	"37"	"107"	"4"	"3"	"68"	"4"	"4"	"4"	"5"	"0"	"10"	"12"	"14"	"272"	"0"	"272"	""	""
"161"	"135"	"27"	"248"	"2"	"4"	"124"	"8"	"8"	"3"	"6"	"1"	"9"	"9"	"14"	"463"	"0"	"463"	""	""
"162"	"136"	"17"	"222"	"3"	"1"	"62"	"1"	"3"	"0"	"1"	"1"	"3"	"5"	"5"	"324"	"0"	"324"	""	""
"163"	"Serial No.of Polling Station"	"No. of Valid Votes cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid votes"	"No. of rejected votes"	"Total"	"No.of total voter"	"%"
"164"	""	"Dr. Kumar Pushpanjay"	"Jitendra Kumar"	"Suren Das"	"Kiran Devi"	"Mukesh Kumar"	"Krishna Ballabh Prasad Singh"	"Naushad"	"Bhushan Singh"	"Manoj Prasad Singh"	"Vidya Sagar Singh"	"Shailendra Kumar"	"Sanjay Paswan"	"Sudhir Pandey"	""	""	""	""	""
"165"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"2"	"3"	"4"	"5"	"6"
"166"	"137"	"245"	"88"	"21"	"3"	"17"	"2"	"3"	"12"	"2"	"2"	"5"	"1"	"5"	"406"	"0"	"406"	""	""
"167"	"138"	"335"	"41"	"0"	"0"	"3"	"0"	"2"	"1"	"0"	"1"	"1"	"3"	"1"	"388"	"0"	"388"	""	""
"168"	"139"	"313"	"14"	"2"	"0"	"8"	"4"	"0"	"0"	"2"	"0"	"2"	"0"	"7"	"352"	"0"	"352"	""	""
"169"	"140"	"23"	"31"	"22"	"1"	"170"	"10"	"4"	"1"	"5"	"1"	"3"	"9"	"3"	"283"	"0"	"283"	""	""
"170"	"Round  10"	"16875"	"19995"	"845"	"256"	"6726"	"496"	"391"	"237"	"235"	"171"	"446"	"487"	"898"	"48058"	"0"	"48058"	""	""
"171"	"141"	"181"	"74"	"2"	"0"	"92"	"2"	"4"	"1"	"1"	"0"	"2"	"3"	"0"	"362"	"0"	"362"	""	""
