"Booths"	"Candidates"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"33"	"30"	10	3	7	47	138	12	5	2	0	12	87	20	4	9	161	12	19	-548
"34"	"31"	9	1	1	163	235	8	2	2	4	3	14	11	3	19	234	14	2	-725
"35"	"32"	3	1	5	152	155	2	0	4	0	0	66	3	1	8	118	3	1	-522
"36"	"33"	9	0	21	82	180	4	1	2	1	5	77	4	3	10	386	8	0	-793
"37"	"34"	6	1	7	36	4	4	0	0	0	4	1	2	3	2	384	3	5	-462
"38"	"35"	2	1	6	39	59	8	2	2	1	6	29	8	6	18	388	37	0	-612
"39"	"36"	8	16	22	18	38	7	2	1	2	7	22	3	10	11	414	28	9	-618
"40"	"37"	1	6	16	21	59	18	0	2	2	1	5	5	1	9	355	9	7	-517
"41"	"38"	17	1	116	415	81	8	0	8	1	6	15	15	18	4	72	18	5	-800
"42"	"39"	5	2	203	124	157	3	1	4	1	7	7	0	6	12	153	22	50	-757
"43"	"40"	15	5	124	112	256	17	5	9	9	6	35	7	7	6	82	5	9	-709
"44"	"41"	9	4	180	107	58	0	1	6	3	13	30	4	2	1	104	18	2	-542
"45"	"42"	11	1	88	450	104	12	4	2	4	7	5	7	9	8	85	5	5	-807
"46"	"43"	12	8	44	215	219	11	3	5	3	2	11	5	9	9	58	32	2	-648
"47"	"44"	4	8	314	101	158	16	8	13	2	3	6	6	7	20	36	71	3	-776
"48"	"45"	30	1	289	102	69	23	1	7	1	0	8	5	5	11	21	16	0	-589
"49"	"46"	1	1	488	46	136	4	1	2	3	2	10	10	6	9	15	19	1	-754
"50"	"47"	4	5	490	5	143	6	1	9	1	1	5	2	4	14	6	5	6	-707
"51"	"48"	7	9	207	176	110	45	1	7	4	3	2	12	10	11	33	132	2	-771
"52"	"49"	1	2	138	19	183	12	2	2	2	3	8	3	2	7	9	40	2	-435
"53"	"50"	11	6	227	37	164	23	6	5	3	8	12	8	1	5	13	28	2	-559
"54"	"51"	13	7	117	58	178	15	3	8	4	5	91	3	3	0	7	85	4	-601
"55"	"Booths"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"56"	"Booth No"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
"57"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"58"	"52"	4	13	287	312	59	27	4	14	6	12	18	15	20	23	17	49	21	-901
"59"	"53"	6	0	20	189	274	4	4	1	2	0	1	7	9	7	3	10	0	-537
"60"	"54"	1	4	175	245	88	18	2	4	2	5	6	7	4	6	7	18	4	-596
"61"	"55"	1	4	161	50	66	11	0	3	2	6	10	1	1	3	45	123	6	-493
"62"	"56"	2	0	173	38	144	23	0	0	1	2	8	0	4	6	23	141	2	-567
"63"	"57"	5	2	19	65	198	4	2	3	6	9	33	11	11	14	156	25	44	-607
"64"	"58"	3	3	27	61	151	2	0	2	1	20	7	5	3	4	1	8	171	-469
"65"	"59"	0	1	1	4	5	0	0	0	0	1	0	0	0	0	0	0	709	-721
"66"	"60"	7	4	11	160	112	8	2	3	1	15	4	3	5	4	20	9	84	-452
"67"	"61"	1	2	9	125	103	4	14	0	0	18	27	0	4	4	15	263	15	-604
"68"	"62"	37	5	16	7	123	11	1	2	3	38	45	2	5	8	5	19	210	-537
"69"	"63"	15	29	44	76	185	19	3	6	6	32	24	12	18	8	36	29	38	-580
"70"	"64"	6	3	18	15	74	3	3	6	0	7	5	0	44	6	14	89	113	-406
"71"	"65"	5	68	50	32	168	13	4	3	6	26	12	8	29	9	3	45	175	-656
"72"	"66"	14	3	26	220	260	20	3	5	7	17	19	27	25	3	19	42	13	-723
"73"	"67"	2	6	9	100	163	5	2	1	1	10	8	10	4	6	3	3	26	-359
"74"	"68"	3	0	4	67	25	9	0	1	0	3	4	1	2	1	7	1	49	-177
"75"	"69"	23	4	23	70	321	89	3	8	2	30	32	18	18	13	14	27	133	-828
"76"	"70"	12	3	4	123	307	12	5	1	3	0	7	4	2	4	1	6	7	-501
"77"	"71"	10	177	55	131	84	21	9	9	7	19	19	14	10	14	8	20	65	-672
"78"	"72"	9	42	38	149	306	16	3	9	2	4	6	7	3	4	9	4	9	-620
"79"	"73"	8	129	48	90	263	9	5	4	6	9	6	11	4	8	18	7	7	-632
"80"	"74"	2	15	23	7	96	1	0	0	0	1	0	0	1	0	1	6	1	-154
"81"	"75"	13	5	49	141	359	26	1	6	2	6	18	12	5	8	41	6	7	-705
"82"	"76"	2	1	2	97	75	2	0	0	3	0	40	0	0	4	258	3	1	-488
"83"	"77"	15	6	4	107	221	7	0	1	2	8	8	3	2	4	51	3	27	-469
"84"	"78"	1	7	96	115	38	89	4	6	3	18	60	6	9	3	15	18	2	-490
"85"	"79"	10	17	77	35	66	6	4	3	6	8	25	3	12	8	63	33	31	-407
"86"	"80"	0	30	84	57	150	5	2	4	2	5	2	13	27	9	4	11	6	-411
"87"	"81"	31	25	33	49	104	21	4	4	3	6	5	7	6	11	13	77	13	-412
"88"	"82"	2	53	104	201	55	53	2	6	3	21	5	5	8	4	6	16	42	-586
"89"	"83"	18	5	22	30	284	23	1	7	3	34	10	5	10	11	103	15	23	-604
"90"	"84"	14	39	141	13	379	15	3	4	5	10	19	7	75	16	9	63	43	-855
"91"	"85"	6	8	15	43	291	56	2	2	3	11	48	2	48	3	4	3	27	-572
"92"	"86"	13	59	164	169	250	12	3	3	5	13	16	15	29	8	5	11	13	-788
"93"	"87"	12	104	143	221	150	28	3	9	3	17	24	7	12	11	72	18	6	-840
"94"	"88"	5	5	5	123	406	8	2	1	0	5	6	4	2	2	30	5	6	-615
"95"	"89"	11	2	14	80	319	5	5	1	1	11	23	0	12	2	10	28	21	-545
"96"	"90"	11	3	11	55	238	10	3	2	7	21	8	2	7	7	4	7	141	-537
"97"	"91"	14	4	15	206	114	45	3	5	5	14	50	12	10	9	47	16	8	-577
"98"	"92"	7	9	15	75	239	16	6	2	1	10	20	17	2	2	5	18	3	-447
"99"	"93"	20	7	21	96	213	41	5	1	4	6	41	11	3	5	11	9	9	-503
"100"	"94"	16	8	17	107	179	13	1	3	4	31	30	8	6	8	4	2	93	-530
"101"	"95"	9	1	45	70	180	4	2	2	2	16	62	12	11	3	222	8	11	-660
"102"	"96"	0	3	114	97	30	7	0	0	1	7	141	0	0	0	0	0	0	-400
"103"	"97"	9	2	31	45	32	18	3	4	6	43	45	8	9	12	189	57	16	-529
"104"	"98"	0	1	48	20	9	6	2	3	2	3	20	2	3	13	399	23	2	-556
"105"	"99"	9	5	7	73	99	6	1	5	5	8	36	11	8	16	334	19	114	-756
"106"	"100"	2	0	14	30	140	27	1	5	0	22	49	3	3	5	215	1	1	-518
"107"	"101"	1	2	12	124	224	18	2	2	1	6	91	2	3	4	37	16	1	-546
"108"	"102"	0	28	1	68	1	2	1	0	0	2	19	2	0	0	4	0	0	-128
"109"	"103"	5	4	12	245	55	2	3	4	3	8	190	11	7	7	5	7	8	-576
"110"	"Booths"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"111"	"Booth No"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
"112"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"113"	"104"	0	0	5	161	36	6	2	1	1	4	414	7	3	1	3	14	6	-664
"114"	"105"	3	0	6	99	32	14	1	0	0	9	588	15	0	1	2	6	3	-779
"115"	"106"	57	0	4	147	118	5	3	0	1	0	216	9	1	1	10	2	0	-574
"116"	"107"	1	0	0	32	0	0	1	4	1	2	127	2	0	2	41	5	1	-219
"117"	"108"	0	0	4	1	3	0	0	0	0	4	995	2	0	0	2	0	0	-1011
"118"	"109"	4	0	7	30	46	3	0	1	0	8	879	3	0	0	0	0	0	-981
"119"	"110"	3	0	4	98	93	3	0	0	0	10	206	9	3	0	1	0	0	-430
"120"	"110A"	14	1	4	7	10	1	1	1	0	3	201	5	3	2	1	2	4	-260
"121"	"111"	0	0	11	18	206	6	0	0	0	16	68	1	2	3	241	6	2	-580
"122"	"112"	7	1	18	9	12	8	2	6	5	13	384	16	0	7	22	32	8	-550
"123"	"113"	9	1	27	29	9	5	8	8	6	9	301	12	11	1	4	13	3	-456
"124"	"114"	6	2	134	9	37	5	4	3	1	4	309	3	4	4	4	2	2	-533
"125"	"115"	6	0	1	61	184	5	3	3	3	7	247	13	1	0	0	10	2	-546
"126"	"116"	3	0	2	157	98	15	1	3	0	3	129	10	1	2	8	9	5	-446
"127"	"117"	0	3	5	271	68	0	6	1	14	4	90	6	10	3	31	27	0	-539
"128"	"118"	3	1	2	72	40	4	5	1	7	3	197	11	2	1	6	108	8	-471
"129"	"119"	7	1	5	112	134	12	3	1	0	4	91	57	3	2	6	129	1	-568
"130"	"120"	11	0	9	226	55	16	1	0	2	15	23	22	3	3	8	39	0	-433
"131"	"121"	5	1	10	80	18	15	3	3	0	10	25	16	3	9	90	17	3	-308
"132"	"122"	5	0	7	226	61	13	4	2	3	29	3	10	4	1	3	8	1	-380
"133"	"123"	0	0	7	379	20	73	1	0	0	1	0	1	0	1	2	0	0	-485
"134"	"124"	18	5	11	669	21	3	0	1	3	3	2	5	20	1	14	6	7	-789
"135"	"125"	0	1	5	141	7	3	2	0	1	10	3	1	3	1	0	0	2	-180
"136"	"126"	1	1	15	16	96	10	1	0	0	2	33	387	4	1	4	8	0	-579
"137"	"127"	24	0	4	12	13	5	0	1	0	1	6	524	8	0	4	18	1	-621
"138"	"128"	0	0	0	18	18	24	2	0	0	3	80	12	2	2	3	67	1	-232
"139"	"129"	1	1	1	28	38	21	3	1	1	1	23	152	3	2	2	60	0	-338
"140"	"130"	4	0	2	22	78	65	6	2	6	2	38	152	5	5	3	62	1	-453
"141"	"131"	3	1	3	17	99	69	4	1	2	4	48	94	1	5	7	50	4	-412
"142"	"132"	4	1	4	5	27	11	3	0	4	9	368	8	2	2	23	28	2	-501
"143"	"133"	3	0	7	117	160	47	4	1	0	11	67	5	4	8	44	20	1	-499
"144"	"134"	6	1	7	54	20	3	0	0	3	16	10	2	2	8	350	9	5	-496
"145"	"135"	3	0	1	80	122	13	3	1	5	9	120	12	12	13	138	84	6	-622
"146"	"136"	3	4	294	69	45	40	3	17	7	6	24	41	8	20	69	13	5	-668
"147"	"137"	5	2	235	117	84	15	3	6	2	5	42	13	2	6	36	3	0	-576
"148"	"137A"	3	3	62	77	103	13	4	3	1	2	7	29	8	7	94	6	2	-424
"149"	"138"	3	2	90	26	54	21	1	6	1	17	9	89	5	2	29	12	26	-393
"150"	"138A"	1	4	133	32	85	10	2	3	0	2	3	153	5	1	5	13	2	-454
"151"	"139"	2	1	122	47	56	76	4	6	3	14	9	138	10	2	40	11	37	-578
"152"	"139A"	0	0	67	59	13	20	2	2	1	13	13	67	4	1	9	12	1	-284
"153"	"140"	2	3	107	31	84	9	5	2	0	1	5	30	2	4	86	12	29	-412
"154"	"141"	3	0	192	28	51	29	9	10	3	6	13	46	6	9	90	25	4	-524
"155"	"142"	2	0	55	75	285	46	35	1	0	4	4	86	4	5	1	21	4	-628
"156"	"143"	6	1	25	99	305	37	23	3	1	4	11	22	6	4	6	19	3	-575
"157"	"144"	5	4	101	115	100	35	31	7	4	21	72	34	4	3	64	14	2	-616
"158"	"145"	3	0	30	70	190	17	31	3	4	6	42	15	3	5	74	13	3	-509
"159"	"146"	8	1	43	40	122	38	12	7	6	36	113	29	9	9	10	31	14	-528
"160"	"147"	2	2	39	19	81	4	2	1	1	9	199	59	2	3	59	8	53	-543
"161"	"148"	1	0	7	525	6	8	1	0	1	3	2	2	36	3	1	2	3	-601
"162"	"149"	8	1	15	127	182	20	3	2	3	10	5	7	8	6	1	29	13	-440
"163"	"150"	9	2	36	310	65	50	3	4	2	10	5	13	5	1	3	4	11	-533
"164"	"151"	1	3	15	348	55	6	0	1	0	10	7	1	3	0	1	0	0	-451
"165"	"Booths"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"166"	"Booth No"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
"167"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"168"	"152"	4	0	29	221	40	4	3	0	1	6	4	18	7	1	11	2	5	-356
"169"	"153"	8	3	11	447	129	7	3	3	4	7	16	17	4	3	0	5	21	-688
"170"	"154"	2	3	269	80	72	30	6	8	5	6	6	134	8	14	3	7	6	-659
"171"	"155"	4	1	93	149	97	29	7	2	7	21	73	146	14	14	19	15	3	-694
"172"	"156"	31	5	65	71	90	93	4	10	9	38	32	53	12	5	44	11	202	-775
"173"	"157"	2	2	7	5	5	57	2	5	6	9	1	6	11	5	150	22	26	-321
"174"	"158"	10	0	13	12	78	80	10	7	11	48	65	6	3	3	8	48	238	-640
"175"	"159"	1	3	267	53	64	59	1	9	3	4	5	60	4	3	15	4	7	-562
"176"	"160"	8	3	126	83	28	40	3	4	0	5	6	13	1	1	68	6	11	-406
"177"	"161"	0	5	102	26	21	18	0	1	0	4	12	7	2	0	12	1	3	-214
"178"	"161A"	1	2	170	49	120	39	3	5	2	9	3	16	3	2	4	6	8	-442
"179"	"162"	7	0	295	75	51	42	2	6	0	34	5	15	4	4	20	44	2	-606
"180"	"163"	8	2	93	63	118	37	1	2	2	21	45	145	4	3	2	20	10	-576
"181"	"164"	28	7	25	238	112	23	4	6	3	36	74	16	33	6	5	24	125	-765
"182"	"165"	14	6	68	323	74	8	2	1	3	6	13	6	33	2	3	24	4	-590
"183"	"166"	7	3	9	351	73	7	1	8	2	4	31	16	18	6	11	19	9	-575
"184"	"167"	11	1	9	201	181	12	2	1	2	9	130	22	17	5	8	5	12	-628
"185"	"168"	6	3	16	524	22	19	1	3	1	4	82	9	23	3	3	5	1	-725
"186"	"169"	4	1	14	42	24	46	4	3	2	10	82	4	1	1	7	29	138	-412
"187"	"170"	19	1	6	236	83	22	2	3	1	9	41	5	10	5	3	18	61	-525
"188"	"171"	8	3	67	31	77	9	5	5	4	13	43	4	4	10	28	16	71	-398
"189"	"172"	2	1	34	11	39	27	1	2	0	32	44	1	2	3	0	1	250	-450
"190"	"173"	4	1	49	110	55	14	4	3	1	5	105	4	0	4	8	3	4	-374
"191"	"174"	4	2	56	17	20	19	0	5	2	37	90	10	4	4	139	13	95	-517
"192"	"175"	0	1	2	4	33	0	0	0	1	5	0	0	3	2	14	34	64	-163
"193"	"176"	6	2	27	27	14	9	2	1	0	23	16	14	5	9	125	8	155	-443
"194"	"177"	18	2	21	15	170	32	3	8	2	28	54	4	6	5	107	8	59	-542
"195"	"178"	7	1	128	42	13	30	3	19	7	46	28	5	13	14	111	25	211	-703
"196"	"179"	15	8	46	26	57	104	10	8	7	71	19	15	15	9	101	52	137	-700
"197"	"180"	9	4	3	24	37	6	0	4	1	38	5	6	6	9	361	18	121	-652
"198"	"181"	5	1	2	304	11	2	2	0	0	2	0	6	3	2	2	41	8	-391
"199"	"182"	39	0	6	187	148	101	6	3	6	36	12	4	9	4	16	32	1	-610
"200"	"183"	3	1	7	272	20	73	0	0	0	6	4	3	7	2	15	11	42	-466
"201"	"184"	0	0	24	31	23	3	0	0	0	8	7	1	8	2	345	2	11	-465
"202"	"185"	23	0	1	38	28	1	1	0	0	12	5	2	5	3	11	2	72	-204
"203"	"186"	85	6	27	18	91	14	2	4	3	45	60	13	4	22	41	38	49	-522
"204"	"187"	13	0	9	46	71	23	1	1	2	15	2	7	2	2	32	5	219	-450
"205"	"188"	150	4	63	16	28	139	1	9	4	21	35	2	4	1	5	19	16	-517
"206"	"189"	385	2	4	0	24	1	1	0	3	7	7	0	1	0	12	5	70	-522
"207"	"190"	314	3	40	11	59	13	3	3	3	54	60	0	8	10	11	15	123	-730
"208"	"191"	141	7	12	5	53	39	2	2	0	13	9	1	0	2	75	8	16	-385
"209"	"192"	172	2	14	147	27	6	3	5	4	34	95	8	6	4	75	15	146	-763
"210"	"193"	642	2	3	0	1	2	0	0	0	1	3	0	0	0	3	1	3	-661
"211"	"194"	4	1	30	58	17	166	9	3	1	18	12	4	13	7	246	18	0	-607
"212"	"195"	5	4	153	69	63	192	10	8	5	15	10	3	4	5	34	13	2	-595
"213"	"196"	1	6	240	59	77	106	5	8	4	23	21	1	3	3	19	11	10	-597
"214"	"197"	1	4	279	57	61	83	2	38	1	22	32	5	7	11	74	9	9	-695
"215"	"198"	7	3	67	93	124	54	9	5	7	31	75	15	13	22	82	53	36	-696
"216"	"199"	20	6	70	158	78	31	5	7	4	7	72	6	13	12	2	27	8	-526
"217"	"200"	4	0	1	1	315	8	0	0	1	11	27	0	0	1	3	0	9	-381
"218"	"POST"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"219"	"Booths"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"220"	"Booth No"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
"221"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"222"	"TOTA"	-3266	-1291	-11898	-21648	-22281	-4337	-637	-712	-493	-2324	-13096	-3991	-1409	-1101	-10931	-5064	-6212	-110691
"223"	"ROUND"	44	26	667	1005	1024	97	14	32	18	86	578	41	28	42	177	892	199	4970
"224"	"ROUND"	34	18	354	1177	1435	76	19	19	20	60	1533	52	26	23	105	86	81	5118
"225"	"ROUND"	28	15	38	1070	1202	50	15	11	9	43	473	86	50	30	682	132	19	3953
"226"	"ROUND"	70	32	404	1097	1106	74	13	27	12	51	323	71	55	102	2665	154	98	6354
"227"	"ROUND"	94	44	2362	1333	1436	146	27	62	32	40	120	61	61	96	449	343	32	6738
"228"	"ROUND"	46	40	1207	1059	1327	127	21	40	27	68	186	57	56	68	272	487	963	6051
"229"	"ROUND"	113	124	210	872	1534	181	35	35	26	196	180	81	154	62	136	527	856	5322
"230"	"ROUND"	82	402	396	995	1815	189	31	39	34	73	189	60	48	57	465	106	157	5138
"231"	"ROUND"	112	330	725	986	2388	226	27	41	28	133	158	65	229	77	256	247	200	6228
"232"	"ROUND"	95	43	324	844	1333	166	26	27	37	159	453	83	59	75	1215	159	397	5495
"233"	"ROUND"	73	34	65	937	655	77	14	17	7	65	3568	56	17	21	319	51	20	5996
"234"	"ROUND"	51	9	208	731	757	52	30	26	36	72	2132	86	37	23	318	209	34	4811
"235"	"ROUND"	71	9	73	1879	443	174	17	8	9	78	266	1035	50	21	134	292	16	4575
"236"	"ROUND"	35	13	616	586	776	297	33	32	31	65	747	508	47	76	766	335	26	4989
"237"	"ROUND"	27	15	922	582	1223	300	143	43	17	88	181	680	49	36	404	152	111	4973
"238"	"ROUND"	47	16	557	2266	849	196	40	28	30	118	430	426	96	54	108	103	129	5493
"239"	"ROUND"	96	29	1163	675	687	488	30	55	36	208	248	337	77	32	328	186	632	5307
"240"	"ROUND"	79	22	328	1846	648	183	22	34	18	129	661	81	112	43	210	133	645	5194
"241"	"ROUND"	102	20	266	932	526	360	26	43	24	263	145	58	75	58	1197	231	809	5135
"242"	"ROUND"	1929	27	203	339	399	404	23	27	20	220	288	37	43	51	511	126	714	5361
"243"	"ROUND"	38	23	810	437	718	474	31	66	22	109	237	30	40	54	214	113	74	3490
