"Serial.No..of.Polling.Station"	"No..of.Valid.Votes.Cast.in.Favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"Total.of.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendered.Votes"
"14"	"12"	"6"	"154"	"70"	"149"	"8"	"1"	"4"	"5"	"12"	"409"	""	"409"	""
"15"	"13"	"14"	"286"	"36"	"91"	"7"	"7"	"5"	"10"	"5"	"461"	""	"461"	""
"16"	"Grand Total
(Round 1)"	"183"	"4476"	"1065"	"952"	"68"	"60"	"44"	"82"	"88"	"7018"	"0"	"7018"	"0"
"17"	"14"	"16"	"176"	"78"	"57"	"9"	"8"	"4"	"6"	"6"	"360"	""	"360"	""
"18"	"15"	"12"	"314"	"98"	"202"	"4"	"12"	"1"	"3"	"9"	"655"	""	"655"	""
"19"	"16"	"15"	"262"	"207"	"84"	"6"	"6"	"3"	"8"	"3"	"594"	""	"594"	""
"20"	"17"	"9"	"129"	"100"	"126"	"3"	"3"	"5"	"1"	"1"	"377"	""	"377"	""
"21"	"18"	"10"	"173"	"65"	"60"	"7"	"5"	"3"	"9"	"5"	"337"	""	"337"	""
"22"	"19"	"12"	"237"	"61"	"46"	"6"	"6"	"6"	"6"	"14"	"394"	""	"394"	""
"23"	"20"	"9"	"50"	"3"	"89"	"7"	"12"	"3"	"3"	"8"	"184"	""	"184"	""
"24"	"21"	"5"	"57"	"25"	"51"	"0"	"2"	"1"	"2"	"2"	"145"	""	"145"	""
"25"	"22"	"19"	"232"	"204"	"94"	"0"	"6"	"4"	"5"	"19"	"583"	""	"583"	""
"26"	"23"	"15"	"65"	"37"	"233"	"16"	"6"	"4"	"11"	"15"	"402"	""	"402"	""
"27"	"24"	"19"	"69"	"113"	"195"	"14"	"11"	"7"	"5"	"11"	"444"	""	"444"	""
"28"	"25"	"5"	"63"	"39"	"17"	"2"	"1"	"2"	"4"	"9"	"142"	""	"142"	""
"29"	"26"	"13"	"32"	"154"	"11"	"3"	"1"	"4"	"5"	"8"	"231"	""	"231"	""
"30"	"27"	"32"	"273"	"52"	"169"	"20"	"12"	"14"	"17"	"42"	"631"	""	"631"	""
"31"	"Grand Total
(Round 2)"	"191"	"2132"	"1236"	"1434"	"97"	"91"	"61"	"85"	"152"	"5479"	"0"	"5479"	"0"
"32"	"28"	"17"	"278"	"124"	"95"	"12"	"5"	"5"	"10"	"18"	"564"	""	"564"	""
"33"	"29"	"10"	"187"	"39"	"165"	"14"	"6"	"14"	"7"	"14"	"456"	""	"456"	""
"34"	"30"	"7"	"86"	"106"	"138"	"7"	"7"	"4"	"8"	"15"	"378"	""	"378"	""
"35"	"31"	"15"	"268"	"29"	"70"	"6"	"14"	"3"	"7"	"1"	"413"	""	"413"	""
"36"	"32"	"11"	"5"	"129"	"41"	"3"	"4"	"2"	"5"	"11"	"211"	""	"211"	""
"37"	"33"	"17"	"190"	"75"	"160"	"6"	"6"	"1"	"13"	"7"	"475"	""	"475"	""
"38"	"34"	"4"	"217"	"23"	"53"	"3"	"2"	"1"	"2"	"3"	"308"	""	"308"	""
"39"	"35"	"22"	"169"	"96"	"190"	"8"	"14"	"13"	"7"	"14"	"533"	""	"533"	""
"40"	"36"	"12"	"181"	"55"	"63"	"8"	"2"	"5"	"5"	"10"	"341"	""	"341"	""
"41"	"37"	"14"	"312"	"139"	"70"	"16"	"9"	"12"	"15"	"34"	"621"	""	"621"	""
"42"	"38"	"15"	"177"	"145"	"57"	"7"	"18"	"5"	"4"	"16"	"444"	""	"444"	""
"43"	"39"	"13"	"118"	"263"	"36"	"11"	"4"	"3"	"5"	"11"	"464"	""	"464"	""
"44"	"40"	"4"	"69"	"178"	"66"	"7"	"8"	"2"	"3"	"0"	"337"	""	"337"	""
"45"	"41"	"1"	"4"	"99"	"114"	"3"	"3"	"0"	"0"	"0"	"224"	""	"224"	""
"46"	"Grand
Total (Round 3)"	"162"	"2261"	"1500"	"1318"	"111"	"102"	"70"	"91"	"154"	"5769"	"0"	"5769"	"0"
"47"	"42"	"29"	"178"	"148"	"60"	"12"	"6"	"9"	"7"	"2"	"451"	""	"451"	""
"48"	"43"	"16"	"227"	"101"	"79"	"16"	"17"	"11"	"20"	"23"	"510"	""	"510"	""
"49"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"50"	""	"Chandeshw ar Ram"	"Dinkar Ram"	"Lalita Devi"	"Sanjeev
Prasad Tony"	"Anil Kumar Chaudhary"	"Satyendra
Ram Satyarthi"	"Kapil Deo Paswan"	"Ram Babu Baitha"	"Virendra Ram"	""	""	""	""
"51"	"44"	"22"	"173"	"62"	"74"	"6"	"13"	"7"	"14"	"21"	"392"	""	"392"	""
"52"	"45"	"3"	"86"	"53"	"217"	"5"	"2"	"2"	"2"	"11"	"381"	""	"381"	""
"53"	"46"	"14"	"42"	"21"	"221"	"12"	"6"	"3"	"7"	"19"	"345"	""	"345"	""
"54"	"47"	"17"	"24"	"47"	"313"	"15"	"5"	"2"	"4"	"5"	"432"	""	"432"	""
"55"	"48"	"14"	"17"	"5"	"97"	"8"	"1"	"0"	"2"	"1"	"145"	""	"145"	""
"56"	"49"	"13"	"169"	"37"	"186"	"8"	"5"	"3"	"3"	"14"	"438"	""	"438"	""
"57"	"50"	"12"	"68"	"33"	"216"	"13"	"6"	"2"	"6"	"11"	"367"	""	"367"	""
"58"	"51"	"1"	"7"	"77"	"231"	"4"	"1"	"3"	"2"	"2"	"328"	""	"328"	""
"59"	"52"	"12"	"6"	"118"	"169"	"10"	"9"	"8"	"8"	"12"	"352"	""	"352"	""
"60"	"53"	"13"	"18"	"43"	"61"	"11"	"24"	"11"	"13"	"18"	"212"	""	"212"	""
"61"	"54"	"21"	"14"	"361"	"90"	"10"	"13"	"12"	"11"	"23"	"555"	""	"555"	""
"62"	"55"	"14"	"96"	"102"	"141"	"9"	"3"	"0"	"5"	"22"	"392"	""	"392"	""
"63"	"Grand
Total (Round 4)"	"201"	"1125"	"1208"	"2155"	"139"	"111"	"73"	"104"	"184"	"5300"	"0"	"5300"	"0"
"64"	"56"	"6"	"224"	"130"	"154"	"7"	"5"	"0"	"6"	"8"	"540"	""	"540"	""
"65"	"57"	"10"	"127"	"125"	"74"	"4"	"6"	"2"	"1"	"3"	"352"	""	"352"	""
"66"	"58"	"33"	"92"	"124"	"149"	"13"	"7"	"5"	"6"	"10"	"439"	""	"439"	""
"67"	"59"	"14"	"93"	"80"	"352"	"13"	"2"	"1"	"4"	"5"	"564"	""	"564"	""
"68"	"60"	"15"	"77"	"124"	"95"	"13"	"6"	"2"	"9"	"3"	"344"	""	"344"	""
"69"	"61"	"9"	"155"	"47"	"72"	"5"	"7"	"3"	"13"	"4"	"315"	""	"315"	""
"70"	"62"	"30"	"93"	"181"	"60"	"4"	"5"	"7"	"12"	"18"	"410"	""	"410"	""
"71"	"63"	"37"	"139"	"93"	"46"	"6"	"6"	"5"	"11"	"24"	"367"	""	"367"	""
"72"	"64"	"23"	"105"	"108"	"115"	"28"	"24"	"15"	"29"	"50"	"497"	""	"497"	""
"73"	"65"	"10"	"166"	"93"	"45"	"7"	"14"	"2"	"2"	"4"	"343"	""	"343"	""
"74"	"66"	"16"	"72"	"142"	"87"	"11"	"5"	"5"	"5"	"7"	"350"	""	"350"	""
"75"	"67"	"13"	"108"	"141"	"49"	"12"	"5"	"13"	"3"	"25"	"369"	""	"369"	""
"76"	"68"	"11"	"62"	"162"	"143"	"12"	"32"	"6"	"10"	"15"	"453"	""	"453"	""
"77"	"69"	"7"	"86"	"74"	"62"	"2"	"1"	"4"	"5"	"4"	"245"	""	"245"	""
"78"	"Grand Total
(Round 5)"	"234"	"1599"	"1624"	"1503"	"137"	"125"	"70"	"116"	"180"	"5588"	"0"	"5588"	"0"
"79"	"70"	"21"	"62"	"310"	"93"	"19"	"24"	"20"	"26"	"55"	"630"	""	"630"	""
"80"	"71"	"8"	"12"	"54"	"262"	"20"	"4"	"2"	"5"	"6"	"373"	""	"373"	""
"81"	"72"	"5"	"140"	"56"	"97"	"5"	"5"	"1"	"1"	"1"	"311"	""	"311"	""
"82"	"73"	"8"	"150"	"74"	"67"	"5"	"10"	"1"	"1"	"0"	"316"	""	"316"	""
"83"	"74"	"14"	"87"	"21"	"101"	"8"	"33"	"1"	"6"	"7"	"278"	""	"278"	""
"84"	"75"	"19"	"36"	"214"	"58"	"4"	"4"	"2"	"11"	"7"	"355"	""	"355"	""
"85"	"76"	"15"	"265"	"57"	"209"	"17"	"9"	"3"	"7"	"7"	"589"	""	"589"	""
"86"	"77"	"9"	"228"	"108"	"119"	"4"	"4"	"2"	"6"	"8"	"488"	""	"488"	""
"87"	"78"	"4"	"27"	"135"	"139"	"4"	"2"	"3"	"6"	"2"	"322"	""	"322"	""
"88"	"79"	"9"	"68"	"230"	"55"	"4"	"2"	"3"	"6"	"13"	"390"	""	"390"	""
"89"	"80"	"12"	"188"	"39"	"115"	"7"	"9"	"5"	"6"	"2"	"383"	""	"383"	""
"90"	"81"	"8"	"61"	"212"	"165"	"19"	"14"	"15"	"16"	"45"	"555"	""	"555"	""
"91"	"82"	"14"	"70"	"220"	"252"	"38"	"16"	"11"	"17"	"37"	"675"	""	"675"	""
"92"	"83"	"24"	"290"	"143"	"76"	"10"	"6"	"6"	"11"	"4"	"570"	""	"570"	""
"93"	"Grand
Total (Round 6)"	"170"	"1684"	"1873"	"1808"	"164"	"142"	"75"	"125"	"194"	"6235"	"0"	"6235"	"0"
"94"	"84"	"14"	"98"	"50"	"56"	"6"	"3"	"5"	"7"	"6"	"245"	""	"245"	""
"95"	"85"	"4"	"492"	"27"	"15"	"0"	"0"	"0"	"0"	"0"	"538"	""	"538"	""
"96"	"86"	"6"	"64"	"75"	"41"	"4"	"4"	"1"	"2"	"4"	"201"	""	"201"	""
"97"	"87"	"23"	"71"	"44"	"126"	"7"	"3"	"2"	"7"	"6"	"289"	""	"289"	""
"98"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"99"	""	"Chandeshw ar Ram"	"Dinkar Ram"	"Lalita Devi"	"Sanjeev
Prasad Tony"	"Anil Kumar Chaudhary"	"Satyendra
Ram Satyarthi"	"Kapil Deo Paswan"	"Ram Babu Baitha"	"Virendra Ram"	""	""	""	""
"100"	"88"	"54"	"25"	"48"	"169"	"13"	"4"	"0"	"6"	"8"	"327"	""	"327"	""
"101"	"89"	"2"	"98"	"56"	"82"	"2"	"18"	"0"	"0"	"1"	"259"	""	"259"	""
"102"	"90"	"9"	"94"	"18"	"42"	"0"	"1"	"0"	"3"	"2"	"169"	""	"169"	""
"103"	"91"	"15"	"148"	"84"	"97"	"11"	"8"	"9"	"14"	"13"	"399"	""	"399"	""
"104"	"92"	"6"	"41"	"102"	"115"	"9"	"5"	"1"	"5"	"0"	"284"	""	"284"	""
"105"	"93"	"6"	"247"	"30"	"285"	"8"	"5"	"0"	"0"	"2"	"583"	""	"583"	""
"106"	"94"	"14"	"155"	"100"	"131"	"11"	"9"	"4"	"13"	"13"	"450"	""	"450"	""
"107"	"95"	"18"	"85"	"195"	"64"	"7"	"3"	"9"	"12"	"9"	"402"	""	"402"	""
"108"	"96"	"15"	"94"	"132"	"39"	"0"	"22"	"2"	"5"	"9"	"318"	""	"318"	""
"109"	"97"	"9"	"126"	"151"	"48"	"5"	"5"	"7"	"4"	"2"	"357"	""	"357"	""
"110"	"Grand
Total (Round 7)"	"195"	"1838"	"1112"	"1310"	"83"	"90"	"40"	"78"	"75"	"4821"	"0"	"4821"	"0"
"111"	"98"	"11"	"69"	"166"	"30"	"8"	"4"	"7"	"4"	"1"	"300"	""	"300"	""
"112"	"99"	"13"	"38"	"69"	"91"	"6"	"0"	"1"	"3"	"10"	"231"	""	"231"	""
"113"	"100"	"2"	"93"	"126"	"61"	"7"	"9"	"3"	"5"	"14"	"320"	""	"320"	""
"114"	"101"	"9"	"28"	"392"	"51"	"7"	"1"	"7"	"4"	"2"	"501"	""	"501"	""
"115"	"102"	"19"	"32"	"271"	"26"	"7"	"10"	"7"	"10"	"19"	"401"	""	"401"	""
"116"	"103"	"8"	"181"	"16"	"78"	"3"	"17"	"0"	"3"	"4"	"310"	""	"310"	""
"117"	"104"	"0"	"28"	"24"	"335"	"2"	"1"	"0"	"0"	"0"	"390"	""	"390"	""
"118"	"105"	"6"	"26"	"285"	"104"	"3"	"1"	"3"	"6"	"13"	"447"	""	"447"	""
"119"	"106"	"2"	"90"	"69"	"22"	"2"	"1"	"0"	"0"	"5"	"191"	""	"191"	""
"120"	"107"	"5"	"174"	"109"	"49"	"7"	"2"	"3"	"4"	"15"	"368"	""	"368"	""
"121"	"108"	"19"	"216"	"41"	"26"	"4"	"4"	"3"	"7"	"11"	"331"	""	"331"	""
"122"	"109"	"13"	"108"	"46"	"86"	"11"	"3"	"4"	"9"	"12"	"292"	""	"292"	""
"123"	"110"	"13"	"49"	"149"	"71"	"2"	"3"	"3"	"9"	"11"	"310"	""	"310"	""
"124"	"111"	"3"	"209"	"31"	"71"	"4"	"8"	"2"	"10"	"9"	"347"	""	"347"	""
"125"	"Grand Total
(Round 8)"	"123"	"1341"	"1794"	"1101"	"73"	"64"	"43"	"74"	"126"	"4739"	"0"	"4739"	"0"
"126"	"112"	"21"	"109"	"73"	"47"	"2"	"4"	"4"	"8"	"10"	"278"	""	"278"	""
"127"	"113"	"2"	"116"	"100"	"69"	"2"	"3"	"6"	"5"	"4"	"307"	""	"307"	""
"128"	"114"	"7"	"29"	"65"	"57"	"4"	"1"	"1"	"1"	"3"	"168"	""	"168"	""
"129"	"115"	"3"	"343"	"76"	"15"	"4"	"2"	"1"	"1"	"2"	"447"	""	"447"	""
"130"	"116"	"1"	"252"	"51"	"60"	"0"	"1"	"0"	"34"	"1"	"400"	""	"400"	""
"131"	"117"	"57"	"120"	"41"	"147"	"18"	"15"	"8"	"14"	"20"	"440"	""	"440"	""
"132"	"118"	"11"	"17"	"157"	"131"	"6"	"2"	"2"	"5"	"5"	"336"	""	"336"	""
"133"	"119"	"3"	"103"	"179"	"43"	"1"	"1"	"0"	"2"	"4"	"336"	""	"336"	""
"134"	"120"	"6"	"133"	"9"	"98"	"1"	"1"	"0"	"2"	"2"	"252"	""	"252"	""
"135"	"121"	"7"	"121"	"217"	"6"	"7"	"2"	"4"	"3"	"3"	"370"	""	"370"	""
"136"	"122"	"27"	"267"	"87"	"12"	"9"	"7"	"3"	"5"	"14"	"431"	""	"431"	""
"137"	"123"	"12"	"406"	"21"	"26"	"2"	"5"	"1"	"8"	"15"	"496"	""	"496"	""
"138"	"124"	"25"	"376"	"88"	"80"	"8"	"7"	"7"	"8"	"16"	"615"	""	"615"	""
"139"	"125"	"23"	"181"	"147"	"143"	"18"	"16"	"8"	"21"	"38"	"595"	""	"595"	""
"140"	"Grand Total
(Round 9)"	"205"	"2573"	"1311"	"934"	"82"	"67"	"45"	"117"	"137"	"5471"	"0"	"5471"	"0"
"141"	"126"	"23"	"125"	"223"	"112"	"13"	"9"	"9"	"9"	"16"	"539"	""	"539"	""
"142"	"127"	"20"	"120"	"118"	"12"	"3"	"6"	"6"	"7"	"9"	"301"	""	"301"	""
"143"	"128"	"8"	"26"	"105"	"43"	"7"	"1"	"1"	"4"	"6"	"201"	""	"201"	""
"144"	"129"	"12"	"249"	"50"	"13"	"10"	"6"	"3"	"5"	"7"	"355"	""	"355"	""
"145"	"130"	"7"	"291"	"62"	"139"	"14"	"7"	"4"	"20"	"7"	"551"	""	"551"	""
"146"	"131"	"4"	"165"	"245"	"5"	"1"	"1"	"2"	"9"	"6"	"438"	""	"438"	""
"147"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"148"	""	"Chandeshw ar Ram"	"Dinkar Ram"	"Lalita Devi"	"Sanjeev
Prasad Tony"	"Anil Kumar Chaudhary"	"Satyendra
Ram Satyarthi"	"Kapil Deo Paswan"	"Ram Babu Baitha"	"Virendra Ram"	""	""	""	""
"149"	"132"	"17"	"47"	"392"	"19"	"12"	"9"	"4"	"10"	"9"	"519"	""	"519"	""
"150"	"133"	"22"	"64"	"296"	"30"	"5"	"3"	"5"	"8"	"8"	"441"	""	"441"	""
"151"	"134"	"9"	"104"	"77"	"21"	"5"	"4"	"2"	"4"	"3"	"229"	""	"229"	""
"152"	"135"	"9"	"83"	"290"	"16"	"7"	"5"	"2"	"2"	"7"	"421"	""	"421"	""
"153"	"136"	"7"	"106"	"134"	"17"	"3"	"2"	"2"	"0"	"4"	"275"	""	"275"	""
"154"	"137"	"20"	"72"	"337"	"29"	"10"	"5"	"10"	"7"	"15"	"505"	""	"505"	""
"155"	"138"	"8"	"205"	"22"	"79"	"5"	"6"	"2"	"2"	"8"	"337"	""	"337"	""
"156"	"139"	"7"	"380"	"18"	"7"	"1"	"5"	"0"	"4"	"1"	"423"	""	"423"	""
"157"	"Grand Total (Round 10)"	"173"	"2037"	"2369"	"542"	"96"	"69"	"52"	"91"	"106"	"5535"	"0"	"5535"	"0"
"158"	"140"	"19"	"220"	"57"	"28"	"7"	"13"	"7"	"11"	"30"	"392"	""	"392"	""
"159"	"141"	"17"	"203"	"19"	"62"	"9"	"7"	"3"	"10"	"7"	"337"	""	"337"	""
"160"	"142"	"10"	"280"	"31"	"15"	"1"	"2"	"1"	"3"	"2"	"345"	""	"345"	""
"161"	"143"	"24"	"166"	"82"	"199"	"11"	"6"	"3"	"9"	"14"	"514"	""	"514"	""
"162"	"144"	"14"	"115"	"86"	"215"	"18"	"5"	"3"	"3"	"8"	"467"	""	"467"	""
"163"	"145"	"16"	"305"	"57"	"231"	"15"	"6"	"5"	"8"	"9"	"652"	""	"652"	""
"164"	"146"	"15"	"331"	"30"	"34"	"7"	"2"	"3"	"8"	"7"	"437"	""	"437"	""
"165"	"147"	"19"	"74"	"11"	"119"	"17"	"5"	"9"	"11"	"10"	"275"	""	"275"	""
"166"	"148"	"25"	"81"	"46"	"265"	"24"	"14"	"14"	"25"	"27"	"521"	""	"521"	""
"167"	"149"	"12"	"152"	"100"	"87"	"6"	"2"	"3"	"3"	"11"	"376"	""	"376"	""
"168"	"150"	"14"	"122"	"113"	"136"	"13"	"3"	"2"	"10"	"4"	"417"	""	"417"	""
"169"	"151"	"22"	"231"	"144"	"106"	"16"	"8"	"10"	"18"	"8"	"563"	""	"563"	""
"170"	"152"	"10"	"33"	"127"	"87"	"9"	"4"	"2"	"9"	"6"	"287"	""	"287"	""
"171"	"153"	"23"	"178"	"154"	"80"	"14"	"10"	"12"	"11"	"24"	"506"	""	"506"	""
"172"	"Grand Total (Round 11)"	"240"	"2491"	"1057"	"1664"	"167"	"87"	"77"	"139"	"167"	"6089"	"0"	"6089"	"0"
"173"	"154"	"1"	"75"	"66"	"24"	"1"	"2"	"1"	"3"	"2"	"175"	""	"175"	""
"174"	"155"	"21"	"21"	"204"	"29"	"7"	"2"	"8"	"14"	"29"	"335"	""	"335"	""
"175"	"156"	"17"	"106"	"126"	"17"	"5"	"2"	"3"	"7"	"12"	"295"	""	"295"	""
"176"	"157"	"10"	"30"	"274"	"25"	"6"	"6"	"5"	"3"	"8"	"367"	""	"367"	""
"177"	"158"	"7"	"87"	"240"	"22"	"2"	"6"	"8"	"6"	"6"	"384"	""	"384"	""
"178"	"159"	"20"	"122"	"321"	"26"	"7"	"9"	"10"	"12"	"9"	"536"	""	"536"	""
"179"	"160"	"11"	"174"	"23"	"55"	"2"	"6"	"6"	"1"	"5"	"283"	""	"283"	""
"180"	"161"	"8"	"228"	"30"	"43"	"1"	"0"	"0"	"3"	"3"	"316"	""	"316"	""
"181"	"162"	"45"	"362"	"39"	"100"	"17"	"9"	"1"	"9"	"8"	"590"	""	"590"	""
"182"	"163"	"11"	"166"	"17"	"41"	"10"	"9"	"2"	"6"	"4"	"266"	""	"266"	""
"183"	"164"	"26"	"173"	"61"	"79"	"15"	"8"	"3"	"14"	"9"	"388"	""	"388"	""
"184"	"165"	"15"	"511"	"71"	"58"	"2"	"0"	"2"	"3"	"14"	"676"	""	"676"	""
"185"	"166"	"5"	"239"	"53"	"195"	"11"	"8"	"1"	"8"	"6"	"526"	""	"526"	""
"186"	"167"	"8"	"40"	"168"	"34"	"8"	"6"	"2"	"11"	"5"	"282"	""	"282"	""
"187"	"Grand Total (Round 12)"	"205"	"2334"	"1693"	"748"	"94"	"73"	"52"	"100"	"120"	"5419"	"0"	"5419"	"0"
"188"	"168"	"17"	"156"	"91"	"37"	"5"	"6"	"8"	"14"	"9"	"343"	""	"343"	""
"189"	"169"	"5"	"157"	"87"	"39"	"2"	"6"	"1"	"5"	"0"	"302"	""	"302"	""
"190"	"170"	"26"	"126"	"203"	"49"	"12"	"20"	"6"	"9"	"10"	"461"	""	"461"	""
"191"	"171"	"12"	"86"	"131"	"76"	"14"	"7"	"5"	"8"	"12"	"351"	""	"351"	""
"192"	"172"	"22"	"95"	"200"	"79"	"9"	"30"	"10"	"9"	"8"	"462"	""	"462"	""
"193"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"194"	""	"Chandeshw ar Ram"	"Dinkar Ram"	"Lalita Devi"	"Sanjeev
Prasad Tony"	"Anil Kumar Chaudhary"	"Satyendra
Ram Satyarthi"	"Kapil Deo Paswan"	"Ram Babu Baitha"	"Virendra Ram"	""	""	""	""
"195"	"173"	"7"	"94"	"96"	"151"	"12"	"6"	"4"	"7"	"20"	"397"	""	"397"	""
"196"	"174"	"11"	"109"	"140"	"190"	"4"	"5"	"7"	"7"	"10"	"483"	""	"483"	""
"197"	"175"	"22"	"103"	"249"	"26"	"5"	"23"	"2"	"26"	"12"	"468"	""	"468"	""
"198"	"176"	"5"	"88"	"430"	"25"	"4"	"1"	"2"	"7"	"3"	"565"	""	"565"	""
"199"	"177"	"3"	"172"	"98"	"116"	"4"	"3"	"1"	"3"	"5"	"405"	""	"405"	""
"200"	"178"	"6"	"146"	"252"	"115"	"8"	"5"	"2"	"9"	"17"	"560"	""	"560"	""
"201"	"179"	"1"	"46"	"45"	"237"	"7"	"3"	"2"	"5"	"8"	"354"	""	"354"	""
"202"	"180"	"2"	"47"	"75"	"25"	"5"	"1"	"0"	"4"	"1"	"160"	""	"160"	""
"203"	"181"	"7"	"151"	"145"	"61"	"7"	"2"	"1"	"7"	"1"	"382"	""	"382"	""
"204"	"Grand Total (Round 13)"	"146"	"1576"	"2242"	"1226"	"98"	"118"	"51"	"120"	"116"	"5693"	"0"	"5693"	"0"
"205"	"182"	"15"	"297"	"139"	"57"	"7"	"11"	"4"	"13"	"19"	"562"	""	"562"	""
"206"	"183"	"13"	"121"	"216"	"171"	"11"	"3"	"0"	"8"	"8"	"551"	""	"551"	""
"207"	"184"	"14"	"85"	"221"	"131"	"6"	"5"	"3"	"10"	"7"	"482"	""	"482"	""
"208"	"185"	"11"	"270"	"155"	"70"	"10"	"4"	"1"	"25"	"4"	"550"	""	"550"	""
"209"	"186"	"19"	"125"	"109"	"153"	"8"	"8"	"4"	"21"	"10"	"457"	""	"457"	""
"210"	"187"	"16"	"119"	"53"	"179"	"14"	"8"	"9"	"12"	"15"	"425"	""	"425"	""
"211"	"188"	"30"	"196"	"83"	"131"	"6"	"5"	"3"	"13"	"9"	"476"	""	"476"	""
"212"	"189"	"3"	"10"	"88"	"63"	"3"	"0"	"1"	"3"	"0"	"171"	""	"171"	""
"213"	"190"	"19"	"54"	"106"	"110"	"10"	"3"	"6"	"12"	"9"	"329"	""	"329"	""
"214"	"191"	"28"	"83"	"70"	"95"	"2"	"3"	"5"	"11"	"6"	"303"	""	"303"	""
"215"	"192"	"3"	"6"	"93"	"266"	"10"	"6"	"2"	"3"	"9"	"398"	""	"398"	""
"216"	"193"	"6"	"5"	"70"	"138"	"7"	"2"	"3"	"8"	"9"	"248"	""	"248"	""
"217"	"194"	"14"	"163"	"94"	"137"	"13"	"3"	"2"	"8"	"7"	"441"	""	"441"	""
"218"	"195"	"11"	"53"	"90"	"73"	"6"	"4"	"5"	"3"	"4"	"249"	""	"249"	""
"219"	"Grand Total (Round 14)"	"202"	"1587"	"1587"	"1774"	"113"	"65"	"48"	"150"	"116"	"5642"	"0"	"5642"	"0"
"220"	"196"	"52"	"80"	"173"	"73"	"7"	"9"	"6"	"9"	"0"	"409"	""	"409"	""
"221"	"197"	"15"	"27"	"273"	"103"	"8"	"3"	"4"	"7"	"9"	"449"	""	"449"	""
"222"	"Grand Total (Round 15)"	"67"	"107"	"446"	"176"	"15"	"12"	"10"	"16"	"9"	"858"	"0"	"858"	"0"
