"izi......20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"vafre ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"6&ykSfj;k fo/kku lHkk fuokZpu {ks= ds fy, fuokZpu "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k & 192053"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"vH;fFkZ;ksa ds i{k  esa  Mkys x;s oS| erksa  dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ernku    dsUnz la0"	"iznhi flag"	"eksgEen tkosn"	"fo'o     eksgu 'kekZ"	"'kEHkw frokjh"	"fou; fcgkjh"	"vt; ;kno"	"fnus'k lkg"	"egEen xkth"	"j.k       fot; 'kkgh"	"fot; dqekj"	"lqnkek cSBk"	"oS|   erksa   dk
;ksx"	"vLohd`r  erksa dk ;ksx"	";ksx"	"fufonr
eri=ksa      dh la[;k"	""
"51"	"29"	"127"	"5"	"131"	"163"	"61"	"4"	"10"	"17"	"8"	"7"	"7"	"540"	"0"	"540"	"0"	""
"52"	"30"	"214"	"11"	"155"	"113"	"12"	"7"	"12"	"6"	"6"	"10"	"23"	"569"	"0"	"569"	"0"	""
"53"	"31"	"150"	"7"	"204"	"38"	"10"	"3"	"7"	"21"	"3"	"2"	"8"	"453"	"0"	"453"	"0"	""
"54"	"32"	"127"	"3"	"136"	"39"	"9"	"0"	"3"	"17"	"6"	"9"	"6"	"355"	"0"	"355"	"0"	""
"55"	"33"	"84"	"3"	"61"	"138"	"2"	"1"	"3"	"45"	"50"	"1"	"2"	"390"	"0"	"390"	"0"	""
"56"	"34"	"108"	"7"	"59"	"204"	"6"	"4"	"7"	"83"	"20"	"2"	"2"	"502"	"0"	"502"	"0"	""
"57"	"35"	"135"	"14"	"93"	"121"	"128"	"12"	"21"	"87"	"28"	"10"	"9"	"658"	"0"	"658"	"0"	""
"58"	"36"	"140"	"8"	"4"	"102"	"125"	"4"	"2"	"49"	"33"	"2"	"12"	"481"	"0"	"481"	"0"	""
"59"	"37"	"93"	"0"	"156"	"293"	"14"	"6"	"3"	"107"	"12"	"7"	"7"	"698"	"0"	"698"	"0"	""
"60"	"38"	"25"	"8"	"270"	"223"	"21"	"0"	"3"	"12"	"7"	"5"	"0"	"574"	"0"	"574"	"0"	""
"61"	"39"	"76"	"8"	"109"	"107"	"91"	"2"	"13"	"15"	"66"	"3"	"4"	"494"	"0"	"494"	"0"	""
"62"	"40"	"76"	"3"	"293"	"81"	"4"	"3"	"3"	"75"	"7"	"4"	"6"	"555"	"0"	"555"	"0"	""
"63"	"41"	"102"	"1"	"35"	"38"	"2"	"0"	"6"	"3"	"25"	"5"	"1"	"218"	"0"	"218"	"0"	""
"64"	"42"	"36"	"0"	"161"	"52"	"5"	"2"	"3"	"128"	"10"	"1"	"5"	"403"	"0"	"403"	"0"	""
"65"	";ksx"	"1493"	"78"	"1867"	"1712"	"490"	"48"	"96"	"665"	"281"	"68"	"92"	"6890"	"0"	"6890"	"0"	""
"66"	"izi=  &  20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"67"	"vafre ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"68"	"6&ykSfj;k fo/kku lHkk fuokZpu {ks= ds fy, fuokZpu "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"69"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k & 192053"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"70"	""	"vH;fFkZ;ksa ds i{k  esa  Mkys x;s oS| erksa  dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"71"	"ernku    dsUnz la0"	"iznhi flag"	"eksgEen tkosn"	"fo'o     eksgu 'kekZ"	"'kEHkw frokjh"	"fou; fcgkjh"	"vt; ;kno"	"fnus'k lkg"	"egEen xkth"	"j.k       fot; 'kkgh"	"fot; dqekj"	"lqnkek cSBk"	"oS|   erksa   dk
;ksx"	"vLohd`r  erksa dk ;ksx"	";ksx"	"fufonr
eri=ksa      dh la[;k"	""
"72"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""
"73"	"43"	"107"	"5"	"152"	"130"	"7"	"9"	"27"	"25"	"27"	"15"	"17"	"521"	"0"	"521"	"0"	""
"74"	"44"	"167"	"3"	"85"	"142"	"10"	"8"	"13"	"4"	"21"	"6"	"6"	"465"	"0"	"465"	"0"	""
"75"	"45"	"152"	"8"	"175"	"200"	"5"	"6"	"13"	"60"	"11"	"7"	"12"	"649"	"0"	"649"	"0"	""
"76"	"46"	"288"	"6"	"16"	"58"	"69"	"1"	"7"	"1"	"2"	"1"	"3"	"452"	"0"	"452"	"0"	""
"77"	"47"	"262"	"14"	"19"	"359"	"34"	"8"	"9"	"16"	"14"	"6"	"16"	"757"	"0"	"757"	"0"	""
"78"	"48"	"201"	"3"	"7"	"349"	"17"	"7"	"13"	"27"	"11"	"7"	"15"	"657"	"0"	"657"	"0"	""
"79"	"49"	"260"	"3"	"139"	"329"	"23"	"8"	"7"	"42"	"16"	"10"	"10"	"847"	"0"	"847"	"0"	""
"80"	"50"	"488"	"8"	"19"	"142"	"40"	"2"	"17"	"55"	"41"	"7"	"11"	"830"	"0"	"830"	"0"	""
"81"	"51"	"315"	"6"	"46"	"321"	"70"	"8"	"23"	"13"	"23"	"15"	"14"	"854"	"0"	"854"	"0"	""
"82"	"52"	"417"	"3"	"37"	"189"	"9"	"2"	"3"	"28"	"16"	"3"	"2"	"709"	"0"	"709"	"0"	""
"83"	"53"	"190"	"5"	"17"	"138"	"11"	"7"	"9"	"5"	"9"	"3"	"6"	"400"	"0"	"400"	"0"	""
"84"	"54"	"315"	"6"	"10"	"256"	"13"	"1"	"13"	"8"	"8"	"18"	"20"	"668"	"0"	"668"	"0"	""
"85"	"55"	"221"	"8"	"5"	"147"	"7"	"1"	"4"	"3"	"1"	"5"	"5"	"407"	"0"	"407"	"0"	""
"86"	"56"	"7"	"0"	"24"	"68"	"8"	"6"	"5"	"332"	"25"	"0"	"3"	"478"	"0"	"478"	"0"	""
"87"	";ksx"	"3390"	"78"	"751"	"2828"	"323"	"74"	"163"	"619"	"225"	"103"	"140"	"8694"	"0"	"8694"	"0"	""
"88"	"izi=  &  20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"89"	"vafre ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"90"	"6&ykSfj;k fo/kku lHkk fuokZpu {ks= ds fy, fuokZpu "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"91"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k & 192053"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"92"	""	"vH;fFkZ;ksa ds i{k  esa  Mkys x;s oS| erksa  dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"93"	"ernku    dsUnz la0"	"iznhi flag"	"eksgEen tkosn"	"fo'o     eksgu 'kekZ"	"'kEHkw frokjh"	"fou; fcgkjh"	"vt; ;kno"	"fnus'k lkg"	"egEen xkth"	"j.k       fot; 'kkgh"	"fot; dqekj"	"lqnkek cSBk"	"oS|   erksa   dk
;ksx"	"vLohd`r  erksa dk ;ksx"	";ksx"	"fufonr
eri=ksa      dh la[;k"	""
"94"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""
"95"	"57"	"173"	"3"	"39"	"126"	"168"	"2"	"6"	"29"	"16"	"5"	"2"	"569"	"0"	"569"	"0"	""
"96"	"58"	"289"	"9"	"52"	"94"	"27"	"6"	"10"	"39"	"24"	"4"	"0"	"554"	"0"	"554"	"0"	""
"97"	"59"	"310"	"13"	"5"	"130"	"6"	"3"	"6"	"10"	"5"	"6"	"14"	"508"	"0"	"508"	"0"	""
"98"	"60"	"535"	"4"	"8"	"115"	"13"	"2"	"8"	"3"	"5"	"2"	"5"	"700"	"0"	"700"	"0"	""
"99"	"61"	"296"	"10"	"86"	"228"	"14"	"4"	"9"	"21"	"15"	"4"	"5"	"692"	"0"	"692"	"0"	""
"100"	"62"	"353"	"2"	"35"	"156"	"10"	"3"	"7"	"6"	"7"	"8"	"9"	"596"	"0"	"596"	"0"	""
"101"	"63"	"10"	"4"	"10"	"72"	"4"	"1"	"2"	"228"	"5"	"1"	"10"	"347"	"0"	"347"	"0"	""
"102"	"64"	"258"	"1"	"40"	"304"	"17"	"5"	"16"	"12"	"16"	"7"	"29"	"705"	"0"	"705"	"0"	""
"103"	"65"	"179"	"10"	"35"	"116"	"29"	"4"	"16"	"10"	"27"	"9"	"9"	"444"	"0"	"444"	"0"	""
"104"	"66"	"58"	"4"	"18"	"81"	"7"	"2"	"1"	"3"	"23"	"212"	"2"	"411"	"0"	"411"	"0"	""
"105"	"67"	"147"	"8"	"140"	"37"	"7"	"14"	"12"	"25"	"77"	"14"	"12"	"493"	"0"	"493"	"0"	""
"106"	"68"	"178"	"10"	"57"	"248"	"16"	"2"	"10"	"31"	"6"	"7"	"10"	"575"	"0"	"575"	"0"	""
"107"	"69"	"287"	"14"	"48"	"221"	"5"	"5"	"14"	"74"	"18"	"9"	"7"	"702"	"0"	"702"	"0"	""
"108"	"70"	"126"	"5"	"79"	"198"	"21"	"6"	"12"	"174"	"17"	"4"	"5"	"647"	"0"	"647"	"0"	""
"109"	";ksx"	"3199"	"97"	"652"	"2126"	"344"	"59"	"129"	"665"	"261"	"292"	"119"	"7943"	"0"	"7943"	"0"	""
"110"	"izi=  &  20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"111"	"vafre ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"112"	"6&ykSfj;k fo/kku lHkk fuokZpu {ks= ds fy, fuokZpu "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"113"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k & 192053"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"114"	""	"vH;fFkZ;ksa ds i{k  esa  Mkys x;s oS| erksa  dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"115"	"ernku    dsUnz la0"	"iznhi flag"	"eksgEen tkosn"	"fo'o     eksgu 'kekZ"	"'kEHkw frokjh"	"fou; fcgkjh"	"vt; ;kno"	"fnus'k lkg"	"egEen xkth"	"j.k       fot; 'kkgh"	"fot; dqekj"	"lqnkek cSBk"	"oS|   erksa   dk
;ksx"	"vLohd`r  erksa dk ;ksx"	";ksx"	"fufonr
eri=ksa      dh la[;k"	""
"116"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""
"117"	"71"	"438"	"11"	"3"	"56"	"13"	"4"	"7"	"5"	"3"	"6"	"19"	"565"	"0"	"565"	"0"	""
"118"	"72"	"349"	"7"	"63"	"121"	"9"	"3"	"9"	"4"	"7"	"4"	"14"	"590"	"0"	"590"	"0"	""
"119"	"73"	"66"	"4"	"15"	"410"	"14"	"5"	"7"	"29"	"4"	"0"	"3"	"557"	"0"	"557"	"0"	""
"120"	"74"	"281"	"5"	"120"	"197"	"19"	"2"	"6"	"22"	"13"	"5"	"8"	"678"	"0"	"678"	"0"	""
"121"	"75"	"200"	"1"	"7"	"91"	"8"	"0"	"7"	"15"	"5"	"3"	"7"	"344"	"0"	"344"	"0"	""
"122"	"76"	"164"	"8"	"16"	"114"	"113"	"4"	"10"	"64"	"7"	"1"	"12"	"513"	"0"	"513"	"0"	""
"123"	"77"	"202"	"7"	"29"	"220"	"123"	"3"	"11"	"113"	"18"	"16"	"16"	"758"	"0"	"758"	"0"	""
"124"	"78"	"155"	"3"	"24"	"246"	"23"	"0"	"5"	"25"	"9"	"4"	"6"	"500"	"0"	"500"	"0"	""
"125"	"79"	"169"	"9"	"87"	"246"	"11"	"11"	"12"	"33"	"21"	"4"	"5"	"608"	"0"	"608"	"0"	""
"126"	"80"	"122"	"9"	"75"	"311"	"23"	"10"	"25"	"12"	"44"	"4"	"7"	"642"	"0"	"642"	"0"	""
"127"	"81"	"115"	"3"	"6"	"74"	"33"	"0"	"8"	"21"	"2"	"5"	"10"	"277"	"0"	"277"	"0"	""
"128"	"82"	"297"	"13"	"28"	"61"	"23"	"6"	"9"	"16"	"25"	"12"	"22"	"512"	"0"	"512"	"0"	""
"129"	"83"	"231"	"8"	"69"	"133"	"26"	"9"	"19"	"254"	"13"	"1"	"3"	"766"	"0"	"766"	"0"	""
"130"	"84"	"146"	"10"	"58"	"87"	"19"	"6"	"14"	"163"	"26"	"3"	"4"	"536"	"0"	"536"	"0"	""
"131"	";ksx"	"2935"	"98"	"600"	"2367"	"457"	"63"	"149"	"776"	"197"	"68"	"136"	"7846"	"0"	"7846"	"0"	""
"132"	"izi=  &  20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"133"	"vafre ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"134"	"6&ykSfj;k fo/kku lHkk fuokZpu {ks= ds fy, fuokZpu "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"135"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k & 192053"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"136"	""	"vH;fFkZ;ksa ds i{k  esa  Mkys x;s oS| erksa  dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"137"	"ernku    dsUnz la0"	"iznhi flag"	"eksgEen tkosn"	"fo'o     eksgu 'kekZ"	"'kEHkw frokjh"	"fou; fcgkjh"	"vt; ;kno"	"fnus'k lkg"	"egEen xkth"	"j.k       fot; 'kkgh"	"fot; dqekj"	"lqnkek cSBk"	"oS|   erksa   dk
;ksx"	"vLohd`r  erksa dk ;ksx"	";ksx"	"fufonr
eri=ksa      dh la[;k"	""
"138"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""
"139"	"85"	"49"	"1"	"115"	"44"	"6"	"6"	"6"	"268"	"6"	"3"	"6"	"510"	"0"	"510"	"0"	""
"140"	"86"	"61"	"2"	"18"	"9"	"5"	"3"	"3"	"283"	"63"	"4"	"10"	"461"	"0"	"461"	"0"	""
"141"	"87"	"70"	"5"	"175"	"55"	"15"	"6"	"7"	"104"	"10"	"2"	"4"	"453"	"0"	"453"	"0"	""
"142"	"88"	"144"	"8"	"82"	"110"	"9"	"2"	"10"	"60"	"21"	"2"	"9"	"457"	"0"	"457"	"0"	""
"143"	"89"	"41"	"1"	"22"	"224"	"78"	"6"	"14"	"185"	"15"	"0"	"3"	"589"	"0"	"589"	"0"	""
"144"	"90"	"34"	"0"	"9"	"67"	"55"	"5"	"4"	"38"	"5"	"2"	"2"	"221"	"0"	"221"	"0"	""
"145"	"91"	"173"	"6"	"19"	"126"	"9"	"3"	"6"	"106"	"4"	"5"	"3"	"460"	"0"	"460"	"0"	""
"146"	"92"	"60"	"3"	"6"	"165"	"207"	"6"	"4"	"6"	"6"	"5"	"2"	"470"	"0"	"470"	"0"	""
"147"	"93"	"11"	"0"	"49"	"15"	"75"	"2"	"4"	"77"	"5"	"0"	"4"	"242"	"0"	"242"	"0"	""
"148"	"94"	"133"	"4"	"13"	"18"	"279"	"6"	"6"	"65"	"10"	"8"	"13"	"555"	"0"	"555"	"0"	""
"149"	"95"	"127"	"4"	"28"	"35"	"99"	"8"	"11"	"98"	"2"	"2"	"8"	"422"	"0"	"422"	"0"	""
"150"	"96"	"133"	"10"	"106"	"197"	"169"	"7"	"16"	"80"	"23"	"7"	"10"	"758"	"0"	"758"	"0"	""
"151"	"97"	"18"	"0"	"77"	"45"	"123"	"11"	"7"	"127"	"3"	"6"	"9"	"426"	"0"	"426"	"0"	""
"152"	"98"	"39"	"0"	"50"	"69"	"144"	"1"	"5"	"24"	"2"	"1"	"1"	"336"	"0"	"336"	"0"	""
"153"	";ksx"	"1093"	"44"	"769"	"1179"	"1273"	"72"	"103"	"1521"	"175"	"47"	"84"	"6360"	"0"	"6360"	"0"	""
"154"	"izi=  &  20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"155"	"vafre ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"156"	"6&ykSfj;k fo/kku lHkk fuokZpu {ks= ds fy, fuokZpu "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"157"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k & 192053"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"158"	""	"vH;fFkZ;ksa ds i{k  esa  Mkys x;s oS| erksa  dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"159"	"ernku    dsUnz la0"	"iznhi flag"	"eksgEen tkosn"	"fo'o     eksgu 'kekZ"	"'kEHkw frokjh"	"fou; fcgkjh"	"vt; ;kno"	"fnus'k lkg"	"egEen xkth"	"j.k       fot; 'kkgh"	"fot; dqekj"	"lqnkek cSBk"	"oS|   erksa   dk
;ksx"	"vLohd`r  erksa dk ;ksx"	";ksx"	"fufonr
eri=ksa      dh la[;k"	""
"160"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""
"161"	"99"	"19"	"4"	"52"	"117"	"258"	"7"	"5"	"55"	"5"	"6"	"9"	"537"	"0"	"537"	"0"	""
"162"	"100"	"80"	"4"	"78"	"26"	"627"	"7"	"11"	"33"	"21"	"6"	"18"	"911"	"0"	"911"	"0"	""
"163"	"101"	"88"	"3"	"83"	"57"	"652"	"8"	"16"	"51"	"10"	"4"	"17"	"989"	"0"	"989"	"0"	""
"164"	"102"	"10"	"0"	"23"	"91"	"331"	"9"	"6"	"24"	"7"	"1"	"16"	"518"	"0"	"518"	"0"	""
"165"	"103"	"31"	"5"	"42"	"116"	"266"	"6"	"1"	"153"	"24"	"0"	"20"	"664"	"0"	"664"	"0"	""
"166"	"104"	"49"	"2"	"24"	"30"	"443"	"5"	"3"	"2"	"1"	"0"	"2"	"561"	"0"	"561"	"0"	""
"167"	"105"	"28"	"2"	"6"	"75"	"422"	"5"	"8"	"4"	"0"	"1"	"1"	"552"	"0"	"552"	"0"	""
"168"	"106"	"23"	"4"	"128"	"141"	"130"	"7"	"4"	"151"	"6"	"3"	"7"	"604"	"0"	"604"	"0"	""
"169"	"107"	"7"	"4"	"122"	"155"	"174"	"5"	"5"	"51"	"1"	"3"	"0"	"527"	"0"	"527"	"0"	""
"170"	"108"	"19"	"4"	"128"	"190"	"240"	"7"	"8"	"12"	"7"	"2"	"14"	"631"	"0"	"631"	"0"	""
"171"	"109"	"47"	"28"	"21"	"48"	"298"	"5"	"7"	"79"	"0"	"1"	"5"	"539"	"0"	"539"	"0"	""
"172"	"110"	"181"	"8"	"12"	"112"	"276"	"6"	"10"	"78"	"12"	"5"	"17"	"717"	"0"	"717"	"0"	""
"173"	"111"	"198"	"10"	"42"	"155"	"154"	"7"	"13"	"51"	"4"	"7"	"7"	"648"	"0"	"648"	"0"	""
"174"	"112"	"291"	"4"	"124"	"79"	"106"	"3"	"12"	"135"	"10"	"3"	"14"	"781"	"0"	"781"	"0"	""
