"Total.No..of.Electors.in.Assembly.Constituency......188947"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"13"	"6"	"6"	"40"	"55"	"0"	"13"	"307"	"8"	"23"	"4"	"44"	"13"	"17"	"16"	"5"	"4"	"17"	"566"	"0"	"566"	""
"14"	"7"	"7"	"106"	"7"	"1"	"8"	"138"	"5"	"4"	"3"	"3"	"6"	"109"	"10"	"0"	"5"	"33"	"438"	"0"	"438"	""
"15"	"8"	"8"	"116"	"3"	"2"	"6"	"235"	"13"	"3"	"3"	"4"	"4"	"62"	"2"	"6"	"2"	"18"	"479"	"0"	"479"	""
"16"	"9"	"9"	"57"	"92"	"7"	"15"	"203"	"28"	"3"	"9"	"8"	"3"	"32"	"5"	"5"	"13"	"24"	"504"	"0"	"504"	""
"17"	"10"	"10"	"63"	"95"	"0"	"17"	"204"	"12"	"0"	"1"	"3"	"4"	"21"	"1"	"3"	"3"	"14"	"441"	"0"	"441"	""
"18"	"11"	"11"	"34"	"155"	"6"	"7"	"195"	"12"	"5"	"2"	"2"	"2"	"26"	"9"	"4"	"16"	"17"	"492"	"0"	"492"	""
"19"	"12"	"12"	"43"	"103"	"2"	"13"	"317"	"10"	"5"	"4"	"4"	"4"	"84"	"13"	"3"	"4"	"15"	"624"	"0"	"624"	""
"20"	"13"	"13"	"27"	"57"	"1"	"16"	"289"	"13"	"5"	"3"	"5"	"0"	"31"	"3"	"0"	"8"	"6"	"464"	"0"	"464"	""
"21"	"14"	"14"	"29"	"82"	"3"	"10"	"293"	"36"	"3"	"7"	"10"	"8"	"31"	"1"	"1"	"6"	"13"	"533"	"0"	"533"	""
"22"	"15"	"15"	"177"	"2"	"0"	"2"	"185"	"2"	"0"	"0"	"1"	"0"	"20"	"0"	"0"	"0"	"1"	"390"	"0"	"390"	""
"23"	"16"	"16"	"71"	"124"	"4"	"16"	"179"	"8"	"10"	"3"	"12"	"1"	"39"	"3"	"0"	"5"	"8"	"483"	"0"	"483"	""
"24"	"17"	"17"	"52"	"16"	"0"	"11"	"42"	"3"	"3"	"7"	"2"	"10"	"129"	"7"	"3"	"4"	"18"	"307"	"0"	"307"	""
"25"	"18"	"18"	"73"	"181"	"2"	"17"	"218"	"14"	"3"	"7"	"1"	"0"	"78"	"3"	"4"	"4"	"16"	"621"	"0"	"621"	""
"26"	"19"	"19"	"106"	"204"	"3"	"17"	"123"	"9"	"6"	"5"	"6"	"3"	"85"	"2"	"2"	"7"	"17"	"595"	"0"	"595"	""
"27"	"20"	"20"	"92"	"302"	"7"	"20"	"89"	"1"	"0"	"2"	"0"	"1"	"25"	"3"	"2"	"10"	"20"	"574"	"0"	"574"	""
"28"	"21"	"21"	"25"	"346"	"1"	"9"	"17"	"1"	"1"	"3"	"0"	"1"	"51"	"6"	"1"	"14"	"7"	"483"	"0"	"483"	""
"29"	"22"	"22"	"104"	"8"	"1"	"7"	"196"	"15"	"7"	"5"	"17"	"5"	"19"	"8"	"4"	"3"	"10"	"409"	"0"	"409"	""
"30"	"23"	"23"	"2"	"1"	"0"	"2"	"309"	"2"	"1"	"0"	"2"	"0"	"5"	"0"	"0"	"0"	"0"	"324"	"0"	"324"	""
"31"	"24"	"24"	"41"	"73"	"3"	"20"	"206"	"14"	"8"	"6"	"8"	"6"	"86"	"7"	"1"	"7"	"12"	"498"	"0"	"498"	""
"32"	"25"	"25"	"72"	"18"	"7"	"17"	"254"	"12"	"4"	"7"	"6"	"11"	"176"	"3"	"5"	"5"	"6"	"603"	"0"	"603"	""
"33"	"26"	"26"	"84"	"30"	"13"	"19"	"126"	"36"	"25"	"12"	"22"	"9"	"81"	"5"	"0"	"13"	"8"	"483"	"0"	"483"	""
"34"	"27"	"27"	"380"	"14"	"6"	"3"	"47"	"3"	"3"	"4"	"3"	"4"	"52"	"2"	"1"	"1"	"11"	"534"	"0"	"534"	""
"35"	"28"	"28"	"275"	"20"	"2"	"3"	"86"	"1"	"1"	"1"	"1"	"1"	"11"	"2"	"0"	"5"	"18"	"427"	"0"	"427"	""
"36"	"29"	"29"	"125"	"17"	"2"	"11"	"118"	"11"	"8"	"12"	"3"	"10"	"89"	"7"	"3"	"6"	"61"	"483"	"0"	"483"	""
"37"	"30"	"30"	"45"	"51"	"3"	"22"	"75"	"14"	"4"	"11"	"10"	"9"	"247"	"11"	"4"	"12"	"48"	"566"	"0"	"566"	""
"38"	"31"	"31"	"130"	"10"	"2"	"13"	"32"	"13"	"11"	"5"	"75"	"3"	"17"	"12"	"4"	"7"	"16"	"350"	"0"	"350"	""
"39"	"32"	"32"	"12"	"70"	"3"	"8"	"121"	"14"	"4"	"3"	"4"	"6"	"221"	"41"	"4"	"13"	"29"	"553"	"0"	"553"	""
"40"	"33"	"33"	"35"	"39"	"4"	"9"	"117"	"16"	"25"	"9"	"11"	"8"	"228"	"8"	"5"	"11"	"40"	"565"	"0"	"565"	""
"41"	"34"	"34"	"48"	"13"	"5"	"11"	"166"	"5"	"3"	"2"	"10"	"4"	"139"	"3"	"0"	"4"	"3"	"416"	"0"	"416"	""
"42"	"35"	"35"	"44"	"28"	"2"	"4"	"174"	"10"	"3"	"3"	"14"	"3"	"182"	"3"	"3"	"4"	"12"	"489"	"0"	"489"	""
"43"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"44"	""	""	"Ambar Imam Hashmi"	"Uma Kant Choudhar y"	"Mansur Alam"	"Lalan Choudhar y"	"Hari Nandan Yadav"	"Jagannat h Singh"	"Jhingur Sahu"	"Nilambar Jha"	"Ram Nandan Bhagat"	"Vipin Kumar Rai"	"Umadhar Prasad Singh"	"Ghanshy am Prasad"	"Mahendra Yadav"	"Raj Kumar Ram"	"Lakshmi Giri"	""	""	""	""
"45"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"46"	"36"	"36"	"42"	"349"	"3"	"20"	"30"	"1"	"1"	"1"	"2"	"1"	"3"	"7"	"4"	"15"	"15"	"494"	"0"	"494"	""
"47"	"37"	"37"	"19"	"117"	"6"	"15"	"109"	"24"	"5"	"6"	"2"	"2"	"17"	"0"	"2"	"3"	"9"	"336"	"0"	"336"	""
"48"	"38"	"38"	"30"	"14"	"3"	"4"	"128"	"45"	"2"	"5"	"22"	"1"	"55"	"2"	"3"	"5"	"6"	"325"	"0"	"325"	""
"49"	"39"	"39"	"47"	"272"	"2"	"23"	"11"	"1"	"0"	"2"	"0"	"1"	"3"	"1"	"1"	"3"	"5"	"372"	"0"	"372"	""
"50"	"40"	"40"	"64"	"86"	"7"	"17"	"157"	"9"	"79"	"9"	"16"	"4"	"26"	"4"	"0"	"4"	"11"	"493"	"0"	"493"	""
"51"	"41"	"41"	"57"	"25"	"7"	"9"	"215"	"36"	"33"	"8"	"8"	"6"	"15"	"4"	"4"	"3"	"13"	"443"	"0"	"443"	""
"52"	"42"	"42"	"25"	"96"	"9"	"20"	"110"	"28"	"8"	"13"	"148"	"12"	"33"	"56"	"9"	"11"	"15"	"593"	"0"	"593"	""
"53"	"43"	"43"	"244"	"18"	"2"	"21"	"224"	"21"	"5"	"7"	"25"	"7"	"32"	"6"	"7"	"3"	"21"	"643"	"0"	"643"	""
"54"	"44"	"44"	"19"	"24"	"1"	"17"	"188"	"11"	"2"	"6"	"3"	"8"	"116"	"6"	"4"	"4"	"21"	"430"	"0"	"430"	""
"55"	"45"	"45"	"26"	"59"	"6"	"17"	"296"	"28"	"5"	"11"	"15"	"4"	"67"	"11"	"6"	"1"	"21"	"573"	"0"	"573"	""
"56"	"46"	"46"	"32"	"168"	"8"	"43"	"40"	"17"	"0"	"8"	"5"	"2"	"193"	"3"	"2"	"3"	"10"	"534"	"0"	"534"	""
"57"	"47"	"47"	"75"	"50"	"4"	"21"	"50"	"28"	"5"	"16"	"3"	"7"	"200"	"3"	"0"	"3"	"6"	"471"	"0"	"471"	""
"58"	"48"	"48"	"21"	"7"	"3"	"14"	"372"	"29"	"3"	"21"	"14"	"5"	"129"	"22"	"1"	"3"	"6"	"650"	"0"	"650"	""
"59"	"49"	"49"	"92"	"42"	"8"	"7"	"63"	"30"	"7"	"4"	"10"	"6"	"33"	"4"	"6"	"11"	"12"	"335"	"0"	"335"	""
"60"	"50"	"50"	"13"	"53"	"1"	"8"	"123"	"9"	"20"	"5"	"6"	"3"	"24"	"5"	"4"	"12"	"42"	"328"	"0"	"328"	""
"61"	"51"	"51"	"88"	"124"	"9"	"20"	"186"	"18"	"38"	"11"	"9"	"9"	"86"	"58"	"8"	"9"	"17"	"690"	"0"	"690"	""
"62"	"52"	"52"	"134"	"111"	"9"	"10"	"69"	"64"	"9"	"3"	"1"	"2"	"9"	"1"	"2"	"12"	"10"	"446"	"0"	"446"	""
"63"	"53"	"53"	"126"	"29"	"3"	"10"	"29"	"21"	"4"	"2"	"42"	"1"	"50"	"6"	"1"	"3"	"7"	"334"	"0"	"334"	""
"64"	"54"	"54"	"99"	"4"	"3"	"3"	"249"	"9"	"4"	"6"	"31"	"1"	"2"	"3"	"1"	"1"	"6"	"422"	"0"	"422"	""
"65"	"55"	"55"	"183"	"13"	"3"	"8"	"243"	"8"	"0"	"4"	"8"	"1"	"6"	"8"	"1"	"9"	"29"	"524"	"0"	"524"	""
"66"	"56"	"56"	"43"	"42"	"7"	"6"	"412"	"26"	"1"	"2"	"1"	"3"	"32"	"8"	"4"	"6"	"8"	"601"	"0"	"601"	""
"67"	"57"	"57"	"134"	"15"	"1"	"9"	"237"	"13"	"0"	"0"	"1"	"2"	"37"	"0"	"0"	"4"	"11"	"464"	"0"	"464"	""
"68"	"58"	"58"	"37"	"44"	"3"	"8"	"399"	"15"	"11"	"2"	"4"	"3"	"54"	"22"	"5"	"16"	"20"	"643"	"0"	"643"	""
"69"	"59"	"59"	"22"	"16"	"1"	"7"	"527"	"12"	"5"	"1"	"1"	"1"	"35"	"4"	"5"	"3"	"17"	"657"	"0"	"657"	""
"70"	"60"	"60"	"9"	"9"	"0"	"5"	"429"	"7"	"1"	"3"	"0"	"1"	"115"	"5"	"0"	"2"	"7"	"593"	"0"	"593"	""
"71"	"61"	"61"	"19"	"7"	"1"	"4"	"312"	"12"	"1"	"1"	"3"	"2"	"14"	"1"	"0"	"2"	"3"	"382"	"0"	"382"	""
"72"	"62"	"62"	"6"	"21"	"5"	"3"	"262"	"13"	"1"	"0"	"1"	"1"	"4"	"3"	"3"	"2"	"4"	"329"	"0"	"329"	""
"73"	"63"	"63"	"0"	"12"	"1"	"6"	"490"	"4"	"0"	"1"	"0"	"1"	"19"	"1"	"0"	"1"	"1"	"537"	"0"	"537"	""
"74"	"64"	"64"	"19"	"3"	"1"	"29"	"48"	"13"	"5"	"1"	"4"	"3"	"291"	"2"	"2"	"1"	"18"	"440"	"0"	"440"	""
"75"	"65"	"65"	"3"	"22"	"3"	"7"	"25"	"0"	"2"	"5"	"3"	"6"	"618"	"3"	"3"	"3"	"12"	"715"	"0"	"715"	""
"76"	"66"	"66"	"18"	"10"	"2"	"11"	"89"	"8"	"2"	"10"	"23"	"4"	"330"	"8"	"4"	"0"	"13"	"532"	"0"	"532"	""
"77"	"67"	"67"	"6"	"5"	"1"	"4"	"44"	"1"	"0"	"3"	"10"	"4"	"305"	"4"	"5"	"1"	"10"	"403"	"0"	"403"	""
"78"	"68"	"68"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""
"79"	"69"	"69"	"2"	"0"	"1"	"5"	"3"	"3"	"13"	"8"	"84"	"6"	"29"	"16"	"5"	"5"	"21"	"201"	"0"	"201"	""
"80"	"70"	"70"	"80"	"14"	"1"	"6"	"12"	"11"	"2"	"2"	"25"	"3"	"124"	"11"	"4"	"3"	"12"	"310"	"0"	"310"	""
"81"	"71"	"71"	"48"	"376"	"7"	"5"	"12"	"1"	"1"	"5"	"3"	"2"	"10"	"1"	"1"	"8"	"18"	"498"	"0"	"498"	""
"82"	"72"	"72"	"31"	"196"	"4"	"18"	"34"	"8"	"8"	"8"	"45"	"4"	"41"	"11"	"3"	"9"	"9"	"429"	"0"	"429"	""
"83"	"73"	"73"	"8"	"26"	"6"	"18"	"15"	"3"	"13"	"15"	"134"	"8"	"46"	"17"	"3"	"1"	"15"	"328"	"0"	"328"	""
"84"	"74"	"74"	"69"	"24"	"4"	"6"	"155"	"10"	"4"	"20"	"17"	"10"	"116"	"4"	"2"	"3"	"8"	"452"	"0"	"452"	""
"85"	"75"	"75"	"42"	"29"	"0"	"11"	"53"	"6"	"38"	"6"	"2"	"9"	"139"	"5"	"4"	"4"	"14"	"362"	"0"	"362"	""
"86"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"87"	""	""	"Ambar Imam Hashmi"	"Uma Kant Choudhar y"	"Mansur Alam"	"Lalan Choudhar y"	"Hari Nandan Yadav"	"Jagannat h Singh"	"Jhingur Sahu"	"Nilambar Jha"	"Ram Nandan Bhagat"	"Vipin Kumar Rai"	"Umadhar Prasad Singh"	"Ghanshy am Prasad"	"Mahendra Yadav"	"Raj Kumar Ram"	"Lakshmi Giri"	""	""	""	""
"88"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"89"	"76"	"76"	"34"	"220"	"3"	"13"	"42"	"11"	"28"	"10"	"49"	"9"	"29"	"17"	"7"	"9"	"30"	"511"	"0"	"511"	""
"90"	"77"	"77"	"101"	"12"	"1"	"2"	"201"	"1"	"0"	"0"	"0"	"0"	"11"	"0"	"0"	"2"	"0"	"331"	"0"	"331"	""
"91"	"78"	"78"	"35"	"3"	"0"	"8"	"248"	"5"	"0"	"0"	"0"	"4"	"13"	"3"	"0"	"0"	"8"	"327"	"0"	"327"	""
"92"	"79"	"79"	"105"	"9"	"4"	"2"	"168"	"7"	"0"	"1"	"4"	"3"	"54"	"2"	"2"	"5"	"25"	"391"	"0"	"391"	""
"93"	"80"	"80"	"30"	"4"	"5"	"11"	"115"	"7"	"4"	"8"	"6"	"5"	"119"	"4"	"4"	"7"	"26"	"355"	"0"	"355"	""
"94"	"81"	"81"	"88"	"14"	"1"	"24"	"301"	"5"	"2"	"6"	"0"	"1"	"78"	"3"	"1"	"4"	"13"	"541"	"0"	"541"	""
"95"	"82"	"82"	"109"	"7"	"5"	"22"	"269"	"12"	"1"	"5"	"1"	"3"	"99"	"1"	"0"	"2"	"11"	"547"	"0"	"547"	""
"96"	"83"	"83"	"12"	"75"	"2"	"9"	"10"	"2"	"8"	"8"	"4"	"4"	"132"	"1"	"1"	"3"	"5"	"276"	"0"	"276"	""
"97"	"84"	"84"	"40"	"31"	"1"	"7"	"192"	"9"	"0"	"0"	"1"	"1"	"157"	"1"	"0"	"1"	"6"	"447"	"0"	"447"	""
"98"	"85"	"85"	"14"	"28"	"1"	"13"	"308"	"19"	"7"	"14"	"4"	"2"	"101"	"6"	"5"	"11"	"18"	"551"	"0"	"551"	""
"99"	"86"	"86"	"23"	"28"	"1"	"6"	"196"	"7"	"3"	"8"	"10"	"3"	"134"	"9"	"4"	"5"	"19"	"456"	"0"	"456"	""
"100"	"87"	"87"	"157"	"21"	"6"	"2"	"173"	"12"	"4"	"3"	"1"	"1"	"26"	"0"	"2"	"2"	"7"	"417"	"0"	"417"	""
"101"	"88"	"88"	"74"	"48"	"2"	"16"	"311"	"7"	"0"	"2"	"3"	"1"	"90"	"0"	"1"	"3"	"12"	"570"	"0"	"570"	""
"102"	"89"	"89"	"60"	"22"	"5"	"20"	"187"	"14"	"4"	"16"	"6"	"5"	"89"	"11"	"3"	"7"	"11"	"460"	"0"	"460"	""
"103"	"90"	"90"	"82"	"20"	"6"	"10"	"424"	"23"	"10"	"3"	"2"	"5"	"54"	"17"	"3"	"6"	"13"	"678"	"0"	"678"	""
"104"	"91"	"91"	"45"	"173"	"45"	"42"	"160"	"29"	"7"	"7"	"27"	"2"	"24"	"4"	"1"	"5"	"9"	"580"	"0"	"580"	""
"105"	"92"	"92"	"72"	"9"	"0"	"4"	"4"	"4"	"0"	"1"	"2"	"1"	"225"	"3"	"1"	"0"	"4"	"330"	"0"	"330"	""
"106"	"93"	"93"	"21"	"218"	"4"	"75"	"37"	"7"	"0"	"3"	"6"	"0"	"7"	"4"	"3"	"2"	"5"	"392"	"0"	"392"	""
"107"	"94"	"94"	"119"	"29"	"1"	"83"	"147"	"9"	"0"	"4"	"0"	"0"	"18"	"3"	"3"	"4"	"6"	"426"	"0"	"426"	""
"108"	"95"	"95"	"218"	"6"	"3"	"6"	"165"	"6"	"1"	"0"	"1"	"0"	"7"	"1"	"0"	"0"	"19"	"433"	"0"	"433"	""
"109"	"96"	"96"	"168"	"61"	"8"	"36"	"193"	"17"	"4"	"7"	"4"	"4"	"69"	"6"	"2"	"8"	"26"	"613"	"0"	"613"	""
"110"	"97"	"97"	"58"	"21"	"5"	"4"	"196"	"9"	"4"	"3"	"24"	"1"	"10"	"5"	"0"	"6"	"8"	"354"	"0"	"354"	""
"111"	"98"	"98"	"97"	"216"	"1"	"20"	"85"	"3"	"9"	"4"	"1"	"1"	"5"	"6"	"3"	"6"	"11"	"468"	"0"	"468"	""
"112"	"99"	"99"	"71"	"350"	"3"	"10"	"41"	"1"	"10"	"1"	"4"	"0"	"5"	"0"	"2"	"0"	"7"	"505"	"0"	"505"	""
"113"	"100"	"100"	"97"	"54"	"112"	"40"	"87"	"11"	"14"	"5"	"7"	"9"	"10"	"5"	"2"	"7"	"10"	"470"	"0"	"470"	""
"114"	"101"	"101"	"11"	"141"	"1"	"12"	"69"	"4"	"1"	"2"	"12"	"1"	"4"	"0"	"1"	"4"	"5"	"268"	"0"	"268"	""
"115"	"102"	"102"	"58"	"766"	"3"	"9"	"44"	"14"	"3"	"0"	"0"	"0"	"5"	"0"	"4"	"1"	"4"	"911"	"0"	"911"	""
"116"	"103"	"103"	"46"	"254"	"7"	"43"	"48"	"31"	"3"	"5"	"16"	"0"	"10"	"3"	"2"	"7"	"6"	"481"	"0"	"481"	""
"117"	"104"	"104"	"51"	"171"	"5"	"25"	"128"	"14"	"4"	"4"	"13"	"3"	"83"	"8"	"3"	"4"	"24"	"540"	"0"	"540"	""
"118"	"105"	"105"	"63"	"165"	"4"	"28"	"69"	"63"	"2"	"5"	"15"	"5"	"27"	"13"	"6"	"15"	"30"	"510"	"0"	"510"	""
"119"	"106"	"106"	"45"	"396"	"4"	"14"	"106"	"11"	"1"	"3"	"10"	"1"	"11"	"6"	"1"	"6"	"6"	"621"	"0"	"621"	""
"120"	"107"	"107"	"102"	"220"	"6"	"12"	"89"	"31"	"2"	"6"	"20"	"5"	"16"	"7"	"4"	"21"	"38"	"579"	"0"	"579"	""
"121"	"108"	"108"	"3"	"328"	"2"	"3"	"9"	"1"	"0"	"2"	"1"	"0"	"2"	"3"	"0"	"2"	"2"	"358"	"0"	"358"	""
"122"	"109"	"109"	"6"	"308"	"2"	"1"	"4"	"0"	"0"	"0"	"2"	"0"	"1"	"1"	"0"	"0"	"3"	"328"	"0"	"328"	""
"123"	"110"	"110"	"52"	"224"	"7"	"10"	"32"	"22"	"0"	"7"	"15"	"2"	"71"	"6"	"7"	"9"	"18"	"482"	"0"	"482"	""
"124"	"111"	"111"	"44"	"45"	"7"	"10"	"208"	"10"	"4"	"4"	"20"	"4"	"103"	"4"	"1"	"1"	"6"	"471"	"0"	"471"	""
"125"	"112"	"112"	"30"	"126"	"1"	"6"	"80"	"5"	"5"	"4"	"12"	"0"	"55"	"1"	"0"	"2"	"10"	"337"	"0"	"337"	""
"126"	"113"	"113"	"54"	"16"	"3"	"6"	"173"	"9"	"12"	"4"	"48"	"10"	"91"	"8"	"4"	"10"	"44"	"492"	"0"	"492"	""
"127"	"114"	"114"	"55"	"42"	"3"	"20"	"190"	"22"	"2"	"4"	"5"	"7"	"87"	"11"	"3"	"4"	"8"	"463"	"0"	"463"	""
"128"	"115"	"115"	"46"	"213"	"6"	"66"	"67"	"7"	"6"	"3"	"7"	"5"	"14"	"5"	"8"	"8"	"19"	"480"	"0"	"480"	""
"129"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"130"	""	""	"Ambar Imam Hashmi"	"Uma Kant Choudhar y"	"Mansur Alam"	"Lalan Choudhar y"	"Hari Nandan Yadav"	"Jagannat h Singh"	"Jhingur Sahu"	"Nilambar Jha"	"Ram Nandan Bhagat"	"Vipin Kumar Rai"	"Umadhar Prasad Singh"	"Ghanshy am Prasad"	"Mahendra Yadav"	"Raj Kumar Ram"	"Lakshmi Giri"	""	""	""	""
"131"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"132"	"116"	"116"	"20"	"481"	"0"	"9"	"39"	"9"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"4"	"4"	"569"	"0"	"569"	""
"133"	"117"	"117"	"40"	"142"	"4"	"9"	"60"	"7"	"7"	"2"	"26"	"6"	"6"	"7"	"3"	"16"	"11"	"346"	"0"	"346"	""
"134"	"118"	"118"	"12"	"167"	"9"	"37"	"104"	"13"	"1"	"5"	"2"	"5"	"27"	"6"	"10"	"17"	"30"	"445"	"0"	"445"	""
"135"	"119"	"119"	"10"	"53"	"2"	"14"	"47"	"5"	"2"	"5"	"4"	"5"	"154"	"7"	"8"	"8"	"29"	"353"	"0"	"353"	""
"136"	"120"	"120"	"5"	"15"	"1"	"4"	"185"	"6"	"2"	"4"	"2"	"4"	"92"	"4"	"1"	"0"	"4"	"329"	"0"	"329"	""
"137"	"121"	"121"	"72"	"88"	"3"	"21"	"83"	"12"	"1"	"4"	"5"	"3"	"69"	"5"	"8"	"18"	"42"	"434"	"0"	"434"	""
"138"	"122"	"122"	"0"	"9"	"2"	"23"	"341"	"5"	"0"	"1"	"1"	"2"	"25"	"0"	"1"	"1"	"0"	"411"	"0"	"411"	""
"139"	"123"	"123"	"19"	"120"	"6"	"31"	"54"	"9"	"6"	"4"	"4"	"7"	"301"	"2"	"4"	"5"	"11"	"583"	"0"	"583"	""
"140"	"124"	"124"	"1"	"886"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"891"	"0"	"891"	""
"141"	"125"	"125"	"3"	"758"	"0"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"2"	"1"	"771"	"0"	"771"	""
"142"	"126"	"126"	"18"	"806"	"1"	"1"	"1"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"1"	"831"	"0"	"831"	""
"143"	"127"	"127"	"53"	"26"	"5"	"10"	"86"	"2"	"7"	"4"	"28"	"8"	"457"	"4"	"1"	"1"	"12"	"704"	"0"	"704"	""
"144"	"128"	"128"	"37"	"14"	"1"	"8"	"203"	"11"	"3"	"11"	"5"	"8"	"155"	"10"	"6"	"11"	"44"	"527"	"0"	"527"	""
"145"	"129"	"129"	"102"	"43"	"5"	"11"	"118"	"34"	"6"	"14"	"3"	"3"	"124"	"5"	"8"	"17"	"21"	"514"	"0"	"514"	""
"146"	"130"	"130"	"55"	"58"	"5"	"15"	"132"	"9"	"6"	"7"	"1"	"1"	"109"	"11"	"0"	"5"	"10"	"424"	"0"	"424"	""
"147"	"131"	"131"	"53"	"153"	"8"	"18"	"73"	"8"	"3"	"8"	"1"	"3"	"286"	"3"	"0"	"3"	"9"	"629"	"0"	"629"	""
"148"	"132"	"132"	"7"	"24"	"0"	"7"	"27"	"7"	"6"	"10"	"2"	"5"	"343"	"3"	"1"	"8"	"8"	"458"	"0"	"458"	""
"149"	"133"	"133"	"34"	"31"	"1"	"13"	"95"	"12"	"3"	"5"	"7"	"13"	"188"	"6"	"4"	"5"	"23"	"440"	"0"	"440"	""
"150"	"134"	"134"	"42"	"77"	"4"	"18"	"107"	"16"	"1"	"5"	"1"	"2"	"142"	"5"	"3"	"19"	"41"	"483"	"0"	"483"	""
"151"	"135"	"135"	"29"	"224"	"2"	"23"	"133"	"3"	"16"	"4"	"16"	"6"	"20"	"8"	"0"	"12"	"28"	"524"	"0"	"524"	""
"152"	"136"	"136"	"26"	"342"	"6"	"12"	"171"	"14"	"8"	"3"	"9"	"3"	"20"	"8"	"5"	"15"	"21"	"663"	"0"	"663"	""
"153"	"137"	"137"	"20"	"5"	"3"	"12"	"296"	"23"	"13"	"7"	"10"	"13"	"111"	"6"	"5"	"7"	"24"	"555"	"0"	"555"	""
