"Total.No..of.Electors.in.Assembly.Constituency....218467"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"24"	"Total No. of Electors in Assembly Constituency :- 218467"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 83  MADHEPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"FINAL RESULT SHEET [SEE RULE 56C(2){C}]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	"ELECTION OF THE LEGISLATIVE ASSEMBLY ELECTION"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"30"	"Table No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"No. of Rejected Votes"	"Total Votes"	"No. of Tendered Votes"	"Initial of RO"	"Initial of OBS"
"31"	""	""	"ASHARFI SADAY"	"JAGAT NARAYAN SINGH"	"MAHAVIR PRASAD MAHTO"	"RAM PR. YADAV"	"SHOBHENDRA KUMAR"	"SANTOSH KUMAR JHA"	"ASHOK KUMAR MANDAL"	"GULAB YADAV"	"DIVAKER PRASAD YADAV"	"YOGNATH MANDAL"	"ROOP NARAYAN JHA"	"VIJAY KUMAR JHA"	""	""	""	""	""
"32"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	""	""	""	""	""
"33"	"1"	"15"	"63"	"143"	"42"	"11"	"9"	"5"	"10"	"32"	"17"	"14"	"187"	"40"	""	"573"	""	""	""
"34"	"2"	"16"	"14"	"124"	"38"	"3"	"18"	"47"	"5"	"31"	"7"	"14"	"189"	"40"	""	"530"	""	""	""
"35"	"3"	"17"	"16"	"74"	"127"	"5"	"5"	"30"	"1"	"15"	"4"	"0"	"74"	"12"	""	"363"	""	""	""
"36"	"4"	"18"	"22"	"81"	"119"	"5"	"5"	"9"	"4"	"44"	"7"	"8"	"102"	"19"	""	"425"	""	""	""
"37"	"5"	"19"	"2"	"23"	"12"	"22"	"21"	"0"	"3"	"258"	"9"	"2"	"8"	"3"	""	"363"	""	""	""
"38"	"6"	"20"	"2"	"10"	"3"	"13"	"16"	"3"	"1"	"305"	"2"	"0"	"3"	"2"	""	"360"	""	""	""
"39"	"7"	"21"	"26"	"138"	"122"	"12"	"12"	"49"	"19"	"93"	"25"	"11"	"68"	"34"	""	"609"	""	""	""
"40"	"8"	"22"	"24"	"15"	"64"	"1"	"2"	"184"	"5"	"19"	"6"	"14"	"98"	"43"	""	"475"	""	""	""
"41"	"9"	"23"	"47"	"24"	"97"	"6"	"3"	"29"	"5"	"12"	"7"	"8"	"118"	"21"	""	"377"	""	""	""
"42"	"10"	"24"	"15"	"40"	"91"	"9"	"7"	"116"	"8"	"41"	"9"	"15"	"61"	"31"	""	"443"	""	""	""
"43"	"11"	"25"	"31"	"25"	"87"	"2"	"6"	"30"	"6"	"8"	"7"	"9"	"53"	"17"	""	"281"	""	""	""
"44"	"12"	"26"	"22"	"202"	"8"	"2"	"4"	"6"	"2"	"101"	"13"	"6"	"33"	"31"	""	"430"	""	""	""
"45"	"13"	"27"	"9"	"144"	"491"	"6"	"7"	"28"	"3"	"17"	"3"	"3"	"11"	"10"	""	"732"	""	""	""
"46"	"14"	"28"	"8"	"65"	"300"	"5"	"2"	"8"	"3"	"10"	"5"	"2"	"8"	"2"	""	"418"	""	""	""
"47"	""	"Total Round 2"	"301"	"1108"	"1601"	"102"	"117"	"544"	"75"	"986"	"121"	"106"	"1013"	"305"	"0"	"6379"	"0"	""	""
"48"	"Total No. of Electors in Assembly Constituency :- 218467"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"49"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 83  MADHEPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"50"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"51"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"52"	"FINAL RESULT SHEET [SEE RULE 56C(2){C}]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"53"	"ELECTION OF THE LEGISLATIVE ASSEMBLY ELECTION"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"54"	"Table No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"No. of Rejected Votes"	"Total Votes"	"No. of Tendered Votes"	"Initial of RO"	"Initial of OBS"
"55"	""	""	"ASHARFI SADAY"	"JAGAT NARAYAN SINGH"	"MAHAVIR PRASAD MAHTO"	"RAM PR. YADAV"	"SHOBHENDRA KUMAR"	"SANTOSH KUMAR JHA"	"ASHOK KUMAR MANDAL"	"GULAB YADAV"	"DIVAKER PRASAD YADAV"	"YOGNATH MANDAL"	"ROOP NARAYAN JHA"	"VIJAY KUMAR JHA"	""	""	""	""	""
"56"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	""	""	""	""	""
"57"	"1"	"29"	"20"	"133"	"263"	"3"	"2"	"18"	"6"	"9"	"3"	"8"	"14"	"16"	""	"495"	""	""	""
"58"	"2"	"30"	"84"	"35"	"38"	"9"	"11"	"30"	"8"	"19"	"8"	"19"	"235"	"22"	""	"518"	""	""	""
"59"	"3"	"31"	"49"	"112"	"20"	"0"	"14"	"10"	"3"	"25"	"8"	"7"	"153"	"21"	""	"422"	""	""	""
"60"	"4"	"32"	"21"	"158"	"4"	"4"	"164"	"6"	"1"	"215"	"3"	"0"	"72"	"3"	""	"651"	""	""	""
"61"	"5"	"33"	"38"	"49"	"101"	"4"	"15"	"55"	"8"	"12"	"9"	"17"	"200"	"34"	""	"542"	""	""	""
"62"	"6"	"34"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	""	""
"63"	"7"	"35"	"39"	"42"	"178"	"7"	"3"	"32"	"3"	"5"	"7"	"3"	"105"	"29"	""	"453"	""	""	""
"64"	"8"	"36"	"18"	"47"	"58"	"8"	"4"	"27"	"2"	"2"	"5"	"8"	"140"	"13"	""	"332"	""	""	""
"65"	"9"	"37"	"4"	"74"	"4"	"2"	"0"	"52"	"1"	"8"	"8"	"6"	"142"	"10"	""	"311"	""	""	""
"66"	"10"	"38"	"66"	"81"	"208"	"9"	"9"	"63"	"6"	"10"	"9"	"16"	"163"	"34"	""	"674"	""	""	""
"67"	"11"	"39"	"19"	"130"	"315"	"7"	"6"	"25"	"1"	"18"	"3"	"3"	"63"	"18"	""	"608"	""	""	""
"68"	"12"	"40"	"62"	"81"	"26"	"7"	"10"	"40"	"8"	"11"	"1"	"2"	"55"	"5"	""	"308"	""	""	""
"69"	"13"	"41"	"16"	"106"	"59"	"6"	"8"	"49"	"8"	"17"	"7"	"13"	"76"	"16"	""	"381"	""	""	""
"70"	"14"	"42"	"82"	"28"	"75"	"0"	"10"	"14"	"2"	"8"	"3"	"6"	"105"	"25"	""	"358"	""	""	""
"71"	""	"Total Round 3"	"518"	"1076"	"1349"	"66"	"256"	"421"	"57"	"359"	"74"	"108"	"1523"	"246"	"0"	"6053"	"0"	""	""
"72"	"Total No. of Electors in Assembly Constituency :- 218467"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"73"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 83  MADHEPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"74"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"75"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"76"	"FINAL RESULT SHEET [SEE RULE 56C(2){C}]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"77"	"ELECTION OF THE LEGISLATIVE ASSEMBLY ELECTION"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"78"	"Table No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"No. of Rejected Votes"	"Total Votes"	"No. of Tendered Votes"	"Initial of RO"	"Initial of OBS"
"79"	""	""	"ASHARFI SADAY"	"JAGAT NARAYAN SINGH"	"MAHAVIR PRASAD MAHTO"	"RAM PR. YADAV"	"SHOBHENDRA KUMAR"	"SANTOSH KUMAR JHA"	"ASHOK KUMAR MANDAL"	"GULAB YADAV"	"DIVAKER PRASAD YADAV"	"YOGNATH MANDAL"	"ROOP NARAYAN JHA"	"VIJAY KUMAR JHA"	""	""	""	""	""
"80"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	""	""	""	""	""
"81"	"1"	"43"	"3"	"48"	"131"	"2"	"36"	"6"	"4"	"7"	"6"	"3"	"53"	"8"	""	"307"	""	""	""
"82"	"2"	"44"	"15"	"118"	"185"	"7"	"15"	"37"	"9"	"17"	"14"	"12"	"65"	"13"	""	"507"	""	""	""
"83"	"3"	"45"	"6"	"15"	"87"	"3"	"3"	"31"	"4"	"30"	"4"	"5"	"87"	"17"	""	"292"	""	""	""
"84"	"4"	"46"	"212"	"64"	"95"	"2"	"7"	"19"	"4"	"13"	"7"	"3"	"7"	"22"	""	"455"	""	""	""
"85"	"5"	"47"	"11"	"198"	"184"	"7"	"22"	"3"	"1"	"11"	"8"	"4"	"7"	"17"	""	"473"	""	""	""
"86"	"6"	"48"	"14"	"158"	"114"	"7"	"3"	"15"	"4"	"10"	"10"	"6"	"6"	"10"	""	"357"	""	""	""
"87"	"7"	"49"	"17"	"115"	"275"	"6"	"10"	"6"	"9"	"23"	"1"	"2"	"3"	"4"	""	"471"	""	""	""
"88"	"8"	"50"	"39"	"129"	"260"	"5"	"5"	"18"	"6"	"10"	"10"	"2"	"9"	"8"	""	"501"	""	""	""
"89"	"9"	"51"	"10"	"89"	"78"	"2"	"9"	"20"	"5"	"12"	"22"	"124"	"147"	"13"	""	"531"	""	""	""
"90"	"10"	"52"	"13"	"43"	"42"	"8"	"4"	"21"	"7"	"17"	"11"	"218"	"171"	"13"	""	"568"	""	""	""
"91"	"11"	"53"	"6"	"83"	"226"	"1"	"2"	"22"	"1"	"9"	"1"	"50"	"6"	"0"	""	"407"	""	""	""
"92"	"12"	"54"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	""	""
"93"	"13"	"55"	"19"	"30"	"27"	"4"	"5"	"75"	"5"	"10"	"3"	"12"	"230"	"18"	""	"438"	""	""	""
"94"	"14"	"56"	"10"	"25"	"53"	"5"	"0"	"26"	"4"	"7"	"4"	"8"	"256"	"17"	""	"415"	""	""	""
"95"	""	"Total Round 4"	"375"	"1115"	"1757"	"59"	"121"	"299"	"63"	"176"	"101"	"449"	"1047"	"160"	"0"	"5722"	"0"	""	""
"96"	"Total No. of Electors in Assembly Constituency :- 218467"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"97"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 83  MADHEPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"98"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"99"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"100"	"FINAL RESULT SHEET [SEE RULE 56C(2){C}]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"101"	"ELECTION OF THE LEGISLATIVE ASSEMBLY ELECTION"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"102"	"Table No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"No. of Rejected Votes"	"Total Votes"	"No. of Tendered Votes"	"Initial of RO"	"Initial of OBS"
"103"	""	""	"ASHARFI SADAY"	"JAGAT NARAYAN SINGH"	"MAHAVIR PRASAD MAHTO"	"RAM PR. YADAV"	"SHOBHENDRA KUMAR"	"SANTOSH KUMAR JHA"	"ASHOK KUMAR MANDAL"	"GULAB YADAV"	"DIVAKER PRASAD YADAV"	"YOGNATH MANDAL"	"ROOP NARAYAN JHA"	"VIJAY KUMAR JHA"	""	""	""	""	""
"104"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	""	""	""	""	""
"105"	"1"	"57"	"14"	"31"	"108"	"0"	"5"	"21"	"2"	"11"	"4"	"4"	"94"	"2"	""	"296"	""	""	""
"106"	"2"	"58"	"24"	"70"	"41"	"2"	"25"	"50"	"5"	"6"	"6"	"8"	"333"	"22"	""	"592"	""	""	""
"107"	"3"	"59"	"15"	"37"	"146"	"7"	"9"	"26"	"8"	"8"	"10"	"14"	"91"	"30"	""	"401"	""	""	""
"108"	"4"	"60"	"11"	"15"	"124"	"4"	"53"	"24"	"6"	"14"	"6"	"14"	"86"	"32"	""	"389"	""	""	""
"109"	"5"	"61"	"7"	"23"	"105"	"4"	"5"	"51"	"2"	"6"	"4"	"3"	"54"	"1"	""	"265"	""	""	""
"110"	"6"	"62"	"43"	"181"	"7"	"6"	"21"	"26"	"5"	"9"	"35"	"8"	"62"	"20"	""	"423"	""	""	""
"111"	"7"	"63"	"12"	"133"	"57"	"1"	"4"	"8"	"4"	"3"	"9"	"7"	"69"	"23"	""	"330"	""	""	""
"112"	"8"	"64"	"2"	"53"	"12"	"0"	"4"	"19"	"1"	"18"	"4"	"3"	"193"	"7"	""	"316"	""	""	""
"113"	"9"	"65"	"21"	"18"	"7"	"6"	"7"	"59"	"8"	"9"	"13"	"5"	"161"	"28"	""	"342"	""	""	""
"114"	"10"	"66"	"50"	"68"	"148"	"14"	"18"	"26"	"8"	"9"	"6"	"11"	"169"	"18"	""	"545"	""	""	""
"115"	"11"	"67"	"37"	"221"	"146"	"11"	"10"	"11"	"3"	"29"	"1"	"3"	"39"	"6"	""	"517"	""	""	""
"116"	"12"	"68"	"22"	"111"	"209"	"10"	"15"	"35"	"8"	"15"	"5"	"4"	"115"	"7"	""	"556"	""	""	""
"117"	"13"	"69"	"13"	"99"	"108"	"4"	"23"	"18"	"7"	"3"	"4"	"12"	"231"	"16"	""	"538"	""	""	""
"118"	"14"	"70"	"0"	"20"	"21"	"1"	"5"	"12"	"2"	"1"	"1"	"3"	"136"	"6"	""	"208"	""	""	""
"119"	""	"Total Round 5"	"271"	"1080"	"1239"	"70"	"204"	"386"	"69"	"141"	"108"	"99"	"1833"	"218"	"0"	"5718"	"0"	""	""
"120"	"Total No. of Electors in Assembly Constituency :- 218467"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"121"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 83  MADHEPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"122"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"123"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"124"	"FINAL RESULT SHEET [SEE RULE 56C(2){C}]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"125"	"ELECTION OF THE LEGISLATIVE ASSEMBLY ELECTION"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"126"	"Table No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"No. of Rejected Votes"	"Total Votes"	"No. of Tendered Votes"	"Initial of RO"	"Initial of OBS"
"127"	""	""	"ASHARFI SADAY"	"JAGAT NARAYAN SINGH"	"MAHAVIR PRASAD MAHTO"	"RAM PR. YADAV"	"SHOBHENDRA KUMAR"	"SANTOSH KUMAR JHA"	"ASHOK KUMAR MANDAL"	"GULAB YADAV"	"DIVAKER PRASAD YADAV"	"YOGNATH MANDAL"	"ROOP NARAYAN JHA"	"VIJAY KUMAR JHA"	""	""	""	""	""
"128"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	""	""	""	""	""
"129"	"1"	"71"	"1"	"29"	"28"	"2"	"6"	"3"	"0"	"1"	"1"	"0"	"150"	"4"	""	"225"	""	""	""
"130"	"2"	"72"	"11"	"162"	"86"	"5"	"61"	"14"	"3"	"4"	"6"	"3"	"75"	"14"	""	"444"	""	""	""
"131"	"3"	"73"	"24"	"118"	"16"	"5"	"19"	"4"	"3"	"28"	"10"	"3"	"84"	"5"	""	"319"	""	""	""
"132"	"4"	"74"	"14"	"39"	"31"	"2"	"3"	"13"	"4"	"12"	"5"	"5"	"176"	"26"	""	"330"	""	""	""
"133"	"5"	"75"	"14"	"410"	"159"	"5"	"3"	"7"	"2"	"0"	"0"	"2"	"24"	"2"	""	"628"	""	""	""
"134"	"6"	"76"	"8"	"49"	"180"	"3"	"2"	"47"	"1"	"10"	"0"	"2"	"84"	"13"	""	"399"	""	""	""
"135"	"7"	"77"	"46"	"77"	"137"	"5"	"3"	"35"	"5"	"10"	"7"	"15"	"61"	"13"	""	"414"	""	""	""
"136"	"8"	"78"	"61"	"163"	"312"	"9"	"4"	"7"	"3"	"18"	"4"	"6"	"12"	"6"	""	"605"	""	""	""
"137"	"9"	"79"	"10"	"54"	"265"	"8"	"3"	"12"	"1"	"3"	"4"	"5"	"21"	"12"	""	"398"	""	""	""
"138"	"10"	"80"	"10"	"92"	"323"	"4"	"3"	"7"	"3"	"18"	"5"	"3"	"2"	"14"	""	"484"	""	""	""
"139"	"11"	"81"	"30"	"260"	"31"	"4"	"28"	"67"	"3"	"28"	"13"	"4"	"22"	"8"	""	"498"	""	""	""
"140"	"12"	"82"	"8"	"34"	"93"	"0"	"6"	"37"	"2"	"7"	"67"	"5"	"99"	"10"	""	"368"	""	""	""
"141"	"13"	"83"	"0"	"9"	"2"	"0"	"1"	"21"	"2"	"5"	"113"	"0"	"6"	"5"	""	"164"	""	""	""
"142"	"14"	"84"	"34"	"72"	"12"	"3"	"9"	"139"	"17"	"9"	"55"	"8"	"68"	"17"	""	"443"	""	""	""
"143"	""	"Total Round 6"	"271"	"1568"	"1675"	"55"	"151"	"413"	"49"	"153"	"290"	"61"	"884"	"149"	"0"	"5719"	"0"	""	""
"144"	"Total No. of Electors in Assembly Constituency :- 218467"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"145"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 83  MADHEPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"146"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"147"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"148"	"FINAL RESULT SHEET [SEE RULE 56C(2){C}]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"149"	"ELECTION OF THE LEGISLATIVE ASSEMBLY ELECTION"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"150"	"Table No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"No. of Rejected Votes"	"Total Votes"	"No. of Tendered Votes"	"Initial of RO"	"Initial of OBS"
"151"	""	""	"ASHARFI SADAY"	"JAGAT NARAYAN SINGH"	"MAHAVIR PRASAD MAHTO"	"RAM PR. YADAV"	"SHOBHENDRA KUMAR"	"SANTOSH KUMAR JHA"	"ASHOK KUMAR MANDAL"	"GULAB YADAV"	"DIVAKER PRASAD YADAV"	"YOGNATH MANDAL"	"ROOP NARAYAN JHA"	"VIJAY KUMAR JHA"	""	""	""	""	""
"152"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	""	""	""	""	""
"153"	"1"	"85"	"3"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	""	"5"	""	""	""
"154"	"2"	"86"	"29"	"211"	"17"	"11"	"24"	"49"	"8"	"26"	"24"	"19"	"111"	"26"	""	"555"	""	""	""
"155"	"3"	"87"	"12"	"203"	"19"	"3"	"67"	"10"	"0"	"10"	"59"	"8"	"80"	"14"	""	"485"	""	""	""
"156"	"4"	"88"	"22"	"88"	"61"	"6"	"38"	"16"	"7"	"24"	"13"	"4"	"46"	"11"	""	"336"	""	""	""
"157"	"5"	"89"	"3"	"12"	"63"	"3"	"23"	"10"	"2"	"1"	"32"	"2"	"14"	"5"	""	"170"	""	""	""
"158"	"6"	"90"	"3"	"81"	"2"	"1"	"12"	"17"	"1"	"7"	"62"	"7"	"16"	"12"	""	"221"	""	""	""
"159"	"7"	"91"	"13"	"85"	"84"	"5"	"7"	"21"	"0"	"4"	"39"	"5"	"127"	"7"	""	"397"	""	""	""
"160"	"8"	"92"	"18"	"101"	"65"	"3"	"10"	"78"	"9"	"12"	"62"	"9"	"98"	"40"	""	"505"	""	""	""
"161"	"9"	"93"	"22"	"180"	"11"	"6"	"8"	"10"	"10"	"12"	"65"	"6"	"29"	"16"	""	"375"	""	""	""
"162"	"10"	"94"	"7"	"58"	"51"	"1"	"6"	"9"	"2"	"4"	"103"	"2"	"36"	"2"	""	"281"	""	""	""
"163"	"11"	"95"	"1"	"3"	"6"	"0"	"0"	"15"	"2"	"1"	"4"	"4"	"107"	"5"	""	"148"	""	""	""
"164"	"12"	"96"	"4"	"53"	"20"	"7"	"3"	"19"	"3"	"2"	"4"	"3"	"83"	"4"	""	"205"	""	""	""
"165"	"13"	"97"	"6"	"21"	"9"	"1"	"0"	"34"	"2"	"2"	"4"	"3"	"151"	"3"	""	"236"	""	""	""
"166"	"14"	"98"	"11"	"157"	"62"	"3"	"10"	"4"	"2"	"2"	"26"	"3"	"107"	"15"	""	"402"	""	""	""
"167"	""	"Total Round 7"	"154"	"1253"	"470"	"50"	"208"	"293"	"48"	"107"	"497"	"75"	"1006"	"160"	"0"	"4321"	"0"	""	""
"168"	"Total No. of Electors in Assembly Constituency :- 218467"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"169"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 83  MADHEPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"170"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"171"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"172"	"FINAL RESULT SHEET [SEE RULE 56C(2){C}]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"173"	"ELECTION OF THE LEGISLATIVE ASSEMBLY ELECTION"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"174"	"Table No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"No. of Rejected Votes"	"Total Votes"	"No. of Tendered Votes"	"Initial of RO"	"Initial of OBS"
