"ANNEURE.XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"
"13"	"2"	"PRIMARY SCHOOL EYAR MUSAHAR TOLI"	"82"	"185"	"6"	"2"	"9"	"114"	"3"	"2"	"3"	"3"	"5"	"1"	"0"	"6"	"6"	"1"	"428"	"0"	"428"	"0"
"14"	"3"	"PRIMARY SCHOOL KARWANIA"	"113"	"124"	"13"	"6"	"3"	"1"	"0"	"1"	"1"	"8"	"2"	"0"	"0"	"0"	"2"	"2"	"276"	"0"	"276"	"0"
"15"	"4"	"PRIMARY SCHOOL EYAR"	"47"	"114"	"5"	"2"	"7"	"160"	"11"	"3"	"1"	"4"	"11"	"1"	"4"	"8"	"4"	"6"	"388"	"0"	"388"	"0"
"16"	"5"	"PRIMARY SCHOOL KUKURAHAN"	"63"	"147"	"0"	"0"	"26"	"33"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"270"	"0"	"270"	"0"
"17"	"6"	"PRIMARY SCHOOL FARAURA"	"132"	"253"	"30"	"1"	"3"	"208"	"2"	"3"	"1"	"8"	"2"	"2"	"1"	"1"	"1"	"3"	"651"	"0"	"651"	"0"
"18"	"7"	"PRIMARY SCHOOL LOHAI"	"81"	"166"	"6"	"1"	"89"	"61"	"4"	"1"	"1"	"48"	"4"	"0"	"4"	"4"	"5"	"7"	"482"	"0"	"482"	"0"
"19"	"8"	"PRIMARY SCHOOL KHIRIKON"	"173"	"234"	"11"	"1"	"13"	"34"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"3"	"14"	"491"	"0"	"491"	"0"
"20"	"9"	"PRIMARY SCHOOL NEWARI"	"80"	"112"	"5"	"3"	"34"	"23"	"1"	"1"	"2"	"3"	"1"	"10"	"1"	"1"	"12"	"11"	"300"	"0"	"300"	"0"
"21"	"10"	"PRIMARY SCHOOL KHARAHI"	"105"	"50"	"1"	"1"	"4"	"34"	"0"	"0"	"1"	"1"	"6"	"1"	"0"	"1"	"3"	"13"	"221"	"0"	"221"	"0"
"22"	"11"	"MIDDLE SCHOOL TAR (EAST)"	"63"	"473"	"5"	"1"	"10"	"109"	"0"	"1"	"1"	"4"	"3"	"4"	"1"	"4"	"0"	"6"	"685"	"0"	"685"	"0"
"23"	"12"	"MIDDLE SCHOOL TAR (WEST)"	"30"	"211"	"1"	"1"	"43"	"178"	"2"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"2"	"470"	"0"	"470"	"0"
"24"	"13"	"PRIMARY SCHOOL TAR CHAKTOLA"	"22"	"170"	"4"	"0"	"75"	"1"	"0"	"0"	"0"	"2"	"1"	"6"	"0"	"3"	"1"	"0"	"285"	"0"	"285"	"0"
"25"	"14"	"PRIMARY SCHOOL SIVPRASAN TOLA TAR"	"130"	"150"	"7"	"3"	"41"	"9"	"0"	"2"	"0"	"1"	"2"	"7"	"0"	"1"	"0"	"2"	"355"	"0"	"355"	"0"
"26"	"15"	"PRIMARY SCHOOL DAMRUHAN"	"7"	"56"	"3"	"4"	"209"	"97"	"2"	"2"	"0"	"2"	"3"	"3"	"0"	"1"	"0"	"0"	"389"	"0"	"389"	"0"
"27"	"16"	"PRIMARY SCHOOL CHAUBEYPUR"	"5"	"348"	"1"	"0"	"62"	"5"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"423"	"0"	"423"	"0"
"28"	"17"	"PRIMARY SCHOOL BRAHMWAR"	"11"	"405"	"7"	"2"	"21"	"3"	"2"	"1"	"0"	"7"	"2"	"1"	"1"	"4"	"1"	"2"	"470"	"0"	"470"	"0"
"29"	"18"	"MIDDLE SCHOOL BRAHMWAR"	"45"	"299"	"4"	"2"	"216"	"36"	"2"	"0"	"4"	"4"	"1"	"8"	"0"	"1"	"1"	"2"	"625"	"0"	"625"	"0"
"30"	"19"	"PRIMARY SCHOOL CHAPATAHIN"	"29"	"223"	"35"	"5"	"80"	"69"	"6"	"2"	"1"	"130"	"15"	"11"	"2"	"6"	"6"	"7"	"627"	"0"	"627"	"0"
"31"	"20"	"PRIMARY SCHOOL BASAWAN TOLA (SOUTH"	"72"	"298"	"8"	"5"	"135"	"24"	"10"	"2"	"9"	"75"	"3"	"13"	"3"	"2"	"4"	"2"	"665"	"0"	"665"	"0"
"32"	"21"	"PANCHAYAT BHAWAN GAHBAR TOLA"	"44"	"91"	"2"	"1"	"49"	"151"	"3"	"0"	"0"	"11"	"5"	"5"	"1"	"1"	"6"	"5"	"375"	"0"	"375"	"0"
"33"	"Serial No. of Polling Station"	"Name of Polling Stations"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejecte d votes"	"Total"	"No. of tendered votes"
"34"	""	""	"KESHAV PRASAD SINGH"	"NARENDRA KUMAR PANDEY"	"NIRMAL KUMAR SINGH"	"KALIKA SINGH"	"KASHINA TH SINGH"	"CHANDRA DEEP SINGH"	"MADHURI DEVI"	"SRIRAM SINGH"	"SANJAY SINGH"	"SUNITA KUMARI"	"AJIT RAY"	"ATUL KUMAR SINGH"	"JANARDAN UPADHYAY"	"PARMA NAND SINGH"	"BAIJNATH UPADHYA"	"BAIJNATH PASWAN"	""	""	""	""
"35"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"36"	"22"	"PRIMARY SCHOOL KESHWAN (WEST PART)"	"102"	"143"	"2"	"1"	"59"	"141"	"2"	"3"	"0"	"3"	"5"	"3"	"4"	"2"	"2"	"8"	"480"	"0"	"480"	"0"
"37"	"23"	"PRIMARY SCHOOL KESHWAN (EAST PART)"	"16"	"132"	"1"	"2"	"43"	"96"	"1"	"3"	"1"	"15"	"11"	"8"	"4"	"5"	"10"	"8"	"356"	"0"	"356"	"0"
"38"	"24"	"PRIMARY SCHOOL HANSWADIH"	"102"	"101"	"42"	"13"	"64"	"89"	"11"	"2"	"5"	"9"	"15"	"10"	"4"	"12"	"3"	"13"	"495"	"0"	"495"	"0"
"39"	"25"	"PRIMARY SCHOOL RAJAPUR"	"43"	"100"	"8"	"8"	"155"	"166"	"7"	"3"	"4"	"2"	"7"	"16"	"3"	"0"	"9"	"8"	"539"	"0"	"539"	"0"
"40"	"26"	"MIDDLE SCHOOL AKARUAN"	"23"	"546"	"12"	"1"	"6"	"27"	"2"	"0"	"6"	"3"	"1"	"0"	"0"	"1"	"5"	"0"	"633"	"0"	"633"	"0"
"41"	"27"	"PRIMARY SCHOOL GULAB CHAUDHARY KE"	"126"	"48"	"0"	"3"	"47"	"22"	"3"	"0"	"0"	"83"	"0"	"0"	"0"	"0"	"1"	"1"	"334"	"0"	"334"	"0"
"42"	"28"	"PRIMARY SCHOOL SANEYA"	"125"	"14"	"0"	"5"	"180"	"78"	"5"	"2"	"3"	"3"	"3"	"7"	"1"	"10"	"3"	"27"	"466"	"0"	"466"	"0"
"43"	"29"	"MIDDLE SCHOOL JAMUAON (EAST PART)"	"19"	"634"	"2"	"1"	"3"	"4"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"3"	"2"	"6"	"677"	"0"	"677"	"0"
"44"	"30"	"HIGH SCHOOL JAMUAON (EAST PART)"	"4"	"436"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"445"	"0"	"445"	"0"
"45"	"31"	"MIDDLE SCHOOL JAMUAON (WEST PART)"	"61"	"28"	"4"	"6"	"23"	"90"	"5"	"4"	"5"	"6"	"17"	"14"	"7"	"6"	"8"	"9"	"293"	"0"	"293"	"0"
"46"	"32"	"PRIMARY SCHOOL BASEYA"	"169"	"264"	"10"	"5"	"94"	"10"	"3"	"3"	"2"	"2"	"2"	"4"	"2"	"4"	"12"	"7"	"593"	"0"	"593"	"0"
"47"	"33"	"PRIMARY SCHOOL DOMANDIHRA"	"19"	"422"	"1"	"1"	"20"	"18"	"0"	"0"	"0"	"5"	"1"	"1"	"0"	"3"	"3"	"1"	"495"	"0"	"495"	"0"
"48"	"34"	"SAHKARITA GODAM MAHUARY"	"5"	"422"	"1"	"0"	"56"	"19"	"0"	"2"	"0"	"0"	"1"	"2"	"3"	"0"	"2"	"1"	"514"	"0"	"514"	"0"
"49"	"35"	"MIDDLE SCHOOL KHANANI KALA (NORTH PA"	"67"	"150"	"1"	"1"	"13"	"58"	"1"	"1"	"0"	"1"	"1"	"2"	"0"	"0"	"2"	"2"	"300"	"0"	"300"	"0"
"50"	"36"	"MIDDLE SCHOOL KHANANI KALA (SOUTH PA"	"71"	"119"	"9"	"0"	"10"	"94"	"7"	"8"	"2"	"2"	"7"	"5"	"0"	"1"	"3"	"5"	"343"	"0"	"343"	"0"
"51"	"37"	"PRIMARY SCHOOL KHANANI KHURD"	"137"	"214"	"1"	"1"	"93"	"56"	"4"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"507"	"0"	"507"	"0"
"52"	"38"	"PRIMARY SCHOOL ANGARA"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"53"	"39"	"PRIMARY SCHOOL KOTHUAN (NORTH PART)"	"35"	"476"	"0"	"0"	"12"	"49"	"0"	"1"	"0"	"2"	"1"	"0"	"0"	"1"	"3"	"3"	"583"	"0"	"583"	"0"
"54"	"40"	"PRIMARY SCHOOL KOTHUAN (SOUTH PART)"	"293"	"73"	"1"	"1"	"33"	"4"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"4"	"9"	"421"	"0"	"421"	"0"
"55"	"41"	"PRIMARY SCHOOL DHANPURA"	"141"	"124"	"4"	"1"	"5"	"183"	"1"	"2"	"0"	"4"	"4"	"2"	"2"	"0"	"6"	"5"	"484"	"0"	"484"	"0"
"56"	"42"	"PRIMARY SCHOOL PITATH"	"82"	"224"	"0"	"0"	"25"	"2"	"0"	"0"	"1"	"0"	"1"	"3"	"0"	"2"	"1"	"0"	"341"	"0"	"341"	"0"
"57"	"43"	"PRIMARY SCHOOL VIRPURA"	"79"	"7"	"1"	"1"	"66"	"97"	"0"	"0"	"1"	"0"	"1"	"2"	"0"	"1"	"3"	"6"	"265"	"0"	"265"	"0"
"58"	"44"	"PRIMARY SCHOOL KEWATIA"	"29"	"473"	"1"	"0"	"1"	"27"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"535"	"0"	"535"	"0"
"59"	"45"	"PRIMARY SCHOOL MAHUARI"	"52"	"98"	"2"	"1"	"5"	"175"	"1"	"3"	"1"	"0"	"10"	"1"	"0"	"0"	"1"	"0"	"350"	"0"	"350"	"0"
"60"	"46"	"PRIMARY SCHOOL AMEHTA (NORTH PART)"	"26"	"205"	"22"	"3"	"25"	"108"	"5"	"0"	"2"	"4"	"12"	"6"	"3"	"5"	"5"	"7"	"438"	"0"	"438"	"0"
"61"	"47"	"PRIMARY SCHOOL AMEHTA (SOUTH PART)"	"34"	"204"	"8"	"1"	"13"	"42"	"1"	"1"	"0"	"4"	"10"	"6"	"5"	"0"	"8"	"17"	"354"	"0"	"354"	"0"
"62"	"48"	"PRIMARY SCHOOL BASDIHAN"	"25"	"152"	"1"	"3"	"44"	"86"	"1"	"0"	"1"	"0"	"4"	"6"	"1"	"0"	"5"	"3"	"332"	"0"	"332"	"0"
"63"	"49"	"MIDDLE SCHOOL PITRO (WEST PART)"	"167"	"124"	"2"	"5"	"39"	"137"	"9"	"1"	"3"	"16"	"10"	"8"	"5"	"9"	"7"	"17"	"559"	"0"	"559"	"0"
"64"	"50"	"MIDDLE SCHOOL PITRO (EAST PART)"	"24"	"214"	"2"	"3"	"10"	"146"	"3"	"1"	"1"	"1"	"6"	"0"	"2"	"4"	"2"	"0"	"419"	"0"	"419"	"0"
"65"	"51"	"PRIMARY SCHOOL LAHTHAN"	"10"	"795"	"5"	"0"	"5"	"141"	"6"	"0"	"2"	"1"	"3"	"0"	"0"	"1"	"1"	"0"	"970"	"0"	"970"	"0"
"66"	"Serial No. of Polling Station"	"Name of Polling Stations"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejecte d votes"	"Total"	"No. of tendered votes"
"67"	""	""	"KESHAV PRASAD SINGH"	"NARENDRA KUMAR PANDEY"	"NIRMAL KUMAR SINGH"	"KALIKA SINGH"	"KASHINA TH SINGH"	"CHANDRA DEEP SINGH"	"MADHURI DEVI"	"SRIRAM SINGH"	"SANJAY SINGH"	"SUNITA KUMARI"	"AJIT RAY"	"ATUL KUMAR SINGH"	"JANARDAN UPADHYAY"	"PARMA NAND SINGH"	"BAIJNATH UPADHYA"	"BAIJNATH PASWAN"	""	""	""	""
"68"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"69"	"52"	"MIDDLE SCHOOL LAHTHAN"	"36"	"266"	"1"	"0"	"10"	"226"	"7"	"1"	"4"	"8"	"20"	"4"	"4"	"9"	"10"	"7"	"613"	"0"	"613"	"0"
"70"	"53"	"HIGH SCHOOL LAHTHAN"	"114"	"357"	"3"	"2"	"25"	"88"	"1"	"1"	"4"	"6"	"6"	"4"	"5"	"11"	"8"	"21"	"656"	"0"	"656"	"0"
"71"	"54"	"PRIMARY SCHOOL NADHI"	"291"	"13"	"1"	"2"	"74"	"118"	"1"	"16"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"518"	"0"	"518"	"0"
"72"	"55"	"MIDDLE SCHOOL BAGHAUR"	"6"	"471"	"3"	"1"	"3"	"22"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"510"	"0"	"510"	"0"
"73"	"56"	"PRIMARY SCHOOL NARAYANPUR"	"29"	"598"	"0"	"0"	"6"	"18"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"17"	"670"	"0"	"670"	"0"
"74"	"57"	"MIDDLE SCHOOL AGIAON BAZAR"	"18"	"66"	"50"	"3"	"48"	"475"	"1"	"2"	"1"	"7"	"9"	"4"	"5"	"3"	"2"	"12"	"706"	"0"	"706"	"0"
"75"	"58"	"HIGH SCHOOL AGIAON BAZAR"	"234"	"30"	"17"	"10"	"8"	"426"	"7"	"7"	"4"	"6"	"13"	"8"	"2"	"2"	"6"	"10"	"790"	"0"	"790"	"0"
"76"	"59"	"PRIMARY SCHOOL CHAUBEY KI CHHAWANI"	"109"	"46"	"7"	"5"	"225"	"89"	"8"	"2"	"4"	"81"	"6"	"19"	"4"	"2"	"5"	"9"	"621"	"0"	"621"	"0"
"77"	"60"	"PRIMARY SCHOOL TELARH (EAST PART)"	"26"	"220"	"10"	"2"	"14"	"136"	"3"	"3"	"2"	"11"	"4"	"3"	"1"	"0"	"2"	"0"	"437"	"0"	"437"	"0"
"78"	"61"	"PRIMARY SCHOOL TELARH (WEST PART)"	"7"	"189"	"10"	"2"	"3"	"50"	"1"	"1"	"1"	"11"	"3"	"0"	"0"	"1"	"0"	"2"	"281"	"0"	"281"	"0"
"79"	"62"	"PRIMARY SCHOOL GANGSAD"	"97"	"210"	"1"	"2"	"133"	"57"	"0"	"1"	"0"	"15"	"2"	"1"	"0"	"0"	"2"	"1"	"522"	"0"	"522"	"0"
"80"	"63"	"MIDDLE SCHOOL KATARIYAN"	"18"	"367"	"4"	"0"	"29"	"86"	"3"	"2"	"1"	"2"	"5"	"2"	"1"	"1"	"2"	"4"	"527"	"0"	"527"	"0"
"81"	"64"	"PANCHAYAT BHAWAN KATARIYAN"	"16"	"437"	"6"	"0"	"29"	"39"	"1"	"0"	"1"	"3"	"0"	"5"	"1"	"2"	"4"	"2"	"546"	"0"	"546"	"0"
"82"	"65"	"MIDDLE SCHOOL JAMUNIPUR"	"15"	"274"	"2"	"0"	"111"	"8"	"0"	"0"	"0"	"7"	"0"	"1"	"0"	"0"	"0"	"0"	"418"	"0"	"418"	"0"
"83"	"66"	"PRIMARY SCHOOL BASMANPUR"	"161"	"36"	"2"	"1"	"147"	"5"	"0"	"0"	"1"	"0"	"0"	"3"	"0"	"1"	"3"	"2"	"362"	"0"	"362"	"0"
"84"	"67"	"PRIMARY SCHOOL TETARDIH"	"8"	"627"	"3"	"2"	"9"	"6"	"0"	"1"	"1"	"1"	"0"	"1"	"1"	"5"	"0"	"1"	"666"	"0"	"666"	"0"
"85"	"68"	"PRIMARY SCHOOL AMAI (NORTH)"	"23"	"5"	"0"	"0"	"447"	"7"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"484"	"0"	"484"	"0"
"86"	"69"	"PRIMARY SCHOOL AMAI (SOUTH)"	"110"	"11"	"2"	"1"	"240"	"5"	"2"	"14"	"1"	"5"	"0"	"17"	"0"	"2"	"2"	"5"	"417"	"0"	"417"	"0"
"87"	"70"	"HIGH SCHOOL HASANBAZAR KATAR"	"59"	"135"	"3"	"1"	"304"	"16"	"1"	"9"	"2"	"5"	"5"	"17"	"1"	"5"	"11"	"9"	"583"	"0"	"583"	"0"
"88"	"71"	"PRIMARY URDU SCHOOL KATAR (WEST PAR"	"47"	"120"	"6"	"7"	"320"	"7"	"5"	"1"	"2"	"5"	"2"	"8"	"2"	"2"	"2"	"0"	"536"	"0"	"536"	"0"
"89"	"72"	"PRIMARY URDU SCHOOL KATAR (EAST PAR"	"40"	"147"	"9"	"7"	"208"	"17"	"0"	"0"	"0"	"11"	"7"	"19"	"3"	"1"	"10"	"7"	"486"	"0"	"486"	"0"
"90"	"73"	"PRIMARY SCHOOL MAJHIYAON BHAWAN NO"	"9"	"352"	"3"	"2"	"102"	"3"	"1"	"1"	"0"	"1"	"2"	"6"	"1"	"4"	"1"	"0"	"488"	"0"	"488"	"0"
"91"	"74"	"PRIMARY SCHOOL HARNAM TOLA"	"76"	"87"	"1"	"1"	"101"	"0"	"0"	"1"	"1"	"1"	"2"	"2"	"1"	"3"	"1"	"0"	"278"	"0"	"278"	"0"
"92"	"75"	"MIDDLE SCHOOL HASANBAZAR"	"43"	"175"	"5"	"2"	"221"	"6"	"1"	"2"	"2"	"5"	"0"	"11"	"0"	"3"	"5"	"1"	"482"	"0"	"482"	"0"
"93"	"76"	"PRIMARY SCHOOL GARAHATHA"	"27"	"148"	"0"	"0"	"113"	"1"	"0"	"3"	"2"	"0"	"0"	"2"	"0"	"0"	"4"	"1"	"301"	"0"	"301"	"0"
"94"	"77"	"PRIMARY SCHOOL JAMODHI"	"22"	"139"	"3"	"0"	"11"	"47"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"224"	"0"	"224"	"0"
"95"	"78"	"HIGH SCHOOL JAMODHI"	"5"	"350"	"4"	"1"	"42"	"37"	"1"	"1"	"1"	"7"	"3"	"0"	"1"	"1"	"0"	"0"	"454"	"0"	"454"	"0"
"96"	"79"	"MIDDLE SCHOOL NARAYANPUR"	"37"	"393"	"9"	"9"	"192"	"10"	"2"	"6"	"9"	"13"	"10"	"20"	"4"	"14"	"11"	"1"	"740"	"0"	"740"	"0"
"97"	"80"	"PRIMARY SCHOOL NARAYANPUR"	"20"	"417"	"4"	"4"	"178"	"13"	"3"	"2"	"5"	"3"	"5"	"27"	"2"	"2"	"3"	"6"	"694"	"0"	"694"	"0"
"98"	"81"	"PRIMARY SCHOOL PACHAMA (EAST PART)"	"2"	"239"	"1"	"0"	"50"	"13"	"0"	"0"	"0"	"1"	"0"	"3"	"0"	"1"	"6"	"2"	"318"	"0"	"318"	"0"
"99"	"Serial No. of Polling Station"	"Name of Polling Stations"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejecte d votes"	"Total"	"No. of tendered votes"
"100"	""	""	"KESHAV PRASAD SINGH"	"NARENDRA KUMAR PANDEY"	"NIRMAL KUMAR SINGH"	"KALIKA SINGH"	"KASHINA TH SINGH"	"CHANDRA DEEP SINGH"	"MADHURI DEVI"	"SRIRAM SINGH"	"SANJAY SINGH"	"SUNITA KUMARI"	"AJIT RAY"	"ATUL KUMAR SINGH"	"JANARDAN UPADHYAY"	"PARMA NAND SINGH"	"BAIJNATH UPADHYA"	"BAIJNATH PASWAN"	""	""	""	""
"101"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"102"	"82"	"PRIMARY SCHOOL PACHAMA (WEST PART)"	"7"	"77"	"2"	"1"	"82"	"2"	"0"	"0"	"3"	"0"	"1"	"2"	"0"	"2"	"2"	"1"	"182"	"0"	"182"	"0"
"103"	"83"	"PRIMARY SCHOOL BAISADIH"	"21"	"417"	"7"	"1"	"18"	"81"	"2"	"2"	"0"	"3"	"8"	"3"	"8"	"2"	"14"	"6"	"593"	"0"	"593"	"0"
"104"	"84"	"PRIMARY SCHOOL SAHEJANI (WEST TOLA)"	"5"	"309"	"5"	"4"	"145"	"0"	"2"	"0"	"2"	"0"	"3"	"3"	"0"	"1"	"4"	"2"	"485"	"0"	"485"	"0"
"105"	"85"	"PRIMARY SCHOOL SAHEJANI (EAST TOLA)"	"14"	"386"	"2"	"2"	"83"	"3"	"1"	"0"	"1"	"3"	"2"	"4"	"0"	"1"	"15"	"5"	"522"	"0"	"522"	"0"
"106"	"86"	"HARIJAN PRIMARY SCHOOL NONAR"	"15"	"358"	"6"	"3"	"116"	"89"	"3"	"2"	"1"	"8"	"2"	"13"	"2"	"3"	"3"	"2"	"626"	"0"	"626"	"0"
"107"	"87"	"MIDDLE SCHOOL NONAR (NORTH PATH)"	"17"	"348"	"8"	"1"	"104"	"82"	"4"	"1"	"3"	"9"	"3"	"11"	"6"	"9"	"9"	"11"	"626"	"0"	"626"	"0"
"108"	"88"	"MIDDLE SCHOOL NONAR (SOUTH PART)"	"15"	"215"	"3"	"2"	"327"	"35"	"1"	"0"	"2"	"3"	"9"	"9"	"0"	"3"	"0"	"3"	"627"	"0"	"627"	"0"
"109"	"89"	"PRIMARY SCHOOL TIWARIDIH"	"91"	"165"	"2"	"0"	"23"	"3"	"1"	"0"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"3"	"292"	"0"	"292"	"0"
"110"	"90"	"PRIMARY SCHOOL SUKHRAULI"	"224"	"92"	"5"	"0"	"234"	"52"	"1"	"3"	"0"	"3"	"2"	"14"	"3"	"1"	"2"	"6"	"642"	"0"	"642"	"0"
"111"	"91"	"PRIMARY SCHOOL RASAULI (WEST TOLA)"	"2"	"379"	"2"	"2"	"268"	"44"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"0"	"703"	"0"	"703"	"0"
"112"	"92"	"SANSKRIT COLLEGE PACHRUKHIYAN (EAST"	"28"	"185"	"4"	"1"	"278"	"29"	"2"	"2"	"0"	"10"	"1"	"5"	"2"	"0"	"2"	"2"	"551"	"0"	"551"	"0"
"113"	"93"	"SANSKRIT COLLEGE PACHRUKHIYAN (WEST"	"2"	"149"	"2"	"0"	"151"	"25"	"0"	"1"	"0"	"21"	"3"	"2"	"0"	"1"	"3"	"0"	"360"	"0"	"360"	"0"
"114"	"94"	"PRIMARY SCHOOL KACHNATH"	"46"	"103"	"2"	"3"	"105"	"41"	"4"	"1"	"0"	"64"	"3"	"5"	"0"	"4"	"5"	"5"	"391"	"0"	"391"	"0"
"115"	"95"	"HARIJAN PRIMARY SCHOOL DEOCHANDA"	"89"	"416"	"13"	"1"	"94"	"101"	"4"	"1"	"1"	"4"	"3"	"4"	"2"	"2"	"3"	"1"	"739"	"0"	"739"	"0"
"116"	"96"	"PRIMARY SCHOOL PARWATPUR"	"135"	"269"	"5"	"3"	"117"	"69"	"7"	"4"	"4"	"48"	"3"	"7"	"2"	"2"	"1"	"2"	"678"	"0"	"678"	"0"
"117"	"97"	"PRIMARY SCHOOL BARAULI (EAST TOLA)"	"75"	"178"	"2"	"1"	"52"	"106"	"0"	"1"	"1"	"2"	"2"	"2"	"1"	"1"	"1"	"3"	"428"	"0"	"428"	"0"
"118"	"98"	"PRIMARY SCHOOL BARAULI (WEST TOLA)"	"18"	"405"	"1"	"2"	"7"	"3"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"437"	"0"	"437"	"0"
"119"	"99"	"MIDDLE SCHOOL LAHRABAD"	"298"	"2"	"1"	"2"	"459"	"34"	"0"	"1"	"1"	"0"	"0"	"3"	"0"	"0"	"1"	"0"	"802"	"0"	"802"	"0"
"120"	"100"	"BASIC SCHOOL RAJEYA (EAST PART)"	"1"	"564"	"0"	"0"	"2"	"2"	"0"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"572"	"0"	"572"	"0"
