"Election.to.the.Bihar.Legislative.Assembly.from.the.230..Konch.Assembly.Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"	"X..78"	"X..79"	"X..80"	"X..81"	"X..82"	"X..83"	"X..84"	"X..85"	"X..86"	"X..87"	"X..88"	"X..89"	"X..90"	"X..91"	"X..92"	"X..93"	"X..94"	"X..95"	"X..96"	"X..97"	"X..98"
"11"	"3"	"513"	""	""	"11"	""	""	"27"	""	""	""	"233"	""	""	""	""	"6"	""	""	""	"3"	""	""	""	""	""	""	"14"	""	""	""	""	""	""	"4"	""	""	""	""	""	"4"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"116"	""	""	""	""	""	"6"	""	""	""	""	""	""	"943"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"943"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"12"	"4"	"355"	""	""	"2"	""	""	"2"	""	""	""	"1"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"361"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"361"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"13"	"5"	"461"	""	""	"8"	""	""	"3"	""	""	""	"32"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"2"	""	""	""	""	""	"12"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"77"	""	""	""	""	""	"2"	""	""	""	""	""	""	"601"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"601"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"14"	"6"	"443"	""	""	"16"	""	""	"28"	""	""	""	"79"	""	""	""	""	"2"	""	""	""	"2"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"6"	""	""	""	""	""	"0"	""	""	""	""	""	""	"580"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"580"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"15"	"7"	"6"	""	""	"3"	""	""	"30"	""	""	""	"384"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"51"	""	""	""	""	""	"0"	""	""	""	""	""	""	"477"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"477"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"16"	"8"	"102"	""	""	"113"	""	""	"7"	""	""	""	"151"	""	""	""	""	"4"	""	""	""	"1"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"2"	""	""	""	""	""	"9"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"36"	""	""	""	""	""	"1"	""	""	""	""	""	""	"429"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"429"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"17"	"9"	"747"	""	""	"2"	""	""	"2"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"24"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"775"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"775"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"18"	"10"	"5"	""	""	"2"	""	""	"79"	""	""	""	"105"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"23"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"233"	""	""	""	""	""	"0"	""	""	""	""	""	""	"449"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"449"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"19"	"11"	"0"	""	""	"0"	""	""	"4"	""	""	""	"744"	""	""	""	""	"3"	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	""	""	"755"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"755"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"20"	"12"	"329"	""	""	"24"	""	""	"4"	""	""	""	"112"	""	""	""	""	"4"	""	""	""	"0"	""	""	""	""	""	""	"10"	""	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"5"	""	""	""	""	""	"10"	""	""	""	""	""	""	"500"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"500"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"21"	"13"	"252"	""	""	"9"	""	""	"9"	""	""	""	"107"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	"7"	""	""	""	""	""	"46"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"28"	""	""	""	""	""	"17"	""	""	""	""	""	""	"489"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"489"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"22"	"Total"	"3708"	""	""	"296"	""	""	"318"	""	""	""	"2607"	""	""	""	""	"28"	""	""	""	"8"	""	""	""	""	""	""	"54"	""	""	""	""	""	""	"17"	""	""	""	""	""	"130"	""	""	""	""	""	""	"21"	""	""	""	""	""	""	"595"	""	""	""	""	""	"41"	""	""	""	""	""	""	"7823"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"7823"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"23"	"Place    Gaya College, Gaya"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"24"	"Date     27-02-2005                                                                                                                                                                          Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"(FORM 20)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	"Sec rule 56(7) Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"Election to the Bihar Legislative Assembly from the 230- Konch Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"Total No. of Electors in Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	"Round No. ……            2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"30"	"Sl. No."	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	""	"Total no. of"	""	""	""	""	""	""	"Total No."	""	""	""	""	""	""	""	""	""	""
"31"	"of"	"MAHESH SINGH YADAV"	""	"RAJESH KUMAR ALIAS MUNNA RAJ"	""	""	"LALITA  SINGH"	""	""	""	"DR. ANIL KUMAR"	""	""	""	""	"JAGDISH YADAV"	""	""	""	""	"JITENDRA YADAV"	""	""	""	""	""	"MD. NAUSHAD ALAM"	""	""	""	""	""	""	"BHOLA PASWAN"	""	""	""	""	""	""	"RAJENDRA YADAV"	""	""	""	""	""	""	"BAGESH SHARMA"	""	""	""	""	""	""	"SHEO BACHAN YADAV"	""	""	""	""	""	"SANJAY KUMAR"	""	""	""	""	""	"No. of valid"	""	""	""	""	""	""	""	"rejected"	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	"of tendered"	""	""	""	""	""	""	""	""	""	""
"32"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""
"33"	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"34"	"1"	"2"	""	"3"	""	""	"4"	""	""	""	"5"	""	""	""	""	"6"	""	""	""	""	"7"	""	""	""	""	""	"8"	""	""	""	""	""	""	"9"	""	""	""	""	""	""	"10"	""	""	""	""	""	""	"11"	""	""	""	""	""	""	"12"	""	""	""	""	""	"13"	""	""	""	""	""	"14"	""	""	""	""	""	""	""	"15"	""	""	""	""	""	""	""	"16"	""	""	""	""	""	""	"17"	""	""	""	""	""	""	""	""	""	""
"35"	"14"	"947"	""	"3"	""	""	"1"	""	""	""	"64"	""	""	""	""	"3"	""	""	""	""	"2"	""	""	""	""	""	"4"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"14"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"19"	""	""	""	""	""	"1"	""	""	""	""	""	"1061"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1061"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"36"	"15"	"298"	""	"14"	""	""	"5"	""	""	""	"48"	""	""	""	""	"4"	""	""	""	""	"2"	""	""	""	""	""	"4"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"11"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"13"	""	""	""	""	""	"12"	""	""	""	""	""	"418"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"418"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"37"	"16"	"461"	""	"0"	""	""	"1"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	"468"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"468"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"38"	"17"	"74"	""	"30"	""	""	"25"	""	""	""	"87"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	"4"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"6"	""	""	""	""	""	"0"	""	""	""	""	""	"231"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"231"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"39"	"18"	"117"	""	"8"	""	""	"5"	""	""	""	"110"	""	""	""	""	"4"	""	""	""	""	"0"	""	""	""	""	""	"3"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"48"	""	""	""	""	""	"1"	""	""	""	""	""	"302"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"302"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"40"	"19"	"931"	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"28"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"84"	""	""	""	""	""	"2"	""	""	""	""	""	"1047"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1047"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"41"	"20"	"279"	""	"1"	""	""	"2"	""	""	""	"409"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"7"	""	""	""	""	""	"1"	""	""	""	""	""	"702"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"702"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"42"	"21"	"1"	""	"0"	""	""	"18"	""	""	""	"1078"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	"1101"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1101"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"43"	"22"	"94"	""	"7"	""	""	"9"	""	""	""	"191"	""	""	""	""	"3"	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"8"	""	""	""	""	""	"1"	""	""	""	""	""	"316"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"316"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"44"	"23"	"26"	""	"13"	""	""	"18"	""	""	""	"68"	""	""	""	""	"6"	""	""	""	""	"1"	""	""	""	""	""	"11"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"21"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"39"	""	""	""	""	""	"5"	""	""	""	""	""	"217"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"217"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"45"	"24"	"641"	""	"26"	""	""	"33"	""	""	""	"97"	""	""	""	""	"3"	""	""	""	""	"2"	""	""	""	""	""	"6"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"22"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"7"	""	""	""	""	""	"3"	""	""	""	""	""	"844"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"844"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"46"	"25"	"114"	""	"3"	""	""	"2"	""	""	""	"3"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"130"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"11"	""	""	""	""	""	"4"	""	""	""	""	""	"272"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"272"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"47"	"26"	"412"	""	"9"	""	""	"47"	""	""	""	"97"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"4"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"29"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"7"	""	""	""	""	""	"4"	""	""	""	""	""	"610"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"610"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"48"	"27"	"51"	""	"38"	""	""	"42"	""	""	""	"88"	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	""	"9"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"14"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	"130"	""	""	""	""	""	"17"	""	""	""	""	""	"407"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"407"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"49"	"Total"	"4446"	""	"152"	""	""	"208"	""	""	""	"2340"	""	""	""	""	"27"	""	""	""	""	"10"	""	""	""	""	""	"47"	""	""	""	""	""	""	"29"	""	""	""	""	""	""	"284"	""	""	""	""	""	""	"21"	""	""	""	""	""	""	"381"	""	""	""	""	""	"51"	""	""	""	""	""	"7996"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"7996"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"50"	"Place    Gaya College, Gaya"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"51"	"Date     27-02-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"52"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"53"	"Sl. No."	""	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	"Total no. of"	""	""	""	""	""	""	"Total No."	""	""	""	""	""	""	""	""	""
