"fuokZpuksa..dk..lapkyu..fu.e...1961"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"
"1"	"¼dkuwuh  fu;e  vkSj  vkns'k½  ¿iz:i  20À"	""	""	""	""	""	""	""	""	""	""	""
"2"	"¿fu;e  56  ¼7½  nsf[k,À"	""	""	""	""	""	""	""	""	""	""	""
"3"	"vafre ifj.kke&i="	""	""	""	""	""	""	""	""	""	""	""
"4"	"¼vf/klwfpr ernku dsUnzksa ls fHké ernku dsUnzksa ij ernku dk ifj.kke vfHkfyf[kr djus ds fy, mi;ksx esa yk;k tk,½"	""	""	""	""	""	""	""	""	""	""	""
"5"	"153 & lqyrkuxat ¼v0 tk0½ fo/kku LkHkk {kss= ds fy, fuokZpu"	""	""	""	""	""	""	""	""	""	""	""
"6"	"Hkkx   1"	""	""	""	""	""	""	""	""	""	""	""
"7"	"¼ lalnh; vkSj fo/kku lHkk nkssuksa fuokZpuksa ds fy, mi;ksx esa yk;k tk,½"	""	""	""	""	""	""	""	""	""	""	""
"8"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k ------------------------------------------------------------------------"	""	""	""	""	""	""	""	""	""	""	""
"9"	"                fo/kku lHkk [kaM dk uke ¼lalnh; fuokZpu {ks= ls fuokZpu dh n'kk esa -------------------------------------------------------------------- "	""	""	""	""	""	""	""	""	""	""	""
"10"	"ernku dsUnz dh
Øe la0"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k ;ksx"	"fuosfnÙk erksa dh la"	""
"27"	";ksx &"	"1841"	"88"	"3187"	"333"	"112"	"103"	"1745"	"7409"	""	""	""
"28"	""	""	""	""	""	""	""	""	""	""	""	""
"29"	"2"	""	""	""	""	""	""	""	""	""	""	""
"30"	"ernku dsUnz dh
Øe la0"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k ;ksx"	"fuosfnÙk erksa dh la"	""
"31"	""	"x.ks'k ikloku"	"nsosUnz nkl"	"lq/kka'kq 'ks[kj HkkLdj"	"mes'k pkS/kjh"	"mfeZyk pkS/kjh"	"fuokl ikloku"	"QuhUnz pkS/kjh"	""	""	""	""
"32"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"13"	"14"	"15"	""
"33"	"15"	"130"	"24"	"308"	"38"	"14"	"9"	"103"	"626"	""	""	""
"34"	"16"	"26"	"25"	"53"	"8"	"7"	"5"	"86"	"210"	""	""	""
"35"	"17"	"57"	"6"	"362"	"19"	"3"	"9"	"107"	"563"	""	""	""
"36"	"18"	"66"	"14"	"140"	"33"	"26"	"22"	"226"	"527"	""	""	""
"37"	"19"	"233"	"25"	"162"	"23"	"18"	"11"	"77"	"549"	""	""	""
"38"	"20"	"379"	"9"	"86"	"6"	"3"	"6"	"43"	"532"	""	""	""
"39"	"21"	"239"	"15"	"215"	"14"	"8"	"8"	"37"	"536"	""	""	""
"40"	"22"	"106"	"2"	"171"	"24"	"7"	"3"	"53"	"366"	""	""	""
"41"	"23"	"85"	"6"	"186"	"25"	"9"	"10"	"87"	"408"	""	""	""
"42"	"24"	"149"	"7"	"177"	"38"	"21"	"5"	"29"	"426"	""	""	""
"43"	"25"	"19"	"7"	"527"	"27"	"15"	"9"	"20"	"624"	""	""	""
"44"	"26"	"13"	"1"	"71"	"5"	"6"	"8"	"653"	"757"	""	""	""
"45"	"27"	"28"	"2"	"97"	"5"	"4"	"5"	"426"	"567"	""	""	""
"46"	"28"	"180"	"7"	"118"	"18"	"19"	"10"	"175"	"527"	""	""	""
"47"	";ksx  &"	"1710"	"150"	"2673"	"283"	"160"	"120"	"2122"	"7218"	""	""	""
"48"	"xr  I`k\"B dk  ;ksx  &"	"1841"	"88"	"3187"	"333"	"112"	"103"	"1745"	"7409"	""	""	""
"49"	"dqy  ;ksx  &"	"3551"	"238"	"5860"	"616"	"272"	"223"	"3867"	"14627"	""	""	""
"50"	""	""	""	""	""	""	""	""	""	""	""	""
"51"	"3"	""	""	""	""	""	""	""	""	""	""	""
"52"	"ernku dsUnz dh
Øe la0"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k ;ksx"	"fuosfnÙk erksa dh la"	""
"53"	""	"x.ks'k ikloku"	"nsosUnz nkl"	"lq/kka'kq 'ks[kj HkkLdj"	"mes'k pkS/kjh"	"mfeZyk pkS/kjh"	"fuokl ikloku"	"QuhUnz pkS/kjh"	""	""	""	""
"54"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"13"	"14"	"15"	""
"55"	"29"	"126"	"10"	"324"	"23"	"15"	"9"	"94"	"601"	""	""	""
"56"	"30"	"86"	"8"	"52"	"11"	"6"	"5"	"133"	"301"	""	""	""
"57"	"31"	"469"	"15"	"27"	"9"	"4"	"3"	"42"	"569"	""	""	""
"58"	"32"	"477"	"8"	"62"	"4"	"7"	"8"	"139"	"705"	""	""	""
"59"	"33"	"190"	"4"	"358"	"36"	"24"	"7"	"21"	"640"	""	""	""
"60"	"34"	"217"	"2"	"162"	"9"	"0"	"4"	"111"	"505"	""	""	""
"61"	"35"	"387"	"56"	"44"	"3"	"5"	"9"	"47"	"551"	""	""	""
"62"	"36"	"87"	"4"	"426"	"8"	"6"	"2"	"16"	"549"	""	""	""
"63"	"37"	"128"	"8"	"212"	"25"	"23"	"11"	"122"	"529"	""	""	""
"64"	"38"	"132"	"9"	"133"	"25"	"146"	"14"	"193"	"652"	""	""	""
"65"	"39"	"506"	"9"	"15"	"2"	"7"	"6"	"25"	"570"	""	""	""
"66"	"40"	"596"	"3"	"78"	"1"	"5"	"2"	"16"	"701"	""	""	""
"67"	"41"	"469"	"3"	"160"	"12"	"10"	"9"	"6"	"669"	""	""	""
"68"	"42"	"210"	"9"	"218"	"18"	"22"	"5"	"162"	"644"	""	""	""
"69"	";ksx  &"	"4080"	"148"	"2271"	"186"	"280"	"94"	"1127"	"8186"	""	""	""
"70"	"xr  I`k\"B dk  ;ksx  &"	"3551"	"238"	"5860"	"616"	"272"	"223"	"3867"	"14627"	""	""	""
"71"	"dqy  ;ksx  &"	"7631"	"386"	"8131"	"802"	"552"	"317"	"4994"	"22813"	""	""	""
"72"	""	""	""	""	""	""	""	""	""	""	""	""
"73"	"4"	""	""	""	""	""	""	""	""	""	""	""
"74"	"ernku dsUnz dh
Øe la0"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k ;ksx"	"fuosfnÙk erksa dh la"	""
"75"	""	"x.ks'k ikloku"	"nsosUnz nkl"	"lq/kka'kq 'ks[kj HkkLdj"	"mes'k pkS/kjh"	"mfeZyk pkS/kjh"	"fuokl ikloku"	"QuhUnz pkS/kjh"	""	""	""	""
"76"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"13"	"14"	"15"	""
"77"	"43"	"67"	"18"	"48"	"7"	"5"	"2"	"206"	"353"	""	""	""
"78"	"44"	"41"	"29"	"226"	"20"	"9"	"12"	"283"	"620"	""	""	""
"79"	"45"	"586"	"1"	"5"	"3"	"4"	"0"	"12"	"611"	""	""	""
"80"	"46"	"203"	"11"	"326"	"28"	"13"	"7"	"44"	"632"	""	""	""
"81"	"47"	"206"	"13"	"142"	"19"	"7"	"6"	"30"	"423"	""	""	""
"82"	"48"	"196"	"20"	"261"	"24"	"12"	"10"	"36"	"559"	""	""	""
"83"	"49"	"607"	"14"	"58"	"7"	"3"	"8"	"55"	"752"	""	""	""
"84"	"50"	"790"	"4"	"40"	"4"	"0"	"1"	"1"	"840"	""	""	""
"85"	"51"	"200"	"9"	"65"	"10"	"13"	"10"	"105"	"412"	""	""	""
"86"	"52"	"919"	"7"	"30"	"6"	"3"	"2"	"13"	"980"	""	""	""
"87"	"53"	"133"	"6"	"378"	"9"	"7"	"3"	"5"	"541"	""	""	""
"88"	"54"	"187"	"24"	"358"	"21"	"7"	"8"	"26"	"631"	""	""	""
"89"	"55"	"130"	"1"	"354"	"7"	"11"	"2"	"6"	"511"	""	""	""
"90"	"56"	"156"	"0"	"411"	"4"	"1"	"0"	"6"	"578"	""	""	""
"91"	";ksx  &"	"4421"	"157"	"2702"	"169"	"95"	"71"	"828"	"8443"	""	""	""
"92"	"xr  I`k\"B dk  ;ksx  &"	"7631"	"386"	"8131"	"802"	"552"	"317"	"4994"	"22813"	""	""	""
"93"	"dqy  ;ksx  &"	"12052"	"543"	"10833"	"971"	"647"	"388"	"5822"	"31256"	""	""	""
"94"	""	""	""	""	""	""	""	""	""	""	""	""
"95"	"5"	""	""	""	""	""	""	""	""	""	""	""
"96"	"ernku dsUnz dh
Øe la0"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k ;ksx"	"fuosfnÙk erksa dh la"	""
"97"	""	"x.ks'k ikloku"	"nsosUnz nkl"	"lq/kka'kq 'ks[kj HkkLdj"	"mes'k pkS/kjh"	"mfeZyk pkS/kjh"	"fuokl ikloku"	"QuhUnz pkS/kjh"	""	""	""	""
"98"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"13"	"14"	"15"	""
"99"	"57"	"682"	"21"	"32"	"3"	"9"	"7"	"56"	"810"	""	""	""
"100"	"58"	"127"	"11"	"285"	"16"	"9"	"4"	"6"	"458"	""	""	""
"101"	"59"	"264"	"14"	"88"	"23"	"29"	"33"	"267"	"718"	""	""	""
"102"	"60"	"690"	"36"	"54"	"9"	"14"	"12"	"68"	"883"	""	""	""
"103"	"61"	"43"	"5"	"381"	"29"	"12"	"7"	"66"	"543"	""	""	""
"104"	"62"	"130"	"13"	"182"	"26"	"9"	"2"	"35"	"397"	""	""	""
"105"	"63"	"205"	"15"	"66"	"5"	"4"	"5"	"15"	"315"	""	""	""
"106"	"64"	"72"	"5"	"293"	"54"	"15"	"9"	"15"	"463"	""	""	""
"107"	"65"	"205"	"4"	"157"	"30"	"4"	"3"	"13"	"416"	""	""	""
"108"	"66"	"75"	"5"	"448"	"27"	"11"	"12"	"27"	"605"	""	""	""
"109"	"67"	"142"	"11"	"277"	"20"	"16"	"8"	"50"	"524"	""	""	""
"110"	"68"	"112"	"5"	"62"	"14"	"3"	"8"	"65"	"269"	""	""	""
"111"	"69"	"112"	"26"	"410"	"38"	"12"	"12"	"31"	"641"	""	""	""
"112"	"70"	"156"	"10"	"374"	"30"	"10"	"15"	"27"	"622"	""	""	""
"113"	";ksx  &"	"3015"	"181"	"3109"	"324"	"157"	"137"	"741"	"7664"	""	""	""
"114"	"xr  I`k\"B dk  ;ksx  &"	"12052"	"543"	"10833"	"971"	"647"	"388"	"5822"	"31256"	""	""	""
"115"	"dqy  ;ksx  &"	"15067"	"724"	"13942"	"1295"	"804"	"525"	"6563"	"38920"	""	""	""
"116"	""	""	""	""	""	""	""	""	""	""	""	""
"117"	"6"	""	""	""	""	""	""	""	""	""	""	""
"118"	"ernku dsUnz dh
Øe la0"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k ;ksx"	"fuosfnÙk erksa dh"	""
"119"	""	"x.ks'k ikloku"	"nsosUnz nkl"	"lq/kka'kq 'ks[kj HkkLdj"	"mes'k pkS/kjh"	"mfeZyk pkS/kjh"	"fuokl ikloku"	"QuhUnz pkS/kjh"	""	""	""	""
"120"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"13"	"14"	"15"	""
"121"	"71"	"47"	"30"	"142"	"11"	"2"	"10"	"8"	"250"	""	""	""
"122"	"72"	"65"	"3"	"237"	"15"	"10"	"4"	"16"	"350"	""	""	""
"123"	"73"	"501"	"2"	"26"	"2"	"9"	"6"	"108"	"654"	""	""	""
"124"	"74"	"69"	"1"	"124"	"21"	"9"	"3"	"64"	"291"	""	""	""
"125"	"75"	"198"	"7"	"109"	"10"	"6"	"9"	"33"	"372"	""	""	""
"126"	"76"	"141"	"15"	"86"	"11"	"10"	"12"	"135"	"410"	""	""	""
"127"	"77"	"147"	"10"	"109"	"15"	"7"	"4"	"84"	"376"	""	""	""
"128"	"78"	"157"	"5"	"211"	"20"	"2"	"1"	"27"	"423"	""	""	""
"129"	"79"	"193"	"8"	"182"	"16"	"7"	"5"	"25"	"436"	""	""	""
"130"	"80"	"270"	"7"	"134"	"15"	"14"	"12"	"116"	"568"	""	""	""
"131"	"81"	"156"	"69"	"116"	"27"	"8"	"14"	"37"	"427"	""	""	""
"132"	"82"	"149"	"8"	"94"	"13"	"11"	"18"	"57"	"350"	""	""	""
"133"	"83"	"115"	"2"	"97"	"13"	"9"	"5"	"127"	"368"	""	""	""
"134"	"84"	"280"	"0"	"130"	"19"	"12"	"0"	"22"	"463"	""	""	""
"135"	";ksx  &"	"2488"	"167"	"1797"	"208"	"116"	"103"	"859"	"5738"	""	""	""
"136"	"xr  I`k\"B dk  ;ksx  &"	"15067"	"724"	"13942"	"1295"	"804"	"525"	"6563"	"38920"	""	""	""
"137"	"dqy  ;ksx  &"	"17555"	"891"	"15739"	"1503"	"920"	"628"	"7422"	"44658"	""	""	""
"138"	""	""	""	""	""	""	""	""	""	""	""	""
"139"	"7"	""	""	""	""	""	""	""	""	""	""	""
"140"	"ernku dsUnz dh
Øe la0"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k ;ksx"	"fuosfnÙk erksa dh la"	""
"141"	""	"x.ks'k ikloku"	"nsosUnz nkl"	"lq/kka'kq 'ks[kj HkkLdj"	"mes'k pkS/kjh"	"mfeZyk pkS/kjh"	"fuokl ikloku"	"QuhUnz pkS/kjh"	""	""	""	""
"142"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"13"	"14"	"15"	""
"143"	"85"	"328"	"27"	"119"	"6"	"9"	"9"	"15"	"513"	""	""	""
"144"	"86"	"175"	"10"	"263"	"26"	"21"	"10"	"102"	"607"	""	""	""
"145"	"87"	"300"	"12"	"264"	"40"	"19"	"25"	"173"	"833"	""	""	""
"146"	"88"	"139"	"6"	"651"	"20"	"9"	"4"	"11"	"840"	""	""	""
"147"	"89"	"32"	"14"	"590"	"25"	"17"	"12"	"17"	"707"	""	""	""
"148"	"90"	"123"	"14"	"482"	"13"	"5"	"2"	"20"	"659"	""	""	""
"149"	"91"	"157"	"6"	"277"	"25"	"5"	"5"	"17"	"492"	""	""	""
"150"	"92"	"330"	"3"	"87"	"1"	"2"	"0"	"3"	"426"	""	""	""
"151"	"93"	"33"	"2"	"242"	"15"	"6"	"2"	"16"	"316"	""	""	""
"152"	"94"	"236"	"10"	"208"	"21"	"9"	"4"	"7"	"495"	""	""	""
"153"	"95"	"102"	"6"	"307"	"10"	"2"	"1"	"7"	"435"	""	""	""
"154"	"96"	"28"	"0"	"457"	"5"	"10"	"2"	"3"	"505"	""	""	""
"155"	"97"	"319"	"20"	"161"	"26"	"22"	"7"	"26"	"581"	""	""	""
"156"	"98"	"422"	"17"	"68"	"4"	"3"	"7"	"14"	"535"	""	""	""
"157"	";ksx  &"	"2724"	"147"	"4176"	"237"	"139"	"90"	"431"	"7944"	""	""	""
"158"	"xr  I`k\"B dk  ;ksx  &"	"17555"	"891"	"15739"	"1503"	"920"	"628"	"7422"	"44658"	""	""	""
"159"	"dqy  ;ksx  &"	"20279"	"1038"	"19915"	"1740"	"1059"	"718"	"7853"	"52602"	""	""	""
"160"	""	""	""	""	""	""	""	""	""	""	""	""
"161"	"8"	""	""	""	""	""	""	""	""	""	""	""
"162"	"ernku dsUnz dh
Øe la0"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k ;ksx"	"fuosfnÙk erksa dh la["	""
"163"	""	"x.ks'k ikloku"	"nsosUnz nkl"	"lq/kka'kq 'ks[kj HkkLdj"	"mes'k pkS/kjh"	"mfeZyk pkS/kjh"	"fuokl ikloku"	"QuhUnz pkS/kjh"	""	""	""	""
"164"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"13"	"14"	"15"	""
"165"	"99"	"242"	"6"	"248"	"14"	"4"	"3"	"4"	"521"	""	""	""
"166"	"100"	"253"	"7"	"63"	"8"	"1"	"6"	"14"	"352"	""	""	""
"167"	"101"	"322"	"20"	"92"	"8"	"7"	"6"	"25"	"480"	""	""	""
"168"	"102"	"71"	"6"	"151"	"20"	"7"	"4"	"10"	"269"	""	""	""
"169"	"103"	"325"	"14"	"136"	"13"	"10"	"2"	"13"	"513"	""	""	""
"170"	"104"	"44"	"1"	"126"	"8"	"5"	"0"	"7"	"191"	""	""	""
"171"	"105"	"32"	"5"	"274"	"16"	"14"	"6"	"21"	"368"	""	""	""
"172"	"106"	"79"	"1"	"214"	"0"	"6"	"0"	"1"	"301"	""	""	""
"173"	"107"	"384"	"16"	"197"	"14"	"9"	"12"	"10"	"642"	""	""	""
"174"	"108"	"184"	"1"	"110"	"6"	"2"	"1"	"3"	"307"	""	""	""
"175"	"109"	"193"	"0"	"36"	"2"	"1"	"0"	"4"	"236"	""	""	""
"176"	"110"	"706"	"4"	"85"	"4"	"3"	"5"	"14"	"821"	""	""	""
"177"	"111"	"77"	"8"	"322"	"24"	"12"	"14"	"13"	"470"	""	""	""
"178"	"112"	"496"	"9"	"83"	"4"	"3"	"1"	"1"	"597"	""	""	""
"179"	";ksx  &"	"3408"	"98"	"2137"	"141"	"84"	"60"	"140"	"6068"	""	""	""
"180"	"xr  I`k\"B dk  ;ksx  &"	"20279"	"1038"	"19915"	"1740"	"1059"	"718"	"7853"	"52602"	""	""	""
"181"	"dqy  ;ksx  &"	"23687"	"1136"	"22052"	"1881"	"1143"	"778"	"7993"	"58670"	""	""	""
"182"	""	""	""	""	""	""	""	""	""	""	""	""
"183"	"9"	""	""	""	""	""	""	""	""	""	""	""
"184"	"ernku dsUnz dh
Øe la0"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k ;ksx"	"fuosfnÙk erksa dh"	""
"185"	""	"x.ks'k ikloku"	"nsosUnz nkl"	"lq/kka'kq 'ks[kj HkkLdj"	"mes'k pkS/kjh"	"mfeZyk pkS/kjh"	"fuokl ikloku"	"QuhUnz pkS/kjh"	""	""	""	""
"186"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"13"	"14"	"15"	""
"187"	"113"	"111"	"8"	"473"	"35"	"13"	"5"	"9"	"654"	""	""	""
"188"	"114"	"162"	"4"	"292"	"31"	"9"	"8"	"13"	"519"	""	""	""
"189"	"115"	"240"	"9"	"176"	"31"	"8"	"5"	"15"	"484"	""	""	""
"190"	"116"	"92"	"9"	"211"	"10"	"3"	"4"	"17"	"346"	""	""	""
"191"	"117"	"258"	"22"	"146"	"20"	"6"	"7"	"4"	"463"	""	""	""
"192"	"118"	"113"	"11"	"183"	"13"	"3"	"3"	"12"	"338"	""	""	""
"193"	"119"	"231"	"10"	"524"	"23"	"11"	"8"	"17"	"824"	""	""	""
"194"	"120"	"11"	"2"	"682"	"15"	"3"	"2"	"1"	"716"	""	""	""
"195"	"121"	"12"	"1"	"596"	"4"	"1"	"0"	"2"	"616"	""	""	""
"196"	"122"	"268"	"9"	"174"	"21"	"5"	"8"	"28"	"513"	""	""	""
"197"	"123"	"134"	"9"	"218"	"20"	"18"	"16"	"18"	"433"	""	""	""
"198"	"124"	"42"	"2"	"285"	"19"	"13"	"4"	"9"	"374"	""	""	""
"199"	"125"	"39"	"0"	"347"	"11"	"1"	"1"	"3"	"402"	""	""	""
"200"	"126"	"192"	"18"	"454"	"34"	"10"	"7"	"13"	"728"	""	""	""
"201"	";ksx  &"	"1905"	"114"	"4761"	"287"	"104"	"78"	"161"	"7410"	""	""	""
"202"	"xr  I`k\"B dk  ;ksx  &"	"23687"	"1136"	"22052"	"1881"	"1143"	"778"	"7993"	"58670"	""	""	""
"203"	"dqy  ;ksx  &"	"25592"	"1250"	"26813"	"2168"	"1247"	"856"	"8154"	"66080"	""	""	""
"204"	""	""	""	""	""	""	""	""	""	""	""	""
"205"	"10"	""	""	""	""	""	""	""	""	""	""	""
"206"	"ernku dsUnz dh
Øe la0"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k ;ksx"	"fuosfnÙk erksa dh"	""
"207"	""	"x.ks'k ikloku"	"nsosUnz nkl"	"lq/kka'kq 'ks[kj HkkLdj"	"mes'k pkS/kjh"	"mfeZyk pkS/kjh"	"fuokl ikloku"	"QuhUnz pkS/kjh"	""	""	""	""
"208"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"13"	"14"	"15"	""
"209"	"127"	"381"	"18"	"202"	"16"	"7"	"11"	"24"	"659"	""	""	""
"210"	"128"	"54"	"11"	"663"	"22"	"14"	"0"	"6"	"770"	""	""	""
"211"	"129"	"73"	"8"	"571"	"44"	"6"	"6"	"17"	"725"	""	""	""
"212"	"130"	"107"	"14"	"441"	"26"	"11"	"6"	"9"	"614"	""	""	""
"213"	"131"	"26"	"3"	"387"	"21"	"14"	"6"	"15"	"472"	""	""	""
"214"	"132"	"346"	"6"	"140"	"5"	"5"	"2"	"6"	"510"	""	""	""
"215"	"133"	"55"	"3"	"38"	"22"	"6"	"3"	"17"	"144"	""	""	""
"216"	"134"	"66"	"13"	"256"	"19"	"1"	"1"	"9"	"365"	""	""	""
"217"	"135"	"406"	"29"	"267"	"47"	"21"	"7"	"41"	"818"	""	""	""
"218"	"136"	"87"	"57"	"205"	"24"	"15"	"8"	"10"	"406"	""	""	""
"219"	"137"	"49"	"19"	"407"	"53"	"27"	"7"	"23"	"585"	""	""	""
"220"	"138"	"181"	"3"	"31"	"6"	"3"	"0"	"4"	"228"	""	""	""
"221"	"139"	"369"	"8"	"110"	"17"	"8"	"5"	"43"	"560"	""	""	""
"222"	"140"	"335"	"9"	"111"	"5"	"2"	"4"	"15"	"481"	""	""	""
"223"	";ksx  &"	"2535"	"201"	"3829"	"327"	"140"	"66"	"239"	"7337"	""	""	""
"224"	"xr  I`k\"B dk  ;ksx  &"	"25592"	"1250"	"26813"	"2168"	"1247"	"856"	"8154"	"66080"	""	""	""
"225"	"dqy  ;ksx  &"	"28127"	"1451"	"30642"	"2495"	"1387"	"922"	"8393"	"73417"	""	""	""
"226"	""	""	""	""	""	""	""	""	""	""	""	""
"227"	"11"	""	""	""	""	""	""	""	""	""	""	""
"228"	"ernku dsUnz dh
Øe la0"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k ;ksx"	"fuosfnÙk erksa dh"	""
"229"	""	"x.ks'k ikloku"	"nsosUnz nkl"	"lq/kka'kq 'ks[kj HkkLdj"	"mes'k pkS/kjh"	"mfeZyk pkS/kjh"	"fuokl ikloku"	"QuhUnz pkS/kjh"	""	""	""	""
"230"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"13"	"14"	"15"	""
"231"	"141"	"233"	"6"	"298"	"12"	"12"	"2"	"32"	"595"	""	""	""
"232"	"142"	"112"	"6"	"600"	"18"	"7"	"7"	"6"	"756"	""	""	""
"233"	"143"	"171"	"17"	"287"	"23"	"8"	"4"	"9"	"519"	""	""	""
"234"	"144"	"147"	"71"	"239"	"21"	"9"	"5"	"13"	"505"	""	""	""
"235"	"145"	"298"	"54"	"112"	"19"	"5"	"7"	"29"	"524"	""	""	""
"236"	"146"	"211"	"33"	"323"	"38"	"18"	"16"	"92"	"731"	""	""	""
"237"	"147"	"339"	"12"	"117"	"7"	"3"	"4"	"3"	"485"	""	""	""
