"Total..No..of.Electors.in.Assembly.consitiuency...201457"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"Name of Assembly - 85 BAHERA"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(CHAPTER XIV, PARA 26 9)"	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"FINAL RESULT SHEET [ (SEE RULE 56C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"PART -I"	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Sl.No."	"No.of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	"Total of Valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"36"	"27"	"27"	"553"	"6"	"7"	"2"	"23"	"3"	"11"	"605"	"0"	"605"	"0"
"37"	"28"	"28"	"25"	"17"	"11"	"3"	"117"	"16"	"8"	"197"	"0"	"197"	"0"
"38"	"29"	"29"	"114"	"160"	"3"	"3"	"21"	"12"	"8"	"321"	"0"	"321"	"0"
"39"	"30"	"30"	"60"	"360"	"11"	"3"	"27"	"5"	"4"	"470"	"0"	"470"	"0"
"40"	"31"	"31"	"141"	"252"	"5"	"1"	"3"	"1"	"2"	"405"	"0"	"405"	"0"
"41"	"Sl.No."	"No.of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	"Total of Valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"42"	""	""	"Abdul Bari Siddiqui"	"Mahendra Jha Azad"	"Shamim Ahmad"	"Binod Yadav"	"Yugeshw ar Sahni"	"Bishwamb har
Mishra"	"Shah Najmul
Hoda"	""	""	""	""
"43"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"44"	"32"	"32"	"168"	"145"	"9"	"5"	"18"	"12"	"15"	"372"	"0"	"372"	"0"
"45"	"33"	"33"	"95"	"140"	"15"	"18"	"120"	"16"	"32"	"436"	"0"	"436"	"0"
"46"	"34"	"34"	"162"	"109"	"1"	"2"	"13"	"1"	"11"	"299"	"0"	"299"	"0"
"47"	"35"	"35"	"63"	"273"	"2"	"1"	"7"	"6"	"13"	"365"	"0"	"365"	"0"
"48"	"36"	"36"	"39"	"310"	"10"	"6"	"9"	"10"	"8"	"392"	"0"	"392"	"0"
"49"	"37"	"37"	"102"	"160"	"12"	"2"	"44"	"9"	"5"	"334"	"0"	"334"	"0"
"50"	"38"	"38"	"513"	"74"	"1"	"1"	"23"	"4"	"5"	"621"	"0"	"621"	"0"
"51"	"39"	"39"	"347"	"26"	"6"	"2"	"25"	"3"	"17"	"426"	"0"	"426"	"0"
"52"	"40"	"40"	"498"	"28"	"3"	"2"	"8"	"2"	"2"	"543"	"0"	"543"	"0"
"53"	"41"	"41"	"85"	"267"	"9"	"1"	"1"	"11"	"14"	"388"	"0"	"388"	"0"
"54"	"42"	"42"	"90"	"57"	"11"	"12"	"179"	"19"	"15"	"383"	"0"	"383"	"0"
"55"	"43"	"43"	"32"	"185"	"6"	"1"	"28"	"5"	"6"	"263"	"0"	"263"	"0"
"56"	"44"	"44"	"82"	"88"	"18"	"6"	"56"	"19"	"9"	"278"	"0"	"278"	"0"
"57"	"45"	"45"	"69"	"115"	"1"	"0"	"12"	"3"	"3"	"203"	"0"	"203"	"0"
"58"	"46"	"46"	"167"	"147"	"9"	"3"	"51"	"12"	"9"	"398"	"0"	"398"	"0"
"59"	"47"	"47"	"77"	"344"	"9"	"10"	"40"	"11"	"19"	"510"	"0"	"510"	"0"
"60"	"48"	"48"	"49"	"286"	"10"	"3"	"69"	"26"	"3"	"446"	"0"	"446"	"0"
"61"	"49"	"49"	"74"	"110"	"10"	"9"	"78"	"25"	"19"	"325"	"0"	"325"	"0"
"62"	"50"	"50"	"97"	"230"	"17"	"5"	"49"	"19"	"15"	"432"	"0"	"432"	"0"
"63"	"51"	"51"	"24"	"341"	"6"	"2"	"1"	"2"	"5"	"381"	"0"	"381"	"0"
"64"	"52"	"52"	"133"	"163"	"10"	"3"	"14"	"2"	"3"	"328"	"0"	"328"	"0"
"65"	"53"	"53"	"327"	"20"	"6"	"1"	"31"	"4"	"21"	"410"	"0"	"410"	"0"
"66"	"54"	"54"	"113"	"185"	"7"	"3"	"45"	"24"	"11"	"388"	"0"	"388"	"0"
"67"	"55"	"55"	"63"	"215"	"7"	"4"	"19"	"5"	"10"	"323"	"0"	"323"	"0"
"68"	"56"	"56"	"79"	"84"	"11"	"4"	"46"	"5"	"15"	"244"	"0"	"244"	"0"
"69"	"57"	"57"	"234"	"105"	"9"	"5"	"55"	"12"	"24"	"444"	"0"	"444"	"0"
"70"	"58"	"58"	"287"	"101"	"13"	"4"	"33"	"11"	"31"	"480"	"0"	"480"	"0"
"71"	"59"	"59"	"194"	"145"	"11"	"2"	"63"	"11"	"9"	"435"	"0"	"435"	"0"
"72"	"60"	"60"	"95"	"229"	"6"	"4"	"77"	"9"	"2"	"422"	"0"	"422"	"0"
"73"	"61"	"61"	"84"	"361"	"7"	"3"	"26"	"4"	"8"	"493"	"0"	"493"	"0"
"74"	"62"	"62"	"63"	"239"	"1"	"0"	"1"	"1"	"0"	"305"	"0"	"305"	"0"
"75"	"63"	"63"	"237"	"56"	"9"	"1"	"46"	"4"	"19"	"372"	"0"	"372"	"0"
"76"	"64"	"64"	"180"	"31"	"12"	"10"	"154"	"13"	"19"	"419"	"0"	"419"	"0"
"77"	"65"	"65"	"160"	"234"	"5"	"2"	"8"	"0"	"8"	"417"	"0"	"417"	"0"
"78"	"66"	"66"	"85"	"205"	"1"	"0"	"18"	"0"	"1"	"310"	"0"	"310"	"0"
"79"	"67"	"67"	"42"	"161"	"4"	"2"	"11"	"4"	"1"	"225"	"0"	"225"	"0"
"80"	"68"	"68"	"238"	"50"	"5"	"0"	"79"	"10"	"12"	"394"	"0"	"394"	"0"
"81"	"69"	"69"	"577"	"5"	"1"	"0"	"6"	"0"	"2"	"591"	"0"	"591"	"0"
"82"	"Sl.No."	"No.of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	"Total of Valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"83"	""	""	"Abdul Bari Siddiqui"	"Mahendra Jha Azad"	"Shamim Ahmad"	"Binod Yadav"	"Yugeshw ar Sahni"	"Bishwamb har
Mishra"	"Shah Najmul
Hoda"	""	""	""	""
"84"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"85"	"70"	"70"	"398"	"60"	"5"	"0"	"5"	"2"	"11"	"481"	"0"	"481"	"0"
"86"	"71"	"71"	"135"	"164"	"9"	"7"	"86"	"13"	"20"	"434"	"0"	"434"	"0"
"87"	"72"	"72"	"33"	"298"	"4"	"6"	"29"	"6"	"8"	"384"	"0"	"384"	"0"
"88"	"73"	"73"	"77"	"254"	"9"	"3"	"117"	"8"	"23"	"491"	"0"	"491"	"0"
"89"	"74"	"74"	"24"	"237"	"6"	"4"	"23"	"15"	"5"	"314"	"0"	"314"	"0"
"90"	"75"	"75"	"178"	"21"	"7"	"8"	"70"	"12"	"9"	"305"	"0"	"305"	"0"
"91"	"76"	"76"	"29"	"197"	"5"	"1"	"4"	"4"	"4"	"244"	"0"	"244"	"0"
"92"	"77"	"77"	"210"	"78"	"3"	"2"	"17"	"3"	"20"	"333"	"0"	"333"	"0"
"93"	"78"	"78"	"277"	"51"	"15"	"8"	"98"	"13"	"12"	"474"	"0"	"474"	"0"
"94"	"79"	"79"	"175"	"75"	"3"	"2"	"151"	"12"	"12"	"430"	"0"	"430"	"0"
"95"	"80"	"80"	"130"	"207"	"5"	"5"	"5"	"4"	"13"	"369"	"0"	"369"	"0"
"96"	"81"	"81"	"33"	"140"	"16"	"3"	"90"	"11"	"9"	"302"	"0"	"302"	"0"
"97"	"82"	"82"	"115"	"157"	"17"	"9"	"134"	"13"	"19"	"464"	"0"	"464"	"0"
"98"	"83"	"83"	"73"	"161"	"10"	"4"	"123"	"10"	"10"	"391"	"0"	"391"	"0"
"99"	"84"	"84"	"336"	"149"	"6"	"8"	"15"	"8"	"10"	"532"	"0"	"532"	"0"
"100"	"85"	"85"	"200"	"217"	"14"	"3"	"39"	"19"	"14"	"506"	"0"	"506"	"0"
"101"	"86"	"86"	"51"	"78"	"6"	"1"	"159"	"13"	"12"	"320"	"0"	"320"	"0"
"102"	"87"	"87"	"333"	"93"	"2"	"0"	"40"	"5"	"9"	"482"	"0"	"482"	"0"
"103"	"88"	"88"	"178"	"158"	"5"	"4"	"37"	"5"	"10"	"397"	"0"	"397"	"0"
"104"	"89"	"89"	"253"	"141"	"10"	"6"	"85"	"18"	"10"	"523"	"0"	"523"	"0"
"105"	"90"	"90"	"30"	"536"	"4"	"1"	"5"	"6"	"4"	"586"	"0"	"586"	"0"
"106"	"91"	"91"	"33"	"229"	"12"	"6"	"49"	"10"	"14"	"353"	"0"	"353"	"0"
"107"	"92"	"92"	"189"	"286"	"11"	"5"	"12"	"6"	"5"	"514"	"0"	"514"	"0"
"108"	"93"	"93"	"471"	"5"	"0"	"0"	"9"	"0"	"0"	"485"	"0"	"485"	"0"
"109"	"94"	"94"	"645"	"9"	"2"	"1"	"12"	"3"	"5"	"677"	"0"	"677"	"0"
"110"	"95"	"95"	"169"	"189"	"7"	"5"	"23"	"8"	"10"	"411"	"0"	"411"	"0"
"111"	"96"	"96"	"520"	"10"	"3"	"1"	"0"	"0"	"2"	"536"	"0"	"536"	"0"
"112"	"97"	"97"	"115"	"23"	"14"	"10"	"177"	"17"	"17"	"373"	"0"	"373"	"0"
"113"	"98"	"98"	"403"	"21"	"3"	"1"	"17"	"5"	"3"	"453"	"0"	"453"	"0"
"114"	"99"	"99"	"234"	"19"	"9"	"7"	"117"	"9"	"10"	"405"	"0"	"405"	"0"
"115"	"100"	"100"	"21"	"410"	"10"	"1"	"105"	"11"	"7"	"565"	"0"	"565"	"0"
"116"	"101"	"101"	"212"	"216"	"21"	"8"	"86"	"10"	"8"	"561"	"0"	"561"	"0"
"117"	"102"	"102"	"211"	"152"	"10"	"13"	"172"	"16"	"21"	"595"	"0"	"595"	"0"
"118"	"103"	"103"	"272"	"36"	"5"	"2"	"16"	"6"	"6"	"343"	"0"	"343"	"0"
"119"	"104"	"104"	"481"	"33"	"2"	"1"	"4"	"2"	"0"	"523"	"0"	"523"	"0"
"120"	"105"	"105"	"150"	"122"	"9"	"5"	"123"	"14"	"20"	"443"	"0"	"443"	"0"
"121"	"106"	"106"	"289"	"54"	"16"	"5"	"96"	"17"	"10"	"487"	"0"	"487"	"0"
"122"	"107"	"107"	"185"	"74"	"3"	"6"	"272"	"26"	"11"	"577"	"0"	"577"	"0"
"123"	"Sl.No."	"No.of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	"Total of Valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"124"	""	""	"Abdul Bari Siddiqui"	"Mahendra Jha Azad"	"Shamim Ahmad"	"Binod Yadav"	"Yugeshw ar Sahni"	"Bishwamb har
Mishra"	"Shah Najmul
Hoda"	""	""	""	""
"125"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"126"	"108"	"108"	"343"	"31"	"17"	"8"	"98"	"14"	"13"	"524"	"0"	"524"	"0"
"127"	"109"	"109"	"300"	"140"	"35"	"8"	"83"	"12"	"16"	"594"	"0"	"594"	"0"
"128"	"110"	"110"	"403"	"65"	"14"	"3"	"129"	"12"	"10"	"636"	"0"	"636"	"0"
"129"	"111"	"111"	"156"	"107"	"3"	"4"	"16"	"1"	"4"	"291"	"0"	"291"	"0"
"130"	"112"	"112"	"50"	"403"	"3"	"2"	"5"	"3"	"3"	"469"	"0"	"469"	"0"
"131"	"113"	"113"	"18"	"300"	"3"	"3"	"16"	"4"	"13"	"357"	"0"	"357"	"0"
"132"	"114"	"114"	"73"	"286"	"6"	"2"	"18"	"7"	"15"	"407"	"0"	"407"	"0"
"133"	"115"	"115"	"8"	"337"	"14"	"5"	"41"	"8"	"13"	"426"	"0"	"426"	"0"
"134"	"116"	"116"	"97"	"213"	"16"	"8"	"33"	"11"	"24"	"402"	"0"	"402"	"0"
"135"	"117"	"117"	"380"	"10"	"6"	"2"	"105"	"2"	"6"	"511"	"0"	"511"	"0"
"136"	"118"	"118"	"127"	"60"	"16"	"21"	"245"	"25"	"26"	"520"	"0"	"520"	"0"
"137"	"119"	"119"	"30"	"302"	"8"	"4"	"30"	"8"	"1"	"383"	"0"	"383"	"0"
"138"	"120"	"120"	"264"	"127"	"14"	"4"	"76"	"15"	"7"	"507"	"0"	"507"	"0"
"139"	"121"	"121"	"88"	"293"	"2"	"2"	"6"	"2"	"6"	"399"	"0"	"399"	"0"
"140"	"122"	"122"	"114"	"13"	"4"	"8"	"50"	"11"	"32"	"232"	"0"	"232"	"0"
"141"	"123"	"123"	"113"	"137"	"6"	"0"	"4"	"2"	"2"	"264"	"0"	"264"	"0"
"142"	"124"	"124"	"154"	"385"	"7"	"3"	"4"	"2"	"3"	"558"	"0"	"558"	"0"
"143"	"125"	"125"	"41"	"324"	"8"	"1"	"5"	"1"	"7"	"387"	"0"	"387"	"0"
"144"	"126"	"126"	"202"	"125"	"5"	"2"	"58"	"4"	"10"	"406"	"0"	"406"	"0"
"145"	"127"	"127"	"59"	"249"	"14"	"4"	"20"	"14"	"8"	"368"	"0"	"368"	"0"
"146"	"128"	"128"	"34"	"361"	"3"	"3"	"3"	"2"	"10"	"416"	"0"	"416"	"0"
"147"	"129"	"129"	"37"	"285"	"9"	"4"	"2"	"4"	"12"	"353"	"0"	"353"	"0"
"148"	"130"	"130"	"41"	"280"	"10"	"5"	"22"	"7"	"1"	"366"	"0"	"366"	"0"
"149"	"131"	"131"	"97"	"326"	"13"	"6"	"7"	"7"	"9"	"465"	"0"	"465"	"0"
"150"	"132"	"132"	"288"	"104"	"23"	"10"	"117"	"13"	"17"	"572"	"0"	"572"	"0"
"151"	"133"	"133"	"223"	"49"	"8"	"2"	"10"	"4"	"13"	"309"	"0"	"309"	"0"
"152"	"134"	"134"	"187"	"101"	"9"	"9"	"47"	"16"	"26"	"395"	"0"	"395"	"0"
"153"	"135"	"135"	"207"	"51"	"20"	"5"	"31"	"6"	"9"	"329"	"0"	"329"	"0"
"154"	"136"	"136"	"162"	"23"	"4"	"1"	"3"	"3"	"10"	"206"	"0"	"206"	"0"
"155"	"137"	"137"	"350"	"102"	"4"	"2"	"23"	"5"	"6"	"492"	"0"	"492"	"0"
"156"	"138"	"138"	"44"	"201"	"8"	"6"	"21"	"3"	"10"	"293"	"0"	"293"	"0"
"157"	"139"	"139"	"187"	"116"	"17"	"5"	"67"	"17"	"31"	"440"	"0"	"440"	"0"
"158"	"140"	"140"	"301"	"57"	"18"	"12"	"81"	"23"	"27"	"519"	"0"	"519"	"0"
"159"	"141"	"141"	"33"	"232"	"4"	"5"	"111"	"6"	"14"	"405"	"0"	"405"	"0"
"160"	"142"	"142"	"64"	"13"	"9"	"11"	"285"	"40"	"5"	"427"	"0"	"427"	"0"
"161"	"143"	"143"	"130"	"97"	"4"	"2"	"115"	"5"	"4"	"357"	"0"	"357"	"0"
"162"	"144"	"144"	"100"	"173"	"13"	"8"	"80"	"16"	"10"	"400"	"0"	"400"	"0"
"163"	"145"	"145"	"392"	"52"	"5"	"7"	"28"	"6"	"7"	"497"	"0"	"497"	"0"
"164"	"Sl.No."	"No.of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	"Total of Valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"165"	""	""	"Abdul Bari Siddiqui"	"Mahendra Jha Azad"	"Shamim Ahmad"	"Binod Yadav"	"Yugeshw ar Sahni"	"Bishwamb har
Mishra"	"Shah Najmul
Hoda"	""	""	""	""
"166"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"167"	"146"	"146"	"301"	"179"	"10"	"6"	"31"	"14"	"21"	"562"	"0"	"562"	"0"
"168"	"147"	"147"	"262"	"73"	"9"	"4"	"136"	"13"	"27"	"524"	"0"	"524"	"0"
"169"	"148"	"148"	"332"	"108"	"4"	"9"	"17"	"5"	"15"	"490"	"0"	"490"	"0"
"170"	"149"	"149"	"204"	"44"	"19"	"8"	"295"	"20"	"24"	"614"	"0"	"614"	"0"
"171"	"150"	"150"	"467"	"117"	"7"	"9"	"50"	"14"	"11"	"675"	"0"	"675"	"0"
"172"	"151"	"151"	"102"	"99"	"9"	"6"	"175"	"20"	"20"	"431"	"0"	"431"	"0"
"173"	"152"	"152"	"57"	"169"	"5"	"1"	"2"	"9"	"13"	"256"	"0"	"256"	"0"
"174"	"153"	"153"	"142"	"165"	"7"	"1"	"17"	"7"	"7"	"346"	"0"	"346"	"0"
"175"	"154"	"154"	"127"	"177"	"11"	"6"	"29"	"11"	"12"	"373"	"0"	"373"	"0"
"176"	"155"	"155"	"426"	"51"	"3"	"3"	"32"	"5"	"18"	"538"	"0"	"538"	"0"
"177"	"156"	"156"	"177"	"226"	"11"	"5"	"95"	"18"	"11"	"543"	"0"	"543"	"0"
"178"	"157"	"157"	"417"	"23"	"1"	"2"	"15"	"5"	"5"	"468"	"0"	"468"	"0"
"179"	"158"	"158"	"361"	"21"	"1"	"2"	"11"	"2"	"9"	"407"	"0"	"407"	"0"
"180"	"159"	"159"	"189"	"11"	"8"	"3"	"4"	"1"	"4"	"220"	"0"	"220"	"0"
"181"	"160"	"160"	"581"	"13"	"4"	"3"	"3"	"2"	"9"	"615"	"0"	"615"	"0"
"182"	"161"	"161"	"613"	"10"	"2"	"0"	"18"	"6"	"1"	"650"	"0"	"650"	"0"
"183"	"162"	"162"	"433"	"14"	"5"	"169"	"6"	"3"	"7"	"637"	"0"	"637"	"0"
"184"	"163"	"163"	"225"	"10"	"2"	"0"	"18"	"3"	"1"	"259"	"0"	"259"	"0"
"185"	"164"	"164"	"335"	"50"	"3"	"8"	"40"	"5"	"10"	"451"	"0"	"451"	"0"
"186"	"165"	"165"	"373"	"10"	"3"	"1"	"11"	"3"	"6"	"407"	"0"	"407"	"0"
"187"	"166"	"166"	"317"	"10"	"2"	"3"	"8"	"3"	"8"	"351"	"0"	"351"	"0"
"188"	"167"	"167"	"485"	"19"	"5"	"2"	"17"	"3"	"16"	"547"	"0"	"547"	"0"
"189"	"168"	"168"	"368"	"16"	"6"	"3"	"3"	"2"	"14"	"412"	"0"	"412"	"0"
"190"	"169"	"169"	"342"	"132"	"10"	"5"	"59"	"0"	"24"	"572"	"0"	"572"	"0"
"191"	"170"	"170"	"490"	"18"	"7"	"4"	"9"	"3"	"19"	"550"	"0"	"550"	"0"
"192"	"171"	"171"	"462"	"17"	"6"	"4"	"2"	"2"	"14"	"507"	"0"	"507"	"0"
"193"	"172"	"172"	"309"	"115"	"7"	"5"	"10"	"6"	"28"	"480"	"0"	"480"	"0"
"194"	"173"	"173"	"117"	"90"	"3"	"4"	"3"	"3"	"10"	"230"	"0"	"230"	"0"
"195"	"174"	"174"	"170"	"104"	"11"	"4"	"14"	"9"	"40"	"352"	"0"	"352"	"0"
"196"	"175"	"175"	"263"	"90"	"6"	"3"	"3"	"2"	"8"	"375"	"0"	"375"	"0"
"197"	"176"	"176"	"585"	"34"	"10"	"0"	"8"	"4"	"22"	"663"	"0"	"663"	"0"
"198"	"177"	"177"	"404"	"11"	"4"	"0"	"1"	"1"	"7"	"428"	"0"	"428"	"0"
"199"	"178"	"178"	"519"	"6"	"2"	"0"	"2"	"0"	"7"	"536"	"0"	"536"	"0"
"200"	"179"	"179"	"740"	"8"	"8"	"4"	"1"	"0"	"11"	"772"	"0"	"772"	"0"
"201"	"180"	"180"	"421"	"26"	"2"	"1"	"14"	"0"	"9"	"473"	"0"	"473"	"0"
"202"	"181"	"181"	"387"	"16"	"1"	"0"	"36"	"1"	"2"	"443"	"0"	"443"	"0"
"203"	"182"	"182"	"386"	"14"	"2"	"1"	"3"	"0"	"5"	"411"	"0"	"411"	"0"
"204"	"183"	"183"	"514"	"21"	"2"	"2"	"4"	"4"	"4"	"551"	"0"	"551"	"0"
"205"	"Sl.No."	"No.of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	"Total of Valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"206"	""	""	"Abdul Bari Siddiqui"	"Mahendra Jha Azad"	"Shamim Ahmad"	"Binod Yadav"	"Yugeshw ar Sahni"	"Bishwamb har
Mishra"	"Shah Najmul
Hoda"	""	""	""	""
"207"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"208"	"184"	"184"	"273"	"64"	"10"	"5"	"60"	"14"	"34"	"460"	"0"	"460"	"0"
"209"	"185"	"185"	"513"	"19"	"4"	"4"	"1"	"1"	"6"	"548"	"0"	"548"	"0"
"210"	"186"	"186"	"566"	"17"	"1"	"2"	"1"	"1"	"2"	"590"	"0"	"590"	"0"
"211"	"187"	"187"	"549"	"47"	"2"	"1"	"17"	"2"	"10"	"628"	"0"	"628"	"0"
"212"	"188"	"188"	"477"	"43"	"1"	"1"	"6"	"5"	"23"	"556"	"0"	"556"	"0"
"213"	"189"	"189"	"260"	"135"	"8"	"4"	"28"	"9"	"25"	"469"	"0"	"469"	"0"
"214"	"190"	"190"	"99"	"303"	"10"	"3"	"3"	"4"	"11"	"433"	"0"	"433"	"0"
"215"	"191"	"191"	"51"	"385"	"17"	"9"	"66"	"14"	"9"	"551"	"0"	"551"	"0"
"216"	"192"	"192"	"268"	"25"	"7"	"4"	"17"	"2"	"2"	"325"	"0"	"325"	"0"
"217"	"193"	"193"	"267"	"49"	"5"	"5"	"4"	"3"	"7"	"340"	"0"	"340"	"0"
"218"	"194"	"194"	"283"	"73"	"7"	"9"	"36"	"8"	"12"	"428"	"0"	"428"	"0"
"219"	"195"	"195"	"432"	"29"	"4"	"1"	"24"	"3"	"18"	"511"	"0"	"511"	"0"
"220"	"196"	"196"	"133"	"11"	"11"	"10"	"177"	"21"	"16"	"379"	"0"	"379"	"0"
"221"	"197"	"197"	"199"	"125"	"8"	"4"	"13"	"2"	"15"	"366"	"0"	"366"	"0"
"222"	"198"	"198"	"113"	"25"	"15"	"5"	"241"	"22"	"31"	"452"	"0"	"452"	"0"
"223"	"199"	"199"	"203"	"34"	"7"	"2"	"279"	"8"	"3"	"536"	"0"	"536"	"0"
"224"	"200"	"200"	"349"	"57"	"13"	"9"	"38"	"12"	"16"	"494"	"0"	"494"	"0"
"225"	"201"	"201"	"121"	"69"	"12"	"2"	"65"	"10"	"8"	"287"	"0"	"287"	"0"
"226"	"Total No. of votes recording at polling Stations"	""	"44680"	"25612"	"1602"	"1004"	"10131"	"1695"	"2445"	"87169"	"0"	"87169"	"0"
"227"	"No. of votes recorded on postal ballot papers (To be election from an assembly constituency)"	""	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"5"	"3"	"8"	"0"
"228"	"Total Votes polled"	""	"44681"	"25616"	"1602"	"1004"	"10131"	"1695"	"2445"	"87174"	"3"	"87177"	"0"
"229"	"Place : A. P.MARKETTING YARD, SHIVDHARA, DARBHANGA"	""	""	""	""	""	""	""	""	""	""	""	""
"230"	"DATE : 27/02/2005"	""	""	""	""	""	""	""	""	""	""	""	""
