"X.FORM.20."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"	"X..78"	"X..79"	"X..80"	"X..81"	"X..82"	"X..83"	"X..84"	"X..85"	"X..86"	"X..87"	"X..88"	"X..89"	"X..90"	"X..91"	"X..92"	"X..93"	"X..94"	"X..95"	"X..96"	"X..97"	"X..98"	"X..99"	"X..100"	"X..101"	"X..102"	"X..103"	"X..104"	"X..105"	"X..106"	"X..107"	"X..108"	"X..109"	"X..110"
"11"	"2"	"53"	""	""	"125"	""	""	"42"	""	""	""	"1"	""	""	""	""	"5"	""	""	""	"1"	""	""	""	""	""	"414"	""	""	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"650"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"650"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"12"	"3"	"194"	""	""	"40"	""	""	"14"	""	""	""	"4"	""	""	""	""	"5"	""	""	""	"3"	""	""	""	""	""	"94"	""	""	""	""	""	""	"4"	""	""	""	""	"2"	""	""	""	""	""	""	"5"	""	""	""	""	""	"6"	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"19"	""	""	""	""	""	""	"392"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"392"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"13"	"4"	"212"	""	""	"128"	""	""	"73"	""	""	""	"2"	""	""	""	""	"3"	""	""	""	"1"	""	""	""	""	""	"61"	""	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"487"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"487"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"14"	"5"	"157"	""	""	"209"	""	""	"7"	""	""	""	"3"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	""	""	"128"	""	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"510"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"510"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"15"	"6"	"148"	""	""	"99"	""	""	"7"	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"1"	""	""	""	""	""	"81"	""	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"339"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"339"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"16"	"7"	"93"	""	""	"15"	""	""	"27"	""	""	""	"1"	""	""	""	""	"9"	""	""	""	"1"	""	""	""	""	""	"24"	""	""	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"184"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"184"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"17"	"8"	"88"	""	""	"90"	""	""	"20"	""	""	""	"1"	""	""	""	""	"3"	""	""	""	"1"	""	""	""	""	""	"248"	""	""	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	""	"3"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"465"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"465"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"18"	"9"	"389"	""	""	"10"	""	""	"1"	""	""	""	"0"	""	""	""	""	"2"	""	""	""	"0"	""	""	""	""	""	"16"	""	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"418"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"418"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"19"	"10"	"106"	""	""	"170"	""	""	"8"	""	""	""	"2"	""	""	""	""	"43"	""	""	""	"2"	""	""	""	""	""	"65"	""	""	""	""	""	""	"5"	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	"6"	""	""	""	""	""	"3"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"416"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"416"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"20"	"11"	"123"	""	""	"81"	""	""	"24"	""	""	""	"1"	""	""	""	""	"10"	""	""	""	"3"	""	""	""	""	""	"798"	""	""	""	""	""	""	"9"	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"1067"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1067"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"21"	"12"	"152"	""	""	"12"	""	""	"19"	""	""	""	"3"	""	""	""	""	"2"	""	""	""	"2"	""	""	""	""	""	"76"	""	""	""	""	""	""	"6"	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	"3"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"285"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"285"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"22"	"13"	"33"	""	""	"23"	""	""	"9"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"813"	""	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"878"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"878"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"23"	"14"	"27"	""	""	"11"	""	""	"0"	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	""	""	"274"	""	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"315"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"315"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"24"	"Total"	"1994"	""	""	"1167"	""	""	"279"	""	""	""	"24"	""	""	""	""	"93"	""	""	""	"24"	""	""	""	""	""	"3289"	""	""	""	""	""	""	"41"	""	""	""	""	"14"	""	""	""	""	""	""	"16"	""	""	""	""	""	"22"	""	""	""	""	""	"17"	""	""	""	""	""	""	"28"	""	""	""	""	""	""	"71"	""	""	""	""	""	""	"7079"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"7079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"Place    Gaya College, Gaya"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	"Date     27-02-2005                                                                                                                                                                                                        Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"(FORM 20)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"Sec rule 56(7) Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	"Election to the Bihar Legislative Assembly from the 231- Gaya Muffasil Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"30"	"Total No. of Electors in Assembly Constitu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"31"	"Round No. ……            2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"32"	"Sl. No."	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	"Total no. of"	""	""	""	""	""	""	"Total No."	""	""	""	""	""	""	""	""	""	""	""	""	""
"33"	"of"	"DR. BINOD KUMAR YADVENDU"	""	"DR. RAM KUMAR MEHTA"	""	""	"VENNA   RAY"	""	""	""	"JUGAL KISHOR PRASAD"	""	""	""	""	"RAM KESHWAR PRASAD YADAV"	""	""	""	""	"SAROJ  DEVI"	""	""	""	""	"AWADHESH KUMAR SINGH"	""	""	""	""	""	""	"ADITYA PASWAN"	""	""	""	""	""	"GOPAL SHARAN CHAUDHARY"	""	""	""	""	""	""	"PURAN CHAUDHARY"	""	""	""	""	""	"MAHAVEER RAM"	""	""	""	""	""	"MOHAN PRASAD"	""	""	""	""	""	"RAM ASHISH SINGH"	""	""	""	""	""	""	"VINOD KUMAR SINGH"	""	""	""	""	""	"No. of valid"	""	""	""	""	""	""	""	"rejected"	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	"of tendered"	""	""	""	""	""	""	""	""	""	""	""	""	""
"34"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""	""	""
"35"	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"36"	"1"	"2"	""	"3"	""	""	"4"	""	""	""	"5"	""	""	""	""	"6"	""	""	""	""	"7"	""	""	""	""	"8"	""	""	""	""	""	""	"9"	""	""	""	""	""	"10"	""	""	""	""	""	""	"11"	""	""	""	""	""	"12"	""	""	""	""	""	"13"	""	""	""	""	""	"14"	""	""	""	""	""	""	"15"	""	""	""	""	""	"16"	""	""	""	""	""	""	""	"17"	""	""	""	""	""	""	"18"	""	""	""	""	""	""	"19"	""	""	""	""	""	""	""	""	""	""	""	""	""
"37"	"15"	"131"	""	"5"	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"622"	""	""	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	"761"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"761"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"38"	"16"	"0"	""	"1"	""	""	"1"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"409"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"411"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"411"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"39"	"17"	"166"	""	"86"	""	""	"20"	""	""	""	"0"	""	""	""	""	"3"	""	""	""	""	"4"	""	""	""	""	"62"	""	""	""	""	""	""	"6"	""	""	""	""	""	"6"	""	""	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	""	""	"8"	""	""	""	""	""	"366"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"366"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"40"	"18"	"0"	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"942"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	"946"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"946"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"41"	"19"	"47"	""	"0"	""	""	"1"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"558"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"606"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"606"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"42"	"20"	"37"	""	"13"	""	""	"1"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"275"	""	""	""	""	""	""	"5"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"331"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"331"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"43"	"21"	"8"	""	"8"	""	""	"0"	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"224"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"242"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"242"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"44"	"22"	"356"	""	"23"	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"10"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"391"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"391"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"45"	"23"	"237"	""	"7"	""	""	"3"	""	""	""	"2"	""	""	""	""	"22"	""	""	""	""	"4"	""	""	""	""	"166"	""	""	""	""	""	""	"3"	""	""	""	""	""	"5"	""	""	""	""	""	""	"4"	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	""	"4"	""	""	""	""	""	"459"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"459"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"46"	"24"	"59"	""	"133"	""	""	"2"	""	""	""	"7"	""	""	""	""	"20"	""	""	""	""	"4"	""	""	""	""	"93"	""	""	""	""	""	""	"5"	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	""	"4"	""	""	""	""	""	""	"13"	""	""	""	""	""	"345"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"345"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"47"	"25"	"133"	""	"20"	""	""	"2"	""	""	""	"4"	""	""	""	""	"5"	""	""	""	""	"8"	""	""	""	""	"232"	""	""	""	""	""	""	"2"	""	""	""	""	""	"8"	""	""	""	""	""	""	"2"	""	""	""	""	""	"6"	""	""	""	""	""	"3"	""	""	""	""	""	"3"	""	""	""	""	""	""	"10"	""	""	""	""	""	"438"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"438"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
