"ernku..dsUnz.dh..la..k"	"fuEufyf.kr..vH.fFkZ.ks..ds..Ik.k..esa..fn...x...fof.kekU...erksa..dh..la..k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"18"	"ernku  dsUnz dh  la[;k"	"fuEufyf[kr  vH;fFkZ;ks  ds  Ik{k  esa  fn,  x,  fof/kekU;  erksa  dh  la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"19"	""	"ujs'k izlkn  lkg"	"latho  dqekj  >k"	"lq;Z  ukjk;.k ;kno"	"vkyksd  feJ"	"y{eh ukjk;.k 'kekZ"	"'kadj  izlkn  Vsdjhoky"	"vPNks  jke"	"fueZy  feJ"	"fctsUnz  dqekj  ;kno"	"jes'k dqekj  'kekZ"	"fojsUnz  ;kno"	"fl;k 'kj.k 'kekZ"	"dqy  fof/kekU;  er"	"fufonr  erks  dh  la[;k"	"izfr{ksfir  eri=ksa  dh  la-"	"dqy  fof/kekU;  ,oa  izfr{ksfir erks  dh  la[;k"
"20"	"ROUND -II"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"21"	"B.F.->"	"158"	"1699"	"1299"	"409"	"75"	"1174"	"96"	"80"	"582"	"38"	"78"	"119"	"5807"	"0"	"0"	"5807"
"22"	"15"	"15"	"93"	"135"	"9"	"0"	"21"	"3"	"2"	"4"	"4"	"9"	"18"	"313"	""	""	"313"
"23"	"16"	"28"	"171"	"73"	"15"	"11"	"196"	"14"	"7"	"13"	"9"	"1"	"22"	"560"	""	""	"560"
"24"	"17"	"6"	"75"	"71"	"25"	"15"	"41"	"7"	"3"	"10"	"9"	"2"	"53"	"317"	""	""	"317"
"25"	"18"	"19"	"168"	"49"	"24"	"1"	"30"	"0"	"0"	"5"	"1"	"1"	"3"	"301"	""	""	"301"
"26"	"19"	"7"	"221"	"10"	"15"	"1"	"22"	"0"	"1"	"4"	"1"	"5"	"5"	"292"	""	""	"292"
"27"	"20"	"17"	"216"	"45"	"14"	"8"	"33"	"10"	"4"	"7"	"2"	"15"	"79"	"450"	""	""	"450"
"28"	"21"	"2"	"270"	"59"	"10"	"0"	"41"	"7"	"2"	"24"	"1"	"5"	"5"	"426"	""	""	"426"
"29"	"22"	"14"	"5"	"36"	"15"	"9"	"8"	"7"	"5"	"352"	"12"	"7"	"20"	"490"	""	""	"490"
"30"	"23"	"10"	"28"	"121"	"26"	"8"	"34"	"16"	"9"	"311"	"7"	"9"	"23"	"602"	""	""	"602"
"31"	"24"	"10"	"12"	"63"	"15"	"10"	"9"	"2"	"4"	"223"	"5"	"0"	"5"	"358"	""	""	"358"
"32"	"25"	"12"	"11"	"334"	"26"	"10"	"5"	"5"	"1"	"99"	"2"	"3"	"6"	"514"	""	""	"514"
"33"	"26"	"12"	"121"	"224"	"47"	"16"	"19"	"12"	"6"	"196"	"19"	"2"	"84"	"758"	""	""	"758"
"34"	"27"	"41"	"147"	"140"	"13"	"19"	"218"	"29"	"12"	"17"	"11"	"10"	"17"	"674"	""	""	"674"
"35"	"28"	"9"	"212"	"45"	"36"	"5"	"131"	"10"	"7"	"8"	"11"	"14"	"28"	"516"	""	""	"516"
"36"	"Round Total"	"202"	"1750"	"1405"	"290"	"113"	"808"	"122"	"63"	"1273"	"94"	"83"	"368"	"6571"	"0"	"0"	"6571"
"37"	"C.F.->"	"360"	"3449"	"2704"	"699"	"188"	"1982"	"218"	"143"	"1855"	"132"	"161"	"487"	"12378"	"0"	"0"	"12378"
"38"	"ernku  dsUnz dh  la[;k"	"fuEufyf[kr  vH;fFkZ;ks  ds  Ik{k  esa  fn,  x,  fof/kekU;  erksa  dh  la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"39"	""	"ujs'k izlkn  lkg"	"latho  dqekj  >k"	"lq;Z  ukjk;.k ;kno"	"vkyksd  feJ"	"y{eh ukjk;.k 'kekZ"	"'kadj  izlkn  Vsdjhoky"	"vPNks  jke"	"fueZy  feJ"	"fctsUnz  dqekj  ;kno"	"jes'k dqekj  'kekZ"	"fojsUnz  ;kno"	"fl;k 'kj.k 'kekZ"	"dqy  fof/kekU;  er"	"fufonr  erks  dh  la[;k"	"izfr{ksfir  eri=ksa  dh  la-"	"dqy  fof/kekU;  ,oa  izfr{ksfir erks  dh  la[;k"
"40"	"ROUND- III"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"41"	"B.F.->"	"360"	"3449"	"2704"	"699"	"188"	"1982"	"218"	"143"	"1855"	"132"	"161"	"487"	"12378"	"0"	"0"	"12378"
"42"	"29"	"17"	"196"	"37"	"17"	"6"	"192"	"15"	"8"	"20"	"5"	"13"	"16"	"542"	""	""	"542"
"43"	"30"	"14"	"275"	"38"	"8"	"4"	"97"	"8"	"1"	"5"	"5"	"15"	"16"	"486"	""	""	"486"
"44"	"31"	"3"	"11"	"635"	"46"	"5"	"43"	"6"	"6"	"78"	"13"	"4"	"11"	"861"	""	""	"861"
"45"	"32"	"6"	"18"	"199"	"32"	"6"	"11"	"8"	"2"	"14"	"27"	"4"	"19"	"346"	""	""	"346"
"46"	"33"	"0"	"9"	"518"	"5"	"0"	"12"	"3"	"1"	"178"	"2"	"0"	"3"	"731"	""	""	"731"
"47"	"34"	"9"	"17"	"319"	"8"	"5"	"11"	"4"	"3"	"62"	"0"	"1"	"18"	"457"	""	""	"457"
"48"	"35"	"4"	"13"	"182"	"9"	"7"	"9"	"6"	"2"	"24"	"1"	"4"	"35"	"296"	""	""	"296"
"49"	"36"	"1"	"3"	"500"	"1"	"0"	"31"	"3"	"0"	"16"	"2"	"1"	"0"	"558"	""	""	"558"
"50"	"37"	"1"	"4"	"362"	"2"	"0"	"21"	"0"	"1"	"7"	"1"	"0"	"2"	"401"	""	""	"401"
"51"	"38"	"67"	"107"	"19"	"23"	"7"	"298"	"14"	"10"	"15"	"8"	"10"	"27"	"605"	""	""	"605"
"52"	"39"	"25"	"330"	"32"	"19"	"5"	"28"	"5"	"8"	"2"	"6"	"15"	"18"	"493"	""	""	"493"
"53"	"40"	"22"	"302"	"25"	"17"	"0"	"32"	"2"	"3"	"1"	"3"	"5"	"7"	"419"	""	""	"419"
"54"	"41"	"2"	"111"	"26"	"63"	"16"	"160"	"7"	"9"	"8"	"8"	"13"	"19"	"442"	""	""	"442"
"55"	"42"	"9"	"7"	"69"	"35"	"4"	"177"	"8"	"6"	"4"	"2"	"3"	"6"	"330"	""	""	"330"
"56"	"Round Total"	"180"	"1403"	"2961"	"285"	"65"	"1122"	"89"	"60"	"434"	"83"	"88"	"197"	"6967"	"0"	"0"	"6967"
"57"	"C.F.->"	"540"	"4852"	"5665"	"984"	"253"	"3104"	"307"	"203"	"2289"	"215"	"249"	"684"	"19345"	"0"	"0"	"19345"
"58"	"ernku  dsUnz dh  la[;k"	"fuEufyf[kr  vH;fFkZ;ks  ds  Ik{k  esa  fn,  x,  fof/kekU;  erksa  dh  la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"59"	""	"ujs'k izlkn  lkg"	"latho  dqekj  >k"	"lq;Z  ukjk;.k ;kno"	"vkyksd  feJ"	"y{eh ukjk;.k 'kekZ"	"'kadj  izlkn  Vsdjhoky"	"vPNks  jke"	"fueZy  feJ"	"fctsUnz  dqekj  ;kno"	"jes'k dqekj  'kekZ"	"fojsUnz  ;kno"	"fl;k 'kj.k 'kekZ"	"dqy  fof/kekU;  er"	"fufonr  erks  dh  la[;k"	"izfr{ksfir  eri=ksa  dh  la-"	"dqy  fof/kekU;  ,oa  izfr{ksfir erks  dh  la[;k"
"60"	"ROUND -IV"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"61"	"B.F.->"	"540"	"4852"	"5665"	"984"	"253"	"3104"	"307"	"203"	"2289"	"215"	"249"	"684"	"19345"	"0"	"0"	"19345"
"62"	"43"	"9"	"73"	"251"	"85"	"2"	"28"	"11"	"7"	"76"	"5"	"7"	"27"	"581"	""	""	"581"
"63"	"44"	"7"	"431"	"51"	"2"	"3"	"77"	"3"	"0"	"2"	"4"	"3"	"6"	"589"	""	""	"589"
"64"	"45"	"0"	"20"	"3"	"1"	"0"	"477"	"0"	"0"	"0"	"0"	"0"	"0"	"501"	""	""	"501"
"65"	"46"	"9"	"126"	"239"	"5"	"6"	"153"	"4"	"4"	"0"	"5"	"1"	"5"	"557"	""	""	"557"
"66"	"47"	"15"	"247"	"232"	"44"	"9"	"133"	"14"	"7"	"4"	"1"	"6"	"3"	"715"	""	""	"715"
"67"	"48"	"5"	"98"	"174"	"18"	"3"	"54"	"4"	"2"	"1"	"3"	"0"	"5"	"367"	""	""	"367"
"68"	"49"	"5"	"246"	"30"	"3"	"1"	"34"	"3"	"1"	"2"	"2"	"3"	"6"	"336"	""	""	"336"
"69"	"50"	"20"	"166"	"221"	"13"	"1"	"80"	"12"	"1"	"8"	"1"	"1"	"2"	"526"	""	""	"526"
"70"	"51"	"21"	"102"	"140"	"6"	"10"	"198"	"11"	"7"	"7"	"5"	"4"	"8"	"519"	""	""	"519"
"71"	"52"	"31"	"230"	"104"	"7"	"10"	"97"	"13"	"5"	"6"	"3"	"3"	"15"	"524"	""	""	"524"
"72"	"53"	"2"	"205"	"20"	"4"	"1"	"51"	"2"	"0"	"3"	"0"	"7"	"3"	"298"	""	""	"298"
"73"	"54"	"61"	"198"	"281"	"26"	"4"	"87"	"18"	"11"	"37"	"11"	"6"	"15"	"755"	""	""	"755"
"74"	"55"	"4"	"53"	"241"	"31"	"2"	"88"	"4"	"1"	"14"	"1"	"0"	"0"	"439"	""	""	"439"
"75"	"56"	"22"	"12"	"32"	"91"	"5"	"2"	"15"	"4"	"14"	"3"	"8"	"11"	"219"	""	""	"219"
"76"	"Round Total"	"211"	"2207"	"2019"	"336"	"57"	"1559"	"114"	"50"	"174"	"44"	"49"	"106"	"6926"	"0"	"0"	"6926"
"77"	"C.F.->"	"751"	"7059"	"7684"	"1320"	"310"	"4663"	"421"	"253"	"2463"	"259"	"298"	"790"	"26271"	"0"	"0"	"26271"
"78"	"ernku  dsUnz dh  la[;k"	"fuEufyf[kr  vH;fFkZ;ks  ds  Ik{k  esa  fn,  x,  fof/kekU;  erksa  dh  la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"79"	""	"ujs'k izlkn  lkg"	"latho  dqekj  >k"	"lq;Z  ukjk;.k ;kno"	"vkyksd  feJ"	"y{eh ukjk;.k 'kekZ"	"'kadj  izlkn  Vsdjhoky"	"vPNks  jke"	"fueZy  feJ"	"fctsUnz  dqekj  ;kno"	"jes'k dqekj  'kekZ"	"fojsUnz  ;kno"	"fl;k 'kj.k 'kekZ"	"dqy  fof/kekU;  er"	"fufonr  erks  dh  la[;k"	"izfr{ksfir  eri=ksa  dh  la-"	"dqy  fof/kekU;  ,oa  izfr{ksfir erks  dh  la[;k"
"80"	"ROUND- V"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"81"	"B.F.->"	"751"	"7059"	"7684"	"1320"	"310"	"4663"	"421"	"253"	"2463"	"259"	"298"	"790"	"26271"	"0"	"0"	"26271"
"82"	"57"	"1"	"695"	"28"	"21"	"0"	"2"	"1"	"0"	"5"	"0"	"0"	"0"	"753"	""	""	"753"
"83"	"58"	"5"	"8"	"359"	"8"	"1"	"1"	"1"	"1"	"21"	"14"	"5"	"7"	"431"	""	""	"431"
"84"	"59"	"17"	"38"	"219"	"85"	"13"	"24"	"15"	"15"	"38"	"9"	"10"	"20"	"503"	""	""	"503"
"85"	"60"	"11"	"17"	"351"	"38"	"5"	"117"	"4"	"3"	"22"	"0"	"6"	"0"	"574"	""	""	"574"
"86"	"61"	"27"	"27"	"291"	"16"	"3"	"48"	"8"	"2"	"67"	"43"	"4"	"7"	"543"	""	""	"543"
"87"	"62"	"8"	"17"	"335"	"12"	"6"	"68"	"10"	"7"	"31"	"5"	"3"	"10"	"512"	""	""	"512"
"88"	"63"	"0"	"10"	"637"	"2"	"3"	"7"	"0"	"0"	"18"	"3"	"0"	"0"	"680"	""	""	"680"
"89"	"64"	"1"	"9"	"602"	"11"	"0"	"24"	"1"	"0"	"10"	"1"	"0"	"3"	"662"	""	""	"662"
"90"	"65"	"22"	"33"	"124"	"21"	"3"	"314"	"15"	"2"	"14"	"8"	"3"	"10"	"569"	""	""	"569"
"91"	"66"	"7"	"14"	"276"	"8"	"5"	"177"	"8"	"3"	"22"	"14"	"3"	"22"	"559"	""	""	"559"
"92"	"67"	"6"	"14"	"25"	"34"	"3"	"218"	"10"	"6"	"2"	"6"	"6"	"9"	"339"	""	""	"339"
"93"	"68"	"24"	"81"	"288"	"90"	"6"	"58"	"24"	"9"	"21"	"8"	"11"	"20"	"640"	""	""	"640"
"94"	"69"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	"0"
"95"	"70"	"16"	"79"	"404"	"18"	"1"	"24"	"2"	"2"	"27"	"3"	"5"	"4"	"585"	""	""	"585"
"96"	"Round Total"	"145"	"1042"	"3939"	"364"	"49"	"1082"	"99"	"50"	"298"	"114"	"56"	"112"	"7350"	"0"	"0"	"7350"
"97"	"C.F.->"	"896"	"8101"	"11623"	"1684"	"359"	"5745"	"520"	"303"	"2761"	"373"	"354"	"902"	"33621"	"0"	"0"	"33621"
"98"	"ernku  dsUnz dh  la[;k"	"fuEufyf[kr  vH;fFkZ;ks  ds  Ik{k  esa  fn,  x,  fof/kekU;  erksa  dh  la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"99"	""	"ujs'k izlkn  lkg"	"latho  dqekj  >k"	"lq;Z  ukjk;.k ;kno"	"vkyksd  feJ"	"y{eh ukjk;.k 'kekZ"	"'kadj  izlkn  Vsdjhoky"	"vPNks  jke"	"fueZy  feJ"	"fctsUnz  dqekj  ;kno"	"jes'k dqekj  'kekZ"	"fojsUnz  ;kno"	"fl;k 'kj.k 'kekZ"	"dqy  fof/kekU;  er"	"fufonr  erks  dh  la[;k"	"izfr{ksfir  eri=ksa  dh  la-"	"dqy  fof/kekU;  ,oa  izfr{ksfir erks  dh  la[;k"
"100"	"ROUND -VI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"101"	"B.F.->"	"896"	"8101"	"11623"	"1684"	"359"	"5745"	"520"	"303"	"2761"	"373"	"354"	"902"	"33621"	"0"	"0"	"33621"
"102"	"71"	"1"	"17"	"458"	"1"	"0"	"61"	"0"	"0"	"26"	"0"	"1"	"0"	"565"	""	""	"565"
"103"	"72"	"13"	"45"	"696"	"11"	"17"	"60"	"8"	"7"	"55"	"2"	"5"	"3"	"922"	""	""	"922"
"104"	"73"	"8"	"9"	"383"	"9"	"1"	"74"	"7"	"2"	"74"	"1"	"1"	"2"	"571"	""	""	"571"
"105"	"74"	"2"	"18"	"499"	"19"	"4"	"31"	"6"	"4"	"31"	"3"	"3"	"6"	"626"	""	""	"626"
"106"	"75"	"0"	"13"	"613"	"0"	"0"	"5"	"0"	"0"	"20"	"0"	"0"	"0"	"651"	""	""	"651"
"107"	"76"	"18"	"132"	"22"	"37"	"4"	"235"	"5"	"7"	"6"	"6"	"13"	"16"	"501"	""	""	"501"
"108"	"77"	"12"	"196"	"37"	"5"	"3"	"111"	"4"	"0"	"5"	"0"	"6"	"6"	"385"	""	""	"385"
"109"	"78"	"34"	"227"	"98"	"15"	"2"	"140"	"5"	"7"	"9"	"6"	"17"	"10"	"570"	""	""	"570"
"110"	"79"	"7"	"64"	"37"	"8"	"6"	"561"	"5"	"1"	"5"	"0"	"1"	"3"	"698"	""	""	"698"
"111"	"80"	"19"	"192"	"57"	"41"	"9"	"123"	"6"	"12"	"19"	"6"	"6"	"13"	"503"	""	""	"503"
"112"	"81"	"34"	"230"	"30"	"25"	"7"	"273"	"10"	"9"	"11"	"6"	"20"	"33"	"688"	""	""	"688"
"113"	"82"	"27"	"192"	"157"	"11"	"2"	"45"	"7"	"4"	"6"	"11"	"6"	"15"	"483"	""	""	"483"
"114"	"83"	"47"	"100"	"337"	"88"	"15"	"213"	"23"	"15"	"17"	"16"	"14"	"28"	"913"	""	""	"913"
"115"	"84"	"33"	"248"	"266"	"44"	"6"	"139"	"5"	"1"	"5"	"11"	"5"	"23"	"786"	""	""	"786"
"116"	"Round Total"	"255"	"1683"	"3690"	"314"	"76"	"2071"	"91"	"69"	"289"	"68"	"98"	"158"	"8862"	"0"	"0"	"8862"
"117"	"C.F.->"	"1151"	"9784"	"15313"	"1998"	"435"	"7816"	"611"	"372"	"3050"	"441"	"452"	"1060"	"42483"	"0"	"0"	"42483"
"118"	"ernku  dsUnz dh  la[;k"	"fuEufyf[kr  vH;fFkZ;ks  ds  Ik{k  esa  fn,  x,  fof/kekU;  erksa  dh  la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"119"	""	"ujs'k izlkn  lkg"	"latho  dqekj  >k"	"lq;Z  ukjk;.k ;kno"	"vkyksd  feJ"	"y{eh ukjk;.k 'kekZ"	"'kadj  izlkn  Vsdjhoky"	"vPNks  jke"	"fueZy  feJ"	"fctsUnz  dqekj  ;kno"	"jes'k dqekj  'kekZ"	"fojsUnz  ;kno"	"fl;k 'kj.k 'kekZ"	"dqy  fof/kekU;  er"	"fufonr  erks  dh  la[;k"	"izfr{ksfir  eri=ksa  dh  la-"	"dqy  fof/kekU;  ,oa  izfr{ksfir erks  dh  la[;k"
"120"	"ROUND- VII"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"121"	"B.F.->"	"1151"	"9784"	"15313"	"1998"	"435"	"7816"	"611"	"372"	"3050"	"441"	"452"	"1060"	"42483"	"0"	"0"	"42483"
"122"	"85"	"36"	"192"	"90"	"8"	"4"	"60"	"3"	"1"	"12"	"0"	"2"	"3"	"411"	""	""	"411"
"123"	"86"	"13"	"143"	"48"	"3"	"2"	"26"	"3"	"2"	"8"	"5"	"11"	"14"	"278"	""	""	"278"
"124"	"87"	"3"	"22"	"31"	"7"	"5"	"294"	"7"	"1"	"1"	"1"	"0"	"1"	"373"	""	""	"373"
"125"	"88"	"2"	"7"	"662"	"9"	"0"	"73"	"1"	"0"	"3"	"0"	"0"	"0"	"757"	""	""	"757"
"126"	"89"	"16"	"142"	"134"	"13"	"1"	"47"	"5"	"3"	"15"	"4"	"1"	"3"	"384"	""	""	"384"
"127"	"90"	"17"	"42"	"247"	"12"	"3"	"19"	"6"	"2"	"6"	"1"	"0"	"2"	"357"	""	""	"357"
"128"	"91"	"7"	"65"	"61"	"19"	"3"	"59"	"1"	"0"	"0"	"2"	"0"	"1"	"218"	""	""	"218"
"129"	"92"	"3"	"130"	"177"	"3"	"1"	"92"	"2"	"1"	"26"	"2"	"4"	"8"	"449"	""	""	"449"
"130"	"93"	"23"	"101"	"285"	"16"	"3"	"108"	"4"	"4"	"12"	"3"	"6"	"6"	"571"	""	""	"571"
"131"	"94"	"2"	"3"	"494"	"11"	"0"	"8"	"3"	"2"	"34"	"1"	"3"	"0"	"561"	""	""	"561"
"132"	"95"	"3"	"19"	"541"	"4"	"0"	"36"	"1"	"1"	"19"	"0"	"0"	"1"	"625"	""	""	"625"
"133"	"96"	"8"	"636"	"106"	"12"	"0"	"4"	"0"	"1"	"6"	"2"	"5"	"10"	"790"	""	""	"790"
"134"	"97"	"43"	"75"	"173"	"13"	"8"	"147"	"2"	"3"	"4"	"8"	"11"	"14"	"501"	""	""	"501"
"135"	"98"	"1"	"7"	"12"	"2"	"2"	"206"	"3"	"2"	"0"	"2"	"3"	"4"	"244"	""	""	"244"
"136"	"Round Total"	"177"	"1584"	"3061"	"132"	"32"	"1179"	"41"	"23"	"146"	"31"	"46"	"67"	"6519"	"0"	"0"	"6519"
"137"	"C.F.->"	"1328"	"11368"	"18374"	"2130"	"467"	"8995"	"652"	"395"	"3196"	"472"	"498"	"1127"	"49002"	"0"	"0"	"49002"
"138"	"ernku  dsUnz dh  la[;k"	"fuEufyf[kr  vH;fFkZ;ks  ds  Ik{k  esa  fn,  x,  fof/kekU;  erksa  dh  la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"139"	""	"ujs'k izlkn  lkg"	"latho  dqekj  >k"	"lq;Z  ukjk;.k ;kno"	"vkyksd  feJ"	"y{eh ukjk;.k 'kekZ"	"'kadj  izlkn  Vsdjhoky"	"vPNks  jke"	"fueZy  feJ"	"fctsUnz  dqekj  ;kno"	"jes'k dqekj  'kekZ"	"fojsUnz  ;kno"	"fl;k 'kj.k 'kekZ"	"dqy  fof/kekU;  er"	"fufonr  erks  dh  la[;k"	"izfr{ksfir  eri=ksa  dh  la-"	"dqy  fof/kekU;  ,oa  izfr{ksfir erks  dh  la[;k"
"140"	"ROUND -VIII"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"141"	"B.F.->"	"1328"	"11368"	"18374"	"2130"	"467"	"8995"	"652"	"395"	"3196"	"472"	"498"	"1127"	"49002"	"0"	"0"	"49002"
"142"	"99"	"13"	"811"	"45"	"22"	"2"	"33"	"4"	"2"	"0"	"1"	"0"	"2"	"935"	""	""	"935"
"143"	"100"	"5"	"842"	"8"	"1"	"0"	"39"	"2"	"3"	"1"	"1"	"7"	"12"	"921"	""	""	"921"
"144"	"101"	"5"	"650"	"8"	"6"	"1"	"14"	"1"	"4"	"1"	"0"	"1"	"3"	"694"	""	""	"694"
"145"	"102"	"2"	"775"	"15"	"4"	"0"	"16"	"1"	"3"	"0"	"0"	"5"	"4"	"825"	""	""	"825"
"146"	"103"	"4"	"961"	"21"	"7"	"1"	"24"	"2"	"1"	"2"	"1"	"0"	"0"	"1024"	""	""	"1024"
"147"	"104"	"2"	"966"	"28"	"10"	"0"	"28"	"1"	"2"	"4"	"2"	"1"	"7"	"1051"	""	""	"1051"
"148"	"105"	"1"	"493"	"10"	"9"	"0"	"13"	"2"	"1"	"1"	"1"	"1"	"0"	"532"	""	""	"532"
"149"	"106"	"7"	"476"	"14"	"4"	"0"	"3"	"3"	"2"	"1"	"0"	"6"	"5"	"521"	""	""	"521"
"150"	"107"	"2"	"462"	"6"	"13"	"0"	"21"	"1"	"2"	"0"	"0"	"2"	"2"	"511"	""	""	"511"
"151"	"108"	"0"	"511"	"2"	"8"	"0"	"2"	"2"	"11"	"0"	"1"	"0"	"0"	"537"	""	""	"537"
"152"	"109"	"1"	"408"	"12"	"3"	"0"	"23"	"1"	"1"	"0"	"0"	"0"	"0"	"449"	""	""	"449"
"153"	"110"	"21"	"346"	"123"	"20"	"3"	"59"	"4"	"7"	"7"	"10"	"6"	"11"	"617"	""	""	"617"
"154"	"111"	"18"	"175"	"83"	"21"	"3"	"92"	"2"	"1"	"3"	"1"	"2"	"1"	"402"	""	""	"402"
"155"	"112"	"5"	"77"	"62"	"30"	"3"	"182"	"7"	"13"	"7"	"7"	"12"	"30"	"435"	""	""	"435"
"156"	"Round Total"	"86"	"7953"	"437"	"158"	"13"	"549"	"33"	"53"	"27"	"25"	"43"	"77"	"9454"	"0"	"0"	"9454"
"157"	"C.F.->"	"1414"	"19321"	"18811"	"2288"	"480"	"9544"	"685"	"448"	"3223"	"497"	"541"	"1204"	"58456"	"0"	"0"	"58456"
"158"	"ernku  dsUnz dh  la[;k"	"fuEufyf[kr  vH;fFkZ;ks  ds  Ik{k  esa  fn,  x,  fof/kekU;  erksa  dh  la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"159"	""	"ujs'k izlkn  lkg"	"latho  dqekj  >k"	"lq;Z  ukjk;.k ;kno"	"vkyksd  feJ"	"y{eh ukjk;.k 'kekZ"	"'kadj  izlkn  Vsdjhoky"	"vPNks  jke"	"fueZy  feJ"	"fctsUnz  dqekj  ;kno"	"jes'k dqekj  'kekZ"	"fojsUnz  ;kno"	"fl;k 'kj.k 'kekZ"	"dqy  fof/kekU;  er"	"fufonr  erks  dh  la[;k"	"izfr{ksfir  eri=ksa  dh  la-"	"dqy  fof/kekU;  ,oa  izfr{ksfir erks  dh  la[;k"
"160"	"ROUND- IX"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"161"	"B.F.->"	"1414"	"19321"	"18811"	"2288"	"480"	"9544"	"685"	"448"	"3223"	"497"	"541"	"1204"	"58456"	"0"	"0"	"58456"
"162"	"113"	"11"	"105"	"59"	"9"	"5"	"179"	"6"	"3"	"3"	"3"	"4"	"8"	"395"	""	""	"395"
"163"	"114"	"20"	"37"	"162"	"120"	"21"	"120"	"34"	"26"	"15"	"41"	"11"	"38"	"645"	""	""	"645"
