"FORM...20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"
"11"	"4"	"22"	"46"	""	"6"	""	"97"	""	"149"	""	""	"6"	""	""	"1"	""	"2"	""	""	"2"	""	""	"6"	""	""	"0"	""	"7"	""	""	"8"	""	"24"	""	""	"376"	"0"	""	""	"376"	""	""	"0"	""	""	""	""
"12"	"5"	"18"	"144"	""	"5"	""	"10"	""	"284"	""	""	"9"	""	""	"1"	""	"2"	""	""	"4"	""	""	"4"	""	""	"1"	""	"2"	""	""	"3"	""	"4"	""	""	"491"	"0"	""	""	"491"	""	""	"0"	""	""	""	""
"13"	"6"	"21"	"208"	""	"4"	""	"6"	""	"271"	""	""	"14"	""	""	"4"	""	"6"	""	""	"3"	""	""	"4"	""	""	"6"	""	"7"	""	""	"4"	""	"30"	""	""	"588"	"0"	""	""	"588"	""	""	"0"	""	""	""	""
"14"	"7"	"23"	"133"	""	"8"	""	"15"	""	"329"	""	""	"7"	""	""	"3"	""	"4"	""	""	"4"	""	""	"6"	""	""	"7"	""	"4"	""	""	"3"	""	"9"	""	""	"555"	"0"	""	""	"555"	""	""	"0"	""	""	""	""
"15"	"8"	"21"	"195"	""	"7"	""	"25"	""	"129"	""	""	"1"	""	""	"0"	""	"4"	""	""	"1"	""	""	"2"	""	""	"1"	""	"1"	""	""	"3"	""	"6"	""	""	"396"	"0"	""	""	"396"	""	""	"0"	""	""	""	""
"16"	"9"	"14"	"50"	""	"15"	""	"13"	""	"252"	""	""	"8"	""	""	"4"	""	"6"	""	""	"8"	""	""	"8"	""	""	"6"	""	"7"	""	""	"10"	""	"16"	""	""	"417"	"0"	""	""	"417"	""	""	"0"	""	""	""	""
"17"	"10"	"42"	"180"	""	"13"	""	"26"	""	"452"	""	""	"14"	""	""	"9"	""	"13"	""	""	"8"	""	""	"8"	""	""	"8"	""	"6"	""	""	"12"	""	"16"	""	""	"807"	"0"	""	""	"807"	""	""	"0"	""	""	""	""
"18"	"11"	"75"	"63"	""	"12"	""	"25"	""	"414"	""	""	"14"	""	""	"6"	""	"17"	""	""	"10"	""	""	"16"	""	""	"10"	""	"8"	""	""	"11"	""	"18"	""	""	"699"	"0"	""	""	"699"	""	""	"0"	""	""	""	""
"19"	"12"	"23"	"160"	""	"11"	""	"19"	""	"346"	""	""	"21"	""	""	"4"	""	"14"	""	""	"12"	""	""	"6"	""	""	"4"	""	"8"	""	""	"28"	""	"58"	""	""	"714"	"0"	""	""	"714"	""	""	"0"	""	""	""	""
"20"	"13"	"7"	"335"	""	"7"	""	"17"	""	"319"	""	""	"8"	""	""	"1"	""	"2"	""	""	"2"	""	""	"2"	""	""	"1"	""	"2"	""	""	"4"	""	"9"	""	""	"716"	"0"	""	""	"716"	""	""	"0"	""	""	""	""
"21"	"14"	"29"	"209"	""	"11"	""	"3"	""	"339"	""	""	"8"	""	""	"3"	""	"16"	""	""	"1"	""	""	"5"	""	""	"4"	""	"7"	""	""	"2"	""	"15"	""	""	"652"	"0"	""	""	"652"	""	""	"0"	""	""	""	""
"22"	"FORM - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"23"	"[See rule 56(7)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"24"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"(To be used for recording the result of voting at polling stations other than notified polling stations)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	"Election to the Legislative assembly from the 140-KORHA constituency.                               Part - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"(To be used both for Parliamentary and Assembly elections                                                            Total No. of Electors in Assembly constituency/Segment ............. Name of the Assembly segment(in the case of election from a parliamentary constituency) ............................."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"No. of rejected votes"	""	""	"TOTAL"	""	""	"No. of tendered Votes"	""	""	""	""
"29"	""	"MANOJ KUMAR"	"MAHESH PASWAN"	""	"SANJAY RISHI"	""	"SITA RAM DAS"	""	"SUNITA DEVI"	""	""	"AITWARI RAVIDAS"	""	""	"GANESH DAS"	""	"WAKIL DAS"	""	""	"SURESH RAM"	""	""	"GAYA PRASAD SINGH"	""	""	"CHANDRA MOHAN PASWAN"	""	"PREM KISHORE PASWAN"	""	""	"MITHILESH DAS"	""	"RAGHUNANDAN RISHI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"30"	"15"	"10"	"20"	""	"1"	""	"66"	""	"459"	""	""	"13"	""	""	"2"	""	"4"	""	""	"1"	""	""	"2"	""	""	"2"	""	"1"	""	""	"1"	""	"5"	""	""	"587"	"0"	""	""	"587"	""	""	""	""	""	""	""
"31"	"16"	"11"	"114"	""	"10"	""	"49"	""	"378"	""	""	"17"	""	""	"6"	""	"1"	""	""	"5"	""	""	"8"	""	""	"6"	""	"4"	""	""	"3"	""	"16"	""	""	"628"	""	""	""	"628"	""	""	""	""	""	""	""
"32"	"17"	"26"	"138"	""	"3"	""	"31"	""	"416"	""	""	"7"	""	""	"4"	""	"15"	""	""	"4"	""	""	"4"	""	""	"2"	""	"7"	""	""	"4"	""	"14"	""	""	"675"	""	""	""	"675"	""	""	""	""	""	""	""
"33"	"18"	"20"	"143"	""	"4"	""	"60"	""	"264"	""	""	"11"	""	""	"3"	""	"37"	""	""	"1"	""	""	"11"	""	""	"3"	""	"4"	""	""	"10"	""	"8"	""	""	"579"	""	""	""	"579"	""	""	""	""	""	""	""
"34"	"19"	"15"	"249"	""	"8"	""	"45"	""	"282"	""	""	"7"	""	""	"3"	""	"9"	""	""	"3"	""	""	"3"	""	""	"1"	""	"3"	""	""	"3"	""	"8"	""	""	"639"	""	""	""	"639"	""	""	""	""	""	""	""
"35"	"20"	"25"	"36"	""	"4"	""	"44"	""	"673"	""	""	"28"	""	""	"3"	""	"5"	""	""	"2"	""	""	"4"	""	""	"4"	""	"6"	""	""	"5"	""	"12"	""	""	"851"	""	""	""	"851"	""	""	""	""	""	""	""
"36"	"21"	"18"	"69"	""	"1"	""	"53"	""	"377"	""	""	"13"	""	""	"1"	""	"0"	""	""	"1"	""	""	"5"	""	""	"1"	""	"5"	""	""	"5"	""	"10"	""	""	"559"	""	""	""	"559"	""	""	""	""	""	""	""
"37"	"22"	"23"	"200"	""	"6"	""	"7"	""	"129"	""	""	"5"	""	""	"9"	""	"53"	""	""	"6"	""	""	"6"	""	""	"1"	""	"5"	""	""	"6"	""	"16"	""	""	"472"	""	""	""	"472"	""	""	""	""	""	""	""
"38"	"23"	"41"	"349"	""	"10"	""	"13"	""	"194"	""	""	"5"	""	""	"4"	""	"16"	""	""	"4"	""	""	"1"	""	""	"2"	""	"4"	""	""	"6"	""	"12"	""	""	"661"	""	""	""	"661"	""	""	""	""	""	""	""
"39"	"24"	"15"	"27"	""	"6"	""	"28"	""	"435"	""	""	"18"	""	""	"16"	""	"1"	""	""	"4"	""	""	"4"	""	""	"6"	""	"6"	""	""	"2"	""	"20"	""	""	"588"	""	""	""	"588"	""	""	""	""	""	""	""
"40"	"25"	"17"	"34"	""	"0"	""	"0"	""	"70"	""	""	"4"	""	""	"2"	""	"5"	""	""	"0"	""	""	"1"	""	""	"0"	""	"1"	""	""	"1"	""	"3"	""	""	"138"	""	""	""	"138"	""	""	""	""	""	""	""
"41"	"26"	"13"	"140"	""	"5"	""	"33"	""	"341"	""	""	"9"	""	""	"5"	""	"9"	""	""	"1"	""	""	"3"	""	""	"2"	""	"8"	""	""	"4"	""	"18"	""	""	"591"	""	""	""	"591"	""	""	""	""	""	""	""
"42"	"27"	"23"	"414"	""	"9"	""	"32"	""	"78"	""	""	"7"	""	""	"5"	""	"7"	""	""	"3"	""	""	"1"	""	""	"0"	""	"1"	""	""	"4"	""	"12"	""	""	"596"	""	""	""	"596"	""	""	""	""	""	""	""
"43"	"28"	"21"	"120"	""	"190"	""	"44"	""	"61"	""	""	"1"	""	""	"5"	""	"3"	""	""	"1"	""	""	"6"	""	""	"1"	""	"3"	""	""	"1"	""	"7"	""	""	"464"	""	""	""	"464"	""	""	""	""	""	""	""
"44"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"No. of rejected votes"	""	""	"TOTAL"	""	""	"No. of tendered Votes"	""	""	""	""
"45"	""	"MANOJ KUMAR"	"MAHESH PASWAN"	""	"SANJAY RISHI"	""	"SITA RAM DAS"	""	"SUNITA DEVI"	""	""	"AITWARI RAVIDAS"	""	""	"GANESH DAS"	""	"WAKIL DAS"	""	""	"SURESH RAM"	""	""	"GAYA PRASAD SINGH"	""	""	"CHANDRA MOHAN PASWAN"	""	"PREM KISHORE PASWAN"	""	""	"MITHILESH DAS"	""	"RAGHUNANDAN RISHI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"46"	"29"	"19"	"188"	""	"19"	""	"88"	""	"233"	""	""	"11"	""	""	"4"	""	"6"	""	""	"3"	""	""	"5"	""	""	"4"	""	"9"	""	""	"2"	""	"20"	""	""	"611"	"0"	""	""	"611"	""	""	""	""	""	""	""
"47"	"30"	"21"	"206"	""	"8"	""	"35"	""	"184"	""	""	"4"	""	""	"7"	""	"100"	""	""	"5"	""	""	"6"	""	""	"6"	""	"6"	""	""	"2"	""	"21"	""	""	"611"	""	""	""	"611"	""	""	""	""	""	""	""
"48"	"31"	"12"	"33"	""	"43"	""	"25"	""	"221"	""	""	"3"	""	""	"1"	""	"9"	""	""	"2"	""	""	"3"	""	""	"3"	""	"7"	""	""	"7"	""	"20"	""	""	"389"	""	""	""	"389"	""	""	""	""	""	""	""
"49"	"32"	"23"	"165"	""	"8"	""	"17"	""	"238"	""	""	"3"	""	""	"6"	""	"14"	""	""	"2"	""	""	"4"	""	""	"1"	""	"2"	""	""	"5"	""	"3"	""	""	"491"	""	""	""	"491"	""	""	""	""	""	""	""
"50"	"33"	"18"	"16"	""	"6"	""	"14"	""	"486"	""	""	"19"	""	""	"3"	""	"12"	""	""	"11"	""	""	"15"	""	""	"10"	""	"15"	""	""	"17"	""	"24"	""	""	"666"	""	""	""	"666"	""	""	""	""	""	""	""
"51"	"34"	"9"	"75"	""	"3"	""	"166"	""	"273"	""	""	"10"	""	""	"4"	""	"45"	""	""	"3"	""	""	"7"	""	""	"6"	""	"6"	""	""	"9"	""	"18"	""	""	"634"	""	""	""	"634"	""	""	""	""	""	""	""
"52"	"35"	"20"	"65"	""	"8"	""	"30"	""	"396"	""	""	"13"	""	""	"7"	""	"7"	""	""	"6"	""	""	"4"	""	""	"3"	""	"3"	""	""	"2"	""	"15"	""	""	"579"	""	""	""	"579"	""	""	""	""	""	""	""
"53"	"36"	"24"	"54"	""	"28"	""	"61"	""	"514"	""	""	"16"	""	""	"1"	""	"74"	""	""	"10"	""	""	"10"	""	""	"9"	""	"3"	""	""	"15"	""	"30"	""	""	"849"	""	""	""	"849"	""	""	""	""	""	""	""
"54"	"37"	"14"	"81"	""	"3"	""	"12"	""	"536"	""	""	"17"	""	""	"2"	""	"6"	""	""	"8"	""	""	"12"	""	""	"2"	""	"6"	""	""	"6"	""	"20"	""	""	"725"	""	""	""	"725"	""	""	""	""	""	""	""
"55"	"38"	"21"	"256"	""	"9"	""	"6"	""	"201"	""	""	"5"	""	""	"2"	""	"3"	""	""	"3"	""	""	"2"	""	""	"1"	""	"3"	""	""	"2"	""	"20"	""	""	"534"	""	""	""	"534"	""	""	""	""	""	""	""
"56"	"39"	"21"	"484"	""	"12"	""	"15"	""	"383"	""	""	"12"	""	""	"3"	""	"6"	""	""	"3"	""	""	"6"	""	""	"3"	""	"6"	""	""	"6"	""	"19"	""	""	"979"	""	""	""	"979"	""	""	""	""	""	""	""
"57"	"40"	"46"	"367"	""	"23"	""	"12"	""	"99"	""	""	"8"	""	""	"2"	""	"12"	""	""	"4"	""	""	"4"	""	""	"3"	""	"7"	""	""	"11"	""	"30"	""	""	"628"	""	""	""	"628"	""	""	""	""	""	""	""
"58"	"41"	"8"	"75"	""	"1"	""	"5"	""	"150"	""	""	"2"	""	""	"0"	""	"4"	""	""	"0"	""	""	"2"	""	""	"0"	""	"1"	""	""	"1"	""	"8"	""	""	"257"	""	""	""	"257"	""	""	""	""	""	""	""
"59"	"42"	"50"	"112"	""	"6"	""	"122"	""	"306"	""	""	"14"	""	""	"8"	""	"27"	""	""	"5"	""	""	"14"	""	""	"12"	""	"6"	""	""	"10"	""	"17"	""	""	"709"	""	""	""	"709"	""	""	""	""	""	""	""
"60"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"No. of rejected votes"	""	""	"TOTAL"	""	""	"No. of tendered Votes"	""	""	""	""
"61"	""	"MANOJ KUMAR"	"MAHESH PASWAN"	""	"SANJAY RISHI"	""	"SITA RAM DAS"	""	"SUNITA DEVI"	""	""	"AITWARI RAVIDAS"	""	""	"GANESH DAS"	""	"WAKIL DAS"	""	""	"SURESH RAM"	""	""	"GAYA PRASAD SINGH"	""	""	"CHANDRA MOHAN PASWAN"	""	"PREM KISHORE PASWAN"	""	""	"MITHILESH DAS"	""	"RAGHUNANDAN RISHI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"62"	"43"	"22"	"190"	""	"12"	""	"54"	""	"349"	""	""	"16"	""	""	"6"	""	"8"	""	""	"4"	""	""	"9"	""	""	"9"	""	"3"	""	""	"5"	""	"21"	""	""	"708"	"0"	""	""	"708"	""	""	""	""	""	""	""
"63"	"44"	"16"	"102"	""	"10"	""	"289"	""	"153"	""	""	"5"	""	""	"4"	""	"1"	""	""	"3"	""	""	"1"	""	""	"4"	""	"3"	""	""	"1"	""	"13"	""	""	"605"	""	""	""	"605"	""	""	""	""	""	""	""
"64"	"45"	"26"	"341"	""	"17"	""	"24"	""	"193"	""	""	"14"	""	""	"4"	""	"5"	""	""	"9"	""	""	"36"	""	""	"14"	""	"8"	""	""	"18"	""	"40"	""	""	"749"	""	""	""	"749"	""	""	""	""	""	""	""
"65"	"46"	"14"	"78"	""	"3"	""	"75"	""	"403"	""	""	"3"	""	""	"4"	""	"7"	""	""	"6"	""	""	"24"	""	""	"9"	""	"3"	""	""	"2"	""	"9"	""	""	"640"	""	""	""	"640"	""	""	""	""	""	""	""
"66"	"47"	"21"	"46"	""	"9"	""	"121"	""	"368"	""	""	"13"	""	""	"6"	""	"11"	""	""	"8"	""	""	"10"	""	""	"6"	""	"4"	""	""	"3"	""	"15"	""	""	"641"	""	""	""	"641"	""	""	""	""	""	""	""
"67"	"48"	"15"	"5"	""	"7"	""	"198"	""	"267"	""	""	"11"	""	""	"3"	""	"3"	""	""	"6"	""	""	"5"	""	""	"8"	""	"6"	""	""	"7"	""	"32"	""	""	"573"	""	""	""	"573"	""	""	""	""	""	""	""
"68"	"49"	"11"	"6"	""	"10"	""	"99"	""	"214"	""	""	"19"	""	""	"2"	""	"2"	""	""	"3"	""	""	"12"	""	""	"9"	""	"6"	""	""	"5"	""	"21"	""	""	"419"	""	""	""	"419"	""	""	""	""	""	""	""
"69"	"50"	"26"	"252"	""	"14"	""	"51"	""	"87"	""	""	"11"	""	""	"2"	""	"10"	""	""	"1"	""	""	"4"	""	""	"6"	""	"9"	""	""	"14"	""	"36"	""	""	"523"	""	""	""	"523"	""	""	""	""	""	""	""
"70"	"51"	"29"	"306"	""	"12"	""	"63"	""	"89"	""	""	"5"	""	""	"6"	""	"11"	""	""	"4"	""	""	"6"	""	""	"4"	""	"6"	""	""	"9"	""	"28"	""	""	"578"	""	""	""	"578"	""	""	""	""	""	""	""
"71"	"52"	"59"	"441"	""	"11"	""	"16"	""	"143"	""	""	"7"	""	""	"5"	""	"6"	""	""	"12"	""	""	"5"	""	""	"4"	""	"4"	""	""	"14"	""	"31"	""	""	"758"	""	""	""	"758"	""	""	""	""	""	""	""
"72"	"53"	"21"	"253"	""	"37"	""	"50"	""	"127"	""	""	"8"	""	""	"2"	""	"9"	""	""	"10"	""	""	"4"	""	""	"3"	""	"2"	""	""	"4"	""	"7"	""	""	"537"	""	""	""	"537"	""	""	""	""	""	""	""
"73"	"54"	"20"	"311"	""	"6"	""	"23"	""	"67"	""	""	"6"	""	""	"1"	""	"6"	""	""	"7"	""	""	"7"	""	""	"2"	""	"5"	""	""	"7"	""	"12"	""	""	"480"	""	""	""	"480"	""	""	""	""	""	""	""
"74"	"55"	"35"	"249"	""	"72"	""	"43"	""	"331"	""	""	"11"	""	""	"3"	""	"6"	""	""	"1"	""	""	"5"	""	""	"3"	""	"7"	""	""	"7"	""	"15"	""	""	"788"	""	""	""	"788"	""	""	""	""	""	""	""
"75"	"56"	"21"	"347"	""	"16"	""	"150"	""	"198"	""	""	"5"	""	""	"3"	""	"18"	""	""	"5"	""	""	"7"	""	""	"4"	""	"0"	""	""	"2"	""	"9"	""	""	"785"	""	""	""	"785"	""	""	""	""	""	""	""
"76"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"No. of rejected votes"	""	""	"TOTAL"	""	""	"No. of tendered Votes"	""	""	""	""
"77"	""	"MANOJ KUMAR"	"MAHESH PASWAN"	""	"SANJAY RISHI"	""	"SITA RAM DAS"	""	"SUNITA DEVI"	""	""	"AITWARI RAVIDAS"	""	""	"GANESH DAS"	""	"WAKIL DAS"	""	""	"SURESH RAM"	""	""	"GAYA PRASAD SINGH"	""	""	"CHANDRA MOHAN PASWAN"	""	"PREM KISHORE PASWAN"	""	""	"MITHILESH DAS"	""	"RAGHUNANDAN RISHI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"78"	"57"	"24"	"259"	""	"5"	""	"17"	""	"277"	""	""	"11"	""	""	"6"	""	"8"	""	""	"3"	""	""	"6"	""	""	"2"	""	"2"	""	""	"6"	""	"7"	""	""	"633"	"0"	""	""	"633"	""	""	""	""	""	""	""
"79"	"58"	"13"	"131"	""	"11"	""	"102"	""	"209"	""	""	"12"	""	""	"4"	""	"13"	""	""	"11"	""	""	"38"	""	""	"13"	""	"8"	""	""	"12"	""	"28"	""	""	"605"	""	""	""	"605"	""	""	""	""	""	""	""
"80"	"59"	"23"	"193"	""	"11"	""	"15"	""	"351"	""	""	"7"	""	""	"5"	""	"5"	""	""	"4"	""	""	"13"	""	""	"4"	""	"4"	""	""	"9"	""	"12"	""	""	"656"	""	""	""	"656"	""	""	""	""	""	""	""
"81"	"60"	"13"	"207"	""	"11"	""	"36"	""	"322"	""	""	"19"	""	""	"4"	""	"4"	""	""	"3"	""	""	"7"	""	""	"10"	""	"10"	""	""	"7"	""	"17"	""	""	"670"	""	""	""	"670"	""	""	""	""	""	""	""
"82"	"61"	"27"	"221"	""	"58"	""	"196"	""	"193"	""	""	"15"	""	""	"4"	""	"4"	""	""	"3"	""	""	"5"	""	""	"6"	""	"6"	""	""	"4"	""	"11"	""	""	"753"	""	""	""	"753"	""	""	""	""	""	""	""
"83"	"62"	"62"	"241"	""	"67"	""	"21"	""	"230"	""	""	"13"	""	""	"7"	""	"15"	""	""	"7"	""	""	"9"	""	""	"3"	""	"7"	""	""	"6"	""	"14"	""	""	"702"	""	""	""	"702"	""	""	""	""	""	""	""
"84"	"63"	"23"	"125"	""	"83"	""	"21"	""	"185"	""	""	"10"	""	""	"1"	""	"4"	""	""	"1"	""	""	"3"	""	""	"2"	""	"6"	""	""	"7"	""	"12"	""	""	"483"	""	""	""	"483"	""	""	""	""	""	""	""
"85"	"64"	"25"	"118"	""	"9"	""	"20"	""	"243"	""	""	"5"	""	""	"2"	""	"3"	""	""	"3"	""	""	"1"	""	""	"1"	""	"3"	""	""	"5"	""	"5"	""	""	"443"	""	""	""	"443"	""	""	""	""	""	""	""
"86"	"65"	"61"	"446"	""	"15"	""	"19"	""	"248"	""	""	"7"	""	""	"7"	""	"11"	""	""	"8"	""	""	"5"	""	""	"1"	""	"1"	""	""	"8"	""	"10"	""	""	"847"	""	""	""	"847"	""	""	""	""	""	""	""
"87"	"66"	"39"	"355"	""	"12"	""	"52"	""	"266"	""	""	"9"	""	""	"3"	""	"1"	""	""	"2"	""	""	"2"	""	""	"2"	""	"2"	""	""	"6"	""	"2"	""	""	"753"	""	""	""	"753"	""	""	""	""	""	""	""
"88"	"67"	"9"	"59"	""	"2"	""	"19"	""	"494"	""	""	"2"	""	""	"0"	""	"0"	""	""	"3"	""	""	"3"	""	""	"1"	""	"4"	""	""	"3"	""	"9"	""	""	"608"	""	""	""	"608"	""	""	""	""	""	""	""
"89"	"68"	"19"	"263"	""	"5"	""	"21"	""	"74"	""	""	"1"	""	""	"6"	""	"94"	""	""	"3"	""	""	"3"	""	""	"4"	""	"4"	""	""	"9"	""	"33"	""	""	"539"	""	""	""	"539"	""	""	""	""	""	""	""
"90"	"69"	"52"	"277"	""	"24"	""	"97"	""	"235"	""	""	"15"	""	""	"4"	""	"7"	""	""	"9"	""	""	"13"	""	""	"4"	""	"8"	""	""	"10"	""	"24"	""	""	"779"	""	""	""	"779"	""	""	""	""	""	""	""
"91"	"70"	"25"	"384"	""	"47"	""	"61"	""	"104"	""	""	"6"	""	""	"4"	""	"22"	""	""	"3"	""	""	"100"	""	""	"10"	""	"11"	""	""	"10"	""	"14"	""	""	"801"	""	""	""	"801"	""	""	""	""	""	""	""
"92"	"FORM - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"93"	"[See rule 56(7)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"94"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"95"	"(To be used for recording the result of voting at polling stations other than notified polling stations)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"96"	"Election to the Legislative assembly from the 140-KORHA constituency.                                 Part - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
