"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"22"	"16"	"30"	"147"	"13"	"22"	""	"75"	"3"	"2"	"0"	"1"	"11"	"304"	"&"	"304"	""	"&"
"23"	"17"	"35"	"176"	"3"	"8"	""	"121"	"0"	"1"	"1"	"0"	"3"	"348"	"&"	"348"	""	"&"
"24"	"18"	"81"	"163"	"9"	"28"	""	"299"	"4"	"1"	"2"	"0"	"4"	"591"	"&"	"591"	""	"&"
"25"	"19"	"35"	"76"	"49"	"81"	""	"397"	"9"	"3"	"1"	"7"	"17"	"675"	"&"	"675"	""	"&"
"26"	"20"	"26"	"103"	"22"	"33"	""	"413"	"8"	"6"	"0"	"5"	"19"	"635"	"&"	"635"	""	"&"
"27"	"21"	"74"	"170"	"13"	"37"	""	"34"	"8"	"7"	"6"	"10"	"18"	"377"	"&"	"377"	""	"&"
"28"	"22"	"19"	"73"	"18"	"153"	""	"95"	"13"	"7"	"5"	"5"	"12"	"400"	"&"	"400"	""	"&"
"29"	"23"	"21"	"47"	"12"	"81"	""	"158"	"4"	"0"	"3"	"1"	"10"	"337"	"&"	"337"	""	"&"
"30"	"24"	"18"	"27"	"1"	"33"	""	"257"	"8"	"6"	"3"	"3"	"20"	"376"	"&"	"376"	""	"&"
"31"	"25"	"23"	"147"	"11"	"42"	""	"130"	"5"	"4"	"9"	"3"	"20"	"394"	"&"	"394"	""	"&"
"32"	"26"	"20"	"115"	"12"	"15"	""	"153"	"2"	"2"	"0"	"1"	"11"	"331"	"&"	"331"	""	"&"
"33"	"27"	"49"	"89"	"6"	"48"	""	"123"	"3"	"8"	"5"	"7"	"23"	"361"	"&"	"361"	""	"&"
"34"	"28"	"8"	"38"	"1"	"56"	""	"140"	"5"	"2"	"1"	"1"	"6"	"258"	"&"	"258"	""	"&"
"35"	"29"	"185"	"122"	"64"	"9"	""	"45"	"5"	"5"	"10"	"6"	"6"	"457"	"&"	"457"	""	"&"
"36"	"30"	"9"	"460"	"3"	"176"	""	"110"	"2"	"9"	"12"	"2"	"2"	"785"	"&"	"785"	""	"&"
"37"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"38"	"Sl. No. of Polling Station"	"ONKAR NATH BURNWAL"	"PHALGUNI PRASAD YADAV"	"BRAHMADEO MANDAL"	"VIJAY SINGH"	""	"ABHAY SINGH"	"JULIANA SOREN"	"RAMESHWAR YADAV"	"MONIRUDDIN"	"RAJESH YADAV"	"SHANKAR PD. SWARNKAR"	"Total of valid votes"	"No. of rejected votes"	"Total"	""	"No. of tendered votes"
"39"	""	"1"	"2"	"3"	"4"	""	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	"14"
"40"	"31"	"10"	"285"	"0"	"29"	""	"8"	"2"	"1"	"0"	"0"	"0"	"335"	"&"	"335"	""	"&"
"41"	"32"	"16"	"385"	"54"	"8"	""	"105"	"7"	"6"	"6"	"12"	"17"	"616"	"&"	"616"	""	"&"
"42"	"33"	"36"	"106"	"4"	"277"	""	"101"	"1"	"0"	"3"	"4"	"6"	"538"	"&"	"538"	""	"&"
"43"	"34"	"43"	"184"	"50"	"45"	""	"93"	"4"	"21"	"11"	"5"	"16"	"472"	"&"	"472"	""	"&"
"44"	"35"	"45"	"45"	"33"	"204"	""	"160"	"11"	"3"	"14"	"1"	"10"	"526"	"&"	"526"	""	"&"
"45"	"36"	"14"	"69"	"105"	"53"	""	"114"	"3"	"2"	"24"	"1"	"2"	"387"	"&"	"387"	""	"&"
"46"	"37"	"23"	"163"	"12"	"133"	""	"181"	"12"	"6"	"4"	"12"	"19"	"565"	"&"	"565"	""	"&"
"47"	"38"	"39"	"198"	"88"	"151"	""	"104"	"6"	"8"	"6"	"7"	"18"	"625"	"&"	"625"	""	"&"
"48"	"39"	"14"	"81"	"259"	"34"	""	"84"	"12"	"7"	"12"	"11"	"14"	"528"	"&"	"528"	""	"&"
"49"	"40"	"16"	"106"	"38"	"184"	""	"26"	"5"	"1"	"12"	"0"	"7"	"395"	"&"	"395"	""	"&"
"50"	"41"	"88"	"150"	"99"	"59"	""	"193"	"6"	"18"	"10"	"11"	"20"	"654"	"&"	"654"	""	"&"
"51"	"42"	"33"	"143"	"66"	"63"	""	"110"	"4"	"6"	"5"	"14"	"41"	"485"	"&"	"485"	""	"&"
"52"	"43"	"15"	"119"	"4"	"25"	""	"177"	"11"	"5"	"3"	"0"	"10"	"369"	"&"	"369"	""	"&"
"53"	"44"	"18"	"19"	"32"	"42"	""	"71"	"5"	"2"	"1"	"6"	"8"	"204"	"&"	"204"	""	"&"
"54"	"45"	"8"	"36"	"205"	"30"	""	"67"	"4"	"7"	"2"	"7"	"10"	"376"	"&"	"376"	""	"&"
"55"	"46"	"7"	"135"	"10"	"106"	""	"45"	"3"	"2"	"1"	"2"	"4"	"315"	"&"	"315"	""	"&"
"56"	"47"	"8"	"26"	"3"	"45"	""	"110"	"6"	"7"	"1"	"1"	"14"	"221"	"&"	"221"	""	"&"
"57"	"48"	"10"	"16"	"2"	"202"	""	"181"	"6"	"3"	"1"	"1"	"15"	"437"	"&"	"437"	""	"&"
"58"	"49"	"7"	"29"	"7"	"120"	""	"128"	"15"	"1"	"6"	"7"	"23"	"343"	"&"	"343"	""	"&"
"59"	"50"	"1"	"0"	"4"	"10"	""	"842"	"0"	"1"	"0"	"0"	"1"	"859"	"&"	"859"	""	"&"
"60"	"51"	"12"	"120"	"37"	"249"	""	"51"	"10"	"18"	"4"	"9"	"9"	"519"	"&"	"519"	""	"&"
"61"	"52"	"22"	"57"	"29"	"104"	""	"85"	"5"	"5"	"2"	"3"	"9"	"321"	"&"	"321"	""	"&"
"62"	"53"	"0"	"1"	"1"	"24"	""	"467"	"3"	"1"	"0"	"0"	"1"	"498"	"&"	"498"	""	"&"
"63"	"54"	"0"	"1"	"0"	"26"	""	"767"	"3"	"0"	"0"	"0"	"1"	"798"	"&"	"798"	""	"&"
"64"	"55"	"0"	"14"	"0"	"13"	""	"670"	"3"	"0"	"0"	"1"	"0"	"701"	"&"	"701"	""	"&"
"65"	"56"	"13"	"24"	"6"	"37"	""	"173"	"2"	"1"	"0"	"1"	"0"	"257"	"&"	"257"	""	"&"
"66"	"57"	"11"	"50"	"13"	"163"	""	"16"	"5"	"6"	"4"	"10"	"2"	"280"	"&"	"280"	""	"&"
"67"	"58"	"4"	"52"	"1"	"123"	""	"396"	"3"	"1"	"2"	"0"	"2"	"584"	"&"	"584"	""	"&"
"68"	"59"	"61"	"49"	"9"	"114"	""	"25"	"3"	"3"	"6"	"4"	"2"	"276"	"&"	"276"	""	"&"
"69"	"60"	"40"	"156"	"8"	"144"	""	"80"	"7"	"4"	"7"	"11"	"12"	"469"	"&"	"469"	""	"&"
"70"	"61"	"4"	"4"	"0"	"15"	""	"481"	"1"	"0"	"0"	"1"	"1"	"507"	"&"	"507"	""	"&"
"71"	"62"	"63"	"89"	"13"	"105"	""	"105"	"12"	"3"	"6"	"9"	"23"	"428"	"&"	"428"	""	"&"
"72"	"63"	"8"	"168"	"21"	"162"	""	"67"	"9"	"7"	"10"	"23"	"27"	"502"	"&"	"502"	""	"&"
"73"	"64"	"104"	"67"	"6"	"53"	""	"136"	"2"	"1"	"3"	"0"	"6"	"378"	"&"	"378"	""	"&"
"74"	"65"	"4"	"69"	"5"	"97"	""	"6"	"2"	"2"	"1"	"2"	"4"	"192"	"&"	"192"	""	"&"
"75"	"66"	"8"	"42"	"0"	"27"	""	"11"	"0"	"0"	"0"	"0"	"0"	"88"	"&"	"88"	""	"&"
"76"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"77"	"Sl. No. of Polling Station"	"ONKAR NATH BURNWAL"	"PHALGUNI PRASAD YADAV"	"BRAHMADEO MANDAL"	"VIJAY SINGH"	""	"ABHAY SINGH"	"JULIANA SOREN"	"RAMESHWAR YADAV"	"MONIRUDDIN"	"RAJESH YADAV"	"SHANKAR PD. SWARNKAR"	"Total of valid votes"	"No. of rejected votes"	"Total"	""	"No. of tendered votes"
"78"	""	"1"	"2"	"3"	"4"	""	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	"14"
"79"	"67"	"12"	"118"	"4"	"96"	""	"68"	"6"	"3"	"3"	"5"	"7"	"322"	"&"	"322"	""	"&"
"80"	"68"	"109"	"131"	"16"	"26"	""	"185"	"15"	"5"	"3"	"6"	"18"	"514"	"&"	"514"	""	"&"
"81"	"69"	"222"	"154"	"20"	"13"	""	"124"	"10"	"12"	"19"	"11"	"55"	"640"	"&"	"640"	""	"&"
"82"	"70"	"121"	"2"	"0"	"8"	""	"2"	"20"	"0"	"0"	"0"	"3"	"156"	"&"	"156"	""	"&"
"83"	"71"	"62"	"137"	"10"	"72"	""	"61"	"2"	"7"	"3"	"10"	"14"	"378"	"&"	"378"	""	"&"
"84"	"72"	"43"	"248"	"5"	"80"	""	"127"	"8"	"2"	"2"	"4"	"12"	"531"	"&"	"531"	""	"&"
"85"	"73"	"65"	"105"	"10"	"73"	""	"11"	"0"	"5"	"1"	"7"	"5"	"282"	"&"	"282"	""	"&"
"86"	"74"	"50"	"18"	"0"	"10"	""	"3"	"8"	"1"	"2"	"1"	"6"	"99"	"&"	"99"	""	"&"
"87"	"75"	"7"	"153"	"7"	"43"	""	"45"	"1"	"2"	"3"	"4"	"7"	"272"	"&"	"272"	""	"&"
"88"	"76"	"6"	"116"	"221"	"37"	""	"47"	"5"	"3"	"5"	"2"	"3"	"445"	"&"	"445"	""	"&"
"89"	"77"	"18"	"24"	"154"	"22"	""	"125"	"3"	"2"	"4"	"9"	"19"	"380"	"&"	"380"	""	"&"
"90"	"78"	"25"	"77"	"12"	"58"	""	"268"	"10"	"4"	"3"	"5"	"4"	"466"	"&"	"466"	""	"&"
"91"	"79"	"10"	"127"	"11"	"20"	""	"44"	"4"	"3"	"2"	"9"	"23"	"253"	"&"	"253"	""	"&"
"92"	"80"	"5"	"222"	"22"	"114"	""	"26"	"4"	"1"	"2"	"4"	"4"	"404"	"&"	"404"	""	"&"
"93"	"81"	"9"	"226"	"8"	"174"	""	"114"	"6"	"3"	"8"	"10"	"9"	"567"	"&"	"567"	""	"&"
"94"	"82"	"42"	"29"	"35"	"18"	""	"242"	"25"	"14"	"9"	"17"	"41"	"472"	"&"	"472"	""	"&"
"95"	"83"	"30"	"107"	"11"	"2"	""	"204"	"1"	"2"	"1"	"2"	"3"	"363"	"&"	"363"	""	"&"
"96"	"84"	"29"	"216"	"18"	"68"	""	"39"	"3"	"3"	"12"	"14"	"15"	"417"	"&"	"417"	""	"&"
"97"	"85"	"13"	"587"	"19"	"25"	""	"3"	"4"	"5"	"2"	"7"	"6"	"671"	"&"	"671"	""	"&"
"98"	"86"	"1"	"111"	"7"	"65"	""	"41"	"3"	"0"	"0"	"2"	"5"	"235"	"&"	"235"	""	"&"
"99"	"87"	"0"	"4"	"0"	"326"	""	"21"	"0"	"0"	"0"	"0"	"0"	"351"	"&"	"351"	""	"&"
"100"	"88"	"44"	"107"	"10"	"60"	""	"167"	"10"	"9"	"4"	"5"	"14"	"430"	"&"	"430"	""	"&"
"101"	"89"	"19"	"90"	"16"	"216"	""	"25"	"8"	"14"	"8"	"15"	"22"	"433"	"&"	"433"	""	"&"
"102"	"90"	"50"	"125"	"6"	"79"	""	"53"	"3"	"11"	"9"	"2"	"19"	"357"	"&"	"357"	""	"&"
"103"	"91"	"1"	"435"	"1"	"25"	""	"21"	"1"	"1"	"0"	"0"	"1"	"486"	"&"	"486"	""	"&"
"104"	"92"	"41"	"109"	"8"	"23"	""	"41"	"0"	"3"	"3"	"2"	"2"	"232"	"&"	"232"	""	"&"
"105"	"93"	"88"	"53"	"4"	"58"	""	"151"	"7"	"3"	"26"	"2"	"5"	"397"	"&"	"397"	""	"&"
"106"	"94"	"12"	"98"	"258"	"160"	""	"112"	"4"	"10"	"7"	"3"	"11"	"675"	"&"	"675"	""	"&"
"107"	"95"	"14"	"104"	"173"	"83"	""	"61"	"3"	"4"	"7"	"4"	"4"	"457"	"&"	"457"	""	"&"
"108"	"96"	"15"	"61"	"87"	"40"	""	"104"	"6"	"9"	"4"	"3"	"22"	"351"	"&"	"351"	""	"&"
"109"	"97"	"30"	"106"	"47"	"162"	""	"103"	"4"	"9"	"31"	"8"	"13"	"513"	"&"	"513"	""	"&"
"110"	"98"	"17"	"125"	"208"	"95"	""	"133"	"13"	"8"	"8"	"18"	"27"	"652"	"&"	"652"	""	"&"
"111"	"99"	"4"	"31"	"64"	"45"	""	"99"	"7"	"1"	"2"	"2"	"2"	"257"	"&"	"257"	""	"&"
"112"	"100"	"9"	"248"	"45"	"372"	""	"119"	"2"	"0"	"0"	"0"	"0"	"795"	"&"	"795"	""	"&"
"113"	"101"	"18"	"32"	"4"	"163"	""	"95"	"7"	"5"	"3"	"1"	"12"	"340"	"&"	"340"	""	"&"
"114"	"102"	"15"	"56"	"30"	"51"	""	"155"	"16"	"4"	"3"	"9"	"19"	"358"	"&"	"358"	""	"&"
"115"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"116"	"Sl. No. of Polling Station"	"ONKAR NATH BURNWAL"	"PHALGUNI PRASAD YADAV"	"BRAHMADEO MANDAL"	"VIJAY SINGH"	""	"ABHAY SINGH"	"JULIANA SOREN"	"RAMESHWAR YADAV"	"MONIRUDDIN"	"RAJESH YADAV"	"SHANKAR PD. SWARNKAR"	"Total of valid votes"	"No. of rejected votes"	"Total"	""	"No. of tendered votes"
"117"	""	"1"	"2"	"3"	"4"	""	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	"14"
"118"	"103"	"43"	"58"	"10"	"198"	""	"127"	"11"	"8"	"4"	"5"	"10"	"474"	"&"	"474"	""	"&"
"119"	"104"	"42"	"198"	"70"	"108"	""	"34"	"5"	"8"	"3"	"0"	"10"	"478"	"&"	"478"	""	"&"
"120"	"105"	"142"	"43"	"4"	"95"	""	"36"	"5"	"16"	"5"	"9"	"19"	"374"	"&"	"374"	""	"&"
"121"	"106"	"9"	"143"	"7"	"154"	""	"23"	"6"	"4"	"3"	"4"	"19"	"372"	"&"	"372"	""	"&"
"122"	"107"	"171"	"205"	"53"	"141"	""	"100"	"9"	"14"	"8"	"10"	"16"	"727"	"&"	"727"	""	"&"
"123"	"108"	"153"	"122"	"8"	"70"	""	"77"	"10"	"15"	"3"	"6"	"15"	"479"	"&"	"479"	""	"&"
"124"	"109"	"365"	"20"	"8"	"27"	""	"59"	"4"	"2"	"2"	"3"	"23"	"513"	"&"	"513"	""	"&"
"125"	"110"	"0"	"0"	"0"	"0"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"&"	"0"	""	"&"
"126"	"111"	"0"	"0"	"0"	"0"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"&"	"0"	""	"&"
"127"	"112"	"0"	"0"	"0"	"0"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"&"	"0"	""	"&"
"128"	"113"	"147"	"10"	"3"	"81"	""	"174"	"12"	"17"	"8"	"9"	"12"	"473"	"&"	"473"	""	"&"
"129"	"114"	"343"	"2"	"0"	"1"	""	"4"	"2"	"0"	"0"	"0"	"1"	"353"	"&"	"353"	""	"&"
"130"	"115"	"224"	"9"	"9"	"11"	""	"9"	"7"	"6"	"0"	"2"	"3"	"280"	"&"	"280"	""	"&"
"131"	"116"	"274"	"34"	"5"	"15"	""	"4"	"5"	"22"	"6"	"1"	"5"	"371"	"&"	"371"	""	"&"
"132"	"117"	"263"	"60"	"4"	"13"	""	"6"	"7"	"9"	"11"	"1"	"14"	"388"	"&"	"388"	""	"&"
"133"	"118"	"385"	"59"	"10"	"45"	""	"34"	"16"	"64"	"10"	"8"	"24"	"655"	"&"	"655"	""	"&"
"134"	"119"	"64"	"60"	"59"	"8"	""	"62"	"24"	"9"	"9"	"8"	"24"	"327"	"&"	"327"	""	"&"
"135"	"120"	"7"	"137"	"26"	"91"	""	"56"	"12"	"151"	"6"	"5"	"18"	"509"	"&"	"509"	""	"&"
"136"	"121"	"316"	"9"	"5"	"1"	""	"3"	"1"	"3"	"1"	"3"	"9"	"351"	"&"	"351"	""	"&"
"137"	"122"	"383"	"42"	"3"	"2"	""	"41"	"3"	"20"	"5"	"3"	"16"	"518"	"&"	"518"	""	"&"
"138"	"123"	"398"	"34"	"4"	"4"	""	"43"	"24"	"2"	"7"	"10"	"25"	"551"	"&"	"551"	""	"&"
"139"	"124"	"327"	"57"	"6"	"10"	""	"17"	"11"	"14"	"6"	"6"	"15"	"469"	"&"	"469"	""	"&"
"140"	"125"	"433"	"33"	"6"	"23"	""	"61"	"3"	"20"	"8"	"4"	"14"	"605"	"&"	"605"	""	"&"
"141"	"126"	"12"	"17"	"127"	"14"	""	"173"	"2"	"3"	"0"	"3"	"2"	"353"	"&"	"353"	""	"&"
"142"	"127"	"373"	"67"	"43"	"16"	""	"157"	"21"	"16"	"8"	"5"	"25"	"731"	"&"	"731"	""	"&"
"143"	"128"	"270"	"16"	"4"	"4"	""	"13"	"5"	"1"	"4"	"3"	"9"	"329"	"&"	"329"	""	"&"
"144"	"129"	"327"	"15"	"19"	"6"	""	"53"	"1"	"3"	"2"	"1"	"8"	"435"	"&"	"435"	""	"&"
"145"	"130"	"147"	"33"	"6"	"51"	""	"6"	"0"	"24"	"4"	"5"	"6"	"282"	"&"	"282"	""	"&"
"146"	"131"	"84"	"38"	"2"	"15"	""	"9"	"1"	"2"	"1"	"4"	"3"	"159"	"&"	"159"	""	"&"
"147"	"132"	"241"	"0"	"0"	"0"	""	"1"	"1"	"2"	"0"	"0"	"0"	"245"	"&"	"245"	""	"&"
"148"	"133"	"158"	"33"	"5"	"98"	""	"84"	"10"	"18"	"7"	"4"	"20"	"437"	"&"	"437"	""	"&"
"149"	"134"	"235"	"29"	"5"	"110"	""	"109"	"4"	"9"	"5"	"2"	"17"	"525"	"&"	"525"	""	"&"
"150"	"135"	"114"	"12"	"5"	"141"	""	"190"	"9"	"10"	"2"	"9"	"38"	"530"	"&"	"530"	""	"&"
"151"	"136"	"31"	"19"	"101"	"144"	""	"228"	"23"	"23"	"16"	"14"	"55"	"654"	"&"	"654"	""	"&"
"152"	"137"	"4"	"36"	"4"	"441"	""	"2"	"1"	"0"	"0"	"2"	"0"	"490"	"&"	"490"	""	"&"
"153"	"138"	"0"	"17"	"3"	"564"	""	"16"	"0"	"0"	"1"	"0"	"0"	"601"	"&"	"601"	""	"&"
"154"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"155"	"Sl. No. of Polling Station"	"ONKAR NATH BURNWAL"	"PHALGUNI PRASAD YADAV"	"BRAHMADEO MANDAL"	"VIJAY SINGH"	""	"ABHAY SINGH"	"JULIANA SOREN"	"RAMESHWAR YADAV"	"MONIRUDDIN"	"RAJESH YADAV"	"SHANKAR PD. SWARNKAR"	"Total of valid votes"	"No. of rejected votes"	"Total"	""	"No. of tendered votes"
"156"	""	"1"	"2"	"3"	"4"	""	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	"14"
"157"	"139"	"10"	"42"	"1"	"411"	""	"9"	"3"	"48"	"3"	"3"	"10"	"540"	"&"	"540"	""	"&"
"158"	"140"	"17"	"38"	"17"	"370"	""	"74"	"3"	"5"	"38"	"14"	"25"	"601"	"&"	"601"	""	"&"
"159"	"141"	"1"	"49"	"1"	"657"	""	"5"	"4"	"1"	"0"	"1"	"2"	"721"	"&"	"721"	""	"&"
"160"	"142"	"25"	"16"	"7"	"33"	""	"251"	"16"	"7"	"7"	"14"	"43"	"419"	"&"	"419"	""	"&"
"161"	"143"	"6"	"13"	"8"	"173"	""	"15"	"1"	"3"	"2"	"186"	"27"	"434"	"&"	"434"	""	"&"
"162"	"144"	"13"	"59"	"5"	"150"	""	"198"	"8"	"6"	"4"	"5"	"29"	"477"	"&"	"477"	""	"&"
"163"	"145"	"81"	"51"	"154"	"78"	""	"237"	"27"	"21"	"8"	"21"	"72"	"750"	"&"	"750"	""	"&"
"164"	"146"	"124"	"52"	"19"	"159"	""	"200"	"12"	"41"	"17"	"12"	"30"	"666"	"&"	"666"	""	"&"
"165"	"147"	"150"	"29"	"3"	"83"	""	"165"	"3"	"7"	"4"	"3"	"5"	"452"	"&"	"452"	""	"&"
"166"	"148"	"6"	"15"	"3"	"177"	""	"274"	"5"	"13"	"1"	"3"	"4"	"501"	"&"	"501"	""	"&"
"167"	"149"	"25"	"57"	"8"	"158"	""	"118"	"4"	"12"	"3"	"3"	"16"	"404"	"&"	"404"	""	"&"
"168"	"150"	"44"	"59"	"8"	"242"	""	"14"	"3"	"56"	"46"	"4"	"12"	"488"	"&"	"488"	""	"&"
"169"	"151"	"99"	"31"	"36"	"143"	""	"375"	"6"	"7"	"1"	"10"	"2"	"710"	"&"	"710"	""	"&"
"170"	"152"	"27"	"126"	"63"	"152"	""	"135"	"8"	"10"	"2"	"4"	"17"	"544"	"&"	"544"	""	"&"
"171"	"153"	"13"	"41"	"2"	"140"	""	"298"	"1"	"4"	"2"	"0"	"8"	"509"	"&"	"509"	""	"&"
"172"	"154"	"16"	"96"	"6"	"92"	""	"126"	"9"	"29"	"5"	"8"	"31"	"418"	"&"	"418"	""	"&"
"173"	"155"	"7"	"47"	"168"	"98"	""	"92"	"9"	"8"	"9"	"15"	"24"	"477"	"&"	"477"	""	"&"
"174"	"156"	"18"	"27"	"57"	"8"	""	"58"	"2"	"4"	"3"	"5"	"11"	"193"	"&"	"193"	""	"&"
"175"	"157"	"57"	"81"	"38"	"125"	""	"37"	"9"	"2"	"5"	"5"	"12"	"371"	"&"	"371"	""	"&"
"176"	"158"	"6"	"99"	"2"	"88"	""	"86"	"2"	"4"	"0"	"0"	"10"	"297"	"&"	"297"	""	"&"
"177"	"159"	"0"	"23"	"1"	"476"	""	"47"	"1"	"0"	"0"	"1"	"2"	"551"	"&"	"551"	""	"&"
"178"	"160"	"35"	"111"	"15"	"76"	""	"77"	"4"	"67"	"6"	"3"	"6"	"400"	"&"	"400"	""	"&"
"179"	"161"	"90"	"172"	"3"	"271"	""	"180"	"2"	"25"	"48"	"2"	"9"	"802"	"&"	"802"	""	"&"
"180"	"162"	"114"	"108"	"120"	"44"	""	"86"	"9"	"19"	"9"	"5"	"42"	"556"	"&"	"556"	""	"&"
"181"	"163"	"20"	"26"	"13"	"10"	""	"76"	"3"	"9"	"2"	"2"	"4"	"165"	"&"	"165"	""	"&"
"182"	"164"	"32"	"57"	"60"	"126"	""	"113"	"5"	"6"	"2"	"4"	"20"	"425"	"&"	"425"	""	"&"
"183"	"165"	"18"	"180"	"17"	"121"	""	"36"	"9"	"11"	"11"	"5"	"11"	"419"	"&"	"419"	""	"&"
"184"	"166"	"98"	"3"	"3"	"64"	""	"221"	"1"	"2"	"1"	"0"	"4"	"397"	"&"	"397"	""	"&"
"185"	"167"	"210"	"44"	"74"	"58"	""	"198"	"6"	"11"	"8"	"2"	"12"	"623"	"&"	"623"	""	"&"
"186"	"168"	"3"	"49"	"24"	"27"	""	"800"	"3"	"1"	"0"	"2"	"4"	"913"	"&"	"913"	""	"&"
"187"	"169"	"47"	"26"	"149"	"58"	""	"101"	"3"	"7"	"2"	"0"	"11"	"404"	"&"	"404"	""	"&"
"188"	"170"	"53"	"105"	"101"	"87"	""	"63"	"10"	"13"	"14"	"8"	"34"	"488"	"&"	"488"	""	"&"
"189"	"171"	"16"	"221"	"3"	"49"	""	"80"	"10"	"19"	"2"	"0"	"4"	"404"	"&"	"404"	""	"&"
"190"	"172"	"11"	"155"	"18"	"13"	""	"100"	"5"	"8"	"5"	"6"	"9"	"330"	"&"	"330"	""	"&"
"191"	"173"	"25"	"162"	"12"	"57"	""	"30"	"16"	"154"	"37"	"5"	"12"	"510"	"&"	"510"	""	"&"
"192"	"174"	"19"	"354"	"13"	"60"	""	"106"	"3"	"11"	"2"	"4"	"5"	"577"	"&"	"577"	""	"&"
"193"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
