"ASSEMBLY.ELECTION...2005"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"
"85"	"52"	""	"10"	""	"0"	""	"1"	"259"	"0"	"2"	""	"0"	""	"1"	"0"	"7"	""	"0"	""	"0"	"-280"	""	""	"0"	""	"-280"	"0"
"86"	"53"	""	"214"	""	"8"	""	"1"	"168"	"4"	"3"	""	"2"	""	"0"	"1"	"2"	""	"1"	""	"5"	"-409"	""	""	"0"	""	"-409"	"0"
"87"	"54"	""	"68"	""	"4"	""	"2"	"138"	"2"	"0"	""	"1"	""	"0"	"7"	"2"	""	"7"	""	"11"	"-242"	""	""	"0"	""	"-242"	"0"
"88"	"55"	""	"561"	""	"2"	""	"7"	"74"	"1"	"2"	""	"0"	""	"3"	"2"	"1"	""	"0"	""	"1"	"-654"	""	""	"0"	""	"-654"	"0"
"89"	"56"	""	"169"	""	"11"	""	"1"	"7"	"0"	"0"	""	"1"	""	"0"	"0"	"0"	""	"1"	""	"5"	"-195"	""	""	"0"	""	"-195"	"0"
"90"	"ASSEMBLY ELECTION - 2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"91"	"226-MAKHDUMPUR ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"92"	"PART - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"93"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"94"	"See rule 56 (7)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"95"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"96"	"(To be record for recording the result of voting at notified Polling Station)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"97"	"Election to the Bihar Legislative Assembly from 226 - Makhdumpur Assembly Contituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"98"	"Serial No. of Polling station"	""	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	"No. of Rejected Votes"	""	"Total"	"No. Tender Votes"
"99"	""	""	"Bagi Kumar Verma"	""	"Shantnu Paswan"	""	"Shyam Kishor"	"Ramashray Prasad Singh"	"Sheo Ratan Singh"	"Chitranjan Kumar"	""	"Tripurari Sharan"	""	"Manoj Kumar"	"Mahendra Prasad Yadav"	"Ranjan Kumar"	""	"Rama Kant Sharma"	""	"Sanjay Kumar"	""	""	""	""	""	""	""
"100"	"57"	""	"71"	""	"8"	""	"4"	"604"	"2"	"1"	""	"0"	""	"1"	"1"	"1"	""	"3"	""	"6"	"-702"	""	""	"0"	""	"-702"	"0"
"101"	"58"	""	"19"	""	"0"	""	"1"	"33"	"0"	"1"	""	"0"	""	"0"	"2"	"7"	""	"387"	""	"1"	"-451"	""	""	"0"	""	"-451"	"0"
"102"	"59"	""	"56"	""	"4"	""	"24"	"630"	"7"	"11"	""	"0"	""	"1"	"2"	"7"	""	"1"	""	"6"	"-749"	""	""	"0"	""	"-749"	"0"
"103"	"60"	""	"115"	""	"10"	""	"3"	"118"	"1"	"1"	""	"1"	""	"1"	"2"	"6"	""	"4"	""	"1"	"-263"	""	""	"0"	""	"-263"	"0"
"104"	"61"	""	"6"	""	"1"	""	"2"	"428"	"3"	"28"	""	"0"	""	"0"	"4"	"8"	""	"2"	""	"5"	"-487"	""	""	"0"	""	"-487"	"0"
"105"	"62"	""	"7"	""	"5"	""	"1"	"48"	"118"	"0"	""	"0"	""	"0"	"0"	"0"	""	"1"	""	"0"	"-180"	""	""	"0"	""	"-180"	"0"
"106"	"63"	""	"97"	""	"11"	""	"8"	"79"	"67"	"10"	""	"1"	""	"5"	"9"	"5"	""	"3"	""	"15"	"-310"	""	""	"0"	""	"-310"	"0"
"107"	"64"	""	"480"	""	"0"	""	"0"	"2"	"0"	"0"	""	"0"	""	"0"	"1"	"0"	""	"0"	""	"0"	"-483"	""	""	"0"	""	"-483"	"0"
"108"	"65"	""	"130"	""	"3"	""	"0"	"103"	"1"	"0"	""	"0"	""	"0"	"2"	"6"	""	"0"	""	"2"	"-247"	""	""	"0"	""	"-247"	"0"
"109"	"66"	""	"2"	""	"0"	""	"2"	"374"	"5"	"1"	""	"0"	""	"0"	"1"	"0"	""	"1"	""	"2"	"-388"	""	""	"0"	""	"-388"	"0"
"110"	"67"	""	"191"	""	"1"	""	"11"	"196"	"12"	"2"	""	"1"	""	"3"	"22"	"0"	""	"2"	""	"3"	"-444"	""	""	"0"	""	"-444"	"0"
"111"	"68"	""	"252"	""	"0"	""	"1"	"123"	"1"	"2"	""	"0"	""	"1"	"69"	"0"	""	"1"	""	"1"	"-451"	""	""	"0"	""	"-451"	"0"
"112"	"69"	""	"306"	""	"3"	""	"38"	"42"	"0"	"1"	""	"1"	""	"2"	"7"	"2"	""	"4"	""	"2"	"-408"	""	""	"0"	""	"-408"	"0"
"113"	"70"	""	"306"	""	"25"	""	"5"	"181"	"6"	"0"	""	"0"	""	"0"	"5"	"1"	""	"1"	""	"11"	"-541"	""	""	"0"	""	"-541"	"0"
"114"	"ASSEMBLY ELECTION - 2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"115"	"226-MAKHDUMPUR ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"116"	"PART - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"117"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"118"	"See rule 56 (7)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"119"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"120"	"(To be record for recording the result of voting at notified Polling Station)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"121"	"Election to the Bihar Legislative Assembly from 226 - Makhdumpur Assembly Contituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"122"	"Serial No. of Polling station"	""	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	"No. of Rejected Votes"	""	"Total"	"No. Tender Votes"
"123"	""	""	"Bagi Kumar Verma"	""	"Shantnu Paswan"	""	"Shyam Kishor"	"Ramashray Prasad Singh"	"Sheo Ratan Singh"	"Chitranjan Kumar"	""	"Tripurari Sharan"	""	"Manoj Kumar"	"Mahendra Prasad Yadav"	"Ranjan Kumar"	""	"Rama Kant Sharma"	""	"Sanjay Kumar"	""	""	""	""	""	""	""
"124"	"71"	""	"103"	""	"3"	""	"5"	"158"	"52"	"1"	""	"1"	""	"0"	"3"	"1"	""	"5"	""	"8"	"-340"	""	""	"0"	""	"-340"	"0"
"125"	"71 K"	""	"165"	""	"9"	""	"3"	"171"	"24"	"4"	""	"1"	""	"0"	"0"	"6"	""	"4"	""	"3"	"-390"	""	""	"0"	""	"-390"	"0"
"126"	"72"	""	"419"	""	"22"	""	"7"	"61"	"4"	"5"	""	"4"	""	"0"	"1"	"3"	""	"4"	""	"20"	"-550"	""	""	"0"	""	"-550"	"0"
"127"	"73"	""	"2"	""	"3"	""	"0"	"728"	"3"	"2"	""	"1"	""	"0"	"2"	"1"	""	"3"	""	"1"	"-746"	""	""	"0"	""	"-746"	"0"
"128"	"74"	""	"365"	""	"11"	""	"6"	"56"	"3"	"2"	""	"2"	""	"0"	"50"	"4"	""	"3"	""	"20"	"-522"	""	""	"0"	""	"-522"	"0"
"129"	"75"	""	"46"	""	"4"	""	"2"	"125"	"20"	"2"	""	"2"	""	"4"	"3"	"4"	""	"4"	""	"5"	"-221"	""	""	"0"	""	"-221"	"0"
"130"	"76"	""	"1"	""	"0"	""	"2"	"596"	"2"	"3"	""	"0"	""	"1"	"0"	"9"	""	"0"	""	"1"	"-615"	""	""	"0"	""	"-615"	"0"
"131"	"77"	""	"0"	""	"0"	""	"0"	"204"	"4"	"8"	""	"0"	""	"0"	"0"	"0"	""	"3"	""	"0"	"-219"	""	""	"0"	""	"-219"	"0"
"132"	"78"	""	"128"	""	"29"	""	"14"	"98"	"7"	"2"	""	"2"	""	"0"	"2"	"3"	""	"3"	""	"5"	"-293"	""	""	"0"	""	"-293"	"0"
"133"	"79"	""	"79"	""	"7"	""	"2"	"5"	"2"	"1"	""	"2"	""	"1"	"0"	"1"	""	"1"	""	"4"	"-105"	""	""	"0"	""	"-105"	"0"
"134"	"80"	""	"249"	""	"55"	""	"6"	"190"	"4"	"2"	""	"0"	""	"2"	"0"	"6"	""	"6"	""	"8"	"-528"	""	""	"0"	""	"-528"	"0"
"135"	"81"	""	"36"	""	"1"	""	"2"	"194"	"2"	"1"	""	"0"	""	"2"	"2"	"13"	""	"1"	""	"8"	"-262"	""	""	"0"	""	"-262"	"0"
"136"	"82"	""	"104"	""	"24"	""	"3"	"182"	"3"	"1"	""	"2"	""	"1"	"2"	"5"	""	"5"	""	"4"	"-336"	""	""	"0"	""	"-336"	"0"
"137"	"83"	""	"24"	""	"2"	""	"4"	"201"	"27"	"3"	""	"3"	""	"1"	"3"	"55"	""	"7"	""	"30"	"-360"	""	""	"0"	""	"-360"	"0"
"138"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"139"	"See rule 56 (7)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"140"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"141"	"(To be record for recording the result of voting at notified Polling Station)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"142"	"Election to the Bihar Legislative Assembly from 226 - Makhdumpur Assembly Contituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"143"	"Serial No. of Polling station"	""	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	"No. of Rejected Votes"	""	"Total"	"No. Tender Votes"
"144"	""	""	"Bagi Kumar Verma"	""	"Shantnu Paswan"	""	"Shyam Kishor"	"Ramashray Prasad Singh"	"Sheo Ratan Singh"	"Chitranjan Kumar"	""	"Tripurari Sharan"	""	"Manoj Kumar"	"Mahendra Prasad Yadav"	"Ranjan Kumar"	""	"Rama Kant Sharma"	""	"Sanjay Kumar"	""	""	""	""	""	""	""
"145"	"84"	""	"155"	""	"8"	""	"2"	"44"	"7"	"1"	""	"0"	""	"2"	"2"	"1"	""	"1"	""	"1"	"-224"	""	""	"0"	""	"-224"	"0"
"146"	"85"	""	"2"	""	"1"	""	"1"	"65"	"0"	"0"	""	"0"	""	"0"	"0"	"0"	""	"0"	""	"0"	"-69"	""	""	"0"	""	"-69"	"0"
