"izFke.pdz"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"
"1"	"fuokZpuksa dk lapkyu fu;e] 1961"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"izi= &20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"¼fu;e 56 ¼7½ nsf[k;s ½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"vafre &ifj.kkei="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"¼ fu;e 59, ds v/khu fofufnZ\"V fuokZpu {ks= ds ernku dsUnzksa ij ernku ifj.kke dks vfHkfyf[kr djus ds fy, iz;ksx fd;s tkus gsrq½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"24 & xksikyxat fo/kku lHkk fuokZpu {ks= ds fy, fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"ernku
dsUnz la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; erksa dh l[;k"	""	"izfr{ksfir
erksa dh la[;k"	""	""	""	";ksx"	""	""	""	""
"8"	""	"vfEcdk
iz0 ;kno"	""	"js;ktqy
gd mQZ
^jktq*"	""	"gfjukjk;.k
flag"	""	"jkuh nsoh"	""	"lar Hkjr
Hkw\"k.kTkh egkjkt"	""	"lqck\"k
"19"	"10"	"21"	""	"247"	""	"37"	""	"7"	""	"17"	""	"68"	""	"1"	""	"28"	""	"12"	""	"24"	""	"462"	""	""	""	""	""	"462"	""	""	""	""
"20"	"11"	"8"	""	"96"	""	"8"	""	"2"	""	"10"	""	"110"	""	"6"	""	"84"	""	"12"	""	"12"	""	"348"	""	""	""	""	""	"348"	""	""	""	""
"21"	"12"	"35"	""	"387"	""	"23"	""	"10"	""	"19"	""	"94"	""	"7"	""	"201"	""	"14"	""	"14"	""	"804"	""	""	""	""	""	"804"	""	""	""	""
"22"	"13"	"59"	""	"283"	""	"44"	""	"4"	""	"5"	""	"19"	""	"6"	""	"77"	""	"8"	""	"6"	""	"511"	""	""	""	""	""	"511"	""	""	""	""
"23"	"14"	"9"	""	"72"	""	"5"	""	"1"	""	"12"	""	"33"	""	"4"	""	"108"	""	"11"	""	"6"	""	"261"	""	""	""	""	""	"261"	""	""	""	""
"24"	";ksx"	"423"	""	"2225"	""	"246"	""	"54"	""	"170"	""	"1217"	""	"69"	""	"1584"	""	"111"	""	"129"	""	"6228"	""	"0"	""	""	""	"6228"	""	""	""	""
"25"	"ernku  dsUnzksa ij  vfHkfyf[kr erksa  dh  dqy la[;k  %&  95680"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	"Mkd erksa  ij  vfHkfyf[kr erksa  dh   dqy la[;k  %&  'kwU;"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"Mkys x;s  dqy er  %&   95680"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"lgk;d fuokZph inkf/kdkjh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	"ernku dsUnz
dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; erks dh la[;k"	""	"izfr{ksfir
erks dh la[;k"	""	""	""	";ksx"	""	""	""
"30"	""	""	"vfEcdk
iz0 ;kno"	""	"js;ktqy
gd mQZ
^jktq*"	""	"gfjukjk;.k
flag"	""	"jkuh nsoh"	""	"lar Hkjr
Hkw\"k.kTkh egkjkt"	""	"lqck\"k
flag"	""	"vk'kk iwtu
flag"	""	"bafnjk
;kno"	""	"d`\".kk
izLkkn"	""	"lrsUnz cSBk"	""	""	""	""	""	""	""	""	""	""	""
"31"	"1"	""	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	""	"9"	""	"10"	""	"11"	""	"12"	""	"13"	""	""	""	"14"	""	""	""
"32"	"15"	""	"35"	""	"313"	""	"31"	""	"11"	""	"15"	""	"87"	""	"19"	""	"106"	""	"9"	""	"7"	""	"633"	""	""	""	""	""	"633"	""	""	""
"33"	"16"	""	"12"	""	"104"	""	"44"	""	"10"	""	"8"	""	"42"	""	"5"	""	"122"	""	"4"	""	"7"	""	"358"	""	""	""	""	""	"358"	""	""	""
"34"	"17"	""	"26"	""	"244"	""	"35"	""	"6"	""	"11"	""	"63"	""	"5"	""	"37"	""	"9"	""	"20"	""	"456"	""	""	""	""	""	"456"	""	""	""
"35"	"18"	""	"3"	""	"27"	""	"1"	""	"1"	""	"4"	""	"179"	""	"3"	""	"16"	""	"2"	""	"4"	""	"240"	""	""	""	""	""	"240"	""	""	""
"36"	"19"	""	"1"	""	"11"	""	"0"	""	"1"	""	"4"	""	"348"	""	"1"	""	"0"	""	"2"	""	"1"	""	"369"	""	""	""	""	""	"369"	""	""	""
"37"	"20"	""	"21"	""	"66"	""	"5"	""	"0"	""	"7"	""	"41"	""	"5"	""	"60"	""	"3"	""	"3"	""	"211"	""	""	""	""	""	"211"	""	""	""
"38"	"21"	""	"8"	""	"2"	""	"11"	""	"0"	""	"8"	""	"165"	""	"3"	""	"59"	""	"2"	""	"2"	""	"260"	""	""	""	""	""	"260"	""	""	""
"39"	"22"	""	"17"	""	"119"	""	"16"	""	"3"	""	"12"	""	"153"	""	"3"	""	"162"	""	"4"	""	"6"	""	"495"	""	""	""	""	""	"495"	""	""	""
"40"	"23"	""	"170"	""	"137"	""	"13"	""	"1"	""	"5"	""	"102"	""	"1"	""	"50"	""	"1"	""	"6"	""	"486"	""	""	""	""	""	"486"	""	""	""
"41"	"24"	""	"39"	""	"276"	""	"11"	""	"7"	""	"14"	""	"140"	""	"11"	""	"136"	""	"15"	""	"12"	""	"661"	""	""	""	""	""	"661"	""	""	""
"42"	"25"	""	"24"	""	"190"	""	"30"	""	"16"	""	"13"	""	"156"	""	"3"	""	"53"	""	"3"	""	"13"	""	"501"	""	""	""	""	""	"501"	""	""	""
"43"	"26"	""	"41"	""	"97"	""	"26"	""	"14"	""	"18"	""	"159"	""	"3"	""	"124"	""	"5"	""	"8"	""	"495"	""	""	""	""	""	"495"	""	""	""
"44"	"27"	""	"57"	""	"63"	""	"23"	""	"2"	""	"6"	""	"215"	""	"6"	""	"109"	""	"4"	""	"3"	""	"488"	""	""	""	""	""	"488"	""	""	""
"45"	"28"	""	"44"	""	"289"	""	"47"	""	"2"	""	"8"	""	"65"	""	"1"	""	"43"	""	"4"	""	"2"	""	"505"	""	""	""	""	""	"505"	""	""	""
"46"	";ksx"	""	"498"	""	"1938"	""	"293"	""	"74"	""	"133"	""	"1915"	""	"69"	""	"1077"	""	"67"	""	"94"	""	"6158"	""	"0"	""	""	""	"6158"	""	""	""
"47"	"ernku dsUnz
la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; erks dh la[;k"	""	"izfr{ksfir
erksa dh la[;k"	""	""	""	";ksx"	""	""	""
"48"	""	""	"vfEcdk
iz0 ;kno"	""	"js;ktqy
gd mQZ
^jktq*"	""	"gfjukjk;.k
flag"	""	"jkuh nsoh"	""	"lar Hkjr
Hkw\"k.kTkh egkjkt"	""	"lqck\"k
flag"	""	"vk'kk iwtu
flag"	""	"bafnjk
;kno"	""	"d`\".kk
izLkkn"	""	"lrsUnz cSBk"	""	""	""	""	""	""	""	""	""	""	""
"49"	"1"	""	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	""	"9"	""	"10"	""	"11"	""	"12"	""	"13"	""	""	""	"14"	""	""	""
"50"	"29"	""	"28"	""	"333"	""	"29"	""	"9"	""	"18"	""	"98"	""	"6"	""	"47"	""	"5"	""	"3"	""	"576"	""	""	""	""	""	"576"	""	""	""
"51"	"30"	""	"11"	""	"131"	""	"25"	""	"3"	""	"17"	""	"50"	""	"6"	""	"95"	""	"2"	""	"12"	""	"352"	""	""	""	""	""	"352"	""	""	""
"52"	"31"	""	"46"	""	"512"	""	"4"	""	"1"	""	"2"	""	"21"	""	"2"	""	"68"	""	"3"	""	"1"	""	"660"	""	""	""	""	""	"660"	""	""	""
"53"	"32"	""	"19"	""	"87"	""	"20"	""	"4"	""	"16"	""	"162"	""	"10"	""	"188"	""	"12"	""	"20"	""	"538"	""	""	""	""	""	"538"	""	""	""
"54"	"33"	""	"18"	""	"45"	""	"15"	""	"18"	""	"16"	""	"205"	""	"9"	""	"242"	""	"24"	""	"35"	""	"627"	""	""	""	""	""	"627"	""	""	""
"55"	"34"	""	"38"	""	"65"	""	"11"	""	"16"	""	"25"	""	"133"	""	"12"	""	"230"	""	"15"	""	"25"	""	"570"	""	""	""	""	""	"570"	""	""	""
"56"	"35"	""	"38"	""	"78"	""	"7"	""	"8"	""	"5"	""	"23"	""	"4"	""	"121"	""	"4"	""	"6"	""	"294"	""	""	""	""	""	"294"	""	""	""
"57"	"36"	""	"12"	""	"185"	""	"8"	""	"4"	""	"8"	""	"40"	""	"5"	""	"175"	""	"6"	""	"4"	""	"447"	""	""	""	""	""	"447"	""	""	""
"58"	"37"	""	"7"	""	"66"	""	"4"	""	"4"	""	"2"	""	"58"	""	"9"	""	"205"	""	"8"	""	"3"	""	"366"	""	""	""	""	""	"366"	""	""	""
"59"	"38"	""	"22"	""	"160"	""	"5"	""	"19"	""	"4"	""	"33"	""	"5"	""	"131"	""	"4"	""	"4"	""	"387"	""	""	""	""	""	"387"	""	""	""
"60"	"39"	""	"21"	""	"124"	""	"32"	""	"12"	""	"14"	""	"202"	""	"8"	""	"161"	""	"6"	""	"4"	""	"584"	""	""	""	""	""	"584"	""	""	""
"61"	"40"	""	"13"	""	"107"	""	"5"	""	"9"	""	"14"	""	"115"	""	"4"	""	"182"	""	"13"	""	"24"	""	"486"	""	""	""	""	""	"486"	""	""	""
"62"	"41"	""	"22"	""	"183"	""	"12"	""	"38"	""	"12"	""	"115"	""	"9"	""	"165"	""	"6"	""	"9"	""	"571"	""	""	""	""	""	"571"	""	""	""
"63"	"42"	""	"8"	""	"162"	""	"4"	""	"5"	""	"6"	""	"128"	""	"3"	""	"46"	""	"0"	""	"4"	""	"366"	""	""	""	""	""	"366"	""	""	""
"64"	";ksx"	""	"303"	""	"2238"	""	"181"	""	"150"	""	"159"	""	"1383"	""	"92"	""	"2056"	""	"108"	""	"154"	""	"6824"	""	"0"	""	""	""	"6824"	""	""	""
"65"	"ernku dsUnz
la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; erksa dh la[;k"	""	"izfr{ksfir
erksa dh la[;k"	""	""	""	";ksx"	""	""	""
"66"	""	""	"vfEcdk
iz0 ;kno"	""	"js;ktqy
gd mQZ
^jktq*"	""	"gfjukjk;.k
flag"	""	"jkuh nsoh"	""	"lar Hkjr
Hkw\"k.kTkh egkjkt"	""	"lqck\"k
flag"	""	"vk'kk iwtu
flag"	""	"bafnjk
;kno"	""	"d`\".kk
izLkkn"	""	"lrsUnz cSBk"	""	""	""	""	""	""	""	""	""	""	""
"67"	"1"	""	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	""	"9"	""	"10"	""	"11"	""	"12"	""	"13"	""	""	""	"14"	""	""	""
"68"	"43"	""	"28"	""	"102"	""	"20"	""	"17"	""	"36"	""	"251"	""	"13"	""	"165"	""	"2"	""	"20"	""	"654"	""	""	""	""	""	"654"	""	""	""
"69"	"44"	""	"10"	""	"115"	""	"16"	""	"7"	""	"13"	""	"132"	""	"4"	""	"189"	""	"4"	""	"16"	""	"506"	""	""	""	""	""	"506"	""	""	""
"70"	"45"	""	"10"	""	"244"	""	"14"	""	"9"	""	"7"	""	"61"	""	"3"	""	"63"	""	"6"	""	"13"	""	"430"	""	""	""	""	""	"430"	""	""	""
"71"	"46"	""	"25"	""	"104"	""	"8"	""	"5"	""	"12"	""	"41"	""	"10"	""	"164"	""	"10"	""	"12"	""	"391"	""	""	""	""	""	"391"	""	""	""
"72"	"47"	""	"14"	""	"63"	""	"22"	""	"18"	""	"16"	""	"116"	""	"7"	""	"135"	""	"7"	""	"20"	""	"418"	""	""	""	""	""	"418"	""	""	""
"73"	"48"	""	"22"	""	"145"	""	"12"	""	"4"	""	"15"	""	"232"	""	"2"	""	"56"	""	"1"	""	"6"	""	"495"	""	""	""	""	""	"495"	""	""	""
"74"	"49"	""	"83"	""	"95"	""	"8"	""	"0"	""	"3"	""	"150"	""	"1"	""	"185"	""	"1"	""	"3"	""	"529"	""	""	""	""	""	"529"	""	""	""
"75"	"50"	""	"15"	""	"75"	""	"57"	""	"3"	""	"4"	""	"56"	""	"3"	""	"62"	""	"3"	""	"9"	""	"287"	""	""	""	""	""	"287"	""	""	""
"76"	"51"	""	"24"	""	"189"	""	"15"	""	"8"	""	"13"	""	"149"	""	"4"	""	"211"	""	"6"	""	"35"	""	"654"	""	""	""	""	""	"654"	""	""	""
"77"	"52"	""	"11"	""	"49"	""	"9"	""	"2"	""	"13"	""	"268"	""	"8"	""	"44"	""	"3"	""	"14"	""	"421"	""	""	""	""	""	"421"	""	""	""
"78"	"53"	""	"14"	""	"67"	""	"6"	""	"4"	""	"14"	""	"86"	""	"4"	""	"145"	""	"7"	""	"35"	""	"382"	""	""	""	""	""	"382"	""	""	""
"79"	"54"	""	"42"	""	"93"	""	"8"	""	"3"	""	"4"	""	"67"	""	"2"	""	"126"	""	"8"	""	"11"	""	"364"	""	""	""	""	""	"364"	""	""	""
"80"	"55"	""	"73"	""	"153"	""	"10"	""	"77"	""	"27"	""	"58"	""	"9"	""	"66"	""	"15"	""	"13"	""	"501"	""	""	""	""	""	"501"	""	""	""
"81"	"56"	""	"26"	""	"258"	""	"6"	""	"3"	""	"10"	""	"62"	""	"7"	""	"45"	""	"9"	""	"10"	""	"436"	""	""	""	""	""	"436"	""	""	""
"82"	";ksx"	""	"397"	""	"1752"	""	"211"	""	"160"	""	"187"	""	"1729"	""	"77"	""	"1656"	""	"82"	""	"217"	""	"6468"	""	"0"	""	""	""	"6468"	""	""	""
"83"	"ernku dsUnz
la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; erksa dh la[;k"	""	""	"izfr{ksfir
erksa dh la[;k"	""	""	""	";ksx"	""	""
"84"	""	""	"vfEcdk
iz0 ;kno"	""	"js;ktqy
gd mQZ
^jktq*"	""	"gfjukjk;.k
flag"	""	"jkuh nsoh"	""	"lar Hkjr
Hkw\"k.kTkh egkjkt"	""	"lqck\"k
flag"	""	"vk'kk iwtu
flag"	""	"bafnjk
;kno"	""	"d`\".kk
izLkkn"	""	"lrsUnz cSBk"	""	""	""	""	""	""	""	""	""	""	""
"85"	"1"	""	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	""	"9"	""	"10"	""	"11"	""	"12"	""	""	"13"	""	""	""	"14"	""	""
"86"	"57"	""	"22"	""	"64"	""	"9"	""	"0"	""	"7"	""	"150"	""	"5"	""	"92"	""	"11"	""	"9"	""	"369"	""	""	""	""	""	""	"369"	""	""
"87"	"58"	""	"56"	""	"183"	""	"14"	""	"6"	""	"14"	""	"148"	""	"7"	""	"67"	""	"15"	""	"23"	""	"533"	""	""	""	""	""	""	"533"	""	""
"88"	"59"	""	"31"	""	"306"	""	"9"	""	"8"	""	"12"	""	"192"	""	"6"	""	"23"	""	"6"	""	"11"	""	"604"	""	""	""	""	""	""	"604"	""	""
"89"	"60"	""	"29"	""	"174"	""	"15"	""	"6"	""	"18"	""	"57"	""	"7"	""	"103"	""	"15"	""	"14"	""	"438"	""	""	""	""	""	""	"438"	""	""
"90"	"61"	""	"27"	""	"146"	""	"17"	""	"4"	""	"10"	""	"23"	""	"5"	""	"86"	""	"24"	""	"36"	""	"378"	""	""	""	""	""	""	"378"	""	""
"91"	"62"	""	"84"	""	"105"	""	"15"	""	"2"	""	"8"	""	"54"	""	"7"	""	"75"	""	"18"	""	"30"	""	"398"	""	""	""	""	""	""	"398"	""	""
"92"	"63"	""	"35"	""	"143"	""	"16"	""	"10"	""	"14"	""	"175"	""	"12"	""	"52"	""	"5"	""	"9"	""	"471"	""	""	""	""	""	""	"471"	""	""
"93"	"64"	""	"59"	""	"108"	""	"19"	""	"9"	""	"10"	""	"13"	""	"12"	""	"84"	""	"16"	""	"11"	""	"341"	""	""	""	""	""	""	"341"	""	""
"94"	"65"	""	"126"	""	"107"	""	"34"	""	"14"	""	"13"	""	"26"	""	"10"	""	"160"	""	"15"	""	"18"	""	"523"	""	""	""	""	""	""	"523"	""	""
"95"	"66"	""	"23"	""	"50"	""	"8"	""	"3"	""	"15"	""	"113"	""	"9"	""	"123"	""	"13"	""	"7"	""	"364"	""	""	""	""	""	""	"364"	""	""
"96"	"67"	""	"55"	""	"92"	""	"16"	""	"9"	""	"13"	""	"47"	""	"8"	""	"166"	""	"16"	""	"20"	""	"442"	""	""	""	""	""	""	"442"	""	""
"97"	"68"	""	"0"	""	"12"	""	"6"	""	"1"	""	"7"	""	"16"	""	"2"	""	"9"	""	"1"	""	"3"	""	"57"	""	""	""	""	""	""	"57"	""	""
"98"	"69"	""	"17"	""	"97"	""	"13"	""	"7"	""	"4"	""	"24"	""	"10"	""	"254"	""	"14"	""	"22"	""	"462"	""	""	""	""	""	""	"462"	""	""
"99"	"70"	""	"1"	""	"13"	""	"3"	""	"1"	""	"0"	""	"2"	""	"3"	""	"77"	""	"3"	""	"0"	""	"103"	""	""	""	""	""	""	"103"	""	""
"100"	";ksx"	""	"565"	""	"1600"	""	"194"	""	"80"	""	"145"	""	"1040"	""	"103"	""	"1371"	""	"172"	""	"213"	""	"5483"	""	""	"0"	""	""	""	"5483"	""	""
"101"	"ernku dsUnz
la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; erksa dh la[;k"	""	""	"izfr{ksfir
erksa dh la[;k"	""	""	";ksx"	""	""	""
"102"	""	""	"vfEcdk
iz0 ;kno"	""	"js;ktqy
gd mQZ
^jktq*"	""	"gfjukjk;.k
flag"	""	"jkuh nsoh"	""	"lar Hkjr
Hkw\"k.kTkh egkjkt"	""	"lqck\"k
flag"	""	"vk'kk iwtu
flag"	""	"bafnjk
;kno"	""	"d`\".kk
izLkkn"	""	"lrsUnz cSBk"	""	""	""	""	""	""	""	""	""	""	""
"103"	"1"	""	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	""	"9"	""	"10"	""	"11"	""	"12"	""	""	"13"	""	""	"14"	""	""	""
"104"	"71"	""	"124"	""	"12"	""	"4"	""	"4"	""	"7"	""	"11"	""	"2"	""	"30"	""	"3"	""	"7"	""	"204"	""	""	""	""	""	"204"	""	""	""
"105"	"72"	""	"261"	""	"9"	""	"4"	""	"3"	""	"4"	""	"1"	""	"7"	""	"71"	""	"9"	""	"5"	""	"374"	""	""	""	""	""	"374"	""	""	""
"106"	"73"	""	"41"	""	"6"	""	"4"	""	"3"	""	"1"	""	"20"	""	"1"	""	"140"	""	"8"	""	"8"	""	"232"	""	""	""	""	""	"232"	""	""	""
"107"	"74"	""	"44"	""	"111"	""	"19"	""	"24"	""	"28"	""	"162"	""	"11"	""	"78"	""	"8"	""	"21"	""	"506"	""	""	""	""	""	"506"	""	""	""
"108"	"75"	""	"26"	""	"296"	""	"15"	""	"64"	""	"8"	""	"105"	""	"3"	""	"51"	""	"2"	""	"0"	""	"570"	""	""	""	""	""	"570"	""	""	""
"109"	"76"	""	"5"	""	"140"	""	"12"	""	"6"	""	"10"	""	"68"	""	"0"	""	"4"	""	"2"	""	"0"	""	"247"	""	""	""	""	""	"247"	""	""	""
"110"	"77"	""	"30"	""	"86"	""	"18"	""	"7"	""	"10"	""	"49"	""	"8"	""	"296"	""	"22"	""	"37"	""	"563"	""	""	""	""	""	"563"	""	""	""
"111"	"78"	""	"23"	""	"70"	""	"9"	""	"13"	""	"17"	""	"111"	""	"5"	""	"155"	""	"21"	""	"19"	""	"443"	""	""	""	""	""	"443"	""	""	""
"112"	"79"	""	"95"	""	"56"	""	"13"	""	"12"	""	"9"	""	"73"	""	"7"	""	"42"	""	"8"	""	"3"	""	"318"	""	""	""	""	""	"318"	""	""	""
"113"	"80"	""	"36"	""	"54"	""	"4"	""	"28"	""	"16"	""	"102"	""	"17"	""	"203"	""	"20"	""	"37"	""	"517"	""	""	""	""	""	"517"	""	""	""
"114"	"81"	""	"13"	""	"188"	""	"6"	""	"0"	""	"3"	""	"30"	""	"3"	""	"58"	""	"4"	""	"8"	""	"313"	""	""	""	""	""	"313"	""	""	""
"115"	"82"	""	"20"	""	"124"	""	"20"	""	"4"	""	"19"	""	"139"	""	"13"	""	"206"	""	"16"	""	"15"	""	"576"	""	""	""	""	""	"576"	""	""	""
"116"	"83"	""	"34"	""	"329"	""	"15"	""	"8"	""	"20"	""	"157"	""	"6"	""	"45"	""	"14"	""	"25"	""	"653"	""	""	""	""	""	"653"	""	""	""
"117"	"84"	""	"35"	""	"103"	""	"6"	""	"3"	""	"14"	""	"255"	""	"3"	""	"67"	""	"6"	""	"8"	""	"500"	""	""	""	""	""	"500"	""	""	""
"118"	";ksx"	""	"787"	""	"1584"	""	"149"	""	"179"	""	"166"	""	"1283"	""	"86"	""	"1446"	""	"143"	""	"193"	""	"6016"	""	""	"0"	""	""	"6016"	""	""	""
"119"	"ernku dsUnz
la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; erksa dh la[;k"	""	""	"izfr{ksfir
erksa dh la[;k"	""	""	";ksx"	""	""	""
"120"	""	""	"vfEcdk
iz0 ;kno"	""	"js;ktqy
gd mQZ
^jktq*"	""	"gfjukjk;.k
flag"	""	"jkuh nsoh"	""	"lar Hkjr
Hkw\"k.kTkh egkjkt"	""	"lqck\"k
flag"	""	"vk'kk iwtu
flag"	""	"bafnjk
;kno"	""	"d`\".kk
izLkkn"	""	"lrsUnz cSBk"	""	""	""	""	""	""	""	""	""	""	""
"121"	"1"	""	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	""	"9"	""	"10"	""	"11"	""	"12"	""	""	"13"	""	""	"14"	""	""	""
"122"	"85"	""	"20"	""	"9"	""	"0"	""	"3"	""	"5"	""	"14"	""	"5"	""	"392"	""	"6"	""	"1"	""	"455"	""	""	""	""	""	"455"	""	""	""
"123"	"86"	""	"63"	""	"56"	""	"4"	""	"11"	""	"12"	""	"173"	""	"9"	""	"89"	""	"7"	""	"6"	""	"430"	""	""	""	""	""	"430"	""	""	""
