"ROUND...1...CUMMULATIVE"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"
"110"	"[Para 22 ® Chapter - XIV-A]"	""	""	""	""	""	""	""	""
"111"	"FORM - 20"	""	""	""	""	""	""	""	""
"112"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""
"113"	"[See Rule 56 A (7)]"	""	""	""	""	""	""	""	""
"114"	"Election to the Legislative Assembly from the 126-BANMANKHI Assembly Constituency"	""	""	""	""	""	""	""	""
"115"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""
"116"	"Candidate Details"	""	""	""	"Votes Polled in AC"	""	""	""	""
"117"	"Sl. No"	"Name"	""	"Party Abbre."	"Tot Gen Votes."	"Postal Votes"	"Total Votes"	""	""
"118"	"1"	"UDO PRASAD RAJAK"	""	"Jharkhand Mukti Morcha"	"1553"	"0"	"1553"	""	""
"119"	"2"	"KRISHNA KUMAR RISHI"	""	"Bharatiya Janata Party"	"9708"	"0"	"9708"	""	""
"120"	"3"	"JAIKANT PASWAN"	""	"Indian National Congress"	"3973"	"0"	"3973"	""	""
"121"	"4"	"MANORAMA DEVI"	""	"Rashtriya Janata Dal"	"8210"	"0"	"8210"	""	""
"122"	"5"	"RAMDEO RISHI"	""	"Bahujan Samaj Party"	"508"	"0"	"508"	""	""
"123"	"6"	"ABHINANDAN RAJAK"	""	"Apna Dal"	"302"	"0"	"302"	""	""
"124"	"7"	"UMESH PASWAN"	""	"Lok Jan Shakti Party"	"3410"	"0"	"3410"	""	""
"125"	"8"	"NITYANAND RISHI"	""	"Communist Party of India (Marxist-Leninist)(Libration)"	"321"	"0"	"321"	""	""
"126"	"9"	"MANJU DEVI"	""	"Jharkhand Disom Party"	"613"	"0"	"613"	""	""
"127"	"10"	"GHANSHYAM DAS"	""	"Independent"	"696"	"0"	"696"	""	""
"128"	"11"	"DEO NARAYAN PASWAN"	""	"Independent"	"647"	"0"	"647"	""	""
"129"	"12"	"SHASHIKALA DEVI"	""	"Independent"	"452"	"0"	"452"	""	""
"130"	"13"	"SURESH BAITHA"	""	"Independent"	"1122"	"0"	"1122"	""	""
"131"	"Place -"	""	""	""	""	""	""	""	""
"132"	"Date  -"	""	""	""	""	""	""	""	""
"133"	"Returning Officer"	""	""	""	""	""	""	""	""
"134"	"126 - Banmankhi Assembly Constituency"	""	""	""	""	""	""	""	""
"135"	"ROUND - 6 - CUMMULATIVE"	""	""	""	""	""	""	""	""
"136"	"ANNEXURE - XL"	""	""	""	""	""	""	""	""
"137"	"[Para 22 ® Chapter - XIV-A]"	""	""	""	""	""	""	""	""
"138"	"FORM - 20"	""	""	""	""	""	""	""	""
"139"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""
"140"	"[See Rule 56 A (7)]"	""	""	""	""	""	""	""	""
"141"	"Election to the Legislative Assembly from the 126-BANMANKHI Assembly Constituency"	""	""	""	""	""	""	""	""
"142"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""
"143"	"Candidate Details"	""	""	""	"Votes Polled in AC"	""	""	""	""
"144"	"Sl. No"	"Name"	""	"Party Abbre."	"Tot Gen Votes."	"Postal Votes"	"Total Votes"	""	""
"145"	"1"	"UDO PRASAD RAJAK"	""	"Jharkhand Mukti Morcha"	"1863"	"0"	"1863"	""	""
"146"	"2"	"KRISHNA KUMAR RISHI"	""	"Bharatiya Janata Party"	"12346"	"0"	"12346"	""	""
"147"	"3"	"JAIKANT PASWAN"	""	"Indian National Congress"	"5942"	"0"	"5942"	""	""
"148"	"4"	"MANORAMA DEVI"	""	"Rashtriya Janata Dal"	"10075"	"0"	"10075"	""	""
"149"	"5"	"RAMDEO RISHI"	""	"Bahujan Samaj Party"	"607"	"0"	"607"	""	""
"150"	"6"	"ABHINANDAN RAJAK"	""	"Apna Dal"	"361"	"0"	"361"	""	""
"151"	"7"	"UMESH PASWAN"	""	"Lok Jan Shakti Party"	"3652"	"0"	"3652"	""	""
"152"	"8"	"NITYANAND RISHI"	""	"Communist Party of India (Marxist-Leninist)(Libration)"	"378"	"0"	"378"	""	""
"153"	"9"	"MANJU DEVI"	""	"Jharkhand Disom Party"	"713"	"0"	"713"	""	""
"154"	"10"	"GHANSHYAM DAS"	""	"Independent"	"797"	"0"	"797"	""	""
"155"	"11"	"DEO NARAYAN PASWAN"	""	"Independent"	"698"	"0"	"698"	""	""
"156"	"12"	"SHASHIKALA DEVI"	""	"Independent"	"517"	"0"	"517"	""	""
"157"	"13"	"SURESH BAITHA"	""	"Independent"	"1291"	"0"	"1291"	""	""
"158"	"Place -"	""	""	""	""	""	""	""	""
"159"	"Date  -"	""	""	""	""	""	""	""	""
"160"	"Returning Officer"	""	""	""	""	""	""	""	""
"161"	"126 - Banmankhi Assembly Constituency"	""	""	""	""	""	""	""	""
"162"	"ROUND - 7 - CUMMULATIVE"	""	""	""	""	""	""	""	""
"163"	"ANNEXURE - XL"	""	""	""	""	""	""	""	""
"164"	"[Para 22 ® Chapter - XIV-A]"	""	""	""	""	""	""	""	""
"165"	"FORM - 20"	""	""	""	""	""	""	""	""
"166"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""
"167"	"[See Rule 56 A (7)]"	""	""	""	""	""	""	""	""
"168"	"Election to the Legislative Assembly from the 126-BANMANKHI Assembly Constituency"	""	""	""	""	""	""	""	""
"169"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""
"170"	"Candidate Details"	""	""	""	"Votes Polled in AC"	""	""	""	""
"171"	"Sl. No"	"Name"	""	"Party Abbre."	"Tot Gen Votes."	"Postal Votes"	"Total Votes"	""	""
"172"	"1"	"UDO PRASAD RAJAK"	""	"Jharkhand Mukti Morcha"	"2118"	"0"	"2118"	""	""
"173"	"2"	"KRISHNA KUMAR RISHI"	""	"Bharatiya Janata Party"	"15521"	"0"	"15521"	""	""
"174"	"3"	"JAIKANT PASWAN"	""	"Indian National Congress"	"6317"	"0"	"6317"	""	""
"175"	"4"	"MANORAMA DEVI"	""	"Rashtriya Janata Dal"	"11651"	"0"	"11651"	""	""
"176"	"5"	"RAMDEO RISHI"	""	"Bahujan Samaj Party"	"1165"	"0"	"1165"	""	""
"177"	"6"	"ABHINANDAN RAJAK"	""	"Apna Dal"	"401"	"0"	"401"	""	""
"178"	"7"	"UMESH PASWAN"	""	"Lok Jan Shakti Party"	"3815"	"0"	"3815"	""	""
"179"	"8"	"NITYANAND RISHI"	""	"Communist Party of India (Marxist-Leninist)(Libration)"	"444"	"0"	"444"	""	""
"180"	"9"	"MANJU DEVI"	""	"Jharkhand Disom Party"	"1202"	"0"	"1202"	""	""
"181"	"10"	"GHANSHYAM DAS"	""	"Independent"	"880"	"0"	"880"	""	""
"182"	"11"	"DEO NARAYAN PASWAN"	""	"Independent"	"751"	"0"	"751"	""	""
"183"	"12"	"SHASHIKALA DEVI"	""	"Independent"	"596"	"0"	"596"	""	""
"184"	"13"	"SURESH BAITHA"	""	"Independent"	"1481"	"0"	"1481"	""	""
"185"	"Place -"	""	""	""	""	""	""	""	""
"186"	"Date  -"	""	""	""	""	""	""	""	""
"187"	"Returning Officer"	""	""	""	""	""	""	""	""
"188"	"126 - Banmankhi Assembly Constituency"	""	""	""	""	""	""	""	""
"189"	"ROUND - 8 - CUMMULATIVE"	""	""	""	""	""	""	""	""
"190"	"ANNEXURE - XL"	""	""	""	""	""	""	""	""
"191"	"[Para 22 ® Chapter - XIV-A]"	""	""	""	""	""	""	""	""
"192"	"FORM - 20"	""	""	""	""	""	""	""	""
"193"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""
"194"	"[See Rule 56 A (7)]"	""	""	""	""	""	""	""	""
"195"	"Election to the Legislative Assembly from the 126-BANMANKHI Assembly Constituency"	""	""	""	""	""	""	""	""
"196"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""
"197"	"Candidate Details"	""	""	""	"Votes Polled in AC"	""	""	""	""
"198"	"Sl. No"	"Name"	""	"Party Abbre."	"Tot Gen Votes."	"Postal Votes"	"Total Votes"	""	""
"199"	"1"	"UDO PRASAD RAJAK"	""	"Jharkhand Mukti Morcha"	"2431"	"0"	"2431"	""	""
"200"	"2"	"KRISHNA KUMAR RISHI"	""	"Bharatiya Janata Party"	"17858"	"0"	"17858"	""	""
"201"	"3"	"JAIKANT PASWAN"	""	"Indian National Congress"	"6549"	"0"	"6549"	""	""
"202"	"4"	"MANORAMA DEVI"	""	"Rashtriya Janata Dal"	"12699"	"0"	"12699"	""	""
"203"	"5"	"RAMDEO RISHI"	""	"Bahujan Samaj Party"	"1293"	"0"	"1293"	""	""
"204"	"6"	"ABHINANDAN RAJAK"	""	"Apna Dal"	"1777"	"0"	"1777"	""	""
"205"	"7"	"UMESH PASWAN"	""	"Lok Jan Shakti Party"	"3999"	"0"	"3999"	""	""
"206"	"8"	"NITYANAND RISHI"	""	"Communist Party of India (Marxist-Leninist)(Libration)"	"1013"	"0"	"1013"	""	""
"207"	"9"	"MANJU DEVI"	""	"Jharkhand Disom Party"	"1436"	"0"	"1436"	""	""
"208"	"10"	"GHANSHYAM DAS"	""	"Independent"	"968"	"0"	"968"	""	""
"209"	"11"	"DEO NARAYAN PASWAN"	""	"Independent"	"830"	"0"	"830"	""	""
"210"	"12"	"SHASHIKALA DEVI"	""	"Independent"	"735"	"0"	"735"	""	""
"211"	"13"	"SURESH BAITHA"	""	"Independent"	"1690"	"0"	"1690"	""	""
"212"	"Place -"	""	""	""	""	""	""	""	""
"213"	"Date  -"	""	""	""	""	""	""	""	""
"214"	"Returning Officer"	""	""	""	""	""	""	""	""
"215"	"126 - Banmankhi Assembly Constituency"	""	""	""	""	""	""	""	""
"216"	"ROUND - 9 - CUMMULATIVE"	""	""	""	""	""	""	""	""
"217"	"ANNEXURE - XL"	""	""	""	""	""	""	""	""
"218"	"[Para 22 ® Chapter - XIV-A]"	""	""	""	""	""	""	""	""
"219"	"FORM - 20"	""	""	""	""	""	""	""	""
"220"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""
"221"	"[See Rule 56 A (7)]"	""	""	""	""	""	""	""	""
"222"	"Election to the Legislative Assembly from the 126-BANMANKHI Assembly Constituency"	""	""	""	""	""	""	""	""
"223"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""
"224"	"Candidate Details"	""	""	""	"Votes Polled in AC"	""	""	""	""
"225"	"Sl. No"	"Name"	""	"Party Abbre."	"Tot Gen Votes."	"Postal Votes"	"Total Votes"	""	""
"226"	"1"	"UDO PRASAD RAJAK"	""	"Jharkhand Mukti Morcha"	"2750"	"0"	"2750"	""	""
"227"	"2"	"KRISHNA KUMAR RISHI"	""	"Bharatiya Janata Party"	"20424"	"0"	"20424"	""	""
"228"	"3"	"JAIKANT PASWAN"	""	"Indian National Congress"	"7162"	"0"	"7162"	""	""
"229"	"4"	"MANORAMA DEVI"	""	"Rashtriya Janata Dal"	"14775"	"0"	"14775"	""	""
"230"	"5"	"RAMDEO RISHI"	""	"Bahujan Samaj Party"	"1421"	"0"	"1421"	""	""
"231"	"6"	"ABHINANDAN RAJAK"	""	"Apna Dal"	"1877"	"0"	"1877"	""	""
"232"	"7"	"UMESH PASWAN"	""	"Lok Jan Shakti Party"	"4285"	"0"	"4285"	""	""
"233"	"8"	"NITYANAND RISHI"	""	"Communist Party of India (Marxist-Leninist)(Libration)"	"1235"	"0"	"1235"	""	""
"234"	"9"	"MANJU DEVI"	""	"Jharkhand Disom Party"	"1609"	"0"	"1609"	""	""
"235"	"10"	"GHANSHYAM DAS"	""	"Independent"	"1081"	"0"	"1081"	""	""
"236"	"11"	"DEO NARAYAN PASWAN"	""	"Independent"	"924"	"0"	"924"	""	""
"237"	"12"	"SHASHIKALA DEVI"	""	"Independent"	"952"	"0"	"952"	""	""
"238"	"13"	"SURESH BAITHA"	""	"Independent"	"2512"	"0"	"2512"	""	""
"239"	"Place -"	""	""	""	""	""	""	""	""
"240"	"Date  -"	""	""	""	""	""	""	""	""
"241"	"Returning Officer"	""	""	""	""	""	""	""	""
"242"	"126 - Banmankhi Assembly Constituency"	""	""	""	""	""	""	""	""
"243"	"ROUND - 10"	""	""	""	""	""	""	""	""
"244"	"ANNEXURE - XL"	""	""	""	""	""	""	""	""
"245"	"[Para 22 ® Chapter - XIV-A]"	""	""	""	""	""	""	""	""
"246"	"FORM - 20"	""	""	""	""	""	""	""	""
"247"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""
"248"	"[See Rule 56 A (7)]"	""	""	""	""	""	""	""	""
"249"	"Election to the Legislative Assembly from the 126-BANMANKHI Assembly Constituency"	""	""	""	""	""	""	""	""
"250"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""
"251"	"Candidate Details"	""	""	""	"Votes Polled in AC"	""	""	""	""
"252"	"Sl. No"	"Name"	""	"Party Abbre."	"Tot Gen Votes."	"Postal Votes"	"Total Votes"	""	""
"253"	"1"	"UDO PRASAD RAJAK"	""	"Jharkhand Mukti Morcha"	"2935"	"0"	"2935"	""	""
"254"	"2"	"KRISHNA KUMAR RISHI"	""	"Bharatiya Janata Party"	"23823"	"0"	"23823"	""	""
"255"	"3"	"JAIKANT PASWAN"	""	"Indian National Congress"	"7428"	"0"	"7428"	""	""
"256"	"4"	"MANORAMA DEVI"	""	"Rashtriya Janata Dal"	"16713"	"0"	"16713"	""	""
"257"	"5"	"RAMDEO RISHI"	""	"Bahujan Samaj Party"	"1478"	"0"	"1478"	""	""
"258"	"6"	"ABHINANDAN RAJAK"	""	"Apna Dal"	"1906"	"0"	"1906"	""	""
"259"	"7"	"UMESH PASWAN"	""	"Lok Jan Shakti Party"	"4740"	"0"	"4740"	""	""
"260"	"8"	"NITYANAND RISHI"	""	"Communist Party of India (Marxist-Leninist)(Libration)"	"1270"	"0"	"1270"	""	""
"261"	"9"	"MANJU DEVI"	""	"Jharkhand Disom Party"	"1692"	"0"	"1692"	""	""
"262"	"10"	"GHANSHYAM DAS"	""	"Independent"	"1176"	"0"	"1176"	""	""
"263"	"11"	"DEO NARAYAN PASWAN"	""	"Independent"	"964"	"0"	"964"	""	""
"264"	"12"	"SHASHIKALA DEVI"	""	"Independent"	"1022"	"0"	"1022"	""	""
"265"	"13"	"SURESH BAITHA"	""	"Independent"	"2638"	"0"	"2638"	""	""
"266"	"Place -"	""	""	""	""	""	""	""	""
"267"	"Date  -"	""	""	""	""	""	""	""	""
"268"	"Returning Officer"	""	""	""	""	""	""	""	""
"269"	"126 - Banmankhi Assembly Constituency"	""	""	""	""	""	""	""	""
"270"	"ROUND - 11 - CUMMULATIVE"	""	""	""	""	""	""	""	""
"271"	"ANNEXURE - XL"	""	""	""	""	""	""	""	""
"272"	"[Para 22 ® Chapter - XIV-A]"	""	""	""	""	""	""	""	""
"273"	"FORM - 20"	""	""	""	""	""	""	""	""
"274"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""
"275"	"[See Rule 56 A (7)]"	""	""	""	""	""	""	""	""
"276"	"Election to the Legislative Assembly from the 126-BANMANKHI Assembly Constituency"	""	""	""	""	""	""	""	""
"277"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""
"278"	"Candidate Details"	""	""	""	"Votes Polled in AC"	""	""	""	""
"279"	"Sl. No"	"Name"	""	"Party Abbre."	"Tot Gen Votes."	"Postal Votes"	"Total Votes"	""	""
"280"	"1"	"UDO PRASAD RAJAK"	""	"Jharkhand Mukti Morcha"	"3306"	"0"	"3306"	""	""
"281"	"2"	"KRISHNA KUMAR RISHI"	""	"Bharatiya Janata Party"	"25616"	"0"	"25616"	""	""
"282"	"3"	"JAIKANT PASWAN"	""	"Indian National Congress"	"7905"	"0"	"7905"	""	""
"283"	"4"	"MANORAMA DEVI"	""	"Rashtriya Janata Dal"	"18628"	"0"	"18628"	""	""
"284"	"5"	"RAMDEO RISHI"	""	"Bahujan Samaj Party"	"1547"	"0"	"1547"	""	""
"285"	"6"	"ABHINANDAN RAJAK"	""	"Apna Dal"	"1933"	"0"	"1933"	""	""
"286"	"7"	"UMESH PASWAN"	""	"Lok Jan Shakti Party"	"4927"	"0"	"4927"	""	""
"287"	"8"	"NITYANAND RISHI"	""	"Communist Party of India (Marxist-Leninist)(Libration)"	"1375"	"0"	"1375"	""	""
"288"	"9"	"MANJU DEVI"	""	"Jharkhand Disom Party"	"1780"	"0"	"1780"	""	""
"289"	"10"	"GHANSHYAM DAS"	""	"Independent"	"1257"	"0"	"1257"	""	""
"290"	"11"	"DEO NARAYAN PASWAN"	""	"Independent"	"1068"	"0"	"1068"	""	""
"291"	"12"	"SHASHIKALA DEVI"	""	"Independent"	"1300"	"0"	"1300"	""	""
"292"	"13"	"SURESH BAITHA"	""	"Independent"	"2803"	"0"	"2803"	""	""
"293"	"Place -"	""	""	""	""	""	""	""	""
"294"	"Date  -"	""	""	""	""	""	""	""	""
"295"	"Returning Officer"	""	""	""	""	""	""	""	""
"296"	"126 - Banmankhi Assembly Constituency"	""	""	""	""	""	""	""	""
"297"	"ROUND - 12 - CUMMULATIVE"	""	""	""	""	""	""	""	""
"298"	"ANNEXURE - XL"	""	""	""	""	""	""	""	""
"299"	"[Para 22 ® Chapter - XIV-A]"	""	""	""	""	""	""	""	""
"300"	"FORM - 20"	""	""	""	""	""	""	""	""
"301"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""
"302"	"[See Rule 56 A (7)]"	""	""	""	""	""	""	""	""
"303"	"Election to the Legislative Assembly from the 126-BANMANKHI Assembly Constituency"	""	""	""	""	""	""	""	""
"304"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""
"305"	"Candidate Details"	""	""	""	"Votes Polled in AC"	""	""	""	""
"306"	"Sl. No"	"Name"	""	"Party Abbre."	"Tot Gen Votes."	"Postal Votes"	"Total Votes"	""	""
