"Sl.No.of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"Total.of.valid.votes"	"No.of.votes"	"Total"	"No..of.Tendered.votes"
"80"	"62"	"25"	"36"	"298"	"168"	"10"	"170"	"707"	"0"	"707"	"0"
"81"	"63"	"34"	"46"	"135"	"182"	"6"	"91"	"494"	"0"	"494"	"0"
"82"	"64"	"30"	"7"	"84"	"43"	"5"	"164"	"333"	"0"	"333"	"0"
"83"	"65"	"33"	"8"	"146"	"30"	"6"	"129"	"352"	"0"	"352"	"0"
"84"	"66"	"35"	"23"	"196"	"165"	"17"	"206"	"642"	"0"	"642"	"0"
"85"	"67"	"47"	"47"	"100"	"77"	"12"	"279"	"562"	"0"	"562"	"0"
"86"	"68"	"31"	"137"	"138"	"153"	"13"	"188"	"660"	"0"	"660"	"0"
"87"	"69"	"69"	"47"	"108"	"170"	"18"	"211"	"623"	"0"	"623"	"0"
"88"	"70"	"63"	"38"	"223"	"109"	"25"	"274"	"732"	"0"	"732"	"0"
"89"	"Total"	"465"	"853"	"1795"	"1792"	"176"	"2872"	"7953"	"0"	"7953"	"0"
"90"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	"Total of valid votes"	"No of votes"	"Total"	"No. of Tendered votes"
"91"	""	"Niranjan Rai Patel"	"Pramod Kumar sharma"	"Rajendra Rajan"	"Dr.
Dhamendr a Patel"	"Shashi Dhar Jha"	"Narendra Kumar Singh"	""	""	""	""
"92"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"
"93"	"71"	"43"	"19"	"254"	"82"	"3"	"331"	"732"	"0"	"732"	"0"
"94"	"72"	"59"	"78"	"133"	"117"	"15"	"210"	"612"	"0"	"612"	"0"
"95"	"73"	"65"	"19"	"238"	"46"	"18"	"346"	"732"	"0"	"732"	"0"
"96"	"74"	"35"	"19"	"73"	"18"	"8"	"346"	"499"	"0"	"499"	"0"
"97"	"75"	"13"	"24"	"70"	"20"	"9"	"318"	"454"	"0"	"454"	"0"
"98"	"76"	"32"	"22"	"179"	"25"	"10"	"353"	"621"	"0"	"621"	"0"
"99"	"77"	"36"	"20"	"199"	"15"	"12"	"270"	"552"	"0"	"552"	"0"
"100"	"78"	"44"	"65"	"160"	"19"	"10"	"253"	"551"	"0"	"551"	"0"
"101"	"79"	"22"	"23"	"201"	"15"	"5"	"198"	"464"	"0"	"464"	"0"
"102"	"80"	"30"	"106"	"169"	"9"	"7"	"425"	"746"	"0"	"746"	"0"
"103"	"81"	"6"	"41"	"10"	"0"	"4"	"461"	"522"	"0"	"522"	"0"
"104"	"82"	"2"	"60"	"25"	"1"	"1"	"444"	"533"	"0"	"533"	"0"
"105"	"83"	"17"	"88"	"52"	"65"	"12"	"290"	"524"	"0"	"524"	"0"
"106"	"84"	"13"	"99"	"119"	"8"	"6"	"583"	"828"	"0"	"828"	"0"
"107"	"Total"	"417"	"683"	"1882"	"440"	"120"	"4828"	"8370"	"0"	"8370"	"0"
"108"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	"Total of valid votes"	"No of votes"	"Total"	"No. of Tendered votes"
"109"	""	"Niranjan Rai Patel"	"Pramod Kumar sharma"	"Rajendra Rajan"	"Dr.
Dhamendr a Patel"	"Shashi Dhar Jha"	"Narendra Kumar Singh"	""	""	""	""
"110"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"
"111"	"85"	"16"	"4"	"240"	"10"	"0"	"181"	"451"	"0"	"451"	"0"
"112"	"86"	"2"	"59"	"22"	"6"	"1"	"223"	"313"	"0"	"313"	"0"
"113"	"87"	"13"	"103"	"41"	"11"	"4"	"357"	"529"	"0"	"529"	"0"
"114"	"88"	"25"	"141"	"184"	"43"	"6"	"56"	"455"	"0"	"455"	"0"
"115"	"89"	"17"	"69"	"117"	"52"	"11"	"124"	"390"	"0"	"390"	"0"
"116"	"90"	"63"	"82"	"328"	"55"	"15"	"303"	"846"	"0"	"846"	"0"
"117"	"91"	"90"	"199"	"69"	"18"	"16"	"354"	"746"	"0"	"746"	"0"
"118"	"92"	"49"	"48"	"70"	"10"	"15"	"335"	"527"	"0"	"527"	"0"
"119"	"93"	"40"	"159"	"36"	"63"	"9"	"397"	"704"	"0"	"704"	"0"
"120"	"94"	"7"	"99"	"34"	"5"	"8"	"427"	"580"	"0"	"580"	"0"
"121"	"95"	"23"	"84"	"55"	"15"	"18"	"572"	"767"	"0"	"767"	"0"
"122"	"96"	"33"	"124"	"51"	"9"	"8"	"472"	"697"	"0"	"697"	"0"
"123"	"97"	"16"	"31"	"102"	"9"	"9"	"287"	"454"	"0"	"454"	"0"
"124"	"98"	"20"	"219"	"132"	"11"	"14"	"441"	"837"	"0"	"837"	"0"
"125"	"Total"	"414"	"1421"	"1481"	"317"	"134"	"4529"	"8296"	"0"	"8296"	"0"
"126"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	"Total of valid votes"	"No of votes"	"Total"	"No. of Tendered votes"
"127"	""	"Niranjan Rai Patel"	"Pramod Kumar sharma"	"Rajendra Rajan"	"Dr.
Dhamendr a Patel"	"Shashi Dhar Jha"	"Narendra Kumar Singh"	""	""	""	""
"128"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"
"129"	"99"	"6"	"117"	"16"	"3"	"7"	"176"	"325"	"0"	"325"	"0"
"130"	"100"	"57"	"180"	"165"	"16"	"12"	"231"	"661"	"0"	"661"	"0"
"131"	"101"	"44"	"106"	"89"	"7"	"15"	"317"	"578"	"0"	"578"	"0"
"132"	"102"	"29"	"54"	"67"	"6"	"14"	"383"	"553"	"0"	"553"	"0"
"133"	"103"	"15"	"79"	"104"	"8"	"6"	"195"	"407"	"0"	"407"	"0"
"134"	"106"	"12"	"30"	"34"	"2"	"4"	"304"	"386"	"0"	"386"	"0"
"135"	"107"	"4"	"104"	"3"	"0"	"1"	"259"	"371"	"0"	"371"	"0"
"136"	"108"	"6"	"0"	"7"	"0"	"1"	"387"	"401"	"0"	"401"	"0"
"137"	"109"	"6"	"65"	"19"	"2"	"12"	"387"	"491"	"0"	"491"	"0"
"138"	"110"	"20"	"31"	"295"	"20"	"16"	"214"	"596"	"0"	"596"	"0"
"139"	"111"	"22"	"49"	"209"	"21"	"16"	"291"	"608"	"0"	"608"	"0"
"140"	"112"	"28"	"28"	"156"	"14"	"15"	"412"	"653"	"0"	"653"	"0"
"141"	"113"	"25"	"41"	"150"	"9"	"27"	"440"	"692"	"0"	"692"	"0"
"142"	"114"	"32"	"139"	"147"	"17"	"50"	"376"	"761"	"0"	"761"	"0"
"143"	"Total"	"306"	"1023"	"1461"	"125"	"196"	"4372"	"7483"	"0"	"7483"	"0"
"144"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	"Total of valid votes"	"No of votes"	"Total"	"No. of Tendered votes"
"145"	""	"Niranjan Rai Patel"	"Pramod Kumar sharma"	"Rajendra Rajan"	"Dr.
Dhamendr a Patel"	"Shashi Dhar Jha"	"Narendra Kumar Singh"	""	""	""	""
"146"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"
"147"	"115"	"52"	"78"	"98"	"12"	"83"	"441"	"764"	"0"	"764"	"0"
"148"	"116"	"13"	"121"	"92"	"4"	"4"	"361"	"595"	"0"	"595"	"0"
"149"	"117"	"46"	"62"	"207"	"29"	"13"	"293"	"650"	"0"	"650"	"0"
"150"	"118"	"19"	"165"	"67"	"19"	"11"	"456"	"737"	"0"	"737"	"0"
"151"	"119"	"45"	"69"	"394"	"39"	"16"	"112"	"675"	"0"	"675"	"0"
"152"	"120"	"35"	"64"	"357"	"25"	"18"	"312"	"811"	"0"	"811"	"0"
"153"	"121"	"36"	"125"	"281"	"25"	"16"	"319"	"802"	"0"	"802"	"0"
"154"	"122"	"15"	"9"	"403"	"10"	"0"	"68"	"505"	"0"	"505"	"0"
"155"	"123"	"28"	"97"	"186"	"16"	"15"	"390"	"732"	"0"	"732"	"0"
"156"	"124"	"24"	"15"	"335"	"13"	"6"	"132"	"525"	"0"	"525"	"0"
"157"	"125"	"25"	"4"	"464"	"20"	"6"	"153"	"672"	"0"	"672"	"0"
"158"	"126"	"16"	"8"	"233"	"13"	"2"	"154"	"426"	"0"	"426"	"0"
"159"	"127"	"18"	"10"	"288"	"19"	"6"	"201"	"542"	"0"	"542"	"0"
"160"	"128"	"47"	"20"	"131"	"7"	"6"	"279"	"490"	"0"	"490"	"0"
"161"	"Total"	"419"	"847"	"3536"	"251"	"202"	"3671"	"8926"	"0"	"8926"	"0"
"162"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	"Total of valid votes"	"No of votes"	"Total"	"No. of Tendered votes"
"163"	""	"Niranjan Rai Patel"	"Pramod Kumar sharma"	"Rajendra Rajan"	"Dr.
Dhamendr a Patel"	"Shashi Dhar Jha"	"Narendra Kumar Singh"	""	""	""	""
"164"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"
"165"	"129"	"22"	"39"	"214"	"13"	"6"	"233"	"527"	"0"	"527"	"0"
"166"	"130"	"24"	"20"	"136"	"14"	"6"	"324"	"524"	"0"	"524"	"0"
"167"	"131"	"19"	"12"	"227"	"9"	"12"	"284"	"563"	"0"	"563"	"0"
"168"	"132"	"31"	"72"	"62"	"5"	"11"	"286"	"467"	"0"	"467"	"0"
"169"	"133"	"19"	"9"	"130"	"7"	"5"	"245"	"415"	"0"	"415"	"0"
"170"	"134"	"16"	"8"	"213"	"7"	"2"	"259"	"505"	"0"	"505"	"0"
"171"	"135"	"38"	"11"	"281"	"11"	"5"	"323"	"669"	"0"	"669"	"0"
"172"	"136"	"25"	"13"	"136"	"5"	"15"	"407"	"601"	"0"	"601"	"0"
"173"	"137"	"25"	"20"	"267"	"14"	"14"	"444"	"784"	"0"	"784"	"0"
"174"	"138"	"15"	"61"	"92"	"17"	"4"	"352"	"541"	"0"	"541"	"0"
"175"	"139"	"40"	"15"	"422"	"24"	"6"	"285"	"792"	"0"	"792"	"0"
"176"	"140"	"39"	"68"	"155"	"15"	"14"	"424"	"715"	"0"	"715"	"0"
"177"	"141"	"34"	"41"	"82"	"54"	"7"	"324"	"542"	"0"	"542"	"0"
"178"	"142"	"39"	"24"	"98"	"8"	"6"	"177"	"352"	"0"	"352"	"0"
"179"	"Total"	"386"	"413"	"2515"	"203"	"113"	"4367"	"7997"	"0"	"7997"	"0"
"180"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	"Total of valid votes"	"No of votes"	"Total"	"No. of Tendered votes"
"181"	""	"Niranjan Rai Patel"	"Pramod Kumar sharma"	"Rajendra Rajan"	"Dr.
Dhamendr a Patel"	"Shashi Dhar Jha"	"Narendra Kumar Singh"	""	""	""	""
"182"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"
"183"	"143"	"22"	"81"	"235"	"18"	"0"	"126"	"482"	"0"	"482"	"0"
"184"	"144"	"23"	"11"	"350"	"10"	"5"	"30"	"429"	"0"	"429"	"0"
"185"	"145"	"41"	"34"	"447"	"37"	"8"	"245"	"812"	"0"	"812"	"0"
"186"	"146"	"15"	"54"	"22"	"6"	"3"	"378"	"478"	"0"	"478"	"0"
"187"	"147"	"16"	"68"	"53"	"7"	"4"	"284"	"432"	"0"	"432"	"0"
"188"	"148"	"48"	"72"	"41"	"12"	"15"	"328"	"516"	"0"	"516"	"0"
"189"	"149"	"31"	"137"	"273"	"29"	"14"	"114"	"598"	"0"	"598"	"0"
"190"	"150"	"35"	"19"	"293"	"20"	"13"	"302"	"682"	"0"	"682"	"0"
"191"	"151"	"17"	"14"	"74"	"4"	"1"	"281"	"391"	"0"	"391"	"0"
"192"	"152"	"10"	"45"	"137"	"8"	"5"	"190"	"395"	"0"	"395"	"0"
"193"	"153"	"28"	"40"	"97"	"9"	"9"	"470"	"653"	"0"	"653"	"0"
"194"	"154"	"25"	"21"	"36"	"2"	"3"	"314"	"401"	"0"	"401"	"0"
"195"	"155"	"51"	"21"	"70"	"4"	"5"	"398"	"549"	"0"	"549"	"0"
"196"	"156"	"16"	"116"	"112"	"6"	"6"	"194"	"450"	"0"	"450"	"0"
"197"	"Total"	"378"	"733"	"2240"	"172"	"91"	"3654"	"7268"	"0"	"7268"	"0"
"198"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	"Total of valid votes"	"No of votes"	"Total"	"No. of Tendered votes"
"199"	""	"Niranjan Rai Patel"	"Pramod Kumar sharma"	"Rajendra Rajan"	"Dr.
Dhamendr a Patel"	"Shashi Dhar Jha"	"Narendra Kumar Singh"	""	""	""	""
"200"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"
"201"	"157"	"22"	"158"	"97"	"5"	"4"	"183"	"469"	"0"	"469"	"0"
"202"	"158"	"46"	"37"	"92"	"11"	"7"	"267"	"460"	"0"	"460"	"0"
"203"	"159"	"11"	"25"	"34"	"5"	"6"	"444"	"525"	"0"	"525"	"0"
"204"	"160"	"21"	"25"	"53"	"8"	"3"	"476"	"586"	"0"	"586"	"0"
"205"	"161"	"32"	"35"	"133"	"26"	"14"	"209"	"449"	"0"	"449"	"0"
"206"	"162"	"55"	"66"	"144"	"25"	"16"	"439"	"745"	"0"	"745"	"0"
"207"	"163"	"20"	"6"	"90"	"7"	"10"	"439"	"572"	"0"	"572"	"0"
"208"	"164"	"49"	"7"	"91"	"6"	"6"	"478"	"637"	"0"	"637"	"0"
"209"	"165"	"18"	"7"	"212"	"13"	"7"	"257"	"514"	"0"	"514"	"0"
"210"	"166"	"33"	"12"	"106"	"2"	"12"	"409"	"574"	"0"	"574"	"0"
"211"	"167"	"61"	"47"	"264"	"12"	"13"	"326"	"723"	"0"	"723"	"0"
"212"	"168"	"31"	"45"	"34"	"22"	"12"	"470"	"614"	"0"	"614"	"0"
"213"	"169"	"27"	"8"	"27"	"4"	"5"	"382"	"453"	"0"	"453"	"0"
"214"	"170"	"55"	"25"	"60"	"8"	"16"	"630"	"794"	"0"	"794"	"0"
"215"	"Total"	"481"	"503"	"1437"	"154"	"131"	"5409"	"8115"	"0"	"8115"	"0"
"216"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	"Total of valid votes"	"No of votes"	"Total"	"No. of Tendered votes"
"217"	""	"Niranjan Rai Patel"	"Pramod Kumar sharma"	"Rajendra Rajan"	"Dr.
Dhamendr a Patel"	"Shashi Dhar Jha"	"Narendra Kumar Singh"	""	""	""	""
"218"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"
"219"	"171"	"125"	"23"	"71"	"19"	"21"	"544"	"803"	"0"	"803"	"0"
"220"	"172"	"55"	"14"	"54"	"11"	"19"	"507"	"660"	"0"	"660"	"0"
"221"	"173"	"76"	"10"	"31"	"8"	"10"	"273"	"408"	"0"	"408"	"0"
"222"	"174"	"5"	"0"	"2"	"1"	"0"	"387"	"395"	"0"	"395"	"0"
"223"	"175"	"62"	"21"	"38"	"13"	"12"	"609"	"755"	"0"	"755"	"0"
"224"	"176"	"58"	"16"	"91"	"121"	"17"	"380"	"683"	"0"	"683"	"0"
"225"	"177"	"40"	"2"	"103"	"120"	"10"	"425"	"700"	"0"	"700"	"0"
"226"	"178"	"33"	"6"	"52"	"3"	"5"	"398"	"497"	"0"	"497"	"0"
"227"	"Total"	"454"	"92"	"442"	"296"	"94"	"3523"	"4901"	"0"	"4901"	"0"
"228"	"Total No. of Votes recorded on Polling Stations"	"5519"	"9513"	"26703"	"6363"	"1837"	"54014"	"103949"	"0"	"103949"	"0"
"229"	"No. of Votes recorded on Postal Ballot papers"	"0"	"0"	"0"	"0"	"0"	"2"	"2"	"0"	"2"	"0"
"230"	"Total Votes
Polled"	"5519"	"9513"	"26703"	"6363"	"1837"	"54016"	"103951"	"0"	"103951"	"0"
"231"	"Place :          Bazar Samitee Begusarai"	""	""	""	""	""	""	""	""	""	""
"232"	"Date :            02/27/2005"	""	""	""	""	""	""	""	""	""	""
"233"	"Assistant Returning Officer                                            Returning Officer"	""	""	""	""	""	""	""	""	""	""
"234"	"104- Matihani A.C.                                                   104- Matihani A.C."	""	""	""	""	""	""	""	""	""	""
