"FINAL.RESULTSHEET"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"[ SEE RULE 56C (2) © ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 176 - Bihar  ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[ To be used both for Parliamentary And Assembly Election ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Total No. of Electors in Assembly Constituency / Segment  :-  2005 Name of the Assembly Segment     :-          176   Bihar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"(the case of election from a Assembly Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Serial No.of Polling Station"	"No. of Valid Votes cast in Favour of"	""	""	""	""	""	""	""	""	""	"Total of Valid votes"	"No. of rejected votes"	"Total"	"No.of total voter"	"%"
"76"	"57"	"83"	"223"	"2"	"2"	"9"	"1"	"1"	"4"	"5"	"3"	"333"	"0"	"333"	""	""
"77"	"58"	"98"	"271"	"3"	"0"	"2"	"1"	"3"	"2"	"2"	"3"	"385"	"0"	"385"	""	""
"78"	"59"	"102"	"284"	"8"	"1"	"4"	"0"	"5"	"3"	"2"	"3"	"412"	"0"	"412"	""	""
"79"	"60"	"113"	"293"	"3"	"0"	"6"	"1"	"3"	"1"	"2"	"1"	"423"	"0"	"423"	""	""
"80"	"61"	"390"	"82"	"2"	"3"	"4"	"2"	"3"	"1"	"2"	"2"	"491"	"0"	"491"	""	""
"81"	"62"	"520"	"138"	"2"	"2"	"10"	"4"	"9"	"7"	"3"	"12"	"707"	"0"	"707"	""	""
"82"	"63"	"276"	"200"	"7"	"4"	"1"	"0"	"2"	"1"	"5"	"11"	"507"	"0"	"507"	""	""
"83"	"64"	"511"	"93"	"1"	"1"	"6"	"1"	"6"	"2"	"3"	"2"	"626"	"0"	"626"	""	""
"84"	"65"	"528"	"51"	"15"	"12"	"19"	"4"	"19"	"5"	"5"	"21"	"679"	"0"	"679"	""	""
"85"	"66"	"849"	"12"	"1"	"2"	"2"	"0"	"3"	"0"	"0"	"3"	"872"	"0"	"872"	""	""
"86"	"67"	"685"	"36"	"3"	"2"	"5"	"1"	"11"	"1"	"5"	"9"	"758"	"0"	"758"	""	""
"87"	"68"	"320"	"205"	"10"	"2"	"12"	"1"	"2"	"2"	"3"	"11"	"568"	"0"	"568"	""	""
"88"	"69"	"619"	"31"	"54"	"4"	"12"	"3"	"8"	"7"	"6"	"22"	"766"	"0"	"766"	""	""
"89"	"70"	"392"	"21"	"2"	"1"	"3"	"1"	"3"	"2"	"1"	"2"	"428"	"0"	"428"	""	""
"90"	"Round- 5"	"20435"	"13336"	"358"	"147"	"316"	"79"	"362"	"121"	"226"	"446"	"35826"	"0"	"35826"	""	""
"91"	"71"	"408"	"35"	"3"	"4"	"55"	"5"	"7"	"4"	"6"	"7"	"534"	"0"	"534"	""	""
"92"	"72"	"473"	"14"	"3"	"2"	"10"	"3"	"16"	"0"	"4"	"11"	"536"	"0"	"536"	""	""
"93"	"73"	"282"	"80"	"24"	"35"	"49"	"6"	"13"	"9"	"6"	"9"	"513"	"0"	"513"	""	""
"94"	"74"	"550"	"7"	"3"	"7"	"3"	"0"	"10"	"1"	"1"	"3"	"585"	"0"	"585"	""	""
"95"	"75"	"377"	"20"	"2"	"4"	"5"	"3"	"7"	"1"	"0"	"6"	"425"	"0"	"425"	""	""
"96"	"76"	"434"	"28"	"2"	"5"	"0"	"0"	"9"	"0"	"1"	"2"	"481"	"0"	"481"	""	""
"97"	"77"	"494"	"20"	"1"	"2"	"2"	"1"	"3"	"0"	"1"	"2"	"526"	"0"	"526"	""	""
"98"	"78"	"414"	"22"	"9"	"0"	"2"	"0"	"1"	"1"	"0"	"3"	"452"	"0"	"452"	""	""
"99"	"79"	"484"	"48"	"3"	"0"	"3"	"2"	"6"	"2"	"0"	"3"	"551"	"0"	"551"	""	""
"100"	"80"	"345"	"181"	"4"	"3"	"7"	"1"	"12"	"2"	"1"	"4"	"560"	"0"	"560"	""	""
"101"	"81"	"399"	"32"	"0"	"6"	"1"	"1"	"17"	"0"	"0"	"3"	"459"	"0"	"459"	""	""
"102"	"82"	"302"	"23"	"1"	"5"	"19"	"2"	"9"	"4"	"3"	"0"	"368"	"0"	"368"	""	""
"103"	"83"	"606"	"115"	"3"	"4"	"8"	"2"	"14"	"4"	"5"	"16"	"777"	"0"	"777"	""	""
"104"	"84"	"823"	"11"	"5"	"1"	"4"	"1"	"9"	"1"	"2"	"5"	"862"	"0"	"862"	""	""
"105"	"Round- 6"	"26826"	"13972"	"421"	"225"	"484"	"106"	"495"	"150"	"256"	"520"	"43455"	"0"	"43455"	""	""
"106"	"85"	"445"	"26"	"7"	"3"	"7"	"3"	"9"	"1"	"0"	"0"	"501"	"0"	"501"	""	""
"107"	"Serial No.of Polling Station"	"No. of Valid Votes cast in Favour of"	""	""	""	""	""	""	""	""	""	"Total of Valid votes"	"No. of rejected votes"	"Total"	"No.of total voter"	"%"
"108"	""	"Dr. Sunil Kumar"	"Syed Naushadun Nabi"	"Md.
Himayun Ansari"	"Anil Kumar"	"Jageshwar Yadav"	"Bhushan Mahto"	"Rajesh Kumar"	"Aafrin Sultana"	"Manoj Kumar"	"Heera Lal Sao"	""	""	""	""	""
"109"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"2"	"3"	"4"	"5"	"6"
"110"	"86"	"16"	"544"	"8"	"2"	"0"	"2"	"1"	"5"	"6"	"5"	"589"	"0"	"589"	""	""
"111"	"87"	"131"	"514"	"4"	"1"	"5"	"0"	"6"	"9"	"7"	"6"	"683"	"0"	"683"	""	""
"112"	"88"	"384"	"45"	"10"	"3"	"1"	"0"	"14"	"3"	"0"	"0"	"460"	"0"	"460"	""	""
"113"	"89"	"374"	"51"	"6"	"2"	"5"	"3"	"13"	"1"	"0"	"2"	"457"	"0"	"457"	""	""
"114"	"90"	"372"	"131"	"4"	"4"	"12"	"1"	"14"	"4"	"0"	"11"	"553"	"0"	"553"	""	""
"115"	"91"	"263"	"95"	"5"	"5"	"6"	"2"	"11"	"7"	"3"	"12"	"409"	"0"	"409"	""	""
"116"	"92"	"305"	"76"	"4"	"3"	"3"	"0"	"10"	"2"	"3"	"5"	"411"	"0"	"411"	""	""
"117"	"93"	"369"	"77"	"1"	"2"	"5"	"1"	"6"	"4"	"1"	"8"	"474"	"0"	"474"	""	""
"118"	"94"	"192"	"219"	"0"	"2"	"3"	"0"	"4"	"2"	"4"	"6"	"432"	"0"	"432"	""	""
"119"	"95"	"104"	"380"	"2"	"2"	"1"	"0"	"4"	"2"	"2"	"15"	"512"	"0"	"512"	""	""
"120"	"96"	"146"	"419"	"14"	"2"	"4"	"2"	"7"	"3"	"4"	"13"	"614"	"0"	"614"	""	""
"121"	"97"	"75"	"449"	"2"	"1"	"0"	"0"	"4"	"2"	"1"	"6"	"540"	"0"	"540"	""	""
"122"	"98"	"17"	"19"	"0"	"0"	"465"	"0"	"0"	"0"	"0"	"0"	"501"	"0"	"501"	""	""
"123"	"Round- 7"	"30019"	"17017"	"488"	"257"	"1001"	"120"	"598"	"195"	"287"	"609"	"50591"	"0"	"50591"	""	""
"124"	"99"	"30"	"45"	"1"	"1"	"457"	"0"	"0"	"0"	"0"	"1"	"535"	"0"	"535"	""	""
"125"	"100"	"43"	"370"	"2"	"1"	"3"	"0"	"0"	"1"	"3"	"0"	"423"	"0"	"423"	""	""
"126"	"101"	"72"	"321"	"3"	"0"	"2"	"1"	"1"	"2"	"0"	"2"	"404"	"0"	"404"	""	""
"127"	"102"	"90"	"294"	"0"	"3"	"3"	"1"	"2"	"2"	"0"	"8"	"403"	"0"	"403"	""	""
"128"	"103"	"275"	"75"	"1"	"2"	"6"	"0"	"10"	"3"	"2"	"1"	"375"	"0"	"375"	""	""
"129"	"104"	"156"	"170"	"1"	"2"	"2"	"1"	"2"	"2"	"0"	"3"	"339"	"0"	"339"	""	""
"130"	"105"	"109"	"248"	"9"	"0"	"5"	"2"	"4"	"2"	"4"	"4"	"387"	"0"	"387"	""	""
"131"	"106"	"509"	"65"	"1"	"2"	"6"	"0"	"5"	"5"	"1"	"5"	"599"	"0"	"599"	""	""
"132"	"107"	"347"	"110"	"1"	"0"	"5"	"3"	"7"	"1"	"0"	"12"	"486"	"0"	"486"	""	""
"133"	"108"	"324"	"104"	"0"	"0"	"8"	"0"	"6"	"3"	"0"	"8"	"453"	"0"	"453"	""	""
"134"	"109"	"473"	"35"	"0"	"0"	"4"	"1"	"9"	"0"	"0"	"6"	"528"	"0"	"528"	""	""
"135"	"110"	"213"	"296"	"4"	"2"	"4"	"1"	"3"	"0"	"4"	"6"	"533"	"0"	"533"	""	""
"136"	"111"	"358"	"77"	"1"	"3"	"1"	"1"	"5"	"1"	"0"	"8"	"455"	"0"	"455"	""	""
"137"	"112"	"116"	"335"	"7"	"8"	"10"	"1"	"5"	"5"	"4"	"2"	"493"	"0"	"493"	""	""
"138"	"Round- 8"	"33134"	"19562"	"519"	"281"	"1517"	"132"	"657"	"222"	"305"	"675"	"57004"	"0"	"57004"	""	""
"139"	"113"	"252"	"234"	"4"	"2"	"0"	"0"	"2"	"1"	"1"	"2"	"498"	"0"	"498"	""	""
"140"	"114"	"182"	"413"	"4"	"1"	"4"	"0"	"2"	"4"	"4"	"8"	"622"	"0"	"622"	""	""
"141"	"115"	"127"	"422"	"2"	"2"	"6"	"1"	"6"	"1"	"1"	"2"	"570"	"0"	"570"	""	""
"142"	"Serial No.of Polling Station"	"No. of Valid Votes cast in Favour of"	""	""	""	""	""	""	""	""	""	"Total of Valid votes"	"No. of rejected votes"	"Total"	"No.of total voter"	"%"
"143"	""	"Dr. Sunil Kumar"	"Syed Naushadun Nabi"	"Md.
Himayun Ansari"	"Anil Kumar"	"Jageshwar Yadav"	"Bhushan Mahto"	"Rajesh Kumar"	"Aafrin Sultana"	"Manoj Kumar"	"Heera Lal Sao"	""	""	""	""	""
"144"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"2"	"3"	"4"	"5"	"6"
"145"	"116"	"110"	"612"	"4"	"1"	"1"	"0"	"3"	"1"	"3"	"1"	"736"	"0"	"736"	""	""
"146"	"117"	"22"	"331"	"4"	"0"	"2"	"0"	"0"	"1"	"1"	"2"	"363"	"0"	"363"	""	""
"147"	"118"	"7"	"256"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"266"	"0"	"266"	""	""
"148"	"119"	"370"	"38"	"2"	"0"	"2"	"1"	"11"	"3"	"3"	"2"	"432"	"0"	"432"	""	""
"149"	"120"	"10"	"445"	"6"	"2"	"5"	"0"	"0"	"1"	"2"	"1"	"472"	"0"	"472"	""	""
"150"	"121"	"488"	"105"	"0"	"1"	"2"	"3"	"8"	"1"	"3"	"4"	"615"	"0"	"615"	""	""
"151"	"122"	"250"	"106"	"5"	"1"	"1"	"0"	"6"	"0"	"0"	"2"	"371"	"0"	"371"	""	""
"152"	"123"	"320"	"136"	"15"	"4"	"13"	"5"	"17"	"5"	"3"	"14"	"532"	"0"	"532"	""	""
"153"	"124"	"295"	"200"	"1"	"2"	"0"	"0"	"9"	"0"	"2"	"10"	"519"	"0"	"519"	""	""
"154"	"125"	"333"	"164"	"3"	"3"	"7"	"0"	"7"	"6"	"0"	"6"	"529"	"0"	"529"	""	""
"155"	"126"	"572"	"45"	"0"	"5"	"3"	"1"	"12"	"2"	"1"	"5"	"646"	"0"	"646"	""	""
"156"	"Round- 9"	"36472"	"23069"	"572"	"305"	"1563"	"143"	"740"	"248"	"329"	"734"	"64175"	"0"	"64175"	""	""
"157"	"127"	"270"	"233"	"2"	"2"	"5"	"1"	"2"	"2"	"1"	"2"	"520"	"0"	"520"	""	""
"158"	"128"	"362"	"178"	"1"	"1"	"6"	"1"	"8"	"2"	"1"	"13"	"573"	"0"	"573"	""	""
"159"	"129"	"253"	"199"	"2"	"2"	"0"	"1"	"2"	"4"	"1"	"4"	"468"	"0"	"468"	""	""
"160"	"130"	"209"	"186"	"3"	"1"	"0"	"0"	"12"	"2"	"1"	"3"	"417"	"0"	"417"	""	""
"161"	"131"	"176"	"199"	"1"	"0"	"1"	"0"	"4"	"1"	"1"	"1"	"384"	"0"	"384"	""	""
"162"	"132"	"491"	"100"	"4"	"2"	"2"	"1"	"12"	"2"	"3"	"11"	"628"	"0"	"628"	""	""
"163"	"133"	"432"	"98"	"2"	"2"	"3"	"1"	"16"	"4"	"4"	"16"	"578"	"0"	"578"	""	""
"164"	"134"	"349"	"122"	"1"	"1"	"1"	"1"	"3"	"0"	"1"	"1"	"480"	"0"	"480"	""	""
"165"	"135"	"399"	"146"	"1"	"1"	"2"	"1"	"8"	"1"	"0"	"3"	"562"	"0"	"562"	""	""
"166"	"136"	"455"	"168"	"6"	"5"	"8"	"1"	"13"	"7"	"7"	"16"	"686"	"0"	"686"	""	""
"167"	"137"	"594"	"99"	"3"	"8"	"13"	"3"	"10"	"1"	"4"	"6"	"741"	"0"	"741"	""	""
"168"	"138"	"421"	"127"	"17"	"6"	"9"	"3"	"18"	"6"	"4"	"1"	"612"	"0"	"612"	""	""
"169"	"139"	"143"	"201"	"13"	"3"	"3"	"6"	"3"	"6"	"7"	"22"	"407"	"0"	"407"	""	""
"170"	"140"	"29"	"316"	"17"	"1"	"3"	"2"	"2"	"5"	"16"	"8"	"399"	"0"	"399"	""	""
"171"	"Round- 10"	"41055"	"25441"	"645"	"340"	"1619"	"165"	"853"	"291"	"380"	"841"	"71630"	"0"	"71630"	""	""
"172"	"141"	"33"	"393"	"6"	"1"	"1"	"1"	"2"	"8"	"2"	"5"	"452"	"0"	"452"	""	""
"173"	"142"	"12"	"211"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"225"	"0"	"225"	""	""
"174"	"143"	"3"	"501"	"0"	"1"	"7"	"0"	"0"	"0"	"0"	"0"	"512"	"0"	"512"	""	""
"175"	"144"	"480"	"10"	"1"	"1"	"5"	"0"	"3"	"0"	"0"	"3"	"503"	"0"	"503"	""	""
"176"	"145"	"43"	"467"	"5"	"1"	"5"	"0"	"3"	"3"	"4"	"1"	"532"	"0"	"532"	""	""
"177"	"Serial No.of Polling Station"	"No. of Valid Votes cast in Favour of"	""	""	""	""	""	""	""	""	""	"Total of Valid votes"	"No. of rejected votes"	"Total"	"No.of total voter"	"%"
"178"	""	"Dr. Sunil Kumar"	"Syed Naushadun Nabi"	"Md.
Himayun Ansari"	"Anil Kumar"	"Jageshwar Yadav"	"Bhushan Mahto"	"Rajesh Kumar"	"Aafrin Sultana"	"Manoj Kumar"	"Heera Lal Sao"	""	""	""	""	""
"179"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"2"	"3"	"4"	"5"	"6"
"180"	"146"	"57"	"409"	"7"	"0"	"0"	"0"	"3"	"3"	"7"	"5"	"491"	"0"	"491"	""	""
"181"	"147"	"102"	"453"	"5"	"0"	"4"	"3"	"3"	"4"	"5"	"4"	"583"	"0"	"583"	""	""
"182"	"148"	"16"	"440"	"9"	"2"	"7"	"0"	"0"	"2"	"6"	"13"	"495"	"0"	"495"	""	""
"183"	"149"	"31"	"623"	"2"	"1"	"0"	"0"	"0"	"0"	"2"	"0"	"659"	"0"	"659"	""	""
"184"	"150"	"73"	"375"	"5"	"1"	"3"	"1"	"4"	"2"	"6"	"5"	"475"	"0"	"475"	""	""
"185"	"151"	"64"	"421"	"4"	"0"	"0"	"1"	"1"	"2"	"3"	"5"	"501"	"0"	"501"	""	""
"186"	"152"	"180"	"356"	"2"	"1"	"11"	"0"	"3"	"3"	"4"	"3"	"563"	"0"	"563"	""	""
"187"	"153"	"223"	"395"	"11"	"1"	"6"	"2"	"5"	"3"	"14"	"14"	"674"	"0"	"674"	""	""
"188"	"154"	"395"	"63"	"7"	"3"	"2"	"2"	"13"	"1"	"5"	"8"	"499"	"0"	"499"	""	""
"189"	"Round- 11"	"42767"	"30558"	"709"	"353"	"1670"	"176"	"893"	"322"	"438"	"908"	"78794"	"0"	"78794"	""	""
"190"	"155"	"1"	"801"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"802"	"0"	"802"	""	""
"191"	"156"	"2"	"522"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"525"	"0"	"525"	""	""
"192"	"157"	"35"	"506"	"10"	"2"	"7"	"1"	"0"	"1"	"2"	"3"	"567"	"0"	"567"	""	""
"193"	"158"	"29"	"459"	"5"	"0"	"3"	"0"	"1"	"1"	"5"	"4"	"507"	"0"	"507"	""	""
"194"	"159"	"309"	"185"	"3"	"2"	"4"	"0"	"2"	"2"	"2"	"4"	"513"	"0"	"513"	""	""
"195"	"160"	"110"	"312"	"10"	"0"	"1"	"1"	"1"	"3"	"1"	"3"	"442"	"0"	"442"	""	""
