"PS.NO"	"AJAY.NISHAD"	"UMESH.PD..YADAV"	"RAM.VICHAR.RAI"	"RAJU.KUMAR.SINGH"	"AMLESH.KUMAR"	"YADAV.LAL.PATEL"	"RAJ.KISHOR.RAM"	"VISHWA.KARMA.SHARMA"	"SHIV.CHARAN.RAM"	"TOTAL.OF.VALID.VOTES"	"NO.OF.REJECTED.VOTES"	"Total"	"TOTAL.NO.OF.TENDER.VOTES"
"60"	59	21	7	131	166	4	4	7	3	6	-349	0	-349	0
"61"	60	12	2	79	106	2	10	4	1	2	-218	0	-218	0
"62"	61	46	4	199	142	6	31	3	1	10	-442	0	-442	0
"63"	62	33	5	55	157	15	164	5	2	14	-450	0	-450	0
"64"	63	22	0	4	307	2	1	0	0	0	-336	0	-336	0
"65"	64	17	8	119	282	14	13	14	3	8	-478	0	-478	0
"66"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"67"	65	14	18	117	231	11	10	3	3	14	-421	0	-421	0
"68"	66	42	7	539	28	4	10	0	0	6	-636	0	-636	0
"69"	67	59	14	136	299	13	10	0	2	7	-540	0	-540	0
"70"	68	65	1	25	414	10	23	2	3	12	-555	0	-555	0
"71"	69	25	2	31	353	1	2	0	0	1	-415	0	-415	0
"72"	70	17	6	120	187	8	10	10	15	42	-415	0	-415	0
"73"	71	18	1	27	534	14	8	3	1	10	-616	0	-616	0
"74"	72	116	22	107	210	23	27	10	9	31	-555	0	-555	0
"75"	73	94	13	117	296	24	26	8	7	23	-608	0	-608	0
"76"	74	37	10	51	212	10	18	5	6	8	-357	0	-357	0
"77"	75	64	8	355	146	10	14	9	0	23	-629	0	-629	0
"78"	76	68	8	141	234	11	25	7	1	9	-504	0	-504	0
"79"	77	15	2	165	2	0	1	1	1	2	-189	0	-189	0
"80"	78	51	6	141	209	5	14	2	7	13	-448	0	-448	0
"81"	79	73	14	100	330	14	55	13	5	15	-619	0	-619	0
"82"	80	55	6	84	318	15	17	4	8	31	-538	0	-538	0
"83"	81	220	4	128	41	2	3	1	0	3	-402	0	-402	0
"84"	82	92	6	123	40	2	58	5	5	9	-340	0	-340	0
"85"	83	190	13	31	83	6	25	1	4	8	-361	0	-361	0
"86"	84	33	0	80	205	7	18	7	5	12	-367	0	-367	0
"87"	85	22	11	292	292	22	13	6	7	8	-673	0	-673	0
"88"	86	35	5	112	281	13	13	5	6	13	-483	0	-483	0
"89"	87	76	7	53	270	7	9	5	4	15	-446	0	-446	0
"90"	88	14	4	100	222	18	11	6	7	25	-407	0	-407	0
"91"	89	2	1	53	411	10	8	1	1	6	-493	0	-493	0
"92"	90	39	7	87	100	9	18	13	19	37	-329	0	-329	0
"93"	91	24	8	206	97	13	13	12	13	41	-427	0	-427	0
"94"	92	63	5	86	227	0	10	4	1	9	-405	0	-405	0
"95"	93	106	3	11	203	7	5	5	0	9	-349	0	-349	0
"96"	94	25	8	135	264	13	12	11	7	47	-522	0	-522	0
"97"	95	37	7	187	339	8	4	9	3	17	-611	0	-611	0
"98"	96	49	9	62	137	12	16	4	5	17	-311	0	-311	0
"99"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"100"	97	0	2	388	3	0	0	0	0	1	-394	0	-394	0
"101"	98	2	4	499	7	0	0	0	0	1	-513	0	-513	0
"102"	99	129	10	217	293	12	17	8	9	22	-717	0	-717	0
"103"	100	19	2	9	142	11	8	5	0	7	-203	0	-203	0
"104"	101	1	0	598	5	0	0	0	0	2	-606	0	-606	0
"105"	102	10	4	412	19	0	0	1	1	2	-449	0	-449	0
"106"	103	3	2	396	10	2	2	0	2	4	-421	0	-421	0
"107"	104	2	1	420	2	0	0	0	0	0	-425	0	-425	0
"108"	105	386	25	120	19	4	10	3	5	12	-584	0	-584	0
"109"	106	194	14	26	128	12	10	6	4	15	-409	0	-409	0
"110"	107	7	0	70	285	8	6	3	1	4	-384	0	-384	0
"111"	108	132	11	194	359	18	21	25	14	42	-816	0	-816	0
"112"	109	251	11	134	205	7	13	5	5	29	-660	0	-660	0
"113"	110	160	11	143	186	4	11	4	4	18	-541	0	-541	0
"114"	111	16	5	141	182	7	7	8	5	25	-396	0	-396	0
"115"	112	30	12	297	58	11	9	13	8	19	-457	0	-457	0
"116"	113	2	2	387	54	0	1	1	0	6	-453	0	-453	0
"117"	114	25	8	273	129	10	11	7	6	14	-483	0	-483	0
"118"	115	85	8	167	355	15	27	9	5	27	-698	0	-698	0
"119"	116	33	8	219	325	21	28	14	5	28	-681	0	-681	0
"120"	117	44	5	237	213	12	13	8	3	17	-552	0	-552	0
"121"	118	21	9	122	325	14	27	7	11	21	-557	0	-557	0
"122"	119	40	14	103	327	16	26	10	9	34	-579	0	-579	0
"123"	120	74	6	17	292	14	14	7	3	9	-436	0	-436	0
"124"	121	3	0	23	406	0	0	0	0	0	-432	0	-432	0
"125"	122	10	0	8	376	5	4	1	0	3	-407	0	-407	0
"126"	123	36	9	167	331	25	30	14	15	38	-665	0	-665	0
"127"	124	11	3	32	346	2	4	1	1	1	-401	0	-401	0
"128"	125	10	1	34	230	10	7	11	10	21	-334	0	-334	0
"129"	126	27	2	52	394	7	11	2	2	17	-514	0	-514	0
"130"	127	26	5	56	94	6	13	3	2	1	-206	0	-206	0
"131"	128	108	9	238	83	6	15	11	7	23	-500	0	-500	0
"132"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"133"	129	154	8	222	93	11	11	7	2	11	-519	0	-519	0
"134"	130	51	17	190	194	10	15	5	8	12	-502	0	-502	0
"135"	131	36	7	81	219	9	17	2	2	5	-378	0	-378	0
"136"	132	36	6	128	153	4	2	3	3	11	-346	0	-346	0
"137"	133	28	1	81	171	3	10	3	2	6	-305	0	-305	0
"138"	134	46	7	138	169	13	22	7	3	32	-437	0	-437	0
"139"	135	325	11	149	29	1	3	8	3	21	-550	0	-550	0
"140"	136	98	7	204	194	19	20	20	16	33	-611	0	-611	0
"141"	137	222	12	196	169	2	5	1	3	12	-622	0	-622	0
"142"	138	37	5	371	118	7	13	12	5	21	-589	0	-589	0
"143"	139	99	8	110	100	8	9	3	2	15	-354	0	-354	0
"144"	140	86	9	143	32	0	6	2	5	24	-307	0	-307	0
"145"	141	94	11	121	295	22	25	15	13	32	-628	0	-628	0
"146"	142	99	8	98	256	5	9	3	9	18	-505	0	-505	0
"147"	143	168	14	193	150	8	16	13	13	18	-593	0	-593	0
"148"	144	316	12	177	105	5	12	4	8	12	-651	0	-651	0
"149"	145	131	6	100	152	7	16	8	2	14	-436	0	-436	0
"150"	146	12	0	62	28	1	4	0	1	2	-110	0	-110	0
"151"	147	48	9	100	229	4	10	1	2	13	-416	0	-416	0
"152"	148	35	20	197	218	19	11	11	7	30	-548	0	-548	0
"153"	149	10	3	79	358	1	4	2	1	0	-458	0	-458	0
"154"	150	19	6	107	199	10	21	5	12	22	-401	0	-401	0
"155"	151	10	4	181	117	2	1	1	1	9	-326	0	-326	0
"156"	152	31	4	303	64	3	4	3	5	8	-425	0	-425	0
"157"	153	39	4	146	76	13	6	6	2	14	-306	0	-306	0
"158"	154	56	2	49	413	2	4	1	2	4	-533	0	-533	0
"159"	155	17	1	61	351	7	3	2	0	2	-444	0	-444	0
"160"	156	122	14	229	45	1	6	14	5	28	-464	0	-464	0
"161"	157	55	9	198	146	8	10	6	8	11	-451	0	-451	0
"162"	158	94	1	156	202	4	14	8	4	18	-501	0	-501	0
"163"	159	51	4	126	213	8	11	7	11	26	-457	0	-457	0
"164"	160	49	3	47	245	4	8	7	1	1	-365	0	-365	0
"165"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"166"	161	23	4	282	104	5	12	7	7	23	-467	0	-467	0
"167"	162	15	4	273	186	11	5	3	4	10	-511	0	-511	0
"168"	163	16	6	223	125	13	6	5	5	20	-419	0	-419	0
"169"	164	22	8	170	76	4	5	7	18	36	-346	0	-346	0
"170"	165	51	8	188	18	5	5	4	5	29	-313	0	-313	0
"171"	166	28	8	146	136	7	9	8	13	21	-376	0	-376	0
"172"	167	20	0	5	457	0	0	0	0	0	-482	0	-482	0
"173"	168	25	0	8	364	2	1	0	0	1	-401	0	-401	0
"174"	169	26	1	40	436	1	0	2	1	1	-508	0	-508	0
"175"	170	52	10	301	75	6	1	4	2	7	-458	0	-458	0
"176"	171	36	5	221	93	11	10	4	3	35	-418	0	-418	0
"177"	172	24	6	124	170	9	15	7	7	24	-386	0	-386	0
"178"	173	45	0	1	353	2	0	0	1	0	-402	0	-402	0
"179"	174	6	1	0	396	2	0	0	0	0	-405	0	-405	0
"180"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"181"	175	2	0	2	430	0	1	0	0	0	-435	0	-435	0
"182"	176	3	1	42	301	8	8	1	0	6	-370	0	-370	0
"183"	177	15	6	76	70	10	4	1	0	12	-194	0	-194	0
"184"	178	12	4	59	560	6	6	1	2	3	-653	0	-653	0
"185"	179	54	6	155	329	7	3	4	3	17	-578	0	-578	0
"186"	180	67	6	41	254	6	7	7	4	11	-403	0	-403	0
"187"	181	73	10	115	67	8	3	5	5	14	-300	0	-300	0
"188"	182	27	4	69	642	3	4	1	0	1	-751	0	-751	0
"189"	183	11	0	13	207	0	0	0	0	0	-231	0	-231	0
"190"	184	0	1	280	18	0	1	0	0	1	-301	0	-301	0
"191"	185	14	10	350	72	6	2	1	3	7	-465	0	-465	0
"192"	186	202	7	38	40	6	1	1	1	8	-304	0	-304	0
"193"	187	57	2	13	186	2	1	1	0	1	-263	0	-263	0
"194"	188	38	5	123	573	1	6	3	1	2	-752	0	-752	0
"195"	189	6	2	380	3	2	1	2	0	1	-397	0	-397	0
"196"	190	119	2	54	301	4	7	6	3	14	-510	0	-510	0
"197"	191	88	8	46	153	7	12	4	1	20	-339	0	-339	0
"198"	192	16	11	289	255	10	11	9	2	14	-617	0	-617	0
"199"	193	79	3	74	249	4	1	3	1	7	-421	0	-421	0
"200"	194	108	7	82	146	8	8	4	4	16	-383	0	-383	0
"201"	195	34	1	98	341	5	7	4	10	12	-512	0	-512	0
"202"	196	16	3	201	50	2	4	0	0	3	-279	0	-279	0
"203"	197	13	2	45	249	3	11	2	6	5	-336	0	-336	0
"204"	198	31	6	217	283	17	15	10	9	53	-641	0	-641	0
"205"	199	12	1	149	82	3	9	2	5	14	-277	0	-277	0
"206"	200	84	13	130	153	11	12	13	8	20	-444	0	-444	0
"207"	201	79	6	134	234	9	21	11	10	45	-549	0	-549	0
"208"	202	41	6	130	196	10	10	2	2	11	-408	0	-408	0
"209"	203	129	16	114	178	13	20	15	9	24	-518	0	-518	0
"210"	204	21	16	176	426	11	27	19	10	30	-736	0	-736	0
"211"	205	24	8	132	306	8	12	6	1	5	-502	0	-502	0
"212"	206	14	1	93	448	17	17	6	1	16	-613	0	-613	0
"213"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"214"	207	20	10	199	292	14	19	9	4	38	-605	0	-605	0
"215"	208	73	10	197	78	4	14	3	4	15	-398	0	-398	0
"216"	209	14	0	4	281	0	2	0	0	0	-301	0	-301	0
"217"	210	30	2	96	81	6	7	5	3	18	-248	0	-248	0
"218"	211	9	6	404	84	9	10	4	3	18	-547	0	-547	0
"219"	212	7	6	256	143	8	9	2	3	11	-445	0	-445	0
"220"	213	26	4	95	147	7	7	3	2	4	-295	0	-295	0
"221"	214	139	6	109	186	3	2	1	7	14	-467	0	-467	0
"222"	215	43	1	121	361	5	2	1	2	5	-541	0	-541	0
"223"	216	63	10	57	665	11	9	8	6	36	-865	0	-865	0
"224"	217	130	12	21	64	4	8	2	1	3	-245	0	-245	0
"225"	NA	11637	1387	32874	45473	1742	2775	1150	909	3182	101129	0	101129	0
"226"	NA	NA	NA	NA	NA	NA	NA	NA	NA	101129	NA	NA	NA	NA
"227"	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
"228"	NA	NA	NA	NA	NA	NA	NA	NA	NA	101130	NA	NA	NA	NA
"229"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"230"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"231"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
