"ANNEURE.XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"15"	"4"	"HIGH SCHOOL SASARAM"	"4"	"656"	"63"	"2"	"1"	"54"	"67"	"7"	"1"	"1"	"2"	"1"	"2"	"861"	"0"	"861"	"0"
"16"	"5"	"P/S MAHULI OLD"	"10"	"217"	"170"	"11"	"1"	"37"	"47"	"28"	"3"	"0"	"8"	"1"	"17"	"550"	"0"	"550"	"0"
"17"	"6"	"P/S TIROJPUR"	"2"	"37"	"7"	"0"	"1"	"29"	"263"	"25"	"0"	"0"	"0"	"0"	"0"	"364"	"0"	"364"	"0"
"18"	"7"	"PRIMARY SCHOOL NAWANAGAR(E)"	"2"	"332"	"22"	"0"	"0"	"3"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"366"	"0"	"366"	"0"
"19"	"8"	"PRIMARY SCHOOL NAWANAGAR(W)"	"6"	"127"	"138"	"6"	"6"	"197"	"15"	"16"	"2"	"5"	"7"	"1"	"11"	"537"	"0"	"537"	"0"
"20"	"9"	"PRIMARY SCHOOL KARISATH"	"3"	"728"	"99"	"3"	"0"	"10"	"16"	"42"	"0"	"0"	"1"	"1"	"2"	"905"	"0"	"905"	"0"
"21"	"10"	"PRIMARY SCHOOL KARISATH NEW BHAWAN"	"5"	"631"	"74"	"3"	"2"	"32"	"18"	"38"	"0"	"5"	"11"	"8"	"4"	"831"	"0"	"831"	"0"
"22"	"11"	"MIDDLE SCHOOL KARISATH"	"1"	"140"	"5"	"1"	"1"	"170"	"33"	"7"	"3"	"3"	"7"	"1"	"3"	"375"	"0"	"375"	"0"
"23"	"12"	"PRIMARY SCHOOL KARISATH MOHAMMADPUR"	"2"	"142"	"35"	"4"	"0"	"99"	"51"	"8"	"0"	"1"	"1"	"4"	"3"	"350"	"0"	"350"	"0"
"24"	"13"	"PRIMARY SCHOOL HARNATHKUNDI"	"56"	"3"	"98"	"2"	"2"	"30"	"41"	"106"	"0"	"1"	"3"	"1"	"4"	"347"	"0"	"347"	"0"
"25"	"14"	"T.C.P.CENTRE NAWADABEN"	"8"	"17"	"7"	"2"	"1"	"79"	"5"	"192"	"1"	"12"	"4"	"10"	"13"	"351"	"0"	"351"	"0"
"26"	"15"	"MIDDLE SCHOOL NAWADABEN(E)"	"1"	"80"	"56"	"3"	"3"	"56"	"3"	"403"	"2"	"4"	"2"	"1"	"2"	"616"	"0"	"616"	"0"
"27"	"16"	"MIDDLE SCHOOL NAWADABEN(W)"	"12"	"42"	"19"	"2"	"2"	"205"	"17"	"177"	"4"	"13"	"4"	"4"	"8"	"509"	"0"	"509"	"0"
"28"	"17"	"SAHKARITA GODAM BIBIGANJ"	"12"	"81"	"178"	"3"	"3"	"51"	"6"	"22"	"4"	"4"	"6"	"3"	"8"	"381"	"0"	"381"	"0"
"29"	"18"	"PRIMARY SCHOOL BISHUNPURA"	"471"	"43"	"30"	"2"	"12"	"7"	"19"	"7"	"1"	"1"	"2"	"1"	"4"	"600"	"0"	"600"	"0"
"30"	"19"	"PRIMARY GIRL SCHOOL MASADH"	"3"	"137"	"60"	"2"	"5"	"47"	"2"	"14"	"5"	"3"	"1"	"1"	"3"	"283"	"0"	"283"	"0"
"31"	"20"	"HIGH SCHOOL MASADH(E)"	"3"	"268"	"74"	"2"	"1"	"1"	"0"	"11"	"0"	"2"	"1"	"0"	"3"	"366"	"0"	"366"	"0"
"32"	"Serial No. of Polling Station"	"Name of Polling Stations"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"33"	""	""	"ANIL KUMAR TIWARI"	"KAMLA PRASAD SINGH"	"VIJENDRA KUMAR YADAV"	"DILEEP SINGH"	"MAMTA KUWAR"	"RAMESHWAR PRASAD"	"SHIVJEE SINGH"	"ANIL SAMRAT"	"JHULANI SINGH"	"VIRENDRA KUMAR PANDEY"	"VIJAY YADAV"	"SATYENDRA SINGH"	"SITA RAM SINGH"	""	""	""	""
"34"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"35"	"21"	"HIGH SCHOOL MASADH(W)"	"2"	"219"	"66"	"0"	"2"	"10"	"5"	"19"	"1"	"0"	"2"	"1"	"6"	"333"	"0"	"333"	"0"
"36"	"22"	"PRIMARY SCHOOL MASADH(SOUTH TOLA)"	"1"	"2"	"178"	"0"	"0"	"87"	"0"	"9"	"0"	"0"	"0"	"0"	"1"	"278"	"0"	"278"	"0"
"37"	"23"	"PRIMARY SCHOOL MILKI"	"2"	"208"	"113"	"2"	"1"	"29"	"113"	"32"	"0"	"3"	"6"	"0"	"3"	"512"	"0"	"512"	"0"
"38"	"24"	"PRIMARY SCHOOL BAMPALI(W)"	"6"	"61"	"189"	"2"	"3"	"164"	"20"	"89"	"0"	"3"	"2"	"2"	"7"	"548"	"0"	"548"	"0"
"39"	"25"	"PRIMARY SCHOOL BAMPALI NEW BHAWAN"	"3"	"52"	"77"	"0"	"2"	"47"	"12"	"32"	"5"	"9"	"6"	"3"	"4"	"252"	"0"	"252"	"0"
"40"	"26"	"PRIMARY SCHOOL AKHTIYARPUR(N)"	"7"	"77"	"248"	"4"	"4"	"151"	"11"	"92"	"2"	"2"	"0"	"6"	"9"	"613"	"0"	"613"	"0"
"41"	"27"	"PRIMARY SCHOOL AKHTIYARPUR (S)"	"9"	"18"	"188"	"6"	"4"	"47"	"17"	"160"	"4"	"7"	"2"	"3"	"12"	"477"	"0"	"477"	"0"
"42"	"28"	"PRIMARY SCHOOL PAKARIYABAR"	"11"	"23"	"160"	"5"	"7"	""	"102"	"144"	"7"	"3"	"11"	"3"	"14"	"490"	"0"	"490"	"0"
"43"	"29"	"PRIMARY SCHOOL DIHARI"	"0"	"1"	"171"	"0"	"0"	"4"	"0"	"408"	"0"	"0"	"0"	"0"	"1"	"585"	"0"	"585"	"0"
"44"	"30"	"PRIMARY SCHOOL MAHATWANIYA"	"0"	"0"	"216"	"1"	"1"	"4"	"2"	"228"	"0"	"0"	"0"	"0"	"1"	"453"	"0"	"453"	"0"
"45"	"31"	"SAHKARITA GODAM ASANI"	"1"	"150"	"232"	"1"	"0"	"61"	"1"	"169"	"0"	"0"	"1"	"1"	"0"	"617"	"0"	"617"	"0"
"46"	"32"	"HIGH SCHOOL ASANI"	"0"	"4"	"244"	"1"	"1"	"98"	"2"	"147"	"0"	"0"	"1"	"1"	"1"	"500"	"0"	"500"	"0"
"47"	"33"	"PRIMARY SCHOOL MALTHAR"	"5"	"1"	"115"	"1"	"0"	"3"	"5"	"234"	"0"	"1"	"2"	"4"	"4"	"375"	"0"	"375"	"0"
"48"	"34"	"RAJRIYA KANYA PRIMARY SCHOOL BHELAI"	"6"	"112"	"29"	"0"	"1"	"121"	"22"	"104"	"6"	"1"	"3"	"2"	"7"	"414"	"0"	"414"	"0"
"49"	"35"	"PRIMARY SCHOOL BHELAI NEW BHAWAN"	"3"	"3"	"123"	"2"	"0"	"31"	"7"	"145"	"2"	"4"	"1"	"3"	"1"	"325"	"0"	"325"	"0"
"50"	"36"	"PRIMARY SCHOOL KALYANPUR"	"4"	"4"	"56"	"4"	"3"	"58"	"21"	"109"	"0"	"5"	"2"	"2"	"2"	"270"	"0"	"270"	"0"
"51"	"37"	"PANCHAYAT BHAWAN CHAURAI"	"0"	"83"	"243"	"1"	"3"	"77"	"18"	"188"	"1"	"0"	"0"	"0"	"0"	"614"	"0"	"614"	"0"
"52"	"38"	"PRIMARY SCHOOL TETARIYA"	"5"	"15"	"143"	"1"	"0"	"12"	"6"	"197"	"3"	"2"	"1"	"0"	"1"	"386"	"0"	"386"	"0"
"53"	"39"	"PRIMARY SCHOOL BEHRA"	"0"	"0"	"155"	"2"	"0"	"0"	"2"	"211"	"1"	"0"	"0"	"0"	"0"	"371"	"0"	"371"	"0"
"54"	"40"	"PRIMARY SCHOOL EKAUNA(WEST)"	"3"	"156"	"71"	"3"	"5"	"127"	"32"	"104"	"2"	"3"	"3"	"4"	"3"	"516"	"0"	"516"	"0"
"55"	"41"	"PRIMARY SCHOOL EKAUNA(EAST)"	"21"	"178"	"100"	"5"	"7"	"162"	"20"	"39"	"2"	"2"	"4"	"1"	"3"	"544"	"0"	"544"	"0"
"56"	"42"	"PRIMARY SCHOOL MILKI"	"1"	"1"	"495"	"1"	"0"	"43"	"2"	"110"	"0"	"4"	"2"	"1"	"0"	"660"	"0"	"660"	"0"
"57"	"43"	"SAHKARITA GODAM KESHAVPUR BAKARI"	"11"	"36"	"103"	"4"	"7"	"246"	"17"	"72"	"2"	"8"	"8"	"9"	"4"	"527"	"0"	"527"	"0"
"58"	"44"	"PRIMARY SCHOOL GHORPOKHAR"	"1"	"1"	"258"	"0"	"1"	"10"	"0"	"160"	"0"	"0"	"0"	"0"	"1"	"432"	"0"	"432"	"0"
"59"	"45"	"MIDDLE SCHOOL BAKARI"	"0"	"16"	"24"	"0"	"3"	"294"	"3"	"50"	"0"	"0"	"4"	"3"	"1"	"398"	"0"	"398"	"0"
"60"	"46"	"PRIMARY SCHOOL DARIYAPUR"	"6"	"18"	"44"	"5"	"3"	"274"	"17"	"36"	"3"	"11"	"5"	"9"	"7"	"438"	"0"	"438"	"0"
"61"	"47"	"PRIMARY SCHOOL GODHNA"	"1"	"17"	"135"	"3"	"0"	"205"	"6"	"78"	"0"	"3"	"1"	"0"	"1"	"450"	"0"	"450"	"0"
"62"	"48"	"PRIMARY SCHOOL CHAKIYA"	"0"	"9"	"486"	"1"	"0"	"32"	"1"	"85"	"0"	"1"	"0"	"0"	"2"	"617"	"0"	"617"	"0"
"63"	"49"	"PRIMARY SCHOOL DEORIYA"	"9"	"8"	"66"	"2"	"4"	"141"	"7"	"92"	"3"	"7"	"3"	"2"	"5"	"349"	"0"	"349"	"0"
"64"	"Serial No. of Polling Station"	"Name of Polling Stations"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"65"	""	""	"ANIL KUMAR TIWARI"	"KAMLA PRASAD SINGH"	"VIJENDRA KUMAR YADAV"	"DILEEP SINGH"	"MAMTA KUWAR"	"RAMESHWAR PRASAD"	"SHIVJEE SINGH"	"ANIL SAMRAT"	"JHULANI SINGH"	"VIRENDRA KUMAR PANDEY"	"VIJAY YADAV"	"SATYENDRA SINGH"	"SITA RAM SINGH"	""	""	""	""
"66"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"67"	"50"	"PRIMARY SCHOOL KHALISA"	"0"	"9"	"368"	"0"	"0"	"27"	"4"	"36"	"1"	"0"	"0"	"0"	"0"	"445"	"0"	"445"	"0"
"68"	"51"	"PRIMARY SCHOOL PIYANIYA"	"1"	"24"	"198"	"4"	"7"	"460"	"3"	"43"	"1"	"2"	"0"	"1"	"3"	"747"	"0"	"747"	"0"
"69"	"52"	"MIDDLE SCHOOL PIYANIYA"	"7"	"22"	"46"	"1"	"1"	"687"	"9"	"28"	"1"	"1"	"1"	"0"	"2"	"806"	"0"	"806"	"0"
"70"	"53"	"PRIMARY SCHOOL BAZARUAN"	"2"	"1"	"155"	"2"	"0"	"48"	"3"	"126"	"4"	"1"	"2"	"0"	"3"	"347"	"0"	"347"	"0"
"71"	"54"	"PRIMARY SCHOOL PRAKHAND COLONY UDWANT"	"13"	"34"	"30"	"8"	"9"	"467"	"34"	"21"	"3"	"26"	"7"	"6"	"12"	"670"	"0"	"670"	"0"
"72"	"55"	"MIDDLE SCHOOL UDWANTNAGAR (NORTH)"	"2"	"558"	"51"	"1"	"2"	"61"	"4"	"39"	"0"	"3"	"0"	"0"	"2"	"723"	"0"	"723"	"0"
"73"	"56"	"MIDDIL SCHOOL UDWANTNAGAR (SOUTH)"	"3"	"410"	"47"	"1"	"1"	"207"	"8"	"6"	"3"	"0"	"1"	"1"	"7"	"695"	"0"	"695"	"0"
"74"	"57"	"SAHKARITA GODAM UDWANTNAGAR"	"2"	"174"	"58"	"1"	"1"	"117"	"8"	"11"	"1"	"1"	"0"	"1"	"0"	"375"	"0"	"375"	"0"
"75"	"58"	"PRIMARY SAH PRASIKCHAN PARISAR KENDRA UD"	"2"	"29"	"260"	"4"	"1"	"202"	"10"	"21"	"1"	"4"	"4"	"2"	"2"	"542"	"0"	"542"	"0"
"76"	"59"	"PRIMARY SCHOOL GARAHA"	"0"	"0"	"323"	"2"	"5"	"139"	"2"	"31"	"0"	"2"	"3"	"0"	"1"	"508"	"0"	"508"	"0"
"77"	"60"	"PANCHAYAT BHAWAN RAGHAVPUR"	"0"	"0"	"278"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"280"	"0"	"280"	"0"
"78"	"61"	"PRIMARY SCHOOL BHOPAULI"	"1"	"3"	"227"	"1"	"0"	"0"	"0"	"72"	"0"	"0"	"0"	"0"	"1"	"305"	"0"	"305"	"0"
"79"	"62"	"PRIMARY SCHOOL JAITPUR"	"3"	"37"	"72"	"0"	"0"	"46"	"2"	"11"	"2"	"0"	"0"	"3"	"2"	"178"	"0"	"178"	"0"
"80"	"63"	"PRIMARY SCHOOL SONEPURA"	"1"	"3"	"397"	"0"	"1"	"5"	"1"	"139"	"0"	"0"	"0"	"0"	"0"	"547"	"0"	"547"	"0"
"81"	"64"	"PRIMARY SCHOOL BIRAMPUR"	"5"	"7"	"158"	"2"	"3"	"147"	"8"	"103"	"7"	"7"	"9"	"3"	"12"	"471"	"0"	"471"	"0"
"82"	"65"	"PRIMARY SCHOOL KHEEREETANDH"	"0"	"2"	"173"	"2"	"1"	"69"	"0"	"13"	"0"	"0"	"1"	"0"	"5"	"266"	"0"	"266"	"0"
"83"	"66"	"PRIMARY SCHOOL MORATH"	"0"	"5"	"538"	"1"	"0"	"5"	"8"	"44"	"0"	"0"	"0"	"0"	"0"	"601"	"0"	"601"	"0"
"84"	"67"	"PRIMARY SCHOOL SHRIRAMPUR"	"0"	"20"	"204"	"0"	"0"	"1"	"0"	"5"	"0"	"0"	"0"	"0"	"1"	"231"	"0"	"231"	"0"
"85"	"68"	"PANCHAYAT BHAWAN ERAURA"	"13"	"13"	"216"	"9"	"5"	"135"	"78"	"148"	"6"	"5"	"17"	"4"	"6"	"655"	"0"	"655"	"0"
"86"	"69"	"PRIMARY SCHOOL BASAURI"	"1"	"1"	"82"	"1"	"0"	"89"	"0"	"61"	"0"	"3"	"1"	"0"	"1"	"240"	"0"	"240"	"0"
"87"	"70"	"HIGH SCHOOL KASAP"	"9"	"34"	"96"	"4"	"5"	"293"	"19"	"181"	"6"	"19"	"4"	"5"	"7"	"682"	"0"	"682"	"0"
"88"	"71"	"PRIMARY SCHOOL KASAP (NORTH)"	"3"	"19"	"112"	"5"	"5"	"405"	"12"	"71"	"3"	"6"	"4"	"2"	"2"	"649"	"0"	"649"	"0"
"89"	"72"	"PRIMARY SCHOOL KASAP (SOUTH)"	"12"	"14"	"137"	"7"	"6"	"307"	"10"	"77"	"7"	"12"	"32"	"13"	"8"	"642"	"0"	"642"	"0"
"90"	"73"	"PRIMARY SCHOOL NEEMA"	"0"	"0"	"188"	"4"	"0"	"19"	"1"	"130"	"0"	"0"	"0"	"0"	"1"	"343"	"0"	"343"	"0"
"91"	"74"	"PRIMARY SCHOOL SEWGAAR"	"2"	"35"	"72"	"1"	"0"	"65"	"10"	"44"	"2"	"6"	"5"	"2"	"3"	"247"	"0"	"247"	"0"
"92"	"75"	"PRIMARY SAKHUAN"	"3"	"9"	"138"	"0"	"4"	"88"	"9"	"99"	"4"	"5"	"0"	"0"	"4"	"363"	"0"	"363"	"0"
"93"	"76"	"PRIMARY SCHOOL KUSUMAHA"	"1"	"7"	"255"	"5"	"1"	"78"	"17"	"140"	"2"	"5"	"3"	"2"	"1"	"517"	"0"	"517"	"0"
"94"	"77"	"PRIMARY SCHOOL SURHANI"	"24"	"3"	"43"	"2"	"9"	"399"	"18"	"184"	"5"	"24"	"19"	"6"	"6"	"742"	"0"	"742"	"0"
"95"	"78"	"PRIMARY SCHOOL KHARAUNI"	"1"	"10"	"170"	"5"	"2"	"168"	"9"	"34"	"2"	"4"	"4"	"4"	"5"	"418"	"0"	"418"	"0"
"96"	"Serial No. of Polling Station"	"Name of Polling Stations"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"97"	""	""	"ANIL KUMAR TIWARI"	"KAMLA PRASAD SINGH"	"VIJENDRA KUMAR YADAV"	"DILEEP SINGH"	"MAMTA KUWAR"	"RAMESHWAR PRASAD"	"SHIVJEE SINGH"	"ANIL SAMRAT"	"JHULANI SINGH"	"VIRENDRA KUMAR PANDEY"	"VIJAY YADAV"	"SATYENDRA SINGH"	"SITA RAM SINGH"	""	""	""	""
"98"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"99"	"79"	"PRIMARY SCHOOL JAINAGAR"	"4"	"4"	"98"	"5"	"3"	"175"	"4"	"98"	"2"	"11"	"2"	"1"	"4"	"411"	"0"	"411"	"0"
"100"	"80"	"MIDDLE SCHOOL SARATHUA(SOUTH)"	"6"	"24"	"168"	"1"	"1"	"257"	"167"	"98"	"1"	"4"	"1"	"1"	"4"	"733"	"0"	"733"	"0"
"101"	"81"	"MIDDLE SCHOOL SARATHUA (NORTH)"	"7"	"24"	"123"	"7"	"3"	"324"	"27"	"16"	"0"	"11"	"3"	"0"	"1"	"546"	"0"	"546"	"0"
"102"	"82"	"HIGH SCHOOL SARATHUA"	"0"	"172"	"34"	"2"	"0"	"118"	"16"	"48"	"1"	"3"	"0"	"0"	"0"	"394"	"0"	"394"	"0"
"103"	"83"	"MIDDLE SCHOOL BELAUR (EAST)"	"3"	"13"	"54"	"2"	"16"	"101"	"4"	"6"	"1"	"8"	"1"	"1"	"3"	"213"	"0"	"213"	"0"
"104"	"84"	"HIGH SCHOOL BELAUR (EAST)"	"7"	"6"	"103"	"4"	"4"	"125"	"10"	"11"	"5"	"4"	"5"	"3"	"7"	"294"	"0"	"294"	"0"
"105"	"85"	"SAMUDAIK BHAWAN BELAUR"	"0"	"12"	"60"	"1"	"1"	"85"	"6"	"54"	"4"	"11"	"3"	"1"	"5"	"243"	"0"	"243"	"0"
"106"	"86"	"PRIMRY SCHOOL BELAUR (GIRL)"	"3"	"13"	"81"	"2"	"1"	"341"	"5"	"51"	"1"	"16"	"5"	"3"	"3"	"525"	"0"	"525"	"0"
"107"	"87"	"PRIMARY SCHOOL CHAKARDAH NEW BHAWAN"	"1"	"2"	"64"	"0"	"2"	"405"	"1"	"47"	"1"	"1"	"2"	"0"	"2"	"528"	"0"	"528"	"0"
"108"	"88"	"HIGH SCHOOL BELAUR (WEST)"	"4"	"3"	"25"	"2"	"5"	"157"	"7"	"19"	"0"	"7"	"1"	"1"	"1"	"232"	"0"	"232"	"0"
"109"	"89"	"PRIMARY SCHOOL BHAGAWATIPUR"	"0"	"0"	"325"	"1"	"0"	"3"	"0"	"174"	"0"	"0"	"0"	"0"	"0"	"503"	"0"	"503"	"0"
"110"	"90"	"PRIMARY SCHOOL DARSHAN CHHAPRA"	"2"	"0"	"163"	"0"	"0"	"56"	"4"	"84"	"5"	"7"	"2"	"5"	"10"	"338"	"0"	"338"	"0"
"111"	"91"	"PRIMARY SCHOOL JAMUAON(NORTH)"	"5"	"2"	"49"	"2"	"1"	"408"	"8"	"15"	"2"	"18"	"11"	"3"	"6"	"530"	"0"	"530"	"0"
"112"	"92"	"PANCHAYAT BHAWAN JAMUAON"	"8"	"6"	"252"	"7"	"3"	"138"	"13"	"131"	"5"	"14"	"5"	"2"	"5"	"589"	"0"	"589"	"0"
"113"	"93"	"PRIMARY SCHOOL WARDIHA"	"4"	"4"	"157"	"13"	"1"	"22"	"2"	"22"	"0"	"4"	"3"	"2"	"7"	"241"	"0"	"241"	"0"
"114"	"94"	"PRIMARY SCHOOL DIHARI"	"0"	"1"	"673"	"0"	"0"	"0"	"0"	"30"	"0"	"0"	"0"	"0"	"0"	"704"	"0"	"704"	"0"
"115"	"95"	"PRIMARY SCHOOL KUSRE"	"2"	"8"	"705"	"1"	"0"	"41"	"3"	"11"	"1"	"3"	"7"	"0"	"1"	"783"	"0"	"783"	"0"
"116"	"96"	"PRIMARY SCHOOL PANDURA RAMPUR (NORTH)"	"3"	"10"	"30"	"3"	"5"	"303"	"12"	"32"	"4"	"9"	"4"	"9"	"11"	"435"	"0"	"435"	"0"
"117"	"97"	"PRIMARY SCHOOL PANDURA RAMPUR (SOUTH)"	"7"	"31"	"40"	"5"	"3"	"203"	"11"	"9"	"3"	"6"	"2"	"3"	"4"	"327"	"0"	"327"	"0"
"118"	"98"	"PRIMARY SCHOOL PANDURA (NORTH)"	"3"	"39"	"159"	"0"	"2"	"247"	"6"	"15"	"0"	"4"	"0"	"2"	"1"	"478"	"0"	"478"	"0"
"119"	"99"	"PRIMARY SCHOOL PANDURA (SOUTH)"	"12"	"191"	"203"	"6"	"2"	"117"	"3"	"26"	"2"	"5"	"2"	"1"	"6"	"576"	"0"	"576"	"0"
"120"	"100"	"PRIMARY SCHOOL DEWAR"	"0"	"2"	"419"	"3"	"2"	"59"	"0"	"11"	"2"	"2"	"0"	"1"	"0"	"501"	"0"	"501"	"0"
"121"	"101"	"PRIMARY SCHOOL KHOLPUR"	"1"	"1"	"511"	"3"	"0"	"11"	"0"	"53"	"0"	"0"	"0"	"0"	"1"	"581"	"0"	"581"	"0"
"122"	"102"	"PRIMARY SCHOOL PRATAPPUR"	"7"	"10"	"123"	"6"	"13"	"369"	"9"	"42"	"5"	"7"	"6"	"4"	"11"	"612"	"0"	"612"	"0"
"123"	"103"	"HIGH SCHOOL AKHGAON (SOUTH)"	"5"	"57"	"166"	"9"	"4"	"268"	"11"	"31"	"1"	"10"	"9"	"3"	"14"	"588"	"0"	"588"	"0"
"124"	"104"	"HIGH SCHOOL AKHGAON (NORTH)"	"5"	"162"	"145"	"2"	"4"	"94"	"7"	"13"	"0"	"2"	"1"	"1"	"3"	"439"	"0"	"439"	"0"
"125"	"105"	"PRIMARY SCHOOL BACHARI"	"0"	"215"	"157"	"3"	"0"	"17"	"1"	"30"	"0"	"1"	"1"	"1"	"0"	"426"	"0"	"426"	"0"
"126"	"106"	"PRIMARY SCHOOL SARIPUR"	"10"	"61"	"127"	"5"	"1"	"130"	"11"	"23"	"6"	"13"	"15"	"8"	"9"	"419"	"0"	"419"	"0"
"127"	"107"	"PRIMARY SCHOOL NARAYANPUR"	"0"	"82"	"116"	"5"	"3"	"119"	"26"	"24"	"0"	"1"	"0"	"0"	"2"	"378"	"0"	"378"	"0"
"128"	"Serial No. of Polling Station"	"Name of Polling Stations"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"129"	""	""	"ANIL KUMAR TIWARI"	"KAMLA PRASAD SINGH"	"VIJENDRA KUMAR YADAV"	"DILEEP SINGH"	"MAMTA KUWAR"	"RAMESHWAR PRASAD"	"SHIVJEE SINGH"	"ANIL SAMRAT"	"JHULANI SINGH"	"VIRENDRA KUMAR PANDEY"	"VIJAY YADAV"	"SATYENDRA SINGH"	"SITA RAM SINGH"	""	""	""	""
"130"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"131"	"108"	"PANCHAYAT BHAWAN NARAYANPUR"	"1"	"191"	"79"	"1"	"4"	"63"	"5"	"19"	"0"	"0"	"0"	"0"	"0"	"363"	"0"	"363"	"0"
"132"	"109"	"PRIMARY SCHOOL NASRATPUR NEW BHAWAN (N"	"5"	"47"	"128"	"7"	"2"	"108"	"31"	"96"	"5"	"3"	"1"	"2"	"6"	"441"	"0"	"441"	"0"
"133"	"110"	"PRIMARY SCHOOL NASRATPUR (SOUTH,NEW BH"	"9"	"18"	"106"	"4"	"3"	"117"	"39"	"40"	"7"	"9"	"8"	"5"	"6"	"371"	"0"	"371"	"0"
"134"	"111"	"PANCHAYAT BHAWAN CHILAHAUS"	"2"	"15"	"157"	"2"	"3"	"320"	"28"	"24"	"7"	"5"	"3"	"4"	"2"	"572"	"0"	"572"	"0"
"135"	"112"	"PRIMARY SCHOOL CHILHAUS"	"26"	"37"	"126"	"7"	"14"	"376"	"59"	"59"	"11"	"32"	"13"	"9"	"20"	"789"	"0"	"789"	"0"
"136"	"113"	"PRIMARY SCHOOL TIRKAUL"	"4"	"34"	"121"	"4"	"3"	"232"	"11"	"33"	"4"	"6"	"5"	"7"	"16"	"480"	"0"	"480"	"0"
