"Sl.No.of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"Total.of.valid.votes"	"No.of.Rejected.votes"	"Total"	"No.of.Tendered.votes"
"58"	"47"	"124"	"74"	"5"	"1"	"1"	"1"	"3"	"10"	"4"	"6"	"368"	"25"	"622"	"0"	"622"	"0"
"59"	"48"	"99"	"109"	"3"	"5"	"5"	"2"	"5"	"5"	"2"	"24"	"178"	"15"	"452"	"0"	"452"	"0"
"60"	"49"	"24"	"11"	"1"	"37"	"0"	"2"	"3"	"0"	"1"	"4"	"237"	"8"	"328"	"0"	"328"	"0"
"61"	"50"	"155"	"70"	"3"	"4"	"4"	"54"	"13"	"0"	"1"	"2"	"171"	"8"	"485"	"0"	"485"	"0"
"62"	"51"	"148"	"44"	"3"	"3"	"0"	"8"	"11"	"1"	"4"	"13"	"321"	"42"	"598"	"0"	"598"	"0"
"63"	"52"	"226"	"30"	"1"	"1"	"2"	"29"	"3"	"0"	"6"	"7"	"164"	"5"	"474"	"0"	"474"	"0"
"64"	"53"	"273"	"111"	"3"	"3"	"0"	"4"	"13"	"3"	"1"	"10"	"178"	"19"	"618"	"0"	"618"	"0"
"65"	"54"	"92"	"48"	"4"	"2"	"1"	"0"	"6"	"3"	"2"	"7"	"306"	"9"	"480"	"0"	"480"	"0"
"66"	"55"	"75"	"118"	"4"	"0"	"3"	"2"	"16"	"1"	"2"	"11"	"183"	"11"	"426"	"0"	"426"	"0"
"67"	"56"	"133"	"10"	"5"	"4"	"2"	"3"	"16"	"1"	"4"	"12"	"144"	"16"	"350"	"0"	"350"	"0"
"68"	"Total"	"2174"	"976"	"51"	"71"	"27"	"115"	"120"	"32"	"43"	"127"	"2940"	"229"	"6905"	"0"	"6905"	"0"
"69"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of
valid votes"	"No of Rejected votes"	"Total"	"No.of
Tendered votes"
"70"	""	"Awadhesh Kumar Rai"	"Uttam Kumar Yadav"	"Lalita Paswan"	"Anil Singh"	"Ganga Prasad Yadav"	"MD.Moee n Ansari"	"Yugeshwa r Gop"	"Rajo Tanti"	"Ashok Rai"	"Tilakdhari Rai"	"Ramdeo Rai"	"Ramashray a Mahato"	""	""	""	""
"71"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"72"	"57"	"110"	"9"	"1"	"8"	"1"	"2"	"8"	"0"	"2"	"4"	"214"	"21"	"380"	"0"	"380"	"0"
"73"	"58"	"423"	"184"	"11"	"1"	"2"	"3"	"15"	"2"	"7"	"1"	"20"	"11"	"680"	"0"	"680"	"0"
"74"	"59"	"161"	"433"	"16"	"5"	"3"	"6"	"13"	"3"	"4"	"10"	"20"	"12"	"686"	"0"	"686"	"0"
"75"	"60"	"54"	"239"	"6"	"0"	"1"	"3"	"4"	"0"	"3"	"10"	"258"	"24"	"602"	"0"	"602"	"0"
"76"	"61"	"431"	"30"	"5"	"8"	"4"	"1"	"9"	"4"	"5"	"11"	"229"	"45"	"782"	"0"	"782"	"0"
"77"	"62"	"321"	"150"	"8"	"5"	"1"	"2"	"26"	"0"	"1"	"8"	"58"	"12"	"592"	"0"	"592"	"0"
"78"	"63"	"390"	"65"	"6"	"4"	"2"	"4"	"7"	"6"	"5"	"7"	"199"	"20"	"715"	"0"	"715"	"0"
"79"	"64"	"207"	"29"	"3"	"7"	"1"	"0"	"6"	"5"	"4"	"7"	"200"	"30"	"499"	"0"	"499"	"0"
"80"	"65"	"223"	"51"	"8"	"2"	"3"	"1"	"7"	"4"	"5"	"4"	"105"	"18"	"431"	"0"	"431"	"0"
"81"	"66"	"158"	"33"	"4"	"1"	"3"	"1"	"49"	"1"	"5"	"3"	"166"	"7"	"431"	"0"	"431"	"0"
"82"	"67"	"226"	"80"	"2"	"1"	"3"	"5"	"63"	"10"	"6"	"15"	"231"	"35"	"677"	"0"	"677"	"0"
"83"	"68"	"200"	"35"	"2"	"3"	"2"	"1"	"49"	"4"	"5"	"3"	"321"	"19"	"644"	"0"	"644"	"0"
"84"	"69"	"126"	"13"	"4"	"1"	"1"	"3"	"52"	"8"	"2"	"4"	"137"	"15"	"366"	"0"	"366"	"0"
"85"	"70"	"453"	"112"	"10"	"4"	"7"	"3"	"37"	"3"	"1"	"3"	"64"	"36"	"733"	"0"	"733"	"0"
"86"	"Total"	"3483"	"1463"	"86"	"50"	"34"	"35"	"345"	"50"	"55"	"90"	"2222"	"305"	"8218"	"0"	"8218"	"0"
"87"	"71"	"196"	"115"	"4"	"2"	"3"	"5"	"4"	"6"	"4"	"13"	"260"	"30"	"642"	"0"	"642"	"0"
"88"	"72"	"264"	"142"	"8"	"3"	"4"	"3"	"48"	"9"	"5"	"7"	"203"	"37"	"733"	"0"	"733"	"0"
"89"	"73"	"199"	"194"	"17"	"7"	"3"	"7"	"86"	"5"	"11"	"13"	"95"	"53"	"690"	"0"	"690"	"0"
"90"	"74"	"131"	"107"	"17"	"13"	"3"	"1"	"93"	"3"	"3"	"1"	"170"	"16"	"558"	"0"	"558"	"0"
"91"	"75"	"97"	"246"	"18"	"16"	"8"	"3"	"24"	"5"	"4"	"6"	"369"	"27"	"823"	"0"	"823"	"0"
"92"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of
valid votes"	"No of Rejected votes"	"Total"	"No.of
Tendered votes"
"93"	""	"Awadhesh Kumar Rai"	"Uttam Kumar Yadav"	"Lalita Paswan"	"Anil Singh"	"Ganga Prasad Yadav"	"MD.Moee n Ansari"	"Yugeshwa r Gop"	"Rajo Tanti"	"Ashok Rai"	"Tilakdhari Rai"	"Ramdeo Rai"	"Ramashray a Mahato"	""	""	""	""
"94"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"95"	"76"	"280"	"58"	"4"	"4"	"0"	"3"	"28"	"2"	"5"	"6"	"216"	"21"	"627"	"0"	"627"	"0"
"96"	"77"	"209"	"90"	"3"	"6"	"1"	"9"	"284"	"7"	"20"	"10"	"186"	"27"	"852"	"0"	"852"	"0"
"97"	"78"	"135"	"38"	"3"	"4"	"5"	"6"	"166"	"12"	"22"	"15"	"266"	"52"	"724"	"0"	"724"	"0"
"98"	"79"	"131"	"102"	"7"	"3"	"1"	"0"	"6"	"3"	"0"	"5"	"167"	"14"	"439"	"0"	"439"	"0"
"99"	"80"	"232"	"51"	"7"	"10"	"14"	"5"	"19"	"1"	"6"	"7"	"206"	"33"	"591"	"0"	"591"	"0"
"100"	"81"	"620"	"38"	"7"	"4"	"7"	"3"	"56"	"4"	"6"	"8"	"79"	"12"	"844"	"0"	"844"	"0"
"101"	"82"	"371"	"128"	"15"	"5"	"8"	"6"	"9"	"2"	"13"	"13"	"188"	"57"	"815"	"0"	"815"	"0"
"102"	"83"	"24"	"190"	"5"	"2"	"0"	"1"	"212"	"1"	"7"	"5"	"207"	"13"	"667"	"0"	"667"	"0"
"103"	"84"	"650"	"157"	"12"	"3"	"1"	"1"	"2"	"3"	"0"	"3"	"15"	"23"	"870"	"0"	"870"	"0"
"104"	"Total"	"3539"	"1656"	"127"	"82"	"58"	"53"	"1037"	"63"	"106"	"112"	"2627"	"415"	"9875"	"0"	"9875"	"0"
"105"	"85"	"428"	"16"	"5"	"30"	"9"	"4"	"24"	"3"	"6"	"8"	"86"	"25"	"644"	"0"	"644"	"0"
"106"	"86"	"63"	"26"	"1"	"9"	"2"	"0"	"34"	"2"	"3"	"3"	"208"	"9"	"360"	"0"	"360"	"0"
"107"	"87"	"367"	"96"	"12"	"5"	"4"	"5"	"25"	"4"	"5"	"11"	"83"	"15"	"632"	"0"	"632"	"0"
"108"	"88"	"264"	"55"	"5"	"4"	"7"	"7"	"37"	"11"	"13"	"36"	"272"	"71"	"782"	"0"	"782"	"0"
"109"	"89"	"488"	"126"	"7"	"2"	"7"	"7"	"31"	"5"	"4"	"6"	"14"	"21"	"718"	"0"	"718"	"0"
"110"	"90"	"392"	"137"	"21"	"4"	"3"	"1"	"9"	"6"	"11"	"7"	"24"	"19"	"634"	"0"	"634"	"0"
"111"	"91"	"227"	"113"	"24"	"1"	"11"	"7"	"41"	"5"	"16"	"9"	"84"	"19"	"557"	"0"	"557"	"0"
"112"	"92"	"88"	"130"	"12"	"2"	"1"	"5"	"35"	"4"	"9"	"8"	"129"	"21"	"444"	"0"	"444"	"0"
"113"	"93"	"104"	"169"	"2"	"40"	"0"	"1"	"12"	"1"	"3"	"6"	"231"	"12"	"581"	"0"	"581"	"0"
"114"	"94"	"160"	"56"	"1"	"1"	"1"	"0"	"30"	"2"	"5"	"6"	"78"	"16"	"356"	"0"	"356"	"0"
"115"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of
valid votes"	"No of Rejected votes"	"Total"	"No.of
Tendered votes"
"116"	""	"Awadhesh Kumar Rai"	"Uttam Kumar Yadav"	"Lalita Paswan"	"Anil Singh"	"Ganga Prasad Yadav"	"MD.Moee n Ansari"	"Yugeshwa r Gop"	"Rajo Tanti"	"Ashok Rai"	"Tilakdhari Rai"	"Ramdeo Rai"	"Ramashray a Mahato"	""	""	""	""
"117"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"118"	"95"	"23"	"70"	"2"	"2"	"0"	"0"	"8"	"0"	"1"	"2"	"355"	"6"	"469"	"0"	"469"	"0"
"119"	"96"	"177"	"119"	"10"	"3"	"7"	"1"	"26"	"1"	"3"	"5"	"24"	"9"	"385"	"0"	"385"	"0"
"120"	"97"	"388"	"135"	"6"	"2"	"2"	"2"	"18"	"3"	"6"	"19"	"72"	"37"	"690"	"0"	"690"	"0"
"121"	"98"	"186"	"97"	"10"	"7"	"3"	"5"	"43"	"10"	"10"	"16"	"111"	"47"	"545"	"0"	"545"	"0"
"122"	"Total"	"3355"	"1345"	"118"	"112"	"57"	"45"	"373"	"57"	"95"	"142"	"1771"	"327"	"7797"	"0"	"7797"	"0"
"123"	"99"	"152"	"134"	"7"	"1"	"4"	"4"	"15"	"3"	"7"	"12"	"150"	"10"	"499"	"0"	"499"	"0"
"124"	"100"	"252"	"172"	"17"	"3"	"4"	"3"	"5"	"4"	"8"	"9"	"51"	"20"	"548"	"0"	"548"	"0"
"125"	"101"	"76"	"161"	"5"	"1"	"9"	"1"	"32"	"7"	"8"	"18"	"158"	"27"	"503"	"0"	"503"	"0"
"126"	"102"	"46"	"47"	"5"	"15"	"8"	"3"	"12"	"3"	"5"	"6"	"241"	"30"	"421"	"0"	"421"	"0"
"127"	"103"	"7"	"34"	"0"	"0"	"12"	"1"	"25"	"3"	"3"	"0"	"191"	"17"	"293"	"0"	"293"	"0"
"128"	"104"	"8"	"25"	"2"	"45"	"32"	"3"	"7"	"39"	"1"	"1"	"237"	"7"	"407"	"0"	"407"	"0"
"129"	"105"	"68"	"11"	"7"	"9"	"5"	"3"	"4"	"66"	"4"	"3"	"297"	"12"	"489"	"0"	"489"	"0"
"130"	"106"	"28"	"169"	"1"	"3"	"5"	"6"	"66"	"9"	"3"	"7"	"399"	"37"	"733"	"0"	"733"	"0"
"131"	"107"	"64"	"13"	"1"	"8"	"3"	"3"	"22"	"43"	"17"	"12"	"223"	"29"	"438"	"0"	"438"	"0"
"132"	"108"	"49"	"90"	"1"	"1"	"2"	"1"	"35"	"7"	"1"	"1"	"520"	"6"	"714"	"0"	"714"	"0"
"133"	"109"	"96"	"56"	"7"	"3"	"4"	"6"	"45"	"9"	"5"	"6"	"376"	"27"	"640"	"0"	"640"	"0"
"134"	"110"	"197"	"36"	"1"	"1"	"1"	"2"	"6"	"1"	"1"	"8"	"337"	"25"	"616"	"0"	"616"	"0"
"135"	"111"	"156"	"13"	"2"	"6"	"0"	"4"	"31"	"7"	"6"	"8"	"189"	"18"	"440"	"0"	"440"	"0"
"136"	"112"	"205"	"13"	"3"	"1"	"1"	"0"	"65"	"7"	"6"	"9"	"201"	"21"	"532"	"0"	"532"	"0"
"137"	"Total"	"1404"	"974"	"59"	"97"	"90"	"40"	"370"	"208"	"75"	"100"	"3570"	"286"	"7273"	"0"	"7273"	"0"
"138"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of
valid votes"	"No of Rejected votes"	"Total"	"No.of
Tendered votes"
"139"	""	"Awadhesh Kumar Rai"	"Uttam Kumar Yadav"	"Lalita Paswan"	"Anil Singh"	"Ganga Prasad Yadav"	"MD.Moee n Ansari"	"Yugeshwa r Gop"	"Rajo Tanti"	"Ashok Rai"	"Tilakdhari Rai"	"Ramdeo Rai"	"Ramashray a Mahato"	""	""	""	""
"140"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"141"	"113"	"251"	"13"	"5"	"8"	"1"	"2"	"3"	"0"	"4"	"11"	"316"	"10"	"624"	"0"	"624"	"0"
"142"	"114"	"144"	"91"	"6"	"8"	"2"	"2"	"37"	"19"	"6"	"14"	"312"	"30"	"671"	"0"	"671"	"0"
"143"	"115"	"274"	"40"	"4"	"1"	"3"	"1"	"119"	"6"	"7"	"8"	"185"	"14"	"662"	"0"	"662"	"0"
"144"	"116"	"176"	"33"	"7"	"2"	"1"	"4"	"18"	"3"	"3"	"1"	"338"	"11"	"597"	"0"	"597"	"0"
"145"	"117"	"388"	"9"	"10"	"67"	"0"	"1"	"7"	"4"	"9"	"8"	"81"	"16"	"600"	"0"	"600"	"0"
"146"	"118"	"224"	"10"	"2"	"6"	"1"	"1"	"9"	"1"	"6"	"1"	"49"	"126"	"436"	"0"	"436"	"0"
"147"	"119"	"273"	"69"	"3"	"25"	"2"	"0"	"8"	"6"	"2"	"12"	"228"	"15"	"643"	"0"	"643"	"0"
"148"	"120"	"247"	"46"	"2"	"4"	"6"	"7"	"13"	"7"	"8"	"20"	"328"	"24"	"712"	"0"	"712"	"0"
"149"	"121"	"334"	"78"	"3"	"0"	"2"	"3"	"4"	"3"	"2"	"1"	"146"	"11"	"587"	"0"	"587"	"0"
"150"	"122"	"156"	"42"	"4"	"1"	"0"	"4"	"53"	"5"	"5"	"9"	"258"	"31"	"568"	"0"	"568"	"0"
"151"	"123"	"82"	"37"	"6"	"5"	"5"	"8"	"57"	"7"	"7"	"9"	"180"	"52"	"455"	"0"	"455"	"0"
"152"	"124"	"144"	"39"	"5"	"6"	"1"	"3"	"65"	"5"	"4"	"7"	"176"	"32"	"487"	"0"	"487"	"0"
"153"	"125"	"255"	"46"	"4"	"2"	"2"	"1"	"9"	"3"	"5"	"14"	"494"	"30"	"865"	"0"	"865"	"0"
"154"	"126"	"129"	"17"	"2"	"6"	"4"	"6"	"28"	"4"	"2"	"10"	"235"	"36"	"479"	"0"	"479"	"0"
"155"	"Total"	"3077"	"570"	"63"	"141"	"30"	"43"	"430"	"73"	"70"	"125"	"3326"	"438"	"8386"	"0"	"8386"	"0"
"156"	"127"	"132"	"67"	"2"	"2"	"1"	"3"	"3"	"5"	"3"	"11"	"230"	"37"	"496"	"0"	"496"	"0"
"157"	"128"	"81"	"10"	"4"	"2"	"2"	"2"	"23"	"2"	"2"	"6"	"334"	"28"	"496"	"0"	"496"	"0"
"158"	"129"	"158"	"56"	"7"	"0"	"1"	"4"	"12"	"8"	"3"	"6"	"388"	"21"	"664"	"0"	"664"	"0"
"159"	"130"	"211"	"21"	"0"	"0"	"1"	"1"	"7"	"2"	"4"	"10"	"444"	"19"	"720"	"0"	"720"	"0"
"160"	"131"	"17"	"28"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"533"	"2"	"584"	"0"	"584"	"0"
"161"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of
valid votes"	"No of Rejected votes"	"Total"	"No.of
Tendered votes"
"162"	""	"Awadhesh Kumar Rai"	"Uttam Kumar Yadav"	"Lalita Paswan"	"Anil Singh"	"Ganga Prasad Yadav"	"MD.Moee n Ansari"	"Yugeshwa r Gop"	"Rajo Tanti"	"Ashok Rai"	"Tilakdhari Rai"	"Ramdeo Rai"	"Ramashray a Mahato"	""	""	""	""
"163"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"164"	"132"	"2"	"16"	"1"	"0"	"0"	"0"	"3"	"2"	"0"	"5"	"477"	"8"	"514"	"0"	"514"	"0"
"165"	"133"	"3"	"4"	"0"	"0"	"0"	"0"	"4"	"0"	"1"	"1"	"454"	"3"	"470"	"0"	"470"	"0"
"166"	"134"	"126"	"31"	"8"	"3"	"5"	"9"	"247"	"21"	"18"	"6"	"263"	"48"	"785"	"0"	"785"	"0"
"167"	"135"	"99"	"33"	"3"	"19"	"5"	"1"	"26"	"5"	"1"	"10"	"289"	"17"	"508"	"0"	"508"	"0"
"168"	"136"	"17"	"81"	"2"	"2"	"1"	"2"	"57"	"1"	"2"	"2"	"539"	"11"	"717"	"0"	"717"	"0"
"169"	"137"	"160"	"19"	"1"	"0"	"2"	"0"	"9"	"3"	"1"	"4"	"391"	"16"	"606"	"0"	"606"	"0"
"170"	"138"	"72"	"27"	"3"	"2"	"4"	"1"	"29"	"46"	"2"	"1"	"254"	"15"	"456"	"0"	"456"	"0"
"171"	"139"	"14"	"16"	"5"	"4"	"17"	"7"	"70"	"95"	"6"	"7"	"147"	"19"	"407"	"0"	"407"	"0"
"172"	"140"	"300"	"68"	"8"	"3"	"2"	"1"	"7"	"12"	"1"	"5"	"217"	"12"	"636"	"0"	"636"	"0"
"173"	"Total"	"1392"	"477"	"45"	"37"	"41"	"32"	"498"	"202"	"44"	"75"	"4960"	"256"	"8059"	"0"	"8059"	"0"
"174"	"141"	"271"	"64"	"6"	"4"	"2"	"4"	"36"	"13"	"5"	"11"	"303"	"18"	"737"	"0"	"737"	"0"
"175"	"142"	"89"	"27"	"1"	"1"	"2"	"3"	"28"	"190"	"12"	"9"	"207"	"40"	"609"	"0"	"609"	"0"
"176"	"143"	"28"	"49"	"3"	"1"	"2"	"3"	"6"	"198"	"4"	"2"	"209"	"11"	"516"	"0"	"516"	"0"
