"X.FORM.20."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"
"1"	"Sec rule 56(7) Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Election to the Bihar Legislative Assembly from the 229-Belaganj Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Total No. of Electors in Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Round No. ……         1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Sl. No. of Polling Station"	""	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""	""	""	""
"6"	""	""	"MUKESH KUMAR"	""	""	"RAMANAND UPADHAYA"	""	"SURENDRA PRASAD YADAV"	""	""	"MD. AMJAD"	""	""	"GANESH DAS"	""	""	"SUNIL KUMAR"	""	"AJAY KUMAR SINGH"	""	"MD. ABULAIS"	""	"ARVIND MISHRA"	""	"AWADHESH YADAV"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"34"	"21"	"32"	""	""	"7"	""	""	"351"	""	""	"37"	""	""	"2"	""	"1"	""	""	"0"	""	"1"	""	"1"	""	"1"	""	""	"433"	""	""	"0"	""	""	"433"	""	""	""	""	""	""	""	""	""
"35"	"22"	"2"	""	""	"0"	""	""	"263"	""	""	"4"	""	""	"0"	""	"1"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"270"	""	""	"0"	""	""	"270"	""	""	""	""	""	""	""	""	""
"36"	"23"	"9"	""	""	"5"	""	""	"660"	""	""	"43"	""	""	"1"	""	"2"	""	""	"4"	""	"0"	""	"0"	""	"1"	""	""	"725"	""	""	"0"	""	""	"725"	""	""	""	""	""	""	""	""	""
"37"	"24"	"0"	""	""	"0"	""	""	"610"	""	""	"18"	""	""	"1"	""	"0"	""	""	"1"	""	"0"	""	"0"	""	"0"	""	""	"630"	""	""	"0"	""	""	"630"	""	""	""	""	""	""	""	""	""
"38"	"25"	"21"	""	""	"4"	""	""	"178"	""	""	"156"	""	""	"14"	""	"12"	""	""	"18"	""	"5"	""	"4"	""	"14"	""	""	"426"	""	""	"0"	""	""	"426"	""	""	""	""	""	""	""	""	""
"39"	"26"	"11"	""	""	"5"	""	""	"101"	""	""	"200"	""	""	"9"	""	"19"	""	""	"14"	""	"2"	""	"2"	""	"2"	""	""	"365"	""	""	"0"	""	""	"365"	""	""	""	""	""	""	""	""	""
"40"	"27"	"6"	""	""	"2"	""	""	"100"	""	""	"146"	""	""	"1"	""	"2"	""	""	"8"	""	"4"	""	"5"	""	"4"	""	""	"278"	""	""	"0"	""	""	"278"	""	""	""	""	""	""	""	""	""
"41"	"28"	"3"	""	""	"2"	""	""	"200"	""	""	"55"	""	""	"4"	""	"41"	""	""	"8"	""	"4"	""	"0"	""	"4"	""	""	"321"	""	""	"0"	""	""	"321"	""	""	""	""	""	""	""	""	""
"42"	"Total"	"160"	""	""	"55"	""	""	"4150"	""	""	"1353"	""	""	"58"	""	"197"	""	""	"103"	""	"35"	""	"25"	""	"68"	""	""	"6204"	""	""	"0"	""	""	"6204"	""	""	""	""	""	""	""	""	""
"43"	"Sl. No. of Polling Station"	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""	""	""
"44"	""	"MUKESH KUMAR"	""	""	"RAMANAND UPADHAYA"	""	""	"SURENDRA PRASAD YADAV"	""	"MD. AMJAD"	""	""	"GANESH DAS"	""	""	"SUNIL KUMAR"	""	""	"AJAY KUMAR SINGH"	""	"MD. ABULAIS"	""	"ARVIND MISHRA"	""	"AWADHESH YADAV"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"45"	"1"	"2"	""	""	"3"	""	""	"4"	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	"9"	""	"10"	""	"11"	""	""	"12"	""	""	"13"	""	""	"14"	""	""	"15"	""	""	""	""	""	""
"46"	"29"	"12"	""	""	"2"	""	""	"77"	""	"184"	""	""	"5"	""	""	"13"	""	""	"8"	""	"1"	""	"0"	""	"2"	""	""	"304"	""	""	"0"	""	""	"304"	""	""	""	""	""	""	""	""	""
"47"	"30"	"4"	""	""	"2"	""	""	"351"	""	"15"	""	""	"0"	""	""	"14"	""	""	"3"	""	"0"	""	"1"	""	"0"	""	""	"390"	""	""	"0"	""	""	"390"	""	""	""	""	""	""	""	""	""
"48"	"31"	"0"	""	""	"2"	""	""	"27"	""	"32"	""	""	"0"	""	""	"10"	""	""	"1"	""	"0"	""	"0"	""	"0"	""	""	"72"	""	""	"0"	""	""	"72"	""	""	""	""	""	""	""	""	""
"49"	"32"	"0"	""	""	"2"	""	""	"425"	""	"7"	""	""	"0"	""	""	"0"	""	""	"1"	""	"0"	""	"0"	""	"1"	""	""	"436"	""	""	"0"	""	""	"436"	""	""	""	""	""	""	""	""	""
"50"	"33"	"0"	""	""	"1"	""	""	"649"	""	"48"	""	""	"0"	""	""	"0"	""	""	"2"	""	"0"	""	"0"	""	"0"	""	""	"700"	""	""	"0"	""	""	"700"	""	""	""	""	""	""	""	""	""
"51"	"34"	"3"	""	""	"3"	""	""	"425"	""	"20"	""	""	"0"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"451"	""	""	"0"	""	""	"451"	""	""	""	""	""	""	""	""	""
"52"	"35"	"8"	""	""	"1"	""	""	"98"	""	"884"	""	""	"8"	""	""	"2"	""	""	"9"	""	"0"	""	"0"	""	"0"	""	""	"1010"	""	""	"0"	""	""	"1010"	""	""	""	""	""	""	""	""	""
"53"	"36"	"14"	""	""	"0"	""	""	"68"	""	"131"	""	""	"3"	""	""	"0"	""	""	"7"	""	"0"	""	"0"	""	"0"	""	""	"223"	""	""	"0"	""	""	"223"	""	""	""	""	""	""	""	""	""
"54"	"37"	"3"	""	""	"22"	""	""	"156"	""	"90"	""	""	"3"	""	""	"1"	""	""	"10"	""	"2"	""	"1"	""	"2"	""	""	"290"	""	""	"0"	""	""	"290"	""	""	""	""	""	""	""	""	""
"55"	"38"	"7"	""	""	"0"	""	""	"79"	""	"105"	""	""	"1"	""	""	"2"	""	""	"5"	""	"1"	""	"0"	""	"0"	""	""	"200"	""	""	"0"	""	""	"200"	""	""	""	""	""	""	""	""	""
"56"	"39"	"6"	""	""	"0"	""	""	"133"	""	"54"	""	""	"3"	""	""	"2"	""	""	"6"	""	"4"	""	"2"	""	"1"	""	""	"211"	""	""	"0"	""	""	"211"	""	""	""	""	""	""	""	""	""
"57"	"40"	"5"	""	""	"2"	""	""	"10"	""	"612"	""	""	"3"	""	""	"6"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"638"	""	""	"0"	""	""	"638"	""	""	""	""	""	""	""	""	""
"58"	"41"	"6"	""	""	"0"	""	""	"28"	""	"432"	""	""	"0"	""	""	"1"	""	""	"1"	""	"1"	""	"0"	""	"0"	""	""	"469"	""	""	"0"	""	""	"469"	""	""	""	""	""	""	""	""	""
"59"	"42"	"9"	""	""	"0"	""	""	"14"	""	"424"	""	""	"1"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"448"	""	""	"0"	""	""	"448"	""	""	""	""	""	""	""	""	""
"60"	"Total"	"77"	""	""	"37"	""	""	"2540"	""	"3038"	""	""	"27"	""	""	"51"	""	""	"53"	""	"9"	""	"4"	""	"6"	""	""	"5842"	""	""	"0"	""	""	"5842"	""	""	""	""	""	""	""	""	""
"61"	"Sl. No. of Polling Station"	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""	""	""
"62"	""	"MUKESH KUMAR"	""	""	"RAMANAND UPADHAYA"	""	""	"SURENDRA PRASAD YADAV"	""	"MD. AMJAD"	""	""	"GANESH DAS"	""	""	"SUNIL KUMAR"	""	""	"AJAY KUMAR SINGH"	""	"MD. ABULAIS"	""	"ARVIND MISHRA"	""	"AWADHESH YADAV"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"63"	"1"	"2"	""	""	"3"	""	""	"4"	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	"9"	""	"10"	""	"11"	""	""	"12"	""	""	"13"	""	""	"14"	""	""	"15"	""	""	""	""	""	""
"64"	"43"	"6"	""	""	"2"	""	""	"330"	""	"96"	""	""	"5"	""	""	"2"	""	""	"12"	""	"2"	""	"4"	""	"10"	""	""	"469"	""	""	"0"	""	""	"469"	""	""	""	""	""	""	""	""	""
"65"	"44"	"1"	""	""	"1"	""	""	"440"	""	"59"	""	""	"2"	""	""	"6"	""	""	"2"	""	"0"	""	"0"	""	"0"	""	""	"511"	""	""	"0"	""	""	"511"	""	""	""	""	""	""	""	""	""
"66"	"45"	"10"	""	""	"2"	""	""	"37"	""	"375"	""	""	"5"	""	""	"2"	""	""	"3"	""	"0"	""	"1"	""	"2"	""	""	"437"	""	""	"0"	""	""	"437"	""	""	""	""	""	""	""	""	""
"67"	"46"	"1"	""	""	"1"	""	""	"140"	""	"272"	""	""	"1"	""	""	"2"	""	""	"7"	""	"0"	""	"1"	""	"0"	""	""	"425"	""	""	"0"	""	""	"425"	""	""	""	""	""	""	""	""	""
"68"	"47"	"2"	""	""	"2"	""	""	"5"	""	"126"	""	""	"0"	""	""	"0"	""	""	"7"	""	"0"	""	"0"	""	"2"	""	""	"144"	""	""	"0"	""	""	"144"	""	""	""	""	""	""	""	""	""
"69"	"48"	"7"	""	""	"0"	""	""	"13"	""	"515"	""	""	"1"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"536"	""	""	"0"	""	""	"536"	""	""	""	""	""	""	""	""	""
"70"	"49"	"14"	""	""	"3"	""	""	"274"	""	"39"	""	""	"2"	""	""	"157"	""	""	"3"	""	"0"	""	"2"	""	"3"	""	""	"497"	""	""	"0"	""	""	"497"	""	""	""	""	""	""	""	""	""
"71"	"50"	"9"	""	""	"35"	""	""	"93"	""	"58"	""	""	"4"	""	""	"10"	""	""	"8"	""	"2"	""	"2"	""	"7"	""	""	"228"	""	""	"0"	""	""	"228"	""	""	""	""	""	""	""	""	""
"72"	"51"	"12"	""	""	"1"	""	""	"128"	""	"153"	""	""	"6"	""	""	"1"	""	""	"1"	""	"2"	""	"0"	""	"2"	""	""	"306"	""	""	"0"	""	""	"306"	""	""	""	""	""	""	""	""	""
"73"	"52"	"10"	""	""	"1"	""	""	"55"	""	"121"	""	""	"2"	""	""	"0"	""	""	"3"	""	"0"	""	"0"	""	"1"	""	""	"193"	""	""	"0"	""	""	"193"	""	""	""	""	""	""	""	""	""
"74"	"53"	"3"	""	""	"0"	""	""	"123"	""	"119"	""	""	"3"	""	""	"7"	""	""	"1"	""	"1"	""	"0"	""	"0"	""	""	"257"	""	""	"0"	""	""	"257"	""	""	""	""	""	""	""	""	""
"75"	"54"	"8"	""	""	"20"	""	""	"176"	""	"68"	""	""	"3"	""	""	"115"	""	""	"7"	""	"1"	""	"1"	""	"2"	""	""	"401"	""	""	"0"	""	""	"401"	""	""	""	""	""	""	""	""	""
"76"	"55"	"6"	""	""	"4"	""	""	"528"	""	"72"	""	""	"0"	""	""	"0"	""	""	"4"	""	"0"	""	"1"	""	"0"	""	""	"615"	""	""	"0"	""	""	"615"	""	""	""	""	""	""	""	""	""
"77"	"56"	"7"	""	""	"21"	""	""	"336"	""	"222"	""	""	"10"	""	""	"115"	""	""	"9"	""	"3"	""	"0"	""	"2"	""	""	"725"	""	""	"0"	""	""	"725"	""	""	""	""	""	""	""	""	""
"78"	"Total"	"96"	""	""	"93"	""	""	"2678"	""	"2295"	""	""	"44"	""	""	"417"	""	""	"67"	""	"11"	""	"12"	""	"31"	""	""	"5744"	""	""	"0"	""	""	"5744"	""	""	""	""	""	""	""	""	""
"79"	"Sl. No. of Polling Station"	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""	""	""
"80"	""	"MUKESH KUMAR"	""	""	"RAMANAND UPADHAYA"	""	""	"SURENDRA PRASAD YADAV"	""	"MD. AMJAD"	""	""	"GANESH DAS"	""	""	"SUNIL KUMAR"	""	""	"AJAY KUMAR SINGH"	""	"MD. ABULAIS"	""	"ARVIND MISHRA"	""	"AWADHESH YADAV"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"81"	"1"	"2"	""	""	"3"	""	""	"4"	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	"9"	""	"10"	""	"11"	""	""	"12"	""	""	"13"	""	""	"14"	""	""	"15"	""	""	""	""	""	""
"82"	"57"	"9"	""	""	"2"	""	""	"107"	""	"165"	""	""	"4"	""	""	"7"	""	""	"7"	""	"4"	""	"3"	""	"1"	""	""	"309"	""	""	"0"	""	""	"309"	""	""	""	""	""	""	""	""	""
"83"	"58"	"0"	""	""	"0"	""	""	"246"	""	"3"	""	""	"0"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"249"	""	""	"0"	""	""	"249"	""	""	""	""	""	""	""	""	""
"84"	"59"	"9"	""	""	"1"	""	""	"301"	""	"138"	""	""	"5"	""	""	"1"	""	""	"10"	""	"0"	""	"0"	""	"0"	""	""	"465"	""	""	"0"	""	""	"465"	""	""	""	""	""	""	""	""	""
"85"	"60"	"14"	""	""	"2"	""	""	"163"	""	"131"	""	""	"1"	""	""	"7"	""	""	"7"	""	"1"	""	"3"	""	"1"	""	""	"330"	""	""	"0"	""	""	"330"	""	""	""	""	""	""	""	""	""
"86"	"61"	"8"	""	""	"5"	""	""	"99"	""	"89"	""	""	"5"	""	""	"2"	""	""	"19"	""	"4"	""	"3"	""	"14"	""	""	"248"	""	""	"0"	""	""	"248"	""	""	""	""	""	""	""	""	""
"87"	"62"	"3"	""	""	"4"	""	""	"22"	""	"371"	""	""	"0"	""	""	"0"	""	""	"2"	""	"0"	""	"0"	""	"0"	""	""	"402"	""	""	"0"	""	""	"402"	""	""	""	""	""	""	""	""	""
"88"	"63"	"0"	""	""	"1"	""	""	"118"	""	"359"	""	""	"1"	""	""	"0"	""	""	"0"	""	"2"	""	"0"	""	"0"	""	""	"481"	""	""	"0"	""	""	"481"	""	""	""	""	""	""	""	""	""
"89"	"64"	"12"	""	""	"6"	""	""	"166"	""	"220"	""	""	"4"	""	""	"5"	""	""	"5"	""	"0"	""	"1"	""	"2"	""	""	"421"	""	""	"0"	""	""	"421"	""	""	""	""	""	""	""	""	""
"90"	"65"	"28"	""	""	"50"	""	""	"86"	""	"214"	""	""	"8"	""	""	"18"	""	""	"7"	""	"3"	""	"1"	""	"4"	""	""	"419"	""	""	"0"	""	""	"419"	""	""	""	""	""	""	""	""	""
"91"	"66"	"6"	""	""	"2"	""	""	"67"	""	"142"	""	""	"3"	""	""	"12"	""	""	"4"	""	"1"	""	"0"	""	"3"	""	""	"240"	""	""	"0"	""	""	"240"	""	""	""	""	""	""	""	""	""
"92"	"67"	"29"	""	""	"0"	""	""	"28"	""	"363"	""	""	"1"	""	""	"0"	""	""	"10"	""	"0"	""	"0"	""	"0"	""	""	"431"	""	""	"0"	""	""	"431"	""	""	""	""	""	""	""	""	""
"93"	"68"	"12"	""	""	"181"	""	""	"312"	""	"49"	""	""	"0"	""	""	"8"	""	""	"3"	""	"2"	""	"2"	""	"5"	""	""	"574"	""	""	"0"	""	""	"574"	""	""	""	""	""	""	""	""	""
"94"	"69"	"2"	""	""	"2"	""	""	"97"	""	"52"	""	""	"2"	""	""	"4"	""	""	"3"	""	"2"	""	"1"	""	"6"	""	""	"171"	""	""	"0"	""	""	"171"	""	""	""	""	""	""	""	""	""
"95"	"70"	"3"	""	""	"3"	""	""	"524"	""	"33"	""	""	"0"	""	""	"20"	""	""	"1"	""	"0"	""	"1"	""	"0"	""	""	"585"	""	""	"0"	""	""	"585"	""	""	""	""	""	""	""	""	""
"96"	"Total"	"135"	""	""	"259"	""	""	"2336"	""	"2329"	""	""	"34"	""	""	"84"	""	""	"78"	""	"19"	""	"15"	""	"36"	""	""	"5325"	""	""	"0"	""	""	"5325"	""	""	""	""	""	""	""	""	""
"97"	"Sl. No. of Polling Station"	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""	""	""
"98"	""	"MUKESH KUMAR"	""	""	"RAMANAND UPADHAYA"	""	""	"SURENDRA PRASAD YADAV"	""	"MD. AMJAD"	""	""	"GANESH DAS"	""	""	"SUNIL KUMAR"	""	""	"AJAY KUMAR SINGH"	""	"MD. ABULAIS"	""	"ARVIND MISHRA"	""	"AWADHESH YADAV"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"99"	"1"	"2"	""	""	"3"	""	""	"4"	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	"9"	""	"10"	""	"11"	""	""	"12"	""	""	"13"	""	""	"14"	""	""	"15"	""	""	""	""	""	""
"100"	"71"	"2"	""	""	"8"	""	""	"153"	""	"136"	""	""	"3"	""	""	"18"	""	""	"11"	""	"0"	""	"0"	""	"2"	""	""	"333"	""	""	"0"	""	""	"333"	""	""	""	""	""	""	""	""	""
