"Serial.No..of.Polling.station"	"No..of.Valid.Votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"Total.of.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..Tender.Votes"
"97"	"73"	396	9	5	3	40	2	3	0	0	2	1	"461"	"0"	"461"	"0"
"98"	"74"	187	4	1	3	58	5	36	0	3	4	13	"314"	"0"	"314"	"0"
"99"	"75"	167	8	8	4	336	10	11	3	3	9	15	"574"	"0"	"574"	"0"
"100"	"Serial No. of Polling station"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"101"	""	1	2	3	4	5	6	7	8	9	10	11	""	""	""	""
"102"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"103"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"104"	"1"	2	3	4	5	6	7	8	9	10	11	12	"13"	"14"	"15"	"16"
"105"	"76"	128	63	8	2	220	7	17	3	3	8	14	"473"	"0"	"473"	"0"
"106"	"77"	61	8	0	3	465	4	4	0	1	3	9	"558"	"0"	"558"	"0"
"107"	"78"	126	28	7	2	284	9	12	4	2	13	19	"506"	"0"	"506"	"0"
"108"	"79"	355	12	9	3	96	5	8	2	3	9	11	"513"	"0"	"513"	"0"
"109"	"80"	129	16	10	5	160	17	9	7	3	24	31	"411"	"0"	"411"	"0"
"110"	"81"	343	16	3	5	191	17	9	6	4	14	22	"630"	"0"	"630"	"0"
"111"	"82"	244	27	8	11	166	11	16	5	3	27	20	"538"	"0"	"538"	"0"
"112"	"83"	173	6	1	1	62	3	1	0	0	10	12	"269"	"0"	"269"	"0"
"113"	"84"	246	8	8	7	248	13	22	5	5	19	55	"636"	"0"	"636"	"0"
"114"	"85"	122	30	11	7	289	3	20	5	4	22	19	"532"	"0"	"532"	"0"
"115"	"86"	153	24	38	7	371	10	27	2	1	13	4	"650"	"0"	"650"	"0"
"116"	"87"	35	3	9	1	427	5	6	1	1	8	5	"501"	"0"	"501"	"0"
"117"	"88"	79	80	18	2	399	15	24	9	7	49	27	"709"	"0"	"709"	"0"
"118"	"89"	203	50	26	5	195	4	8	2	1	8	8	"510"	"0"	"510"	"0"
"119"	"90"	95	27	10	11	285	12	25	8	16	42	38	"569"	"0"	"569"	"0"
"120"	"Serial No. of Polling station"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"121"	""	1	2	3	4	5	6	7	8	9	10	11	""	""	""	""
"122"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"123"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"124"	"1"	2	3	4	5	6	7	8	9	10	11	12	"13"	"14"	"15"	"16"
"125"	"91"	98	72	9	8	163	15	21	13	3	16	22	"440"	"0"	"440"	"0"
"126"	"92"	105	49	10	9	141	9	40	2	8	31	39	"443"	"0"	"443"	"0"
"127"	"93"	91	51	9	5	276	10	10	4	4	9	12	"481"	"0"	"481"	"0"
"128"	"94"	254	10	1	1	102	3	4	2	0	2	4	"383"	"0"	"383"	"0"
"129"	"95"	128	23	9	4	220	8	11	2	2	9	7	"423"	"0"	"423"	"0"
"130"	"96"	182	16	6	4	147	16	25	3	4	14	21	"438"	"0"	"438"	"0"
"131"	"97"	300	21	6	6	303	7	35	5	3	10	9	"705"	"0"	"705"	"0"
"132"	"98"	148	11	4	3	224	4	9	2	2	7	10	"424"	"0"	"424"	"0"
"133"	"99"	146	28	6	4	280	13	28	4	2	22	24	"557"	"0"	"557"	"0"
"134"	"100"	549	14	5	1	73	4	5	2	2	8	9	"672"	"0"	"672"	"0"
"135"	"101"	213	53	10	6	207	9	15	5	6	21	10	"555"	"0"	"555"	"0"
"136"	"102"	144	56	17	3	226	10	18	7	8	27	30	"546"	"0"	"546"	"0"
"137"	"103"	80	35	5	2	213	9	7	2	2	7	14	"376"	"0"	"376"	"0"
"138"	"104"	180	139	11	6	77	3	7	3	7	18	20	"471"	"0"	"471"	"0"
"139"	"105"	164	97	5	7	127	6	10	5	7	17	35	"480"	"0"	"480"	"0"
"140"	"Serial No. of Polling station"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"141"	""	1	2	3	4	5	6	7	8	9	10	11	""	""	""	""
"142"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"143"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"144"	"1"	2	3	4	5	6	7	8	9	10	11	12	"13"	"14"	"15"	"16"
"145"	"106"	271	43	6	8	93	7	6	5	4	17	35	"495"	"0"	"495"	"0"
"146"	"107"	239	53	7	2	124	7	9	2	0	5	6	"454"	"0"	"454"	"0"
"147"	"108"	123	103	12	8	82	10	8	7	6	25	27	"411"	"0"	"411"	"0"
"148"	"109"	179	30	8	3	111	4	9	1	5	11	17	"378"	"0"	"378"	"0"
"149"	"110"	142	24	8	0	70	5	4	3	4	8	9	"277"	"0"	"277"	"0"
"150"	"111"	204	17	6	1	102	2	5	0	1	9	14	"361"	"0"	"361"	"0"
"151"	"112"	246	18	3	5	45	5	5	6	5	11	27	"376"	"0"	"376"	"0"
"152"	"113"	259	25	8	7	126	9	12	6	5	10	13	"480"	"0"	"480"	"0"
"153"	"114"	294	79	17	7	125	16	21	3	8	24	37	"631"	"0"	"631"	"0"
"154"	"115"	144	119	12	5	54	4	2	0	0	4	5	"349"	"0"	"349"	"0"
"155"	"116"	117	17	2	6	72	4	9	2	9	10	27	"275"	"0"	"275"	"0"
"156"	"117"	169	15	5	5	176	7	14	4	7	26	20	"448"	"0"	"448"	"0"
"157"	"118"	146	11	3	7	158	4	12	5	6	22	22	"396"	"0"	"396"	"0"
"158"	"119"	136	103	15	3	219	8	18	5	7	23	31	"568"	"0"	"568"	"0"
"159"	"120"	271	62	6	3	52	3	6	2	2	5	3	"415"	"0"	"415"	"0"
"160"	"Serial No. of Polling station"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"161"	""	1	2	3	4	5	6	7	8	9	10	11	""	""	""	""
"162"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"163"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"164"	"1"	2	3	4	5	6	7	8	9	10	11	12	"13"	"14"	"15"	"16"
"165"	"121"	138	41	15	10	171	11	22	5	7	30	20	"470"	"0"	"470"	"0"
"166"	"122"	67	32	5	2	310	3	7	3	4	16	18	"467"	"0"	"467"	"0"
"167"	"123"	93	27	6	2	358	9	6	1	6	13	5	"526"	"0"	"526"	"0"
"168"	"124"	100	67	10	7	397	15	19	5	7	29	26	"682"	"0"	"682"	"0"
"169"	"125"	47	20	3	7	174	11	10	5	3	20	15	"315"	"0"	"315"	"0"
"170"	"126"	52	22	4	4	193	10	25	2	3	7	16	"338"	"0"	"338"	"0"
"171"	"127"	415	24	11	12	189	6	15	5	5	21	17	"720"	"0"	"720"	"0"
"172"	"128"	459	18	4	4	117	0	9	2	4	7	11	"635"	"0"	"635"	"0"
"173"	"129"	140	33	12	9	216	14	20	13	7	16	32	"512"	"0"	"512"	"0"
"174"	"130"	709	8	1	0	28	0	1	0	1	4	3	"755"	"0"	"755"	"0"
"175"	"131"	422	9	4	0	73	5	4	2	1	5	6	"531"	"0"	"531"	"0"
"176"	"132"	226	38	8	8	273	11	25	5	6	19	27	"646"	"0"	"646"	"0"
"177"	"133"	99	31	2	6	259	8	31	3	2	11	11	"463"	"0"	"463"	"0"
"178"	"134"	341	51	17	10	207	12	28	10	8	31	29	"744"	"0"	"744"	"0"
"179"	"135"	313	11	9	2	163	8	10	1	5	16	32	"570"	"0"	"570"	"0"
"180"	"Serial No. of Polling station"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"181"	""	1	2	3	4	5	6	7	8	9	10	11	""	""	""	""
"182"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"183"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"184"	"1"	2	3	4	5	6	7	8	9	10	11	12	"13"	"14"	"15"	"16"
"185"	"136"	204	51	11	6	254	18	28	12	8	32	49	"673"	"0"	"673"	"0"
"186"	"137"	633	4	3	1	23	4	2	0	2	2	1	"675"	"0"	"675"	"0"
"187"	"138"	537	3	0	0	11	0	0	0	1	0	0	"552"	"0"	"552"	"0"
"188"	"139"	115	30	6	13	275	14	36	6	7	42	29	"573"	"0"	"573"	"0"
"189"	"140"	85	31	4	4	352	4	9	1	3	9	12	"514"	"0"	"514"	"0"
"190"	"141"	23	13	1	0	289	2	4	1	2	3	4	"342"	"0"	"342"	"0"
"191"	"142"	105	58	5	67	123	0	9	2	4	11	17	"401"	"0"	"401"	"0"
"192"	"143"	221	13	2	2	142	0	7	1	0	6	10	"404"	"0"	"404"	"0"
"193"	"144"	105	39	11	6	106	3	6	1	4	13	21	"315"	"0"	"315"	"0"
"194"	"145"	112	95	1	2	111	4	0	0	1	1	2	"329"	"0"	"329"	"0"
"195"	"146"	110	47	5	4	167	6	9	2	5	16	23	"394"	"0"	"394"	"0"
"196"	"147"	80	39	5	10	149	13	17	1	1	17	14	"346"	"0"	"346"	"0"
"197"	"148"	213	28	4	8	186	14	10	5	5	16	21	"510"	"0"	"510"	"0"
"198"	"149"	332	32	11	4	121	17	20	4	6	11	23	"581"	"0"	"581"	"0"
"199"	"150"	268	17	7	11	224	13	12	8	4	17	19	"600"	"0"	"600"	"0"
"200"	"Serial No. of Polling station"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"201"	""	1	2	3	4	5	6	7	8	9	10	11	""	""	""	""
"202"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"203"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"204"	"1"	2	3	4	5	6	7	8	9	10	11	12	"13"	"14"	"15"	"16"
"205"	"151"	36	78	11	9	201	9	10	1	2	15	11	"383"	"0"	"383"	"0"
"206"	"152"	232	26	12	6	362	14	38	2	8	17	28	"745"	"0"	"745"	"0"
"207"	"153"	112	14	5	9	185	14	28	9	6	21	26	"429"	"0"	"429"	"0"
"208"	"154"	160	6	2	4	342	19	23	4	9	18	32	"619"	"0"	"619"	"0"
"209"	"155"	366	52	8	0	128	4	7	2	1	10	36	"614"	"0"	"614"	"0"
"210"	"156"	66	12	3	6	219	9	14	2	5	2	16	"354"	"0"	"354"	"0"
"211"	"157"	281	24	7	3	173	3	11	1	5	9	11	"528"	"0"	"528"	"0"
"212"	"158"	155	28	5	11	331	14	20	1	2	20	19	"606"	"0"	"606"	"0"
"213"	"159"	45	46	2	5	212	14	23	6	1	17	18	"389"	"0"	"389"	"0"
"214"	"160"	118	17	4	4	385	6	23	2	3	14	21	"597"	"0"	"597"	"0"
"215"	"161"	118	4	0	0	225	1	0	1	0	3	0	"352"	"0"	"352"	"0"
"216"	"162"	65	1	0	0	59	0	0	0	1	1	2	"129"	"0"	"129"	"0"
"217"	"163"	273	94	6	2	207	7	10	3	3	11	12	"628"	"0"	"628"	"0"
"218"	"164"	259	101	9	1	119	5	5	3	2	11	10	"525"	"0"	"525"	"0"
"219"	"165"	250	21	5	2	67	6	6	9	52	3	9	"430"	"0"	"430"	"0"
"220"	"Serial No. of Polling station"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"221"	""	1	2	3	4	5	6	7	8	9	10	11	""	""	""	""
"222"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"223"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"224"	"1"	2	3	4	5	6	7	8	9	10	11	12	"13"	"14"	"15"	"16"
"225"	"166"	264	16	5	3	81	4	1	8	3	1	15	"401"	"0"	"401"	"0"
"226"	"167"	208	24	8	4	203	9	8	2	6	12	9	"493"	"0"	"493"	"0"
"227"	"168"	144	48	8	8	243	12	7	7	7	24	31	"539"	"0"	"539"	"0"
"228"	"169"	121	44	5	2	83	8	7	2	4	7	5	"288"	"0"	"288"	"0"
"229"	"170"	150	58	7	4	251	8	10	1	1	10	9	"509"	"0"	"509"	"0"
"230"	"171"	239	66	12	5	286	15	28	7	9	25	12	"704"	"0"	"704"	"0"
"231"	"172"	162	11	3	5	142	8	5	2	2	10	27	"377"	"0"	"377"	"0"
"232"	"173"	180	5	9	1	241	2	14	3	5	12	16	"488"	"0"	"488"	"0"
"233"	"174"	61	93	2	3	274	7	10	2	4	14	10	"480"	"0"	"480"	"0"
"234"	"175"	34	31	6	7	240	6	7	2	1	11	17	"362"	"0"	"362"	"0"
"235"	"176"	91	69	5	3	193	2	9	3	2	11	12	"400"	"0"	"400"	"0"
"236"	"177"	82	16	5	4	390	9	18	3	1	16	15	"559"	"0"	"559"	"0"
"237"	"178"	157	8	1	2	345	5	6	0	0	7	6	"537"	"0"	"537"	"0"
"238"	"179"	256	11	7	6	101	9	13	7	0	17	20	"447"	"0"	"447"	"0"
"239"	"180"	240	60	5	0	104	7	8	1	1	10	8	"444"	"0"	"444"	"0"
"240"	"Serial No. of Polling station"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"241"	""	1	2	3	4	5	6	7	8	9	10	11	""	""	""	""
"242"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"243"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"244"	"1"	2	3	4	5	6	7	8	9	10	11	12	"13"	"14"	"15"	"16"
"245"	"181"	263	9	9	4	153	12	12	0	6	23	29	"520"	"0"	"520"	"0"
"246"	"182"	10	29	1	1	201	1	3	0	3	2	2	"253"	"0"	"253"	"0"
"247"	"183"	174	10	6	8	238	7	16	1	2	9	9	"480"	"0"	"480"	"0"
"248"	"184"	196	13	21	8	178	2	10	5	6	13	10	"462"	"0"	"462"	"0"
"249"	"185"	219	7	4	1	106	3	4	2	1	4	12	"363"	"0"	"363"	"0"
"250"	"186"	181	30	5	3	156	7	7	5	13	7	6	"420"	"0"	"420"	"0"
"251"	"187"	83	47	6	7	225	6	18	4	3	16	18	"433"	"0"	"433"	"0"
"252"	"188"	140	18	6	2	168	3	12	1	18	13	6	"387"	"0"	"387"	"0"
"253"	"189"	116	51	12	8	294	11	21	6	16	18	22	"575"	"0"	"575"	"0"
"254"	"190"	81	39	7	4	228	9	10	3	0	8	11	"400"	"0"	"400"	"0"
"255"	"Serial No. of Polling station"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"256"	""	1	2	3	4	5	6	7	8	9	10	11	""	""	""	""
"257"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"258"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"259"	"1"	2	3	4	5	6	7	8	9	10	11	12	"13"	"14"	"15"	"16"
"260"	"Total No. of Votes recorded of polling stations"	1190	215	67	41	1593	48	98	27	59	88	94	"3520"	"0"	"3520"	"0"
"261"	"No. of Votes Recorded on Postal Ballot Papers"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"262"	"Total Votes Polled"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"263"	"Place :- Hajipur"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"264"	"Returning Officer"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"265"	"Date :- 27-02-2005                                                                                                                                                                                                                                                     49- Patepur (SC) Assembly"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"266"	"Constituency"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
