"Booths"	"Candidates"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"95"	"90"	3	61	45	3	348	5	6	0	1	2	13	6	2	4	2	-501
"96"	"91"	7	307	177	10	1	0	0	1	3	2	3	2	4	23	51	-591
"97"	"92"	3	15	359	5	89	0	3	2	1	1	1	4	2	0	0	-485
"98"	"93"	14	12	400	16	87	6	4	3	2	4	11	10	10	34	25	-638
"99"	"94"	82	94	139	4	89	4	4	12	3	5	14	11	11	38	109	-619
"100"	"95"	6	24	214	2	74	2	1	10	2	4	7	9	7	8	129	-499
"101"	"96"	0	3	308	2	54	1	2	7	1	0	3	3	0	4	104	-492
"102"	"97"	29	53	244	5	21	0	5	8	1	3	11	8	23	18	58	-487
"103"	"98"	1	54	170	1	93	0	0	3	0	1	8	6	2	19	10	-368
"104"	"99"	21	14	131	1	87	5	3	6	3	0	11	3	2	1	35	-323
"105"	"100"	3	71	88	2	81	4	3	3	1	2	14	2	6	1	19	-300
"106"	"101"	14	75	136	3	73	1	3	2	0	0	8	3	0	3	2	-323
"107"	"102"	14	81	293	19	26	3	2	4	8	12	22	5	14	9	21	-533
"108"	"103"	34	88	36	3	99	5	9	7	5	8	19	24	25	214	66	-642
"109"	"104"	32	51	101	4	110	6	8	4	3	5	22	11	8	185	82	-632
"110"	"105"	32	54	57	1	158	5	3	4	2	2	13	6	3	102	48	-490
"111"	"106"	90	176	64	3	92	12	0	2	2	3	12	0	4	141	26	-627
"112"	"Booths"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"113"	"Booth No"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
"114"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"115"	"107"	10	81	170	4	113	2	13	2	0	1	19	4	5	13	18	-455
"116"	"108"	55	29	470	6	109	10	9	3	3	4	17	13	6	11	23	-768
"117"	"109"	32	48	249	7	67	2	5	4	0	2	2	9	2	4	57	-490
"118"	"110"	1	16	558	2	1	1	0	1	0	0	2	0	2	2	15	-601
"119"	"111"	0	5	533	4	6	0	0	2	0	0	0	0	0	1	11	-562
"120"	"112"	11	22	174	6	61	6	5	3	0	6	35	23	18	20	48	-438
"121"	"113"	30	72	203	12	83	4	9	2	0	5	20	12	16	18	12	-498
"122"	"114"	31	108	94	6	128	8	9	6	0	3	15	9	8	15	34	-474
"123"	"115"	29	171	25	5	136	4	8	3	3	4	10	13	6	15	20	-452
"124"	"116"	26	190	61	5	115	3	4	5	1	0	18	1	7	7	44	-487
"125"	"117"	29	35	217	8	194	7	5	4	2	7	29	19	25	17	15	-613
"126"	"118"	6	49	174	11	117	6	6	3	0	4	16	15	10	15	10	-442
"127"	"119"	12	55	341	13	35	2	2	0	0	4	7	0	5	0	2	-478
"128"	"120"	41	254	223	8	61	3	3	4	2	2	19	14	15	25	28	-702
"129"	"121"	1	14	287	1	7	0	1	0	0	0	0	2	0	0	0	-313
"130"	"122"	13	54	587	10	15	1	1	3	1	3	5	13	37	29	19	-791
"131"	"123"	1	4	438	3	14	0	0	0	0	0	1	0	0	1	2	-464
"132"	"124"	0	1	923	2	0	0	0	0	0	0	0	0	0	0	0	-926
"133"	"125"	5	18	412	2	8	0	1	1	0	1	0	0	1	0	2	-451
"134"	"126"	9	5	474	1	0	0	0	0	0	0	0	0	1	1	19	-510
"135"	"127"	16	67	103	4	30	1	1	4	1	0	4	6	7	9	281	-534
"136"	"128"	0	3	37	2	0	0	0	2	0	0	1	1	0	3	682	-731
"137"	"129"	1	6	179	2	1	1	0	4	0	0	0	1	2	8	191	-396
"138"	"130"	30	5	291	7	60	6	6	6	4	5	19	11	20	15	22	-507
"139"	"131"	74	9	10	2	39	3	4	23	3	1	10	12	6	6	200	-402
"140"	"132"	25	178	54	3	62	6	2	6	1	4	11	4	4	5	48	-413
"141"	"133"	95	143	33	5	81	7	2	6	1	3	3	8	6	17	31	-441
"142"	"134"	45	126	13	4	90	5	7	10	1	4	9	4	8	10	44	-380
"143"	"135"	18	282	9	2	109	6	3	10	1	2	10	12	1	15	36	-516
"144"	"136"	78	70	45	4	59	8	0	10	1	2	6	6	2	68	74	-433
"145"	"137"	41	134	35	3	119	1	1	6	0	0	2	6	1	43	72	-464
"146"	"138"	121	197	122	8	69	7	1	4	3	5	12	15	8	55	65	-692
"147"	"139"	33	90	195	9	73	4	4	2	3	7	31	15	18	22	27	-533
"148"	"140"	422	89	34	0	88	3	1	1	0	0	2	1	0	16	14	-671
"149"	"141"	7	124	371	1	2	1	0	0	0	0	1	0	0	2	2	-511
"150"	"142"	28	346	182	2	51	1	1	0	0	0	3	1	4	6	36	-661
"151"	"143"	51	241	72	4	82	3	6	5	1	1	11	5	6	8	17	-513
"152"	"144"	98	7	12	2	151	5	5	15	1	2	11	3	11	18	131	-472
"153"	"145"	75	17	84	5	111	5	9	8	1	6	12	9	7	4	150	-503
"154"	"146"	222	8	27	3	40	5	4	8	2	0	5	9	2	7	67	-409
"155"	"147"	178	4	46	4	81	6	3	0	1	1	7	29	1	3	11	-375
"156"	"148"	120	13	7	3	204	5	5	1	1	0	1	6	0	2	6	-374
"157"	"149"	14	3	17	0	63	2	3	3	0	1	11	11	6	18	237	-389
"158"	"150"	5	1	1	1	80	1	4	1	2	2	9	10	2	37	156	-312
"159"	"151"	176	5	18	5	52	7	2	6	1	1	4	19	13	17	50	-376
"160"	"152"	166	26	24	4	169	3	3	4	1	3	6	5	2	2	16	-434
"161"	"153"	16	28	86	4	122	4	5	4	2	5	28	7	4	27	71	-413
"162"	"154"	1	1	17	0	24	0	1	1	0	0	1	1	0	0	567	-614
"163"	"155"	16	18	16	1	31	2	0	0	0	1	6	6	4	1	378	-480
"164"	"156"	1	0	7	0	1	0	0	0	0	0	0	0	0	1	572	-582
"165"	"157"	3	2	55	0	5	0	1	10	0	0	0	0	3	5	386	-470
"166"	"158"	31	1	142	3	33	1	1	2	0	0	4	4	0	13	148	-383
"167"	"159"	6	2	268	4	9	1	1	4	1	0	0	1	2	3	275	-577
"168"	"Booths"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"169"	"Booth No"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
"170"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"171"	"160"	3	0	126	126	9	0	0	2	0	0	1	0	0	1	354	-622
"172"	"161"	22	140	261	9	16	1	6	6	3	4	6	5	13	16	33	-541
"173"	"162"	10	69	164	9	13	2	3	4	2	6	10	10	22	31	29	-384
"174"	"163"	3	11	458	4	10	0	3	1	0	0	2	0	1	3	8	-504
"175"	"164"	4	9	48	0	40	2	3	5	2	1	8	3	8	20	226	-379
"176"	"165"	2	8	78	1	176	2	5	3	1	4	20	13	5	10	44	-372
"177"	"166"	0	3	123	0	78	2	1	1	0	1	5	4	3	4	64	-289
"178"	"167"	19	6	18	3	71	6	4	0	0	1	7	1	1	0	218	-355
"179"	"168"	55	3	25	2	23	0	1	8	0	0	7	4	3	43	98	-272
"180"	"169"	28	2	15	1	56	0	0	0	2	0	1	7	1	9	30	-152
"181"	"170"	9	6	320	4	25	1	0	3	0	0	1	2	0	4	18	-393
"182"	"171"	9	7	326	8	13	0	2	2	0	0	1	7	4	3	146	-528
"183"	"172"	7	108	27	8	128	7	8	3	3	5	14	6	3	6	24	-357
"184"	"173"	9	36	124	7	29	1	1	2	1	3	13	6	21	41	77	-371
"185"	"174"	132	28	110	3	55	5	1	5	5	2	5	7	7	4	77	-446
"186"	"175"	20	16	155	8	41	3	2	9	0	3	5	25	3	13	63	-366
"187"	"176"	12	15	12	3	155	3	5	1	0	2	19	10	4	4	62	-307
"188"	"177"	62	8	128	8	192	2	5	6	0	2	15	6	5	12	17	-468
"189"	"178"	6	5	6	7	129	4	10	3	1	6	17	8	5	27	71	-305
"190"	"179"	3	2	1	2	13	2	0	2	0	1	4	353	3	2	11	-399
"191"	"180"	0	2	4	2	10	1	0	1	0	0	4	426	1	6	7	-464
"192"	"181"	5	322	29	1	16	0	0	0	0	0	2	27	0	1	2	-405
"193"	"182"	20	20	10	1	116	2	1	4	0	4	11	177	4	117	9	-496
"194"	"183"	16	30	153	5	48	3	5	6	0	3	7	41	2	1	49	-369
"195"	"POSTAL"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"196"	"TOTAL"	-10141	-15041	-26644	-1011	-17528	-747	-706	-676	-236	-448	-1814	-2336	-1060	-4342	-11405	-94135
"197"	"ROUND"	702	1011	1193	62	1668	45	60	53	22	23	123	111	63	452	934	6522
"198"	"ROUND"	417	1009	1187	44	897	36	47	36	12	25	161	72	76	840	484	5343
"199"	"ROUND"	698	1001	1480	61	1114	113	51	21	12	28	102	52	46	204	112	5095
"200"	"ROUND"	1870	237	1126	56	1563	76	65	34	21	45	150	99	57	113	182	5694
"201"	"ROUND"	1567	2531	988	59	723	54	48	32	21	46	111	110	59	261	257	6867
"202"	"ROUND"	1054	594	1846	64	1356	57	60	43	21	36	119	103	68	312	504	6237
"203"	"ROUND"	211	1039	1080	23	1557	37	23	23	10	11	40	39	31	129	157	4410
"204"	"ROUND"	143	1309	1657	59	1079	24	28	26	6	11	68	52	38	105	160	4765
"205"	"ROUND"	86	805	1224	63	1414	33	41	41	9	21	121	68	68	88	651	4733
"206"	"ROUND"	166	647	2230	48	676	22	25	55	17	22	83	58	67	146	540	4802
"207"	"ROUND"	314	699	2134	52	848	47	52	33	23	37	136	75	69	684	358	5561
"208"	"ROUND"	215	961	2045	78	936	43	51	32	8	35	169	106	110	133	224	5146
"209"	"ROUND"	76	177	3731	34	135	9	10	20	6	9	30	34	68	66	1218	5623
"210"	"ROUND"	952	1318	550	40	789	50	25	78	14	28	96	83	54	257	611	4945
"211"	"ROUND"	798	764	819	25	865	34	40	41	9	13	71	83	39	105	813	4519
"212"	"ROUND"	419	83	759	147	455	18	14	33	5	10	50	43	28	70	2817	4951
"213"	"ROUND"	152	257	1510	33	508	16	26	31	10	17	67	49	57	140	768	3641
"214"	"ROUND"	260	227	893	56	765	28	34	34	10	24	97	854	56	118	555	4011
"215"	"ROUND"	41	372	192	7	180	5	6	10	0	7	20	245	6	119	60	1270
